s,m^2/s^2
 2.2480145E-001, 4.0253188E-003
 2.2924890E-001, 3.9719348E-003
 2.3329148E-001, 3.9232749E-003
 2.3773831E-001, 3.8723158E-003
 2.4197307E-001, 3.8239382E-003
 2.4663131E-001, 3.7729848E-003
 2.5088418E-001, 3.7263407E-003
 2.5556234E-001, 3.6775071E-003
 2.5982508E-001, 3.6328690E-003
 2.6451406E-001, 3.5861190E-003
 2.6892334E-001, 3.5421924E-003
 2.7377355E-001, 3.4960003E-003
 2.7820736E-001, 3.4536363E-003
 2.8256428E-001, 3.4133643E-003
 2.8735691E-001, 3.3706700E-003
 2.9168612E-001, 3.3319071E-003
 2.9644826E-001, 3.2912904E-003
 3.0093354E-001, 3.2530418E-003
 3.0586734E-001, 3.2127456E-003
 3.1032637E-001, 3.1761267E-003
 3.1523132E-001, 3.1377559E-003
 3.1977755E-001, 3.1021069E-003
 3.2477841E-001, 3.0646156E-003
 3.2955867E-001, 3.0288344E-003
 3.3481696E-001, 2.9910832E-003
 3.3980536E-001, 2.9552836E-003
 3.4529257E-001, 2.9176032E-003
 3.5022706E-001, 2.8834696E-003
 3.5565498E-001, 2.8478119E-003
 3.6050692E-001, 2.8156750E-003
 3.6584401E-001, 2.7820822E-003
 3.7064520E-001, 2.7516373E-003
 3.7592652E-001, 2.7197418E-003
 3.8081834E-001, 2.6900889E-003
 3.8619933E-001, 2.6588880E-003
 3.9129597E-001, 2.6293091E-003
 3.9690229E-001, 2.5981139E-003
 4.0201461E-001, 2.5694868E-003
 4.0763816E-001, 2.5394631E-003
 4.1284606E-001, 2.5115358E-003
 4.1796795E-001, 2.4848644E-003
 4.2360204E-001, 2.4565389E-003
 4.2871311E-001, 2.4306520E-003
 4.3433529E-001, 2.4034820E-003
 4.3932176E-001, 2.3791317E-003
 4.4423443E-001, 2.3559396E-003
 4.4963840E-001, 2.3312392E-003
 4.5453772E-001, 2.3086766E-003
 4.5992696E-001, 2.2849189E-003
 4.6500245E-001, 2.2624816E-003
 4.7058550E-001, 2.2387456E-003
 4.7595599E-001, 2.2159088E-003
 4.8186356E-001, 2.1917146E-003
 4.8730564E-001, 2.1692877E-003
 4.9329194E-001, 2.1456877E-003
 4.9869627E-001, 2.1241884E-003
 5.0402486E-001, 2.1036474E-003
 5.0988632E-001, 2.0817756E-003
 5.1521826E-001, 2.0617200E-003
 5.2108335E-001, 2.0406103E-003
 5.2660656E-001, 2.0206602E-003
 5.3268212E-001, 1.9995713E-003
 5.3817201E-001, 1.9803387E-003
 5.4421085E-001, 1.9601222E-003
 5.4986739E-001, 1.9410992E-003
 5.5608964E-001, 1.9210069E-003
 5.6182981E-001, 1.9023450E-003
 5.6814402E-001, 1.8826836E-003
 5.7405448E-001, 1.8641877E-003
 5.8055604E-001, 1.8446711E-003
 5.8654231E-001, 1.8265677E-003
 5.9312713E-001, 1.8075169E-003
 5.9904379E-001, 1.7902130E-003
 6.0555214E-001, 1.7720558E-003
 6.1161405E-001, 1.7550430E-003
 6.1828214E-001, 1.7370984E-003
 6.2454802E-001, 1.7201528E-003
 6.3068527E-001, 1.7039585E-003
 6.3675386E-001, 1.6882427E-003
 6.4342928E-001, 1.6714982E-003
 6.4957601E-001, 1.6559578E-003
 6.5633750E-001, 1.6395803E-003
 6.6285014E-001, 1.6237760E-003
 6.7001402E-001, 1.6070309E-003
 6.7649609E-001, 1.5917129E-003
