s,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2
 1.8002202E+001, 1.7013934E+002, 5.5845819E+002, 1.3127909E+001, 1.1121731E+001, 8.6637936E+000, 6.4779887E+000, 4.9614978E+000, 4.0047631E+000, 3.4408824E+000, 3.1897881E+000, 2.9817891E+000, 2.8556004E+000, 2.9920423E+000, 2.9961479E+000, 2.9996221E+000, 3.0023246E+000, 3.0026381E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 2.0001437E+001, 1.7913689E+002, 5.5436371E+002, 1.2916822E+001, 1.0937222E+001, 8.5181313E+000, 6.3920403E+000, 4.9375539E+000, 4.0215788E+000, 3.4643118E+000, 3.2181048E+000, 3.0125978E+000, 2.8934088E+000, 2.9887681E+000, 2.9935558E+000, 2.9977822E+000, 3.0017192E+000, 3.0026326E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 2.2000539E+001, 1.8839095E+002, 5.5072137E+002, 1.2725502E+001, 1.0769658E+001, 8.3865490E+000, 6.3130341E+000, 4.8948441E+000, 4.0042229E+000, 3.4752557E+000, 3.2424569E+000, 3.0545504E+000, 2.9261184E+000, 2.9854596E+000, 2.9908266E+000, 2.9957340E+000, 3.0007632E+000, 3.0026109E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 2.4003884E+001, 1.9582300E+002, 5.4740790E+002, 1.2550766E+001, 1.0631989E+001, 8.2855968E+000, 6.2572947E+000, 4.8662276E+000, 3.9922500E+000, 3.4772332E+000, 3.2466271E+000, 3.0595086E+000, 2.9537625E+000, 2.9823258E+000, 2.9880178E+000, 2.9935372E+000, 2.9995415E+000, 3.0025411E+000, 3.0026391E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 2.6000404E+001, 2.0158174E+002, 5.4436261E+002, 1.2350426E+001, 1.0502882E+001, 8.1819973E+000, 6.1944346E+000, 4.8426986E+000, 3.9966228E+000, 3.5006368E+000, 3.2751431E+000, 3.0768254E+000, 2.9611700E+000, 2.9797106E+000, 2.9851799E+000, 2.9912248E+000, 2.9981189E+000, 3.0023592E+000, 3.0026379E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 2.8000360E+001, 2.0648225E+002, 5.4156763E+002, 1.2250628E+001, 1.0410821E+001, 8.1180191E+000, 6.1561995E+000, 4.8205032E+000, 3.9806490E+000, 3.4913466E+000, 3.2704790E+000, 3.0812073E+000, 2.9695868E+000, 2.9765096E+000, 2.9824145E+000, 2.9888244E+000, 2.9965358E+000, 3.0019934E+000, 3.0026340E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 3.0005355E+001, 2.1061096E+002, 5.3889801E+002, 1.2147553E+001, 1.0302606E+001, 8.0366726E+000, 6.1051192E+000, 4.8001580E+000, 3.9749293E+000, 3.4863558E+000, 3.2644010E+000, 3.0766685E+000, 2.9605815E+000, 2.9729776E+000, 2.9799919E+000, 2.9863651E+000, 2.9948225E+000, 3.0014148E+000, 3.0026240E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 3.2006753E+001, 2.1462584E+002, 5.3660608E+002, 1.2050595E+001, 1.0188355E+001, 7.9519968E+000, 6.0384717E+000, 4.7517552E+000, 3.9396653E+000, 3.4616792E+000, 3.2444639E+000, 3.0613263E+000, 2.9584203E+000, 2.9693003E+000, 2.9773722E+000, 2.9838994E+000, 2.9930117E+000, 3.0006456E+000, 3.0025995E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 3.4000521E+001, 2.1743848E+002, 5.3437018E+002, 1.1901375E+001, 1.0055287E+001, 7.8643012E+000, 5.9845667E+000, 4.7256885E+000, 3.9256318E+000, 3.4560912E+000, 3.2439282E+000, 3.0698476E+000, 2.9728959E+000, 2.9655521E+000, 2.9743986E+000, 2.9815185E+000, 2.9911375E+000, 2.9997282E+000, 3.0025449E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 3.6006635E+001, 2.1995412E+002, 5.3228009E+002, 1.1792818E+001, 9.9358835E+000, 7.7992287E+000, 5.9426088E+000, 4.7091327E+000, 3.9297996E+000, 3.4726412E+000, 3.2598224E+000, 3.0731080E+000, 2.9601014E+000, 2.9617481E+000, 2.9712880E+000, 2.9793444E+000, 2.9892006E+000, 2.9986818E+000, 3.0024343E+000, 3.0026393E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 3.8004320E+001, 2.2163818E+002, 5.3034601E+002, 1.1671115E+001, 9.8199654E+000, 7.7271347E+000, 5.8893189E+000, 4.6721687E+000, 3.8993478E+000, 3.4455559E+000, 3.2404325E+000, 3.0747049E+000, 2.9832127E+000, 2.9579091E+000, 2.9680882E+000, 2.9770772E+000, 2.9872160E+000, 2.9975269E+000, 3.0022366E+000, 3.0026388E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 4.0007911E+001, 2.2308569E+002, 5.2840094E+002, 1.1571531E+001, 9.7332945E+000, 7.6610036E+000, 5.8433414E+000, 4.6471057E+000, 3.8863220E+000, 3.4391310E+000, 3.2325699E+000, 3.0604501E+000, 2.9693725E+000, 2.9540684E+000, 2.9648294E+000, 2.9745207E+000, 2.9852026E+000, 2.9962816E+000, 3.0019274E+000, 3.0026376E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 4.2006268E+001, 2.2399289E+002, 5.2657837E+002, 1.1479114E+001, 9.6597481E+000, 7.6065278E+000, 5.8038793E+000, 4.6269331E+000, 3.8763962E+000, 3.4351618E+000, 3.2319980E+000, 3.0570772E+000, 2.9598310E+000, 2.9502568E+000, 2.9615252E+000, 2.9718430E+000, 2.9831758E+000, 2.9949567E+000, 3.0014970E+000, 3.0026357E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 4.4008086E+001, 2.2557700E+002, 5.2493433E+002, 1.1386608E+001, 9.5856667E+000, 7.5475655E+000, 5.7591982E+000, 4.6004281E+000, 3.8646085E+000, 3.4349685E+000, 3.2370777E+000, 3.0672719E+000, 2.9764247E+000, 2.9465535E+000, 2.9581923E+000, 2.9690878E+000, 2.9811609E+000, 2.9935625E+000, 3.0009487E+000, 3.0026317E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 4.6004180E+001, 2.2606007E+002, 5.2333990E+002, 1.1262963E+001, 9.5224209E+000, 7.5020523E+000, 5.7278047E+000, 4.5801220E+000, 3.8460789E+000, 3.4174309E+000, 3.2197931E+000, 3.0551109E+000, 2.9643700E+000, 2.9432378E+000, 2.9548488E+000, 2.9662774E+000, 2.9791961E+000, 2.9921076E+000, 3.0002935E+000, 3.0026243E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 4.8005318E+001, 2.2625037E+002, 5.2176331E+002, 1.1207095E+001, 9.4368429E+000, 7.4365392E+000, 5.6802397E+000, 4.5550342E+000, 3.8328350E+000, 3.4126523E+000, 3.2264094E+000, 3.0768588E+000, 2.9916966E+000, 2.9415109E+000, 2.9515064E+000, 2.9634154E+000, 2.9772894E+000, 2.9905963E+000, 2.9995413E+000, 3.0026107E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 5.0005424E+001, 2.2688440E+002, 5.2036737E+002, 1.1215397E+001, 9.3716574E+000, 7.3949680E+000, 5.6577649E+000, 4.5469861E+000, 3.8344741E+000, 3.4179258E+000, 3.2263658E+000, 3.0643179E+000, 2.9776938E+000, 2.9393370E+000, 2.9482076E+000, 2.9605165E+000, 2.9752827E+000, 2.9890361E+000, 2.9987030E+000, 3.0025868E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 5.2001295E+001, 2.2683418E+002, 5.1894592E+002, 1.1165785E+001, 9.3210602E+000, 7.3501205E+000, 5.6212583E+000, 4.5234423E+000, 3.8189640E+000, 3.4066825E+000, 3.2190168E+000, 3.0586882E+000, 2.9662101E+000, 2.9360301E+000, 2.9450338E+000, 2.9575934E+000, 2.9731147E+000, 2.9874318E+000, 2.9977851E+000, 3.0025454E+000, 3.0026393E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 5.4004019E+001, 2.2738278E+002, 5.1754932E+002, 1.1131316E+001, 9.2651539E+000, 7.3101139E+000, 5.5923357E+000, 4.5095959E+000, 3.8142331E+000, 3.4060826E+000, 3.2168705E+000, 3.0603831E+000, 2.9734895E+000, 2.9323456E+000, 2.9422913E+000, 2.9546437E+000, 2.9708519E+000, 2.9857852E+000, 2.9967947E+000, 3.0024765E+000, 3.0026391E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 5.6008024E+001, 2.2770433E+002, 5.1624609E+002, 1.1051431E+001, 9.1862221E+000, 7.2586646E+000, 5.5645676E+000, 4.4984045E+000, 3.8129878E+000, 3.4124408E+000, 3.2281010E+000, 3.0755100E+000, 2.9879885E+000, 2.9284794E+000, 2.9407361E+000, 2.9516795E+000, 2.9685173E+000, 2.9840989E+000, 2.9957340E+000, 3.0023670E+000, 3.0026388E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 5.8002777E+001, 2.2736963E+002, 5.1497388E+002, 1.0984949E+001, 9.1516600E+000, 7.2347584E+000, 5.5455170E+000, 4.4840155E+000, 3.8022878E+000, 3.4027717E+000, 3.2166159E+000, 3.0614529E+000, 2.9736583E+000, 2.9245138E+000, 2.9384615E+000, 2.9487350E+000, 2.9661324E+000, 2.9823859E+000, 2.9946117E+000, 3.0022027E+000, 3.0026381E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 6.0005875E+001, 2.2779759E+002, 5.1386261E+002, 1.0946575E+001, 9.0830812E+000, 7.1799150E+000, 5.5063257E+000, 4.4579730E+000, 3.7841768E+000, 3.3930171E+000, 3.2164018E+000, 3.0667248E+000, 2.9837792E+000, 2.9204595E+000, 2.9354174E+000, 2.9458380E+000, 2.9636960E+000, 2.9806476E+000, 2.9934292E+000, 3.0019708E+000, 3.0026369E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 6.2000628E+001, 2.2779141E+002, 5.1271979E+002, 1.0877015E+001, 9.0320492E+000, 7.1578231E+000, 5.5010099E+000, 4.4572601E+000, 3.7883031E+000, 3.3949378E+000, 3.2135677E+000, 3.0652184E+000, 2.9801764E+000, 2.9163258E+000, 2.9321036E+000, 2.9430902E+000, 2.9612205E+000, 2.9788971E+000, 2.9921935E+000, 3.0016634E+000, 3.0026350E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 6.4003726E+001, 2.2810182E+002, 5.1154828E+002, 1.0836261E+001, 8.9266911E+000, 7.1239719E+000, 5.4818983E+000, 4.4494333E+000, 3.7900164E+000, 3.4019842E+000, 3.2220681E+000, 3.0707541E+000, 2.9854152E+000, 2.9121282E+000, 2.9286537E+000, 2.9409099E+000, 2.9587061E+000, 2.9771369E+000, 2.9909024E+000, 3.0012748E+000, 3.0026317E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 6.6001329E+001, 2.2777403E+002, 5.1052942E+002, 1.0785245E+001, 8.9145889E+000, 7.0857062E+000, 5.4620967E+000, 4.4310975E+000, 3.7733355E+000, 3.3823836E+000, 3.2017450E+000, 3.0562611E+000, 2.9797952E+000, 2.9078701E+000, 2.9251027E+000, 2.9392869E+000, 2.9561553E+000, 2.9753675E+000, 2.9895601E+000, 3.0008054E+000, 3.0026262E+000, 3.0026393E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 6.8006790E+001, 2.2776347E+002, 5.0948474E+002, 1.0753470E+001, 8.9358788E+000, 7.0385618E+000, 5.4323053E+000, 4.4126339E+000, 3.7676916E+000, 3.3931389E+000, 3.2139792E+000, 3.0625799E+000, 2.9773064E+000, 2.9035611E+000, 2.9214718E+000, 2.9368386E+000, 2.9535789E+000, 2.9735670E+000, 2.9881728E+000, 3.0002596E+000, 3.0026174E+000, 3.0026391E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 7.0002994E+001, 2.2773643E+002, 5.0851904E+002, 1.0691644E+001, 8.8722162E+000, 7.0153470E+000, 5.4235435E+000, 4.4041028E+000, 3.7569363E+000, 3.3778083E+000, 3.2041259E+000, 3.0565455E+000, 2.9724765E+000, 2.8992143E+000, 2.9177754E+000, 2.9339578E+000, 2.9509857E+000, 2.9716883E+000, 2.9867423E+000, 2.9996419E+000, 3.0026031E+000, 3.0026386E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 7.2004765E+001, 2.2789763E+002, 5.0767886E+002, 1.0663016E+001, 8.8491545E+000, 6.9949098E+000, 5.4067721E+000, 4.3919864E+000, 3.7537684E+000, 3.3759305E+000, 3.2002935E+000, 3.0556433E+000, 2.9737666E+000, 2.8948331E+000, 2.9140224E+000, 2.9309058E+000, 2.9483869E+000, 2.9697218E+000, 2.9852695E+000, 2.9989545E+000, 3.0025802E+000, 3.0026379E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 7.4007417E+001, 2.2825429E+002, 5.0665143E+002, 1.0642484E+001, 8.8222895E+000, 6.9562144E+000, 5.3844814E+000, 4.3733191E+000, 3.7393508E+000, 3.3692212E+000, 3.2010787E+000, 3.0661867E+000, 2.9918232E+000, 2.8904145E+000, 2.9102068E+000, 2.9277418E+000, 2.9457932E+000, 2.9676809E+000, 2.9837544E+000, 2.9982007E+000, 3.0025444E+000, 3.0026367E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
