s,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 9.1500089E+001, 8.9321899E+001, 3.9325891E+002, 6.0607076E+000, 4.3964949E+000, 3.0283475E+000, 1.9030025E+000, 1.1378971E+000, 7.2416329E-001, 5.1054466E-001, 3.8648474E-001, 3.0363819E-001, 2.6153323E-001
 9.3005673E+001, 8.9600136E+001, 3.9302118E+002, 6.0730639E+000, 4.3921862E+000, 3.0261066E+000, 1.9021883E+000, 1.1368523E+000, 7.1843988E-001, 5.1044905E-001, 3.8737801E-001, 3.0620202E-001, 2.5860676E-001
 9.4511257E+001, 8.8560646E+001, 3.9282898E+002, 6.0755982E+000, 4.3973374E+000, 3.0265682E+000, 1.9027458E+000, 1.1374952E+000, 7.2091967E-001, 5.1467580E-001, 3.9250135E-001, 3.0889621E-001, 2.6111782E-001
 9.6005648E+001, 8.8974792E+001, 3.9260068E+002, 6.0382495E+000, 4.3595910E+000, 3.0079374E+000, 1.8922074E+000, 1.1330190E+000, 7.2632366E-001, 5.1243448E-001, 3.9218128E-001, 3.0927366E-001, 2.5641418E-001
 9.7511974E+001, 8.9685104E+001, 3.9239529E+002, 6.0862770E+000, 4.3911490E+000, 3.0212574E+000, 1.8976367E+000, 1.1347995E+000, 7.2705829E-001, 5.1151806E-001, 3.9311495E-001, 3.1397536E-001, 2.6344803E-001
 9.9004354E+001, 9.0213570E+001, 3.9226974E+002, 6.0791111E+000, 4.3967395E+000, 3.0260465E+000, 1.9002266E+000, 1.1370790E+000, 7.2622925E-001, 5.1281470E-001, 3.9990795E-001, 3.2807249E-001, 2.7255949E-001
 1.0050789E+002, 9.0897774E+001, 3.9207098E+002, 6.1025195E+000, 4.4048309E+000, 3.0282085E+000, 1.9014410E+000, 1.1381112E+000, 7.2882599E-001, 5.1472753E-001, 4.0288830E-001, 3.2629552E-001, 2.7284038E-001
 1.0201143E+002, 9.0763115E+001, 3.9189426E+002, 6.0818615E+000, 4.4019194E+000, 3.0305450E+000, 1.9057699E+000, 1.1423405E+000, 7.3552787E-001, 5.1026034E-001, 3.9132819E-001, 3.1613937E-001, 2.7129784E-001
 1.0351497E+002, 9.0317932E+001, 3.9176495E+002, 6.0538960E+000, 4.3834887E+000, 3.0183225E+000, 1.8967047E+000, 1.1375690E+000, 7.2848552E-001, 5.2368546E-001, 4.0290880E-001, 3.3307353E-001, 2.8947341E-001
 1.0500316E+002, 9.0597008E+001, 3.9143536E+002, 6.0288005E+000, 4.3677750E+000, 3.0173008E+000, 1.9018846E+000, 1.1415647E+000, 7.3134458E-001, 5.2046502E-001, 4.0071991E-001, 3.2198334E-001, 2.7192020E-001
 1.0650670E+002, 9.1468155E+001, 3.9143033E+002, 6.1175203E+000, 4.4045715E+000, 3.0300591E+000, 1.9052354E+000, 1.1434971E+000, 7.3956054E-001, 5.1271230E-001, 4.0232316E-001, 3.2246444E-001, 2.7717820E-001
 1.0801023E+002, 9.1564064E+001, 3.9124554E+002, 6.0546927E+000, 4.3876719E+000, 3.0296338E+000, 1.9072024E+000, 1.1435239E+000, 7.3395866E-001, 5.1598012E-001, 4.0034184E-001, 3.2308227E-001, 2.7925783E-001
 1.0951377E+002, 9.1148155E+001, 3.9106668E+002, 6.0392509E+000, 4.3456206E+000, 3.0030942E+000, 1.8944690E+000, 1.1390789E+000, 7.3357362E-001, 5.2151972E-001, 4.0822703E-001, 3.3446854E-001, 2.8197664E-001
 1.1100197E+002, 9.1004044E+001, 3.9098206E+002, 6.0732975E+000, 4.3750072E+000, 3.0088112E+000, 1.8932213E+000, 1.1365412E+000, 7.3144984E-001, 5.2679789E-001, 4.0549037E-001, 3.2305896E-001, 2.7052137E-001
 1.1250550E+002, 9.0727394E+001, 3.9086987E+002, 6.0614905E+000, 4.3976889E+000, 3.0265017E+000, 1.9069425E+000, 1.1453602E+000, 7.3424530E-001, 5.2979815E-001, 4.1307682E-001, 3.2940325E-001, 2.7441189E-001
 1.1400904E+002, 9.0817291E+001, 3.9085840E+002, 6.0813856E+000, 4.3884940E+000, 3.0183184E+000, 1.9018246E+000, 1.1450927E+000, 7.3858786E-001, 5.1963466E-001, 4.0197158E-001, 3.2910514E-001, 2.8350252E-001
 1.1551258E+002, 9.0453484E+001, 3.9082056E+002, 6.0825834E+000, 4.3941207E+000, 3.0242274E+000, 1.9045132E+000, 1.1463875E+000, 7.3756772E-001, 5.2294534E-001, 4.0341920E-001, 3.2930321E-001, 2.8520948E-001
 1.1700077E+002, 9.0972961E+001, 3.9057089E+002, 6.0316548E+000, 4.3671832E+000, 3.0088174E+000, 1.8950562E+000, 1.1412091E+000, 7.2795838E-001, 5.2867734E-001, 4.1031459E-001, 3.2940558E-001, 2.8083658E-001
 1.1850431E+002, 9.1565361E+001, 3.9046091E+002, 6.0536709E+000, 4.3821788E+000, 3.0174954E+000, 1.9005549E+000, 1.1441439E+000, 7.3606950E-001, 5.2526969E-001, 4.0661696E-001, 3.3260670E-001, 2.8643739E-001
 1.2000785E+002, 9.2067726E+001, 3.9045566E+002, 6.0738850E+000, 4.3938117E+000, 3.0201082E+000, 1.9012719E+000, 1.1454073E+000, 7.4269009E-001, 5.1920480E-001, 4.0160945E-001, 3.2525063E-001, 2.7953407E-001
 1.2151138E+002, 9.2738411E+001, 3.9040860E+002, 6.0702291E+000, 4.4076748E+000, 3.0298436E+000, 1.9064691E+000, 1.1481419E+000, 7.4375826E-001, 5.2676058E-001, 4.1087693E-001, 3.3396050E-001, 2.8412148E-001
 1.2301492E+002, 9.2377831E+001, 3.9038062E+002, 6.0782151E+000, 4.3948379E+000, 3.0268633E+000, 1.9082178E+000, 1.1501111E+000, 7.4680895E-001, 5.2625328E-001, 4.1155389E-001, 3.3766586E-001, 2.8923863E-001
 1.2450312E+002, 9.2335625E+001, 3.9017886E+002, 6.0190635E+000, 4.3479590E+000, 3.0004129E+000, 1.8933711E+000, 1.1435173E+000, 7.4059784E-001, 5.1602596E-001, 4.0636227E-001, 3.3250272E-001, 2.9389378E-001
 1.2600665E+002, 9.2359222E+001, 3.9001382E+002, 6.0500178E+000, 4.3705854E+000, 3.0137758E+000, 1.9017926E+000, 1.1471075E+000, 7.4535209E-001, 5.4410577E-001, 4.1962257E-001, 3.3459544E-001, 2.8471142E-001
 1.2751019E+002, 9.2277122E+001, 3.8995813E+002, 6.0857368E+000, 4.3879347E+000, 3.0235083E+000, 1.9063443E+000, 1.1514524E+000, 7.4511033E-001, 5.3131253E-001, 4.1366792E-001, 3.3836779E-001, 3.1452143E-001
 1.2901373E+002, 9.2524506E+001, 3.8993286E+002, 6.0831676E+000, 4.3989868E+000, 3.0261810E+000, 1.9062572E+000, 1.1503817E+000, 7.4500108E-001, 5.3231895E-001, 4.1833299E-001, 3.3879474E-001, 2.9149115E-001
 1.3050192E+002, 9.2811913E+001, 3.8992154E+002, 6.1128488E+000, 4.3969426E+000, 3.0216870E+000, 1.9040215E+000, 1.1529518E+000, 7.4921930E-001, 5.3407145E-001, 4.1873673E-001, 3.4075865E-001, 2.9267603E-001
 1.3200546E+002, 9.2631264E+001, 3.8974265E+002, 6.0760946E+000, 4.3653874E+000, 3.0112062E+000, 1.9042059E+000, 1.1526829E+000, 7.3926133E-001, 5.4160053E-001, 4.2400947E-001, 3.4770975E-001, 3.0099761E-001
 1.3350900E+002, 9.2697876E+001, 3.8966309E+002, 6.0446310E+000, 4.3731942E+000, 3.0227690E+000, 1.9091797E+000, 1.1556964E+000, 7.5211912E-001, 5.3444290E-001, 4.1784328E-001, 3.4180525E-001, 2.9793215E-001
 1.3501253E+002, 9.2273117E+001, 3.8955927E+002, 6.0666900E+000, 4.3783484E+000, 3.0101442E+000, 1.8979446E+000, 1.1484286E+000, 7.4752426E-001, 5.2709019E-001, 4.1188237E-001, 3.3507410E-001, 2.9169473E-001
 1.3650073E+002, 9.2665688E+001, 3.8952271E+002, 6.0764704E+000, 4.3972516E+000, 3.0228119E+000, 1.9048051E+000, 1.1519059E+000, 7.4318784E-001, 5.4246539E-001, 4.2679033E-001, 3.4425551E-001, 2.8939366E-001
 1.3800116E+002, 9.2642731E+001, 3.8955383E+002, 6.1081004E+000, 4.3911572E+000, 3.0271964E+000, 1.9107870E+000, 1.1588434E+000, 7.5166255E-001, 5.5319893E-001, 4.4013011E-001, 3.6078763E-001, 3.0762485E-001
 1.3950420E+002, 9.2607864E+001, 3.8944653E+002, 6.0179172E+000, 4.3403678E+000, 3.0078566E+000, 1.9046640E+000, 1.1578876E+000, 7.5950551E-001, 5.3419805E-001, 4.2193422E-001, 3.4708181E-001, 3.0672240E-001
 1.4101275E+002, 9.2757828E+001, 3.8935892E+002, 6.0765438E+000, 4.3689895E+000, 3.0160501E+000, 1.9085815E+000, 1.1592433E+000, 7.5521499E-001, 5.3721666E-001, 4.2371878E-001, 3.5825172E-001, 3.1812042E-001
 1.4251440E+002, 9.3353531E+001, 3.8928262E+002, 6.1031485E+000, 4.3879600E+000, 3.0288899E+000, 1.9141896E+000, 1.1610773E+000, 7.5941604E-001, 5.3602827E-001, 4.2419064E-001, 3.5354882E-001, 3.0947483E-001
 1.4400089E+002, 9.3445740E+001, 3.8928873E+002, 6.1459556E+000, 4.4025426E+000, 3.0358334E+000, 1.9151596E+000, 1.1617373E+000, 7.5427967E-001, 5.3972882E-001, 4.2343715E-001, 3.4690040E-001, 2.9524732E-001
 1.4550255E+002, 9.3552231E+001, 3.8914728E+002, 6.0851908E+000, 4.3771906E+000, 3.0257597E+000, 1.9107326E+000, 1.1574275E+000, 7.4324727E-001, 5.4463315E-001, 4.2602339E-001, 3.4395510E-001, 2.9002154E-001
 1.4700420E+002, 9.4045723E+001, 3.8914621E+002, 6.1410952E+000, 4.3918495E+000, 3.0283654E+000, 1.9145222E+000, 1.1637594E+000, 7.6326561E-001, 5.4133511E-001, 4.2678279E-001, 3.4825906E-001, 3.0454496E-001
 1.4850586E+002, 9.4316704E+001, 3.8909579E+002, 6.1263356E+000, 4.3859940E+000, 3.0266292E+000, 1.9132328E+000, 1.1633112E+000, 7.6390457E-001, 5.3971547E-001, 4.2483389E-001, 3.5171992E-001, 3.1119111E-001
 1.5000752E+002, 9.3837936E+001, 3.8906091E+002, 6.1211562E+000, 4.4007568E+000, 3.0439367E+000, 1.9234295E+000, 1.1689121E+000, 7.6628214E-001, 5.3918540E-001, 4.2297339E-001, 3.4596902E-001, 3.0610520E-001
 1.5150917E+002, 9.4549461E+001, 3.8905066E+002, 6.1262760E+000, 4.3873644E+000, 3.0282073E+000, 1.9152551E+000, 1.1646914E+000, 7.5509268E-001, 5.5618840E-001, 4.4689584E-001, 3.6783725E-001, 3.1340528E-001
 1.5301083E+002, 9.4523659E+001, 3.8890710E+002, 6.1066499E+000, 4.3770256E+000, 3.0311577E+000, 1.9201764E+000, 1.1672021E+000, 7.5740767E-001, 5.6261486E-001, 4.4585374E-001, 3.6337662E-001, 3.0771881E-001
 1.5451249E+002, 9.4743210E+001, 3.8894821E+002, 6.1221137E+000, 4.3817582E+000, 3.0360742E+000, 1.9247433E+000, 1.1709282E+000, 7.6139432E-001, 5.6971377E-001, 4.5245287E-001, 3.6936298E-001, 3.1572658E-001
 1.5601414E+002, 9.4552139E+001, 3.8901715E+002, 6.1504803E+000, 4.4129224E+000, 3.0517826E+000, 1.9317412E+000, 1.1767805E+000, 7.6956564E-001, 5.6308246E-001, 4.6056822E-001, 3.8276309E-001, 3.2518396E-001
 1.5750063E+002, 9.3877892E+001, 3.8895740E+002, 6.1067920E+000, 4.3952031E+000, 3.0379007E+000, 1.9232138E+000, 1.1717730E+000, 7.7065754E-001, 5.3558713E-001, 4.2934009E-001, 3.6243162E-001, 3.3209842E-001
