s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 4.2138848E+000, 2.6387542E+002, 2.0950951E+002, 1.9798466E+002, 1.0081915E+002, 3.8672555E+001, 3.4442688E+001, 3.1195823E+001, 2.8396952E+001, 2.0024395E+001, 2.0036481E+001, 2.0037361E+001, 2.0105431E+001, 2.0165167E+001, 2.0142350E+001, 2.0095999E+001, 2.0062490E+001
 4.3112936E+000, 2.4024437E+002, 1.7010701E+002, 2.0345565E+002, 7.5549375E+001, 3.7944332E+001, 3.4781590E+001, 3.1442614E+001, 2.8513425E+001, 2.0024030E+001, 2.0035883E+001, 2.0037542E+001, 2.0106562E+001, 2.0167988E+001, 2.0144264E+001, 2.0096305E+001, 2.0062248E+001
 4.4087019E+000, 1.8534018E+002, 1.9613311E+002, 1.9658236E+002, 5.9496989E+001, 3.7232086E+001, 3.6590003E+001, 3.2959266E+001, 2.9597027E+001, 2.0022786E+001, 2.0033909E+001, 2.0039246E+001, 2.0122511E+001, 2.0190677E+001, 2.0158153E+001, 2.0101995E+001, 2.0064290E+001
 4.5061107E+000, 2.5723219E+002, 2.4928039E+002, 1.7399911E+002, 5.2467219E+001, 3.6972139E+001, 3.7370219E+001, 3.3807729E+001, 3.0345380E+001, 2.0022385E+001, 2.0033253E+001, 2.0040709E+001, 2.0128073E+001, 2.0198194E+001, 2.0163226E+001, 2.0105329E+001, 2.0067559E+001
 4.6035190E+000, 2.6400781E+002, 2.8953025E+002, 1.7619192E+002, 5.0283380E+001, 3.6533132E+001, 3.7540457E+001, 3.3741661E+001, 3.0358896E+001, 2.0022424E+001, 2.0033535E+001, 2.0043799E+001, 2.0136390E+001, 2.0208509E+001, 2.0171046E+001, 2.0111619E+001, 2.0073217E+001
 4.7009277E+000, 2.6276834E+002, 2.9743215E+002, 2.0043429E+002, 5.0699238E+001, 3.7447153E+001, 3.8457199E+001, 3.4163989E+001, 3.0624948E+001, 2.0023387E+001, 2.0034922E+001, 2.0046804E+001, 2.0143939E+001, 2.0218416E+001, 2.0179015E+001, 2.0117560E+001, 2.0077239E+001
 4.8122516E+000, 2.8380092E+002, 2.9663697E+002, 2.4808743E+002, 5.0018142E+001, 3.6694269E+001, 3.8718953E+001, 3.3922002E+001, 3.0345325E+001, 2.0026075E+001, 2.0038766E+001, 2.0049442E+001, 2.0150248E+001, 2.0230186E+001, 2.0189617E+001, 2.0124986E+001, 2.0083406E+001
 4.9096603E+000, 2.4862553E+002, 3.0734767E+002, 3.0918016E+002, 5.0323377E+001, 3.7703718E+001, 4.0274352E+001, 3.4261880E+001, 3.0294126E+001, 2.0028311E+001, 2.0042350E+001, 2.0050536E+001, 2.0151362E+001, 2.0234896E+001, 2.0195056E+001, 2.0128917E+001, 2.0086542E+001
 5.0070686E+000, 1.7262047E+002, 3.1934769E+002, 3.1419446E+002, 4.8700641E+001, 3.9559648E+001, 3.9277066E+001, 3.3926567E+001, 3.0024533E+001, 2.0030084E+001, 2.0044874E+001, 2.0049466E+001, 2.0149044E+001, 2.0228934E+001, 2.0188827E+001, 2.0125724E+001, 2.0087086E+001
 5.1044774E+000, 1.8881596E+002, 3.3195684E+002, 2.9586833E+002, 4.9212688E+001, 3.7269837E+001, 3.6086894E+001, 3.2216859E+001, 2.8906553E+001, 2.0031297E+001, 2.0046778E+001, 2.0048539E+001, 2.0147918E+001, 2.0225757E+001, 2.0184804E+001, 2.0123624E+001, 2.0087874E+001
 5.2018857E+000, 2.3897863E+002, 3.4436672E+002, 2.9648013E+002, 5.3184022E+001, 3.6066151E+001, 3.4388059E+001, 3.1416723E+001, 2.8896097E+001, 2.0031335E+001, 2.0046959E+001, 2.0047593E+001, 2.0138154E+001, 2.0213007E+001, 2.0177678E+001, 2.0122101E+001, 2.0090583E+001
 5.3132100E+000, 2.7257092E+002, 3.5648491E+002, 3.0396155E+002, 5.7040546E+001, 3.5290875E+001, 3.2663891E+001, 3.0008979E+001, 2.7979776E+001, 2.0030871E+001, 2.0045898E+001, 2.0045718E+001, 2.0124471E+001, 2.0194001E+001, 2.0165289E+001, 2.0116767E+001, 2.0089510E+001
 5.4106183E+000, 2.9000673E+002, 3.6838023E+002, 3.0421597E+002, 5.9037310E+001, 3.4113099E+001, 3.2232488E+001, 2.9718612E+001, 2.7855487E+001, 2.0029968E+001, 2.0044680E+001, 2.0044341E+001, 2.0121200E+001, 2.0190975E+001, 2.0162632E+001, 2.0113389E+001, 2.0084919E+001
 5.5080271E+000, 2.8234617E+002, 3.7536767E+002, 2.9859385E+002, 6.2550389E+001, 3.3339064E+001, 3.1754418E+001, 2.9452363E+001, 2.7784340E+001, 2.0028258E+001, 2.0041834E+001, 2.0043201E+001, 2.0121260E+001, 2.0191809E+001, 2.0162235E+001, 2.0112080E+001, 2.0084468E+001
 5.6054354E+000, 2.7735760E+002, 3.7281491E+002, 2.9142662E+002, 7.1158288E+001, 3.2912908E+001, 3.0983621E+001, 2.8882927E+001, 2.7428277E+001, 2.0027059E+001, 2.0040126E+001, 2.0044392E+001, 2.0124152E+001, 2.0196546E+001, 2.0166315E+001, 2.0114672E+001, 2.0086456E+001
 5.7028441E+000, 2.6839543E+002, 3.6307946E+002, 2.8258477E+002, 8.9393630E+001, 3.4011211E+001, 3.0215023E+001, 2.8124596E+001, 2.6759988E+001, 2.0026245E+001, 2.0038696E+001, 2.0046583E+001, 2.0130907E+001, 2.0207257E+001, 2.0175033E+001, 2.0119963E+001, 2.0089848E+001
 5.8002524E+000, 2.6903744E+002, 3.5321403E+002, 2.7783608E+002, 1.1909895E+002, 3.6221538E+001, 2.9516952E+001, 2.7598841E+001, 2.6356831E+001, 2.0026703E+001, 2.0039403E+001, 2.0047844E+001, 2.0133228E+001, 2.0210636E+001, 2.0178221E+001, 2.0122088E+001, 2.0091438E+001
 5.9115763E+000, 2.7778155E+002, 3.4782838E+002, 2.8764300E+002, 1.6004589E+002, 4.1689302E+001, 2.9618630E+001, 2.7338871E+001, 2.6138674E+001, 2.0026963E+001, 2.0039920E+001, 2.0046102E+001, 2.0127285E+001, 2.0201012E+001, 2.0170837E+001, 2.0117789E+001, 2.0089400E+001
 6.0089850E+000, 2.6765589E+002, 3.4744198E+002, 3.1022086E+002, 1.9808733E+002, 5.1731522E+001, 2.9957290E+001, 2.7113735E+001, 2.6015808E+001, 2.0026501E+001, 2.0039368E+001, 2.0043345E+001, 2.0122200E+001, 2.0192660E+001, 2.0163596E+001, 2.0112562E+001, 2.0085487E+001
 6.1063933E+000, 2.4835967E+002, 3.4987224E+002, 3.2586616E+002, 2.2248687E+002, 6.6894128E+001, 3.1197973E+001, 2.6908486E+001, 2.5827289E+001, 2.0025511E+001, 2.0037937E+001, 2.0042137E+001, 2.0120479E+001, 2.0188012E+001, 2.0158149E+001, 2.0108125E+001, 2.0082387E+001
 6.2038021E+000, 2.4751755E+002, 3.5241118E+002, 3.2711430E+002, 2.3482272E+002, 8.7433393E+001, 3.3802483E+001, 2.6939101E+001, 2.5835162E+001, 2.0024569E+001, 2.0036592E+001, 2.0041370E+001, 2.0118349E+001, 2.0183850E+001, 2.0155023E+001, 2.0106840E+001, 2.0083326E+001
 6.3067770E+000, 2.5963798E+002, 3.5451844E+002, 3.2442656E+002, 2.3649034E+002, 1.1022436E+002, 3.7720796E+001, 2.6573289E+001, 2.5464474E+001, 2.0024204E+001, 2.0036002E+001, 2.0041708E+001, 2.0122136E+001, 2.0188371E+001, 2.0157011E+001, 2.0107082E+001, 2.0083905E+001
 6.4139261E+000, 2.8611587E+002, 3.5962676E+002, 3.3089846E+002, 2.2963541E+002, 1.3145827E+002, 4.3996023E+001, 2.6702344E+001, 2.5510987E+001, 2.0023677E+001, 2.0035282E+001, 2.0040598E+001, 2.0119963E+001, 2.0184698E+001, 2.0154083E+001, 2.0105406E+001, 2.0083875E+001
 6.5057683E+000, 2.8615438E+002, 3.6823495E+002, 3.4344765E+002, 2.1999534E+002, 1.4427414E+002, 5.1063207E+001, 2.7122578E+001, 2.5774840E+001, 2.0023542E+001, 2.0035128E+001, 2.0039274E+001, 2.0122013E+001, 2.0186537E+001, 2.0153254E+001, 2.0103619E+001, 2.0083232E+001
 6.6129179E+000, 2.5267993E+002, 3.7327631E+002, 3.5561702E+002, 2.1319044E+002, 1.4914069E+002, 5.8591776E+001, 2.7704147E+001, 2.6108351E+001, 2.0022987E+001, 2.0034434E+001, 2.0038005E+001, 2.0120821E+001, 2.0184665E+001, 2.0151043E+001, 2.0101666E+001, 2.0082274E+001
 6.7047601E+000, 2.3047803E+002, 3.7364879E+002, 3.6737214E+002, 2.1227723E+002, 1.4833156E+002, 6.5739829E+001, 2.8643067E+001, 2.6691879E+001, 2.0022129E+001, 2.0033243E+001, 2.0037641E+001, 2.0120922E+001, 2.0184383E+001, 2.0150679E+001, 2.0101728E+001, 2.0083569E+001
 6.8119097E+000, 2.6179304E+002, 3.7648152E+002, 3.7280593E+002, 2.1705638E+002, 1.4549148E+002, 7.1007371E+001, 2.9329917E+001, 2.7053531E+001, 2.0021641E+001, 2.0032454E+001, 2.0039249E+001, 2.0129999E+001, 2.0198275E+001, 2.0160918E+001, 2.0106505E+001, 2.0085433E+001
 6.9037519E+000, 2.6417797E+002, 3.8104294E+002, 3.6986006E+002, 2.2326939E+002, 1.4192482E+002, 7.3965984E+001, 2.9860044E+001, 2.7347037E+001, 2.0021656E+001, 2.0032546E+001, 2.0040923E+001, 2.0132524E+001, 2.0201352E+001, 2.0164178E+001, 2.0109432E+001, 2.0088607E+001
 7.0109015E+000, 2.4559071E+002, 3.8348006E+002, 3.7043744E+002, 2.2691376E+002, 1.3828263E+002, 7.5648032E+001, 3.0209938E+001, 2.7476235E+001, 2.0022402E+001, 2.0033784E+001, 2.0042687E+001, 2.0138946E+001, 2.0210202E+001, 2.0171642E+001, 2.0114278E+001, 2.0091615E+001
 7.1027436E+000, 2.8033749E+002, 3.8515338E+002, 3.7730568E+002, 2.2633187E+002, 1.3502350E+002, 7.5838858E+001, 3.0739724E+001, 2.7829504E+001, 2.0023384E+001, 2.0035185E+001, 2.0043351E+001, 2.0141706E+001, 2.0213868E+001, 2.0174504E+001, 2.0115829E+001, 2.0092524E+001
 7.2098927E+000, 3.0604737E+002, 3.8782182E+002, 3.8274567E+002, 2.2120612E+002, 1.3287999E+002, 7.4359119E+001, 3.1437843E+001, 2.8796818E+001, 2.0024438E+001, 2.0036894E+001, 2.0042115E+001, 2.0133485E+001, 2.0201211E+001, 2.0166084E+001, 2.0112445E+001, 2.0091892E+001
 7.3017354E+000, 2.4026844E+002, 3.9182835E+002, 3.8469619E+002, 2.1320932E+002, 1.3089904E+002, 7.1912009E+001, 3.1341268E+001, 2.9226561E+001, 2.0025139E+001, 2.0038030E+001, 2.0041270E+001, 2.0131708E+001, 2.0197951E+001, 2.0163367E+001, 2.0111020E+001, 2.0091977E+001
 7.4088845E+000, 2.0383994E+002, 3.9732035E+002, 3.8691031E+002, 2.0759213E+002, 1.3008532E+002, 6.9786775E+001, 3.1553820E+001, 2.9542520E+001, 2.0025290E+001, 2.0038169E+001, 2.0042217E+001, 2.0137744E+001, 2.0208725E+001, 2.0172322E+001, 2.0115994E+001, 2.0095804E+001
 7.5007272E+000, 2.4986219E+002, 4.0367045E+002, 3.9234078E+002, 2.0633247E+002, 1.2991328E+002, 6.7302296E+001, 3.1950251E+001, 2.9913755E+001, 2.0024954E+001, 2.0037590E+001, 2.0044390E+001, 2.0144990E+001, 2.0220222E+001, 2.0181986E+001, 2.0121470E+001, 2.0099201E+001
 7.6078763E+000, 3.1788097E+002, 4.0823689E+002, 3.9873444E+002, 2.0878860E+002, 1.3062062E+002, 6.4860993E+001, 3.2022957E+001, 2.9850364E+001, 2.0025071E+001, 2.0037707E+001, 2.0046703E+001, 2.0151395E+001, 2.0229894E+001, 2.0190942E+001, 2.0128490E+001, 2.0106611E+001
 7.7132230E+000, 3.1881178E+002, 4.1138532E+002, 4.0157186E+002, 2.1449290E+002, 1.3247874E+002, 6.2950027E+001, 3.2885946E+001, 3.0610885E+001, 2.0025889E+001, 2.0039196E+001, 2.0049258E+001, 2.0157953E+001, 2.0241668E+001, 2.0202936E+001, 2.0136341E+001, 2.0111154E+001
 7.8077517E+000, 2.7558418E+002, 4.1814541E+002, 3.9829694E+002, 2.1915285E+002, 1.3358938E+002, 6.0733985E+001, 3.3227767E+001, 3.0762891E+001, 2.0027151E+001, 2.0040975E+001, 2.0050234E+001, 2.0162412E+001, 2.0248147E+001, 2.0208355E+001, 2.0140993E+001, 2.0117570E+001
 7.9022803E+000, 1.7591619E+002, 4.3032614E+002, 3.9516108E+002, 2.2180283E+002, 1.3492068E+002, 5.9262469E+001, 3.4036665E+001, 3.1338831E+001, 2.0028924E+001, 2.0043838E+001, 2.0053104E+001, 2.0189978E+001, 2.0289078E+001, 2.0234413E+001, 2.0151198E+001, 2.0121981E+001
 8.0103140E+000, 2.5403977E+002, 4.4064488E+002, 4.0333046E+002, 2.2391996E+002, 1.3555852E+002, 5.7219898E+001, 3.4454769E+001, 3.1683519E+001, 2.0029703E+001, 2.0045067E+001, 2.0054235E+001, 2.0196242E+001, 2.0298022E+001, 2.0241582E+001, 2.0158025E+001, 2.0133278E+001
