s,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
 1.4612629E+001, 2.3970418E+001, 2.0135573E+001, 2.0605607E+001, 2.0027833E+001, 2.0065977E+001, 2.0074920E+001, 2.0084456E+001, 2.0187071E+001, 2.0263286E+001, 2.0095430E+001, 5.6684536E-002, 1.9765409E-002
 1.4810123E+001, 2.4370247E+001, 2.0143486E+001, 2.0774558E+001, 2.0031373E+001, 2.0068293E+001, 2.0078358E+001, 2.0088494E+001, 2.0196032E+001, 2.0275748E+001, 2.0100570E+001, 5.9717852E-002, 2.0695741E-002
 1.5007618E+001, 2.5214123E+001, 2.0148811E+001, 2.0955849E+001, 2.0036935E+001, 2.0070887E+001, 2.0082010E+001, 2.0092351E+001, 2.0202842E+001, 2.0285202E+001, 2.0104581E+001, 6.2171208E-002, 2.1753084E-002
 1.5228550E+001, 2.5753083E+001, 2.0149964E+001, 2.1173271E+001, 2.0044930E+001, 2.0071153E+001, 2.0082870E+001, 2.0093264E+001, 2.0204009E+001, 2.0286926E+001, 2.0105615E+001, 6.2358092E-002, 2.1988975E-002
 1.5405295E+001, 2.5906516E+001, 2.0156390E+001, 2.1423818E+001, 2.0055595E+001, 2.0071123E+001, 2.0083594E+001, 2.0095239E+001, 2.0211181E+001, 2.0297137E+001, 2.0109470E+001, 6.4535845E-002, 2.2034238E-002
 1.5626227E+001, 2.5752949E+001, 2.0160364E+001, 2.1724528E+001, 2.0071002E+001, 2.0073585E+001, 2.0087036E+001, 2.0098059E+001, 2.0216461E+001, 2.0303871E+001, 2.0110626E+001, 6.6188978E-002, 2.2886187E-002
 1.5802973E+001, 2.5281598E+001, 2.0161127E+001, 2.2049460E+001, 2.0090589E+001, 2.0073774E+001, 2.0087619E+001, 2.0098705E+001, 2.0217241E+001, 2.0304677E+001, 2.0111283E+001, 6.6339221E-002, 2.3060383E-002
 1.6023905E+001, 2.4646432E+001, 2.0161404E+001, 2.2340754E+001, 2.0116723E+001, 2.0074011E+001, 2.0088183E+001, 2.0099314E+001, 2.0218231E+001, 2.0306436E+001, 2.0112009E+001, 6.6423431E-002, 2.3137659E-002
 1.6200651E+001, 2.4243569E+001, 2.0163017E+001, 2.2537273E+001, 2.0151822E+001, 2.0074905E+001, 2.0089620E+001, 2.0101430E+001, 2.0221870E+001, 2.0311697E+001, 2.0115385E+001, 6.7865344E-002, 2.3460589E-002
 1.6421583E+001, 2.4195633E+001, 2.0163882E+001, 2.2611859E+001, 2.0201784E+001, 2.0075603E+001, 2.0090343E+001, 2.0102474E+001, 2.0223549E+001, 2.0313487E+001, 2.0116643E+001, 6.8401116E-002, 2.3549051E-002
 1.6642515E+001, 2.4139994E+001, 2.0164627E+001, 2.2631729E+001, 2.0284937E+001, 2.0076748E+001, 2.0090734E+001, 2.0102910E+001, 2.0224288E+001, 2.0313980E+001, 2.0117244E+001, 6.8519417E-002, 2.3599763E-002
 1.6819260E+001, 2.3756771E+001, 2.0167002E+001, 2.2687013E+001, 2.0398074E+001, 2.0079384E+001, 2.0091922E+001, 2.0103841E+001, 2.0227018E+001, 2.0317640E+001, 2.0117528E+001, 6.9230337E-002, 2.3907049E-002
 1.7040192E+001, 2.3069000E+001, 2.0167824E+001, 2.2824698E+001, 2.0564808E+001, 2.0083766E+001, 2.0093190E+001, 2.0104444E+001, 2.0228553E+001, 2.0319086E+001, 2.0117313E+001, 6.9583488E-002, 2.4320812E-002
 1.7216938E+001, 2.2409556E+001, 2.0168087E+001, 2.2999214E+001, 2.0791622E+001, 2.0089976E+001, 2.0093680E+001, 2.0104689E+001, 2.0229163E+001, 2.0319479E+001, 2.0117602E+001, 6.9698350E-002, 2.4458969E-002
 1.7437870E+001, 2.2095027E+001, 2.0174090E+001, 2.3125896E+001, 2.1086323E+001, 2.0101834E+001, 2.0095644E+001, 2.0107315E+001, 2.0237554E+001, 2.0331562E+001, 2.0120987E+001, 7.2284526E-002, 2.4859052E-002
 1.7614616E+001, 2.2162449E+001, 2.0182181E+001, 2.3138684E+001, 2.1435906E+001, 2.0123756E+001, 2.0101433E+001, 2.0113456E+001, 2.0249717E+001, 2.0347031E+001, 2.0126631E+001, 7.6584520E-002, 2.6373351E-002
 1.7835548E+001, 2.2467592E+001, 2.0183707E+001, 2.2998395E+001, 2.1820372E+001, 2.0153608E+001, 2.0102830E+001, 2.0114545E+001, 2.0251660E+001, 2.0349369E+001, 2.0128028E+001, 7.6852054E-002, 2.6557129E-002
 1.8012293E+001, 2.2766768E+001, 2.0185273E+001, 2.2746905E+001, 2.2210719E+001, 2.0197357E+001, 2.0104255E+001, 2.0115684E+001, 2.0254288E+001, 2.0352206E+001, 2.0129513E+001, 7.7278660E-002, 2.6635864E-002
 1.8233225E+001, 2.2904007E+001, 2.0184415E+001, 2.2461966E+001, 2.2580194E+001, 2.0259168E+001, 2.0105699E+001, 2.0115767E+001, 2.0253347E+001, 2.0349755E+001, 2.0129270E+001, 7.6598879E-002, 2.6761586E-002
 1.8409971E+001, 2.2877705E+001, 2.0184450E+001, 2.2220562E+001, 2.2912206E+001, 2.0338823E+001, 2.0107292E+001, 2.0116206E+001, 2.0253476E+001, 2.0349110E+001, 2.0129462E+001, 7.6407706E-002, 2.6955078E-002
 1.8630903E+001, 2.2753202E+001, 2.0186736E+001, 2.2043196E+001, 2.3193632E+001, 2.0436493E+001, 2.0109193E+001, 2.0117175E+001, 2.0255699E+001, 2.0352410E+001, 2.0131256E+001, 7.6869931E-002, 2.7110660E-002
 1.8807650E+001, 2.2613463E+001, 2.0193016E+001, 2.1899245E+001, 2.3426343E+001, 2.0548651E+001, 2.0113232E+001, 2.0120365E+001, 2.0262663E+001, 2.0362428E+001, 2.0135174E+001, 7.8962798E-002, 2.7638329E-002
 1.9028582E+001, 2.2497936E+001, 2.0196139E+001, 2.1761959E+001, 2.3609760E+001, 2.0668726E+001, 2.0117521E+001, 2.0123140E+001, 2.0267730E+001, 2.0368575E+001, 2.0136989E+001, 8.0334138E-002, 2.8211500E-002
 1.9205326E+001, 2.2423539E+001, 2.0197058E+001, 2.1624260E+001, 2.3752295E+001, 2.0787342E+001, 2.0120399E+001, 2.0124331E+001, 2.0269562E+001, 2.0370028E+001, 2.0137920E+001, 8.0499790E-002, 2.8345166E-002
 1.9426258E+001, 2.2423012E+001, 2.0200686E+001, 2.1511775E+001, 2.3857335E+001, 2.0898092E+001, 2.0124175E+001, 2.0126755E+001, 2.0276016E+001, 2.0378673E+001, 2.0140157E+001, 8.2117739E-002, 2.8636116E-002
 1.9603004E+001, 2.2528392E+001, 2.0205241E+001, 2.1468992E+001, 2.3932563E+001, 2.0996249E+001, 2.0129982E+001, 2.0130864E+001, 2.0283246E+001, 2.0385578E+001, 2.0144083E+001, 8.4537763E-002, 2.9613297E-002
 1.9823936E+001, 2.2804585E+001, 2.0205868E+001, 2.1527946E+001, 2.3977153E+001, 2.1071530E+001, 2.0133388E+001, 2.0132237E+001, 2.0284973E+001, 2.0386154E+001, 2.0144933E+001, 8.4666181E-002, 2.9634281E-002
 2.0000683E+001, 2.3298782E+001, 2.0208161E+001, 2.1663803E+001, 2.3995840E+001, 2.1125338E+001, 2.0136906E+001, 2.0134202E+001, 2.0288832E+001, 2.0388518E+001, 2.0146909E+001, 8.5594910E-002, 2.9675647E-002
 2.0221615E+001, 2.3963738E+001, 2.0209238E+001, 2.1827626E+001, 2.3989965E+001, 2.1157950E+001, 2.0142829E+001, 2.0137389E+001, 2.0292725E+001, 2.0393490E+001, 2.0148406E+001, 8.6630268E-002, 3.0171592E-002
 2.0442547E+001, 2.4498180E+001, 2.0209283E+001, 2.1977647E+001, 2.3960569E+001, 2.1170183E+001, 2.0147377E+001, 2.0139083E+001, 2.0294199E+001, 2.0394650E+001, 2.0148831E+001, 8.6780717E-002, 3.0504803E-002
 2.0619291E+001, 2.4389470E+001, 2.0210970E+001, 2.2053017E+001, 2.3917644E+001, 2.1163363E+001, 2.0150701E+001, 2.0140362E+001, 2.0296760E+001, 2.0398456E+001, 2.0150090E+001, 8.7111370E-002, 3.0642492E-002
 2.0840223E+001, 2.3666049E+001, 2.0216551E+001, 2.2064586E+001, 2.3862184E+001, 2.1143952E+001, 2.0155613E+001, 2.0143662E+001, 2.0304197E+001, 2.0408241E+001, 2.0153731E+001, 8.9213856E-002, 3.1195692E-002
