s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 4.5011986E+001, 4.2549551E+001, 4.2549551E+001, 4.2549551E+001, 1.3507630E+002, 1.0063516E+002, 8.0535361E+001, 5.9743670E+001, 3.2270738E+001, 2.5643354E+001, 2.4907658E+001, 2.2188826E+001, 7.1060635E+001, 5.1660927E+001, 4.8830621E+001, 4.2262252E+001, 3.1457212E+001, 2.3079253E+001, 2.0132778E+001, 2.0070184E+001
 5.0015877E+001, 4.7542605E+001, 4.7542605E+001, 4.7542605E+001, 1.4942324E+002, 1.1609771E+002, 9.4106346E+001, 7.2683118E+001, 3.5265723E+001, 2.7853659E+001, 2.5302371E+001, 2.2454775E+001, 8.0865277E+001, 5.8965369E+001, 5.5912805E+001, 4.8238805E+001, 3.6387262E+001, 2.3606926E+001, 2.0240175E+001, 2.0092147E+001
 5.5008091E+001, 5.2534469E+001, 5.2534469E+001, 5.2534469E+001, 1.8077848E+002, 1.2741454E+002, 1.0890836E+002, 7.4696535E+001, 4.1030999E+001, 2.8140699E+001, 2.5516592E+001, 2.2761794E+001, 9.1273223E+001, 6.7465375E+001, 6.4091100E+001, 5.5470007E+001, 4.3746694E+001, 2.7807686E+001, 2.1162128E+001, 2.0139452E+001
 6.0005604E+001, 5.7523322E+001, 5.7523322E+001, 5.7523322E+001, 2.0155690E+002, 1.4935371E+002, 1.2702014E+002, 8.5266239E+001, 4.6743741E+001, 3.2878922E+001, 2.6851261E+001, 2.3163893E+001, 9.9530165E+001, 7.4348779E+001, 7.0536952E+001, 6.4124672E+001, 4.8500173E+001, 3.5208271E+001, 2.3916015E+001, 2.0276977E+001
 6.5014709E+001, 6.2587623E+001, 6.2587623E+001, 6.2587623E+001, 2.1485027E+002, 1.6902013E+002, 1.4234810E+002, 1.0168331E+002, 5.4196195E+001, 4.1642703E+001, 2.8277269E+001, 2.4170468E+001, 1.1466902E+002, 8.5905249E+001, 8.1534413E+001, 7.0085184E+001, 5.5791860E+001, 3.6512413E+001, 2.5475902E+001, 2.0521349E+001
 7.0005669E+001, 6.7550252E+001, 6.7550252E+001, 6.7550252E+001, 2.4701742E+002, 1.8570004E+002, 1.5819718E+002, 1.1260125E+002, 6.2486159E+001, 4.5270655E+001, 3.0327203E+001, 2.4235016E+001, 1.2643962E+002, 9.6577251E+001, 9.3245872E+001, 7.8560713E+001, 6.4268300E+001, 4.5049937E+001, 2.9869593E+001, 2.0842377E+001
 7.5007164E+001, 7.2514967E+001, 7.2514967E+001, 7.2514967E+001, 2.8855433E+002, 2.1159006E+002, 1.7912053E+002, 1.2506780E+002, 7.4250562E+001, 5.2290736E+001, 3.3222863E+001, 2.5353798E+001, 1.3794188E+002, 1.1170526E+002, 1.0087737E+002, 8.7838562E+001, 7.1849388E+001, 5.0424547E+001, 3.2850406E+001, 2.0961886E+001
 8.0008621E+001, 7.7540693E+001, 7.7540693E+001, 7.7540693E+001, 3.0358576E+002, 2.2793016E+002, 1.9249822E+002, 1.3758635E+002, 7.9961156E+001, 6.1041398E+001, 3.5476961E+001, 2.6677661E+001, 1.5198303E+002, 1.1784357E+002, 1.1013565E+002, 9.7405778E+001, 7.9720371E+001, 5.7460264E+001, 3.7682433E+001, 2.2200387E+001
 8.5000282E+001, 8.2512770E+001, 8.2512770E+001, 8.2512770E+001, 3.4474062E+002, 2.4485436E+002, 2.1027346E+002, 1.6062575E+002, 9.7965570E+001, 7.3105233E+001, 4.1545744E+001, 2.8317913E+001, 1.7070772E+002, 1.3233568E+002, 1.2306466E+002, 1.0765484E+002, 8.8746601E+001, 6.7498369E+001, 4.1566620E+001, 2.2865204E+001
 9.0002678E+001, 8.7530476E+001, 8.7530476E+001, 8.7530476E+001, 4.0072296E+002, 2.7166534E+002, 2.3962167E+002, 1.8354758E+002, 1.1686347E+002, 8.0013287E+001, 4.6578952E+001, 3.0867318E+001, 1.9300153E+002, 1.4508258E+002, 1.3665375E+002, 1.1730296E+002, 1.0323538E+002, 7.7523630E+001, 5.1015566E+001, 2.4297744E+001
 9.5003006E+001, 9.2514810E+001, 9.2514810E+001, 9.2514810E+001, 4.4841498E+002, 3.0199547E+002, 2.6069993E+002, 1.9798377E+002, 1.3565711E+002, 9.2060467E+001, 5.2398031E+001, 3.4348906E+001, 2.1071495E+002, 1.6252849E+002, 1.5349010E+002, 1.3386191E+002, 1.1564786E+002, 8.8327161E+001, 6.0051854E+001, 2.8281060E+001
 1.0001068E+002, 9.7527260E+001, 9.7527260E+001, 9.7527260E+001, 4.7981813E+002, 3.1137484E+002, 2.7474949E+002, 2.2320297E+002, 1.4440482E+002, 1.0514408E+002, 6.4284743E+001, 3.9522216E+001, 2.2646372E+002, 1.7888784E+002, 1.6707348E+002, 1.4617590E+002, 1.2973875E+002, 9.9213166E+001, 7.1043602E+001, 3.2357338E+001
 1.0500671E+002, 1.0251649E+002, 1.0251649E+002, 1.0251649E+002, 4.9828959E+002, 3.2745556E+002, 2.9085014E+002, 2.4649049E+002, 1.6373190E+002, 1.1717759E+002, 7.2557334E+001, 4.1067196E+001, 2.4389794E+002, 1.9146524E+002, 1.7977379E+002, 1.5891893E+002, 1.4313765E+002, 1.1223977E+002, 8.3075932E+001, 3.8732949E+001
 1.1001130E+002, 1.0748766E+002, 1.0748766E+002, 1.0748766E+002, 5.2965173E+002, 3.4112691E+002, 3.0678823E+002, 2.6280449E+002, 1.8875762E+002, 1.2944546E+002, 9.2703436E+001, 4.9770350E+001, 2.5487112E+002, 1.9938283E+002, 1.9039214E+002, 1.7050937E+002, 1.5437191E+002, 1.2771075E+002, 9.4471315E+001, 4.4117810E+001
 1.1500496E+002, 1.1254133E+002, 1.1254133E+002, 1.1254133E+002, 5.7836719E+002, 3.6197043E+002, 3.2222650E+002, 2.7954479E+002, 2.0345138E+002, 1.4217540E+002, 1.0554461E+002, 5.6847594E+001, 2.6997219E+002, 2.1118194E+002, 2.0171361E+002, 1.8204889E+002, 1.6650274E+002, 1.4596491E+002, 1.0477937E+002, 5.5515721E+001
 1.2000555E+002, 1.1748614E+002, 1.1748614E+002, 1.1748614E+002, 6.4605515E+002, 4.0262292E+002, 3.4460399E+002, 3.0497620E+002, 2.2592120E+002, 1.5835051E+002, 1.2619148E+002, 6.7138356E+001, 2.8591047E+002, 2.1808294E+002, 2.0914525E+002, 1.9186175E+002, 1.7419207E+002, 1.5938713E+002, 1.2004387E+002, 6.5860871E+001
 1.2501160E+002, 1.2251078E+002, 1.2251078E+002, 1.2251078E+002, 6.4573803E+002, 4.0840283E+002, 3.6705985E+002, 3.3033894E+002, 2.5414821E+002, 1.7568979E+002, 1.4303046E+002, 7.7099839E+001, 3.0812379E+002, 2.3634245E+002, 2.2710782E+002, 2.0708145E+002, 1.9213167E+002, 1.6978822E+002, 1.3401921E+002, 8.1893894E+001
 1.3000766E+002, 1.2753509E+002, 1.2753509E+002, 1.2753509E+002, 6.1411486E+002, 4.1065237E+002, 3.7587019E+002, 3.4843001E+002, 2.9245825E+002, 1.9513676E+002, 1.5355713E+002, 8.6950727E+001, 3.2030094E+002, 2.4494168E+002, 2.3848120E+002, 2.2148117E+002, 2.0721128E+002, 1.8043084E+002, 1.4970956E+002, 1.0528645E+002
 1.3501157E+002, 1.3242197E+002, 1.3242197E+002, 1.3242197E+002, 5.3206928E+002, 3.8269530E+002, 3.6154294E+002, 3.4645867E+002, 2.9856045E+002, 1.9043197E+002, 1.6104213E+002, 8.4323739E+001, 3.0400981E+002, 2.4966574E+002, 2.3872772E+002, 2.2273973E+002, 2.1569607E+002, 1.9254519E+002, 1.5853441E+002, 1.1626322E+002
 1.4000092E+002, 1.3744982E+002, 1.3744982E+002, 1.3744982E+002, 4.2535568E+002, 3.4435694E+002, 3.3085094E+002, 3.1967265E+002, 2.8037114E+002, 1.8303089E+002, 1.4633547E+002, 7.6767709E+001, 2.7503968E+002, 2.3473606E+002, 2.2971512E+002, 2.1753874E+002, 2.0574096E+002, 1.8399782E+002, 1.6465029E+002, 1.1952904E+002
 1.4501443E+002, 1.4249889E+002, 1.4249889E+002, 1.4249889E+002, 3.4942318E+002, 3.0066364E+002, 2.9100071E+002, 2.7198213E+002, 2.6099016E+002, 1.8940723E+002, 1.3928315E+002, 6.4726676E+001, 2.4537762E+002, 2.2426154E+002, 2.1621930E+002, 2.1466183E+002, 2.0041079E+002, 1.7560950E+002, 1.6357030E+002, 1.0397044E+002
 1.5002255E+002, 1.4746674E+002, 1.4746674E+002, 1.4746674E+002, 3.0353108E+002, 2.7190142E+002, 2.6509827E+002, 2.4947436E+002, 2.4076271E+002, 1.9910404E+002, 1.2718563E+002, 6.2240810E+001, 2.2521888E+002, 2.1229651E+002, 1.9861575E+002, 1.8697518E+002, 1.7934261E+002, 1.7151156E+002, 1.6105165E+002, 9.6100374E+001
 1.5502461E+002, 1.5243799E+002, 1.5243799E+002, 1.5243799E+002, 2.5247720E+002, 2.4425328E+002, 2.3781092E+002, 2.2606957E+002, 2.1609459E+002, 1.9815210E+002, 1.3163496E+002, 6.2487569E+001, 2.0218861E+002, 1.9481036E+002, 1.8280344E+002, 1.7752804E+002, 1.7184518E+002, 1.6314469E+002, 1.5641932E+002, 1.1375792E+002
 1.6004031E+002, 1.5737759E+002, 1.5737759E+002, 1.5737759E+002, 2.2093480E+002, 2.2270360E+002, 2.1335596E+002, 2.0119732E+002, 1.9596261E+002, 1.8446236E+002, 1.5345350E+002, 7.2915552E+001, 1.8106559E+002, 1.7643028E+002, 1.7139949E+002, 1.6925687E+002, 1.6587566E+002, 1.6063354E+002, 1.5757412E+002, 1.3998828E+002
 1.6502573E+002, 1.6254808E+002, 1.6254808E+002, 1.6254808E+002, 1.8898937E+002, 1.9923569E+002, 1.9596559E+002, 1.9232374E+002, 1.8670665E+002, 1.8230724E+002, 1.8184119E+002, 8.7618235E+001, 1.6670239E+002, 1.6513166E+002, 1.6441240E+002, 1.6240834E+002, 1.6126812E+002, 1.5996916E+002, 1.5567428E+002, 1.5682518E+002
 1.7002284E+002, 1.6770255E+002, 1.6770255E+002, 1.6770255E+002, 1.9236169E+002, 1.8986918E+002, 1.8818566E+002, 1.8897488E+002, 1.8592731E+002, 1.8268310E+002, 1.8443048E+002, 1.2216938E+002, 1.5654148E+002, 1.5822748E+002, 1.5685489E+002, 1.5652398E+002, 1.5456485E+002, 1.5176765E+002, 1.4741379E+002, 1.4654607E+002
 1.7502515E+002, 1.7245707E+002, 1.7245707E+002, 1.7245707E+002, 2.0890188E+002, 1.8890123E+002, 1.8552500E+002, 1.8558729E+002, 1.8515959E+002, 1.8214641E+002, 1.8041557E+002, 1.5791792E+002, 1.5776553E+002, 1.5202137E+002, 1.4895011E+002, 1.4765062E+002, 1.4530595E+002, 1.4067013E+002, 1.3520915E+002, 1.2672335E+002
 1.8004471E+002, 1.7744170E+002, 1.7744170E+002, 1.7744170E+002, 1.8394676E+002, 1.8672821E+002, 1.8544649E+002, 1.8375179E+002, 1.7920566E+002, 1.7527449E+002, 1.7250143E+002, 1.6076754E+002, 1.6595677E+002, 1.4935189E+002, 1.4446495E+002, 1.4255751E+002, 1.4172392E+002, 1.3382006E+002, 1.2826571E+002, 1.2242700E+002
 1.8503690E+002, 1.8256548E+002, 1.8256548E+002, 1.8256548E+002, 1.6324918E+002, 1.7237800E+002, 1.7096675E+002, 1.6959150E+002, 1.6835943E+002, 1.6492874E+002, 1.5850903E+002, 1.4491830E+002, 1.5250891E+002, 1.4298986E+002, 1.4157060E+002, 1.3614105E+002, 1.3162769E+002, 1.2698260E+002, 1.2150144E+002, 1.1528753E+002
 1.9001083E+002, 1.8741478E+002, 1.8741478E+002, 1.8741478E+002, 1.5342198E+002, 1.6162451E+002, 1.6097501E+002, 1.5875778E+002, 1.5645293E+002, 1.5235820E+002, 1.4689447E+002, 1.3757997E+002, 1.4271040E+002, 1.3912127E+002, 1.3715294E+002, 1.3073721E+002, 1.2818645E+002, 1.2460676E+002, 1.1799464E+002, 1.0962977E+002
 1.9500609E+002, 1.9237552E+002, 1.9237552E+002, 1.9237552E+002, 1.4653201E+002, 1.5074378E+002, 1.4906548E+002, 1.4742203E+002, 1.4542366E+002, 1.4244153E+002, 1.3694235E+002, 1.2251224E+002, 1.3414207E+002, 1.3307190E+002, 1.3024441E+002, 1.2616800E+002, 1.2476224E+002, 1.2033326E+002, 1.1270747E+002, 1.0466975E+002
 2.0004109E+002, 1.9777243E+002, 1.9777243E+002, 1.9777243E+002, 1.3785513E+002, 1.4081157E+002, 1.3910574E+002, 1.3772494E+002, 1.3508654E+002, 1.2966045E+002, 1.2229024E+002, 1.1024418E+002, 1.2605030E+002, 1.2859513E+002, 1.2564523E+002, 1.2066450E+002, 1.1616638E+002, 1.1406440E+002, 1.0940207E+002, 1.0157035E+002
 2.0503983E+002, 2.0235235E+002, 2.0235235E+002, 2.0235235E+002, 1.2889728E+002, 1.3299651E+002, 1.3169680E+002, 1.3004106E+002, 1.2868076E+002, 1.2522128E+002, 1.1569425E+002, 1.1491599E+002, 1.2178764E+002, 1.2317865E+002, 1.2069505E+002, 1.1602955E+002, 1.1155831E+002, 1.0676829E+002, 1.0282605E+002, 1.0021235E+002
 2.1001807E+002, 2.0766280E+002, 2.0766280E+002, 2.0766280E+002, 1.2239271E+002, 1.2575178E+002, 1.2440223E+002, 1.2346181E+002, 1.2334989E+002, 1.2315276E+002, 1.1140901E+002, 1.0805476E+002, 1.1381902E+002, 1.1817712E+002, 1.1564622E+002, 1.1047391E+002, 1.0674109E+002, 1.0135357E+002, 9.8641705E+001, 9.4767220E+001
 2.1502859E+002, 2.1256927E+002, 2.1256927E+002, 2.1256927E+002, 1.1786657E+002, 1.2068214E+002, 1.2064481E+002, 1.2122307E+002, 1.2090596E+002, 1.1871914E+002, 1.0747592E+002, 9.9248468E+001, 1.1076118E+002, 1.1325443E+002, 1.1010811E+002, 1.0800423E+002, 1.0336949E+002, 9.8635835E+001, 9.6442046E+001, 9.5905678E+001
 2.2003023E+002, 2.1755651E+002, 2.1755651E+002, 2.1755651E+002, 1.1375148E+002, 1.1703886E+002, 1.1747854E+002, 1.1800613E+002, 1.1681263E+002, 1.1174998E+002, 1.0424458E+002, 1.0033151E+002, 1.0619968E+002, 1.0868789E+002, 1.0516916E+002, 1.0194866E+002, 9.8709975E+001, 9.5478591E+001, 9.1568374E+001, 9.0168885E+001
 2.2502739E+002, 2.2274787E+002, 2.2274787E+002, 2.2274787E+002, 1.1059480E+002, 1.1426044E+002, 1.1418445E+002, 1.1422609E+002, 1.1334732E+002, 1.0674133E+002, 9.8113347E+001, 9.1584076E+001, 1.0172901E+002, 1.0414994E+002, 1.0138622E+002, 9.9230590E+001, 9.6929357E+001, 9.3125589E+001, 8.9431567E+001, 8.7523880E+001
 2.3004034E+002, 2.2739660E+002, 2.2739660E+002, 2.2739660E+002, 1.0693833E+002, 1.1036015E+002, 1.0974156E+002, 1.0971257E+002, 1.0666939E+002, 1.0436482E+002, 9.8141043E+001, 9.9213645E+001, 9.9331750E+001, 1.0201430E+002, 9.7024146E+001, 9.5164382E+001, 9.2230140E+001, 9.0093794E+001, 8.7179340E+001, 8.5374515E+001
 2.3500278E+002, 2.3251176E+002, 2.3251176E+002, 2.3251176E+002, 1.0404320E+002, 1.0589331E+002, 1.0579894E+002, 1.0609561E+002, 1.0469851E+002, 1.0154145E+002, 9.4721483E+001, 9.9696847E+001, 9.6362032E+001, 9.6503535E+001, 9.4684578E+001, 9.2823245E+001, 8.8892368E+001, 8.7709096E+001, 8.5762489E+001, 8.3581226E+001
 2.4002530E+002, 2.3755681E+002, 2.3755681E+002, 2.3755681E+002, 1.0263029E+002, 1.0425998E+002, 1.0267768E+002, 1.0106590E+002, 9.8846697E+001, 9.5012914E+001, 9.0584528E+001, 8.9022983E+001, 9.3487250E+001, 9.3483498E+001, 9.2777684E+001, 9.0044915E+001, 8.7639161E+001, 8.5235325E+001, 8.2764197E+001, 8.0225518E+001
 2.4502461E+002, 2.4250699E+002, 2.4250699E+002, 2.4250699E+002, 1.0032819E+002, 1.0085987E+002, 1.0010896E+002, 9.8930221E+001, 9.7212950E+001, 9.2409191E+001, 8.8180250E+001, 8.5791885E+001, 9.1053251E+001, 9.2906029E+001, 9.0202692E+001, 8.8758565E+001, 8.4564816E+001, 8.1610933E+001, 7.9927138E+001, 7.7645585E+001
 2.5003485E+002, 2.4765482E+002, 2.4765482E+002, 2.4765482E+002, 9.9059847E+001, 9.8803963E+001, 9.8298795E+001, 9.7899777E+001, 9.7093089E+001, 9.5721152E+001, 9.1417800E+001, 8.6814822E+001, 9.1623618E+001, 8.8663962E+001, 8.6671885E+001, 8.5518930E+001, 8.2438928E+001, 8.0893333E+001, 7.8127430E+001, 7.5157070E+001
 2.5503703E+002, 2.5264561E+002, 2.5264561E+002, 2.5264561E+002, 9.5327524E+001, 9.6212904E+001, 9.6016828E+001, 9.4633821E+001, 9.2537779E+001, 9.2792701E+001, 8.6465682E+001, 8.0127719E+001, 8.8576900E+001, 8.7365240E+001, 8.5107481E+001, 8.2700688E+001, 8.1170292E+001, 7.8649811E+001, 7.5341503E+001, 7.4553982E+001
 2.6001944E+002, 2.5742345E+002, 2.5742345E+002, 2.5742345E+002, 9.4148671E+001, 9.4592347E+001, 9.3058253E+001, 9.2498784E+001, 8.9803322E+001, 8.9012104E+001, 8.4774470E+001, 8.0922369E+001, 8.7478698E+001, 8.4145405E+001, 8.3164822E+001, 8.0330788E+001, 7.8159880E+001, 7.6731388E+001, 7.4683310E+001, 7.3572179E+001
 2.6505197E+002, 2.6243659E+002, 2.6243659E+002, 2.6243659E+002, 9.4175678E+001, 9.3769211E+001, 9.3242668E+001, 9.2640197E+001, 9.2737923E+001, 8.8146353E+001, 8.4860929E+001, 7.6988166E+001, 8.4906023E+001, 8.3159960E+001, 8.0722107E+001, 7.8957415E+001, 7.7096563E+001, 7.5729421E+001, 7.3971047E+001, 7.0944605E+001
 2.7001508E+002, 2.6756109E+002, 2.6756109E+002, 2.6756109E+002, 9.3558217E+001, 9.2304611E+001, 9.2451072E+001, 9.1795601E+001, 9.0150011E+001, 8.7587588E+001, 8.0816314E+001, 7.6336206E+001, 8.5377571E+001, 8.2034860E+001, 7.8800714E+001, 7.7481385E+001, 7.6483182E+001, 7.3470989E+001, 7.1118435E+001, 6.9985590E+001
 2.7502911E+002, 2.7252159E+002, 2.7252159E+002, 2.7252159E+002, 9.1655994E+001, 9.0922982E+001, 9.0281235E+001, 8.9549922E+001, 8.7596475E+001, 8.3924311E+001, 7.8208508E+001, 7.4641629E+001, 8.3649687E+001, 7.9950426E+001, 7.6951368E+001, 7.6096401E+001, 7.4545103E+001, 7.2835943E+001, 7.1241545E+001, 6.8426331E+001
 2.8002975E+002, 2.7756653E+002, 2.7756653E+002, 2.7756653E+002, 9.0354001E+001, 9.0443393E+001, 9.0063472E+001, 8.9450999E+001, 8.7711679E+001, 8.2669755E+001, 7.8075687E+001, 7.2999756E+001, 8.0517611E+001, 7.8338664E+001, 7.6800674E+001, 7.5705047E+001, 7.3528704E+001, 7.1723557E+001, 6.9059446E+001, 6.7042377E+001
 2.8502768E+002, 2.8262029E+002, 2.8262029E+002, 2.8262029E+002, 8.8308974E+001, 8.8915069E+001, 8.8201159E+001, 8.6793615E+001, 8.3470000E+001, 8.0021842E+001, 7.6104735E+001, 7.0624375E+001, 8.0886474E+001, 7.7477168E+001, 7.5396386E+001, 7.2969076E+001, 7.1663698E+001, 6.9454249E+001, 6.8142603E+001, 6.5125063E+001
 2.9000806E+002, 2.8757784E+002, 2.8757784E+002, 2.8757784E+002, 8.8698321E+001, 8.7455805E+001, 8.6537684E+001, 8.5188179E+001, 8.2509810E+001, 7.9777092E+001, 7.5073906E+001, 7.0085823E+001, 7.9542307E+001, 7.5161580E+001, 7.2717150E+001, 7.2377940E+001, 7.0303928E+001, 6.9277143E+001, 6.7448108E+001, 6.5180937E+001
 2.9504837E+002, 2.9245877E+002, 2.9245877E+002, 2.9245877E+002, 8.8767121E+001, 8.4690883E+001, 8.3526809E+001, 8.2692015E+001, 8.1627794E+001, 7.8225889E+001, 7.2599482E+001, 7.0592888E+001, 8.0439252E+001, 7.6152520E+001, 7.2419415E+001, 7.0644946E+001, 6.9757273E+001, 6.8125120E+001, 6.5944975E+001, 6.2949354E+001
 3.0001425E+002, 2.9750969E+002, 2.9750969E+002, 2.9750969E+002, 9.0545697E+001, 8.5383191E+001, 8.5992131E+001, 8.3898184E+001, 8.2240381E+001, 7.7266118E+001, 7.4603721E+001, 7.1546965E+001, 7.8727242E+001, 7.5134582E+001, 7.2298182E+001, 7.0848523E+001, 6.9186327E+001, 6.7009304E+001, 6.5310786E+001, 6.3170090E+001
 3.0502664E+002, 3.0258315E+002, 3.0258315E+002, 3.0258315E+002, 8.8963679E+001, 8.6621570E+001, 8.5557591E+001, 8.2429204E+001, 8.1578492E+001, 7.6186808E+001, 7.2286748E+001, 7.0400190E+001, 7.7023203E+001, 7.2752785E+001, 7.0937079E+001, 6.9795338E+001, 6.8379291E+001, 6.6774416E+001, 6.5206651E+001, 6.3275646E+001
 3.1000635E+002, 3.0751019E+002, 3.0751019E+002, 3.0751019E+002, 8.5317653E+001, 8.3853517E+001, 8.3354247E+001, 8.0569074E+001, 7.8403196E+001, 7.4477564E+001, 7.0359654E+001, 6.6357532E+001, 7.8480388E+001, 7.2367503E+001, 7.0099532E+001, 6.8497230E+001, 6.7693815E+001, 6.6121326E+001, 6.3609680E+001, 6.1703463E+001
 3.1500815E+002, 3.1247385E+002, 3.1247385E+002, 3.1247385E+002, 8.6508976E+001, 8.4152382E+001, 8.3277055E+001, 7.9067715E+001, 7.6790852E+001, 7.4363391E+001, 6.9778893E+001, 6.6005328E+001, 7.6680240E+001, 7.2694252E+001, 6.8692411E+001, 6.8222454E+001, 6.7235566E+001, 6.4708018E+001, 6.3009208E+001, 6.1453813E+001
 3.2004480E+002, 3.1747737E+002, 3.1747737E+002, 3.1747737E+002, 8.6460270E+001, 8.3711910E+001, 8.2947556E+001, 8.0697000E+001, 7.9793917E+001, 7.6327271E+001, 7.0333588E+001, 6.2677662E+001, 7.5207044E+001, 7.2102032E+001, 6.9389247E+001, 6.8553197E+001, 6.6544258E+001, 6.4148980E+001, 6.2247012E+001, 5.9967314E+001
 3.2503946E+002, 3.2273292E+002, 3.2273292E+002, 3.2273292E+002, 8.4803274E+001, 8.3453594E+001, 8.1103344E+001, 7.9631874E+001, 7.7062576E+001, 7.4057141E+001, 6.7414691E+001, 6.2364577E+001, 7.4595419E+001, 7.0481467E+001, 6.7855397E+001, 6.6844002E+001, 6.5013037E+001, 6.3676620E+001, 6.1334982E+001, 5.8942026E+001
 3.3003290E+002, 3.2747099E+002, 3.2747099E+002, 3.2747099E+002, 8.5983787E+001, 8.2641269E+001, 8.0516838E+001, 7.8835891E+001, 7.5986069E+001, 7.3520881E+001, 6.5750697E+001, 6.2388211E+001, 7.3581311E+001, 6.9550863E+001, 6.8792356E+001, 6.6689155E+001, 6.5433434E+001, 6.3738224E+001, 6.1992483E+001, 5.9047492E+001
 3.3503088E+002, 3.3258922E+002, 3.3258922E+002, 3.3258922E+002, 8.3669052E+001, 8.3483558E+001, 8.0628223E+001, 7.8611788E+001, 7.5688982E+001, 7.0870076E+001, 6.4165050E+001, 6.3657733E+001, 7.2737421E+001, 6.9183353E+001, 6.7186595E+001, 6.6295778E+001, 6.4319468E+001, 6.2402676E+001, 6.1233755E+001, 5.8576622E+001
