s,C,C,C,C,C,C,C,C,C,C,C
 6.5000290E+001, 4.7127898E+002, 1.9999888E+001, 4.3906607E+002, 4.3619993E+002, 4.0242293E+002, 3.4306023E+002, 1.9650030E+002, 6.4029077E+001, 6.1208566E+001, 5.4766683E+001, 5.2229479E+001
 7.0003021E+001, 4.6146589E+002, 1.9999864E+001, 4.2512134E+002, 4.3222588E+002, 4.1628696E+002, 3.9967446E+002, 2.2665291E+002, 7.3055749E+001, 7.9937902E+001, 6.5690815E+001, 5.8136194E+001
 7.5001648E+001, 5.1210760E+002, 1.9999862E+001, 4.4667931E+002, 4.4748072E+002, 4.3284749E+002, 4.0338783E+002, 2.2282095E+002, 7.0106757E+001, 8.2548522E+001, 6.9451176E+001, 6.3087892E+001
 8.0009537E+001, 5.5715441E+002, 1.9999864E+001, 4.7509610E+002, 4.7395365E+002, 4.4819999E+002, 3.8732172E+002, 2.3164757E+002, 8.2518255E+001, 8.2845102E+001, 6.7174168E+001, 6.5881244E+001
 8.5008430E+001, 5.5061989E+002, 1.9999823E+001, 4.8811017E+002, 4.7732051E+002, 4.3874199E+002, 3.8661575E+002, 2.3443016E+002, 8.5768374E+001, 8.4047663E+001, 6.1347220E+001, 6.4775831E+001
 9.0001587E+001, 5.4580737E+002, 1.9999815E+001, 4.8891031E+002, 4.8322732E+002, 4.5827397E+002, 4.1060458E+002, 2.5397623E+002, 9.8173186E+001, 8.8605384E+001, 7.3701084E+001, 6.3259375E+001
 9.5001549E+001, 5.5056463E+002, 1.9999793E+001, 4.8889691E+002, 4.8942030E+002, 4.6412727E+002, 4.6276532E+002, 2.7152583E+002, 9.2292847E+001, 9.1234211E+001, 7.0646524E+001, 6.3633815E+001
 1.0000110E+002, 5.7844727E+002, 1.9999798E+001, 5.1091787E+002, 5.0835683E+002, 4.8392714E+002, 4.2806080E+002, 2.7261187E+002, 1.0286602E+002, 9.6772078E+001, 7.3798553E+001, 7.2104885E+001
 1.0500153E+002, 6.0079750E+002, 1.9999792E+001, 5.1650578E+002, 5.0988900E+002, 4.8434795E+002, 4.7272268E+002, 2.7950393E+002, 1.0490619E+002, 9.6506497E+001, 7.6000903E+001, 6.5870439E+001
 1.1000511E+002, 5.8717088E+002, 1.9999792E+001, 5.3462829E+002, 5.2404496E+002, 4.9669404E+002, 4.6312952E+002, 2.7512058E+002, 1.1208535E+002, 9.8594814E+001, 8.2967147E+001, 7.7438178E+001
 1.1500367E+002, 6.4061248E+002, 1.9999846E+001, 5.4806294E+002, 5.4353345E+002, 5.1185605E+002, 4.8548769E+002, 2.8413062E+002, 1.1103563E+002, 1.0656037E+002, 8.5476284E+001, 7.6156159E+001
 1.2000323E+002, 6.1793320E+002, 1.9999804E+001, 5.5049227E+002, 5.3281149E+002, 4.9529795E+002, 4.4470025E+002, 2.8582877E+002, 1.1774628E+002, 1.0889139E+002, 8.6749167E+001, 7.4576507E+001
 1.2500475E+002, 5.5529920E+002, 1.9999805E+001, 5.1781353E+002, 5.2034255E+002, 4.9710594E+002, 4.8300842E+002, 2.8887740E+002, 1.1927703E+002, 9.9856501E+001, 8.8125871E+001, 6.5917749E+001
 1.3000902E+002, 5.5798079E+002, 1.9999831E+001, 5.3335343E+002, 5.2460960E+002, 4.9244905E+002, 5.1060262E+002, 2.9595645E+002, 1.2202509E+002, 1.0788964E+002, 1.0177426E+002, 7.7868229E+001
 1.3500467E+002, 5.8793627E+002, 1.9999847E+001, 5.2797801E+002, 5.1987272E+002, 4.9887608E+002, 4.8298022E+002, 2.7962830E+002, 1.0930285E+002, 1.0828802E+002, 9.6356000E+001, 6.8502183E+001
 1.4000952E+002, 6.1501477E+002, 1.9999869E+001, 5.2988919E+002, 5.2035401E+002, 4.8710285E+002, 4.4086228E+002, 2.8111353E+002, 1.2136838E+002, 1.0327811E+002, 8.7822441E+001, 7.3049036E+001
 1.4500308E+002, 6.3537361E+002, 1.9999890E+001, 5.4227898E+002, 5.1947818E+002, 4.7629430E+002, 4.2486604E+002, 2.7243089E+002, 1.1979620E+002, 1.1501393E+002, 9.6298555E+001, 7.4427482E+001
 1.5000537E+002, 6.2784653E+002, 1.9999908E+001, 5.4336363E+002, 5.2594387E+002, 4.7791037E+002, 4.3272020E+002, 2.6701149E+002, 1.1767528E+002, 1.0971841E+002, 9.4091023E+001, 6.9766013E+001
 1.5500153E+002, 6.3736892E+002, 1.9999928E+001, 5.4221595E+002, 5.3192826E+002, 4.8665984E+002, 4.4090035E+002, 2.6916300E+002, 1.1797125E+002, 1.2188231E+002, 1.0347520E+002, 7.3806335E+001
 1.6000218E+002, 6.5480887E+002, 1.9999941E+001, 5.5230951E+002, 5.2359642E+002, 4.7000862E+002, 4.2529074E+002, 2.6250494E+002, 1.2257182E+002, 1.2092884E+002, 1.0625566E+002, 8.0907097E+001
 1.6500967E+002, 6.1626062E+002, 1.9999953E+001, 5.4087892E+002, 5.3017963E+002, 4.9437957E+002, 4.3556316E+002, 2.7257737E+002, 1.1962064E+002, 1.1052258E+002, 9.6830632E+001, 7.8518908E+001
 1.7000131E+002, 6.1726038E+002, 1.9999967E+001, 5.4040767E+002, 5.3714898E+002, 5.1199619E+002, 4.4226889E+002, 2.8031373E+002, 1.2659395E+002, 1.2166557E+002, 1.1324014E+002, 8.2191259E+001
 1.7500665E+002, 6.2028307E+002, 1.9999980E+001, 5.5046464E+002, 5.4021584E+002, 4.8892154E+002, 4.3591017E+002, 2.7400881E+002, 1.2556200E+002, 1.2887139E+002, 1.0844954E+002, 8.8789497E+001
 1.8000397E+002, 6.1579670E+002, 1.9999996E+001, 5.4807631E+002, 5.3710143E+002, 5.0872874E+002, 4.4876676E+002, 2.8355553E+002, 1.2170138E+002, 1.2320010E+002, 9.6723231E+001, 7.9032976E+001
 1.8500125E+002, 5.7511689E+002, 2.0000010E+001, 5.2590150E+002, 5.2436011E+002, 5.0670743E+002, 4.8417971E+002, 2.9154767E+002, 1.3119513E+002, 1.2825189E+002, 1.0422339E+002, 8.1891068E+001
 1.9000546E+002, 5.6832691E+002, 2.0000023E+001, 5.2527720E+002, 5.3022048E+002, 5.0717734E+002, 4.9523103E+002, 2.8555299E+002, 1.3183004E+002, 1.2391869E+002, 1.0986269E+002, 8.2103765E+001
 1.9500488E+002, 5.5340997E+002, 2.0000038E+001, 5.1973145E+002, 5.2661236E+002, 5.0106789E+002, 5.0456837E+002, 3.0352406E+002, 1.2837944E+002, 1.2253093E+002, 1.0979642E+002, 8.5477931E+001
 2.0000218E+002, 6.2297584E+002, 2.0000042E+001, 5.3878115E+002, 5.3318623E+002, 5.0625073E+002, 4.9485289E+002, 2.9090925E+002, 1.2474267E+002, 1.3374848E+002, 1.1816518E+002, 9.5446518E+001
 2.0500533E+002, 6.7260542E+002, 2.0000064E+001, 5.6864402E+002, 5.5223124E+002, 5.0150696E+002, 4.4556549E+002, 2.7627391E+002, 1.2225725E+002, 1.3532175E+002, 1.1833131E+002, 9.5415733E+001
 2.1000861E+002, 6.9098323E+002, 2.0000068E+001, 5.8263002E+002, 5.6174190E+002, 4.9862964E+002, 4.6104993E+002, 2.8344218E+002, 1.3605610E+002, 1.2445990E+002, 1.0548096E+002, 9.4625111E+001
 2.1500403E+002, 6.5712104E+002, 2.0000070E+001, 5.7389791E+002, 5.4746818E+002, 4.8915518E+002, 4.6051258E+002, 2.7560104E+002, 1.3397523E+002, 1.3843540E+002, 1.1764998E+002, 8.9474930E+001
 2.2000574E+002, 7.0794640E+002, 2.0000078E+001, 5.9353394E+002, 5.7513259E+002, 5.1745948E+002, 4.5684932E+002, 2.9280482E+002, 1.3553485E+002, 1.4189702E+002, 1.1354328E+002, 9.1467010E+001
 2.2500050E+002, 6.9888033E+002, 2.0000072E+001, 5.9335728E+002, 5.7077240E+002, 5.1533333E+002, 4.7190214E+002, 2.9839454E+002, 1.4024073E+002, 1.3788979E+002, 1.1996839E+002, 9.0886220E+001
 2.3000343E+002, 6.5058542E+002, 2.0000098E+001, 6.0044427E+002, 5.6084550E+002, 4.9850544E+002, 4.5910921E+002, 2.7910890E+002, 1.3278891E+002, 1.3360977E+002, 9.9523858E+001, 9.5847894E+001
 2.3500099E+002, 6.6284700E+002, 2.0000106E+001, 5.7293994E+002, 5.4991315E+002, 5.1925042E+002, 4.6303525E+002, 2.8976203E+002, 1.4619153E+002, 1.4246373E+002, 1.1886335E+002, 8.9094476E+001
 2.4000882E+002, 7.1867291E+002, 2.0000107E+001, 5.9436672E+002, 5.6719168E+002, 5.1602220E+002, 4.5842248E+002, 2.8588927E+002, 1.4315744E+002, 1.3282699E+002, 1.2062895E+002, 9.0899565E+001
 2.4500507E+002, 6.5993897E+002, 2.0000109E+001, 5.9096194E+002, 5.6055216E+002, 4.9756041E+002, 4.6253141E+002, 2.8282288E+002, 1.4744016E+002, 1.2813168E+002, 1.1507665E+002, 8.8989057E+001
 2.5000005E+002, 5.9950084E+002, 2.0000118E+001, 5.5237175E+002, 5.3550324E+002, 5.0636584E+002, 4.8253653E+002, 2.8515882E+002, 1.4475039E+002, 1.3639793E+002, 1.2451411E+002, 9.4121817E+001
 2.5500491E+002, 7.6515525E+002, 2.0000105E+001, 6.2621262E+002, 5.8904862E+002, 5.2517068E+002, 4.5386570E+002, 3.0538579E+002, 1.4954923E+002, 1.4881853E+002, 1.3543222E+002, 1.1122671E+002
 2.6000464E+002, 6.9972875E+002, 2.0000117E+001, 6.0793386E+002, 5.7173552E+002, 5.0993017E+002, 4.6196195E+002, 2.8509747E+002, 1.4235855E+002, 1.4205440E+002, 1.2731981E+002, 9.7314981E+001
 2.6500848E+002, 7.1574272E+002, 2.0000111E+001, 6.0891128E+002, 5.7917908E+002, 5.0760930E+002, 4.6385846E+002, 2.8487114E+002, 1.5705883E+002, 1.4348134E+002, 1.1807363E+002, 9.4880857E+001
 2.7000122E+002, 6.6692732E+002, 2.0000118E+001, 5.9796413E+002, 5.7305828E+002, 5.0124875E+002, 4.8558178E+002, 2.9530059E+002, 1.5105254E+002, 1.4141316E+002, 1.3041391E+002, 9.8893874E+001
 2.7500308E+002, 6.6881795E+002, 2.0000116E+001, 5.9049943E+002, 5.7064830E+002, 5.2652488E+002, 4.8262450E+002, 3.0412210E+002, 1.5524600E+002, 1.4690842E+002, 1.3250708E+002, 9.8056118E+001
 2.8000027E+002, 6.9516343E+002, 2.0000109E+001, 6.0224212E+002, 5.6884255E+002, 5.0958361E+002, 4.5798528E+002, 2.9536868E+002, 1.5862506E+002, 1.4739551E+002, 1.2737212E+002, 8.9029129E+001
 2.8501056E+002, 6.5539290E+002, 2.0000127E+001, 5.8610813E+002, 5.6245203E+002, 5.2844095E+002, 4.7459067E+002, 2.9445898E+002, 1.6103173E+002, 1.4818544E+002, 1.3117336E+002, 9.8554155E+001
 2.9000473E+002, 6.9320709E+002, 2.0000126E+001, 6.0192956E+002, 5.8394276E+002, 5.2904550E+002, 4.8092369E+002, 2.9278342E+002, 1.6515905E+002, 1.4342282E+002, 1.2839456E+002, 9.8520497E+001
 2.9500320E+002, 7.4939620E+002, 2.0000130E+001, 6.3025313E+002, 5.8134173E+002, 5.1100961E+002, 4.7339744E+002, 2.8717521E+002, 1.5526880E+002, 1.4605072E+002, 1.2773114E+002, 9.4537156E+001
 3.0000073E+002, 7.3460069E+002, 2.0000120E+001, 6.2407043E+002, 5.8940193E+002, 5.1664742E+002, 4.8880545E+002, 3.0622214E+002, 1.5013017E+002, 1.3718153E+002, 1.2113763E+002, 1.0029538E+002
 3.0500299E+002, 7.7444463E+002, 2.0000109E+001, 6.5389008E+002, 6.0395318E+002, 5.1904919E+002, 4.8099927E+002, 3.0771741E+002, 1.5699296E+002, 1.4971822E+002, 1.2372508E+002, 1.0862353E+002
 3.1000220E+002, 7.6834661E+002, 2.0000113E+001, 6.5483882E+002, 6.0678387E+002, 5.3582120E+002, 4.7934509E+002, 2.9385806E+002, 1.6763170E+002, 1.5364076E+002, 1.2116448E+002, 1.0760995E+002
 3.1500113E+002, 7.9433430E+002, 2.0000118E+001, 6.5086526E+002, 6.0615395E+002, 5.3440132E+002, 4.8664474E+002, 2.9319772E+002, 1.7627713E+002, 1.5377087E+002, 1.2777429E+002, 1.0443354E+002
 3.2000958E+002, 7.6967434E+002, 2.0000118E+001, 6.4636538E+002, 6.1209542E+002, 5.3489952E+002, 4.9345682E+002, 2.8900019E+002, 1.7084366E+002, 1.5923401E+002, 1.3445148E+002, 9.8149553E+001
 3.2500238E+002, 7.6344712E+002, 2.0000101E+001, 6.6638248E+002, 6.1531959E+002, 5.3483763E+002, 4.8741685E+002, 3.0172244E+002, 1.6710999E+002, 1.6015468E+002, 1.3795603E+002, 1.0582758E+002
 3.3000317E+002, 7.1090582E+002, 2.0000133E+001, 6.2206655E+002, 5.9430106E+002, 5.2554667E+002, 4.8293838E+002, 2.9500019E+002, 1.7269982E+002, 1.4965085E+002, 1.2934956E+002, 9.6038178E+001
 3.3500391E+002, 7.1038007E+002, 2.0000116E+001, 6.2498001E+002, 5.9290816E+002, 5.2777333E+002, 4.8257703E+002, 3.0200186E+002, 1.6920711E+002, 1.5279517E+002, 1.4268265E+002, 1.0189694E+002
 3.4000223E+002, 7.1368896E+002, 2.0000124E+001, 6.3528654E+002, 5.9968517E+002, 5.2190836E+002, 4.7657848E+002, 3.0303320E+002, 1.7465587E+002, 1.5677436E+002, 1.4022285E+002, 1.0496135E+002
 3.4500400E+002, 6.8971874E+002, 2.0000120E+001, 5.9840551E+002, 5.8066873E+002, 5.3706335E+002, 4.9162369E+002, 2.9753395E+002, 1.6363892E+002, 1.5707674E+002, 1.4686572E+002, 1.0178877E+002
 3.5000595E+002, 7.1468553E+002, 2.0000119E+001, 6.1723235E+002, 5.9169463E+002, 5.2570564E+002, 4.7972701E+002, 2.8989010E+002, 1.6317681E+002, 1.5202758E+002, 1.2820274E+002, 1.0970281E+002
 3.5500159E+002, 7.6335381E+002, 2.0000110E+001, 6.4370465E+002, 6.0217227E+002, 5.2804390E+002, 4.8486788E+002, 2.9434263E+002, 1.8900230E+002, 1.5286094E+002, 1.3341008E+002, 1.0886461E+002
 3.6000876E+002, 7.9786662E+002, 2.0000104E+001, 6.6366055E+002, 6.1914049E+002, 5.4220187E+002, 4.9367537E+002, 2.8790119E+002, 1.8258977E+002, 1.6110789E+002, 1.3596659E+002, 1.1255861E+002
 3.6500488E+002, 7.2276829E+002, 2.0000112E+001, 6.1779140E+002, 5.8716413E+002, 5.2360955E+002, 4.9317349E+002, 2.8583830E+002, 1.6805504E+002, 1.4997212E+002, 1.2987491E+002, 1.0021428E+002
 3.7000104E+002, 7.4982167E+002, 2.0000102E+001, 6.4406900E+002, 6.0190179E+002, 5.2619054E+002, 4.6700978E+002, 2.9347973E+002, 1.7510162E+002, 1.6129549E+002, 1.1802992E+002, 1.0897125E+002
 3.7500049E+002, 7.2354817E+002, 2.0000104E+001, 6.2701809E+002, 5.9317763E+002, 5.2796828E+002, 4.7323970E+002, 2.8592117E+002, 2.0180341E+002, 1.5390193E+002, 1.3068815E+002, 9.4997438E+001
 3.8000711E+002, 7.6157897E+002, 2.0000107E+001, 6.3939565E+002, 5.9647225E+002, 5.2225708E+002, 4.5084119E+002, 2.8924895E+002, 1.7993629E+002, 1.5848401E+002, 1.2632353E+002, 9.5111936E+001
 3.8500903E+002, 6.8531785E+002, 2.0000098E+001, 6.0215874E+002, 5.7504084E+002, 5.1208449E+002, 4.6385542E+002, 2.7197536E+002, 1.7276601E+002, 1.5250871E+002, 1.3821530E+002, 1.0876102E+002
 3.9000131E+002, 7.2495293E+002, 2.0000095E+001, 6.1066788E+002, 5.7426442E+002, 5.0791592E+002, 4.5411854E+002, 2.8464883E+002, 1.8400284E+002, 1.4256586E+002, 1.2014061E+002, 1.0219185E+002
 3.9500427E+002, 7.1577738E+002, 2.0000091E+001, 6.1400073E+002, 5.7679851E+002, 5.0598090E+002, 4.5851615E+002, 2.8742289E+002, 1.8103765E+002, 1.5780781E+002, 1.1531955E+002, 1.1463094E+002
 4.0000037E+002, 6.1888740E+002, 2.0000104E+001, 5.7741962E+002, 5.5330274E+002, 4.9625740E+002, 4.4668533E+002, 2.5740205E+002, 1.8931625E+002, 1.4243922E+002, 1.1436884E+002, 1.0778180E+002
