s,s,s,s,C,C,C,C,C,C,C,C
FDS Time,"TIMER","open stair door","open hall door","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 2.0501761E+002, 2.0252686E+002, 2.0252686E+002, 2.0252686E+002, 3.3808290E+002, 3.0445316E+002, 2.7046044E+002, 2.3322497E+002, 1.8156887E+002, 1.2536378E+002, 8.1045163E+001, 5.9659360E+001
 2.1001791E+002, 2.0752716E+002, 2.0752716E+002, 2.0752716E+002, 3.1276977E+002, 2.8576140E+002, 2.6025350E+002, 2.2203502E+002, 1.7994003E+002, 1.0038806E+002, 7.3295118E+001, 6.4297666E+001
 2.1501822E+002, 2.1252746E+002, 2.1252746E+002, 2.1252746E+002, 3.0432268E+002, 2.6978722E+002, 2.4832012E+002, 2.0558063E+002, 1.7005186E+002, 1.0034530E+002, 7.1164486E+001, 5.9484033E+001
 2.2002040E+002, 2.1748873E+002, 2.1748873E+002, 2.1748873E+002, 2.9340678E+002, 2.6385042E+002, 2.2930005E+002, 1.9923865E+002, 1.5505360E+002, 8.8794874E+001, 6.5586279E+001, 5.7623027E+001
 2.2501886E+002, 2.2251836E+002, 2.2251836E+002, 2.2251836E+002, 2.7268455E+002, 2.5056094E+002, 2.2735358E+002, 2.0026584E+002, 1.4377308E+002, 8.3009007E+001, 6.5892104E+001, 5.7959053E+001
 2.3000151E+002, 2.2752035E+002, 2.2752035E+002, 2.2752035E+002, 2.7251857E+002, 2.4029248E+002, 2.1924303E+002, 1.8819698E+002, 1.5036935E+002, 8.4445021E+001, 6.4206325E+001, 5.4701933E+001
 2.3500725E+002, 2.3249469E+002, 2.3249469E+002, 2.3249469E+002, 2.5770979E+002, 2.3867298E+002, 2.1329042E+002, 1.8137080E+002, 1.3893189E+002, 7.5609103E+001, 6.0096275E+001, 5.0931534E+001
 2.4001643E+002, 2.3752236E+002, 2.3752236E+002, 2.3752236E+002, 2.4710505E+002, 2.3006718E+002, 2.1481944E+002, 1.7229497E+002, 1.3456520E+002, 7.4012930E+001, 6.0626361E+001, 5.0345498E+001
 2.4500342E+002, 2.4251642E+002, 2.4251642E+002, 2.4251642E+002, 2.5060992E+002, 2.2738781E+002, 2.0259348E+002, 1.7359674E+002, 1.2399204E+002, 6.9942433E+001, 5.5229067E+001, 4.8772500E+001
 2.5000735E+002, 2.4750053E+002, 2.4750053E+002, 2.4750053E+002, 2.3272749E+002, 2.1944936E+002, 1.9895276E+002, 1.6769502E+002, 1.3023259E+002, 6.6110282E+001, 5.4199551E+001, 4.9121486E+001
 2.5501280E+002, 2.5250765E+002, 2.5250765E+002, 2.5250765E+002, 2.3619213E+002, 2.1609840E+002, 1.9239821E+002, 1.6312664E+002, 1.2849751E+002, 6.8137011E+001, 5.5236850E+001, 4.8709275E+001
 2.6001379E+002, 2.5755968E+002, 2.5755968E+002, 2.5755968E+002, 2.2709669E+002, 2.1208319E+002, 1.8414762E+002, 1.5782229E+002, 1.2822311E+002, 6.9371529E+001, 5.6512115E+001, 4.8685480E+001
 2.6502155E+002, 2.6251389E+002, 2.6251389E+002, 2.6251389E+002, 2.2394643E+002, 2.1003281E+002, 1.9084316E+002, 1.6003272E+002, 1.1837458E+002, 7.0164575E+001, 5.5377381E+001, 4.5669363E+001
 2.7001172E+002, 2.6755401E+002, 2.6755401E+002, 2.6755401E+002, 2.0991742E+002, 1.9955703E+002, 1.8508594E+002, 1.5894037E+002, 1.0898048E+002, 6.6197731E+001, 4.8795834E+001, 4.4360971E+001
 2.7500159E+002, 2.7253257E+002, 2.7253257E+002, 2.7253257E+002, 2.1067905E+002, 1.9821084E+002, 1.8012457E+002, 1.5018376E+002, 1.1843804E+002, 6.4383794E+001, 4.8078368E+001, 4.3944337E+001
 2.8001688E+002, 2.7749000E+002, 2.7749000E+002, 2.7749000E+002, 2.1424155E+002, 1.9535227E+002, 1.7411924E+002, 1.5707370E+002, 1.0619511E+002, 6.4013652E+001, 5.2099060E+001, 4.5465998E+001
 2.8500757E+002, 2.8252665E+002, 2.8252665E+002, 2.8252665E+002, 2.1195590E+002, 1.9157045E+002, 1.7368484E+002, 1.5069848E+002, 1.0308651E+002, 6.0009344E+001, 5.1896976E+001, 4.2747530E+001
 2.9000626E+002, 2.8754280E+002, 2.8754280E+002, 2.8754280E+002, 2.0728857E+002, 1.9298665E+002, 1.7646307E+002, 1.4144741E+002, 1.0295883E+002, 6.1150994E+001, 5.0514786E+001, 4.5431274E+001
 2.9500803E+002, 2.9252041E+002, 2.9252041E+002, 2.9252041E+002, 2.0120665E+002, 1.8579703E+002, 1.6858794E+002, 1.4534087E+002, 9.8715237E+001, 5.7225277E+001, 4.9986279E+001, 4.5046775E+001
 3.0000272E+002, 2.9752307E+002, 2.9752307E+002, 2.9752307E+002, 1.9942917E+002, 1.8793669E+002, 1.6791460E+002, 1.4105301E+002, 9.7115466E+001, 5.5225698E+001, 5.0033575E+001, 4.3576519E+001
 3.0501825E+002, 3.0254549E+002, 3.0254549E+002, 3.0254549E+002, 1.9861265E+002, 1.8364607E+002, 1.6449382E+002, 1.4066531E+002, 9.4705288E+001, 5.3704105E+001, 4.7487597E+001, 4.1931283E+001
 3.1000839E+002, 3.0750114E+002, 3.0750114E+002, 3.0750114E+002, 1.9500676E+002, 1.8113578E+002, 1.6775123E+002, 1.3676132E+002, 9.9684684E+001, 5.3078822E+001, 4.7672424E+001, 4.2356520E+001
 3.1500516E+002, 3.1254485E+002, 3.1254485E+002, 3.1254485E+002, 1.9273812E+002, 1.8001933E+002, 1.6559059E+002, 1.3838174E+002, 7.3463045E+001, 5.4746714E+001, 4.9865274E+001, 4.3411858E+001
 3.2001639E+002, 3.1753502E+002, 3.1753502E+002, 3.1753502E+002, 1.8699405E+002, 1.7818718E+002, 1.6090465E+002, 1.3709935E+002, 9.2626969E+001, 5.6883464E+001, 5.1640623E+001, 4.4556462E+001
 3.2500330E+002, 3.2248301E+002, 3.2248301E+002, 3.2248301E+002, 1.8967267E+002, 1.7943727E+002, 1.6265040E+002, 1.3302322E+002, 7.3833450E+001, 5.1472699E+001, 4.7112455E+001, 4.1882064E+001
 3.3001163E+002, 3.2750932E+002, 3.2750932E+002, 3.2750932E+002, 1.8280732E+002, 1.7460719E+002, 1.5562319E+002, 1.3732730E+002, 7.7311099E+001, 5.0397855E+001, 4.6700923E+001, 4.0563514E+001
