s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_A8","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_B8","TC_C1","TC_C2","TC_C3","TC_C4","TC_C5","TC_C6","TC_C7","TC_C8"
 1.2000826E+002, 4.4790608E+002, 5.1658325E+002, 5.1195992E+002, 5.0607045E+002, 5.2362545E+002, 4.6949449E+002, 1.2178915E+002, 7.0277585E+001, 3.7601851E+002, 3.6361110E+002, 3.3876771E+002, 7.0548126E+001, 3.9161687E+001, 3.4510113E+001, 2.8894302E+001, 2.7611635E+001, 2.1328270E+002, 1.8058573E+002, 1.2848879E+002, 5.4597358E+001, 2.9037494E+001, 2.5068522E+001, 2.2724188E+001, 2.2162711E+001
 1.2501514E+002, 4.4486930E+002, 5.1354832E+002, 4.9986693E+002, 4.8886003E+002, 4.9801728E+002, 3.6101789E+002, 1.2348995E+002, 6.3738661E+001, 4.0308311E+002, 3.4698206E+002, 3.2985840E+002, 6.0694370E+001, 3.8310854E+001, 3.5926290E+001, 2.8866831E+001, 2.8508971E+001, 2.3526477E+002, 1.7574105E+002, 1.3580774E+002, 6.6638624E+001, 2.9425009E+001, 2.5550251E+001, 2.3140445E+001, 2.2115860E+001
 1.3000554E+002, 4.2675606E+002, 5.0167681E+002, 4.9858629E+002, 4.8764504E+002, 4.9458602E+002, 4.1614645E+002, 1.1155764E+002, 6.6484805E+001, 3.8488744E+002, 3.2908482E+002, 2.7814834E+002, 6.0850175E+001, 3.5666040E+001, 3.0932060E+001, 2.8122086E+001, 2.7828278E+001, 1.9996040E+002, 1.7976049E+002, 1.2515106E+002, 5.0459123E+001, 2.8987280E+001, 2.4898867E+001, 2.3032951E+001, 2.2373796E+001
 1.3500307E+002, 4.3948558E+002, 4.9824538E+002, 4.9719030E+002, 4.9861601E+002, 5.2313505E+002, 4.5542887E+002, 1.1338804E+002, 6.7454320E+001, 3.7211111E+002, 3.3872250E+002, 2.8012388E+002, 6.2720703E+001, 3.6672223E+001, 3.2278731E+001, 2.8781102E+001, 2.8835019E+001, 2.1514461E+002, 1.7355947E+002, 1.2108706E+002, 4.8327705E+001, 2.8686282E+001, 2.4946740E+001, 2.3126712E+001, 2.1945231E+001
 1.4000113E+002, 4.7447598E+002, 5.4822410E+002, 5.4652461E+002, 5.4436360E+002, 5.7864604E+002, 4.0440676E+002, 1.1030572E+002, 7.0325098E+001, 3.9271381E+002, 3.6027257E+002, 3.1044169E+002, 6.5609883E+001, 3.8814310E+001, 3.4039998E+001, 2.9641563E+001, 2.9191763E+001, 2.2185546E+002, 1.7551838E+002, 1.3332000E+002, 6.0553437E+001, 2.8496193E+001, 2.5711274E+001, 2.3117442E+001, 2.2808883E+001
 1.4501543E+002, 4.7161803E+002, 5.4740797E+002, 5.3996170E+002, 5.2612692E+002, 5.1080171E+002, 3.6114401E+002, 1.1373745E+002, 6.8444712E+001, 3.9510930E+002, 3.5669358E+002, 3.2712366E+002, 6.6045935E+001, 3.8689805E+001, 3.2830332E+001, 3.0405583E+001, 2.9242201E+001, 2.3217987E+002, 1.8285638E+002, 1.3224320E+002, 6.6045991E+001, 2.9659054E+001, 2.4985169E+001, 2.3088638E+001, 2.2156237E+001
 1.5000377E+002, 4.3885292E+002, 5.1109862E+002, 5.0671616E+002, 5.0558539E+002, 5.1036809E+002, 2.8792226E+002, 1.2020331E+002, 6.5985399E+001, 3.7664408E+002, 3.3835178E+002, 2.6616717E+002, 6.1416444E+001, 3.5910629E+001, 3.0904127E+001, 2.8565008E+001, 2.9345305E+001, 2.1862505E+002, 1.8111051E+002, 1.2724189E+002, 5.5259513E+001, 2.8545313E+001, 2.4656288E+001, 2.3458696E+001, 2.2098318E+001
 1.5501016E+002, 4.2411485E+002, 4.9598674E+002, 4.9637417E+002, 4.9189314E+002, 5.1544915E+002, 3.9419156E+002, 1.0209124E+002, 6.4604090E+001, 3.7880567E+002, 3.3755636E+002, 2.5466579E+002, 5.2807600E+001, 3.6386784E+001, 3.1134438E+001, 2.8418932E+001, 2.8889555E+001, 2.0597772E+002, 1.7513039E+002, 1.2116223E+002, 4.8456164E+001, 2.8825246E+001, 2.4785961E+001, 2.2834366E+001, 2.2491335E+001
 1.6000284E+002, 4.5325037E+002, 5.1433967E+002, 5.1286392E+002, 5.1503735E+002, 5.1614560E+002, 4.3092137E+002, 1.1359122E+002, 6.9546084E+001, 3.7133207E+002, 3.4851169E+002, 3.1238199E+002, 5.9589945E+001, 3.6997089E+001, 3.2738971E+001, 3.0142639E+001, 2.9088714E+001, 2.0087566E+002, 1.7184862E+002, 1.1706948E+002, 5.0252232E+001, 2.9721374E+001, 2.4932342E+001, 2.3127506E+001, 2.2293771E+001
 1.6501569E+002, 4.6566365E+002, 5.5249959E+002, 5.4483532E+002, 5.4242335E+002, 5.5475479E+002, 5.5313056E+002, 1.1364420E+002, 7.1319663E+001, 3.8965462E+002, 3.6237836E+002, 3.3493060E+002, 6.5274260E+001, 3.9687546E+001, 3.3091841E+001, 3.0407859E+001, 3.0103701E+001, 2.1926218E+002, 1.7710739E+002, 1.2589999E+002, 6.0979324E+001, 2.9127192E+001, 2.6209598E+001, 2.3711358E+001, 2.2423813E+001
