s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,s
 4.4003844E+000, 2.9112028E+002, 3.7800863E+002, 3.4093732E+002, 1.9013392E+002, 4.1002164E+001, 3.3543304E+001, 3.0773411E+001, 2.8287909E+001, 2.0013743E+001, 2.0021563E+001, 2.0023451E+001, 2.0059246E+001, 2.0087343E+001, 2.0074940E+001, 2.0056162E+001, 2.0046901E+001, 0.0000000E+000, 4.3631289E+000
 4.5001254E+000, 2.8156984E+002, 3.9708082E+002, 3.3911377E+002, 2.2489663E+002, 4.0543415E+001, 3.3931734E+001, 3.1190898E+001, 2.8574487E+001, 2.0014277E+001, 2.0022255E+001, 2.0023634E+001, 2.0059762E+001, 2.0088446E+001, 2.0076063E+001, 2.0057455E+001, 2.0049525E+001, 0.0000000E+000, 4.4586864E+000
 4.6071448E+000, 2.9872838E+002, 4.0139288E+002, 3.5261969E+002, 2.4565204E+002, 4.0101981E+001, 3.2927809E+001, 3.0531539E+001, 2.8080646E+001, 2.0014599E+001, 2.0022880E+001, 2.0024026E+001, 2.0063873E+001, 2.0095874E+001, 2.0081590E+001, 2.0060322E+001, 2.0051808E+001, 0.0000000E+000, 4.5603238E+000
 4.7007866E+000, 3.0280155E+002, 4.0014152E+002, 3.7060492E+002, 2.2916084E+002, 3.9793453E+001, 3.2474129E+001, 3.0187002E+001, 2.7927493E+001, 2.0014621E+001, 2.0022989E+001, 2.0024572E+001, 2.0066712E+001, 2.0100042E+001, 2.0084050E+001, 2.0060128E+001, 2.0049274E+001, 0.0000000E+000, 4.6606543E+000
 4.8078055E+000, 3.0416286E+002, 3.9996338E+002, 3.8458611E+002, 1.8414475E+002, 4.0065352E+001, 3.2628565E+001, 3.0117887E+001, 2.7984446E+001, 2.0014568E+001, 2.0022832E+001, 2.0025519E+001, 2.0077711E+001, 2.0113510E+001, 2.0090935E+001, 2.0062309E+001, 2.0049701E+001, 0.0000000E+000, 4.7609848E+000
 4.9014473E+000, 3.1487127E+002, 3.9921687E+002, 3.8765127E+002, 1.3587887E+002, 4.0224290E+001, 3.3078174E+001, 3.0506420E+001, 2.8693155E+001, 2.0014568E+001, 2.0022907E+001, 2.0026424E+001, 2.0080687E+001, 2.0117201E+001, 2.0093389E+001, 2.0063415E+001, 2.0049770E+001, 0.0000000E+000, 4.8613153E+000
 5.0084667E+000, 3.5213336E+002, 3.9544811E+002, 3.7341947E+002, 1.0204927E+002, 4.0415616E+001, 3.4029048E+001, 3.0913664E+001, 2.8604195E+001, 2.0014429E+001, 2.0022532E+001, 2.0026080E+001, 2.0075487E+001, 2.0110669E+001, 2.0090438E+001, 2.0062924E+001, 2.0050170E+001, 0.0000000E+000, 4.9616457E+000
 5.1021085E+000, 4.0827734E+002, 3.9003446E+002, 3.4615694E+002, 8.6577029E+001, 4.1411529E+001, 3.4485017E+001, 3.0629051E+001, 2.8079312E+001, 2.0014668E+001, 2.0022932E+001, 2.0025846E+001, 2.0075025E+001, 2.0109969E+001, 2.0090002E+001, 2.0062287E+001, 2.0048965E+001, 0.0000000E+000, 5.0619762E+000
 5.2051144E+000, 3.6964309E+002, 3.8305052E+002, 3.1827069E+002, 8.7403849E+001, 4.2241138E+001, 3.3987510E+001, 3.0362721E+001, 2.8017475E+001, 2.0014589E+001, 2.0022771E+001, 2.0025983E+001, 2.0075728E+001, 2.0110678E+001, 2.0090420E+001, 2.0062164E+001, 2.0048617E+001, 0.0000000E+000, 5.1609690E+000
 5.3099842E+000, 2.3878595E+002, 3.8353610E+002, 3.0507558E+002, 1.0271878E+002, 4.1902949E+001, 3.3842034E+001, 3.0250975E+001, 2.7913468E+001, 2.0014218E+001, 2.0022227E+001, 2.0026277E+001, 2.0076377E+001, 2.0111464E+001, 2.0091509E+001, 2.0063462E+001, 2.0050671E+001, 0.0000000E+000, 5.2641038E+000
 5.4017458E+000, 2.2756178E+002, 3.9846195E+002, 3.2128390E+002, 1.3123241E+002, 4.2484995E+001, 3.4269444E+001, 3.0902722E+001, 2.8539109E+001, 2.0014046E+001, 2.0021992E+001, 2.0026987E+001, 2.0080283E+001, 2.0115492E+001, 2.0093748E+001, 2.0064651E+001, 2.0051628E+001, 0.0000000E+000, 5.3624194E+000
 5.5026832E+000, 3.6904300E+002, 4.2539415E+002, 3.7074275E+002, 1.7247288E+002, 4.3787752E+001, 3.3868501E+001, 3.0759149E+001, 2.8604882E+001, 2.0014180E+001, 2.0022182E+001, 2.0027537E+001, 2.0082547E+001, 2.0117903E+001, 2.0095759E+001, 2.0067232E+001, 2.0056344E+001, 0.0000000E+000, 5.4594242E+000
 5.6065044E+000, 4.0108613E+002, 4.6768927E+002, 4.3863495E+002, 2.2748343E+002, 4.6722196E+001, 3.3945956E+001, 3.0365137E+001, 2.8331104E+001, 2.0014635E+001, 2.0022992E+001, 2.0029079E+001, 2.0089925E+001, 2.0128340E+001, 2.0103391E+001, 2.0071699E+001, 2.0059852E+001, 0.0000000E+000, 5.5609796E+000
 5.7016740E+000, 3.7119720E+002, 4.9991404E+002, 4.7134619E+002, 2.8918384E+002, 5.3791010E+001, 3.4773218E+001, 3.0524049E+001, 2.8458501E+001, 2.0015195E+001, 2.0023853E+001, 2.0030148E+001, 2.0092230E+001, 2.0131127E+001, 2.0106461E+001, 2.0075709E+001, 2.0066882E+001, 0.0000000E+000, 5.6620200E+000
 5.8125839E+000, 3.4882418E+002, 5.2797436E+002, 4.7436674E+002, 3.4893962E+002, 6.6120219E+001, 3.5511309E+001, 3.0136624E+001, 2.8127935E+001, 2.0016342E+001, 2.0025707E+001, 2.0031427E+001, 2.0099666E+001, 2.0142458E+001, 2.0115382E+001, 2.0081585E+001, 2.0073338E+001, 0.0000000E+000, 5.7650597E+000
 5.9076319E+000, 3.1601276E+002, 5.4937970E+002, 4.9625758E+002, 3.8649967E+002, 8.4497469E+001, 3.7849586E+001, 3.0149806E+001, 2.8026473E+001, 2.0017332E+001, 2.0027347E+001, 2.0031767E+001, 2.0103443E+001, 2.0148473E+001, 2.0120315E+001, 2.0085719E+001, 2.0080166E+001, 0.0000000E+000, 5.8668971E+000
 6.0121851E+000, 3.2347313E+002, 5.4354913E+002, 5.0607155E+002, 3.8761413E+002, 1.0727069E+002, 4.1732976E+001, 3.0029638E+001, 2.7801331E+001, 2.0018113E+001, 2.0028618E+001, 2.0031921E+001, 2.0109513E+001, 2.0157685E+001, 2.0126991E+001, 2.0089966E+001, 2.0086182E+001, 0.0000000E+000, 5.9673766E+000
 6.1119065E+000, 3.7251805E+002, 5.1004795E+002, 4.8954664E+002, 3.5691118E+002, 1.2907049E+002, 4.7612677E+001, 3.0003076E+001, 2.7668910E+001, 2.0018357E+001, 2.0029005E+001, 2.0032049E+001, 2.0113019E+001, 2.0162528E+001, 2.0130143E+001, 2.0091323E+001, 2.0088010E+001, 0.0000000E+000, 6.0705492E+000
 6.2051854E+000, 3.4517990E+002, 4.7482036E+002, 4.6832217E+002, 3.1624865E+002, 1.4593246E+002, 5.5676159E+001, 3.0425685E+001, 2.7865675E+001, 2.0018110E+001, 2.0028635E+001, 2.0032473E+001, 2.0124961E+001, 2.0182327E+001, 2.0143764E+001, 2.0095402E+001, 2.0087083E+001, 0.0000000E+000, 6.1652087E+000
 6.3117900E+000, 3.4370156E+002, 4.5592277E+002, 4.4819701E+002, 2.8326430E+002, 1.6117852E+002, 6.6084755E+001, 3.0936520E+001, 2.8167344E+001, 2.0018000E+001, 2.0028370E+001, 2.0033106E+001, 2.0129960E+001, 2.0190230E+001, 2.0149675E+001, 2.0097991E+001, 2.0089005E+001, 0.0000000E+000, 6.2651506E+000
 6.4050694E+000, 3.7478352E+002, 4.5936032E+002, 4.2759292E+002, 2.7223288E+002, 1.7438909E+002, 7.8720845E+001, 3.1297261E+001, 2.8204231E+001, 2.0017557E+001, 2.0027879E+001, 2.0034743E+001, 2.0141693E+001, 2.0205566E+001, 2.0158930E+001, 2.0101083E+001, 2.0089086E+001, 0.0000000E+000, 6.3650924E+000
 6.5143390E+000, 5.0664188E+002, 4.6946950E+002, 4.0625885E+002, 2.7342177E+002, 1.8498175E+002, 9.4089079E+001, 3.2308584E+001, 2.8524060E+001, 2.0017623E+001, 2.0027863E+001, 2.0035842E+001, 2.0146293E+001, 2.0211649E+001, 2.0163411E+001, 2.0103800E+001, 2.0091694E+001, 0.0000000E+000, 6.4655340E+000
 6.6022878E+000, 3.1421204E+002, 4.6877976E+002, 3.8792129E+002, 2.7117575E+002, 1.8968569E+002, 1.0916395E+002, 3.3021351E+001, 2.8381130E+001, 2.0017807E+001, 2.0028233E+001, 2.0036596E+001, 2.0147961E+001, 2.0213087E+001, 2.0164476E+001, 2.0104830E+001, 2.0092817E+001, 0.0000000E+000, 6.5656424E+000
 6.7048945E+000, 3.9260145E+002, 4.6788741E+002, 3.8329880E+002, 2.6921068E+002, 1.8866378E+002, 1.2196659E+002, 3.4434130E+001, 2.8573754E+001, 2.0018068E+001, 2.0028559E+001, 2.0036692E+001, 2.0147792E+001, 2.0212265E+001, 2.0164145E+001, 2.0105530E+001, 2.0094572E+001, 0.0000000E+000, 6.6609203E+000
 6.8075018E+000, 4.0557327E+002, 4.9583124E+002, 4.0596308E+002, 2.7853932E+002, 1.8289687E+002, 1.3090167E+002, 3.5980974E+001, 2.8846995E+001, 2.0018576E+001, 2.0029283E+001, 2.0036755E+001, 2.0145830E+001, 2.0207805E+001, 2.0161537E+001, 2.0106862E+001, 2.0100477E+001, 0.0000000E+000, 6.7635273E+000
 6.9101086E+000, 3.7885211E+002, 5.4768397E+002, 4.6266618E+002, 2.9678477E+002, 1.7339540E+002, 1.3343819E+002, 3.6261888E+001, 2.8737732E+001, 2.0019220E+001, 2.0030316E+001, 2.0037167E+001, 2.0146162E+001, 2.0205747E+001, 2.0159418E+001, 2.0106697E+001, 2.0102550E+001, 0.0000000E+000, 6.8661343E+000
 7.0127158E+000, 3.6673350E+002, 5.6638862E+002, 5.2804316E+002, 3.1158117E+002, 1.6385629E+002, 1.2998125E+002, 3.5747397E+001, 2.9464008E+001, 2.0019615E+001, 2.0030860E+001, 2.0037042E+001, 2.0147925E+001, 2.0208139E+001, 2.0161117E+001, 2.0108593E+001, 2.0107476E+001, 0.0000000E+000, 6.9687412E+000
 7.1006646E+000, 3.7589748E+002, 5.4487355E+002, 5.5622951E+002, 3.1700515E+002, 1.5745054E+002, 1.2306172E+002, 3.4656746E+001, 3.0256270E+001, 2.0019656E+001, 2.0031030E+001, 2.0037045E+001, 2.0153818E+001, 2.0215779E+001, 2.0164999E+001, 2.0109783E+001, 2.0108527E+001, 0.0000000E+000, 7.0640192E+000
