x,CO2,H20
290.1,0.325665,0.155848
294.505,0.326792,0.153827
303.46,0.329083,0.150177
304,0.329187,0.149957
315.395,0.331378,0.145605
318.72,0.332018,0.14425
324.889,0.333008,0.141735
333.977,0.334467,0.137565
334.38,0.334513,0.13738
345.779,0.33582,0.133513
351.135,0.336434,0.131697
357.178,0.336956,0.129646
368.289,0.337915,0.125877
368.577,0.337908,0.125779
379.976,0.337634,0.121913
387.333,0.337457,0.119731
391.379,0.337002,0.118531
402.778,0.335721,0.114664
414.178,0.33444,0.110797
427.485,0.332944,0.107419
440.796,0.331447,0.104525
452.199,0.330165,0.101144
465.507,0.328669,0.0977653
478.818,0.327173,0.0948721
492.126,0.325677,0.0914934
493.908,0.325477,0.0911547
507.342,0.323354,0.0886029
509.128,0.323072,0.0882636
516.725,0.32017,0.0868204
522.558,0.318902,0.0857125
530.036,0.317277,0.084087
535.869,0.316541,0.0828192
545.26,0.315357,0.0813353
551.089,0.313664,0.0804142
558.564,0.311493,0.079233
566.309,0.307873,0.0780092
569.952,0.30617,0.0773171
581.525,0.303232,0.0751187
583.259,0.302791,0.0749
590.86,0.300375,0.0739416
596.748,0.298378,0.0731991
602.259,0.296508,0.0721523
611.964,0.293313,0.0703087
629.093,0.287675,0.0683919
634.559,0.285876,0.067625
645.958,0.282009,0.066026
646.217,0.281921,0.0659896
657.357,0.278142,0.0644269
663.342,0.276112,0.0635874
668.756,0.274275,0.0629046
678.565,0.270948,0.0616678
680.155,0.270408,0.0614165
691.555,0.266541,0.0596152
693.785,0.265518,0.0592628
701.045,0.262186,0.058862
710.921,0.258836,0.0583169
712.444,0.258319,0.0580079
720.43,0.25561,0.056389
723.843,0.254452,0.0560675
733.338,0.250583,0.0551733
735.657,0.249796,0.0549548
744.737,0.246716,0.0536811
752.781,0.243643,0.0525526
756.132,0.242363,0.0520231
765.627,0.238494,0.0505228
768.001,0.237688,0.0501476
777.026,0.234627,0.0501607
779.43,0.233811,0.0501642
788.425,0.23076,0.0487428
794.65,0.227903,0.0477592
797.915,0.226405,0.047764
809.315,0.222538,0.0477806
813.697,0.221238,0.0477869
820.717,0.219156,0.0472004
830.208,0.214801,0.0464075
830.829,0.21459,0.0463556
841.607,0.210934,0.0451495
847.958,0.20878,0.0444388
853.006,0.207067,0.043641
862.504,0.203683,0.0421401
863.177,0.203426,0.0420338
873.9,0.199331,0.0420494
880.32,0.197427,0.0420587
885.302,0.195949,0.0412715
895.54,0.192976,0.0396537
898.606,0.192085,0.0396582
908.101,0.188216,0.039672
910.778,0.187193,0.0396759
919.496,0.183863,0.0389475
927.91,0.181368,0.0382445
930.899,0.180482,0.0380965
942.302,0.1771,0.0375317
946.951,0.175722,0.0373014
953.705,0.173719,0.0362342
962.171,0.170847,0.0348964
965.104,0.169852,0.0349006
976.503,0.165985,0.0349172
979.314,0.165152,0.0349213
987.906,0.162604,0.0336812
992.632,0.161,0.032999
999.305,0.158737,0.0330087
1009.78,0.155632,0.0330239
1010.71,0.155355,0.0329778
1024.02,0.151977,0.0323186
1028.82,0.150758,0.0320808
1037.32,0.148598,0.0316112
1045.95,0.146092,0.0311349
1050.63,0.144734,0.0303961
1061.17,0.142057,0.0287299
1062.03,0.141838,0.0286853
1075.34,0.137974,0.0279981
1086.74,0.134592,0.027409
1100.05,0.131214,0.0267216
1113.35,0.127835,0.0260341
1126.66,0.124456,0.0253466
1139.97,0.121078,0.0246592
1152.56,0.11834,0.0240086
1153.28,0.118184,0.023973
1166.59,0.114806,0.0233139
1171.6,0.113532,0.0230654
1179.9,0.111427,0.0227604
1193.21,0.108534,0.0222708
1208.42,0.105643,0.0217111
1221.74,0.10275,0.0212215
1235.05,0.0998569,0.0207319
1247.77,0.0970906,0.0202637
1248.36,0.0969636,0.0202348
1265.48,0.0940759,0.0193867
1266.81,0.0937857,0.0193206
1278.79,0.0911827,0.0189988
1283.95,0.0902019,0.0188601
1294.01,0.0882922,0.0181057
1302.99,0.0868726,0.0174315
1309.23,0.0858872,0.0174406
1320.13,0.0843572,0.0174565
1326.35,0.083485,0.0172895
1337.27,0.0814102,0.016996
1341.57,0.0805945,0.0168928
1356.32,0.0782637,0.0165383
1356.79,0.0781895,0.0165124
1373.45,0.0758516,0.0155924
1373.91,0.0757872,0.0155814
1389.13,0.0733822,0.0152156
1392.5,0.0728504,0.0151347
1404.35,0.0709772,0.0134238
1405.81,0.0707717,0.0132124
1421.47,0.068575,0.0132352
1422.96,0.0683406,0.0132373
1436.69,0.0661699,0.0136073
1442.01,0.0654998,0.0137505
1451.92,0.0642504,0.0134843
1459.15,0.063236,0.01329
1469.04,0.0618481,0.0130522
1478.19,0.0608241,0.0128323
1486.17,0.0599313,0.0123919
1495.33,0.0587766,0.0118864
1501.39,0.0580117,0.0118952
1514.38,0.0565589,0.0119141
1518.52,0.0560949,0.0118145
1533.42,0.0544277,0.0114564
1535.65,0.0541781,0.0114028
1550.87,0.0517731,0.011037
1552.46,0.0516399,0.0109987
1568,0.0503418,0.0110214
1571.51,0.049949,0.0110265
1585.13,0.0484249,0.0106606
1588.65,0.0481308,0.010566
1602.26,0.0469936,0.0102389
1607.7,0.0463856,0.0101083
1619.39,0.0450768,0.00982722
1626.74,0.0443377,0.00965059
1638.42,0.0431628,0.00933669
1643.88,0.042707,0.00919012
1653.4,0.0419115,0.00871854
1655.56,0.0417314,0.00872168
1672.45,0.0403201,0.00874628
1672.69,0.0403,0.00873982
1689.59,0.0384089,0.00828581
1689.82,0.0383832,0.00828614
1706.95,0.0369519,0.00831109
1708.63,0.0368253,0.00831355
1725.98,0.0355233,0.00789656
1727.68,0.0354298,0.00785584
1743.12,0.0345774,0.00787833
1744.82,0.0344497,0.00788081
1762.16,0.0331488,0.00727474
1771.48,0.0326341,0.00694876
1779.29,0.0322029,0.00696014
1790.53,0.0312641,0.0069765
1796.42,0.0307715,0.00698508
1809.58,0.03012,0.00700424
1815.47,0.0298283,0.00684604
1826.72,0.029271,0.00654376
1834.51,0.0288852,0.00655511
1845.76,0.0279446,0.0065715
1851.64,0.0274538,0.00658005
1864.81,0.0268013,0.00659924
1870.68,0.0265107,0.00645826
1883.86,0.0257832,0.00614154
1887.81,0.0255648,0.00589503
1891.47,0.0253836,0.00566719
1906.85,0.0246216,0.00568959
1910.52,0.0244193,0.00569493
1923.99,0.0236757,0.00571455
1929.57,0.0232572,0.00572267
1943.03,0.0222471,0.00539919
1948.61,0.0220971,0.00526497
1960.17,0.0217866,0.0052818
1967.66,0.0214155,0.00529271
1979.21,0.0208435,0.00530952
1986.71,0.0204294,0.00532045
1996.34,0.0198976,0.00517076
2015.28,0.0189598,0.00487661
2015.38,0.0189544,0.00487373
2032.41,0.0185451,0.00441614
2034.43,0.0184967,0.00441907
2049.66,0.017548,0.00444125
2051.46,0.0175047,0.00444388
2068.7,0.0170903,0.00446898
2070.51,0.0170469,0.00447162
2087.75,0.0166326,0.00405738
2089.55,0.0164623,0.00401391
2102.97,0.0151985,0.00369142
2122.01,0.0142554,0.0032338
2141.06,0.0137977,0.0027761
2158.2,0.0143081,0.002364
2177.24,0.0133649,0.00190638
2196.29,0.0133927,0.00144859
2215.34,0.012935,0.000990889
2232.47,0.011989,0.000579055
2373.4,0.00928166,-0.00280807
2582.9,0.00570325,-0.00784307
2830.52,0.00606387,-0.0137944
2883.86,0.00614154,-0.0150762
