FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
HVAC/HVAC_aircoil.out,0.800,0.800,1000,89,8
HVAC/HVAC_damper.out,20.561,20.561,8000,282,9
HVAC/HVAC_energy_pressure.out,15.194,15.194,1100,786,17
HVAC/HVAC_filter.out,659.438,659.438,1000,900,732
HVAC/HVAC_flow_loss.out,96.093,96.093,8000,900,13
HVAC/HVAC_mass_conservation.out,55.362,55.362,8000,563,12
HVAC/HVAC_tee_loss_1.out,15.195,15.195,8000,184,10
HVAC/HVAC_tee_loss_2.out,12.082,12.082,8000,154,9
HVAC/leak_test_2.out,392.042,392.042,2000,900,217
HVAC/leak_test.out,36.960,36.960,2000,900,20
Miscellaneous/mesh_transformation.out,,,10000,0,0
Miscellaneous/pyramid.out,,,1000000,0,0
NS_Analytical_Solution/ns2d_16_nupt1.out,3.515,3.515,256,227,60
NS_Analytical_Solution/ns2d_16.out,5.428,5.428,256,295,71
NS_Analytical_Solution/ns2d_32_nupt1.out,13.884,13.884,1024,440,30
NS_Analytical_Solution/ns2d_32.out,17.674,17.674,1024,568,30
NS_Analytical_Solution/ns2d_64_nupt1.out,740.112,740.112,4096,954,189
NS_Analytical_Solution/ns2d_64.out,785.385,785.385,4096,900,213
NS_Analytical_Solution/ns2d_8_nupt1.out,1.622,1.622,64,120,211
NS_Analytical_Solution/ns2d_8.out,2.092,2.092,64,156,209
NS_Analytical_Solution/vort2d_160.out,1432.764,1432.764,25600,900,62
NS_Analytical_Solution/vort2d_320.out,4165.157,4165.157,102400,900,45
NS_Analytical_Solution/vort2d_40.out,13.747,13.747,1600,360,23
NS_Analytical_Solution/vort2d_80.out,667.343,667.343,6400,720,144
Pressure_Effects/isentropic2.out,1074.537,1074.537,40,900,29848
Pressure_Effects/isentropic.out,1179.745,1179.745,40,900,32770
Pressure_Effects/pressure_boundary.out,3621.913,3621.913,80000,900,50
Pressure_Effects/pressure_rise.out,988.235,988.235,60,900,18300
Pressure_Effects/zone_break_fast.out,102.451,102.451,30000,147,23
Pressure_Effects/zone_break_slow.out,263.973,263.973,30000,147,59
Pressure_Effects/zone_shape.out,296.127,296.127,50,158,37484
Pressure_Solver/dancing_eddies_1mesh.out,1633.491,1633.491,12000,900,151
Pressure_Solver/dancing_eddies_default.out,506.885,506.885,300,900,1877
Pressure_Solver/dancing_eddies_tight.out,1159.840,1159.840,300,900,4295
Pressure_Solver/dancing_eddies_tight_overlap.out,944.018,944.018,340,900,3085
Pressure_Solver/duct_flow.out,177.414,177.414,128,724,1914
Pressure_Solver/hallways.out,1313.964,1313.964,240,900,6083
Pressure_Solver/scarc2d_bicg_8mesh.out,6.974,6.974,64,500,217
Pressure_Solver/scarc2d_cg_8mesh.out,7.683,7.683,64,500,240
Pressure_Solver/scarc2d_fft_1mesh.out,14.261,14.261,1024,500,27
Pressure_Solver/scarc2d_fft_8mesh.out,5.496,5.496,64,500,171
Pressure_Solver/scarc2d_gmg_8mesh.out,12.109,12.109,64,500,378
Pyrolysis/birch_tga_1step_20.out,0.736,0.736,12,900,68
Pyrolysis/birch_tga_1step_2.out,8.410,8.410,12,900,778
Pyrolysis/cable_11_insulation_mcc.out,24.179,24.179,12,900,2238
Pyrolysis/cable_11_jacket_mcc.out,29.230,29.230,12,900,2706
Pyrolysis/cable_23_insulation_mcc.out,17.828,17.828,12,900,1650
Pyrolysis/cable_23_jacket_mcc.out,19.916,19.916,12,900,1844
Pyrolysis/cable_701_insulation_mcc.out,22.048,22.048,12,900,2041
Pyrolysis/cable_701_jacket_mcc.out,24.988,24.988,12,900,2313
Pyrolysis/cell_burn_away.out,53.060,53.060,125,900,471
Pyrolysis/enthalpy.out,10.890,10.890,36,900,336
Pyrolysis/pcm_slab.out,868.189,868.189,36,900,26795
Pyrolysis/pyrolysis_1.out,6.739,6.739,12,900,623
Pyrolysis/pyrolysis_2.out,14.840,14.840,12,900,1374
Pyrolysis/shrink_swell.out,0.344,0.344,18,151,126
Pyrolysis/specified_hrr.out,12.086,12.086,36,362,927
Pyrolysis/surf_mass_part_char_cart_fuel.out,120.966,120.966,216,900,622
Pyrolysis/surf_mass_part_char_cart_fuel_split.out,94.648,94.648,12,900,8763
Pyrolysis/surf_mass_part_char_cart_gas.out,85.852,85.852,216,900,441
Pyrolysis/surf_mass_part_char_cyl_fuel.out,56.194,56.194,216,900,289
Pyrolysis/surf_mass_part_char_cyl_fuel_split.out,189.157,189.157,24,900,8757
Pyrolysis/surf_mass_part_char_cyl_gas_advanced.out,91.748,91.748,9,900,11326
Pyrolysis/surf_mass_part_char_cyl_gas.out,86.805,86.805,216,900,446
Pyrolysis/surf_mass_part_char_spher_fuel.out,82.098,82.098,216,900,422
Pyrolysis/surf_mass_part_char_spher_fuel_split.out,161.744,161.744,24,900,7488
Pyrolysis/surf_mass_part_char_spher_gas.out,73.027,73.027,216,900,375
Pyrolysis/surf_mass_part_nonchar_cart_fuel.out,68.683,68.683,216,900,353
Pyrolysis/surf_mass_part_nonchar_cart_fuel_split.out,94.045,94.045,12,900,8707
Pyrolysis/surf_mass_part_nonchar_cart_gas.out,57.172,57.172,216,900,294
Pyrolysis/surf_mass_part_nonchar_cyl_fuel.out,61.617,61.617,216,900,316
Pyrolysis/surf_mass_part_nonchar_cyl_fuel_split.out,210.298,210.298,24,900,9736
Pyrolysis/surf_mass_part_nonchar_cyl_gas.out,50.395,50.395,216,900,259
Pyrolysis/surf_mass_part_nonchar_spher_fuel.out,56.114,56.114,216,900,288
Pyrolysis/surf_mass_part_nonchar_spher_fuel_split.out,185.526,185.526,24,900,8589
Pyrolysis/surf_mass_part_nonchar_spher_gas.out,51.423,51.423,216,900,264
Pyrolysis/surf_mass_part_specified.out,18.921,18.921,216,900,97
Pyrolysis/surf_mass_two_species_cart.out,110.614,110.614,64,900,1920
Pyrolysis/surf_mass_two_species_cyl.out,119.409,119.409,64,900,2073
Pyrolysis/surf_mass_two_species_spher.out,123.060,123.060,64,900,2136
Pyrolysis/surf_mass_vent_char_cart_fuel.out,117.781,117.781,216,900,605
Pyrolysis/surf_mass_vent_char_cart_gas.out,76.289,76.289,216,900,392
Pyrolysis/surf_mass_vent_char_cyl_fuel.out,61.107,61.107,216,900,314
Pyrolysis/surf_mass_vent_char_cyl_gas.out,50.991,50.991,216,900,262
Pyrolysis/surf_mass_vent_char_spher_fuel.out,60.040,60.040,216,900,308
Pyrolysis/surf_mass_vent_char_spher_gas.out,58.260,58.260,216,900,299
Pyrolysis/surf_mass_vent_liquid_fuel_nonconforming.out,72.930,72.930,125,900,648
Pyrolysis/surf_mass_vent_liquid_fuel.out,90.683,90.683,216,900,466
Pyrolysis/surf_mass_vent_nonchar_cart_fuel.out,86.757,86.757,216,900,446
Pyrolysis/surf_mass_vent_nonchar_cart_gas.out,76.707,76.707,216,900,394
Pyrolysis/surf_mass_vent_nonchar_cyl_fuel.out,94.868,94.868,216,900,488
Pyrolysis/surf_mass_vent_nonchar_cyl_gas.out,111.055,111.055,216,900,571
Pyrolysis/surf_mass_vent_nonchar_spher_fuel.out,62.645,62.645,216,900,322
Pyrolysis/surf_mass_vent_nonchar_spher_gas.out,50.082,50.082,216,900,257
Pyrolysis/tga_sample.out,9.526,9.526,12,900,882
Pyrolysis/two_step_solid_reaction.out,1.475,1.475,36,900,45
Pyrolysis/water_ice_water.out,8.078,8.078,12,900,747
Radiation/droplet_absorption_cart.out,23.381,23.381,27,900,962
Radiation/droplet_absorption_cyl.out,24.642,24.642,9,900,3042
Radiation/emissivity.out,7.182,7.182,36,900,221
Radiation/hot_spheres.out,266.685,266.685,40,127,52497
Radiation/part_attenuation.out,84.433,84.433,50,13,129896
Radiation/particle_absorption_cart_surf_cart.out,17.027,17.027,9,900,2102
Radiation/particle_absorption_cart_surf_cyl.out,16.691,16.691,12,900,1545
Radiation/particle_absorption_cart_surf_sph.out,23.583,23.583,12,900,2183
Radiation/plate_view_factor_2D_100.out,11.029,11.029,200,100,551
Radiation/plate_view_factor_2D_30.out,7.164,7.164,200,100,358
Radiation/plate_view_factor_2D_60.out,5.244,5.244,200,100,262
Radiation/plate_view_factor_cart_100.out,8.459,8.459,4000,10,211
Radiation/plate_view_factor_cart_30.out,7.257,7.257,4000,10,181
Radiation/plate_view_factor_cart_60.out,7.311,7.311,4000,10,182
Radiation/plate_view_factor_cyl_100.out,9.861,9.861,100,900,109
Radiation/plate_view_factor_cyl_30.out,10.984,10.984,100,900,122
Radiation/plate_view_factor_cyl_60.out,9.919,9.919,100,900,110
Radiation/radiating_polygon_square_20.out,11.312,11.312,11520,1,981
Radiation/radiating_polygon_square_40.out,10.767,10.767,92160,1,116
Radiation/radiating_polygon_square_80.out,240.456,240.456,737280,1,326
Radiation/radiation_box_100_1000.out,154.958,154.958,1000000,1,154
Radiation/radiation_box_100__100.out,74.809,74.809,1000000,1,74
Radiation/radiation_box_100_2000.out,296.504,296.504,1000000,1,296
Radiation/radiation_box_100__300.out,164.023,164.023,1000000,1,164
Radiation/radiation_box_100___50.out,56.484,56.484,1000000,1,56
Radiation/radiation_box__20_1000.out,13.591,13.591,8000,1,1698
Radiation/radiation_box__20__100.out,8.631,8.631,8000,1,1078
Radiation/radiation_box__20_2000.out,10.961,10.961,8000,1,1370
Radiation/radiation_box__20__300.out,7.955,7.955,8000,1,994
Radiation/radiation_box__20___50.out,9.110,9.110,8000,1,1138
Radiation/radiation_plane_layer_1_1.out,7.623,7.623,8000,1,952
Radiation/radiation_plane_layer_1_2.out,33.164,33.164,8000,1,4145
Radiation/radiation_plane_layer_1_3.out,6.635,6.635,400,1,16587
Radiation/radiation_plane_layer_1_4.out,36.131,36.131,400,1,90327
Radiation/radiation_plane_layer_1_5.out,14.871,14.871,60000,1,247
Radiation/radiation_plane_layer_2_1.out,8.143,8.143,8000,1,1017
Radiation/radiation_plane_layer_2_2.out,26.236,26.236,8000,1,3279
Radiation/radiation_plane_layer_2_3.out,6.728,6.728,400,1,16820
Radiation/radiation_plane_layer_2_4.out,29.156,29.156,400,1,72890
Radiation/radiation_plane_layer_2_5.out,16.699,16.699,60000,1,278
Radiation/radiation_plane_layer_3_1.out,5.684,5.684,8000,1,710
Radiation/radiation_plane_layer_3_2.out,28.380,28.380,8000,1,3547
Radiation/radiation_plane_layer_3_3.out,7.189,7.189,400,1,17972
Radiation/radiation_plane_layer_3_4.out,27.054,27.054,400,1,67635
Radiation/radiation_plane_layer_3_5.out,10.454,10.454,60000,1,174
Radiation/radiation_plane_layer_4_1.out,8.577,8.577,8000,1,1072
Radiation/radiation_plane_layer_4_2.out,26.661,26.661,8000,1,3332
Radiation/radiation_plane_layer_4_3.out,6.093,6.093,400,1,15232
Radiation/radiation_plane_layer_4_4.out,21.729,21.729,400,1,54322
Radiation/radiation_plane_layer_4_5.out,18.482,18.482,60000,1,308
Radiation/radiation_plane_layer_5_1.out,8.799,8.799,8000,1,1099
Radiation/radiation_plane_layer_5_2.out,42.195,42.195,8000,1,5274
Radiation/radiation_plane_layer_5_3.out,6.416,6.416,400,1,16040
Radiation/radiation_plane_layer_5_4.out,23.628,23.628,400,1,59070
Radiation/radiation_plane_layer_5_5.out,19.395,19.395,60000,1,323
Radiation/radiation_plane_layer_6_1.out,8.797,8.797,8000,1,1099
Radiation/radiation_plane_layer_6_2.out,38.050,38.050,8000,1,4756
Radiation/radiation_plane_layer_6_3.out,6.805,6.805,400,1,17012
Radiation/radiation_plane_layer_6_4.out,24.599,24.599,400,1,61497
Radiation/radiation_plane_layer_6_5.out,16.550,16.550,60000,1,275
Radiation/radiation_shield.out,63.587,63.587,1000,900,70
Radiation/target_test.out,68.530,68.530,50,80,17132
Radiation/TC_heating.out,288.974,288.974,8000,900,40
Radiation/TC_view_factor.out,404.917,404.917,8000,900,56
Radiation/thermocouples.out,130.509,130.509,8000,900,18
Radiation/wall_internal_radiation.out,4.989,4.989,60,1,83150
Scalar_Analytical_Solution/compression_wave_FL0_128.out,2728.039,2728.039,16384,900,185
Scalar_Analytical_Solution/compression_wave_FL0_16.out,273.534,273.534,256,539,1982
Scalar_Analytical_Solution/compression_wave_FL0_32.out,697.842,697.842,1024,900,757
Scalar_Analytical_Solution/compression_wave_FL0_64.out,899.404,899.404,4096,900,243
Scalar_Analytical_Solution/compression_wave_FL2_128.out,2548.950,2548.950,16384,900,172
Scalar_Analytical_Solution/compression_wave_FL2_16.out,572.339,572.339,256,947,2360
Scalar_Analytical_Solution/compression_wave_FL2_32.out,659.365,659.365,1024,900,715
Scalar_Analytical_Solution/compression_wave_FL2_64.out,895.192,895.192,4096,900,242
Scalar_Analytical_Solution/compression_wave_FL4_128.out,2468.357,2468.357,16384,900,167
Scalar_Analytical_Solution/compression_wave_FL4_16.out,520.204,520.204,256,947,2145
Scalar_Analytical_Solution/compression_wave_FL4_32.out,647.243,647.243,1024,900,702
Scalar_Analytical_Solution/compression_wave_FL4_64.out,937.615,937.615,4096,900,254
Scalar_Analytical_Solution/compression_wave_FL5_128.out,2508.393,2508.393,16384,900,170
Scalar_Analytical_Solution/compression_wave_FL5_16.out,522.335,522.335,256,948,2152
Scalar_Analytical_Solution/compression_wave_FL5_32.out,661.182,661.182,1024,900,717
Scalar_Analytical_Solution/compression_wave_FL5_64.out,863.897,863.897,4096,900,234
Scalar_Analytical_Solution/move_slug_fl1.out,991.871,991.871,160,678,9143
Scalar_Analytical_Solution/move_slug.out,984.027,984.027,160,678,9071
Scalar_Analytical_Solution/pulsating_FL0_128.out,1031.352,1031.352,16384,916,68
Scalar_Analytical_Solution/pulsating_FL0_16.out,63.949,63.949,256,126,1982
Scalar_Analytical_Solution/pulsating_FL0_32.out,232.367,232.367,1024,234,969
Scalar_Analytical_Solution/pulsating_FL0_64.out,530.848,530.848,4096,461,281
Scalar_Analytical_Solution/pulsating_FL2_128.out,1049.105,1049.105,16384,916,69
Scalar_Analytical_Solution/pulsating_FL2_16.out,67.357,67.357,256,126,2088
Scalar_Analytical_Solution/pulsating_FL2_32.out,165.202,165.202,1024,234,689
Scalar_Analytical_Solution/pulsating_FL2_64.out,525.475,525.475,4096,461,278
Scalar_Analytical_Solution/pulsating_FL4_128.out,1159.442,1159.442,16384,916,77
Scalar_Analytical_Solution/pulsating_FL4_16.out,88.057,88.057,256,126,2729
Scalar_Analytical_Solution/pulsating_FL4_32.out,293.856,293.856,1024,234,1226
Scalar_Analytical_Solution/pulsating_FL4_64.out,518.908,518.908,4096,461,274
Scalar_Analytical_Solution/saad_512_cfl_1.out,210.920,210.920,2048,100,1029
Scalar_Analytical_Solution/saad_512_cfl_p0625.out,806.762,806.762,2048,900,437
Scalar_Analytical_Solution/saad_512_cfl_p125.out,591.968,591.968,2048,800,361
Scalar_Analytical_Solution/saad_512_cfl_p25.out,531.770,531.770,2048,400,649
Scalar_Analytical_Solution/saad_512_cfl_p5.out,424.044,424.044,2048,200,1035
Scalar_Analytical_Solution/shunn3_128.out,634.998,634.998,16384,182,212
Scalar_Analytical_Solution/shunn3_256_cfl_1.out,27.743,27.743,65536,2,211
Scalar_Analytical_Solution/shunn3_256_cfl_p0625.out,197.971,197.971,65536,32,94
Scalar_Analytical_Solution/shunn3_256_cfl_p125.out,100.874,100.874,65536,16,96
Scalar_Analytical_Solution/shunn3_256_cfl_p25.out,65.377,65.377,65536,8,124
Scalar_Analytical_Solution/shunn3_256_cfl_p5.out,31.978,31.978,65536,4,121
Scalar_Analytical_Solution/shunn3_256.out,1217.471,1217.471,65536,354,52
Scalar_Analytical_Solution/shunn3_32.out,150.382,150.382,1024,55,2670
Scalar_Analytical_Solution/shunn3_4mesh_128.out,62.669,62.669,256,182,1345
Scalar_Analytical_Solution/shunn3_4mesh_256.out,243.814,243.814,512,354,1345
Scalar_Analytical_Solution/shunn3_4mesh_32.out,14.151,14.151,64,55,4020
Scalar_Analytical_Solution/shunn3_4mesh_512.out,1819.161,1819.161,1024,761,2334
Scalar_Analytical_Solution/shunn3_4mesh_64.out,35.068,35.068,128,96,2853
Scalar_Analytical_Solution/shunn3_512.out,5778.815,5778.815,262144,761,28
Scalar_Analytical_Solution/shunn3_64.out,272.927,272.927,4096,96,694
Species/burke_schumann.out,0.696,0.696,60,2,5800
Species/FED_FIC.out,27.935,27.935,500,900,62
Species/FED_FIC_SMIX.out,24.791,24.791,500,900,55
Species/hrrpuv_reac_arrhenius.out,6.178,6.178,64,81,1191
Species/hrrpuv_reac_extinction.out,634.171,634.171,100000,268,23
Species/hrrpuv_reac_parallel_2.out,539.522,539.522,100000,245,22
Species/hrrpuv_reac_parallel.out,656.286,656.286,100000,245,26
Species/hrrpuv_reac_series.out,888.464,888.464,100000,354,25
Species/hrrpuv_reac_simple.out,673.065,673.065,100000,268,25
Species/hrrpuv_reac_single.out,615.571,615.571,100000,267,23
Species/hrrpuv_reac_soot.out,153.180,153.180,400,164,2335
Species/methane_flame_lumped_fuel.out,282.208,282.208,2000,900,156
Species/methane_flame_lumped.out,716.946,716.946,2000,900,398
Species/methane_flame_lumped_ox.out,385.034,385.034,2000,900,213
Species/methane_flame_primitive_2.out,552.262,552.262,2000,900,306
Species/methane_flame_primitive.out,597.725,597.725,2000,900,332
Species/methane_flame_simple_2.out,403.304,403.304,2000,900,224
Species/methane_flame_simple.out,387.392,387.392,2000,900,215
Species/propane_flame_deposition_gravitational.out,438.396,438.396,2000,900,243
Species/propane_flame_deposition_none.out,425.918,425.918,2000,900,236
Species/propane_flame_deposition.out,458.098,458.098,2000,900,254
Species/propane_flame_deposition_thermophoretic.out,338.192,338.192,2000,900,187
Species/propane_flame_deposition_turbulent.out,410.327,410.327,2000,900,227
Species/pvc_combustion.out,14.211,14.211,16,200,4440
Species/ramp_chi_r.out,82.101,82.101,4096,974,20
Species/reactionrate_arrhenius_0order_1step.out,15.492,15.492,64,200,1210
Species/reactionrate_arrhenius_1p75order_2step.out,13.254,13.254,512,160,161
Species/reactionrate_arrhenius_1p75order_2stepr.out,18.364,18.364,512,160,224
Species/reactionrate_arrhenius_2order_1step.out,11.871,11.871,512,80,289
Species/reactionrate_arrhenius_equilibrium.out,57.696,57.696,16,900,4006
Species/reactionrate_EDC_1step_CH4_nonmix.out,24.156,24.156,100,900,268
Species/reactionrate_EDC_flim_1step_C3H8.out,1.612,1.612,512,200,15
Species/reactionrate_EDC_flim_1step_CH4.out,1.613,1.613,512,200,15
Species/reactionrate_EDC_flim_2step.out,14.246,14.246,16,100,8903
Species/reactionrate_EDC_O2lim_1step.out,14.120,14.120,512,20,1378
Species/reactionrate_EDC_O2lim_2fuel_lump.out,13.731,13.731,16,100,8581
Species/reactionrate_EDC_O2lim_2fuel_prim.out,14.688,14.688,16,100,9180
Species/reactionrate_lumped_two_air.out,5.282,5.282,16,100,3301
Species/reactionrate_series_reaction.out,10.923,10.923,16,1,682687
Species/soot_gravitational_settling_2.out,303.924,303.924,8000,900,42
Species/soot_gravitational_settling.out,243.802,243.802,1000,900,270
Sprinklers_and_Sprays/activate_sprinklers.out,362.186,362.186,2100,900,191
Sprinklers_and_Sprays/bucket_test_1.out,884.396,884.396,62500,801,17
Sprinklers_and_Sprays/bucket_test_2.out,176.311,176.311,62500,249,11
Sprinklers_and_Sprays/bucket_test_3.out,65.138,65.138,8000,900,9
Sprinklers_and_Sprays/bucket_test_4.out,458.886,458.886,8000,900,63
Sprinklers_and_Sprays/cascade.out,884.871,884.871,14336,900,68
Sprinklers_and_Sprays/droplet_distributions.out,34.356,34.356,64,3,178937
Sprinklers_and_Sprays/e_coefficient.out,97.932,97.932,2000,900,54
Sprinklers_and_Sprays/flat_fire.out,4.140,4.140,500,33,250
Sprinklers_and_Sprays/flow_rate_2.out,765.334,765.334,25600,729,41
Sprinklers_and_Sprays/flow_rate.out,717.368,717.368,25600,708,39
Sprinklers_and_Sprays/fluid_part_mom_x.out,38.859,38.859,640,255,238
Sprinklers_and_Sprays/fluid_part_mom_y.out,18.146,18.146,640,255,111
Sprinklers_and_Sprays/fluid_part_mom_z.out,21.215,21.215,640,255,129
Sprinklers_and_Sprays/particle_colors.out,378.603,378.603,2048,900,205
Sprinklers_and_Sprays/particle_drag_U100_N1600.out,22.780,22.780,64,900,395
Sprinklers_and_Sprays/particle_drag_U100_N16.out,41.194,41.194,64,900,715
Sprinklers_and_Sprays/particle_drag_U10_N16.out,15.502,15.502,64,900,269
Sprinklers_and_Sprays/particle_drag_U150_N1600.out,38.213,38.213,64,900,663
Sprinklers_and_Sprays/particle_drag_U50_N1600.out,9.713,9.713,64,900,168
Sprinklers_and_Sprays/particle_drag_U50_N16.out,30.408,30.408,64,900,527
Sprinklers_and_Sprays/particle_flux.out,143.894,143.894,62500,372,6
Sprinklers_and_Sprays/screen_drag_1.out,660.457,660.457,60,578,19044
Sprinklers_and_Sprays/screen_drag_2.out,890.158,890.158,60,900,16484
Sprinklers_and_Sprays/sphere_drag_1.out,1012.299,1012.299,120,766,11012
Sprinklers_and_Sprays/sphere_drag_2.out,472.287,472.287,10000,633,74
Sprinklers_and_Sprays/terminal_velocity_dt_0_0001.out,222.122,222.122,160,900,1542
Sprinklers_and_Sprays/terminal_velocity_dt_0_001.out,30.573,30.573,160,900,212
Sprinklers_and_Sprays/terminal_velocity_dt_0_01.out,3.478,3.478,160,900,24
Sprinklers_and_Sprays/terminal_velocity_dt_0_1.out,0.275,0.275,160,200,8
Sprinklers_and_Sprays/terminal_velocity_dt_1_0.out,0.073,0.073,160,20,22
Sprinklers_and_Sprays/water_evaporation_1.out,57.425,57.425,1000,900,63
Sprinklers_and_Sprays/water_evaporation_2.out,1369.669,1369.669,64,900,23778
Sprinklers_and_Sprays/water_evaporation_3.out,1168.069,1168.069,1000,900,1297
Sprinklers_and_Sprays/water_evaporation_4.out,670.136,670.136,3000,552,404
Sprinklers_and_Sprays/water_evaporation_5.out,5.149,5.149,64,900,89
Sprinklers_and_Sprays/water_evaporation_6.out,679.750,679.750,1000,900,755
Sprinklers_and_Sprays/water_evaporation_7.out,1657.683,1657.683,5000,900,368
Sprinklers_and_Sprays/water_fuel_sprays.out,3020.253,3020.253,25000,900,134
