x (m), T (C) kappa = 100 1/m, T (C) kappa = 2000 1/m
1.543086172344689325e-02,6.456719173056653744e+02,6.304462445863231324e+02
1.563126252505010055e-02,6.451091202787440579e+02,6.294908978992717721e+02
1.583166332665330786e-02,6.445455184421055037e+02,6.285339234436529523e+02
1.603206412825651170e-02,6.439811010661014734e+02,6.275753163413361335e+02
1.623246492985971901e-02,6.434158577167787598e+02,6.266150716983194116e+02
1.643286573146292631e-02,6.428497782364436262e+02,6.256531846047153067e+02
1.663326653306613362e-02,6.422828527256976940e+02,6.246896501347392814e+02
1.683366733466933746e-02,6.417150715267927126e+02,6.237244633466968935e+02
1.703406813627254476e-02,6.411464252081998438e+02,6.227576192829744741e+02
1.723446893787575207e-02,6.405769045502703420e+02,6.217891129700296915e+02
1.743486973947895938e-02,6.400065005318962221e+02,6.208189394183807508e+02
1.763527054108216321e-02,6.394352043180795135e+02,6.198470936226005961e+02
1.783567134268537052e-02,6.388630072483327922e+02,6.188735705613084974e+02
1.803607214428857783e-02,6.382899008258356162e+02,6.178983651971655036e+02
1.823647294589178514e-02,6.377158767072919545e+02,6.169214724768672795e+02
1.843687374749498897e-02,6.371409266934171001e+02,6.159428873311414918e+02
1.863727454909819628e-02,6.365650427200156400e+02,6.149626046747446253e+02
1.883767535070140359e-02,6.359882168495945507e+02,6.139806194064597094e+02
1.903807615230461089e-02,6.354104412634717391e+02,6.129969264090951810e+02
1.923847695390781473e-02,6.348317082543426295e+02,6.120115205494851125e+02
1.943887775551102204e-02,6.342520102192672766e+02,6.110243966784905751e+02
1.963927855711422935e-02,6.336713396530489035e+02,6.100355496310020271e+02
1.983967935871743318e-02,6.330896891419754411e+02,6.090449742259415871e+02
2.004008016032064049e-02,6.325070513578942837e+02,6.080526652662690594e+02
2.024048096192384780e-02,6.319234190526002521e+02,6.070586175389877326e+02
2.044088176352705510e-02,6.313387850525128897e+02,6.060628258151488126e+02
2.064128256513025894e-02,6.307531422536256969e+02,6.050652848498634739e+02
2.084168336673346625e-02,6.301664836167057047e+02,6.040659893823094535e+02
2.104208416833667356e-02,6.295788021627281523e+02,6.030649341357424191e+02
2.124248496993988086e-02,6.289900909685338775e+02,6.020621138175084752e+02
2.144288577154308470e-02,6.284003431626904330e+02,6.010575231190570094e+02
2.164328657314629201e-02,6.278095519215446529e+02,6.000511567159553579e+02
2.184368737474949931e-02,6.272177104654631421e+02,5.990430092679051768e+02
2.204408817635270662e-02,6.266248120552330647e+02,5.980330754187594948e+02
2.224448897795591046e-02,6.260308499886314166e+02,5.970213497965412444e+02
2.244488977955911777e-02,6.254358175971373157e+02,5.960078270134647482e+02
2.264529058116232507e-02,6.248397082427923124e+02,5.949925016659559560e+02
2.284569138276553238e-02,6.242425153151880295e+02,5.939753683346768867e+02
2.304609218436873622e-02,6.236442322285816999e+02,5.929564215845492754e+02
2.324649298597194352e-02,6.230448524191313027e+02,5.919356559647823133e+02
2.344689378757515083e-02,6.224443693422389288e+02,5.909130660088990226e+02
2.364729458917835814e-02,6.218427764700012403e+02,5.898886462347664974e+02
2.384769539078156197e-02,6.212400672887592918e+02,5.888623911446277361e+02
2.404809619238476928e-02,6.206362352967420293e+02,5.878342952251332463e+02
2.424849699398797659e-02,6.200312740017973283e+02,5.868043529473761737e+02
2.444889779559118390e-02,6.194251769192075017e+02,5.857725587669282277e+02
2.464929859719438773e-02,6.188179375695850695e+02,5.847389071238781071e+02
2.484969939879759504e-02,6.182095494768400386e+02,5.837033924428712908e+02
2.505010020040080235e-02,6.176000061662210783e+02,5.826660091331505100e+02
2.525050100200400965e-02,6.169893011624222936e+02,5.816267515886011097e+02
2.545090180360721349e-02,6.163774279877510480e+02,5.805856141877944765e+02
2.565130260521042080e-02,6.157643801603600195e+02,5.795425912940370381e+02
2.585170340681362811e-02,6.151501511925308705e+02,5.784976772554176705e+02
2.605210420841683194e-02,6.145347345890141924e+02,5.774508664048602213e+02
2.625250501002003925e-02,6.139181238454183358e+02,5.764021530601759196e+02
2.645290581162324656e-02,6.133003124466475811e+02,5.753515315241194230e+02
2.665330661322645386e-02,6.126812938653818037e+02,5.742989960844450934e+02
2.685370741482965770e-02,6.120610615606032070e+02,5.732445410139672504e+02
2.705410821643286501e-02,6.114396089761594340e+02,5.721881605706211076e+02
2.725450901803607232e-02,6.108169295393665834e+02,5.711298489975272332e+02
2.745490981963927962e-02,6.101930166596459912e+02,5.700696005230569199e+02
2.765531062124248346e-02,6.095678637271975049e+02,5.690074093609009651e+02
2.785571142284569077e-02,6.089414641117012934e+02,5.679432697101404983e+02
2.805611222444889807e-02,6.083138111610519445e+02,5.668771757553180350e+02
2.825651302605210538e-02,6.076848982001201875e+02,5.658091216665158072e+02
2.845691382765530922e-02,6.070547185295388317e+02,5.647391015994303416e+02
2.865731462925851653e-02,6.064232654245186040e+02,5.636671096954544282e+02
2.885771543086172383e-02,6.057905321336806992e+02,5.625931400817596568e+02
2.905811623246493114e-02,6.051565118779188879e+02,5.615171868713814547e+02
2.925851703406813498e-02,6.045211978492744720e+02,5.604392441633063981e+02
2.945891783567134228e-02,6.038845832098352275e+02,5.593593060425628209e+02
2.965931863727454959e-02,6.032466610906534470e+02,5.582773665803136964e+02
2.985971943887775690e-02,6.026074245906755777e+02,5.571934198339533850e+02
3.006012024048096073e-02,6.019668667756925515e+02,5.561074598472040407e+02
3.026052104208416804e-02,6.013249806773020509e+02,5.550194806502191796e+02
3.046092184368737535e-02,6.006817592918853279e+02,5.539294762596867940e+02
3.066132264529058266e-02,6.000371955795959593e+02,5.528374406789350815e+02
3.086172344689378649e-02,5.993912824633604259e+02,5.517433678980447667e+02
3.106212424849699380e-02,5.987440128278904012e+02,5.506472518939594920e+02
3.126252505010020111e-02,5.980953795187014066e+02,5.495490866306035969e+02
3.146292585170340494e-02,5.974453753411462458e+02,5.484488660590002382e+02
3.166332665330661572e-02,5.967939930594501448e+02,5.473465841173933768e+02
3.186372745490981956e-02,5.961412253957577150e+02,5.462422347313732871e+02
3.206412825651302340e-02,5.954870650291842367e+02,5.451358118140030911e+02
3.226452905811623417e-02,5.948315045948746729e+02,5.440273092659540453e+02
3.246492985971943801e-02,5.941745366830652983e+02,5.429167209756371903e+02
3.266533066132264185e-02,5.935161538381513537e+02,5.418040408193425037e+02
3.286573146292585262e-02,5.928563485577607253e+02,5.406892626613812354e+02
3.306613226452905646e-02,5.921951132918252370e+02,5.395723803542304040e+02
3.326653306613226724e-02,5.915324404416600146e+02,5.384533877386813856e+02
3.346693386773547108e-02,5.908683223590411444e+02,5.373322786439920264e+02
3.366733466933867491e-02,5.902027513452877656e+02,5.362090468880425078e+02
3.386773547094188569e-02,5.895357196503424575e+02,5.350836862774945075e+02
3.406813627254508953e-02,5.888672194718527635e+02,5.339561906079547953e+02
3.426853707414829336e-02,5.881972429542535110e+02,5.328265536641412154e+02
3.446893787575150414e-02,5.875257821878466302e+02,5.316947692200533311e+02
3.466933867735470798e-02,5.868528292078819959e+02,5.305608310391487521e+02
3.486973947895791875e-02,5.861783759936341767e+02,5.294247328745183268e+02
3.507014028056112259e-02,5.855024144674779336e+02,5.282864684690715649e+02
3.527054108216432643e-02,5.848249364939606494e+02,5.271460315557212652e+02
3.547094188376753721e-02,5.841459338788750983e+02,5.260034158575745096e+02
3.567134268537074104e-02,5.834653983683215301e+02,5.248586150881271806e+02
3.587174348697394488e-02,5.827833216477715723e+02,5.237116229514629140e+02
3.607214428857715566e-02,5.820996953411269033e+02,5.225624331424556885e+02
3.627254509018035949e-02,5.814145110097699671e+02,5.214110393469784412e+02
3.647294589178357027e-02,5.807277601516124150e+02,5.202574352421131607e+02
3.667334669338677411e-02,5.800394342001364976e+02,5.191016144963682564e+02
3.687374749498997795e-02,5.793495245234300910e+02,5.179435707698986562e+02
3.707414829659318872e-02,5.786580224232159253e+02,5.167832977147312477e+02
3.727454909819639256e-02,5.779649191338721721e+02,5.156207889749946389e+02
3.747494989979959640e-02,5.772702058214481440e+02,5.144560381871531263e+02
3.767535070140280717e-02,5.765738735826693073e+02,5.132890389802458913e+02
3.787575150300601101e-02,5.758759134439368381e+02,5.121197849761329053e+02
3.807615230460922179e-02,5.751763163603159228e+02,5.109482697897406069e+02
3.827655310621242563e-02,5.744750732145164420e+02,5.097744870293178110e+02
3.847695390781562946e-02,5.737721748158642185e+02,5.085984302966940049e+02
3.867735470941884024e-02,5.730676118992621468e+02,5.074200931875419656e+02
3.887775551102204408e-02,5.723613751241407499e+02,5.062394692916483336e+02
3.907815631262524791e-02,5.716534550733986180e+02,5.050565521931861213e+02
3.927855711422845869e-02,5.709438422523307963e+02,5.038713354709949499e+02
3.947895791583166253e-02,5.702325270875471688e+02,5.026838126988639033e+02
3.967935871743486637e-02,5.695194999258774260e+02,5.014939774458229067e+02
3.987975951903807714e-02,5.688047510332652337e+02,5.003018232764379718e+02
4.008016032064128098e-02,5.680882705936480761e+02,4.991073437511106476e+02
4.028056112224449176e-02,5.673700487078244805e+02,4.979105324263841794e+02
4.048096192384769559e-02,5.666500753923096454e+02,4.967113828552572841e+02
4.068136272545089943e-02,5.659283405781732199e+02,4.955098885874994039e+02
4.088176352705411021e-02,5.652048341098649189e+02,4.943060431699751689e+02
4.108216432865731405e-02,5.644795457440278597e+02,4.930998401469729515e+02
4.128256513026051788e-02,5.637524651482904119e+02,4.918912730605393335e+02
4.148296593186372866e-02,5.630235819000466790e+02,4.906803354508202801e+02
4.168336673346693250e-02,5.622928854852215181e+02,4.894670208564081122e+02
4.188376753507014327e-02,5.615603652970150961e+02,4.882513228146937081e+02
4.208416833667334711e-02,5.608260106346339171e+02,4.870332348622262089e+02
4.228456913827655095e-02,5.600898107020015004e+02,4.858127505350764750e+02
4.248496993987976172e-02,5.593517546064524595e+02,4.845898633692106614e+02
4.268537074148296556e-02,5.586118313574083913e+02,4.833645669008650430e+02
4.288577154308616940e-02,5.578700298650339846e+02,4.821368546669335728e+02
4.308617234468938018e-02,5.571263389388728910e+02,4.809067202053544179e+02
4.328657314629258401e-02,5.563807472864646115e+02,4.796741570555093404e+02
4.348697394789579479e-02,5.556332435119408046e+02,4.784391587586269452e+02
4.368737474949899863e-02,5.548838161145987442e+02,4.772017188581916116e+02
4.388777555110220246e-02,5.541324534874565870e+02,4.759618309003615195e+02
4.408817635270541324e-02,5.533791439157816967e+02,4.747194884343911099e+02
4.428857715430861708e-02,5.526238755756007777e+02,4.734746850130621851e+02
4.448897795591182092e-02,5.518666365321837475e+02,4.722274141931210352e+02
4.468937875751503169e-02,5.511074147385037350e+02,4.709776695357220433e+02
4.488977955911823553e-02,5.503461980336747956e+02,4.697254446068791367e+02
4.509018036072143937e-02,5.495829741413620013e+02,4.684707329779238307e+02
4.529058116232465014e-02,5.488177306681667460e+02,4.672135282259711175e+02
4.549098196392785398e-02,5.480504551019855626e+02,4.659538239343906980e+02
4.569138276553106476e-02,5.472811348103438149e+02,4.646916136932887866e+02
4.589178356713426860e-02,5.465097570386965344e+02,4.634268910999912805e+02
4.609218436873747243e-02,5.457363089087073149e+02,4.621596497595432993e+02
4.629258517034068321e-02,5.449607774164940110e+02,4.608898832852070200e+02
4.649298597194388705e-02,5.441831494308446509e+02,4.596175852989717896e+02
4.669338677354709088e-02,5.434034116914057222e+02,4.583427494320714004e+02
4.689378757515030166e-02,5.426215508068373765e+02,4.570653693255079588e+02
4.709418837675350550e-02,5.418375532529362317e+02,4.557854386305843946e+02
4.729458917835671627e-02,5.410514053707263429e+02,4.545029510094431089e+02
4.749498997995992011e-02,5.402630933645172036e+02,4.532179001356138315e+02
4.769539078156312395e-02,5.394726032999265044e+02,4.519302796945686396e+02
4.789579158316633473e-02,5.386799211018681035e+02,4.506400833842850489e+02
4.809619238476953856e-02,5.378850325525046401e+02,4.493473049158170625e+02
4.829659318637274240e-02,5.370879232891630863e+02,4.480519380138722454e+02
4.849699398797595318e-02,5.362885788022114184e+02,4.467539764174002812e+02
4.869739478957915702e-02,5.354869844329012949e+02,4.454534138801880090e+02
4.889779559118236779e-02,5.346831253711643512e+02,4.441502441714591214e+02
4.909819639278557163e-02,5.338769866533749564e+02,4.428444610764886420e+02
4.929859719438877547e-02,5.330685531600670402e+02,4.415360583972195627e+02
4.949899799599198624e-02,5.322578096136116983e+02,4.402250299528907362e+02
4.969939879759519008e-02,5.314447405758501191e+02,4.389113695806721580e+02
4.989979959919839392e-02,5.306293304456821716e+02,4.375950711363082064e+02
5.010020040080160469e-02,5.298115634566108838e+02,4.362761284947705462e+02
5.030060120240480853e-02,5.289914236742398543e+02,4.349545355509170577e+02
5.050100200400801931e-02,5.281688949937232564e+02,4.336302862201607695e+02
5.070140280561122315e-02,5.273439611371671845e+02,4.323033744391466371e+02
5.090180360721442698e-02,5.265166056509822283e+02,4.309737941664373011e+02
5.110220440881763776e-02,5.256868119031850028e+02,4.296415393832063501e+02
5.130260521042084160e-02,5.248545630806452209e+02,4.283066040939397681e+02
5.150300601202404543e-02,5.240198421862835403e+02,4.269689823271475007e+02
5.170340681362725621e-02,5.231826320362127944e+02,4.256286681360818420e+02
5.190380761523046005e-02,5.223429152568215841e+02,4.242856555994642349e+02
5.210420841683366389e-02,5.215006742818038674e+02,4.229399388222235530e+02
5.230460921843687466e-02,5.206558913491278417e+02,4.215915119362374526e+02
5.250501002004007850e-02,5.198085484979455941e+02,4.202403691010879356e+02
5.270541082164328928e-02,5.189586275654407928e+02,4.188865045048210050e+02
5.290581162324649311e-02,5.181061101836130547e+02,4.175299123647171200e+02
5.310621242484969695e-02,5.172509777759975123e+02,4.161705869280707475e+02
5.330661322645290773e-02,5.163932115543203736e+02,4.148085224729757101e+02
5.350701402805611157e-02,5.155327925150828605e+02,4.134437133091214491e+02
5.370741482965931540e-02,5.146697014360770481e+02,4.120761537785962219e+02
5.390781563126252618e-02,5.138039188728311046e+02,4.107058382567018953e+02
5.410821643286573002e-02,5.129354251549797254e+02,4.093327611527710133e+02
5.430861723446894079e-02,5.120642003825602160e+02,4.079569169109996665e+02
5.450901803607214463e-02,5.111902244222289937e+02,4.065783000112824084e+02
5.470941883767534847e-02,5.103134769034031706e+02,4.051969049700607002e+02
5.490981963927855924e-02,5.094339372143131186e+02,4.038127263411751073e+02
5.511022044088176308e-02,5.085515844979795475e+02,4.024257587167290922e+02
5.531062124248496692e-02,5.076663976480990641e+02,4.010359967279612192e+02
5.551102204408817770e-02,5.067783553048401473e+02,3.996434350461219083e+02
5.571142284569138153e-02,5.058874358505528335e+02,3.982480683833620105e+02
5.591182364729459231e-02,5.049936174053794957e+02,3.968498914936294568e+02
5.611222444889779615e-02,5.040968778227723988e+02,3.954488991735711352e+02
5.631262525050099998e-02,5.031971946849092774e+02,3.940450862634460236e+02
5.651302605210421076e-02,5.022945452980087566e+02,3.926384476480427566e+02
5.671342685370741460e-02,5.013889066875373146e+02,3.912289782576095831e+02
5.691382765531061844e-02,5.004802555933105168e+02,3.898166730687884183e+02
5.711422845691382921e-02,4.995685684644795401e+02,3.884015271055582161e+02
5.731462925851703305e-02,4.986538214544028733e+02,3.869835354401858467e+02
5.751503006012024383e-02,4.977359904153985326e+02,3.855626931941832254e+02
5.771543086172344766e-02,4.968150508933723586e+02,3.841389955392763795e+02
5.791583166332665150e-02,4.958909781223202344e+02,3.827124376983740603e+02
5.811623246492986228e-02,4.949637470186961536e+02,3.812830149465536351e+02
5.831663326653306612e-02,4.940333321756477289e+02,3.798507226120435689e+02
5.851703406813626995e-02,4.930997078571084558e+02,3.784155560772230729e+02
5.871743486973948073e-02,4.921628479917449113e+02,3.769775107796203883e+02
5.891783567134268457e-02,4.912227261667550238e+02,3.755365822129231219e+02
5.911823647294588840e-02,4.902793156215099089e+02,3.740927659279950603e+02
5.931863727454909918e-02,4.893325892410335882e+02,3.726460575338949184e+02
5.951903807615230302e-02,4.883825195493180900e+02,3.711964526989085016e+02
5.971943887775551379e-02,4.874290787024644942e+02,3.697439471515813239e+02
5.991983967935871763e-02,4.864722384816452632e+02,3.682885366817604336e+02
6.012024048096192147e-02,4.855119702858818300e+02,3.668302171416424926e+02
6.032064128256513225e-02,4.845482451246299433e+02,3.653689844468254933e+02
6.052104208416833608e-02,4.835810336101650364e+02,3.639048345773686606e+02
6.072144288577153992e-02,4.826103059497622780e+02,3.624377635788566749e+02
6.092184368737475070e-02,4.816360319376634607e+02,3.609677675634692378e+02
6.112224448897795454e-02,4.806581809468181063e+02,3.594948427110565490e+02
6.132264529058116531e-02,4.796767219204000412e+02,3.580189852702192184e+02
6.152304609218436915e-02,4.786916233630802253e+02,3.565401915593931790e+02
6.172344689378757299e-02,4.777028533320533370e+02,3.550584579679400576e+02
6.192384769539078376e-02,4.767103794278078794e+02,3.535737809572405013e+02
6.212424849699398760e-02,4.757141687846287823e+02,3.520861570617925054e+02
6.232464929859719144e-02,4.747141880608227211e+02,3.505955828903148586e+02
6.252505010020040221e-02,4.737104034286563774e+02,3.491020551268521785e+02
6.272545090180360605e-02,4.727027805639953613e+02,3.476055705318852915e+02
6.292585170340680989e-02,4.716912846356357250e+02,3.461061259434459316e+02
6.312625250501001373e-02,4.706758802943095361e+02,3.446037182782290529e+02
6.332665330661323144e-02,4.696565316613621235e+02,3.430983445327177606e+02
6.352705410821643528e-02,4.686332023170775756e+02,3.415900017843007390e+02
6.372745490981963912e-02,4.676058552886491952e+02,3.400786871923979788e+02
6.392785571142284295e-02,4.665744530377720594e+02,3.385643979995884365e+02
6.412825651302604679e-02,4.655389574478529084e+02,3.370471315327365573e+02
6.432865731462926451e-02,4.644993298108136059e+02,3.355268852041239143e+02
6.452905811623246835e-02,4.634555308134799816e+02,3.340036565125789139e+02
6.472945891783567218e-02,4.624075205235345720e+02,3.324774430446105953e+02
6.492985971943887602e-02,4.613552583750245049e+02,3.309482424755400416e+02
6.513026052104207986e-02,4.602987031533964455e+02,3.294160525706349745e+02
6.533066132264528370e-02,4.592378129800525812e+02,3.278808711862441214e+02
6.553106212424850141e-02,4.581725452964017222e+02,3.263426962709283998e+02
6.573146292585170525e-02,4.571028568473891482e+02,3.248015258665966485e+02
6.593186372745490909e-02,4.560287036644857608e+02,3.232573581096362432e+02
6.613226452905811292e-02,4.549500410481152812e+02,3.217101912320439396e+02
6.633266533066131676e-02,4.538668235495014187e+02,3.201600235625566029e+02
6.653306613226453448e-02,4.527790049519051081e+02,3.186068535277786395e+02
6.673346693386773831e-02,4.516865382512417000e+02,3.170506796533074976e+02
6.693386773547094215e-02,4.505893756360414955e+02,3.154915005648573469e+02
6.713426853707414599e-02,4.494874684667382780e+02,3.139293149893791224e+02
6.733466933867734983e-02,4.483807672542561704e+02,3.123641217561778376e+02
6.753507014028056754e-02,4.472692216378677585e+02,3.107959197980266026e+02
6.773547094188377138e-02,4.461527803623005184e+02,3.092247081522759800e+02
6.793587174348697522e-02,4.450313912540558476e+02,3.076504859619591343e+02
6.813627254509017905e-02,4.439050011969164871e+02,3.060732524768939129e+02
6.833667334669338289e-02,4.427735561066081118e+02,3.044930070547766263e+02
6.853707414829658673e-02,4.416370009045832603e+02,3.029097491622740108e+02
6.873747494989980444e-02,4.404952794908930400e+02,3.013234783761058679e+02
6.893787575150300828e-02,4.393483347161117081e+02,2.997341943841252032e+02
6.913827655310621212e-02,4.381961083522745639e+02,2.981418969863872235e+02
6.933867735470941596e-02,4.370385410627933425e+02,2.965465860962164015e+02
6.953907815631261979e-02,4.358755723713024963e+02,2.949482617412606942e+02
6.973947895791583751e-02,4.347071406294002145e+02,2.933469240645417813e+02
6.993987975951904135e-02,4.335331829832310859e+02,2.917425733254962097e+02
7.014028056112224518e-02,4.323536353388664111e+02,2.901352099010061920e+02
7.034068136272544902e-02,4.311684323264333898e+02,2.885248342864227880e+02
7.054108216432865286e-02,4.299775072629322494e+02,2.869114470965793089e+02
7.074148296593185670e-02,4.287807921136934510e+02,2.852950490667930126e+02
7.094188376753507441e-02,4.275782174524094899e+02,2.836756410538589535e+02
7.114228456913827825e-02,4.263697124196791037e+02,2.820532240370312138e+02
7.134268537074148209e-02,4.251552046799988602e+02,2.804277991189929935e+02
7.154308617234468592e-02,4.239346203771252704e+02,2.787993675268146490e+02
7.174348697394788976e-02,4.227078840877409220e+02,2.771679306129000224e+02
7.194388777555110748e-02,4.214749187733339113e+02,2.755334898559198109e+02
7.214428857715431131e-02,4.202356457302122408e+02,2.738960468617314064e+02
7.234468937875751515e-02,4.189899845375592804e+02,2.722556033642862303e+02
7.254509018036071899e-02,4.177378530034343385e+02,2.706121612265209251e+02
7.274549098196392283e-02,4.164791671086134102e+02,2.689657224412352434e+02
7.294589178356714054e-02,4.152138409481632380e+02,2.673162891319562959e+02
7.314629258517034438e-02,4.139417866706288578e+02,2.656638635537842674e+02
7.334669338677354822e-02,4.126629144147080979e+02,2.640084480942242635e+02
7.354709418837675206e-02,4.113771322432854731e+02,2.623500452740013316e+02
7.374749498997995589e-02,4.100843460746780238e+02,2.606886577478582012e+02
7.394789579158315973e-02,4.087844596109431450e+02,2.590242883053357446e+02
7.414829659318637745e-02,4.074773742630852666e+02,2.573569398715369516e+02
7.434869739478958128e-02,4.061629890729926728e+02,2.556866155078704423e+02
7.454909819639278512e-02,4.048412006319174452e+02,2.540133184127760160e+02
7.474949899799598896e-02,4.035119029952994651e+02,2.523370519224329200e+02
7.494989979959919280e-02,4.021749875937344996e+02,2.506578195114457230e+02
7.515030060120241051e-02,4.008303431398522889e+02,2.489756247935106330e+02
7.535070140280561435e-02,3.994778555308788555e+02,2.472904715220630578e+02
7.555110220440881819e-02,3.981174077466196195e+02,2.456023635909023142e+02
7.575150300601202202e-02,3.967488797426062774e+02,2.439113050347959870e+02
7.595190380761522586e-02,3.953721483381091275e+02,2.422173000300606418e+02
7.615230460921844358e-02,3.939870870987258513e+02,2.405203528951230965e+02
7.635270541082164741e-02,3.925935662132120569e+02,2.388204680910554885e+02
7.655310621242485125e-02,3.911914523642220729e+02,2.371176502220902194e+02
7.675350701402805509e-02,3.897806085925897150e+02,2.354119040361085808e+02
7.695390781563125893e-02,3.883608941547729501e+02,2.337032344251079508e+02
7.715430861723446276e-02,3.869321643730521600e+02,2.319916464256411928e+02
