s,s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 4.5000538E+001, 4.2546124E+001, 4.2546124E+001, 4.2546124E+001, 4.2546124E+001, 2.5919662E+002, 4.0372645E+002, 3.7675125E+002, 3.7273477E+002, 3.7673504E+002, 3.4267602E+002, 2.6620668E+002, 3.0703461E+002, 2.8817099E+002, 2.5891566E+002, 1.8020282E+002, 3.3986238E+001, 2.7947156E+001, 2.6634302E+001, 2.0494348E+002, 1.5599193E+002, 9.6847667E+001, 9.7439577E+001, 5.7389474E+001, 2.4068746E+001, 2.3007972E+001
 5.0004871E+001, 4.7364584E+001, 4.7364584E+001, 4.7364584E+001, 4.7364584E+001, 2.6340893E+002, 4.0306504E+002, 3.7419871E+002, 3.7256740E+002, 3.6364715E+002, 3.2094186E+002, 2.8053082E+002, 3.1649489E+002, 2.7928302E+002, 2.6951454E+002, 1.7048877E+002, 3.7313237E+001, 2.8670972E+001, 2.6789161E+001, 2.0964927E+002, 1.6749841E+002, 1.1685779E+002, 1.0275268E+002, 2.4224072E+001, 2.4476117E+001, 2.2977403E+001
 5.5017761E+001, 5.2546352E+001, 5.2546352E+001, 5.2546352E+001, 5.2546352E+001, 2.6150113E+002, 3.7799210E+002, 3.7459637E+002, 3.7591852E+002, 3.7489827E+002, 3.7473227E+002, 3.2277908E+002, 3.0402039E+002, 3.0334264E+002, 2.7447634E+002, 1.7045503E+002, 2.9916526E+001, 2.8633542E+001, 2.6675152E+001, 2.1116343E+002, 1.6454845E+002, 1.2637899E+002, 1.1056321E+002, 3.4168837E+001, 2.3659456E+001, 2.2823407E+001
 6.0014782E+001, 5.7573546E+001, 5.7573546E+001, 5.7573546E+001, 5.7573546E+001, 2.3217067E+002, 4.0414145E+002, 3.6323166E+002, 3.5760485E+002, 3.6143084E+002, 3.6076722E+002, 2.6151548E+002, 3.0696699E+002, 3.0342851E+002, 2.6991416E+002, 1.6952863E+002, 3.4203651E+001, 2.7490592E+001, 2.6122471E+001, 2.0832953E+002, 1.7099589E+002, 1.2738935E+002, 1.0983799E+002, 3.7326598E+001, 2.3646412E+001, 2.2983554E+001
 6.5017197E+001, 6.2471001E+001, 6.2471001E+001, 6.2471001E+001, 6.2471001E+001, 2.5770377E+002, 4.1393059E+002, 3.8711237E+002, 3.7950451E+002, 3.7512305E+002, 3.8854536E+002, 3.9887712E+002, 3.2422703E+002, 3.0112363E+002, 2.7104189E+002, 1.7882305E+002, 3.5908549E+001, 2.9221385E+001, 2.6708839E+001, 2.1178296E+002, 1.7720769E+002, 1.3932184E+002, 1.1329471E+002, 5.3411208E+001, 2.5842795E+001, 2.3435227E+001
 7.0023590E+001, 6.7525670E+001, 6.7525670E+001, 6.7525670E+001, 6.7525670E+001, 2.7880594E+002, 3.8230569E+002, 3.8247245E+002, 3.7931124E+002, 3.7905281E+002, 3.8456601E+002, 3.7746583E+002, 2.9395063E+002, 2.8046509E+002, 2.4865274E+002, 1.9956149E+002, 9.5472293E+001, 2.8283031E+001, 2.5579812E+001, 1.8485464E+002, 1.6742894E+002, 1.4681048E+002, 1.2616055E+002, 8.9677944E+001, 3.1496194E+001, 2.3628246E+001
 7.5003738E+001, 7.2590415E+001, 7.2590415E+001, 7.2590415E+001, 7.2590415E+001, 2.2460901E+002, 3.2266357E+002, 3.2828311E+002, 3.3015817E+002, 3.2935190E+002, 3.2544586E+002, 2.9272019E+002, 2.5874825E+002, 2.6062184E+002, 2.3105697E+002, 2.0717333E+002, 8.8488660E+001, 3.3930303E+001, 2.5671701E+001, 1.8264815E+002, 1.7261740E+002, 1.4355812E+002, 1.2484451E+002, 1.0398544E+002, 3.4763589E+001, 2.4261322E+001
 8.0009438E+001, 7.7252711E+001, 7.7252711E+001, 7.7252711E+001, 7.7252711E+001, 2.3932973E+002, 3.3853079E+002, 3.1518087E+002, 2.9545470E+002, 2.8526222E+002, 2.7474663E+002, 2.7785914E+002, 2.3569126E+002, 2.3580792E+002, 2.2018441E+002, 2.0510100E+002, 9.1300573E+001, 4.2437859E+001, 2.6048344E+001, 1.8222996E+002, 1.5818619E+002, 1.4390013E+002, 1.2979835E+002, 1.1231215E+002, 5.5862166E+001, 2.4865860E+001
 8.5026962E+001, 8.2666084E+001, 8.2666084E+001, 8.2666084E+001, 8.2666084E+001, 1.9760335E+002, 2.7529305E+002, 2.7498522E+002, 2.7146352E+002, 2.6706987E+002, 2.6309222E+002, 2.5674624E+002, 2.2343024E+002, 2.2295490E+002, 2.1254388E+002, 1.8725395E+002, 8.9740161E+001, 6.0933978E+001, 2.8286276E+001, 1.6566093E+002, 1.6118132E+002, 1.3895629E+002, 1.2995128E+002, 1.2045736E+002, 7.0668098E+001, 2.6856825E+001
 9.0002838E+001, 8.7416613E+001, 8.7416613E+001, 8.7416613E+001, 8.7416613E+001, 1.7506491E+002, 2.5579865E+002, 2.5349332E+002, 2.4772597E+002, 2.3728958E+002, 2.1647347E+002, 2.0792305E+002, 2.0342318E+002, 2.0370567E+002, 1.9021682E+002, 1.8441772E+002, 1.1468723E+002, 6.8793925E+001, 3.2076096E+001, 1.5115257E+002, 1.4641191E+002, 1.4284135E+002, 1.3806798E+002, 1.2968670E+002, 9.5027403E+001, 3.3457547E+001
 9.5040802E+001, 9.2429622E+001, 9.2429622E+001, 9.2429622E+001, 9.2429622E+001, 1.5906857E+002, 2.2821028E+002, 2.2491670E+002, 2.1350806E+002, 2.0181095E+002, 1.8917031E+002, 1.7524478E+002, 1.8219595E+002, 1.9069694E+002, 1.8901245E+002, 1.8362749E+002, 1.3092356E+002, 7.9950257E+001, 3.5492331E+001, 1.4916150E+002, 1.5266574E+002, 1.5078403E+002, 1.4396993E+002, 1.3728149E+002, 1.0873062E+002, 3.7749268E+001
 1.0001815E+002, 9.7813744E+001, 9.7813744E+001, 9.7813744E+001, 9.7813744E+001, 1.5451477E+002, 2.0618240E+002, 1.9712556E+002, 1.9700417E+002, 1.9165676E+002, 1.8600435E+002, 1.5627428E+002, 2.0734183E+002, 1.9277626E+002, 1.8102634E+002, 1.8006940E+002, 1.6936715E+002, 8.9661858E+001, 4.1762522E+001, 1.4771383E+002, 1.4822212E+002, 1.4758516E+002, 1.4013281E+002, 1.3727581E+002, 1.0767788E+002, 4.8948190E+001
 1.0502163E+002, 1.0260574E+002, 1.0260574E+002, 1.0260574E+002, 1.0260574E+002, 1.4224540E+002, 1.8960958E+002, 1.9023147E+002, 1.8703962E+002, 1.9747829E+002, 1.9550305E+002, 1.6320221E+002, 2.2503702E+002, 2.1328013E+002, 2.0477307E+002, 1.9901594E+002, 1.3887314E+002, 9.4289967E+001, 6.6539542E+001, 1.5619285E+002, 1.5139422E+002, 1.4654227E+002, 1.4340778E+002, 1.3424144E+002, 1.1603677E+002, 7.0887556E+001
 1.1000243E+002, 1.0752962E+002, 1.0752962E+002, 1.0752962E+002, 1.0752962E+002, 1.4185891E+002, 1.8944968E+002, 1.8630843E+002, 1.9696342E+002, 2.1565107E+002, 1.9594047E+002, 1.6735579E+002, 2.5538254E+002, 2.4103637E+002, 2.1761280E+002, 2.1020803E+002, 1.6763157E+002, 1.2117777E+002, 8.5974978E+001, 1.7659590E+002, 1.6915595E+002, 1.5465441E+002, 1.4663017E+002, 1.4619049E+002, 1.3093951E+002, 7.5985585E+001
 1.1501635E+002, 1.1252576E+002, 1.1252576E+002, 1.1252576E+002, 1.1252576E+002, 1.4016186E+002, 1.8835705E+002, 1.8737350E+002, 1.8531156E+002, 1.9359154E+002, 1.9472024E+002, 1.8719081E+002, 2.4146629E+002, 2.3764995E+002, 2.3247719E+002, 2.0919547E+002, 1.8693251E+002, 1.3153043E+002, 1.0747973E+002, 1.8835897E+002, 1.8676635E+002, 1.8332126E+002, 1.7101146E+002, 1.6592826E+002, 1.5602323E+002, 1.0686665E+002
 1.2001687E+002, 1.1770532E+002, 1.1770532E+002, 1.1770532E+002, 1.1770532E+002, 1.5667819E+002, 1.8265097E+002, 1.8346950E+002, 1.8817021E+002, 2.0145626E+002, 1.8436162E+002, 1.6342461E+002, 2.4401176E+002, 2.4653945E+002, 2.3911079E+002, 2.3397087E+002, 2.4449815E+002, 2.1478833E+002, 1.6364158E+002, 2.1240155E+002, 2.1562687E+002, 2.2405579E+002, 2.1772142E+002, 1.9822671E+002, 1.8643448E+002, 1.3619813E+002
 1.2501926E+002, 1.2259381E+002, 1.2259381E+002, 1.2259381E+002, 1.2259381E+002, 1.4238081E+002, 1.9425864E+002, 1.8997677E+002, 1.9392992E+002, 2.2045446E+002, 2.2163561E+002, 1.8553539E+002, 3.6188557E+002, 3.4810863E+002, 3.4872161E+002, 3.2971962E+002, 3.4801028E+002, 3.2596361E+002, 2.6754279E+002, 2.7332491E+002, 2.7040874E+002, 2.5686575E+002, 2.2645839E+002, 1.9597389E+002, 1.8247202E+002, 1.6365212E+002
 1.3002965E+002, 1.2735875E+002, 1.2735875E+002, 1.2735875E+002, 1.2735875E+002, 1.6214544E+002, 2.1099874E+002, 2.0453542E+002, 2.0977825E+002, 2.1660209E+002, 2.0407853E+002, 1.8409125E+002, 2.5507652E+002, 2.4875814E+002, 2.4060862E+002, 2.2622468E+002, 2.1263411E+002, 1.9118620E+002, 1.6636843E+002, 2.2931096E+002, 2.3705119E+002, 2.3798472E+002, 2.2778608E+002, 2.0321134E+002, 1.8947135E+002, 1.8066749E+002
 1.3503873E+002, 1.3241042E+002, 1.3241042E+002, 1.3241042E+002, 1.3241042E+002, 1.5019401E+002, 1.8873325E+002, 1.8967045E+002, 1.8212309E+002, 1.8188933E+002, 1.7400844E+002, 1.5723352E+002, 1.8801422E+002, 1.8879750E+002, 1.8463981E+002, 1.7935426E+002, 1.7490125E+002, 1.6793834E+002, 1.5330905E+002, 1.8017643E+002, 1.8883875E+002, 1.8773721E+002, 1.8873263E+002, 1.8286804E+002, 1.7399599E+002, 1.6098257E+002
 1.4002939E+002, 1.3751103E+002, 1.3751103E+002, 1.3751103E+002, 1.3751103E+002, 1.4601472E+002, 1.7274961E+002, 1.7407724E+002, 1.6398530E+002, 1.6194958E+002, 1.5410549E+002, 1.2862777E+002, 1.5717162E+002, 1.6253213E+002, 1.6149192E+002, 1.5577670E+002, 1.5163504E+002, 1.4619163E+002, 1.3119433E+002, 1.5587997E+002, 1.6561612E+002, 1.6643671E+002, 1.6306639E+002, 1.5763782E+002, 1.5087372E+002, 1.3822635E+002
 1.4502567E+002, 1.4257546E+002, 1.4257546E+002, 1.4257546E+002, 1.4257546E+002, 1.3542947E+002, 1.6344549E+002, 1.6317411E+002, 1.5128118E+002, 1.4503607E+002, 1.3145247E+002, 1.1433135E+002, 1.4027934E+002, 1.4478690E+002, 1.4018272E+002, 1.3569894E+002, 1.3308100E+002, 1.2664502E+002, 1.1973831E+002, 1.3806097E+002, 1.4432156E+002, 1.4298419E+002, 1.4071189E+002, 1.3729854E+002, 1.2952757E+002, 1.1811869E+002
 1.5004111E+002, 1.4754783E+002, 1.4754783E+002, 1.4754783E+002, 1.4754783E+002, 1.2357066E+002, 1.5482241E+002, 1.4704570E+002, 1.3502709E+002, 1.2774012E+002, 1.1387493E+002, 1.0522339E+002, 1.2397317E+002, 1.2972570E+002, 1.2676166E+002, 1.2353178E+002, 1.2013901E+002, 1.1382602E+002, 1.1001744E+002, 1.2303548E+002, 1.2951996E+002, 1.2737037E+002, 1.2558705E+002, 1.1968317E+002, 1.1390162E+002, 1.0520277E+002
 1.5503154E+002, 1.5268233E+002, 1.5268233E+002, 1.5268233E+002, 1.5268233E+002, 1.2146196E+002, 1.4732581E+002, 1.3927754E+002, 1.2787076E+002, 1.1774840E+002, 1.0572571E+002, 9.3605975E+001, 1.1431718E+002, 1.1911530E+002, 1.1538335E+002, 1.1110462E+002, 1.0882407E+002, 1.0368148E+002, 9.8084935E+001, 1.1284226E+002, 1.1630920E+002, 1.1504122E+002, 1.1472006E+002, 1.1134896E+002, 1.0401536E+002, 9.4466639E+001
 1.6002290E+002, 1.5760059E+002, 1.5760059E+002, 1.5760059E+002, 1.5760059E+002, 1.1584049E+002, 1.4026973E+002, 1.2987893E+002, 1.1921731E+002, 1.1347919E+002, 9.8451634E+001, 9.3895407E+001, 1.0761056E+002, 1.1014029E+002, 1.0634612E+002, 1.0448212E+002, 1.0016031E+002, 9.6917166E+001, 9.1397195E+001, 1.0539444E+002, 1.0696697E+002, 1.0783413E+002, 1.0527981E+002, 1.0270602E+002, 9.7456147E+001, 9.0508900E+001
 1.6502066E+002, 1.6256773E+002, 1.6256773E+002, 1.6256773E+002, 1.6256773E+002, 1.0960840E+002, 1.3415081E+002, 1.2680268E+002, 1.0946036E+002, 1.0094194E+002, 9.0382820E+001, 8.4325604E+001, 9.9376678E+001, 1.0249075E+002, 9.9471277E+001, 9.7305062E+001, 9.4966707E+001, 9.1730185E+001, 8.4763844E+001, 1.0574808E+002, 1.0337671E+002, 1.0125958E+002, 1.0068250E+002, 9.6803725E+001, 9.1822287E+001, 8.3807718E+001
 1.7000012E+002, 1.6760245E+002, 1.6760245E+002, 1.6760245E+002, 1.6760245E+002, 1.0317054E+002, 1.2800778E+002, 1.1872975E+002, 1.0565023E+002, 9.5806790E+001, 8.8131696E+001, 7.5098315E+001, 9.3039097E+001, 9.7171578E+001, 9.4045880E+001, 9.2303591E+001, 8.9995713E+001, 8.6881216E+001, 7.9657627E+001, 1.0764727E+002, 9.9542369E+001, 9.9320905E+001, 1.0058153E+002, 9.7983501E+001, 8.9856776E+001, 8.2448934E+001
 1.7501010E+002, 1.7255268E+002, 1.7255268E+002, 1.7255268E+002, 1.7255268E+002, 9.9804661E+001, 1.2322505E+002, 1.1500258E+002, 9.9584319E+001, 9.3433065E+001, 8.2611466E+001, 7.3735047E+001, 9.1649360E+001, 9.2435987E+001, 9.0627877E+001, 9.0942322E+001, 8.9343816E+001, 8.4646126E+001, 7.9660226E+001, 1.0357362E+002, 9.9145559E+001, 9.4818675E+001, 9.6203669E+001, 9.4165697E+001, 8.2988837E+001, 7.6562464E+001
 1.8002351E+002, 1.7751699E+002, 1.7751699E+002, 1.7751699E+002, 1.7751699E+002, 9.7114304E+001, 1.1895787E+002, 1.0949006E+002, 9.9230160E+001, 8.9912934E+001, 7.7352814E+001, 7.6687911E+001, 8.8708948E+001, 8.8049009E+001, 8.8543693E+001, 8.8728022E+001, 8.7177898E+001, 8.1950796E+001, 7.4602977E+001, 1.0388379E+002, 1.0229700E+002, 9.6240374E+001, 9.2213301E+001, 9.0769197E+001, 8.4308023E+001, 7.3765720E+001
 1.8500839E+002, 1.8257230E+002, 1.8257230E+002, 1.8257230E+002, 1.8257230E+002, 9.4777328E+001, 1.1462435E+002, 1.0205115E+002, 9.2863347E+001, 8.2539361E+001, 7.3237216E+001, 7.3709159E+001, 8.3959460E+001, 8.5946278E+001, 8.6069469E+001, 8.7427642E+001, 8.6450462E+001, 8.1705218E+001, 7.4068010E+001, 1.0665882E+002, 1.0222154E+002, 9.3740893E+001, 9.3165041E+001, 8.8672409E+001, 8.4642570E+001, 7.3862308E+001
 1.9001935E+002, 1.8749734E+002, 1.8749734E+002, 1.8749734E+002, 1.8749734E+002, 9.3902388E+001, 1.1041240E+002, 9.6503746E+001, 8.6263106E+001, 7.9589804E+001, 7.2706259E+001, 7.2738243E+001, 8.1543913E+001, 8.3590070E+001, 8.3926751E+001, 8.5300165E+001, 8.2891343E+001, 7.4864090E+001, 7.1290930E+001, 1.0471198E+002, 9.8618812E+001, 9.4419502E+001, 9.1307758E+001, 8.1138480E+001, 7.3668239E+001, 7.0539991E+001
 1.9501895E+002, 1.9253377E+002, 1.9253377E+002, 1.9253377E+002, 1.9253377E+002, 9.1764521E+001, 1.0771476E+002, 9.4088888E+001, 8.2559908E+001, 7.9343306E+001, 7.3104142E+001, 7.0960172E+001, 7.9783427E+001, 8.1433584E+001, 8.0826243E+001, 8.0570684E+001, 7.9331962E+001, 7.3733219E+001, 6.8227607E+001, 1.0166185E+002, 9.5662809E+001, 9.1332760E+001, 8.6813706E+001, 8.0405215E+001, 7.3118320E+001, 6.7328433E+001
 2.0001857E+002, 1.9753338E+002, 1.9753338E+002, 1.9753338E+002, 1.9753338E+002, 8.9694993E+001, 1.0464888E+002, 9.3627157E+001, 8.3867182E+001, 7.8538796E+001, 7.2483572E+001, 6.9253081E+001, 7.8910712E+001, 7.9673285E+001, 7.8198311E+001, 7.8754331E+001, 7.5938384E+001, 7.2418563E+001, 6.6598853E+001, 1.0022237E+002, 9.2234103E+001, 8.9012349E+001, 8.1124316E+001, 7.6863013E+001, 7.1485510E+001, 6.7154442E+001
 2.0501817E+002, 2.0253299E+002, 2.0253299E+002, 2.0253299E+002, 2.0253299E+002, 8.7083414E+001, 1.0056646E+002, 9.0332796E+001, 8.4308767E+001, 7.8499722E+001, 7.2464062E+001, 6.7716207E+001, 7.5090410E+001, 7.7746489E+001, 7.6980904E+001, 7.6624509E+001, 7.5874095E+001, 7.0920225E+001, 6.2777871E+001, 9.5565753E+001, 8.7617337E+001, 8.4315457E+001, 7.9210016E+001, 7.2616464E+001, 6.7515963E+001, 6.4124030E+001
 2.1002303E+002, 2.0747041E+002, 2.0747041E+002, 2.0747041E+002, 2.0747041E+002, 8.5589275E+001, 9.6580065E+001, 8.5982142E+001, 8.1321694E+001, 7.7032323E+001, 6.6708520E+001, 6.7220691E+001, 7.4208823E+001, 7.5707936E+001, 7.6000911E+001, 7.5539264E+001, 7.1639069E+001, 6.6475564E+001, 6.2489822E+001, 9.2402402E+001, 8.5054263E+001, 8.3352894E+001, 7.7988914E+001, 7.0212461E+001, 6.6513636E+001, 6.2479127E+001
 2.1500038E+002, 2.1247762E+002, 2.1247762E+002, 2.1247762E+002, 2.1247762E+002, 8.3825982E+001, 9.4490131E+001, 8.4857019E+001, 7.8782282E+001, 7.3654685E+001, 6.8959410E+001, 6.6604144E+001, 7.1361049E+001, 7.3165408E+001, 7.2822482E+001, 7.1462068E+001, 6.8753347E+001, 6.6085373E+001, 5.9615756E+001, 8.3735793E+001, 8.2441972E+001, 7.8849069E+001, 7.3516280E+001, 6.9274478E+001, 6.6434120E+001, 6.0237312E+001
 2.2002702E+002, 2.1749291E+002, 2.1749291E+002, 2.1749291E+002, 2.1749291E+002, 8.2606868E+001, 9.2160965E+001, 8.3432444E+001, 7.6575965E+001, 7.0519906E+001, 6.8393057E+001, 6.5663980E+001, 6.9651528E+001, 7.1513049E+001, 7.1127362E+001, 6.9183641E+001, 6.7496099E+001, 6.3645819E+001, 5.7340163E+001, 8.0639779E+001, 7.7492563E+001, 7.4081479E+001, 7.1900614E+001, 6.9510436E+001, 6.4231877E+001, 5.8696430E+001
 2.2500807E+002, 2.2252605E+002, 2.2252605E+002, 2.2252605E+002, 2.2252605E+002, 8.2373289E+001, 9.0286780E+001, 8.1963171E+001, 7.6123690E+001, 6.9645638E+001, 6.7995616E+001, 6.7191637E+001, 6.8166038E+001, 6.8541935E+001, 6.8177275E+001, 6.7588123E+001, 6.7394267E+001, 6.2571995E+001, 5.5569942E+001, 7.6678648E+001, 7.5414849E+001, 7.2043412E+001, 7.0163658E+001, 6.5075561E+001, 6.1336609E+001, 5.7984611E+001
 2.3002490E+002, 2.2744984E+002, 2.2744984E+002, 2.2744984E+002, 2.2744984E+002, 8.2046942E+001, 8.9464388E+001, 8.0310802E+001, 7.4547607E+001, 6.8466566E+001, 6.7926317E+001, 6.7146262E+001, 6.8715130E+001, 6.8324573E+001, 6.6883245E+001, 6.6587139E+001, 6.4422618E+001, 5.9057459E+001, 5.3046121E+001, 7.4285554E+001, 7.1192101E+001, 7.0092317E+001, 6.8141156E+001, 6.5029510E+001, 6.0462384E+001, 5.6761351E+001
 2.3502704E+002, 2.3244767E+002, 2.3244767E+002, 2.3244767E+002, 2.3244767E+002, 8.0243716E+001, 8.8759182E+001, 7.7964704E+001, 7.2065331E+001, 6.8201283E+001, 6.5730199E+001, 6.1595612E+001, 6.7242918E+001, 6.7409206E+001, 6.4653870E+001, 6.2994536E+001, 6.1305954E+001, 5.8761621E+001, 5.4724794E+001, 6.9434809E+001, 6.8316034E+001, 6.7498581E+001, 6.4435431E+001, 6.2627888E+001, 5.8303902E+001, 5.5372720E+001
 2.4003590E+002, 2.3765432E+002, 2.3765432E+002, 2.3765432E+002, 2.3765432E+002, 7.8019611E+001, 8.7269753E+001, 7.6435456E+001, 7.0681278E+001, 6.8437522E+001, 6.3735702E+001, 6.2258962E+001, 6.6626965E+001, 6.6641663E+001, 6.1717803E+001, 5.9450272E+001, 5.9843513E+001, 5.7295119E+001, 5.1913165E+001, 6.6062109E+001, 6.6204612E+001, 6.4616542E+001, 6.3136975E+001, 5.9846229E+001, 5.7705499E+001, 5.4239456E+001
 2.4501106E+002, 2.4259878E+002, 2.4259878E+002, 2.4259878E+002, 2.4259878E+002, 7.6819441E+001, 8.6004921E+001, 7.6200769E+001, 7.0420714E+001, 6.7101662E+001, 6.3852358E+001, 6.2076755E+001, 6.4923495E+001, 6.5747401E+001, 6.1598251E+001, 5.8098076E+001, 6.0120230E+001, 5.6329121E+001, 5.1418457E+001, 6.3877905E+001, 6.2906872E+001, 6.1367810E+001, 6.0136427E+001, 5.8223822E+001, 5.6408844E+001, 5.3219953E+001
 2.5000833E+002, 2.4761815E+002, 2.4761815E+002, 2.4761815E+002, 2.4761815E+002, 7.6070478E+001, 8.4627445E+001, 7.4205395E+001, 6.8411575E+001, 6.5861916E+001, 6.3443487E+001, 6.0246346E+001, 6.4746137E+001, 6.3675866E+001, 6.0280511E+001, 5.7851668E+001, 5.7865665E+001, 5.4668294E+001, 5.1192605E+001, 8.0128221E+001, 6.2706014E+001, 6.0784341E+001, 5.9338869E+001, 5.7492650E+001, 5.5669054E+001, 5.1157543E+001
 2.5501486E+002, 2.5257324E+002, 2.5257324E+002, 2.5257324E+002, 2.5257324E+002, 7.4707051E+001, 8.2523814E+001, 7.4100033E+001, 6.8514429E+001, 6.4692789E+001, 6.2058741E+001, 5.9141297E+001, 7.1461008E+001, 6.8185841E+001, 6.2560723E+001, 5.8901551E+001, 5.7310007E+001, 5.4470918E+001, 5.1103568E+001, 1.1998944E+002, 1.0007345E+002, 9.0082054E+001, 6.5244552E+001, 5.9189322E+001, 5.5908315E+001, 5.1113856E+001
