s,s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 4.5006454E+001, 4.2510626E+001, 4.2510626E+001, 4.2510626E+001, 4.2510626E+001, 2.5976443E+002, 3.4349354E+002, 3.4363881E+002, 3.5000852E+002, 3.4851811E+002, 3.3550709E+002, 2.8784438E+002, 2.7730130E+002, 2.8595975E+002, 2.8081910E+002, 2.3326718E+002, 1.0688014E+002, 6.4332528E+001, 3.0243834E+001, 2.2087201E+002, 1.9674276E+002, 1.4609974E+002, 1.2868677E+002, 1.1100591E+002, 6.6738978E+001, 2.9302819E+001
 5.0002926E+001, 4.7335576E+001, 4.7335576E+001, 4.7335576E+001, 4.7335576E+001, 2.3890305E+002, 3.0757709E+002, 3.0821071E+002, 3.0690252E+002, 3.0480102E+002, 3.0396262E+002, 3.0274597E+002, 2.6631783E+002, 2.6377537E+002, 2.3992855E+002, 2.0233509E+002, 1.1045122E+002, 7.0413142E+001, 3.6842053E+001, 2.0523453E+002, 1.9544827E+002, 1.6966631E+002, 1.6050163E+002, 1.3163905E+002, 6.2599301E+001, 3.2256170E+001
 5.5007774E+001, 5.2395279E+001, 5.2395279E+001, 5.2395279E+001, 5.2395279E+001, 1.8259793E+002, 2.9104746E+002, 2.7670035E+002, 2.6914961E+002, 2.6440364E+002, 2.4969486E+002, 2.3225694E+002, 2.3399587E+002, 2.3552272E+002, 2.1616337E+002, 2.0060057E+002, 1.1584905E+002, 7.5255952E+001, 3.5428213E+001, 1.7224998E+002, 1.6697326E+002, 1.5604623E+002, 1.4590459E+002, 1.3232023E+002, 8.4124757E+001, 3.7124692E+001
 6.0004135E+001, 5.7436183E+001, 5.7436183E+001, 5.7436183E+001, 5.7436183E+001, 1.5761032E+002, 2.3848337E+002, 2.3947583E+002, 2.3387029E+002, 2.2532804E+002, 2.1614344E+002, 2.0323257E+002, 2.0535664E+002, 2.0856687E+002, 2.0905095E+002, 1.9491706E+002, 1.1680236E+002, 7.9276941E+001, 4.0652341E+001, 1.6420168E+002, 1.6109416E+002, 1.4678932E+002, 1.3703269E+002, 1.3011169E+002, 9.5125115E+001, 3.9601780E+001
 6.5021919E+001, 6.2497962E+001, 6.2497962E+001, 6.2497962E+001, 6.2497962E+001, 1.6600248E+002, 2.1085114E+002, 2.0824254E+002, 2.0441766E+002, 1.9331241E+002, 1.8323499E+002, 1.5541233E+002, 1.9600453E+002, 1.9839611E+002, 1.9319353E+002, 1.6897493E+002, 1.2079967E+002, 9.5443406E+001, 4.7350428E+001, 1.5320145E+002, 1.5001132E+002, 1.3361102E+002, 1.2609784E+002, 1.2541637E+002, 1.0216551E+002, 5.2143307E+001
 7.0029938E+001, 6.7484724E+001, 6.7484724E+001, 6.7484724E+001, 6.7484724E+001, 1.6249128E+002, 1.9312988E+002, 1.8971353E+002, 1.8950883E+002, 1.8403209E+002, 1.8027268E+002, 1.5115434E+002, 1.7792802E+002, 1.7858606E+002, 1.7292404E+002, 1.6273035E+002, 1.2173989E+002, 9.6729281E+001, 6.6982287E+001, 1.4544980E+002, 1.4294390E+002, 1.3371682E+002, 1.2989615E+002, 1.2649751E+002, 1.1698661E+002, 5.7235899E+001
 7.5019684E+001, 7.2447584E+001, 7.2447584E+001, 7.2447584E+001, 7.2447584E+001, 1.4892523E+002, 1.7505672E+002, 1.7195618E+002, 1.7158071E+002, 1.7279146E+002, 1.6258904E+002, 1.3180843E+002, 1.8378677E+002, 1.8441797E+002, 1.9266034E+002, 1.8362341E+002, 1.5531811E+002, 1.1420782E+002, 6.6872383E+001, 1.4738872E+002, 1.4138973E+002, 1.3770840E+002, 1.3747032E+002, 1.2869368E+002, 1.2624211E+002, 8.0263374E+001
 8.0016106E+001, 7.7636495E+001, 7.7636495E+001, 7.7636495E+001, 7.7636495E+001, 1.3345794E+002, 1.6633858E+002, 1.7049061E+002, 1.7968103E+002, 1.8537738E+002, 1.5965657E+002, 1.2294324E+002, 2.8099399E+002, 2.4885919E+002, 2.2897571E+002, 2.1632019E+002, 1.8405474E+002, 1.2819819E+002, 8.7985675E+001, 1.9689235E+002, 1.7954295E+002, 1.6613386E+002, 1.4809787E+002, 1.3876533E+002, 1.2532497E+002, 8.2382752E+001
 8.5010216E+001, 8.2597551E+001, 8.2597551E+001, 8.2597551E+001, 8.2597551E+001, 1.4610659E+002, 1.8523077E+002, 1.7887925E+002, 1.9385231E+002, 2.1649574E+002, 1.7024649E+002, 1.5169027E+002, 2.9212051E+002, 2.6725134E+002, 2.6155622E+002, 2.5055996E+002, 2.3271128E+002, 1.7202145E+002, 1.1751291E+002, 2.0166843E+002, 1.9893152E+002, 1.8305939E+002, 1.6538105E+002, 1.6120338E+002, 1.5109019E+002, 1.1459169E+002
 9.0019836E+001, 8.7549332E+001, 8.7549332E+001, 8.7549332E+001, 8.7549332E+001, 1.5900497E+002, 2.0207927E+002, 1.9757548E+002, 2.1805321E+002, 2.2122981E+002, 1.9421419E+002, 1.6802097E+002, 2.7571611E+002, 2.5767264E+002, 2.5073956E+002, 2.4689724E+002, 2.3123964E+002, 1.8288523E+002, 1.3975641E+002, 2.0839324E+002, 2.1010356E+002, 2.0132613E+002, 1.8704625E+002, 1.6908032E+002, 1.6954953E+002, 1.5493370E+002
 9.5008995E+001, 9.2543186E+001, 9.2543186E+001, 9.2543186E+001, 9.2543186E+001, 1.4616243E+002, 1.9270897E+002, 1.9385699E+002, 1.9714069E+002, 1.9801511E+002, 1.8765747E+002, 1.5748632E+002, 2.4073818E+002, 2.2972422E+002, 2.2156116E+002, 2.2460547E+002, 2.2007518E+002, 2.2463870E+002, 2.1329640E+002, 1.9481083E+002, 1.9803071E+002, 1.9778838E+002, 1.8671887E+002, 1.7416953E+002, 1.7021470E+002, 1.7414754E+002
 1.0000142E+002, 9.7346692E+001, 9.7346692E+001, 9.7346692E+001, 9.7346692E+001, 1.3416560E+002, 1.8877384E+002, 1.8594508E+002, 1.8530632E+002, 1.9443300E+002, 1.8897062E+002, 1.7825677E+002, 2.5734054E+002, 2.4008170E+002, 2.4185863E+002, 2.2057717E+002, 2.0734510E+002, 2.0491677E+002, 1.9732190E+002, 1.9219925E+002, 1.9147381E+002, 1.8736645E+002, 1.6713122E+002, 1.6633559E+002, 1.5805967E+002, 1.5128788E+002
 1.0500494E+002, 1.0236993E+002, 1.0236993E+002, 1.0236993E+002, 1.0236993E+002, 1.3261704E+002, 1.7655909E+002, 1.7722345E+002, 1.7758606E+002, 1.7265146E+002, 1.7293523E+002, 1.4638011E+002, 1.8238679E+002, 1.8459505E+002, 1.8337634E+002, 1.6606003E+002, 1.6011719E+002, 1.6102305E+002, 1.5072081E+002, 1.7173460E+002, 1.7166388E+002, 1.6313915E+002, 1.5914574E+002, 1.5586616E+002, 1.4986914E+002, 1.4209684E+002
 1.1001643E+002, 1.0755172E+002, 1.0755172E+002, 1.0755172E+002, 1.0755172E+002, 1.2331832E+002, 1.6249244E+002, 1.6416562E+002, 1.6143568E+002, 1.4951689E+002, 1.4272603E+002, 1.2218781E+002, 1.4751655E+002, 1.5375898E+002, 1.4499139E+002, 1.4347791E+002, 1.3903667E+002, 1.3126384E+002, 1.2572730E+002, 1.4498634E+002, 1.5034611E+002, 1.4812722E+002, 1.4696389E+002, 1.4425939E+002, 1.3606841E+002, 1.2299743E+002
 1.1503326E+002, 1.1256772E+002, 1.1256772E+002, 1.1256772E+002, 1.1256772E+002, 1.2493774E+002, 1.5070430E+002, 1.5019574E+002, 1.3783579E+002, 1.3323209E+002, 1.2231683E+002, 1.0863392E+002, 1.3164994E+002, 1.3349315E+002, 1.3240848E+002, 1.3130636E+002, 1.2959151E+002, 1.2474231E+002, 1.1321328E+002, 1.2610353E+002, 1.3216583E+002, 1.3423969E+002, 1.3377153E+002, 1.3043187E+002, 1.2027101E+002, 1.1699572E+002
 1.2001310E+002, 1.1753658E+002, 1.1753658E+002, 1.1753658E+002, 1.1753658E+002, 1.0581034E+002, 1.4239256E+002, 1.4084786E+002, 1.2811893E+002, 1.1945372E+002, 1.0323131E+002, 9.8984218E+001, 1.2055246E+002, 1.2190627E+002, 1.2146888E+002, 1.1839516E+002, 1.1492802E+002, 1.0964388E+002, 1.0223685E+002, 1.1569805E+002, 1.2067754E+002, 1.1910494E+002, 1.1781096E+002, 1.1455149E+002, 1.0862160E+002, 1.0237981E+002
 1.2501973E+002, 1.2260932E+002, 1.2260932E+002, 1.2260932E+002, 1.2260932E+002, 9.9635193E+001, 1.3249112E+002, 1.2654317E+002, 1.1984369E+002, 1.1198189E+002, 1.0312955E+002, 8.7584126E+001, 1.1090441E+002, 1.1244136E+002, 1.0953957E+002, 1.0467420E+002, 1.0036461E+002, 9.7301396E+001, 9.2871447E+001, 1.1682753E+002, 1.1120556E+002, 1.0985452E+002, 1.0813736E+002, 1.0610024E+002, 9.6266429E+001, 9.2786277E+001
 1.3002036E+002, 1.2758969E+002, 1.2758969E+002, 1.2758969E+002, 1.2758969E+002, 1.0484395E+002, 1.2512881E+002, 1.2143846E+002, 1.1104465E+002, 1.0484029E+002, 9.1174184E+001, 8.0213877E+001, 9.7880243E+001, 1.0244323E+002, 9.8458740E+001, 9.7740519E+001, 9.5257875E+001, 9.2087101E+001, 8.7008267E+001, 1.2175964E+002, 1.1151096E+002, 1.0929125E+002, 1.1108355E+002, 1.0585357E+002, 9.5796265E+001, 8.8590545E+001
 1.3500420E+002, 1.3252006E+002, 1.3252006E+002, 1.3252006E+002, 1.3252006E+002, 1.0132384E+002, 1.2078646E+002, 1.1003954E+002, 1.0534157E+002, 1.0006620E+002, 8.7075170E+001, 7.7621406E+001, 9.4079944E+001, 9.9469862E+001, 9.9520857E+001, 9.6137018E+001, 9.3018397E+001, 9.0527694E+001, 8.5581025E+001, 1.1869067E+002, 1.1736412E+002, 1.0723493E+002, 1.0500401E+002, 1.0210411E+002, 9.3459460E+001, 8.3935653E+001
 1.4002568E+002, 1.3755185E+002, 1.3755185E+002, 1.3755185E+002, 1.3755185E+002, 9.6699433E+001, 1.1552408E+002, 1.0997579E+002, 9.9744653E+001, 9.6059494E+001, 9.1190174E+001, 7.5756237E+001, 9.5405616E+001, 9.6377993E+001, 9.6008580E+001, 9.3393421E+001, 9.0479584E+001, 8.7249426E+001, 8.0012541E+001, 1.2144535E+002, 1.1971450E+002, 1.1128569E+002, 1.0016217E+002, 9.4487622E+001, 8.3331793E+001, 7.7350444E+001
 1.4501006E+002, 1.4255853E+002, 1.4255853E+002, 1.4255853E+002, 1.4255853E+002, 9.2639828E+001, 1.0989768E+002, 1.0548414E+002, 9.6731471E+001, 8.7645181E+001, 7.9066987E+001, 6.7621200E+001, 9.1790228E+001, 9.3808416E+001, 9.0369603E+001, 8.6692121E+001, 8.3814493E+001, 8.0769260E+001, 7.7960414E+001, 1.2077508E+002, 1.1292173E+002, 1.0792543E+002, 9.4876799E+001, 9.1722466E+001, 7.9161167E+001, 7.3669315E+001
 1.5000441E+002, 1.4754024E+002, 1.4754024E+002, 1.4754024E+002, 1.4754024E+002, 8.9518662E+001, 1.0483693E+002, 9.8709411E+001, 9.1868302E+001, 8.9231267E+001, 7.8713266E+001, 6.6288452E+001, 9.3114211E+001, 9.1025927E+001, 8.8148308E+001, 8.4368425E+001, 8.0684475E+001, 7.6242375E+001, 7.0476426E+001, 1.2261752E+002, 1.1213753E+002, 1.0753060E+002, 9.9184635E+001, 8.5042581E+001, 7.8391117E+001, 7.2512004E+001
 1.5500893E+002, 1.5245199E+002, 1.5245199E+002, 1.5245199E+002, 1.5245199E+002, 8.7201315E+001, 1.0168780E+002, 9.2313765E+001, 8.7084058E+001, 8.4200730E+001, 7.5565792E+001, 6.4088426E+001, 9.4560175E+001, 9.1309358E+001, 8.4549556E+001, 8.0931300E+001, 7.7054463E+001, 7.5242052E+001, 7.0400351E+001, 1.2525163E+002, 1.1392122E+002, 1.0714774E+002, 9.2923116E+001, 8.0180346E+001, 7.2735778E+001, 6.8979106E+001
 1.6000192E+002, 1.5751095E+002, 1.5751095E+002, 1.5751095E+002, 1.5751095E+002, 8.5212021E+001, 9.8397326E+001, 9.1084361E+001, 8.5910157E+001, 8.3213071E+001, 7.4069719E+001, 6.4423555E+001, 8.9713552E+001, 8.7524268E+001, 8.3540572E+001, 8.0229086E+001, 7.7011039E+001, 7.2821605E+001, 6.7566910E+001, 1.1498732E+002, 1.1027127E+002, 9.9655660E+001, 8.5202041E+001, 7.5553494E+001, 7.1621344E+001, 6.8140742E+001
 1.6500935E+002, 1.6255354E+002, 1.6255354E+002, 1.6255354E+002, 1.6255354E+002, 8.2500517E+001, 9.5441952E+001, 8.5907312E+001, 8.2372988E+001, 7.8095566E+001, 7.9348010E+001, 6.3685230E+001, 8.6484997E+001, 8.6827573E+001, 8.1761700E+001, 7.8622597E+001, 7.4814608E+001, 7.1244035E+001, 6.5258009E+001, 1.1704308E+002, 1.0687086E+002, 9.5330814E+001, 8.4854726E+001, 7.6664480E+001, 7.1029586E+001, 6.7400356E+001
 1.7000131E+002, 1.6753179E+002, 1.6753179E+002, 1.6753179E+002, 1.6753179E+002, 7.9712459E+001, 9.2825561E+001, 8.3326548E+001, 8.0340852E+001, 7.7583385E+001, 7.1505407E+001, 6.1889618E+001, 8.5634459E+001, 8.3547008E+001, 8.1017961E+001, 7.9115428E+001, 7.3640752E+001, 6.7952393E+001, 6.1926726E+001, 1.1491469E+002, 1.0391002E+002, 9.0256902E+001, 8.1022998E+001, 6.9728851E+001, 6.7355075E+001, 6.3464741E+001
 1.7501701E+002, 1.7236311E+002, 1.7236311E+002, 1.7236311E+002, 1.7236311E+002, 7.6109464E+001, 9.2477357E+001, 8.3203985E+001, 7.8807129E+001, 7.7813229E+001, 7.6212908E+001, 5.5416775E+001, 8.2252944E+001, 8.2781829E+001, 7.8810186E+001, 7.5748035E+001, 7.1711646E+001, 6.5443860E+001, 6.0616809E+001, 1.1336797E+002, 1.0048074E+002, 8.7271606E+001, 7.7443150E+001, 6.8114042E+001, 6.6240840E+001, 6.2284799E+001
 1.8001260E+002, 1.7728493E+002, 1.7728493E+002, 1.7728493E+002, 1.7728493E+002, 7.3711600E+001, 8.9438343E+001, 8.3468813E+001, 7.8779941E+001, 7.8130543E+001, 7.3420083E+001, 5.7189909E+001, 8.1001866E+001, 8.0158653E+001, 7.6978808E+001, 7.4971891E+001, 7.1525638E+001, 6.5317060E+001, 5.9719238E+001, 1.0143935E+002, 9.7384193E+001, 8.1543040E+001, 7.4873441E+001, 6.5289781E+001, 6.5004230E+001, 6.1389124E+001
 1.8500258E+002, 1.8228606E+002, 1.8228606E+002, 1.8228606E+002, 1.8228606E+002, 7.4176433E+001, 8.6995040E+001, 8.1035304E+001, 7.6624940E+001, 7.4832712E+001, 6.6965070E+001, 5.8505503E+001, 7.5864905E+001, 7.6264254E+001, 7.3864301E+001, 7.2470145E+001, 6.9162137E+001, 6.3117910E+001, 5.7833707E+001, 9.7646282E+001, 9.0597088E+001, 8.1159772E+001, 7.4028798E+001, 6.5819584E+001, 6.3340215E+001, 6.0494434E+001
 1.9000159E+002, 1.8757746E+002, 1.8757746E+002, 1.8757746E+002, 1.8757746E+002, 7.3829593E+001, 8.4338615E+001, 7.9346603E+001, 7.4416068E+001, 7.1167196E+001, 6.4775580E+001, 5.6936297E+001, 7.3300893E+001, 7.2854045E+001, 6.9519286E+001, 6.8790163E+001, 6.7016908E+001, 6.3642604E+001, 5.8454978E+001, 8.7851410E+001, 8.8538396E+001, 7.8011117E+001, 7.0952864E+001, 6.4131939E+001, 6.1935053E+001, 5.8914582E+001
 1.9502689E+002, 1.9251457E+002, 1.9251457E+002, 1.9251457E+002, 1.9251457E+002, 7.2754058E+001, 8.2845744E+001, 7.8076214E+001, 7.2994186E+001, 7.0168555E+001, 6.3108414E+001, 5.4997355E+001, 6.9923732E+001, 7.0687077E+001, 6.8582638E+001, 6.7278088E+001, 6.2867686E+001, 6.0694060E+001, 5.6553235E+001, 8.6351699E+001, 8.0922329E+001, 7.5034558E+001, 6.9602231E+001, 6.2448673E+001, 6.1261747E+001, 5.7673591E+001
 2.0000839E+002, 1.9753651E+002, 1.9753651E+002, 1.9753651E+002, 1.9753651E+002, 7.0940893E+001, 8.1542797E+001, 7.7617054E+001, 7.2137270E+001, 6.7224729E+001, 6.1971502E+001, 5.6102144E+001, 6.6968512E+001, 6.8760550E+001, 6.7449423E+001, 6.5375248E+001, 6.0916238E+001, 5.8445926E+001, 5.5632845E+001, 7.6115681E+001, 7.8837485E+001, 7.3782470E+001, 6.7244351E+001, 6.0616817E+001, 5.9586363E+001, 5.4537503E+001
 2.0502017E+002, 2.0235788E+002, 2.0235788E+002, 2.0235788E+002, 2.0235788E+002, 6.9533494E+001, 7.9297471E+001, 7.5449521E+001, 6.9135368E+001, 6.5121451E+001, 6.0554411E+001, 5.9633654E+001, 6.5712122E+001, 6.5791343E+001, 6.4415775E+001, 6.3941958E+001, 6.0370123E+001, 5.7216365E+001, 5.4247043E+001, 7.5675497E+001, 7.1982972E+001, 6.7667526E+001, 6.6119360E+001, 5.9343143E+001, 5.7888078E+001, 5.3720435E+001
 2.1001259E+002, 2.0750558E+002, 2.0750558E+002, 2.0750558E+002, 2.0750558E+002, 6.7375117E+001, 7.7796272E+001, 7.2629923E+001, 6.7097660E+001, 6.3285808E+001, 5.9632737E+001, 5.6707337E+001, 6.2682860E+001, 6.3118340E+001, 6.2075474E+001, 6.1225364E+001, 5.8665425E+001, 5.6844437E+001, 5.3735428E+001, 7.2992910E+001, 6.9315496E+001, 6.5986392E+001, 6.2534583E+001, 5.8910772E+001, 5.6014539E+001, 5.2542188E+001
 2.1500075E+002, 2.1252579E+002, 2.1252579E+002, 2.1252579E+002, 2.1252579E+002, 6.6547400E+001, 7.7103350E+001, 6.9548644E+001, 6.6739179E+001, 6.3720420E+001, 5.6870324E+001, 5.1195299E+001, 6.0483009E+001, 6.1602444E+001, 6.1646334E+001, 5.9713369E+001, 5.8093747E+001, 5.5950578E+001, 5.2659025E+001, 7.0351654E+001, 6.8432315E+001, 6.3600262E+001, 6.1425345E+001, 5.9279383E+001, 5.4346218E+001, 5.1435780E+001
 2.2002878E+002, 2.1753028E+002, 2.1753028E+002, 2.1753028E+002, 2.1753028E+002, 6.5490822E+001, 7.5477953E+001, 6.6947147E+001, 6.6350120E+001, 5.9543173E+001, 5.5357281E+001, 4.7966809E+001, 5.8467250E+001, 5.9528002E+001, 6.0648503E+001, 5.9188661E+001, 5.6553380E+001, 5.4213593E+001, 5.0391085E+001, 7.0193500E+001, 6.5097962E+001, 6.2479702E+001, 6.0498471E+001, 5.6372857E+001, 5.2967777E+001, 5.0534954E+001
 2.2500095E+002, 2.2248839E+002, 2.2248839E+002, 2.2248839E+002, 2.2248839E+002, 6.3949783E+001, 7.3661312E+001, 6.5142901E+001, 6.5328274E+001, 5.7482199E+001, 4.9909627E+001, 4.7109275E+001, 5.9178469E+001, 5.9212258E+001, 5.9103175E+001, 5.8092417E+001, 5.6463994E+001, 5.3868393E+001, 5.0546069E+001, 6.7906134E+001, 6.3708670E+001, 6.2522672E+001, 5.9957167E+001, 5.6097330E+001, 5.2864769E+001, 4.9473703E+001
 2.3002562E+002, 2.2750109E+002, 2.2750109E+002, 2.2750109E+002, 2.2750109E+002, 6.4050359E+001, 7.1322707E+001, 6.5303710E+001, 6.1930554E+001, 5.3107940E+001, 5.1429778E+001, 5.4191174E+001, 5.7873005E+001, 5.8313067E+001, 5.7777347E+001, 5.6907950E+001, 5.4272117E+001, 5.1709135E+001, 4.8105315E+001, 6.6636317E+001, 6.2663734E+001, 6.1091677E+001, 5.7774583E+001, 5.5342268E+001, 5.2825413E+001, 4.9129218E+001
 2.3502438E+002, 2.3254252E+002, 2.3254252E+002, 2.3254252E+002, 2.3254252E+002, 6.2718543E+001, 6.9070865E+001, 6.4075964E+001, 6.0311022E+001, 5.4108091E+001, 5.3243273E+001, 5.5193813E+001, 5.8400402E+001, 5.7581095E+001, 5.6505812E+001, 5.6323739E+001, 5.3734162E+001, 5.1940246E+001, 4.9470324E+001, 6.4400164E+001, 6.1111501E+001, 6.0113928E+001, 5.6149582E+001, 5.4167111E+001, 5.1097606E+001, 4.7564218E+001
 2.4002408E+002, 2.3758198E+002, 2.3758198E+002, 2.3758198E+002, 2.3758198E+002, 6.0208301E+001, 6.8202205E+001, 6.1987997E+001, 5.9401547E+001, 5.2789581E+001, 5.4433648E+001, 5.3225157E+001, 5.7203204E+001, 5.5597939E+001, 5.5672813E+001, 5.4432826E+001, 5.2439080E+001, 5.0739398E+001, 4.6562687E+001, 6.1132564E+001, 5.9961484E+001, 5.8329270E+001, 5.4789528E+001, 5.3261068E+001, 5.0795094E+001, 4.7348138E+001
 2.4502725E+002, 2.4254353E+002, 2.4254353E+002, 2.4254353E+002, 2.4254353E+002, 6.1111483E+001, 6.8068059E+001, 6.1135072E+001, 5.7379685E+001, 5.2199296E+001, 5.3663300E+001, 5.3352494E+001, 5.6296773E+001, 5.5517325E+001, 5.5138212E+001, 5.3178843E+001, 5.1518560E+001, 4.9695001E+001, 4.5762957E+001, 5.7319233E+001, 5.7437583E+001, 5.5333579E+001, 5.3216510E+001, 5.2237166E+001, 5.0079790E+001, 4.6160371E+001
 2.5003043E+002, 2.4754671E+002, 2.4754671E+002, 2.4754671E+002, 2.4754671E+002, 5.8152495E+001, 6.7698081E+001, 6.0572947E+001, 5.5287694E+001, 5.1715668E+001, 5.4600145E+001, 5.1245405E+001, 5.5029850E+001, 5.4977039E+001, 5.3770308E+001, 5.2548355E+001, 5.0686060E+001, 4.8926687E+001, 4.5283190E+001, 5.3744726E+001, 5.4286378E+001, 5.3371460E+001, 5.2645638E+001, 5.0913852E+001, 4.9025240E+001, 4.5345342E+001
 2.5503360E+002, 2.5254988E+002, 2.5254988E+002, 2.5254988E+002, 2.5254988E+002, 5.6066786E+001, 6.6770470E+001, 5.9474667E+001, 5.4738119E+001, 5.2140371E+001, 5.3773013E+001, 5.1021445E+001, 5.4763794E+001, 5.4697052E+001, 5.2636195E+001, 5.1756640E+001, 5.0703350E+001, 4.8181670E+001, 4.4487851E+001, 5.1785256E+001, 5.2648055E+001, 5.2105631E+001, 5.1390111E+001, 4.9572334E+001, 4.7848232E+001, 4.4504894E+001
