 Y,Z,TEMPERATURE
 m,m,C
 0.27000E+01, 0.10000E+00, 0.63529E+02
 0.28000E+01, 0.10000E+00, 0.64157E+02
 0.29000E+01, 0.10000E+00, 0.63550E+02
 0.30000E+01, 0.10000E+00, 0.65184E+02
 0.31000E+01, 0.10000E+00, 0.68299E+02
 0.32000E+01, 0.10000E+00, 0.20000E+02
 0.33000E+01, 0.10000E+00, 0.45582E+02
 0.34000E+01, 0.10000E+00, 0.46093E+02
 0.35000E+01, 0.10000E+00, 0.47456E+02
 0.36000E+01, 0.10000E+00, 0.48660E+02
 0.37000E+01, 0.10000E+00, 0.49411E+02
 0.38000E+01, 0.10000E+00, 0.50077E+02
 0.39000E+01, 0.10000E+00, 0.50476E+02
-0.21000E+01, 0.20000E+00, 0.20000E+02
-0.20000E+01, 0.20000E+00, 0.19999E+02
-0.19000E+01, 0.20000E+00, 0.20000E+02
-0.18000E+01, 0.20000E+00, 0.20002E+02
-0.17000E+01, 0.20000E+00, 0.20003E+02
-0.16000E+01, 0.20000E+00, 0.20003E+02
-0.15000E+01, 0.20000E+00, 0.20005E+02
-0.14000E+01, 0.20000E+00, 0.20009E+02
-0.13000E+01, 0.20000E+00, 0.20011E+02
-0.12000E+01, 0.20000E+00, 0.20009E+02
-0.11000E+01, 0.20000E+00, 0.20007E+02
-0.10000E+01, 0.20000E+00, 0.20006E+02
-0.90000E+00, 0.20000E+00, 0.20005E+02
-0.80000E+00, 0.20000E+00, 0.20002E+02
-0.70000E+00, 0.20000E+00, 0.19999E+02
-0.60000E+00, 0.20000E+00, 0.19998E+02
-0.50000E+00, 0.20000E+00, 0.19999E+02
-0.40000E+00, 0.20000E+00, 0.19999E+02
-0.30000E+00, 0.20000E+00, 0.20000E+02
-0.20000E+00, 0.20000E+00, 0.20000E+02
-0.10000E+00, 0.20000E+00, 0.20000E+02
 0.00000E+00, 0.20000E+00, 0.55862E+02
 0.10000E+00, 0.20000E+00, 0.55118E+02
 0.20000E+00, 0.20000E+00, 0.54160E+02
 0.30000E+00, 0.20000E+00, 0.53890E+02
 0.40000E+00, 0.20000E+00, 0.53638E+02
 0.50000E+00, 0.20000E+00, 0.52797E+02
 0.60000E+00, 0.20000E+00, 0.52166E+02
 0.70000E+00, 0.20000E+00, 0.51634E+02
 0.80000E+00, 0.20000E+00, 0.51518E+02
 0.90000E+00, 0.20000E+00, 0.50573E+02
 0.10000E+01, 0.20000E+00, 0.50001E+02
 0.11000E+01, 0.20000E+00, 0.51117E+02
 0.12000E+01, 0.20000E+00, 0.51555E+02
 0.13000E+01, 0.20000E+00, 0.51219E+02
 0.14000E+01, 0.20000E+00, 0.51183E+02
 0.15000E+01, 0.20000E+00, 0.51825E+02
 0.16000E+01, 0.20000E+00, 0.52644E+02
 0.17000E+01, 0.20000E+00, 0.53460E+02
 0.18000E+01, 0.20000E+00, 0.54224E+02
 0.19000E+01, 0.20000E+00, 0.55065E+02
 0.20000E+01, 0.20000E+00, 0.55981E+02
 0.21000E+01, 0.20000E+00, 0.56790E+02
 0.22000E+01, 0.20000E+00, 0.57490E+02
 0.23000E+01, 0.20000E+00, 0.58212E+02
 0.24000E+01, 0.20000E+00, 0.59172E+02
 0.25000E+01, 0.20000E+00, 0.60024E+02
 0.26000E+01, 0.20000E+00, 0.61024E+02
 0.27000E+01, 0.20000E+00, 0.61941E+02
 0.28000E+01, 0.20000E+00, 0.63290E+02
 0.29000E+01, 0.20000E+00, 0.63099E+02
 0.30000E+01, 0.20000E+00, 0.64901E+02
 0.31000E+01, 0.20000E+00, 0.68219E+02
 0.32000E+01, 0.20000E+00, 0.20000E+02
 0.33000E+01, 0.20000E+00, 0.85792E+02
 0.34000E+01, 0.20000E+00, 0.81931E+02
 0.35000E+01, 0.20000E+00, 0.77124E+02
 0.36000E+01, 0.20000E+00, 0.76596E+02
 0.37000E+01, 0.20000E+00, 0.77263E+02
 0.38000E+01, 0.20000E+00, 0.77413E+02
 0.39000E+01, 0.20000E+00, 0.77199E+02
-0.21000E+01, 0.30000E+00, 0.19999E+02
-0.20000E+01, 0.30000E+00, 0.20000E+02
-0.19000E+01, 0.30000E+00, 0.20001E+02
-0.18000E+01, 0.30000E+00, 0.20001E+02
-0.17000E+01, 0.30000E+00, 0.20002E+02
-0.16000E+01, 0.30000E+00, 0.20003E+02
-0.15000E+01, 0.30000E+00, 0.20005E+02
-0.14000E+01, 0.30000E+00, 0.20006E+02
-0.13000E+01, 0.30000E+00, 0.20007E+02
-0.12000E+01, 0.30000E+00, 0.20006E+02
-0.11000E+01, 0.30000E+00, 0.20006E+02
-0.10000E+01, 0.30000E+00, 0.20006E+02
-0.90000E+00, 0.30000E+00, 0.20005E+02
-0.80000E+00, 0.30000E+00, 0.20001E+02
-0.70000E+00, 0.30000E+00, 0.19999E+02
-0.60000E+00, 0.30000E+00, 0.19998E+02
-0.50000E+00, 0.30000E+00, 0.19999E+02
-0.40000E+00, 0.30000E+00, 0.19999E+02
-0.30000E+00, 0.30000E+00, 0.20000E+02
-0.20000E+00, 0.30000E+00, 0.20000E+02
-0.10000E+00, 0.30000E+00, 0.20000E+02
 0.00000E+00, 0.30000E+00, 0.57145E+02
 0.10000E+00, 0.30000E+00, 0.55964E+02
 0.20000E+00, 0.30000E+00, 0.54441E+02
 0.30000E+00, 0.30000E+00, 0.53570E+02
 0.40000E+00, 0.30000E+00, 0.52617E+02
 0.50000E+00, 0.30000E+00, 0.51774E+02
 0.60000E+00, 0.30000E+00, 0.51936E+02
 0.70000E+00, 0.30000E+00, 0.52025E+02
 0.80000E+00, 0.30000E+00, 0.51722E+02
 0.90000E+00, 0.30000E+00, 0.50434E+02
 0.10000E+01, 0.30000E+00, 0.49331E+02
 0.11000E+01, 0.30000E+00, 0.49905E+02
 0.12000E+01, 0.30000E+00, 0.50782E+02
 0.13000E+01, 0.30000E+00, 0.51072E+02
 0.14000E+01, 0.30000E+00, 0.51179E+02
 0.15000E+01, 0.30000E+00, 0.51560E+02
 0.16000E+01, 0.30000E+00, 0.51787E+02
 0.17000E+01, 0.30000E+00, 0.52322E+02
 0.18000E+01, 0.30000E+00, 0.53122E+02
 0.19000E+01, 0.30000E+00, 0.54052E+02
 0.20000E+01, 0.30000E+00, 0.55223E+02
 0.21000E+01, 0.30000E+00, 0.56410E+02
 0.22000E+01, 0.30000E+00, 0.57197E+02
 0.23000E+01, 0.30000E+00, 0.57932E+02
 0.24000E+01, 0.30000E+00, 0.58772E+02
 0.25000E+01, 0.30000E+00, 0.59650E+02
 0.26000E+01, 0.30000E+00, 0.60556E+02
 0.27000E+01, 0.30000E+00, 0.60982E+02
 0.28000E+01, 0.30000E+00, 0.62287E+02
 0.29000E+01, 0.30000E+00, 0.62498E+02
 0.30000E+01, 0.30000E+00, 0.64769E+02
 0.31000E+01, 0.30000E+00, 0.68288E+02
 0.32000E+01, 0.30000E+00, 0.20000E+02
 0.33000E+01, 0.30000E+00, 0.12106E+03
 0.34000E+01, 0.30000E+00, 0.11718E+03
 0.35000E+01, 0.30000E+00, 0.11014E+03
 0.36000E+01, 0.30000E+00, 0.10698E+03
 0.37000E+01, 0.30000E+00, 0.10724E+03
 0.38000E+01, 0.30000E+00, 0.10750E+03
 0.39000E+01, 0.30000E+00, 0.10729E+03
-0.21000E+01, 0.40000E+00, 0.19999E+02
-0.20000E+01, 0.40000E+00, 0.20000E+02
-0.19000E+01, 0.40000E+00, 0.20002E+02
-0.18000E+01, 0.40000E+00, 0.20002E+02
-0.17000E+01, 0.40000E+00, 0.20003E+02
-0.16000E+01, 0.40000E+00, 0.20006E+02
-0.15000E+01, 0.40000E+00, 0.20006E+02
-0.14000E+01, 0.40000E+00, 0.20005E+02
-0.13000E+01, 0.40000E+00, 0.20003E+02
-0.12000E+01, 0.40000E+00, 0.20000E+02
-0.11000E+01, 0.40000E+00, 0.20002E+02
-0.10000E+01, 0.40000E+00, 0.20003E+02
-0.90000E+00, 0.40000E+00, 0.20001E+02
-0.80000E+00, 0.40000E+00, 0.20000E+02
-0.70000E+00, 0.40000E+00, 0.19999E+02
-0.60000E+00, 0.40000E+00, 0.19999E+02
-0.50000E+00, 0.40000E+00, 0.20000E+02
-0.40000E+00, 0.40000E+00, 0.20000E+02
-0.30000E+00, 0.40000E+00, 0.20000E+02
-0.20000E+00, 0.40000E+00, 0.20000E+02
-0.10000E+00, 0.40000E+00, 0.20000E+02
 0.00000E+00, 0.40000E+00, 0.58676E+02
 0.10000E+00, 0.40000E+00, 0.57217E+02
 0.20000E+00, 0.40000E+00, 0.54827E+02
 0.30000E+00, 0.40000E+00, 0.53152E+02
 0.40000E+00, 0.40000E+00, 0.52150E+02
 0.50000E+00, 0.40000E+00, 0.51310E+02
 0.60000E+00, 0.40000E+00, 0.51393E+02
 0.70000E+00, 0.40000E+00, 0.51369E+02
 0.80000E+00, 0.40000E+00, 0.50902E+02
 0.90000E+00, 0.40000E+00, 0.49864E+02
 0.10000E+01, 0.40000E+00, 0.48775E+02
 0.11000E+01, 0.40000E+00, 0.49268E+02
 0.12000E+01, 0.40000E+00, 0.50219E+02
 0.13000E+01, 0.40000E+00, 0.50713E+02
 0.14000E+01, 0.40000E+00, 0.51040E+02
 0.15000E+01, 0.40000E+00, 0.51428E+02
 0.16000E+01, 0.40000E+00, 0.51396E+02
 0.17000E+01, 0.40000E+00, 0.51515E+02
 0.18000E+01, 0.40000E+00, 0.52207E+02
 0.19000E+01, 0.40000E+00, 0.53174E+02
 0.20000E+01, 0.40000E+00, 0.54261E+02
 0.21000E+01, 0.40000E+00, 0.55395E+02
 0.22000E+01, 0.40000E+00, 0.56236E+02
 0.23000E+01, 0.40000E+00, 0.57037E+02
 0.24000E+01, 0.40000E+00, 0.58047E+02
 0.25000E+01, 0.40000E+00, 0.59143E+02
