s,kW,g/s,Pa,m3/h,m3/h,C,C,C,C,C,%,%,%,%,%,%,%,%
Time,"HRR","MLR","P_L1","DADM_L2","DEXT_L1","TG_L1","TG_L1_SE_105","TG_L1_SE_205","TG_L1_SE_380","TP_L1_WC_350","O2_MEAN","O2_L1_BAS","O2_L1_MILIEU","O2_L1_HAUT","CO2_MEAN","CO2_L1_BAS","CO2_L1_MILIEU","CO2_L1_HAUT"
 3.5000629E+002, 4.0704834E+002, 1.2615385E+001, 3.2167582E+002, 3.0568885E+003, 4.7350598E+003, 1.0012057E+002, 4.3114596E+001, 1.0552419E+002, 1.7805536E+002, 5.5374361E+001, 1.9628201E+001, 2.0737140E+001, 1.9122900E+001, 1.8542311E+001, 9.5089158E-001, 1.8855718E-001, 1.2987908E+000, 1.6981049E+000
 3.6000718E+002, 4.1323282E+002, 1.2817264E+001, 3.2712816E+002, 3.0472604E+003, 4.7464050E+003, 1.0105927E+002, 4.2372223E+001, 1.0620973E+002, 1.7838211E+002, 5.6515230E+001, 1.9606971E+001, 2.0711368E+001, 1.9111694E+001, 1.8509555E+001, 9.6548815E-001, 2.0628217E-001, 1.3064976E+000, 1.7206338E+000
 3.7000222E+002, 4.2183351E+002, 1.3173204E+001, 3.3886679E+002, 3.0264828E+003, 4.7697273E+003, 1.0249345E+002, 4.2767703E+001, 1.1002893E+002, 1.8040733E+002, 5.7924204E+001, 1.9582909E+001, 2.0717219E+001, 1.8874468E+001, 1.8441254E+001, 9.8203135E-001, 2.0225801E-001, 1.4696556E+000, 1.7676096E+000
 3.8000808E+002, 4.2335296E+002, 1.3230769E+001, 3.3578850E+002, 3.0317784E+003, 4.7724527E+003, 1.0378097E+002, 4.2717298E+001, 1.0765252E+002, 1.8277557E+002, 5.9138963E+001, 1.9557549E+001, 2.0676689E+001, 1.8828946E+001, 1.8465536E+001, 9.9946505E-001, 2.3013377E-001, 1.5009647E+000, 1.7509091E+000
 3.9000079E+002, 4.2655944E+002, 1.3327389E+001, 3.3164694E+002, 3.0391225E+003, 4.7712639E+003, 1.0478110E+002, 4.6194418E+001, 1.1524784E+002, 1.8553274E+002, 6.0349305E+001, 1.9534199E+001, 2.0660631E+001, 1.8757787E+001, 1.8411813E+001, 1.0155112E+000, 2.4117821E-001, 1.5499059E+000, 1.7878583E+000
 4.0000645E+002, 4.3299070E+002, 1.3600000E+001, 3.4536472E+002, 3.0146488E+003, 4.7932225E+003, 1.0602544E+002, 4.4101958E+001, 1.1982137E+002, 1.7840517E+002, 6.1363602E+001, 1.9510230E+001, 2.0684267E+001, 1.8725196E+001, 1.8383269E+001, 1.0319862E+000, 2.2492152E-001, 1.5723216E+000, 1.8074901E+000
 4.1001095E+002, 4.3482981E+002, 1.3665843E+001, 3.4226669E+002, 3.0200752E+003, 4.7980447E+003, 1.0702216E+002, 4.5273459E+001, 1.0999059E+002, 1.8719675E+002, 6.2583821E+001, 1.9488017E+001, 2.0668998E+001, 1.8792211E+001, 1.8353338E+001, 1.0472599E+000, 2.3542321E-001, 1.5262303E+000, 1.8280759E+000
 4.2000670E+002, 4.4384012E+002, 1.4008631E+001, 3.5397147E+002, 2.9991072E+003, 4.8117637E+003, 1.0825519E+002, 4.5511776E+001, 1.1235777E+002, 1.9235909E+002, 6.3729354E+001, 1.9463651E+001, 2.0675099E+001, 1.8804188E+001, 1.8308031E+001, 1.0640152E+000, 2.3122744E-001, 1.5179925E+000, 1.8592370E+000
 4.3000426E+002, 4.4918061E+002, 1.4215047E+001, 3.5678658E+002, 2.9939511E+003, 4.8258280E+003, 1.0988781E+002, 4.6897672E+001, 1.1393542E+002, 1.8368309E+002, 6.5134466E+001, 1.9438107E+001, 2.0663768E+001, 1.8630447E+001, 1.8287838E+001, 1.0815611E+000, 2.3902033E-001, 1.6374873E+000, 1.8731255E+000
 4.4000190E+002, 4.5370222E+002, 1.4399077E+001, 3.5770314E+002, 2.9920827E+003, 4.8378362E+003, 1.1101935E+002, 4.6872456E+001, 1.1183038E+002, 1.9215759E+002, 6.6248960E+001, 1.9410743E+001, 2.0629088E+001, 1.8655972E+001, 1.8280438E+001, 1.1003871E+000, 2.6287271E-001, 1.6199323E+000, 1.8782151E+000
 4.5000434E+002, 4.6060182E+002, 1.4647288E+001, 3.6412799E+002, 2.9807003E+003, 4.8519289E+003, 1.1234541E+002, 5.0024986E+001, 1.1807833E+002, 1.9145802E+002, 6.7643512E+001, 1.9381583E+001, 2.0664687E+001, 1.8670608E+001, 1.8207407E+001, 1.1204259E+000, 2.3838857E-001, 1.6098655E+000, 1.9284435E+000
 4.6000216E+002, 4.6242349E+002, 1.4717257E+001, 3.6083386E+002, 2.9865802E+003, 4.8539820E+003, 1.1352889E+002, 4.7931190E+001, 1.1484629E+002, 1.9124726E+002, 6.8884260E+001, 1.9354826E+001, 2.0647760E+001, 1.8503385E+001, 1.8178102E+001, 1.1388144E+000, 2.5002998E-001, 1.7248774E+000, 1.9485992E+000
 4.7000822E+002, 4.6828632E+002, 1.4953332E+001, 3.6871845E+002, 2.9722624E+003, 4.8713672E+003, 1.1460275E+002, 5.1513767E+001, 1.2773547E+002, 1.9831386E+002, 6.9987032E+001, 1.9331958E+001, 2.0633237E+001, 1.8387143E+001, 1.8127164E+001, 1.1545323E+000, 2.6001884E-001, 1.8048257E+000, 1.9836330E+000
 4.8000062E+002, 4.7215678E+002, 1.5112413E+001, 3.6961807E+002, 2.9704877E+003, 4.8748215E+003, 1.1596083E+002, 5.4978540E+001, 1.2520479E+002, 1.9890377E+002, 7.1295064E+001, 1.9307975E+001, 2.0624504E+001, 1.8500788E+001, 1.8139204E+001, 1.1710217E+000, 2.6602492E-001, 1.7266633E+000, 1.9753517E+000
 4.9000376E+002, 4.8112118E+002, 1.5449614E+001, 3.7796510E+002, 2.9555294E+003, 4.8963226E+003, 1.1726278E+002, 5.2787580E+001, 1.2596220E+002, 2.0268907E+002, 7.2910788E+001, 1.9283027E+001, 2.0610855E+001, 1.8392795E+001, 1.8072414E+001, 1.1881700E+000, 2.7541257E-001, 1.8009384E+000, 2.0212883E+000
 5.0000722E+002, 4.9134472E+002, 1.5815385E+001, 3.8698125E+002, 2.9389741E+003, 4.9167548E+003, 1.1880723E+002, 5.1653617E+001, 1.1999187E+002, 2.0468569E+002, 7.4437309E+001, 1.9252135E+001, 2.0604225E+001, 1.8380579E+001, 1.8069151E+001, 1.2094022E+000, 2.7997239E-001, 1.8093405E+000, 2.0235326E+000
 5.1000193E+002, 4.9073138E+002, 1.5817394E+001, 3.8073083E+002, 2.9500987E+003, 4.9121402E+003, 1.2005566E+002, 5.3225466E+001, 1.2431536E+002, 2.0366939E+002, 7.5952207E+001, 1.9225423E+001, 2.0583635E+001, 1.8442750E+001, 1.7976937E+001, 1.2277811E+000, 2.9413399E-001, 1.7665806E+000, 2.0869549E+000
 5.2000405E+002, 5.0119060E+002, 1.6234891E+001, 3.8895294E+002, 2.9351817E+003, 4.9313637E+003, 1.2147285E+002, 5.3671347E+001, 1.3342097E+002, 2.0864247E+002, 7.7203514E+001, 1.9200395E+001, 2.0581578E+001, 1.8201672E+001, 1.7942196E+001, 1.2449714E+000, 2.9554864E-001, 1.9323878E+000, 2.1108493E+000
 5.3000725E+002, 5.1305820E+002, 1.6676409E+001, 4.0107774E+002, 2.9130053E+003, 4.9579604E+003, 1.2316632E+002, 5.4957575E+001, 1.2637787E+002, 2.1247226E+002, 7.9003048E+001, 1.9171237E+001, 2.0568312E+001, 1.8132088E+001, 1.7899547E+001, 1.2650081E+000, 3.0467227E-001, 1.9802460E+000, 2.1401817E+000
 5.4000975E+002, 5.1493982E+002, 1.6759979E+001, 3.9916241E+002, 2.9161886E+003, 4.9586460E+003, 1.2483233E+002, 5.4652081E+001, 1.3215369E+002, 2.1446457E+002, 8.0374131E+001, 1.9137056E+001, 2.0510306E+001, 1.8365650E+001, 1.7915061E+001, 1.2884953E+000, 3.4456741E-001, 1.8196080E+000, 2.1295121E+000
 5.5000305E+002, 5.2673106E+002, 1.7185964E+001, 4.0690460E+002, 2.9020674E+003, 4.9798891E+003, 1.2630069E+002, 5.6491505E+001, 1.3286131E+002, 2.1873692E+002, 8.1926364E+001, 1.9104506E+001, 2.0574531E+001, 1.7961310E+001, 1.7839704E+001, 1.3108789E+000, 3.0039511E-001, 2.0977032E+000, 2.1813405E+000
 5.6000370E+002, 5.2957509E+002, 1.7292308E+001, 4.0649286E+002, 2.9024758E+003, 4.9789526E+003, 1.2794270E+002, 5.5615007E+001, 1.3857008E+002, 2.1325619E+002, 8.3542456E+001, 1.9071301E+001, 2.0551247E+001, 1.7918054E+001, 1.7806227E+001, 1.3337001E+000, 3.1640921E-001, 2.1274530E+000, 2.2043651E+000
 5.7000316E+002, 5.3218900E+002, 1.7404465E+001, 3.9785257E+002, 2.9184024E+003, 4.9834050E+003, 1.2898249E+002, 5.8893598E+001, 1.3649006E+002, 2.2252171E+002, 8.5063154E+001, 1.9039749E+001, 2.0540884E+001, 1.7948725E+001, 1.7756857E+001, 1.3553864E+000, 3.2353687E-001, 2.1063584E+000, 2.2383207E+000
 5.8000863E+002, 5.4329099E+002, 1.7856303E+001, 4.1747525E+002, 2.8819297E+003, 5.0099266E+003, 1.3062527E+002, 5.6778474E+001, 1.3318614E+002, 2.2480512E+002, 8.6676761E+001, 1.9006766E+001, 2.0548537E+001, 1.8111379E+001, 1.7728151E+001, 1.3780663E+000, 3.1827362E-001, 1.9944893E+000, 2.2580636E+000
 5.9000602E+002, 5.4493204E+002, 1.7907692E+001, 4.0850462E+002, 2.8986025E+003, 5.0061132E+003, 1.3218325E+002, 5.5475484E+001, 1.4339564E+002, 2.2445838E+002, 8.8033379E+001, 1.8973495E+001, 2.0522573E+001, 1.7857599E+001, 1.7697926E+001, 1.4009399E+000, 3.3613053E-001, 2.1690330E+000, 2.2788517E+000
 6.0000547E+002, 5.4748679E+002, 1.7990527E+001, 4.0643787E+002, 2.9024091E+003, 5.0111284E+003, 1.3304506E+002, 6.0629361E+001, 1.5544604E+002, 2.2695917E+002, 8.9519960E+001, 1.8947205E+001, 2.0489028E+001, 1.7623063E+001, 1.7610669E+001, 1.4189983E+000, 3.5920222E-001, 2.3303408E+000, 2.3388653E+000
