s,kW,kg/s,Pa,kg/s,kg/s,C,C,C,C,C,%,%,%,%,%,%,%,%
Time,"HRR","MLR","P_L1","Minlet","Moutlet","TG_L1","TG_L1_SE_105","TG_L1_SE_205","TG_L1_SE_390","TP_L1_WC_350","O2","O2_L1_BAS","O2_L1_MILIEU","O2_L1_HAUT","CO2","CO2_L1_BAS","CO2_L1_MILIEU","CO2_L1_HAUT"
 1.9000665E+002, 4.5260385E+002, 3.6198152E-002, 1.8466777E+002, 1.0864491E+000, 1.3368644E+000, 1.1723330E+002, 6.2834811E+001, 1.0624334E+002, 2.0126815E+002, 4.0203804E+001, 1.8440093E+001, 1.9831016E+001, 1.8377227E+001, 1.7465387E+001, 1.4168745E+000, 6.5497523E-001, 1.4519806E+000, 1.9518750E+000
 2.0000543E+002, 4.5214342E+002, 3.6200000E-002, 1.5842502E+002, 1.1003732E+000, 1.3175463E+000, 1.2151574E+002, 6.8709084E+001, 1.1413881E+002, 2.0815972E+002, 4.4462144E+001, 1.8269837E+001, 1.9651708E+001, 1.8108842E+001, 1.7228909E+001, 1.5101778E+000, 7.5327628E-001, 1.5991161E+000, 2.0815181E+000
 2.1000199E+002, 4.5288029E+002, 3.6209659E-002, 1.3897547E+002, 1.1105345E+000, 1.3001275E+000, 1.2510889E+002, 6.7156937E+001, 1.1777344E+002, 2.1363670E+002, 4.8199064E+001, 1.8115316E+001, 1.9573421E+001, 1.7787277E+001, 1.7143039E+001, 1.5948582E+000, 7.9619525E-001, 1.7754062E+000, 2.1285943E+000
 2.2001450E+002, 4.5757883E+002, 3.6598161E-002, 1.2914610E+002, 1.1156123E+000, 1.2874786E+000, 1.2820791E+002, 7.1954153E+001, 1.1838657E+002, 2.1896083E+002, 5.0908437E+001, 1.7972493E+001, 1.9424328E+001, 1.7709112E+001, 1.7007791E+001, 1.6731647E+000, 8.7793222E-001, 1.8182587E+000, 2.2027409E+000
 2.3001106E+002, 4.5641792E+002, 3.6604600E-002, 1.1472709E+002, 1.1230691E+000, 1.2767490E+000, 1.3077057E+002, 7.1060280E+001, 1.2034344E+002, 2.2362480E+002, 5.4608835E+001, 1.7844337E+001, 1.9319509E+001, 1.7638938E+001, 1.6723313E+001, 1.7433978E+000, 9.3539649E-001, 1.8567297E+000, 2.3586993E+000
 2.4000466E+002, 4.6776452E+002, 3.7392677E-002, 1.1130385E+002, 1.1247868E+000, 1.2696957E+000, 1.3324137E+002, 7.3294548E+001, 1.2032241E+002, 2.2690539E+002, 5.7368641E+001, 1.7725718E+001, 1.9256968E+001, 1.7582014E+001, 1.6669326E+001, 1.8084022E+000, 9.6968305E-001, 1.8879369E+000, 2.3882961E+000
 2.5000726E+002, 4.7118548E+002, 3.7798204E-002, 1.1499199E+002, 1.1226855E+000, 1.2652799E+000, 1.3579087E+002, 7.8845101E+001, 1.2161294E+002, 2.3252525E+002, 5.9933755E+001, 1.7614624E+001, 1.9191877E+001, 1.7624897E+001, 1.6605734E+001, 1.8692841E+000, 1.0053681E+000, 1.8644273E+000, 2.4231591E+000
 2.6001102E+002, 4.7282756E+002, 3.7804570E-002, 1.0101622E+002, 1.1299196E+000, 1.2557232E+000, 1.3791871E+002, 7.5744326E+001, 1.2781564E+002, 2.3514123E+002, 6.3273020E+001, 1.7515392E+001, 1.9096865E+001, 1.7307293E+001, 1.6458361E+001, 1.9236591E+000, 1.0574559E+000, 2.0385463E+000, 2.5039528E+000
 2.7000108E+002, 4.8126222E+002, 3.8582714E-002, 1.1129642E+002, 1.1245811E+000, 1.2550697E+000, 1.4014329E+002, 7.7691768E+001, 1.3086945E+002, 2.3728174E+002, 6.6364798E+001, 1.7423622E+001, 1.9008446E+001, 1.7055772E+001, 1.6293147E+001, 1.9739537E+000, 1.1059294E+000, 2.1764367E+000, 2.5945274E+000
 2.8000479E+002, 4.8288945E+002, 3.8600000E-002, 1.0353031E+002, 1.1284968E+000, 1.2480741E+000, 1.4236001E+002, 7.8286302E+001, 1.2899202E+002, 2.4127147E+002, 6.8989009E+001, 1.7332022E+001, 1.8892519E+001, 1.7031567E+001, 1.6240362E+001, 2.0241652E+000, 1.1694837E+000, 2.1897063E+000, 2.6234657E+000
 2.9000571E+002, 4.8347785E+002, 3.8604300E-002, 9.0947003E+001, 1.1349991E+000, 1.2416685E+000, 1.4414041E+002, 7.7472660E+001, 1.3173388E+002, 2.4313586E+002, 7.1150150E+001, 1.7253939E+001, 1.8879577E+001, 1.7072567E+001, 1.6094829E+001, 2.0669455E+000, 1.1765790E+000, 2.1672289E+000, 2.7032509E+000
 3.0000664E+002, 4.9184334E+002, 3.9447683E-002, 1.0146103E+002, 1.1294773E+000, 1.2447683E+000, 1.4610692E+002, 8.1406495E+001, 1.3668797E+002, 2.4278261E+002, 7.3622778E+001, 1.7177181E+001, 1.8775945E+001, 1.6674824E+001, 1.6020307E+001, 2.1089994E+000, 1.2333927E+000, 2.3852824E+000, 2.7441058E+000
 3.1000756E+002, 4.9731613E+002, 3.9800000E-002, 1.0319124E+002, 1.1285410E+000, 1.2415683E+000, 1.4814388E+002, 8.2525803E+001, 1.3537135E+002, 2.4850597E+002, 7.6500804E+001, 1.7105269E+001, 1.8734032E+001, 1.6921786E+001, 1.5976612E+001, 2.1483929E+000, 1.2563706E+000, 2.2498913E+000, 2.7680603E+000
 3.2001195E+002, 4.9725471E+002, 3.9804623E-002, 9.1587958E+001, 1.1344659E+000, 1.2328470E+000, 1.4991789E+002, 8.3476991E+001, 1.3819298E+002, 2.5161744E+002, 7.7499736E+001, 1.7038513E+001, 1.8708309E+001, 1.6398124E+001, 1.5899557E+001, 2.1849355E+000, 1.2704725E+000, 2.5369767E+000, 2.8103040E+000
 3.3001228E+002, 5.0770794E+002, 4.0648119E-002, 1.0746057E+002, 1.1262123E+000, 1.2395052E+000, 1.5195199E+002, 8.6092517E+001, 1.3759157E+002, 2.5337380E+002, 8.0666444E+001, 1.6973118E+001, 1.8662826E+001, 1.6749827E+001, 1.5923754E+001, 2.2208109E+000, 1.2954077E+000, 2.3441635E+000, 2.7970385E+000
 3.4001531E+002, 5.1164526E+002, 4.1000000E-002, 1.0149535E+002, 1.1292940E+000, 1.2367986E+000, 1.5429778E+002, 8.6057543E+001, 1.4279895E+002, 2.5717703E+002, 8.5364748E+001, 1.6901184E+001, 1.8536530E+001, 1.6429563E+001, 1.5637425E+001, 2.2602126E+000, 1.3646465E+000, 2.5197405E+000, 2.9540116E+000
 3.5000598E+002, 5.1324463E+002, 4.1004600E-002, 9.8306903E+001, 1.1308519E+000, 1.2305898E+000, 1.5581298E+002, 8.8910236E+001, 1.4582547E+002, 2.5887687E+002, 8.7198425E+001, 1.6848538E+001, 1.8546105E+001, 1.6214012E+001, 1.5669683E+001, 2.2890505E+000, 1.3593969E+000, 2.6379114E+000, 2.9363269E+000
 3.6000046E+002, 5.3091866E+002, 4.2452174E-002, 1.2136362E+002, 1.1189481E+000, 1.2382579E+000, 1.5778234E+002, 8.9405404E+001, 1.4876688E+002, 2.6696229E+002, 8.9340975E+001, 1.6794134E+001, 1.8460694E+001, 1.6011033E+001, 1.5749201E+001, 2.3188557E+000, 1.4062217E+000, 2.7491898E+000, 2.8927330E+000
 3.7001483E+002, 5.3708960E+002, 4.3000000E-002, 1.2520989E+002, 1.1167439E+000, 1.2371836E+000, 1.6041670E+002, 9.0641797E+001, 1.4486234E+002, 2.6598926E+002, 9.2450251E+001, 1.6728616E+001, 1.8400608E+001, 1.6141592E+001, 1.5556779E+001, 2.3547346E+000, 1.4391622E+000, 2.6776140E+000, 2.9982237E+000
 3.8000631E+002, 5.3580979E+002, 4.3000000E-002, 1.0513808E+002, 1.1271729E+000, 1.2246751E+000, 1.6260662E+002, 9.3718051E+001, 1.5369955E+002, 2.6962032E+002, 9.5152181E+001, 1.6656716E+001, 1.8361006E+001, 1.6157049E+001, 1.5406595E+001, 2.3941233E+000, 1.4608733E+000, 2.6691401E+000, 3.0805586E+000
 3.9001366E+002, 5.4650071E+002, 4.3670274E-002, 1.1231867E+002, 1.1234092E+000, 1.2263329E+000, 1.6433535E+002, 9.5745495E+001, 1.5659913E+002, 2.7475390E+002, 9.8079106E+001, 1.6601965E+001, 1.8313807E+001, 1.5751323E+001, 1.5545658E+001, 2.4240965E+000, 1.4867487E+000, 2.8915699E+000, 3.0043208E+000
 4.0000030E+002, 5.5369764E+002, 4.4307845E-002, 1.1634451E+002, 1.1213180E+000, 1.2238839E+000, 1.6649130E+002, 9.4039353E+001, 1.5431743E+002, 2.7223117E+002, 1.0084171E+002, 1.6541826E+001, 1.8256676E+001, 1.6031715E+001, 1.5466944E+001, 2.4570455E+000, 1.5180693E+000, 2.7378516E+000, 3.0474739E+000
 4.1000679E+002, 5.6220662E+002, 4.5000000E-002, 1.1759731E+002, 1.1205844E+000, 1.2240602E+000, 1.6872178E+002, 9.6219884E+001, 1.5612136E+002, 2.8217231E+002, 1.0478047E+002, 1.6469560E+001, 1.8226961E+001, 1.5770089E+001, 1.5360100E+001, 2.4966243E+000, 1.5343602E+000, 2.8812815E+000, 3.1060486E+000
 4.2001118E+002, 5.7040010E+002, 4.5670460E-002, 1.2693694E+002, 1.1155823E+000, 1.2248448E+000, 1.7116611E+002, 9.9261977E+001, 1.5928174E+002, 2.8398737E+002, 1.0813005E+002, 1.6404239E+001, 1.8205137E+001, 1.5722417E+001, 1.5248218E+001, 2.5323436E+000, 1.5463244E+000, 2.9074166E+000, 3.1673851E+000
 4.3001257E+002, 5.7771273E+002, 4.6308257E-002, 1.2853032E+002, 1.1146635E+000, 1.2243317E+000, 1.7373867E+002, 1.0401968E+002, 1.6116480E+002, 2.8496842E+002, 1.0900508E+002, 1.6338681E+001, 1.8139423E+001, 1.5899084E+001, 1.5149586E+001, 2.5682927E+000, 1.5823510E+000, 2.8105634E+000, 3.2214575E+000
 4.4000475E+002, 5.8899928E+002, 4.7000000E-002, 1.3144796E+002, 1.1132259E+000, 1.2233501E+000, 1.7601657E+002, 1.0171466E+002, 1.6459638E+002, 2.8675021E+002, 1.1198734E+002, 1.6273024E+001, 1.8066341E+001, 1.5529896E+001, 1.5005159E+001, 2.6042636E+000, 1.6224164E+000, 3.0129617E+000, 3.3006365E+000
