s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg
 5.3010169E+001, 2.0578195E-001, 2.0755368E-001, 4.3262966E-006, 1.4214048E-003, 4.2327175E+001, 1.3223209E+001, 6.0661925E+001, 3.4477334E+002, 3.5219311E-004, 3.5219311E-004, 3.5219311E-004, 3.5219311E-004, 3.5219311E-004, 2.9288463E-003
 5.4014626E+001, 2.0564653E-001, 2.0755367E-001, 4.6569925E-006, 1.5005196E-003, 4.2982336E+001, 1.3382729E+001, 6.1179293E+001, 3.5326922E+002, 4.4739860E-004, 4.4739860E-004, 4.4739860E-004, 4.4739860E-004, 4.4739860E-004, 3.0392025E-003
 5.5001246E+001, 2.0549292E-001, 2.0755367E-001, 5.0320781E-006, 1.5902537E-003, 4.4425515E+001, 1.2582792E+001, 6.3476626E+001, 3.5945698E+002, 4.9439581E-004, 4.9439581E-004, 4.9439581E-004, 4.9439581E-004, 4.9439581E-004, 3.1512776E-003
 5.6016416E+001, 2.0552184E-001, 2.0755368E-001, 4.9614575E-006, 1.5733587E-003, 4.4205600E+001, 1.2391082E+001, 6.6594428E+001, 3.6402984E+002, 4.6413845E-004, 4.6413845E-004, 4.6413845E-004, 4.6413845E-004, 4.6413845E-004, 3.2653683E-003
 5.7014115E+001, 2.0570732E-001, 2.0755368E-001, 4.5085445E-006, 1.4650053E-003, 4.2644342E+001, 1.2514784E+001, 6.7233210E+001, 3.7451254E+002, 6.3013222E-004, 6.3013222E-004, 6.3013222E-004, 6.3013222E-004, 6.3013222E-004, 3.3819084E-003
 5.8009374E+001, 2.0551800E-001, 2.0755368E-001, 4.9708289E-006, 1.5756006E-003, 4.4184462E+001, 1.4600451E+001, 6.8696802E+001, 3.7899575E+002, 5.3721794E-004, 5.3721794E-004, 5.3721794E-004, 5.3721794E-004, 5.3721794E-004, 3.4998913E-003
 5.9006519E+001, 2.0520521E-001, 2.0755368E-001, 5.7346332E-006, 1.7583308E-003, 4.6633769E+001, 1.6283422E+001, 6.9980739E+001, 3.8583862E+002, 5.8055348E-004, 5.8055348E-004, 5.8055348E-004, 5.8055348E-004, 5.8055348E-004, 3.6190945E-003
 6.0006165E+001, 2.0516338E-001, 2.0755365E-001, 5.8367588E-006, 1.7827631E-003, 4.6782382E+001, 1.6887720E+001, 7.0276137E+001, 3.9341477E+002, 7.3244662E-004, 7.3244662E-004, 7.3244662E-004, 7.3244662E-004, 7.3244662E-004, 3.7408008E-003
 6.1004031E+001, 2.0515563E-001, 2.0755351E-001, 5.8557002E-006, 1.7872950E-003, 4.6535759E+001, 1.8286658E+001, 7.1952132E+001, 3.9800859E+002, 6.7438808E-004, 6.7438808E-004, 6.7438808E-004, 6.7438808E-004, 6.7438808E-004, 3.8643010E-003
 6.2001432E+001, 2.0519185E-001, 2.0755347E-001, 5.7672543E-006, 1.7661356E-003, 4.6140964E+001, 1.7717997E+001, 7.4888715E+001, 4.0802596E+002, 8.7207893E-004, 8.7207893E-004, 8.7207893E-004, 8.7207893E-004, 8.7207893E-004, 3.9900791E-003
 6.3010026E+001, 2.0498826E-001, 2.0755350E-001, 6.2644106E-006, 1.8850740E-003, 4.7672354E+001, 1.6730620E+001, 7.5802364E+001, 4.0907114E+002, 7.5422169E-004, 7.5422169E-004, 7.5422169E-004, 7.5422169E-004, 7.5422169E-004, 4.1174965E-003
 6.4008425E+001, 2.0491698E-001, 2.0755355E-001, 6.4384589E-006, 1.9267129E-003, 4.7731596E+001, 1.8364995E+001, 7.6334432E+001, 4.1846640E+002, 1.0224405E-003, 1.0224405E-003, 1.0224405E-003, 1.0224405E-003, 1.0224405E-003, 4.2476322E-003
 6.5012194E+001, 2.0502976E-001, 2.0755357E-001, 6.1630704E-006, 1.8608295E-003, 4.6717391E+001, 1.9039633E+001, 7.6947836E+001, 4.2704138E+002, 1.1166489E-003, 1.1166489E-003, 1.1166489E-003, 1.1166489E-003, 1.1166489E-003, 4.3793965E-003
 6.6003825E+001, 2.0498127E-001, 2.0755358E-001, 6.2814655E-006, 1.8891538E-003, 4.7276644E+001, 1.9633814E+001, 7.6634161E+001, 4.3310503E+002, 1.0839259E-003, 1.0839259E-003, 1.0839259E-003, 1.0839259E-003, 1.0839259E-003, 4.5118759E-003
 6.7002518E+001, 2.0472029E-001, 2.0755360E-001, 6.9187577E-006, 2.0416188E-003, 4.9517634E+001, 2.0642835E+001, 7.9003196E+001, 4.3801572E+002, 1.0339377E-003, 1.0339377E-003, 1.0339377E-003, 1.0339377E-003, 1.0339377E-003, 4.6471970E-003
 6.8012831E+001, 2.0454579E-001, 2.0755361E-001, 7.3448417E-006, 2.1435548E-003, 5.0856124E+001, 2.0169848E+001, 8.1382287E+001, 4.4317993E+002, 1.0335651E-003, 1.0335651E-003, 1.0335651E-003, 1.0335651E-003, 1.0335651E-003, 4.7849385E-003
 6.9004008E+001, 2.0431554E-001, 2.0755361E-001, 7.9070732E-006, 2.2780630E-003, 5.2660223E+001, 2.1029351E+001, 8.2948009E+001, 4.5064805E+002, 1.1411320E-003, 1.1411320E-003, 1.1411320E-003, 1.1411320E-003, 1.1411320E-003, 4.9233235E-003
 7.0008082E+001, 2.0416273E-001, 2.0755360E-001, 8.2802163E-006, 2.3673338E-003, 5.3975418E+001, 2.0884010E+001, 8.5520805E+001, 4.6329720E+002, 1.4196037E-003, 1.4196037E-003, 1.4196037E-003, 1.4196037E-003, 1.4196037E-003, 5.0638244E-003
 7.1012998E+001, 2.0412502E-001, 2.0755358E-001, 8.3723084E-006, 2.3893658E-003, 5.4455533E+001, 2.1345332E+001, 8.7292416E+001, 4.6041865E+002, 1.2907546E-003, 1.2907546E-003, 1.2907546E-003, 1.2907546E-003, 1.2907546E-003, 5.2068446E-003
 7.2009405E+001, 2.0408305E-001, 2.0755353E-001, 8.4747863E-006, 2.4138831E-003, 5.5141185E+001, 2.2182560E+001, 8.6991960E+001, 4.7350525E+002, 1.3685882E-003, 1.3685882E-003, 1.3685882E-003, 1.3685882E-003, 1.3685882E-003, 5.3504764E-003
 7.3003127E+001, 2.0397186E-001, 2.0755342E-001, 8.7462828E-006, 2.4788370E-003, 5.6237260E+001, 2.3041242E+001, 9.0577010E+001, 4.8004574E+002, 1.5667243E-003, 1.5667243E-003, 1.5667243E-003, 1.5667243E-003, 1.5667243E-003, 5.4973316E-003
 7.4004773E+001, 2.0387477E-001, 2.0755329E-001, 8.9833600E-006, 2.5355564E-003, 5.6966072E+001, 2.4667424E+001, 9.0639757E+001, 4.8386498E+002, 1.3743850E-003, 1.3743850E-003, 1.3743850E-003, 1.3743850E-003, 1.3743850E-003, 5.6446239E-003
 7.5006177E+001, 2.0389285E-001, 2.0755321E-001, 8.9392015E-006, 2.5249926E-003, 5.6348896E+001, 2.5439087E+001, 9.0725496E+001, 4.9830603E+002, 1.5817066E-003, 1.5817066E-003, 1.5817066E-003, 1.5817066E-003, 1.5817066E-003, 5.7941154E-003
 7.6004219E+001, 2.0396760E-001, 2.0755319E-001, 8.7566823E-006, 2.4813265E-003, 5.5383541E+001, 2.6795636E+001, 9.2540145E+001, 4.9991276E+002, 1.6380223E-003, 1.6380223E-003, 1.6380223E-003, 1.6380223E-003, 1.6380223E-003, 5.9465709E-003
 7.7007649E+001, 2.0404857E-001, 2.0755316E-001, 8.5589714E-006, 2.4340255E-003, 5.4666555E+001, 2.6602974E+001, 9.5647919E+001, 4.9810223E+002, 1.5561767E-003, 1.5561767E-003, 1.5561767E-003, 1.5561767E-003, 1.5561767E-003, 6.1008580E-003
 7.8000744E+001, 2.0415618E-001, 2.0755281E-001, 8.2961950E-006, 2.3711591E-003, 5.3704514E+001, 2.6427910E+001, 9.8989190E+001, 5.0966741E+002, 1.8816099E-003, 1.8816099E-003, 1.8816099E-003, 1.8816099E-003, 1.8816099E-003, 6.2553947E-003
 7.9012392E+001, 2.0420141E-001, 2.0754468E-001, 8.1857547E-006, 2.3447383E-003, 5.3400064E+001, 2.7588723E+001, 1.0089729E+002, 5.1770668E+002, 1.8429471E-003, 1.8429471E-003, 1.8429471E-003, 1.8429471E-003, 1.8429471E-003, 6.4127923E-003
 8.0010369E+001, 2.0416170E-001, 2.0753287E-001, 8.2827196E-006, 2.3679370E-003, 5.3738385E+001, 2.8400655E+001, 1.0370891E+002, 5.2918137E+002, 1.7968235E-003, 1.7968235E-003, 1.7968235E-003, 1.7968235E-003, 1.7968235E-003, 6.5725236E-003
 8.1003549E+001, 2.0412485E-001, 2.0753355E-001, 8.3726909E-006, 2.3894619E-003, 5.4069520E+001, 2.8420475E+001, 1.0557635E+002, 5.2276836E+002, 1.5168564E-003, 1.5168564E-003, 1.5168564E-003, 1.5168564E-003, 1.5168564E-003, 6.7313090E-003
 8.2001756E+001, 2.0409721E-001, 2.0754223E-001, 8.4401815E-006, 2.4056084E-003, 5.4304958E+001, 2.7315263E+001, 1.0790540E+002, 5.3311133E+002, 1.8728543E-003, 1.8728543E-003, 1.8728543E-003, 1.8728543E-003, 1.8728543E-003, 6.8931343E-003
 8.3011918E+001, 2.0404786E-001, 2.0754855E-001, 8.5606740E-006, 2.4344351E-003, 5.4699542E+001, 2.7290722E+001, 1.0712441E+002, 5.4252246E+002, 2.1626468E-003, 2.1626468E-003, 2.1626468E-003, 2.1626468E-003, 2.1626468E-003, 7.0575268E-003
 8.4010429E+001, 2.0396869E-001, 2.0755057E-001, 8.7540123E-006, 2.4806897E-003, 5.5305943E+001, 2.9121309E+001, 1.0891361E+002, 5.6167553E+002, 2.4150191E-003, 2.4150191E-003, 2.4150191E-003, 2.4150191E-003, 2.4150191E-003, 7.2254957E-003
 8.5012058E+001, 2.0383816E-001, 2.0755147E-001, 9.0727271E-006, 2.5569400E-003, 5.6353221E+001, 2.8588460E+001, 1.1101809E+002, 5.5862201E+002, 2.2764412E-003, 2.2764412E-003, 2.2764412E-003, 2.2764412E-003, 2.2764412E-003, 7.3934946E-003
 8.6000782E+001, 2.0390023E-001, 2.0755175E-001, 8.9211578E-006, 2.5206778E-003, 5.5957279E+001, 2.8615468E+001, 1.1412420E+002, 5.6543729E+002, 2.1966137E-003, 2.1966137E-003, 2.1966137E-003, 2.1966137E-003, 2.1966137E-003, 7.5625281E-003
 8.7007756E+001, 2.0346986E-001, 2.0755154E-001, 9.9720604E-006, 2.7720983E-003, 5.9086112E+001, 2.8480903E+001, 1.1566558E+002, 5.6938118E+002, 2.3673834E-003, 2.3673834E-003, 2.3673834E-003, 2.3673834E-003, 2.3673834E-003, 7.7329704E-003
 8.8002839E+001, 2.0322677E-001, 2.0755114E-001, 1.0565636E-005, 2.9141066E-003, 6.0450914E+001, 2.9083500E+001, 1.1659807E+002, 5.8031153E+002, 2.5637948E-003, 2.5637948E-003, 2.5637948E-003, 2.5637948E-003, 2.5637948E-003, 7.9064311E-003
 8.9008150E+001, 2.0308061E-001, 2.0755062E-001, 1.0922546E-005, 2.9994948E-003, 6.1033315E+001, 2.9277791E+001, 1.1865231E+002, 5.8071970E+002, 2.5337684E-003, 2.5337684E-003, 2.5337684E-003, 2.5337684E-003, 2.5337684E-003, 8.0813054E-003
 9.0005985E+001, 2.0242137E-001, 2.0754971E-001, 1.2532301E-005, 3.3846179E-003, 6.5403294E+001, 3.0644256E+001, 1.2088670E+002, 5.9146707E+002, 2.3895983E-003, 2.3895983E-003, 2.3895983E-003, 2.3895983E-003, 2.3895983E-003, 8.2581992E-003
 9.1001379E+001, 2.0207139E-001, 2.0754830E-001, 1.3386914E-005, 3.5890787E-003, 6.7677672E+001, 3.2099123E+001, 1.2187484E+002, 5.9138841E+002, 2.2304187E-003, 2.2304187E-003, 2.2304187E-003, 2.2304187E-003, 2.2304187E-003, 8.4359582E-003
