time (s),u-velocity (m/s)
3.0347977,0.937491195
3.0453827,0.949000428
3.0570264,0.961644829
3.0676365,0.973146604
3.0793076,0.985769951
3.089941,0.997239266
3.1016381,1.00981472
3.1122985,1.0212325
3.1240251,1.03373849
3.1347084,1.04507733
3.1464596,1.0574834
3.1571708,1.06872568
3.1689527,1.08101314
3.1796854,1.09212937
3.1914911,1.10426614
3.2022507,1.11523938
3.2140865,1.12720725
3.2248695,1.13801156
3.2367306,1.1497813
3.24754,1.16039768
3.2594302,1.17194902
3.2702632,1.182353
3.2821798,1.19365969
3.2930386,1.2038321
3.3049831,1.2148724
3.3158674,1.22479205
3.3278403,1.2355437
3.3387494,1.24518955
3.3507495,1.25562936
3.3616848,1.26498278
3.3737137,1.27509058
3.3846731,1.28413048
3.3967285,1.29388354
3.4077158,1.30259436
3.4198017,1.31197566
3.4308121,1.32033557
3.4429238,1.32932211
3.4539626,1.33731784
3.4661052,1.34589473
3.4771667,1.35350559
3.4893343,1.36165101
3.5004246,1.36886549
3.5126238,1.37656694
3.5237372,1.38336635
3.5359619,1.39060412
3.5471034,1.39697757
3.5593591,1.40373996
3.570524,1.40967159
3.5828054,1.41594185
3.593998,1.42142188
3.6063099,1.42718962
3.6175272,1.43220533
3.6298661,1.43745719
3.6411107,1.44199962
3.6534798,1.44672634
3.6647494,1.4507854
3.6771457,1.45497641
3.688442,1.45854472
3.7008679,1.46219263
3.7121904,1.46526303
3.7246451,1.46836054
3.7359939,1.47092725
3.7484777,1.47346864
3.7598529,1.47552697
3.7723653,1.47750765
3.7837665,1.47905404
3.796308,1.48047088
3.8077364,1.48150314
3.8203077,1.48235424
3.8317621,1.48287107
3.8443618,1.48315575
3.8558433,1.48315727
3.8684731,1.48287626
3.8799803,1.48236373
3.8926384,1.48151915
3.9041736,1.48049495
3.9168622,1.47909
3.9284234,1.47755794
3.9411404,1.47559759
3.9527292,1.47356238
3.9654768,1.47105233
3.9770911,1.46852046
3.989867,1.46546858
4.0015097,1.46244676
4.014317,1.45886096
4.0259857,1.45535828
4.0388207,1.45124962
4.0505176,1.44727515
4.0633841,1.44265371
4.0751066,1.43821918
4.0880013,1.43309873
4.0997524,1.42821504
4.1126785,1.42260811
4.1244559,1.4172893
4.1374106,1.41121215
4.1492162,1.4054716
4.1622019,1.39893932
4.1740336,1.39279337
4.187048,1.38582454
4.1989083,1.37928823
4.2119546,1.3718996
4.2238412,1.36499151
4.2369165,1.3572043
4.2488313,1.34994167
4.2619376,1.34177531
4.2738791,1.33417827
4.2870145,1.32565559
4.2989845,1.3177431
4.3121514,1.30888508
4.3241487,1.30067884
4.3373451,1.29151027
4.34937,1.28303183
4.3625975,1.27357587
4.37465,1.26484768
4.3879075,1.25513017
4.3999877,1.2461753
4.4132762,1.23622127
4.425385,1.22706279
4.438704,1.21689902
4.45084,1.20756229
4.4641891,1.19721611
4.4763536,1.18772496
4.4897342,1.17722278
4.5019259,1.16760347
4.515337,1.15697404
4.5275578,1.1472507
4.5410008,1.13652123
4.5532484,1.12672163
4.5667205,1.115923
4.5789976,1.10607115
4.5925031,1.09522876
4.6048069,1.08535324
4.618341,1.07449995
4.6306758,1.06462375
4.6442437,1.05378446
4.6566038,1.04393861
4.6701999,1.03314687
4.6825914,1.02335292
4.6962223,1.01263246
4.7086391,1.00292155
4.7222981,0.992306426
4.734746,0.9827001
4.7484388,0.97221445
4.7609124,0.962742723
4.7746339,0.952418634
4.787138,0.943103327
4.8008928,0.932965138
4.8134246,0.923833449
4.827209,0.913911176
4.8397698,0.904986725
4.8535867,0.895304988
4.8661752,0.886612722
4.880023,0.877198706
4.8926406,0.868761034
4.9065204,0.859639322
4.919167,0.851479027
4.9330788,0.842674168
4.9457536,0.834813685
4.9596953,0.826350593
4.9724007,0.818809534
4.9863758,0.810708784
4.9991083,0.803509427
5.013114,0.795794286
5.025878,0.788953372
5.0399184,0.78164224
5.0527081,0.775181076
5.0667772,0.768296406
5.0795989,0.762228851
5.0937028,0.755785864
5.1065512,0.750130448
5.1206841,0.744148627
5.1335626,0.738918507
5.1477294,0.733411286
5.1606359,0.728620848
5.1748333,0.723603646
5.1877694,0.719264455
5.2019997,0.714749132
5.2149653,0.710872142
5.229228,0.706870113
5.2422218,0.703465185
5.2565155,0.699986447
5.2695408,0.697060837
5.2838683,0.694112872
5.2969208,0.691674223
5.3112788,0.689264158
5.3243632,0.687316754
5.3387561,0.68544881
5.3518672,0.683997146
5.3662896,0.682675176
5.3794317,0.681720839
5.3938885,0.680945933
5.4070592,0.680489809
5.4215469,0.680262027
5.4347467,0.680303121
5.4492669,0.680620535
5.4624972,0.681156446
5.4770508,0.682015624
5.4903097,0.683042321
5.5048943,0.684437871
5.5181856,0.685950202
5.5328059,0.687875814
5.5461235,0.689866089
5.5607729,0.692312269
5.5741224,0.694772684
5.5888071,0.697730276
5.6021848,0.700650207
5.6169,0.704106428
5.6303077,0.707474703
5.6450562,0.711416749
5.658494,0.71522052
5.6732755,0.719633399
5.6867423,0.723858041
5.7015557,0.728724929
5.7150545,0.733355768
5.7299037,0.738660132
5.7434297,0.743678583
5.7583079,0.749398592
5.7718658,0.754788108
5.7867794,0.76090552
5.8003659,0.766645423
5.815311,0.773136685
5.828927,0.779206725
5.843905,0.786049203
5.8575521,0.792428473
5.8725643,0.799598464
5.88624,0.80626315
5.9012833,0.81373373
5.9149914,0.820662099
5.9300704,0.828409188
5.9438062,0.835574435
5.9589157,0.843568035
5.9726825,0.8509466
5.9878259,0.859160361
6.0016227,0.866725793
6.0167994,0.875130559
6.0306253,0.882855803
6.0458336,0.89142114
6.0596924,0.899281256
6.0749369,0.90797978
6.0888228,0.91594398
6.1040978,0.924742007
6.1180153,0.932785002
6.1333246,0.941653965
6.1472716,0.949746457
6.1626134,0.958654352
6.1765904,0.966768388
6.1919651,0.975684379
6.2059746,0.983793119
6.2213845,0.99268746
6.2354217,1.00075988
6.2508621,1.00959891
6.2649307,1.01760907
6.280407,1.02636513
6.2945051,1.0342841
6.3100133,1.04292452
