s,C,C,C,kW/m2,kW/m2,kW/m2,null,null,null,null
 2.2500228E+002, 4.1918296E+001, 2.0780366E+001, 2.0624363E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.2100075E+001, 2.2266808E+001, 2.6473692E-001, 2.8778953E-001
 2.4002112E+002, 4.5851054E+001, 2.0890684E+001, 2.0734906E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.2730129E+001, 2.2954486E+001, 3.3562296E-001, 3.6864129E-001
 2.5501467E+002, 4.9821400E+001, 2.1003796E+001, 2.0866141E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.3511470E+001, 2.3799484E+001, 4.0051526E-001, 4.3895421E-001
 2.7000859E+002, 5.4227345E+001, 2.1118237E+001, 2.1008481E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.4404113E+001, 2.4772627E+001, 4.7019114E-001, 5.1763294E-001
 2.8501224E+002, 5.9290436E+001, 2.1225440E+001, 2.1161318E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.5402823E+001, 2.5858537E+001, 5.2372166E-001, 5.7446298E-001
 3.0000733E+002, 6.4271119E+001, 2.1348920E+001, 2.1280364E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.6499146E+001, 2.7041358E+001, 5.8720089E-001, 6.4040687E-001
 3.1500961E+002, 6.9402637E+001, 2.1463594E+001, 2.1402508E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.7709743E+001, 2.8351568E+001, 6.7463763E-001, 7.2749475E-001
 3.3001541E+002, 7.5088821E+001, 2.1586531E+001, 2.1556694E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.9067948E+001, 2.9784718E+001, 7.4800805E-001, 7.9984896E-001
 3.4500951E+002, 8.0991301E+001, 2.1763619E+001, 2.1721967E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.0508159E+001, 3.1315076E+001, 8.2321771E-001, 8.8080550E-001
 3.6000255E+002, 8.7324853E+001, 2.1974599E+001, 2.1910422E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.2056683E+001, 3.2949818E+001, 8.9870666E-001, 9.6245113E-001
 3.7500409E+002, 9.3903449E+001, 2.2202178E+001, 2.2114436E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.3683179E+001, 3.4671749E+001, 9.6452921E-001, 1.0383744E+000
 3.9001590E+002, 1.0077034E+002, 2.2464708E+001, 2.2376102E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5413919E+001, 3.6470960E+001, 1.0461893E+000, 1.1090610E+000
 4.0500560E+002, 1.0855778E+002, 2.2770077E+001, 2.2664816E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.7225157E+001, 3.8352258E+001, 1.1308121E+000, 1.2028586E+000
 4.2000983E+002, 1.1640706E+002, 2.3057929E+001, 2.2988656E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.9143340E+001, 4.0346191E+001, 1.2302704E+000, 1.3054118E+000
 4.3501553E+002, 1.2521338E+002, 2.3368443E+001, 2.3333704E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.1192321E+001, 4.2493890E+001, 1.3418171E+000, 1.4126551E+000
 4.5000849E+002, 1.3468020E+002, 2.3721931E+001, 2.3721184E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.3373977E+001, 4.4758163E+001, 1.4309594E+000, 1.5149309E+000
 4.6500978E+002, 1.4450619E+002, 2.4099096E+001, 2.4066819E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.5681877E+001, 4.7120891E+001, 1.5541454E+000, 1.6399615E+000
 4.8000454E+002, 1.5504915E+002, 2.4518064E+001, 2.4391836E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.8077505E+001, 4.9611114E+001, 1.6404561E+000, 1.7344544E+000
 4.9500354E+002, 1.6633013E+002, 2.4907253E+001, 2.4686986E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.0606738E+001, 5.2216408E+001, 1.7873511E+000, 1.8893823E+000
 5.1001233E+002, 1.7829597E+002, 2.5336353E+001, 2.5034787E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.3249624E+001, 5.4879634E+001, 1.8832332E+000, 1.9456059E+000
 5.2500700E+002, 1.9108381E+002, 2.5752419E+001, 2.5369284E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.5936164E+001, 5.7633103E+001, 2.0003849E+000, 2.1180946E+000
 5.4000022E+002, 2.0420823E+002, 2.6197971E+001, 2.5697542E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.8706102E+001, 6.0464544E+001, 2.1251924E+000, 2.1921988E+000
 5.5500072E+002, 2.1916259E+002, 2.6839443E+001, 2.6054874E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 6.1518711E+001, 6.3367241E+001, 2.2367756E+000, 2.3783406E+000
 5.7001109E+002, 2.3438968E+002, 2.9163414E+001, 2.6523756E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 6.4581308E+001, 6.6579886E+001, 2.4544074E+000, 2.5792060E+000
 5.8500958E+002, 2.5087716E+002, 3.4609079E+001, 2.7188666E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 6.7743182E+001, 6.9817777E+001, 2.5555203E+000, 2.6793203E+000
 6.0000439E+002, 2.6746849E+002, 4.4010902E+001, 2.7959882E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 7.0991193E+001, 7.3191284E+001, 2.7252842E+000, 2.8905705E+000
 6.1500040E+002, 2.8538277E+002, 5.7990250E+001, 2.8897792E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 7.4317963E+001, 7.6679504E+001, 2.8838374E+000, 3.0114210E+000
 6.3001108E+002, 3.0353541E+002, 7.6534994E+001, 2.9959078E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 7.7725303E+001, 8.0194215E+001, 2.9900162E+000, 3.1290926E+000
 6.4500235E+002, 3.2432036E+002, 1.0074366E+002, 3.1158615E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 8.1041801E+001, 8.3637797E+001, 3.0805697E+000, 3.2387969E+000
 6.6000220E+002, 3.4497000E+002, 1.3231236E+002, 3.2415931E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 8.4443616E+001, 8.7070306E+001, 3.2842807E+000, 3.3671212E+000
 6.7501297E+002, 3.6695545E+002, 1.6724706E+002, 3.3911609E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 8.7974054E+001, 9.0589038E+001, 3.4192867E+000, 3.5573982E+000
 6.9000758E+002, 3.8954907E+002, 2.0054175E+002, 3.5557424E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 9.1311209E+001, 9.4032985E+001, 3.4234370E+000, 3.6199079E+000
 7.0501032E+002, 4.1165499E+002, 2.3343660E+002, 3.6966034E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 9.4649610E+001, 9.7446421E+001, 3.7032955E+000, 3.8242826E+000
 7.2000873E+002, 4.3211082E+002, 2.6028537E+002, 3.8414309E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 9.8054395E+001, 1.0082769E+002, 3.8034278E+000, 3.8907635E+000
 7.3500354E+002, 4.5065764E+002, 2.8585578E+002, 3.9947795E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.0137524E+002, 1.0416174E+002, 3.8530761E+000, 3.9996631E+000
 7.5000100E+002, 4.7010662E+002, 3.0987753E+002, 4.1572016E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.0445501E+002, 1.0734791E+002, 3.9065741E+000, 4.0779193E+000
 7.6500669E+002, 4.8679432E+002, 3.2902393E+002, 4.3007556E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.0718556E+002, 1.1021415E+002, 3.8134613E+000, 4.0685244E+000
 7.8000385E+002, 4.9978997E+002, 3.5195763E+002, 4.4432269E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.0988197E+002, 1.1294856E+002, 3.9016175E+000, 4.0369990E+000
 7.9500843E+002, 5.1513257E+002, 3.7371740E+002, 4.6469447E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1250357E+002, 1.1553423E+002, 4.0265395E+000, 4.1546030E+000
 8.1000537E+002, 5.3047894E+002, 3.9470389E+002, 5.3075709E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1500177E+002, 1.1789579E+002, 4.0127964E+000, 4.1044217E+000
 8.2500117E+002, 5.4132667E+002, 4.1525276E+002, 7.1749362E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1710245E+002, 1.1993078E+002, 3.8868470E+000, 4.0216205E+000
 8.4000776E+002, 5.5040645E+002, 4.3626239E+002, 1.0520004E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1882329E+002, 1.2152604E+002, 3.8716879E+000, 3.9922836E+000
 8.5500982E+002, 5.6159502E+002, 4.5575671E+002, 1.5068552E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2030283E+002, 1.2295454E+002, 3.8068222E+000, 3.9931958E+000
 8.7000659E+002, 5.6979341E+002, 4.6999899E+002, 2.0323809E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2138278E+002, 1.2418551E+002, 3.7207705E+000, 3.9611828E+000
 8.8500906E+002, 5.7652487E+002, 4.8264040E+002, 2.5927220E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2240714E+002, 1.2527394E+002, 3.7420908E+000, 3.8802692E+000
 9.0000339E+002, 5.8575108E+002, 4.9336792E+002, 3.1239128E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2317852E+002, 1.2608329E+002, 3.6117199E+000, 3.8989899E+000
 9.1500072E+002, 5.9198893E+002, 5.0654970E+002, 3.6202819E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2367517E+002, 1.2692059E+002, 3.6439201E+000, 3.9212026E+000
 9.3000068E+002, 5.9529447E+002, 5.2134289E+002, 4.0447505E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2431466E+002, 1.2760715E+002, 3.6992034E+000, 3.8892992E+000
 9.4500954E+002, 5.9972853E+002, 5.3476313E+002, 4.4102741E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2477505E+002, 1.2806241E+002, 3.6336716E+000, 3.8270882E+000
 9.6000761E+002, 6.0503838E+002, 5.4912104E+002, 4.7237826E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2508264E+002, 1.2849935E+002, 3.5600653E+000, 3.8825523E+000
 9.7500435E+002, 6.0848707E+002, 5.5986287E+002, 4.9911465E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2532535E+002, 1.2897188E+002, 3.5941090E+000, 3.8334987E+000
 9.9000627E+002, 6.1482991E+002, 5.6590829E+002, 5.2281620E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2559083E+002, 1.2934604E+002, 3.5396802E+000, 3.8823497E+000
 1.0050116E+003, 6.2053751E+002, 5.7595224E+002, 5.4440949E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2546779E+002, 1.2975791E+002, 3.3431798E+000, 3.8888122E+000
 1.0200038E+003, 6.2427837E+002, 5.8871727E+002, 5.6372025E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2502437E+002, 1.3010447E+002, 3.2444232E+000, 3.7590604E+000
 1.0350041E+003, 6.2692552E+002, 6.0126376E+002, 5.8007127E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2425620E+002, 1.3019401E+002, 3.0708186E+000, 3.7942232E+000
 1.0500088E+003, 6.3253261E+002, 6.1210398E+002, 5.9228320E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2345473E+002, 1.3024613E+002, 3.0312561E+000, 3.6666709E+000
 1.0650006E+003, 6.4002448E+002, 6.2191400E+002, 6.0546825E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2260229E+002, 1.2988457E+002, 2.9568617E+000, 3.4715591E+000
 1.0800031E+003, 6.4764652E+002, 6.3049175E+002, 6.1950428E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2163918E+002, 1.2934279E+002, 2.8688982E+000, 3.4801059E+000
 1.0950033E+003, 6.5185963E+002, 6.3652010E+002, 6.3199408E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.2061882E+002, 1.2880265E+002, 2.7558381E+000, 3.4585685E+000
 1.1100082E+003, 6.5367176E+002, 6.4359296E+002, 6.4424037E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1946289E+002, 1.2807658E+002, 2.7147581E+000, 3.1840270E+000
 1.1250029E+003, 6.5630294E+002, 6.5165302E+002, 6.5355329E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1852258E+002, 1.2685197E+002, 2.7951700E+000, 2.9558867E+000
 1.1400050E+003, 6.5932851E+002, 6.5686197E+002, 6.5901188E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1781010E+002, 1.2558908E+002, 2.8232893E+000, 2.9844628E+000
 1.1550104E+003, 6.6361849E+002, 6.5403863E+002, 6.6652304E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1728499E+002, 1.2461549E+002, 2.7878664E+000, 3.0050390E+000
 1.1700089E+003, 6.6712035E+002, 6.4979692E+002, 6.7517021E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1669034E+002, 1.2371313E+002, 2.7880666E+000, 3.0174446E+000
 1.1850083E+003, 6.7327313E+002, 6.5443395E+002, 6.8415343E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1602052E+002, 1.2298119E+002, 2.6531038E+000, 2.9775113E+000
 1.2000061E+003, 6.7823599E+002, 6.6259186E+002, 6.9203563E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1529662E+002, 1.2220470E+002, 2.6320558E+000, 3.0099167E+000
 1.2150098E+003, 6.8367581E+002, 6.6966069E+002, 6.9864425E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1428459E+002, 1.2163432E+002, 2.3897794E+000, 2.9583179E+000
 1.2300134E+003, 6.9030430E+002, 6.7426466E+002, 7.0398788E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1293316E+002, 1.2087255E+002, 2.2798608E+000, 2.8780135E+000
 1.2450077E+003, 6.9235120E+002, 6.7721762E+002, 7.0779887E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.1152828E+002, 1.2010039E+002, 2.1629331E+000, 2.8995778E+000
 1.2600060E+003, 6.8761174E+002, 6.7598116E+002, 7.1318042E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.0991728E+002, 1.1934879E+002, 2.0361201E+000, 2.7915420E+000
 1.2750104E+003, 6.8188199E+002, 6.7375688E+002, 7.1944140E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.0817078E+002, 1.1834806E+002, 1.8669190E+000, 2.6077213E+000
 1.2900005E+003, 6.7575738E+002, 6.6585026E+002, 7.2493389E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.0614453E+002, 1.1710464E+002, 1.7174740E+000, 2.5220390E+000
 1.3050059E+003, 6.7017240E+002, 6.5273625E+002, 7.3017314E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.0406471E+002, 1.1588494E+002, 1.6042622E+000, 2.4443870E+000
 1.3200026E+003, 6.6639048E+002, 6.4070816E+002, 7.3553958E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.0202152E+002, 1.1449571E+002, 1.5828898E+000, 2.3381346E+000
 1.3350002E+003, 6.6383504E+002, 6.3112212E+002, 7.4140376E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 1.0013195E+002, 1.1309397E+002, 1.5249513E+000, 2.2886158E+000
 1.3500105E+003, 6.5996621E+002, 6.2284501E+002, 7.4514150E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 9.8281885E+001, 1.1157453E+002, 1.5230917E+000, 2.1200034E+000
 1.3650006E+003, 6.5577756E+002, 6.1785772E+002, 7.4984008E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 9.6592205E+001, 1.0990952E+002, 1.4639492E+000, 2.0367546E+000
 1.3800148E+003, 6.5111210E+002, 6.1755314E+002, 7.5562025E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 9.4762285E+001, 1.0824962E+002, 1.3248184E+000, 2.0253221E+000
 1.3950133E+003, 6.4497944E+002, 6.1724269E+002, 7.6045155E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 9.2945698E+001, 1.0668877E+002, 1.3056381E+000, 1.9315164E+000
 1.4100048E+003, 6.3835719E+002, 6.1597522E+002, 7.6427953E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 9.1191087E+001, 1.0507974E+002, 1.2193593E+000, 1.8547654E+000
 1.4250037E+003, 6.3206937E+002, 6.1271036E+002, 7.6502550E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 8.9353175E+001, 1.0332149E+002, 1.1526764E+000, 1.7304906E+000
 1.4400140E+003, 6.2537975E+002, 6.0606377E+002, 7.6207882E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 8.7586917E+001, 1.0158863E+002, 1.0961141E+000, 1.6333672E+000
 1.4550005E+003, 6.1758513E+002, 6.0002331E+002, 7.5508158E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 8.5855170E+001, 9.9767761E+001, 1.0613629E+000, 1.5926368E+000
 1.4700037E+003, 6.1096118E+002, 5.9275753E+002, 7.4083890E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 8.4151235E+001, 9.7989928E+001, 9.9805558E-001, 1.5045175E+000
 1.4850145E+003, 6.0389255E+002, 5.8590594E+002, 7.2172664E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 8.2504767E+001, 9.6234607E+001, 9.6475396E-001, 1.5184700E+000
 1.5000058E+003, 5.9623037E+002, 5.8157726E+002, 7.0257957E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 8.0880215E+001, 9.4723912E+001, 9.0826092E-001, 1.5177109E+000
 1.5150131E+003, 5.8604208E+002, 5.7743755E+002, 6.8070339E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 7.9234440E+001, 9.3235015E+001, 8.4424583E-001, 1.4483029E+000
 1.5300066E+003, 5.7582098E+002, 5.7692636E+002, 6.5881843E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 7.7648346E+001, 9.1733992E+001, 8.4355505E-001, 1.3990529E+000
 1.5450123E+003, 5.6678850E+002, 5.7760251E+002, 6.3508941E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 7.6125112E+001, 9.0236356E+001, 7.9739087E-001, 1.3150940E+000
 1.5600092E+003, 5.5756543E+002, 5.8057870E+002, 6.1403062E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 7.4617973E+001, 8.8654717E+001, 7.6352350E-001, 1.2437748E+000
 1.5750082E+003, 5.4607218E+002, 5.8364221E+002, 5.9730781E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 7.3120778E+001, 8.7169287E+001, 7.1472453E-001, 1.2083064E+000
 1.5900003E+003, 5.3561386E+002, 5.8650851E+002, 5.8249052E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 7.1643205E+001, 8.5726133E+001, 6.9037662E-001, 1.1710532E+000
 1.6050080E+003, 5.2541365E+002, 5.8745080E+002, 5.6966689E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 7.0219082E+001, 8.4315541E+001, 6.9156963E-001, 1.0972634E+000
 1.6200084E+003, 5.1493427E+002, 5.8727561E+002, 5.5618557E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 6.8930544E+001, 8.2830167E+001, 6.8297780E-001, 1.0135792E+000
 1.6350091E+003, 5.0565492E+002, 5.8511200E+002, 5.4321931E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 6.7711779E+001, 8.1288502E+001, 6.5180873E-001, 9.8727482E-001
 1.6500076E+003, 4.9462795E+002, 5.8112156E+002, 5.3128490E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 6.6493777E+001, 7.9861704E+001, 6.3238857E-001, 9.4966506E-001
 1.6650136E+003, 4.8542687E+002, 5.7786405E+002, 5.2077076E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 6.5337474E+001, 7.8437275E+001, 5.9474883E-001, 9.2064335E-001
 1.6800070E+003, 4.7694664E+002, 5.7280412E+002, 5.1195514E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 6.4215414E+001, 7.7030653E+001, 5.6981815E-001, 8.5222887E-001
 1.6950062E+003, 4.6708242E+002, 5.6795798E+002, 5.0340612E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 6.3088336E+001, 7.5632635E+001, 5.1682233E-001, 8.4461588E-001
 1.7100051E+003, 4.5577765E+002, 5.6020077E+002, 4.9468721E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 6.1949621E+001, 7.4292164E+001, 5.0454953E-001, 7.8963182E-001
 1.7250155E+003, 4.4528451E+002, 5.5242030E+002, 4.8602929E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 6.0849459E+001, 7.2906292E+001, 4.8718981E-001, 7.2684913E-001
 1.7400053E+003, 4.3603892E+002, 5.4562626E+002, 4.7625174E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.9839185E+001, 7.1450437E+001, 4.9312671E-001, 6.6860089E-001
 1.7550177E+003, 4.2763716E+002, 5.4139565E+002, 4.6623848E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.8836470E+001, 7.0027359E+001, 4.5519903E-001, 6.2633797E-001
 1.7700015E+003, 4.1891918E+002, 5.3678307E+002, 4.5771091E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.7853896E+001, 6.8589271E+001, 4.3983487E-001, 5.7481631E-001
 1.7850068E+003, 4.0990147E+002, 5.2908769E+002, 4.4997489E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.6899155E+001, 6.7159841E+001, 4.1493713E-001, 5.4193387E-001
 1.8000102E+003, 4.0079044E+002, 5.1989372E+002, 4.4235028E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.5951914E+001, 6.5771640E+001, 3.9379273E-001, 5.2361868E-001
 1.8150132E+003, 3.9009395E+002, 5.0846266E+002, 4.3497824E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.5000769E+001, 6.4443847E+001, 3.7055083E-001, 4.9814142E-001
 1.8300070E+003, 3.7952207E+002, 4.9651483E+002, 4.2758376E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.4070783E+001, 6.3116987E+001, 3.5283498E-001, 4.5336884E-001
 1.8450241E+003, 3.6959704E+002, 4.8494319E+002, 4.2044203E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.3153451E+001, 6.1795991E+001, 3.3170434E-001, 4.2348333E-001
 1.8600071E+003, 3.5960674E+002, 4.7336582E+002, 4.1342858E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.2275966E+001, 6.0499278E+001, 3.2778450E-001, 3.9986533E-001
