s,null,C,null,null,m,null,%/m,%/m,%/m,%/m,null,null,null,null,null
 2.2501872E+002, 6.1959058E+001, 3.2883269E+001, 2.0189337E+001, 4.5595251E+000, 4.4742098E+000, 6.0999999E+000, 0.0000000E+000, 3.1338322E+001, 4.0882223E+001, 4.7118324E+001, 5.0350224E+001, 0.0000000E+000, 1.5318786E+001, 0.0000000E+000, 7.1310987E+001
 2.4000995E+002, 6.6617832E+001, 3.5130852E+001, 2.1249456E+001, 4.5413286E+000, 4.4149671E+000, 5.8658904E+000, 5.1510822E+000, 3.7335422E+001, 4.5726262E+001, 5.0459834E+001, 5.2409490E+001, 0.0000000E+000, 1.9028510E+001, 0.0000000E+000, 7.4502578E+001
 2.5501017E+002, 7.0208887E+001, 3.6142879E+001, 2.3588142E+001, 4.5115107E+000, 4.1039304E+000, 5.2881842E+000, 1.5393939E+001, 3.9424712E+001, 4.9837689E+001, 5.4321957E+001, 5.4690898E+001, 1.8092735E-002, 2.1813619E+001, 0.0000000E+000, 7.8803738E+001
 2.7000221E+002, 7.3515919E+001, 3.6447171E+001, 2.6257702E+001, 4.4629709E+000, 3.9843774E+000, 4.6130918E+000, 2.2383142E+001, 4.5923462E+001, 5.2477956E+001, 5.6735809E+001, 5.8985579E+001, 1.0991770E+001, 2.9363962E+001, 0.0000000E+000, 8.1230953E+001
 2.8500949E+002, 7.7540723E+001, 3.8580065E+001, 2.7766180E+001, 4.4147172E+000, 3.9673905E+000, 4.7362153E+000, 2.9379354E+001, 4.9227144E+001, 5.5133802E+001, 6.1344578E+001, 6.1725648E+001, 1.9651357E+001, 3.3934292E+001, 0.0000000E+000, 8.1548147E+001
 3.0000693E+002, 8.4733977E+001, 3.9749335E+001, 3.0333551E+001, 4.2903968E+000, 3.7324287E+000, 4.7202744E+000, 3.2293832E+001, 5.3031179E+001, 5.9242030E+001, 6.2604870E+001, 6.2959768E+001, 2.2736820E+001, 3.8618738E+001, 0.0000000E+000, 8.3231957E+001
 3.1500693E+002, 8.7789488E+001, 4.2338890E+001, 3.0879792E+001, 4.1978254E+000, 3.5818282E+000, 4.3337796E+000, 3.6963992E+001, 5.8261757E+001, 6.2028576E+001, 6.5758761E+001, 6.6867761E+001, 2.8226811E+001, 4.3052995E+001, 0.0000000E+000, 8.2267185E+001
 3.3001484E+002, 9.2864376E+001, 4.3545797E+001, 3.2992749E+001, 4.1581556E+000, 3.5968103E+000, 4.3216845E+000, 4.2805836E+001, 6.0286764E+001, 6.4633038E+001, 6.7618083E+001, 6.8419752E+001, 3.5735175E+001, 4.5794679E+001, 0.0000000E+000, 8.4990009E+001
 3.4501127E+002, 9.6903842E+001, 4.5683778E+001, 3.2639677E+001, 4.0477376E+000, 3.4263504E+000, 3.9119902E+000, 4.4660678E+001, 6.1883627E+001, 6.6876388E+001, 6.9895033E+001, 7.1163311E+001, 3.9391135E+001, 5.0499868E+001, 1.7681714E-001, 8.5208531E+001
 3.6000429E+002, 1.0418273E+002, 4.7602687E+001, 3.1274579E+001, 3.9373510E+000, 3.2976384E+000, 3.3361868E+000, 4.9479994E+001, 6.6016661E+001, 7.0441710E+001, 7.2121794E+001, 7.2090935E+001, 4.3918793E+001, 5.5089923E+001, 1.5529655E+000, 8.5849546E+001
 3.7501320E+002, 1.0713181E+002, 5.0485077E+001, 3.4270782E+001, 3.8338942E+000, 3.1448798E+000, 3.3125622E+000, 5.5011547E+001, 6.8965366E+001, 7.1444093E+001, 7.3874103E+001, 7.6118082E+001, 4.9226231E+001, 5.6984935E+001, 2.6583750E+000, 8.6728722E+001
 3.9000347E+002, 1.1651467E+002, 5.3901368E+001, 3.5783183E+001, 3.8675236E+000, 3.1901621E+000, 3.2242839E+000, 5.7898287E+001, 7.1468860E+001, 7.4563124E+001, 7.6105177E+001, 7.6677198E+001, 5.2826138E+001, 6.0582644E+001, 3.3625493E+000, 8.8170588E+001
 4.0500809E+002, 1.2232226E+002, 5.6085939E+001, 3.6184652E+001, 3.7944560E+000, 3.0068714E+000, 2.9685023E+000, 6.1729886E+001, 7.3912772E+001, 7.6973357E+001, 7.7803722E+001, 7.8337410E+001, 5.5259111E+001, 6.4293034E+001, 4.6095384E+000, 8.8735048E+001
 4.2000972E+002, 1.2509309E+002, 5.8358780E+001, 3.6505335E+001, 3.7808031E+000, 2.8421393E+000, 2.7635742E+000, 6.5993049E+001, 7.6836259E+001, 7.8914602E+001, 8.0248836E+001, 8.1513871E+001, 6.1467438E+001, 6.7436392E+001, 7.0423280E+000, 8.9854232E+001
 4.3500622E+002, 1.3054960E+002, 5.9759564E+001, 3.9797696E+001, 3.7241746E+000, 2.8186803E+000, 2.4569124E+000, 6.8601928E+001, 7.8432896E+001, 8.0373617E+001, 8.2499482E+001, 8.2675317E+001, 6.4461964E+001, 7.0692145E+001, 8.1497120E+000, 9.0394255E+001
 4.5000003E+002, 1.3217960E+002, 6.2267906E+001, 4.0241830E+001, 3.6132636E+000, 2.7548399E+000, 2.6275465E+000, 7.0961087E+001, 8.0590086E+001, 8.3503411E+001, 8.3765676E+001, 8.4723832E+001, 6.7374416E+001, 7.3283237E+001, 1.1712111E+001, 9.0809484E+001
 4.6500354E+002, 1.3745223E+002, 6.4213144E+001, 4.0562723E+001, 3.6318380E+000, 2.6095005E+000, 2.2727902E+000, 7.2374493E+001, 8.2795208E+001, 8.4096011E+001, 8.4313717E+001, 8.4870424E+001, 7.0166937E+001, 7.5967459E+001, 1.6413091E+001, 9.0441726E+001
 4.8000613E+002, 1.2995434E+002, 6.7655094E+001, 4.2675479E+001, 3.4383350E+000, 2.6625930E+000, 2.3707809E+000, 7.6347135E+001, 8.4140909E+001, 8.5554742E+001, 8.5362942E+001, 8.5458691E+001, 7.2338711E+001, 7.7943378E+001, 2.0899059E+001, 8.9970367E+001
 4.9500538E+002, 1.3616206E+002, 6.9616451E+001, 4.6309102E+001, 3.5409849E+000, 2.6281310E+000, 2.4215450E+000, 7.8218351E+001, 8.5454164E+001, 8.5436258E+001, 8.5458004E+001, 8.5995044E+001, 7.6615962E+001, 8.0023762E+001, 2.3529734E+001, 9.0995977E+001
 5.1000515E+002, 1.3915319E+002, 6.9295051E+001, 4.8322323E+001, 3.4232159E+000, 2.5123052E+000, 2.4532742E+000, 8.1432900E+001, 8.5878872E+001, 8.6565207E+001, 8.6232335E+001, 8.7469997E+001, 7.9001534E+001, 8.1413119E+001, 2.7809042E+001, 9.2055014E+001
 5.2500198E+002, 1.3914148E+002, 6.9951379E+001, 4.7895284E+001, 3.3874415E+000, 2.3135343E+000, 2.1189378E+000, 8.2408320E+001, 8.6877084E+001, 8.7241841E+001, 8.7600099E+001, 8.8495006E+001, 8.1281860E+001, 8.2992179E+001, 3.2934660E+001, 9.0948600E+001
 5.4000915E+002, 1.4180414E+002, 7.1591346E+001, 5.0404115E+001, 3.4458701E+000, 2.3911692E+000, 2.4067308E+000, 8.3545331E+001, 8.7559912E+001, 8.8434643E+001, 8.8054054E+001, 8.8182225E+001, 8.2626614E+001, 8.4381973E+001, 3.5552028E+001, 9.1448713E+001
 5.5500641E+002, 1.4286592E+002, 7.2779063E+001, 4.9111278E+001, 3.3868235E+000, 2.3208877E+000, 2.2508514E+000, 8.4348448E+001, 8.8415455E+001, 8.8635921E+001, 8.8506502E+001, 8.8831791E+001, 8.3428281E+001, 8.4778293E+001, 3.8713053E+001, 9.2684697E+001
 5.7000999E+002, 1.4355086E+002, 7.3088734E+001, 5.3345298E+001, 3.3653700E+000, 2.2425881E+000, 2.0368675E+000, 8.5607277E+001, 8.8948819E+001, 8.8901179E+001, 8.8932873E+001, 8.9950955E+001, 8.4852170E+001, 8.6370012E+001, 4.2991370E+001, 9.2084535E+001
 5.8500853E+002, 1.4167418E+002, 7.5030393E+001, 5.0472344E+001, 3.2833381E+000, 2.2798078E+000, 2.0019173E+000, 8.6965466E+001, 8.9712451E+001, 9.0011223E+001, 8.9969970E+001, 9.0590786E+001, 8.6584048E+001, 8.7170844E+001, 4.4826256E+001, 9.2664938E+001
 6.0000283E+002, 1.4492124E+002, 7.4863224E+001, 4.9296794E+001, 3.2967251E+000, 2.3059669E+000, 1.8948256E+000, 8.7563945E+001, 9.0592968E+001, 9.0544860E+001, 9.0203478E+001, 9.0071077E+001, 8.7302860E+001, 8.7994674E+001, 4.6577924E+001, 9.2035691E+001
 6.1500772E+002, 1.4308858E+002, 7.5097526E+001, 5.0404267E+001, 3.2770939E+000, 2.1362851E+000, 2.0098569E+000, 8.8407849E+001, 9.1111325E+001, 9.0874439E+001, 9.0637767E+001, 9.0623888E+001, 8.8008993E+001, 8.8895296E+001, 5.2170770E+001, 9.3278540E+001
 6.3000663E+002, 1.4544162E+002, 7.6322041E+001, 5.1821565E+001, 3.3001152E+000, 2.2407440E+000, 1.7971085E+000, 8.9478301E+001, 9.1321749E+001, 9.1592601E+001, 9.1344775E+001, 9.1623414E+001, 8.8670705E+001, 8.9464205E+001, 5.5726926E+001, 9.2779121E+001
 6.4500810E+002, 1.4159742E+002, 7.6047318E+001, 5.2407288E+001, 3.2159827E+000, 2.1279848E+000, 2.0733337E+000, 9.0127438E+001, 9.2029271E+001, 9.1976010E+001, 9.1416114E+001, 9.1977127E+001, 8.9655030E+001, 9.0114636E+001, 5.7023027E+001, 9.3279258E+001
 6.6000344E+002, 1.4550112E+002, 7.7457494E+001, 5.3205093E+001, 3.2494796E+000, 2.1462004E+000, 1.9662518E+000, 9.0712074E+001, 9.2401145E+001, 9.2395491E+001, 9.1975869E+001, 9.2155375E+001, 9.0412145E+001, 9.0643856E+001, 6.0698023E+001, 9.4249348E+001
 6.7501061E+002, 1.4664535E+002, 7.6871100E+001, 5.3750393E+001, 3.2384251E+000, 2.1556280E+000, 1.8896924E+000, 9.0911848E+001, 9.3007212E+001, 9.2951649E+001, 9.2306824E+001, 9.2798575E+001, 9.1017588E+001, 9.1482443E+001, 6.2097573E+001, 9.4195002E+001
 6.9000106E+002, 1.4771502E+002, 7.9438624E+001, 5.2070178E+001, 3.1642072E+000, 2.2024502E+000, 1.8707442E+000, 9.1531599E+001, 9.3296561E+001, 9.3353077E+001, 9.3108932E+001, 9.3055699E+001, 9.1685600E+001, 9.2106434E+001, 6.4216762E+001, 9.4384223E+001
 7.0500760E+002, 1.4781194E+002, 7.8859394E+001, 5.3695005E+001, 3.1944631E+000, 2.1303418E+000, 1.9458295E+000, 9.1776604E+001, 9.3709798E+001, 9.3761713E+001, 9.3086722E+001, 9.3426681E+001, 9.2073429E+001, 9.2618326E+001, 6.6294833E+001, 9.4782088E+001
 7.2000978E+002, 1.4503428E+002, 8.0010876E+001, 5.3316671E+001, 3.1382614E+000, 2.1695676E+000, 1.8144536E+000, 9.2496667E+001, 9.4247274E+001, 9.3937416E+001, 9.3572411E+001, 9.3558139E+001, 9.2513282E+001, 9.2963980E+001, 6.5896125E+001, 9.4416843E+001
 7.3500535E+002, 1.4963869E+002, 7.9386853E+001, 5.5700798E+001, 3.2596076E+000, 2.1106971E+000, 1.8880432E+000, 9.2984507E+001, 9.4333379E+001, 9.4272584E+001, 9.3782269E+001, 9.3715453E+001, 9.3219363E+001, 9.3236434E+001, 6.9653539E+001, 9.5376374E+001
 7.5000195E+002, 1.4712310E+002, 7.9479643E+001, 5.6394802E+001, 3.1084861E+000, 2.1145327E+000, 1.8623787E+000, 9.3451041E+001, 9.4772568E+001, 9.4398469E+001, 9.3975970E+001, 9.3906091E+001, 9.3682580E+001, 9.3939080E+001, 7.2033315E+001, 9.4893548E+001
 7.6500340E+002, 1.5242617E+002, 8.0841224E+001, 5.6569682E+001, 3.1444279E+000, 2.0963821E+000, 2.0202398E+000, 9.3858033E+001, 9.4999645E+001, 9.4759648E+001, 9.4216602E+001, 9.4201606E+001, 9.4216126E+001, 9.4062977E+001, 7.4196469E+001, 9.5565998E+001
 7.8000718E+002, 1.4856560E+002, 8.0920057E+001, 5.6873262E+001, 3.2115269E+000, 2.1026331E+000, 1.9703014E+000, 9.4086144E+001, 9.5087439E+001, 9.4960372E+001, 9.4725508E+001, 9.4490111E+001, 9.4364153E+001, 9.4383156E+001, 7.5656293E+001, 9.5571438E+001
 7.9500055E+002, 1.4942354E+002, 8.0058263E+001, 5.5076514E+001, 3.0922479E+000, 2.1081475E+000, 1.7891112E+000, 9.4301617E+001, 9.5430869E+001, 9.5334048E+001, 9.4904725E+001, 9.4782875E+001, 9.4621527E+001, 9.4858689E+001, 7.5493112E+001, 9.5486823E+001
 8.1000320E+002, 1.5573371E+002, 8.1721733E+001, 5.4321916E+001, 3.2451289E+000, 2.0999714E+000, 1.7026430E+000, 9.4467874E+001, 9.5886351E+001, 9.5517619E+001, 9.5027303E+001, 9.4927414E+001, 9.4937824E+001, 9.5137368E+001, 7.8345519E+001, 9.5680926E+001
 8.2501056E+002, 1.4700832E+002, 8.3131738E+001, 5.3366617E+001, 3.0647960E+000, 2.1003750E+000, 1.6505308E+000, 9.4886295E+001, 9.5934467E+001, 9.5676207E+001, 9.5276989E+001, 9.5143571E+001, 9.5208624E+001, 9.5314446E+001, 7.9435406E+001, 9.5358408E+001
 8.4001267E+002, 1.5083235E+002, 8.0487671E+001, 5.5191824E+001, 3.1288558E+000, 2.0678977E+000, 1.6952394E+000, 9.5078956E+001, 9.6214310E+001, 9.5803074E+001, 9.5339082E+001, 9.5265642E+001, 9.5517799E+001, 9.5587571E+001, 7.9742556E+001, 9.5311460E+001
 8.5500201E+002, 1.4572106E+002, 8.2211219E+001, 5.4748936E+001, 3.0893919E+000, 1.9998467E+000, 1.4746357E+000, 9.5161129E+001, 9.6287656E+001, 9.5893096E+001, 9.5604780E+001, 9.5757313E+001, 9.5856178E+001, 9.5876530E+001, 8.1138194E+001, 9.5941493E+001
 8.7000088E+002, 1.5352420E+002, 8.4020532E+001, 5.5161078E+001, 3.1910717E+000, 2.0715238E+000, 1.8150036E+000, 9.5434414E+001, 9.6300067E+001, 9.6178878E+001, 9.5819624E+001, 9.5694508E+001, 9.6018153E+001, 9.6022117E+001, 8.1915505E+001, 9.5816025E+001
 8.8500764E+002, 1.5234613E+002, 8.2956460E+001, 5.4927746E+001, 3.1401920E+000, 2.1866908E+000, 1.7858296E+000, 9.5554669E+001, 9.6618226E+001, 9.6376042E+001, 9.6028431E+001, 9.5786117E+001, 9.6158602E+001, 9.6236677E+001, 8.3525890E+001, 9.6136793E+001
 9.0000856E+002, 1.5334131E+002, 8.4041487E+001, 5.5087331E+001, 3.1438334E+000, 2.1180679E+000, 1.6467136E+000, 9.5852182E+001, 9.6809802E+001, 9.6630832E+001, 9.6145257E+001, 9.6081683E+001, 9.6360189E+001, 9.6426183E+001, 8.3922520E+001, 9.5877406E+001
 9.1500885E+002, 1.5207122E+002, 8.3235392E+001, 5.5619158E+001, 3.1288508E+000, 2.1496010E+000, 1.7805941E+000, 9.5984418E+001, 9.6976201E+001, 9.6680177E+001, 9.6279268E+001, 9.6142020E+001, 9.6490686E+001, 9.6638150E+001, 8.5185134E+001, 9.6023828E+001
 9.3000237E+002, 1.4686224E+002, 8.1188879E+001, 5.7116414E+001, 3.0855643E+000, 2.0619568E+000, 1.7633703E+000, 9.6312531E+001, 9.7127877E+001, 9.6790272E+001, 9.6351946E+001, 9.6170402E+001, 9.6656145E+001, 9.6782411E+001, 8.6689418E+001, 9.6381072E+001
 9.4500277E+002, 1.4446353E+002, 8.4280240E+001, 5.6072997E+001, 3.0025660E+000, 2.1474246E+000, 1.7713046E+000, 9.6672843E+001, 9.7202932E+001, 9.6893712E+001, 9.6510014E+001, 9.6277068E+001, 9.6911160E+001, 9.6906139E+001, 8.6985610E+001, 9.5813665E+001
 9.6001053E+002, 1.4799363E+002, 8.4081091E+001, 5.5021285E+001, 3.0409519E+000, 2.1608415E+000, 1.5595331E+000, 9.6499607E+001, 9.7330568E+001, 9.6967742E+001, 9.6439126E+001, 9.6255505E+001, 9.7165071E+001, 9.7060179E+001, 8.7750803E+001, 9.5870618E+001
 9.7500999E+002, 1.4457501E+002, 8.3249137E+001, 5.6486412E+001, 3.1490695E+000, 2.0465191E+000, 1.6752793E+000, 9.6726780E+001, 9.7347698E+001, 9.6972804E+001, 9.6520756E+001, 9.6314307E+001, 9.7245862E+001, 9.7167230E+001, 8.8547113E+001, 9.6401481E+001
 9.9000294E+002, 1.3885193E+002, 8.3968949E+001, 5.7072159E+001, 3.0427915E+000, 2.1099166E+000, 1.6915684E+000, 9.6873086E+001, 9.7389803E+001, 9.7002345E+001, 9.6598636E+001, 9.6462075E+001, 9.7319849E+001, 9.7227466E+001, 8.8918130E+001, 9.6402567E+001
 1.0050049E+003, 1.3959826E+002, 8.1447387E+001, 5.5902161E+001, 3.1043439E+000, 1.9728632E+000, 1.6803207E+000, 9.6894715E+001, 9.7400962E+001, 9.7122180E+001, 9.6655845E+001, 9.6458401E+001, 9.7441357E+001, 9.7387342E+001, 8.9668863E+001, 9.6241670E+001
 1.0200100E+003, 1.3512963E+002, 8.1793603E+001, 5.6697431E+001, 3.0588777E+000, 1.9980910E+000, 1.6811213E+000, 9.7133524E+001, 9.7503164E+001, 9.7110616E+001, 9.6688900E+001, 9.6524084E+001, 9.7542422E+001, 9.7393337E+001, 9.0393351E+001, 9.6493539E+001
 1.0350054E+003, 1.3253575E+002, 8.0076508E+001, 5.5015551E+001, 3.0463057E+000, 2.0429595E+000, 1.6410932E+000, 9.7187856E+001, 9.7519080E+001, 9.7168943E+001, 9.6709857E+001, 9.6541005E+001, 9.7617295E+001, 9.7500174E+001, 9.1044121E+001, 9.6231124E+001
 1.0500020E+003, 1.2908810E+002, 7.9261424E+001, 5.4047967E+001, 3.0125389E+000, 2.0265606E+000, 1.5643342E+000, 9.7281169E+001, 9.7576318E+001, 9.7143343E+001, 9.6742122E+001, 9.6462863E+001, 9.7667369E+001, 9.7548119E+001, 9.1518761E+001, 9.6152211E+001
 1.0650001E+003, 1.2375013E+002, 7.9958513E+001, 5.4311826E+001, 2.9065908E+000, 2.0681343E+000, 1.5243194E+000, 9.7339359E+001, 9.7561655E+001, 9.7123425E+001, 9.6655935E+001, 9.6471584E+001, 9.7710742E+001, 9.7586752E+001, 9.2064238E+001, 9.5965528E+001
 1.0800029E+003, 1.2064096E+002, 7.8790317E+001, 5.4875272E+001, 3.0085811E+000, 2.0646373E+000, 1.7772608E+000, 9.7377068E+001, 9.7565025E+001, 9.7070759E+001, 9.6684069E+001, 9.6422890E+001, 9.7778585E+001, 9.7615307E+001, 9.1809535E+001, 9.6444538E+001
 1.0950135E+003, 1.2175322E+002, 7.6905475E+001, 5.4062698E+001, 3.0688071E+000, 2.1051353E+000, 1.7150558E+000, 9.7373901E+001, 9.7568310E+001, 9.7066695E+001, 9.6663626E+001, 9.6511865E+001, 9.7853207E+001, 9.7651997E+001, 9.2164737E+001, 9.6444426E+001
 1.1100081E+003, 1.1771256E+002, 7.5191595E+001, 5.3730824E+001, 2.9449463E+000, 1.9114895E+000, 1.7048809E+000, 9.7465498E+001, 9.7542188E+001, 9.7141145E+001, 9.6778495E+001, 9.6454225E+001, 9.7935975E+001, 9.7665027E+001, 9.2495669E+001, 9.6211712E+001
 1.1250061E+003, 1.1287744E+002, 7.5527243E+001, 5.4501963E+001, 2.9432213E+000, 2.0377922E+000, 1.7979195E+000, 9.7457123E+001, 9.7580905E+001, 9.7197573E+001, 9.6694508E+001, 9.6491916E+001, 9.7864764E+001, 9.7688546E+001, 9.2835200E+001, 9.6207354E+001
 1.1400165E+003, 1.0930780E+002, 7.4063658E+001, 5.3484859E+001, 2.8910717E+000, 1.9452615E+000, 1.6862183E+000, 9.7425971E+001, 9.7591115E+001, 9.7153760E+001, 9.6719830E+001, 9.6591655E+001, 9.7890286E+001, 9.7716964E+001, 9.3055393E+001, 9.6166331E+001
 1.1550003E+003, 1.0648338E+002, 7.2466604E+001, 5.2109912E+001, 2.9479919E+000, 1.9086233E+000, 1.5309450E+000, 9.7481853E+001, 9.7580602E+001, 9.7115567E+001, 9.6641448E+001, 9.6395557E+001, 9.7899537E+001, 9.7731657E+001, 9.3360143E+001, 9.6014900E+001
 1.1700120E+003, 1.0274146E+002, 7.1329059E+001, 5.2643310E+001, 2.8447904E+000, 2.0340285E+000, 1.7091693E+000, 9.7537055E+001, 9.7591062E+001, 9.7077067E+001, 9.6608161E+001, 9.6342024E+001, 9.7947386E+001, 9.7746763E+001, 9.3551846E+001, 9.5947969E+001
 1.1850108E+003, 1.0106238E+002, 7.1805230E+001, 5.1041923E+001, 2.8971614E+000, 2.2125531E+000, 1.6020466E+000, 9.7485057E+001, 9.7522864E+001, 9.6996938E+001, 9.6614407E+001, 9.6397744E+001, 9.7931020E+001, 9.7719633E+001, 9.3770446E+001, 9.5783603E+001
 1.2000043E+003, 9.7706763E+001, 6.9929019E+001, 5.0110242E+001, 2.8934693E+000, 2.0265208E+000, 1.5876488E+000, 9.7553016E+001, 9.7514281E+001, 9.6975391E+001, 9.6479346E+001, 9.6215298E+001, 9.7937943E+001, 9.7693742E+001, 9.3809550E+001, 9.5669018E+001
 1.2150039E+003, 9.3730356E+001, 6.7854471E+001, 5.1017159E+001, 2.8387933E+000, 1.9524287E+000, 1.6683537E+000, 9.7534222E+001, 9.7475354E+001, 9.6935492E+001, 9.6461908E+001, 9.6183000E+001, 9.7946752E+001, 9.7670673E+001, 9.4131205E+001, 9.5451599E+001
 1.2300163E+003, 9.0076528E+001, 6.5829864E+001, 4.9297679E+001, 2.7271436E+000, 1.9486030E+000, 1.6194626E+000, 9.7645866E+001, 9.7467382E+001, 9.6871558E+001, 9.6321824E+001, 9.6117018E+001, 9.7913229E+001, 9.7617711E+001, 9.4199921E+001, 9.5585128E+001
 1.2450230E+003, 8.6955158E+001, 6.5733314E+001, 4.9109119E+001, 2.7933187E+000, 1.9133301E+000, 1.6558687E+000, 9.7653501E+001, 9.7454013E+001, 9.6771658E+001, 9.6399701E+001, 9.6234695E+001, 9.7970835E+001, 9.7638257E+001, 9.4343789E+001, 9.5485837E+001
 1.2600201E+003, 8.3000681E+001, 6.4401320E+001, 4.7748943E+001, 2.7935070E+000, 2.0204789E+000, 1.5657119E+000, 9.7618543E+001, 9.7369609E+001, 9.6792167E+001, 9.6299351E+001, 9.6203495E+001, 9.7967790E+001, 9.7625613E+001, 9.4105931E+001, 9.5189413E+001
