s,kg/m3,kg/m3,kg/m3
 2.9250000E+001, 1.1731039E-005, 1.4302939E-003, 9.9855798E-001
 2.9500000E+001, 1.0641896E-005, 1.3405490E-003, 9.9864881E-001
 2.9750000E+001, 9.6538711E-006, 1.2564036E-003, 9.9873394E-001
 3.0000000E+001, 8.7575776E-006, 1.1775112E-003, 9.9881373E-001
 3.0250000E+001, 7.9444987E-006, 1.1035466E-003, 9.9888851E-001
 3.0500000E+001, 7.2069083E-006, 1.0342045E-003, 9.9895859E-001
 3.0750000E+001, 6.5377980E-006, 9.6919811E-004, 9.9902426E-001
 3.1000000E+001, 5.9308098E-006, 9.0825843E-004, 9.9908581E-001
 3.1250000E+001, 5.3801762E-006, 8.5113285E-004, 9.9914349E-001
 3.1500000E+001, 4.8806650E-006, 7.9758429E-004, 9.9919754E-001
 3.1750000E+001, 4.4275299E-006, 7.4739027E-004, 9.9924818E-001
 3.2000000E+001, 4.0164651E-006, 7.0034199E-004, 9.9929564E-001
 3.2250000E+001, 3.6435648E-006, 6.5624353E-004, 9.9934011E-001
 3.2500000E+001, 3.3052857E-006, 6.1491106E-004, 9.9938178E-001
 3.2750000E+001, 2.9984133E-006, 5.7617208E-004, 9.9942083E-001
 3.3000000E+001, 2.7200319E-006, 5.3986479E-004, 9.9945742E-001
 3.3250000E+001, 2.4674963E-006, 5.0583737E-004, 9.9949170E-001
 3.3500000E+001, 2.2384067E-006, 4.7394741E-004, 9.9952381E-001
 3.3750000E+001, 2.0305865E-006, 4.4406132E-004, 9.9955391E-001
 3.4000000E+001, 1.8420610E-006, 4.1605380E-004, 9.9958210E-001
 3.4250000E+001, 1.6710387E-006, 3.8980733E-004, 9.9960852E-001
 3.4500000E+001, 1.5158946E-006, 3.6521168E-004, 9.9963327E-001
 3.4750000E+001, 1.3751545E-006, 3.4216349E-004, 9.9965646E-001
 3.5000000E+001, 1.2474812E-006, 3.2056580E-004, 9.9967819E-001
 3.5250000E+001, 1.1316614E-006, 3.0032771E-004, 9.9969854E-001
 3.5500000E+001, 1.0265947E-006, 2.8136398E-004, 9.9971761E-001
 3.5750000E+001, 9.3128265E-007, 2.6359467E-004, 9.9973547E-001
 3.6000000E+001, 8.4481966E-007, 2.4694483E-004, 9.9975221E-001
 3.6250000E+001, 7.6638414E-007, 2.3134419E-004, 9.9976789E-001
 3.6500000E+001, 6.9523081E-007, 2.1672687E-004, 9.9978258E-001
 3.6750000E+001, 6.3068356E-007, 2.0303109E-004, 9.9979634E-001
 3.7000000E+001, 5.7212907E-007, 1.9019896E-004, 9.9980923E-001
 3.7250000E+001, 5.1901094E-007, 1.7817617E-004, 9.9982130E-001
 3.7500000E+001, 4.7082446E-007, 1.6691184E-004, 9.9983262E-001
 3.7750000E+001, 4.2711175E-007, 1.5635827E-004, 9.9984321E-001
 3.8000000E+001, 3.8745745E-007, 1.4647073E-004, 9.9985314E-001
 3.8250000E+001, 3.5148477E-007, 1.3720731E-004, 9.9986244E-001
 3.8500000E+001, 3.1885191E-007, 1.2852871E-004, 9.9987115E-001
 3.8750000E+001, 2.8924877E-007, 1.2039813E-004, 9.9987931E-001
 3.9000000E+001, 2.6239407E-007, 1.1278102E-004, 9.9988696E-001
 3.9250000E+001, 2.3803264E-007, 1.0564505E-004, 9.9989412E-001
 3.9500000E+001, 2.1593300E-007, 9.8959904E-005, 9.9990082E-001
 3.9750000E+001, 1.9588515E-007, 9.2697154E-005, 9.9990711E-001
 4.0000000E+001, 1.7769861E-007, 8.6830175E-005, 9.9991299E-001
 4.0250000E+001, 1.6120055E-007, 8.1334008E-005, 9.9991850E-001
 4.0500000E+001, 1.4623422E-007, 7.6185266E-005, 9.9992367E-001
 4.0750000E+001, 1.3265741E-007, 7.1362032E-005, 9.9992851E-001
 4.1000000E+001, 1.2034111E-007, 6.6843765E-005, 9.9993304E-001
 4.1250000E+001, 1.0916829E-007, 6.2611220E-005, 9.9993728E-001
 4.1500000E+001, 9.9032792E-008, 5.8646361E-005, 9.9994125E-001
 4.1750000E+001, 8.9838300E-008, 5.4932288E-005, 9.9994498E-001
 4.2000000E+001, 8.1497451E-008, 5.1453164E-005, 9.9994847E-001
 4.2250000E+001, 7.3930991E-008, 4.8194153E-005, 9.9995173E-001
 4.2500000E+001, 6.7067023E-008, 4.5141349E-005, 9.9995479E-001
 4.2750000E+001, 6.0840325E-008, 4.2281727E-005, 9.9995766E-001
 4.3000000E+001, 5.5191733E-008, 3.9603078E-005, 9.9996034E-001
 4.3259998E+001, 4.9971708E-008, 3.7045979E-005, 9.9996290E-001
 4.3509998E+001, 4.5242472E-008, 3.4652828E-005, 9.9996530E-001
 4.3759998E+001, 4.1042030E-008, 3.2457074E-005, 9.9996750E-001
 4.4009998E+001, 3.7231568E-008, 3.0400333E-005, 9.9996956E-001
 4.4259998E+001, 3.3774881E-008, 2.8473815E-005, 9.9997149E-001
 4.4509998E+001, 3.0639123E-008, 2.6669285E-005, 9.9997330E-001
 4.4759998E+001, 2.7794498E-008, 2.4979029E-005, 9.9997499E-001
 4.5009998E+001, 2.5213976E-008, 2.3395817E-005, 9.9997658E-001
 4.5259998E+001, 2.2873037E-008, 2.1912878E-005, 9.9997806E-001
 4.5509998E+001, 2.0749438E-008, 2.0523868E-005, 9.9997946E-001
 4.5759998E+001, 1.8823000E-008, 1.9222844E-005, 9.9998076E-001
 4.6009998E+001, 1.7075418E-008, 1.8004239E-005, 9.9998198E-001
 4.6259998E+001, 1.5490086E-008, 1.6862835E-005, 9.9998312E-001
 4.6509998E+001, 1.4051942E-008, 1.5793747E-005, 9.9998419E-001
 4.6759998E+001, 1.2747319E-008, 1.4792397E-005, 9.9998519E-001
 4.7009998E+001, 1.1563820E-008, 1.3854498E-005, 9.9998613E-001
 4.7259998E+001, 1.0490202E-008, 1.2976032E-005, 9.9998701E-001
 4.7509998E+001, 9.5162609E-009, 1.2153235E-005, 9.9998784E-001
 4.7759998E+001, 8.6327436E-009, 1.1382584E-005, 9.9998861E-001
 4.8009998E+001, 7.8312546E-009, 1.0660775E-005, 9.9998933E-001
 4.8259998E+001, 7.1041781E-009, 9.9847160E-006, 9.9999001E-001
 4.8509998E+001, 6.4446056E-009, 9.3515089E-006, 9.9999064E-001
 4.8759998E+001, 5.8462697E-009, 8.7584396E-006, 9.9999124E-001
 4.9009998E+001, 5.3034850E-009, 8.2029655E-006, 9.9999179E-001
 4.9259998E+001, 4.8110940E-009, 7.6827050E-006, 9.9999231E-001
 4.9509998E+001, 4.3644181E-009, 7.1954273E-006, 9.9999280E-001
 4.9759998E+001, 3.9592128E-009, 6.7390425E-006, 9.9999326E-001
 5.0009998E+001, 3.5916280E-009, 6.3115935E-006, 9.9999368E-001
