s,kW/m2,C,kg/m2/s
 2.4000000E+001, 3.6050344E+001, 4.3643810E+002, 1.1475402E-002
 2.4600000E+001, 3.5645545E+001, 4.4139089E+002, 1.1340188E-002
 2.5200001E+001, 3.5188812E+001, 4.4685621E+002, 1.1062382E-002
 2.5799999E+001, 3.4691792E+001, 4.5266123E+002, 1.0671433E-002
 2.6400000E+001, 3.4188155E+001, 4.5839769E+002, 1.0247011E-002
 2.7000000E+001, 3.3724636E+001, 4.6355346E+002, 9.9254911E-003
 2.7600000E+001, 3.3331739E+001, 4.6783697E+002, 9.8073125E-003
 2.8200001E+001, 3.3003379E+001, 4.7136210E+002, 9.8644541E-003
 2.8799999E+001, 3.2710726E+001, 4.7446613E+002, 9.9819821E-003
 2.9400000E+001, 3.2424907E+001, 4.7746467E+002, 1.0062218E-002
 3.0000000E+001, 3.2126552E+001, 4.8055864E+002, 1.0062965E-002
 3.0600000E+001, 3.1805756E+001, 4.8384413E+002, 9.9772859E-003
 3.1200001E+001, 3.1460716E+001, 4.8733011E+002, 9.8098333E-003
 3.1799999E+001, 3.1097150E+001, 4.9095070E+002, 9.5758133E-003
 3.2400002E+001, 3.0727968E+001, 4.9457311E+002, 9.3102485E-003
 3.3000000E+001, 3.0370985E+001, 4.9802450E+002, 9.0662140E-003
 3.3599998E+001, 3.0043128E+001, 5.0115249E+002, 8.8941593E-003
 3.4200001E+001, 2.9752214E+001, 5.0389549E+002, 8.8143131E-003
 3.4799999E+001, 2.9494482E+001, 5.0630229E+002, 8.8081602E-003
 3.5400002E+001, 2.9258174E+001, 5.0849128E+002, 8.8361718E-003
 3.6000000E+001, 2.9029973E+001, 5.1058968E+002, 8.8609694E-003
 3.6599998E+001, 2.8799360E+001, 5.1269429E+002, 8.8577847E-003
 3.7200001E+001, 2.8560150E+001, 5.1486014E+002, 8.8134681E-003
 3.7799999E+001, 2.8310135E+001, 5.1710478E+002, 8.7236341E-003
 3.8400002E+001, 2.8050513E+001, 5.1941508E+002, 8.5926695E-003
 3.9000000E+001, 2.7785175E+001, 5.2175474E+002, 8.4340193E-003
 3.9599998E+001, 2.7520409E+001, 5.2406830E+002, 8.2680781E-003
 4.0200001E+001, 2.7263630E+001, 5.2629184E+002, 8.1171742E-003
 4.0799999E+001, 2.7021593E+001, 5.2837000E+002, 7.9991995E-003
 4.1400002E+001, 2.6798137E+001, 5.3027401E+002, 7.9225079E-003
 4.2000000E+001, 2.6593005E+001, 5.3201018E+002, 7.8843692E-003
 4.2599998E+001, 2.6402320E+001, 5.3361450E+002, 7.8733727E-003
 4.3209999E+001, 2.6218942E+001, 5.3514871E+002, 7.8741105E-003
 4.3810001E+001, 2.6039040E+001, 5.3664684E+002, 7.8713091E-003
 4.4410000E+001, 2.5859703E+001, 5.3813198E+002, 7.8529662E-003
 4.5009998E+001, 2.5676952E+001, 5.3963736E+002, 7.8120354E-003
 4.5610001E+001, 2.5489820E+001, 5.4117020E+002, 7.7469530E-003
 4.6209999E+001, 2.5298654E+001, 5.4272694E+002, 7.6610104E-003
 4.6810001E+001, 2.5105153E+001, 5.4429374E+002, 7.5611284E-003
 4.7410000E+001, 2.4911797E+001, 5.4584953E+002, 7.4560908E-003
 4.8009998E+001, 2.4721934E+001, 5.4736862E+002, 7.3550819E-003
 4.8610001E+001, 2.4538655E+001, 5.4882653E+002, 7.2663689E-003
 4.9209999E+001, 2.4364308E+001, 5.5020594E+002, 7.1958327E-003
 4.9810001E+001, 2.4199813E+001, 5.5150107E+002, 7.1459227E-003
 5.0410000E+001, 2.4044588E+001, 5.5271771E+002, 7.1149835E-003
 5.1009998E+001, 2.3896908E+001, 5.5387042E+002, 7.0978876E-003
 5.1610001E+001, 2.3754434E+001, 5.5497828E+002, 7.0873711E-003
 5.2209999E+001, 2.3614793E+001, 5.5605977E+002, 7.0760097E-003
 5.2810001E+001, 2.3476008E+001, 5.5713098E+002, 7.0577272E-003
 5.3410000E+001, 2.3336646E+001, 5.5820283E+002, 7.0287554E-003
 5.4009998E+001, 2.3195723E+001, 5.5928223E+002, 6.9877608E-003
 5.4610001E+001, 2.3053111E+001, 5.6037029E+002, 6.9354494E-003
 5.5209999E+001, 2.2909214E+001, 5.6146388E+002, 6.8741173E-003
 5.5810001E+001, 2.2764993E+001, 5.6255555E+002, 6.8070830E-003
 5.6410000E+001, 2.2621775E+001, 5.6363516E+002, 6.7383859E-003
 5.7009998E+001, 2.2481018E+001, 5.6469195E+002, 6.6723136E-003
 5.7610001E+001, 2.2344055E+001, 5.6571625E+002, 6.6128172E-003
 5.8209999E+001, 2.2211874E+001, 5.6670117E+002, 6.5627871E-003
 5.8810001E+001, 2.2084944E+001, 5.6764369E+002, 6.5234512E-003
 5.9410000E+001, 2.1963114E+001, 5.6854527E+002, 6.4942544E-003
 6.0009998E+001, 2.1845883E+001, 5.6941028E+002, 6.4730462E-003
 6.0610001E+001, 2.1732339E+001, 5.7024568E+002, 6.4567198E-003
 6.1209999E+001, 2.1621403E+001, 5.7105944E+002, 6.4419095E-003
 6.1810001E+001, 2.1512086E+001, 5.7185937E+002, 6.4256073E-003
 6.2410000E+001, 2.1403411E+001, 5.7265230E+002, 6.4054845E-003
 6.3009998E+001, 2.1294735E+001, 5.7344313E+002, 6.3800645E-003
 6.3610001E+001, 2.1185629E+001, 5.7423490E+002, 6.3487011E-003
 6.4209999E+001, 2.1076027E+001, 5.7502802E+002, 6.3115614E-003
 6.4809998E+001, 2.0966114E+001, 5.7582111E+002, 6.2695896E-003
 6.5410004E+001, 2.0856320E+001, 5.7661111E+002, 6.2243352E-003
 6.6010002E+001, 2.0747243E+001, 5.7739371E+002, 6.1778429E-003
 6.6610001E+001, 2.0639491E+001, 5.7816449E+002, 6.1322711E-003
 6.7209999E+001, 2.0533718E+001, 5.7891919E+002, 6.0896185E-003
 6.7809998E+001, 2.0430423E+001, 5.7965410E+002, 6.0513870E-003
 6.8410004E+001, 2.0329933E+001, 5.8036725E+002, 6.0184075E-003
 6.9010002E+001, 2.0232420E+001, 5.8105759E+002, 5.9907958E-003
 6.9610001E+001, 2.0137774E+001, 5.8172609E+002, 5.9680075E-003
 7.0209999E+001, 2.0045694E+001, 5.8237491E+002, 5.9490099E-003
 7.0809998E+001, 1.9955797E+001, 5.8300702E+002, 5.9324550E-003
 7.1410004E+001, 1.9867565E+001, 5.8362606E+002, 5.9169265E-003
 7.2010002E+001, 1.9780496E+001, 5.8423573E+002, 5.9010122E-003
 7.2599998E+001, 1.9694878E+001, 5.8483419E+002, 5.8836692E-003
 7.3199997E+001, 1.9609553E+001, 5.8542897E+002, 5.8638847E-003
 7.3800003E+001, 1.9523679E+001, 5.8602663E+002, 5.8409737E-003
 7.4400002E+001, 1.9437798E+001, 5.8662306E+002, 5.8150014E-003
 7.5000000E+001, 1.9351979E+001, 5.8721785E+002, 5.7862707E-003
 7.5599998E+001, 1.9266341E+001, 5.8781008E+002, 5.7554700E-003
 7.6199997E+001, 1.9181098E+001, 5.8839834E+002, 5.7235005E-003
 7.6800003E+001, 1.9096520E+001, 5.8898079E+002, 5.6913511E-003
 7.7400002E+001, 1.9012954E+001, 5.8955507E+002, 5.6600108E-003
 7.8000000E+001, 1.8930623E+001, 5.9011970E+002, 5.6303070E-003
 7.8599998E+001, 1.8849796E+001, 5.9067295E+002, 5.6028843E-003
 7.9199997E+001, 1.8770634E+001, 5.9121378E+002, 5.5781235E-003
 7.9800003E+001, 1.8693225E+001, 5.9174161E+002, 5.5561359E-003
 8.0400002E+001, 1.8617499E+001, 5.9225696E+002, 5.5367610E-003
 8.1000000E+001, 1.8543372E+001, 5.9276061E+002, 5.5196206E-003
 8.1599998E+001, 1.8470654E+001, 5.9325384E+002, 5.5041271E-003
 8.2199997E+001, 1.8399111E+001, 5.9373829E+002, 5.4895959E-003
 8.2800003E+001, 1.8328514E+001, 5.9421557E+002, 5.4753157E-003
 8.3400002E+001, 1.8258612E+001, 5.9468744E+002, 5.4606111E-003
 8.4000000E+001, 1.8189232E+001, 5.9515501E+002, 5.4449649E-003
 8.4599998E+001, 1.8120176E+001, 5.9561969E+002, 5.4279914E-003
 8.5199997E+001, 1.8051385E+001, 5.9608190E+002, 5.4095444E-003
 8.5800003E+001, 1.7982787E+001, 5.9654207E+002, 5.3896185E-003
 8.6400002E+001, 1.7914392E+001, 5.9700013E+002, 5.3684026E-003
 8.7000000E+001, 1.7846259E+001, 5.9745572E+002, 5.3462123E-003
 8.7599998E+001, 1.7778518E+001, 5.9790796E+002, 5.3234414E-003
 8.8199997E+001, 1.7711288E+001, 5.9835607E+002, 5.3005400E-003
 8.8800003E+001, 1.7644692E+001, 5.9879916E+002, 5.2779692E-003
 8.9400002E+001, 1.7578887E+001, 5.9923635E+002, 5.2561496E-003
 9.0000000E+001, 1.7513993E+001, 5.9966682E+002, 5.2354512E-003
 9.0599998E+001, 1.7450099E+001, 6.0009004E+002, 5.2161218E-003
 9.1199997E+001, 1.7387253E+001, 6.0050570E+002, 5.1983015E-003
 9.1800003E+001, 1.7325448E+001, 6.0091392E+002, 5.1819833E-003
 9.2400002E+001, 1.7264698E+001, 6.0131470E+002, 5.1670192E-003
 9.3000000E+001, 1.7204859E+001, 6.0170892E+002, 5.1531988E-003
 9.3599998E+001, 1.7145895E+001, 6.0209679E+002, 5.1402050E-003
 9.4199997E+001, 1.7087661E+001, 6.0247949E+002, 5.1276934E-003
 9.4800003E+001, 1.7030049E+001, 6.0285751E+002, 5.1153266E-003
 9.5400002E+001, 1.6972975E+001, 6.0323163E+002, 5.1028194E-003
 9.6000000E+001, 1.6916280E+001, 6.0360276E+002, 5.0898992E-003
 9.6599998E+001, 1.6859912E+001, 6.0397123E+002, 5.0763910E-003
 9.7199997E+001, 1.6803819E+001, 6.0433752E+002, 5.0621936E-003
 9.7800003E+001, 1.6747962E+001, 6.0470182E+002, 5.0472753E-003
 9.8400002E+001, 1.6692356E+001, 6.0506399E+002, 5.0316900E-003
 9.9000000E+001, 1.6637005E+001, 6.0542404E+002, 5.0155659E-003
 9.9599998E+001, 1.6581958E+001, 6.0578175E+002, 4.9990674E-003
 1.0020000E+002, 1.6527269E+001, 6.0613662E+002, 4.9824183E-003
 1.0080000E+002, 1.6473025E+001, 6.0648812E+002, 4.9658504E-003
 1.0140000E+002, 1.6419269E+001, 6.0683610E+002, 4.9495960E-003
 1.0200000E+002, 1.6366068E+001, 6.0718006E+002, 4.9338660E-003
 1.0260000E+002, 1.6313483E+001, 6.0751963E+002, 4.9188083E-003
 1.0320000E+002, 1.6261541E+001, 6.0785465E+002, 4.9045495E-003
 1.0380000E+002, 1.6210281E+001, 6.0818493E+002, 4.8911269E-003
 1.0440000E+002, 1.6159669E+001, 6.0851063E+002, 4.8785246E-003
 1.0500000E+002, 1.6109715E+001, 6.0883175E+002, 4.8666758E-003
 1.0560000E+002, 1.6060364E+001, 6.0914867E+002, 4.8554694E-003
 1.0620000E+002, 1.6011584E+001, 6.0946153E+002, 4.8447705E-003
 1.0680000E+002, 1.5963294E+001, 6.0977093E+002, 4.8344154E-003
 1.0740000E+002, 1.5915454E+001, 6.1007713E+002, 4.8242471E-003
 1.0800000E+002, 1.5868014E+001, 6.1038050E+002, 4.8140977E-003
 1.0860000E+002, 1.5820896E+001, 6.1068148E+002, 4.8038305E-003
 1.0920000E+002, 1.5774072E+001, 6.1098032E+002, 4.7933224E-003
 1.0980000E+002, 1.5727495E+001, 6.1127721E+002, 4.7825108E-003
 1.1040000E+002, 1.5681162E+001, 6.1157237E+002, 4.7713558E-003
 1.1100000E+002, 1.5635043E+001, 6.1186581E+002, 4.7598587E-003
 1.1160000E+002, 1.5589166E+001, 6.1215749E+002, 4.7480557E-003
 1.1220000E+002, 1.5543526E+001, 6.1244733E+002, 4.7360338E-003
 1.1280000E+002, 1.5498161E+001, 6.1273515E+002, 4.7238864E-003
 1.1340000E+002, 1.5453075E+001, 6.1302094E+002, 4.7117221E-003
 1.1400000E+002, 1.5408319E+001, 6.1330435E+002, 4.6996594E-003
 1.1460000E+002, 1.5363932E+001, 6.1358515E+002, 4.6878097E-003
 1.1520000E+002, 1.5319953E+001, 6.1386313E+002, 4.6762653E-003
 1.1580000E+002, 1.5276366E+001, 6.1413835E+002, 4.6651163E-003
 1.1640000E+002, 1.5233211E+001, 6.1441058E+002, 4.6544176E-003
 1.1700000E+002, 1.5190513E+001, 6.1467974E+002, 4.6442001E-003
 1.1760000E+002, 1.5148248E+001, 6.1494585E+002, 4.6344563E-003
 1.1820000E+002, 1.5106392E+001, 6.1520918E+002, 4.6251712E-003
 1.1880000E+002, 1.5064972E+001, 6.1546953E+002, 4.6162877E-003
 1.1940000E+002, 1.5023933E+001, 6.1572721E+002, 4.6077429E-003
 1.2000000E+002, 1.4983228E+001, 6.1598261E+002, 4.5994486E-003
 1.2060000E+002, 1.4942891E+001, 6.1623544E+002, 4.5913263E-003
 1.2120000E+002, 1.4902825E+001, 6.1648637E+002, 4.5832843E-003
 1.2180000E+002, 1.4863033E+001, 6.1673537E+002, 4.5752514E-003
 1.2240000E+002, 1.4823496E+001, 6.1698257E+002, 4.5671524E-003
 1.2300000E+002, 1.4784155E+001, 6.1722837E+002, 4.5589436E-003
 1.2360000E+002, 1.4745057E+001, 6.1747240E+002, 4.5505876E-003
 1.2420000E+002, 1.4706109E+001, 6.1771537E+002, 4.5420760E-003
 1.2480000E+002, 1.4667416E+001, 6.1795658E+002, 4.5334152E-003
 1.2540000E+002, 1.4628859E+001, 6.1819672E+002, 4.5246267E-003
 1.2600000E+002, 1.4590567E+001, 6.1843505E+002, 4.5157387E-003
 1.2660000E+002, 1.4552441E+001, 6.1867212E+002, 4.5068136E-003
 1.2720000E+002, 1.4514601E+001, 6.1890727E+002, 4.4979066E-003
 1.2780000E+002, 1.4476953E+001, 6.1914099E+002, 4.4890710E-003
 1.2839999E+002, 1.4439617E+001, 6.1937263E+002, 4.4803726E-003
 1.2900000E+002, 1.4402508E+001, 6.1960264E+002, 4.4718579E-003
 1.2960001E+002, 1.4365761E+001, 6.1983026E+002, 4.4635790E-003
 1.3020000E+002, 1.4329246E+001, 6.2005623E+002, 4.4555624E-003
 1.3080000E+002, 1.4293064E+001, 6.2027998E+002, 4.4478274E-003
 1.3139999E+002, 1.4257178E+001, 6.2050177E+002, 4.4403761E-003
 1.3200000E+002, 1.4221577E+001, 6.2072156E+002, 4.4331997E-003
 1.3260001E+002, 1.4186290E+001, 6.2093930E+002, 4.4262787E-003
 1.3320000E+002, 1.4151252E+001, 6.2115538E+002, 4.4195769E-003
 1.3380000E+002, 1.4116494E+001, 6.2136949E+002, 4.4130527E-003
 1.3439999E+002, 1.4081983E+001, 6.2158201E+002, 4.4066683E-003
 1.3500000E+002, 1.4047678E+001, 6.2179307E+002, 4.4003820E-003
 1.3560001E+002, 1.4013617E+001, 6.2200246E+002, 4.3941389E-003
 1.3620000E+002, 1.3979723E+001, 6.2221068E+002, 4.3879050E-003
 1.3680000E+002, 1.3946039E+001, 6.2241749E+002, 4.3816436E-003
 1.3739999E+002, 1.3912510E+001, 6.2262321E+002, 4.3753357E-003
 1.3800000E+002, 1.3879185E+001, 6.2282756E+002, 4.3689625E-003
 1.3860001E+002, 1.3845991E+001, 6.2303096E+002, 4.3625140E-003
 1.3920000E+002, 1.3812955E+001, 6.2323326E+002, 4.3560037E-003
 1.3980000E+002, 1.3780137E+001, 6.2343409E+002, 4.3494410E-003
 1.4039999E+002, 1.3747428E+001, 6.2363413E+002, 4.3428434E-003
 1.4100000E+002, 1.3714923E+001, 6.2383278E+002, 4.3362395E-003
 1.4160001E+002, 1.3682593E+001, 6.2403025E+002, 4.3296547E-003
 1.4220000E+002, 1.3650485E+001, 6.2422619E+002, 4.3231289E-003
 1.4280000E+002, 1.3618523E+001, 6.2442111E+002, 4.3166889E-003
 1.4339999E+002, 1.3586803E+001, 6.2461447E+002, 4.3103590E-003
 1.4400000E+002, 1.3555263E+001, 6.2480657E+002, 4.3041675E-003
 1.4460001E+002, 1.3523992E+001, 6.2499687E+002, 4.2981305E-003
 1.4520000E+002, 1.3492888E+001, 6.2518608E+002, 4.2922518E-003
 1.4580000E+002, 1.3462020E+001, 6.2537371E+002, 4.2865425E-003
 1.4639999E+002, 1.3431355E+001, 6.2556001E+002, 4.2809991E-003
 1.4700000E+002, 1.3400902E+001, 6.2574490E+002, 4.2756097E-003
 1.4760001E+002, 1.3370668E+001, 6.2592835E+002, 4.2703649E-003
 1.4820000E+002, 1.3340628E+001, 6.2611056E+002, 4.2652387E-003
 1.4880000E+002, 1.3310770E+001, 6.2629154E+002, 4.2602092E-003
 1.4939999E+002, 1.3281065E+001, 6.2647147E+002, 4.2552524E-003
 1.5000000E+002, 1.3251551E+001, 6.2665012E+002, 4.2503441E-003
 1.5060001E+002, 1.3222193E+001, 6.2682778E+002, 4.2454589E-003
 1.5120000E+002, 1.3192972E+001, 6.2700446E+002, 4.2405830E-003
 1.5180000E+002, 1.3163925E+001, 6.2717993E+002, 4.2356961E-003
 1.5239999E+002, 1.3135013E+001, 6.2735456E+002, 4.2307851E-003
 1.5300000E+002, 1.3106225E+001, 6.2752832E+002, 4.2258463E-003
 1.5360001E+002, 1.3077590E+001, 6.2770106E+002, 4.2208760E-003
 1.5420000E+002, 1.3049084E+001, 6.2787295E+002, 4.2158798E-003
 1.5480000E+002, 1.3020695E+001, 6.2804397E+002, 4.2108634E-003
 1.5539999E+002, 1.2992487E+001, 6.2821388E+002, 4.2058385E-003
 1.5600000E+002, 1.2964397E+001, 6.2838293E+002, 4.2008220E-003
 1.5660001E+002, 1.2936445E+001, 6.2855106E+002, 4.1958268E-003
 1.5720000E+002, 1.2908671E+001, 6.2871804E+002, 4.1908669E-003
 1.5780000E+002, 1.2881034E+001, 6.2888412E+002, 4.1859612E-003
 1.5839999E+002, 1.2853558E+001, 6.2904911E+002, 4.1811213E-003
 1.5900000E+002, 1.2826228E+001, 6.2921311E+002, 4.1763673E-003
 1.5960001E+002, 1.2799091E+001, 6.2937587E+002, 4.1717033E-003
 1.6020000E+002, 1.2772093E+001, 6.2953776E+002, 4.1671344E-003
 1.6081000E+002, 1.2745035E+001, 6.2969983E+002, 4.1626265E-003
 1.6141000E+002, 1.2718139E+001, 6.2986094E+002, 4.1582168E-003
 1.6200999E+002, 1.2691638E+001, 6.3001957E+002, 4.1539390E-003
 1.6261000E+002, 1.2665287E+001, 6.3017725E+002, 4.1497460E-003
 1.6321001E+002, 1.2639058E+001, 6.3033406E+002, 4.1456275E-003
 1.6381000E+002, 1.2612993E+001, 6.3048985E+002, 4.1415687E-003
 1.6441000E+002, 1.2587063E+001, 6.3064473E+002, 4.1375647E-003
 1.6500999E+002, 1.2561281E+001, 6.3079868E+002, 4.1335955E-003
 1.6561000E+002, 1.2535604E+001, 6.3095188E+002, 4.1296516E-003
 1.6621001E+002, 1.2510061E+001, 6.3110422E+002, 4.1257237E-003
 1.6681000E+002, 1.2484634E+001, 6.3125578E+002, 4.1218004E-003
 1.6741000E+002, 1.2459325E+001, 6.3140658E+002, 4.1178770E-003
 1.6800999E+002, 1.2434147E+001, 6.3155648E+002, 4.1139457E-003
 1.6861000E+002, 1.2409074E+001, 6.3170573E+002, 4.1100027E-003
 1.6921001E+002, 1.2384100E+001, 6.3185429E+002, 4.1060541E-003
 1.6981000E+002, 1.2359256E+001, 6.3200201E+002, 4.1021015E-003
 1.7041000E+002, 1.2334523E+001, 6.3214904E+002, 4.0981468E-003
 1.7100999E+002, 1.2309892E+001, 6.3229535E+002, 4.0942019E-003
 1.7161000E+002, 1.2285403E+001, 6.3244079E+002, 4.0902717E-003
 1.7221001E+002, 1.2261019E+001, 6.3258550E+002, 4.0863663E-003
 1.7281000E+002, 1.2236760E+001, 6.3272940E+002, 4.0824919E-003
 1.7341000E+002, 1.2212622E+001, 6.3287251E+002, 4.0786627E-003
 1.7400999E+002, 1.2188606E+001, 6.3301483E+002, 4.0748801E-003
 1.7461000E+002, 1.2164709E+001, 6.3315640E+002, 4.0711545E-003
 1.7521001E+002, 1.2140964E+001, 6.3329695E+002, 4.0674889E-003
 1.7581000E+002, 1.2117319E+001, 6.3343691E+002, 4.0638893E-003
 1.7641000E+002, 1.2093794E+001, 6.3357607E+002, 4.0603518E-003
 1.7700999E+002, 1.2070393E+001, 6.3371447E+002, 4.0568815E-003
 1.7761000E+002, 1.2047125E+001, 6.3385201E+002, 4.0534723E-003
 1.7821001E+002, 1.2023955E+001, 6.3398891E+002, 4.0501231E-003
 1.7881000E+002, 1.2000910E+001, 6.3412500E+002, 4.0468314E-003
 1.7941000E+002, 1.1977965E+001, 6.3426045E+002, 4.0435887E-003
 1.8000999E+002, 1.1955164E+001, 6.3439496E+002, 4.0403897E-003
 1.8061000E+002, 1.1932439E+001, 6.3452893E+002, 4.0372259E-003
 1.8121001E+002, 1.1909808E+001, 6.3466233E+002, 4.0340950E-003
 1.8181000E+002, 1.1887283E+001, 6.3479500E+002, 4.0309903E-003
 1.8241000E+002, 1.1864855E+001, 6.3492705E+002, 4.0279085E-003
 1.8300999E+002, 1.1842527E+001, 6.3505847E+002, 4.0248455E-003
 1.8361000E+002, 1.1820307E+001, 6.3518923E+002, 4.0217990E-003
 1.8421001E+002, 1.1798168E+001, 6.3531942E+002, 4.0187693E-003
 1.8481000E+002, 1.1776123E+001, 6.3544901E+002, 4.0157583E-003
 1.8541000E+002, 1.1754165E+001, 6.3557805E+002, 4.0127655E-003
 1.8600999E+002, 1.1732305E+001, 6.3570646E+002, 4.0098006E-003
 1.8661000E+002, 1.1710530E+001, 6.3583430E+002, 4.0068605E-003
 1.8721001E+002, 1.1688878E+001, 6.3596139E+002, 4.0039525E-003
 1.8781000E+002, 1.1667289E+001, 6.3608803E+002, 4.0010839E-003
 1.8841000E+002, 1.1645805E+001, 6.3621404E+002, 3.9982623E-003
 1.8900999E+002, 1.1624408E+001, 6.3633947E+002, 3.9954864E-003
 1.8961000E+002, 1.1603108E+001, 6.3646432E+002, 3.9927683E-003
 1.9021001E+002, 1.1581940E+001, 6.3658832E+002, 3.9901107E-003
 1.9081000E+002, 1.1560833E+001, 6.3671189E+002, 3.9875180E-003
 1.9141000E+002, 1.1539805E+001, 6.3683494E+002, 3.9849940E-003
 1.9200999E+002, 1.1518890E+001, 6.3695732E+002, 3.9825403E-003
 1.9261000E+002, 1.1498064E+001, 6.3707911E+002, 3.9801606E-003
 1.9321001E+002, 1.1477351E+001, 6.3720016E+002, 3.9778561E-003
 1.9381000E+002, 1.1456699E+001, 6.3732082E+002, 3.9756261E-003
 1.9441000E+002, 1.1436138E+001, 6.3744090E+002, 3.9734705E-003
 1.9500999E+002, 1.1415650E+001, 6.3756052E+002, 3.9713904E-003
 1.9561000E+002, 1.1395291E+001, 6.3767932E+002, 3.9693824E-003
 1.9621001E+002, 1.1374974E+001, 6.3779781E+002, 3.9674497E-003
 1.9681000E+002, 1.1354734E+001, 6.3791583E+002, 3.9655886E-003
 1.9741000E+002, 1.1334563E+001, 6.3803339E+002, 3.9637993E-003
 1.9800999E+002, 1.1314514E+001, 6.3815021E+002, 3.9620823E-003
 1.9861000E+002, 1.1294507E+001, 6.3826673E+002, 3.9604386E-003
 1.9921001E+002, 1.1274560E+001, 6.3838287E+002, 3.9588706E-003
 1.9981000E+002, 1.1254693E+001, 6.3849851E+002, 3.9573830E-003
 2.0041000E+002, 1.1234937E+001, 6.3861341E+002, 3.9559751E-003
 2.0100999E+002, 1.1215199E+001, 6.3872818E+002, 3.9546520E-003
 2.0161000E+002, 1.1195536E+001, 6.3884248E+002, 3.9534208E-003
 2.0221001E+002, 1.1175956E+001, 6.3895627E+002, 3.9522889E-003
 2.0281000E+002, 1.1156454E+001, 6.3906954E+002, 3.9512630E-003
 2.0341000E+002, 1.1136987E+001, 6.3918257E+002, 3.9503466E-003
 2.0400999E+002, 1.1117584E+001, 6.3929520E+002, 3.9495501E-003
 2.0461000E+002, 1.1098299E+001, 6.3940713E+002, 3.9488840E-003
 2.0521001E+002, 1.1079050E+001, 6.3951878E+002, 3.9483587E-003
 2.0581000E+002, 1.1059843E+001, 6.3963016E+002, 3.9479829E-003
 2.0641000E+002, 1.1040718E+001, 6.3974103E+002, 3.9477656E-003
 2.0700999E+002, 1.1021675E+001, 6.3985137E+002, 3.9477200E-003
 2.0761000E+002, 1.1002656E+001, 6.3996156E+002, 3.9478530E-003
 2.0821001E+002, 1.0983691E+001, 6.4007140E+002, 3.9481811E-003
