s,kW/m2,C,kg/m2/s,kW/m2,m
 1.4410000E+001, 3.7503581E+001, 3.5358094E+002, 1.2089865E-002, 5.0000000E+001, 2.4850177E-002
 1.5310000E+001, 3.7505944E+001, 3.5356744E+002, 1.1910917E-002, 5.0000000E+001, 2.4828357E-002
 1.6209999E+001, 3.7446058E+001, 3.5472435E+002, 1.2657383E-002, 5.0000000E+001, 2.4806479E-002
 1.7110001E+001, 3.7463023E+001, 3.5438337E+002, 1.3184383E-002, 5.0000000E+001, 2.4783177E-002
 1.8000000E+001, 3.7433637E+001, 3.5496805E+002, 1.2712153E-002, 5.0000000E+001, 2.4760202E-002
 1.8900000E+001, 3.7420408E+001, 3.5522606E+002, 1.3627646E-002, 5.0000000E+001, 2.4736417E-002
 1.9799999E+001, 3.7433475E+001, 3.5497000E+002, 1.3389855E-002, 5.0000000E+001, 2.4711857E-002
 2.0700001E+001, 3.7388897E+001, 3.5584952E+002, 1.3936256E-002, 5.0000000E+001, 2.4687527E-002
 2.1600000E+001, 3.7421159E+001, 3.5522191E+002, 1.4168899E-002, 5.0000000E+001, 2.4662032E-002
 2.2500000E+001, 3.7376987E+001, 3.5610004E+002, 1.3974871E-002, 5.0000000E+001, 2.4637032E-002
 2.3400000E+001, 3.7391827E+001, 3.5578741E+002, 1.4644604E-002, 5.0000000E+001, 2.4611101E-002
 2.4299999E+001, 3.7385649E+001, 3.5593940E+002, 1.4196431E-002, 5.0000000E+001, 2.4585125E-002
 2.5200001E+001, 3.7370191E+001, 3.5621332E+002, 1.4867278E-002, 5.0000000E+001, 2.4558991E-002
 2.6100000E+001, 3.7388848E+001, 3.5586244E+002, 1.4589307E-002, 5.0000000E+001, 2.4532238E-002
 2.7000000E+001, 3.7353267E+001, 3.5654750E+002, 1.5029034E-002, 5.0000000E+001, 2.4505840E-002
 2.7900000E+001, 3.7387605E+001, 3.5587158E+002, 1.5014954E-002, 5.0000000E+001, 2.4478512E-002
 2.8799999E+001, 3.7343348E+001, 3.5674877E+002, 1.5091997E-002, 5.0000000E+001, 2.4451761E-002
 2.9700001E+001, 3.7374865E+001, 3.5611974E+002, 1.5556798E-002, 5.0000000E+001, 2.4424079E-002
 3.0600000E+001, 3.7347541E+001, 3.5666872E+002, 1.4986998E-002, 5.0000000E+001, 2.4396806E-002
 3.1500000E+001, 3.7361034E+001, 3.5639152E+002, 1.5707667E-002, 5.0000000E+001, 2.4368967E-002
 3.2400002E+001, 3.7353189E+001, 3.5655765E+002, 1.5231881E-002, 5.0000000E+001, 2.4341124E-002
 3.3299999E+001, 3.7349452E+001, 3.5661904E+002, 1.5840505E-002, 5.0000000E+001, 2.4313159E-002
 3.4200001E+001, 3.7358384E+001, 3.5646201E+002, 1.5462313E-002, 5.0000000E+001, 2.4284838E-002
 3.5099998E+001, 3.7339724E+001, 3.5681036E+002, 1.5953706E-002, 5.0000000E+001, 2.4256719E-002
 3.6000000E+001, 3.7362720E+001, 3.5637547E+002, 1.5690139E-002, 5.0000000E+001, 2.4227989E-002
 3.6900002E+001, 3.7331707E+001, 3.5696886E+002, 1.6040801E-002, 5.0000000E+001, 2.4199695E-002
 3.7799999E+001, 3.7365032E+001, 3.5633466E+002, 1.5923457E-002, 5.0000000E+001, 2.4170635E-002
 3.8700001E+001, 3.7326270E+001, 3.5707816E+002, 1.6101190E-002, 5.0000000E+001, 2.4142130E-002
 3.9599998E+001, 3.7364772E+001, 3.5633372E+002, 1.6182306E-002, 5.0000000E+001, 2.4112801E-002
 4.0500000E+001, 3.7324089E+001, 3.5712644E+002, 1.6114494E-002, 5.0000000E+001, 2.4084055E-002
 4.1400002E+001, 3.7359629E+001, 3.5641305E+002, 1.6469470E-002, 5.0000000E+001, 2.4054533E-002
 4.2299999E+001, 3.7326029E+001, 3.5709723E+002, 1.6082071E-002, 5.0000000E+001, 2.4025505E-002
 4.3200001E+001, 3.7353646E+001, 3.5653552E+002, 1.6664848E-002, 5.0000000E+001, 2.3995847E-002
 4.4110001E+001, 3.7330479E+001, 3.5700482E+002, 1.6129938E-002, 5.0000000E+001, 2.3966340E-002
 4.5009998E+001, 3.7349315E+001, 3.5662052E+002, 1.6759108E-002, 5.0000000E+001, 2.3936410E-002
 4.5910000E+001, 3.7334319E+001, 3.5694070E+002, 1.6253880E-002, 5.0000000E+001, 2.3906785E-002
 4.6810001E+001, 3.7345238E+001, 3.5670052E+002, 1.6844849E-002, 5.0000000E+001, 2.3876910E-002
 4.7709999E+001, 3.7337174E+001, 3.5687358E+002, 1.6377227E-002, 5.0000000E+001, 2.3847024E-002
 4.8610001E+001, 3.7341912E+001, 3.5676581E+002, 1.6925628E-002, 5.0000000E+001, 2.3817039E-002
 4.9509998E+001, 3.7340203E+001, 3.5681414E+002, 1.6492994E-002, 5.0000000E+001, 2.3786917E-002
 5.0410000E+001, 3.7339318E+001, 3.5681675E+002, 1.7002236E-002, 5.0000000E+001, 2.3756818E-002
 5.1310001E+001, 3.7343342E+001, 3.5676248E+002, 1.6601262E-002, 5.0000000E+001, 2.3726485E-002
 5.2209999E+001, 3.7337435E+001, 3.5685377E+002, 1.7075463E-002, 5.0000000E+001, 2.3696267E-002
 5.3110001E+001, 3.7345072E+001, 3.5671851E+002, 1.6702025E-002, 5.0000000E+001, 2.3665744E-002
 5.4009998E+001, 3.7336238E+001, 3.5687736E+002, 1.7146107E-002, 5.0000000E+001, 2.3635405E-002
 5.4910000E+001, 3.7346929E+001, 3.5668203E+002, 1.6795225E-002, 5.0000000E+001, 2.3604712E-002
 5.5810001E+001, 3.7335698E+001, 3.5688804E+002, 1.7214952E-002, 5.0000000E+001, 2.3574249E-002
 5.6709999E+001, 3.7348882E+001, 3.5665275E+002, 1.6880819E-002, 5.0000000E+001, 2.3543403E-002
 5.7610001E+001, 3.7335790E+001, 3.5688631E+002, 1.7282718E-002, 5.0000000E+001, 2.3512816E-002
 5.8509998E+001, 3.7349556E+001, 3.5663043E+002, 1.6958847E-002, 5.0000000E+001, 2.3481832E-002
 5.9410000E+001, 3.7336490E+001, 3.5687261E+002, 1.7349995E-002, 5.0000000E+001, 2.3451120E-002
 6.0310001E+001, 3.7351362E+001, 3.5659858E+002, 1.7031526E-002, 5.0000000E+001, 2.3420004E-002
 6.1209999E+001, 3.7337332E+001, 3.5685613E+002, 1.7412831E-002, 5.0000000E+001, 2.3389176E-002
 6.2110001E+001, 3.7352272E+001, 3.5658065E+002, 1.7098403E-002, 5.0000000E+001, 2.3357945E-002
 6.3009998E+001, 3.7338742E+001, 3.5682847E+002, 1.7476546E-002, 5.0000000E+001, 2.3326998E-002
 6.3910000E+001, 3.7352657E+001, 3.5656971E+002, 1.7158638E-002, 5.0000000E+001, 2.3295662E-002
 6.4809998E+001, 3.7340728E+001, 3.5678942E+002, 1.7540666E-002, 5.0000000E+001, 2.3264595E-002
 6.5709999E+001, 3.7354097E+001, 3.5654977E+002, 1.7214373E-002, 5.0000000E+001, 2.3233159E-002
 6.6610001E+001, 3.7342834E+001, 3.5674804E+002, 1.7600978E-002, 5.0000000E+001, 2.3201979E-002
 6.7510002E+001, 3.7353976E+001, 3.5654403E+002, 1.7265531E-002, 5.0000000E+001, 2.3170459E-002
 6.8410004E+001, 3.7345505E+001, 3.5669552E+002, 1.7662362E-002, 5.0000000E+001, 2.3139162E-002
 6.9309998E+001, 3.7353893E+001, 3.5654577E+002, 1.7311550E-002, 5.0000000E+001, 2.3107569E-002
 7.0209999E+001, 3.7348767E+001, 3.5663137E+002, 1.7723967E-002, 5.0000000E+001, 2.3076151E-002
 7.1110001E+001, 3.7354207E+001, 3.5653976E+002, 1.7353944E-002, 5.0000000E+001, 2.3044488E-002
 7.2010002E+001, 3.7352142E+001, 3.5656502E+002, 1.7781927E-002, 5.0000000E+001, 2.3012956E-002
 7.2900002E+001, 3.7354431E+001, 3.5654335E+002, 1.7390381E-002, 5.0000000E+001, 2.2981413E-002
 7.3800003E+001, 3.7355582E+001, 3.5649736E+002, 1.7837438E-002, 5.0000000E+001, 2.2949941E-002
 7.4699997E+001, 3.7354389E+001, 3.5653947E+002, 1.7432307E-002, 5.0000000E+001, 2.2918166E-002
 7.5599998E+001, 3.7359638E+001, 3.5641762E+002, 1.7892696E-002, 5.0000000E+001, 2.2886403E-002
 7.6500000E+001, 3.7353886E+001, 3.5655396E+002, 1.7466920E-002, 5.0000000E+001, 2.2854592E-002
 7.7400002E+001, 3.7364285E+001, 3.5632624E+002, 1.7948235E-002, 5.0000000E+001, 2.2822703E-002
 7.8300003E+001, 3.7352751E+001, 3.5657624E+002, 1.7498701E-002, 5.0000000E+001, 2.2790870E-002
 7.9199997E+001, 3.7369535E+001, 3.5622299E+002, 1.8003291E-002, 5.0000000E+001, 2.2758846E-002
 8.0099998E+001, 3.7351885E+001, 3.5659337E+002, 1.7527503E-002, 5.0000000E+001, 2.2726997E-002
 8.1000000E+001, 3.7374865E+001, 3.5611519E+002, 1.8055101E-002, 5.0000000E+001, 2.2694841E-002
 8.1900002E+001, 3.7350206E+001, 3.5662486E+002, 1.7556222E-002, 5.0000000E+001, 2.2662991E-002
 8.2800003E+001, 3.7380257E+001, 3.5601457E+002, 1.7964002E-002, 5.0000000E+001, 2.2630704E-002
 8.3699997E+001, 3.7349332E+001, 3.5663380E+002, 1.7724642E-002, 5.0000000E+001, 2.2598836E-002
 8.4599998E+001, 3.7382922E+001, 3.5597088E+002, 1.7899670E-002, 5.0000000E+001, 2.2566451E-002
 8.5500000E+001, 3.7351050E+001, 3.5659420E+002, 1.7864116E-002, 5.0000000E+001, 2.2534537E-002
 8.6400002E+001, 3.7384286E+001, 3.5595186E+002, 1.7867192E-002, 5.0000000E+001, 2.2502079E-002
 8.7300003E+001, 3.7354842E+001, 3.5651637E+002, 1.7968246E-002, 5.0000000E+001, 2.2470097E-002
 8.8199997E+001, 3.7383549E+001, 3.5596829E+002, 1.7848256E-002, 5.0000000E+001, 2.2437599E-002
 8.9099998E+001, 3.7360163E+001, 3.5640971E+002, 1.8057653E-002, 5.0000000E+001, 2.2405526E-002
 9.0000000E+001, 3.7382552E+001, 3.5598895E+002, 1.7842303E-002, 5.0000000E+001, 2.2373003E-002
 9.0900002E+001, 3.7366335E+001, 3.5628731E+002, 1.8130294E-002, 5.0000000E+001, 2.2340828E-002
 9.1800003E+001, 3.7380162E+001, 3.5603198E+002, 1.7842050E-002, 5.0000000E+001, 2.2308305E-002
 9.2699997E+001, 3.7373433E+001, 3.5614710E+002, 1.8196935E-002, 5.0000000E+001, 2.2276008E-002
 9.3599998E+001, 3.7378010E+001, 3.5607175E+002, 1.7846018E-002, 5.0000000E+001, 2.2243498E-002
 9.4500000E+001, 3.7380846E+001, 3.5600094E+002, 1.8255288E-002, 5.0000000E+001, 2.2211072E-002
 9.5400002E+001, 3.7375354E+001, 3.5612702E+002, 1.7853052E-002, 5.0000000E+001, 2.2178595E-002
 9.6300003E+001, 3.7388937E+001, 3.5584149E+002, 1.8311051E-002, 5.0000000E+001, 2.2146022E-002
 9.7199997E+001, 3.7373004E+001, 3.5617796E+002, 1.7860851E-002, 5.0000000E+001, 2.2113590E-002
 9.8099998E+001, 3.7397159E+001, 3.5567880E+002, 1.8276775E-002, 5.0000000E+001, 2.2080867E-002
 9.9000000E+001, 3.7370017E+001, 3.5623022E+002, 1.7955263E-002, 5.0000000E+001, 2.2048483E-002
 9.9900002E+001, 3.7400905E+001, 3.5561425E+002, 1.8150739E-002, 5.0000000E+001, 2.2015649E-002
 1.0080000E+002, 3.7371456E+001, 3.5619260E+002, 1.8140508E-002, 5.0000000E+001, 2.1983249E-002
 1.0170000E+002, 3.7401133E+001, 3.5561367E+002, 1.8092621E-002, 5.0000000E+001, 2.1950356E-002
 1.0260000E+002, 3.7377084E+001, 3.5607788E+002, 1.8255278E-002, 5.0000000E+001, 2.1917890E-002
 1.0350000E+002, 3.7399232E+001, 3.5566016E+002, 1.8062437E-002, 5.0000000E+001, 2.1884993E-002
 1.0440000E+002, 3.7384927E+001, 3.5592171E+002, 1.8341991E-002, 5.0000000E+001, 2.1852421E-002
 1.0530000E+002, 3.7396356E+001, 3.5571296E+002, 1.8048299E-002, 5.0000000E+001, 2.1819546E-002
 1.0620000E+002, 3.7393658E+001, 3.5574903E+002, 1.8409447E-002, 5.0000000E+001, 2.1786847E-002
 1.0710000E+002, 3.7392928E+001, 3.5578529E+002, 1.8042197E-002, 5.0000000E+001, 2.1754026E-002
 1.0800000E+002, 3.7403260E+001, 3.5555948E+002, 1.8469672E-002, 5.0000000E+001, 2.1721172E-002
 1.0890000E+002, 3.7389053E+001, 3.5585435E+002, 1.8040049E-002, 5.0000000E+001, 2.1688423E-002
 1.0980000E+002, 3.7412937E+001, 3.5537278E+002, 1.8403554E-002, 5.0000000E+001, 2.1655411E-002
 1.1070000E+002, 3.7385771E+001, 3.5591797E+002, 1.8160081E-002, 5.0000000E+001, 2.1622734E-002
 1.1160000E+002, 3.7415476E+001, 3.5533169E+002, 1.8270968E-002, 5.0000000E+001, 2.1589617E-002
 1.1250000E+002, 3.7389102E+001, 3.5584323E+002, 1.8345721E-002, 5.0000000E+001, 2.1556915E-002
 1.1340000E+002, 3.7414057E+001, 3.5536264E+002, 1.8215491E-002, 5.0000000E+001, 2.1523770E-002
 1.1430000E+002, 3.7397036E+001, 3.5568381E+002, 1.8451638E-002, 5.0000000E+001, 2.1490980E-002
 1.1520000E+002, 3.7410226E+001, 3.5543606E+002, 1.8187900E-002, 5.0000000E+001, 2.1457867E-002
 1.1610000E+002, 3.7407005E+001, 3.5548614E+002, 1.8529965E-002, 5.0000000E+001, 2.1424943E-002
 1.1700000E+002, 3.7406775E+001, 3.5551225E+002, 1.8173488E-002, 5.0000000E+001, 2.1391896E-002
 1.1790000E+002, 3.7417592E+001, 3.5527682E+002, 1.8591826E-002, 5.0000000E+001, 2.1358813E-002
 1.1880000E+002, 3.7402494E+001, 3.5559230E+002, 1.8166260E-002, 5.0000000E+001, 2.1325857E-002
 1.1970000E+002, 3.7426991E+001, 3.5510409E+002, 1.8455832E-002, 5.0000000E+001, 2.1292620E-002
 1.2060000E+002, 3.7399547E+001, 3.5564231E+002, 1.8354079E-002, 5.0000000E+001, 2.1259733E-002
 1.2150000E+002, 3.7398527E+001, 3.5567558E+002, 1.7827325E-002, 5.0000000E+001, 2.1226457E-002
 1.2240000E+002, 3.6905553E+001, 3.6519474E+002, 1.5771087E-002, 5.0000000E+001, 2.1197377E-002
 1.2330000E+002, 3.6900034E+001, 3.6525248E+002, 1.7229834E-002, 5.0000000E+001, 2.1167199E-002
 1.2420000E+002, 3.6922710E+001, 3.6485446E+002, 1.6997148E-002, 5.0000000E+001, 2.1136054E-002
 1.2510000E+002, 3.6859222E+001, 3.6602336E+002, 1.7417431E-002, 5.0000000E+001, 2.1105450E-002
 1.2600000E+002, 3.6915092E+001, 3.6496619E+002, 1.7807037E-002, 5.0000000E+001, 2.1073672E-002
 1.2690000E+002, 3.6884496E+001, 3.6557823E+002, 1.7133239E-002, 5.0000000E+001, 2.1042237E-002
 1.2780000E+002, 3.6880725E+001, 3.6561390E+002, 1.7820414E-002, 5.0000000E+001, 2.1010777E-002
 1.2870000E+002, 3.6930903E+001, 3.6468888E+002, 1.7631240E-002, 5.0000000E+001, 2.0978566E-002
 1.2960001E+002, 3.6859972E+001, 3.6601472E+002, 1.7578436E-002, 5.0000000E+001, 2.0947298E-002
 1.3050000E+002, 3.6911479E+001, 3.6503400E+002, 1.8038070E-002, 5.0000000E+001, 2.0915111E-002
 1.3139999E+002, 3.6902983E+001, 3.6522950E+002, 1.7420069E-002, 5.0000000E+001, 2.0883070E-002
 1.3230000E+002, 3.6881812E+001, 3.6559398E+002, 1.7981386E-002, 5.0000000E+001, 2.0851358E-002
 1.3320000E+002, 3.6940508E+001, 3.6450112E+002, 1.7973683E-002, 5.0000000E+001, 2.0818784E-002
 1.3410001E+002, 3.6869724E+001, 3.6583751E+002, 1.7614243E-002, 5.0000000E+001, 2.0787139E-002
 1.3500000E+002, 3.6915072E+001, 3.6496626E+002, 1.8183710E-002, 5.0000000E+001, 2.0754729E-002
 1.3589999E+002, 3.6918257E+001, 3.6493566E+002, 1.7618374E-002, 5.0000000E+001, 2.0722313E-002
 1.3680000E+002, 3.6887718E+001, 3.6548345E+002, 1.8102943E-002, 5.0000000E+001, 2.0690384E-002
 1.3770000E+002, 3.6948519E+001, 3.6434173E+002, 1.8200813E-002, 5.0000000E+001, 2.0657561E-002
 1.3860001E+002, 3.6881013E+001, 3.6562866E+002, 1.7679098E-002, 5.0000000E+001, 2.0625615E-002
 1.3950000E+002, 3.6923013E+001, 3.6481648E+002, 1.8306642E-002, 5.0000000E+001, 2.0593004E-002
 1.4039999E+002, 3.6928127E+001, 3.6474487E+002, 1.7758861E-002, 5.0000000E+001, 2.0560346E-002
 1.4130000E+002, 3.6897978E+001, 3.6529037E+002, 1.8222596E-002, 5.0000000E+001, 2.0528188E-002
 1.4220000E+002, 3.6958493E+001, 3.6415825E+002, 1.8293204E-002, 5.0000000E+001, 2.0495156E-002
 1.4310001E+002, 3.6891192E+001, 3.6543590E+002, 1.7823060E-002, 5.0000000E+001, 2.0463002E-002
 1.4400000E+002, 3.6934986E+001, 3.6459041E+002, 1.8418331E-002, 5.0000000E+001, 2.0430174E-002
 1.4489999E+002, 3.6935532E+001, 3.6460504E+002, 1.7857056E-002, 5.0000000E+001, 2.0397357E-002
 1.4580000E+002, 3.6911150E+001, 3.6504185E+002, 1.8339883E-002, 5.0000000E+001, 2.0364971E-002
 1.4670000E+002, 3.6968074E+001, 3.6397695E+002, 1.8291503E-002, 5.0000000E+001, 2.0331766E-002
 1.4760001E+002, 3.6901051E+001, 3.6524574E+002, 1.8023020E-002, 5.0000000E+001, 2.0299460E-002
 1.4850000E+002, 3.6950134E+001, 3.6430405E+002, 1.8522862E-002, 5.0000000E+001, 2.0266403E-002
 1.4939999E+002, 3.6939846E+001, 3.6452808E+002, 1.7925636E-002, 5.0000000E+001, 2.0233502E-002
 1.5030000E+002, 3.6927266E+001, 3.6473727E+002, 1.8456729E-002, 5.0000000E+001, 2.0200872E-002
 1.5120000E+002, 3.6975459E+001, 3.6384239E+002, 1.8243931E-002, 5.0000000E+001, 2.0167544E-002
 1.5210001E+002, 3.6912950E+001, 3.6501577E+002, 1.8241824E-002, 5.0000000E+001, 2.0135093E-002
 1.5300000E+002, 3.6968352E+001, 3.6395915E+002, 1.8623213E-002, 5.0000000E+001, 2.0101806E-002
 1.5389999E+002, 3.6940209E+001, 3.6451747E+002, 1.7974995E-002, 5.0000000E+001, 2.0068894E-002
 1.5480000E+002, 3.6946480E+001, 3.6437372E+002, 1.8570861E-002, 5.0000000E+001, 2.0035987E-002
 1.5570000E+002, 3.6978386E+001, 3.6379519E+002, 1.8196635E-002, 5.0000000E+001, 2.0002605E-002
 1.5660001E+002, 3.6929137E+001, 3.6470558E+002, 1.8440818E-002, 5.0000000E+001, 1.9969969E-002
 1.5750000E+002, 3.6989564E+001, 3.6355691E+002, 1.8720624E-002, 5.0000000E+001, 1.9936463E-002
 1.5839999E+002, 3.6938938E+001, 3.6455206E+002, 1.8012628E-002, 5.0000000E+001, 1.9903607E-002
 1.5931000E+002, 3.6968542E+001, 3.6395599E+002, 1.8678839E-002, 5.0000000E+001, 1.9870202E-002
 1.6021001E+002, 3.6977038E+001, 3.6382274E+002, 1.8173541E-002, 5.0000000E+001, 1.9836653E-002
 1.6111000E+002, 3.6949842E+001, 3.6431169E+002, 1.8599540E-002, 5.0000000E+001, 1.9803774E-002
 1.6200999E+002, 3.7004749E+001, 3.6328585E+002, 1.8521595E-002, 5.0000000E+001, 1.9770113E-002
 1.6291000E+002, 3.6941497E+001, 3.6448132E+002, 1.8336572E-002, 5.0000000E+001, 1.9737308E-002
 1.6381000E+002, 3.6992951E+001, 3.6349275E+002, 1.8781410E-002, 5.0000000E+001, 1.9703759E-002
 1.6471001E+002, 3.6971662E+001, 3.6393109E+002, 1.8170596E-002, 5.0000000E+001, 1.9670495E-002
 1.6561000E+002, 3.6974219E+001, 3.6384878E+002, 1.8730045E-002, 5.0000000E+001, 1.9637302E-002
 1.6650999E+002, 3.7004850E+001, 3.6329242E+002, 1.8360998E-002, 5.0000000E+001, 1.9603640E-002
 1.6741000E+002, 3.6959337E+001, 3.6413451E+002, 1.8615189E-002, 5.0000000E+001, 1.9570682E-002
 1.6831000E+002, 3.7019593E+001, 3.6299155E+002, 1.8851753E-002, 5.0000000E+001, 1.9536882E-002
 1.6921001E+002, 3.6962266E+001, 3.6409975E+002, 1.8202668E-002, 5.0000000E+001, 1.9503809E-002
 1.7011000E+002, 3.7002223E+001, 3.6331682E+002, 1.8845289E-002, 5.0000000E+001, 1.9470220E-002
 1.7100999E+002, 3.6996211E+001, 3.6346429E+002, 1.8298530E-002, 5.0000000E+001, 1.9436691E-002
 1.7191000E+002, 3.6986049E+001, 3.6362492E+002, 1.8789649E-002, 5.0000000E+001, 1.9403425E-002
 1.7281000E+002, 3.7025624E+001, 3.6289149E+002, 1.8504701E-002, 5.0000000E+001, 1.9369567E-002
 1.7371001E+002, 3.6974089E+001, 3.6385703E+002, 1.8650697E-002, 5.0000000E+001, 1.9336473E-002
 1.7461000E+002, 3.7032642E+001, 3.6273789E+002, 1.8949378E-002, 5.0000000E+001, 1.9302560E-002
 1.7550999E+002, 3.6984203E+001, 3.6369365E+002, 1.8278366E-002, 5.0000000E+001, 1.9269263E-002
 1.7641000E+002, 3.7016519E+001, 3.6304512E+002, 1.8915022E-002, 5.0000000E+001, 1.9235587E-002
 1.7731000E+002, 3.7015644E+001, 3.6309430E+002, 1.8396620E-002, 5.0000000E+001, 1.9201881E-002
 1.7821001E+002, 3.7001969E+001, 3.6332285E+002, 1.8859441E-002, 5.0000000E+001, 1.9168491E-002
 1.7911000E+002, 3.7041500E+001, 3.6258892E+002, 1.8586171E-002, 5.0000000E+001, 1.9134500E-002
 1.8000999E+002, 3.6991832E+001, 3.6352032E+002, 1.8733028E-002, 5.0000000E+001, 1.9101252E-002
 1.8091000E+002, 3.7050306E+001, 3.6240114E+002, 1.9025207E-002, 5.0000000E+001, 1.9067198E-002
 1.8181000E+002, 3.6998869E+001, 3.6341479E+002, 1.8358874E-002, 5.0000000E+001, 1.9033795E-002
 1.8271001E+002, 3.7036342E+001, 3.6266766E+002, 1.8996505E-002, 5.0000000E+001, 1.8999938E-002
 1.8361000E+002, 3.7028142E+001, 3.6285140E+002, 1.8460228E-002, 5.0000000E+001, 1.8966151E-002
 1.8450999E+002, 3.7023012E+001, 3.6292235E+002, 1.8949926E-002, 5.0000000E+001, 1.8932569E-002
 1.8541000E+002, 3.7053854E+001, 3.6235832E+002, 1.8609839E-002, 5.0000000E+001, 1.8898497E-002
 1.8631000E+002, 3.7012698E+001, 3.6312181E+002, 1.8858099E-002, 5.0000000E+001, 1.8865077E-002
 1.8721001E+002, 3.7069304E+001, 3.6205553E+002, 1.8921070E-002, 5.0000000E+001, 1.8830874E-002
 1.8811000E+002, 3.7012213E+001, 3.6314383E+002, 1.8605561E-002, 5.0000000E+001, 1.8797422E-002
 1.8900999E+002, 3.7060264E+001, 3.6221121E+002, 1.9084302E-002, 5.0000000E+001, 1.8763334E-002
 1.8991000E+002, 3.7034950E+001, 3.6272193E+002, 1.8503897E-002, 5.0000000E+001, 1.8729553E-002
 1.9081000E+002, 3.7048722E+001, 3.6243194E+002, 1.9052693E-002, 5.0000000E+001, 1.8695710E-002
 1.9171001E+002, 3.7060296E+001, 3.6223371E+002, 1.8609801E-002, 5.0000000E+001, 1.8661629E-002
 1.9261000E+002, 3.7038199E+001, 3.6263403E+002, 1.8997331E-002, 5.0000000E+001, 1.8627984E-002
 1.9350999E+002, 3.7080848E+001, 3.6183637E+002, 1.8781150E-002, 5.0000000E+001, 1.8593700E-002
 1.9441000E+002, 3.7031787E+001, 3.6276133E+002, 1.8879113E-002, 5.0000000E+001, 1.8560139E-002
 1.9531000E+002, 3.7088598E+001, 3.6167373E+002, 1.9152165E-002, 5.0000000E+001, 1.8525810E-002
 1.9621001E+002, 3.7037725E+001, 3.6266543E+002, 1.8562017E-002, 5.0000000E+001, 1.8492126E-002
 1.9711000E+002, 3.7078590E+001, 3.6186106E+002, 1.9157805E-002, 5.0000000E+001, 1.8457947E-002
 1.9800999E+002, 3.7060417E+001, 3.6223248E+002, 1.8612733E-002, 5.0000000E+001, 1.8423960E-002
 1.9891000E+002, 3.7069270E+001, 3.6203969E+002, 1.9129456E-002, 5.0000000E+001, 1.8389993E-002
 1.9981000E+002, 3.7083136E+001, 3.6180395E+002, 1.8707859E-002, 5.0000000E+001, 1.8355751E-002
 2.0071001E+002, 3.7060848E+001, 3.6220197E+002, 1.9080689E-002, 5.0000000E+001, 1.8321945E-002
 2.0161000E+002, 3.7101433E+001, 3.6144972E+002, 1.8851776E-002, 5.0000000E+001, 1.8287526E-002
 2.0250999E+002, 3.7055668E+001, 3.6230502E+002, 1.8985342E-002, 5.0000000E+001, 1.8253792E-002
 2.0341000E+002, 3.7110726E+001, 3.6125255E+002, 1.9124018E-002, 5.0000000E+001, 1.8219310E-002
 2.0431000E+002, 3.7058632E+001, 3.6226064E+002, 1.8761846E-002, 5.0000000E+001, 1.8185507E-002
 2.0521001E+002, 3.7104965E+001, 3.6135590E+002, 1.9249652E-002, 5.0000000E+001, 1.8151121E-002
 2.0611000E+002, 3.7076825E+001, 3.6192568E+002, 1.8685682E-002, 5.0000000E+001, 1.8117070E-002
 2.0700999E+002, 3.7097626E+001, 3.6149684E+002, 1.9230684E-002, 5.0000000E+001, 1.8082860E-002
