Time,Exact
3.81E+02,1.30E+00
3.82E+02,1.19E+00
3.83E+02,1.08E+00
3.84E+02,9.98E-01
3.85E+02,9.38E-01
3.86E+02,9.06E-01
3.87E+02,9.09E-01
3.88E+02,9.60E-01
3.89E+02,1.08E+00
3.90E+02,1.24E+00
3.91E+02,1.23E+00
3.92E+02,1.10E+00
3.93E+02,9.54E-01
3.94E+02,8.28E-01
3.95E+02,7.58E-01
3.96E+02,7.24E-01
3.97E+02,7.01E-01
3.98E+02,6.48E-01
3.99E+02,5.82E-01
4.00E+02,4.85E-01
4.01E+02,4.08E-01
4.02E+02,3.89E-01
4.03E+02,3.58E-01
4.04E+02,3.32E-01
4.05E+02,3.10E-01
4.06E+02,2.96E-01
4.07E+02,2.86E-01
4.08E+02,2.83E-01
4.09E+02,2.91E-01
4.10E+02,2.92E-01
4.11E+02,2.91E-01
4.12E+02,2.91E-01
4.13E+02,2.84E-01
4.14E+02,2.75E-01
4.15E+02,2.68E-01
4.16E+02,2.63E-01
4.17E+02,2.68E-01
4.18E+02,2.95E-01
4.19E+02,3.22E-01
4.20E+02,3.39E-01
4.21E+02,3.21E-01
4.22E+02,3.07E-01
4.23E+02,3.01E-01
4.24E+02,3.05E-01
4.25E+02,3.05E-01
4.26E+02,3.01E-01
4.27E+02,3.00E-01
4.28E+02,3.01E-01
4.29E+02,3.02E-01
4.30E+02,3.04E-01
4.31E+02,2.90E-01
4.32E+02,2.53E-01
4.33E+02,2.13E-01
4.34E+02,1.85E-01
4.35E+02,1.83E-01
4.36E+02,1.94E-01
4.37E+02,2.06E-01
4.38E+02,2.11E-01
4.39E+02,2.11E-01
4.40E+02,2.10E-01
4.41E+02,2.15E-01
4.42E+02,2.13E-01
4.43E+02,2.08E-01
4.44E+02,2.02E-01
4.45E+02,2.21E-01
4.46E+02,2.57E-01
4.47E+02,2.94E-01
4.48E+02,3.14E-01
4.49E+02,3.19E-01
4.50E+02,3.20E-01
4.51E+02,3.17E-01
4.52E+02,3.10E-01
4.53E+02,3.03E-01
4.54E+02,2.70E-01
4.55E+02,2.03E-01
4.56E+02,1.53E-01
4.57E+02,9.40E-02
4.58E+02,1.79E-02
4.59E+02,0.00E+00
4.60E+02,0.00E+00
4.61E+02,0.00E+00
4.62E+02,0.00E+00
4.63E+02,0.00E+00
4.64E+02,0.00E+00
4.65E+02,0.00E+00
4.66E+02,0.00E+00
4.67E+02,0.00E+00
4.68E+02,0.00E+00
4.69E+02,0.00E+00
4.70E+02,0.00E+00
4.71E+02,0.00E+00
4.72E+02,0.00E+00
4.73E+02,0.00E+00
4.74E+02,0.00E+00
4.75E+02,0.00E+00
4.76E+02,0.00E+00
4.77E+02,0.00E+00
4.78E+02,0.00E+00
4.79E+02,0.00E+00
4.80E+02,0.00E+00
4.81E+02,0.00E+00
4.82E+02,0.00E+00
4.83E+02,0.00E+00
4.84E+02,0.00E+00
4.85E+02,0.00E+00
4.86E+02,0.00E+00
4.87E+02,0.00E+00
4.88E+02,0.00E+00
4.89E+02,0.00E+00
4.90E+02,0.00E+00
4.91E+02,0.00E+00
4.92E+02,0.00E+00
4.93E+02,0.00E+00
4.94E+02,0.00E+00
4.95E+02,0.00E+00
4.96E+02,0.00E+00
4.97E+02,0.00E+00
4.98E+02,0.00E+00
4.99E+02,0.00E+00
5.00E+02,0.00E+00
