Time,controller 1,controller 3,controller 4
8.85E+00,-1,1,-1
8.90E+00,-1,1,-1
8.95E+00,-1,1,-1
9.00E+00,-1,1,-1
9.05E+00,-1,1,-1
9.10E+00,-1,1,-1
9.15E+00,-1,1,-1
9.20E+00,-1,1,-1
9.25E+00,-1,1,-1
9.30E+00,-1,1,-1
9.35E+00,-1,1,-1
9.40E+00,-1,1,-1
9.45E+00,-1,1,-1
9.50E+00,-1,1,-1
9.55E+00,-1,1,-1
9.60E+00,-1,1,-1
9.65E+00,-1,1,-1
9.70E+00,-1,1,-1
9.75E+00,-1,1,-1
9.80E+00,-1,1,-1
9.85E+00,-1,1,-1
9.90E+00,-1,1,-1
9.95E+00,-1,1,-1
1.00E+01,-1,1,-1
1.01E+01,-1,1,-1
1.01E+01,-1,1,-1
1.02E+01,-1,1,-1
1.02E+01,-1,1,-1
1.03E+01,-1,1,-1
1.03E+01,-1,1,-1
1.04E+01,-1,1,-1
1.04E+01,-1,1,-1
1.05E+01,-1,1,-1
1.05E+01,-1,1,-1
1.06E+01,-1,1,-1
1.06E+01,-1,1,-1
1.07E+01,-1,1,-1
1.07E+01,-1,1,-1
1.08E+01,-1,1,-1
1.08E+01,-1,1,-1
1.09E+01,-1,1,-1
1.09E+01,-1,1,-1
1.10E+01,-1,1,-1
1.10E+01,-1,1,-1
1.11E+01,-1,1,-1
1.11E+01,-1,1,-1
1.12E+01,-1,1,-1
1.12E+01,-1,1,-1
1.13E+01,-1,1,-1
1.13E+01,-1,1,-1
1.14E+01,-1,1,-1
1.14E+01,-1,1,-1
1.15E+01,-1,1,-1
1.15E+01,-1,1,-1
1.16E+01,-1,1,-1
1.16E+01,-1,1,-1
1.17E+01,-1,1,-1
1.17E+01,-1,1,-1
1.18E+01,-1,1,-1
1.18E+01,-1,1,-1
1.19E+01,-1,1,-1
1.19E+01,-1,1,-1
1.20E+01,-1,1,-1
1.20E+01,1,1,1
1.21E+01,1,1,1
1.21E+01,1,1,1
1.22E+01,1,1,1
1.22E+01,1,1,1
1.23E+01,1,1,1
1.23E+01,1,1,1
1.24E+01,1,1,1
1.24E+01,1,1,1
1.25E+01,1,1,1
1.25E+01,1,1,1
1.26E+01,1,1,1
1.26E+01,1,1,1
1.27E+01,1,1,1
1.27E+01,1,1,1
1.28E+01,1,1,1
1.28E+01,1,1,1
1.29E+01,1,1,1
1.29E+01,1,1,1
1.30E+01,1,1,1
1.30E+01,1,1,1
1.31E+01,1,1,1
1.31E+01,1,1,1
1.32E+01,1,1,1
1.32E+01,1,1,1
1.33E+01,1,1,1
1.33E+01,1,1,1
1.34E+01,1,1,1
1.34E+01,1,1,1
1.35E+01,1,1,1
1.35E+01,1,1,1
1.36E+01,1,1,1
1.36E+01,1,1,1
1.37E+01,1,1,1
1.37E+01,1,1,1
1.38E+01,1,1,1
1.38E+01,1,1,1
1.39E+01,1,1,1
1.39E+01,1,1,1
1.40E+01,1,1,1
1.40E+01,1,1,1
1.41E+01,1,1,1
1.41E+01,1,1,1
1.42E+01,1,1,1
1.42E+01,1,1,1
1.43E+01,1,1,1
1.43E+01,1,1,1
1.44E+01,1,1,1
1.44E+01,1,1,1
1.45E+01,1,1,1
1.45E+01,1,1,1
1.46E+01,1,1,1
1.46E+01,1,1,1
1.47E+01,1,1,1
1.47E+01,1,1,1
1.48E+01,1,1,1
1.48E+01,1,1,1
1.49E+01,1,1,1
1.49E+01,1,1,1
1.50E+01,1,1,1
1.50E+01,1,1,1
1.51E+01,1,1,1
1.51E+01,1,1,1
1.52E+01,1,1,1
1.52E+01,1,1,1
1.53E+01,1,1,1
1.53E+01,1,1,1
1.54E+01,1,1,1
1.54E+01,1,1,1
1.55E+01,1,1,1
1.55E+01,1,1,1
1.56E+01,1,1,1
1.56E+01,1,1,1
1.57E+01,1,1,1
1.57E+01,1,1,1
1.58E+01,1,1,1
1.58E+01,1,1,1
1.59E+01,1,1,1
1.59E+01,1,1,1
1.60E+01,1,1,1
1.60E+01,1,1,1
1.61E+01,1,1,1
1.61E+01,1,1,1
1.62E+01,1,1,1
1.62E+01,1,1,1
1.63E+01,1,1,1
1.63E+01,1,1,1
1.64E+01,1,1,1
1.64E+01,1,1,1
1.65E+01,1,1,1
1.65E+01,1,1,1
1.66E+01,1,1,1
1.66E+01,1,1,1
1.67E+01,1,1,1
1.67E+01,1,1,1
1.68E+01,1,1,1
1.68E+01,1,1,1
1.69E+01,1,1,1
1.69E+01,1,1,1
1.70E+01,1,1,1
1.70E+01,1,1,1
1.71E+01,1,1,1
1.71E+01,1,1,1
1.72E+01,1,1,1
1.72E+01,1,1,1
1.73E+01,1,1,1
1.73E+01,1,1,1
1.74E+01,1,1,1
1.74E+01,1,1,1
1.75E+01,1,1,1
1.75E+01,1,1,1
1.76E+01,1,1,1
1.76E+01,1,1,1
1.77E+01,1,1,1
1.77E+01,1,1,1
1.78E+01,1,1,1
1.78E+01,1,1,1
1.79E+01,1,1,1
1.79E+01,1,1,1
1.80E+01,1,1,1
1.80E+01,1,1,1
1.81E+01,1,1,1
1.81E+01,1,1,1
1.82E+01,1,1,1
1.82E+01,1,1,1
1.83E+01,1,1,1
1.83E+01,1,1,1
1.84E+01,1,1,1
1.84E+01,1,1,1
1.85E+01,1,1,1
1.85E+01,1,1,1
1.86E+01,1,1,1
1.86E+01,1,1,1
1.87E+01,1,1,1
1.87E+01,1,1,1
1.88E+01,1,1,1
1.88E+01,1,1,1
1.89E+01,1,1,1
1.89E+01,1,1,1
1.90E+01,1,1,1
1.90E+01,1,1,1
1.91E+01,1,1,1
1.91E+01,1,1,1
1.92E+01,1,1,1
1.92E+01,1,1,1
1.93E+01,1,1,1
1.93E+01,1,1,1
1.94E+01,1,1,1
1.94E+01,1,1,1
1.95E+01,1,1,1
1.95E+01,1,1,1
1.96E+01,1,1,1
1.96E+01,1,1,1
1.97E+01,1,1,1
1.97E+01,1,1,1
1.98E+01,1,1,1
1.98E+01,1,1,1
1.99E+01,1,1,1
1.99E+01,1,1,1
2.00E+01,1,1,1
2.00E+01,1,1,1
2.01E+01,1,1,1
