m,m/s,m,m/s
 9.9109109E+001,-5.7911510E-001, 9.9109109E+001,-5.0876123E-001
 1.0011011E+002,-5.7911510E-001, 1.0011011E+002,-5.0876123E-001
 1.0111111E+002,-5.7911510E-001, 1.0111111E+002,-5.0876123E-001
 1.0211211E+002,-6.0527127E-001, 1.0211211E+002,-5.1743064E-001
 1.0311311E+002,-6.0527127E-001, 1.0311311E+002,-5.1743064E-001
 1.0411411E+002,-6.0527127E-001, 1.0411411E+002,-5.1743064E-001
 1.0511512E+002,-6.0527127E-001, 1.0511512E+002,-5.1743064E-001
 1.0611612E+002,-5.7016186E-001, 1.0611612E+002,-5.3021086E-001
 1.0711712E+002,-5.7016186E-001, 1.0711712E+002,-5.3021086E-001
 1.0811812E+002,-5.7016186E-001, 1.0811812E+002,-5.3021086E-001
 1.0911912E+002,-5.7016186E-001, 1.0911912E+002,-5.3021086E-001
 1.1012012E+002,-5.7333238E-001, 1.1012012E+002,-5.3113181E-001
 1.1112112E+002,-5.7333238E-001, 1.1112112E+002,-5.3113181E-001
 1.1212212E+002,-5.7333238E-001, 1.1212212E+002,-5.3113181E-001
 1.1312312E+002,-5.7333238E-001, 1.1312312E+002,-5.3113181E-001
 1.1412412E+002,-6.0804285E-001, 1.1412412E+002,-5.5152218E-001
 1.1512513E+002,-6.0804285E-001, 1.1512513E+002,-5.5152218E-001
 1.1612613E+002,-6.0804285E-001, 1.1612613E+002,-5.5152218E-001
 1.1712713E+002,-6.0804285E-001, 1.1712713E+002,-5.5152218E-001
 1.1812813E+002,-5.5603274E-001, 1.1812813E+002,-5.6653875E-001
 1.1912913E+002,-5.5603274E-001, 1.1912913E+002,-5.6653875E-001
 1.2013013E+002,-5.5603274E-001, 1.2013013E+002,-5.6653875E-001
 1.2113113E+002,-5.5603274E-001, 1.2113113E+002,-5.6653875E-001
 1.2213213E+002,-5.7910297E-001, 1.2213213E+002,-5.6594297E-001
 1.2313313E+002,-5.7910297E-001, 1.2313313E+002,-5.6594297E-001
 1.2413413E+002,-5.7910297E-001, 1.2413413E+002,-5.6594297E-001
 1.2513514E+002,-5.7910297E-001, 1.2513514E+002,-5.6594297E-001
 1.2613614E+002,-5.8420026E-001, 1.2613614E+002,-5.6300076E-001
 1.2713714E+002,-5.8420026E-001, 1.2713714E+002,-5.6300076E-001
 1.2813814E+002,-5.8420026E-001, 1.2813814E+002,-5.6300076E-001
 1.2913914E+002,-5.8420026E-001, 1.2913914E+002,-5.6300076E-001
 1.3014014E+002,-5.8330131E-001, 1.3014014E+002,-6.0159065E-001
 1.3114114E+002,-5.8330131E-001, 1.3114114E+002,-6.0159065E-001
 1.3214214E+002,-5.8330131E-001, 1.3214214E+002,-6.0159065E-001
 1.3314314E+002,-5.8330131E-001, 1.3314314E+002,-6.0159065E-001
 1.3414414E+002,-5.6242674E-001, 1.3414414E+002,-5.7147751E-001
 1.3514515E+002,-5.6242674E-001, 1.3514515E+002,-5.7147751E-001
 1.3614615E+002,-5.6242674E-001, 1.3614615E+002,-5.7147751E-001
 1.3714715E+002,-5.6242674E-001, 1.3714715E+002,-5.7147751E-001
 1.3814815E+002,-5.6791091E-001, 1.3814815E+002,-6.1097177E-001
 1.3914915E+002,-5.6791091E-001, 1.3914915E+002,-6.1097177E-001
 1.4015015E+002,-5.6791091E-001, 1.4015015E+002,-6.1097177E-001
 1.4115115E+002,-5.6791091E-001, 1.4115115E+002,-6.1097177E-001
 1.4215215E+002,-5.9185875E-001, 1.4215215E+002,-5.9238325E-001
 1.4315315E+002,-5.9185875E-001, 1.4315315E+002,-5.9238325E-001
 1.4415415E+002,-5.9185875E-001, 1.4415415E+002,-5.9238325E-001
 1.4515516E+002,-5.9185875E-001, 1.4515516E+002,-5.9238325E-001
 1.4615616E+002,-5.6997372E-001, 1.4615616E+002,-5.9476330E-001
 1.4715716E+002,-5.6997372E-001, 1.4715716E+002,-5.9476330E-001
 1.4815816E+002,-5.6997372E-001, 1.4815816E+002,-5.9476330E-001
 1.4915916E+002,-5.6997372E-001, 1.4915916E+002,-5.9476330E-001
 1.5016016E+002,-5.6379227E-001, 1.5016016E+002,-5.9755275E-001
 1.5116116E+002,-5.6379227E-001, 1.5116116E+002,-5.9755275E-001
 1.5216216E+002,-5.6379227E-001, 1.5216216E+002,-5.9755275E-001
 1.5316316E+002,-5.6379227E-001, 1.5316316E+002,-5.9755275E-001
 1.5416416E+002,-5.5574363E-001, 1.5416416E+002,-6.2052822E-001
 1.5516517E+002,-5.5574363E-001, 1.5516517E+002,-6.2052822E-001
 1.5616617E+002,-5.5574363E-001, 1.5616617E+002,-6.2052822E-001
 1.5716717E+002,-5.5574363E-001, 1.5716717E+002,-6.2052822E-001
 1.5816817E+002,-6.0122169E-001, 1.5816817E+002,-6.2281657E-001
 1.5916917E+002,-6.0122169E-001, 1.5916917E+002,-6.2281657E-001
 1.6017017E+002,-6.0122169E-001, 1.6017017E+002,-6.2281657E-001
 1.6117117E+002,-6.0122169E-001, 1.6117117E+002,-6.2281657E-001
 1.6217217E+002,-5.6664396E-001, 1.6217217E+002,-5.9796378E-001
 1.6317317E+002,-5.6664396E-001, 1.6317317E+002,-5.9796378E-001
 1.6417417E+002,-5.6664396E-001, 1.6417417E+002,-5.9796378E-001
 1.6517518E+002,-5.6664396E-001, 1.6517518E+002,-5.9796378E-001
 1.6617618E+002,-5.8016389E-001, 1.6617618E+002,-6.3218499E-001
 1.6717718E+002,-5.8016389E-001, 1.6717718E+002,-6.3218499E-001
 1.6817818E+002,-5.8016389E-001, 1.6817818E+002,-6.3218499E-001
 1.6917918E+002,-5.8016389E-001, 1.6917918E+002,-6.3218499E-001
 1.7018018E+002,-5.5953638E-001, 1.7018018E+002,-6.1092981E-001
 1.7118118E+002,-5.5953638E-001, 1.7118118E+002,-6.1092981E-001
 1.7218218E+002,-5.5953638E-001, 1.7218218E+002,-6.1092981E-001
 1.7318318E+002,-5.5953638E-001, 1.7318318E+002,-6.1092981E-001
 1.7418418E+002,-5.6655141E-001, 1.7418418E+002,-6.2168795E-001
 1.7518519E+002,-5.6655141E-001, 1.7518519E+002,-6.2168795E-001
 1.7618619E+002,-5.6655141E-001, 1.7618619E+002,-6.2168795E-001
 1.7718719E+002,-5.6655141E-001, 1.7718719E+002,-6.2168795E-001
 1.7818819E+002,-5.5849729E-001, 1.7818819E+002,-6.2283767E-001
 1.7918919E+002,-5.5849729E-001, 1.7918919E+002,-6.2283767E-001
 1.8019019E+002,-5.5849729E-001, 1.8019019E+002,-6.2283767E-001
 1.8119119E+002,-5.5849729E-001, 1.8119119E+002,-6.2283767E-001
 1.8219219E+002,-5.8061466E-001, 1.8219219E+002,-6.3179281E-001
 1.8319319E+002,-5.8061466E-001, 1.8319319E+002,-6.3179281E-001
 1.8419419E+002,-5.8061466E-001, 1.8419419E+002,-6.3179281E-001
 1.8519520E+002,-5.8061466E-001, 1.8519520E+002,-6.3179281E-001
 1.8619620E+002,-5.8492946E-001, 1.8619620E+002,-6.4957812E-001
 1.8719720E+002,-5.8492946E-001, 1.8719720E+002,-6.4957812E-001
 1.8819820E+002,-5.8492946E-001, 1.8819820E+002,-6.4957812E-001
 1.8919920E+002,-5.8492946E-001, 1.8919920E+002,-6.4957812E-001
 1.9020020E+002,-5.5649595E-001, 1.9020020E+002,-6.3989546E-001
 1.9120120E+002,-5.5649595E-001, 1.9120120E+002,-6.3989546E-001
 1.9220220E+002,-5.5649595E-001, 1.9220220E+002,-6.3989546E-001
 1.9320320E+002,-5.5649595E-001, 1.9320320E+002,-6.3989546E-001
 1.9420420E+002,-5.8680936E-001, 1.9420420E+002,-6.0747401E-001
 1.9520521E+002,-5.8680936E-001, 1.9520521E+002,-6.0747401E-001
 1.9620621E+002,-5.8680936E-001, 1.9620621E+002,-6.0747401E-001
 1.9720721E+002,-5.8680936E-001, 1.9720721E+002,-6.0747401E-001
 1.9820821E+002,-5.5196907E-001, 1.9820821E+002,-6.5791599E-001
 1.9920921E+002,-5.5196907E-001, 1.9920921E+002,-6.5791599E-001
 2.0021021E+002,-5.5196907E-001, 2.0021021E+002,-6.5791599E-001
 2.0121121E+002,-5.5196907E-001, 2.0121121E+002,-6.5791599E-001
 2.0221221E+002,-5.6843490E-001, 2.0221221E+002,-6.3018627E-001
 2.0321321E+002,-5.6843490E-001, 2.0321321E+002,-6.3018627E-001
 2.0421421E+002,-5.6843490E-001, 2.0421421E+002,-6.3018627E-001
 2.0521522E+002,-5.6843490E-001, 2.0521522E+002,-6.3018627E-001
 2.0621622E+002,-5.8506664E-001, 2.0621622E+002,-6.4809416E-001
 2.0721722E+002,-5.8506664E-001, 2.0721722E+002,-6.4809416E-001
 2.0821822E+002,-5.8506664E-001, 2.0821822E+002,-6.4809416E-001
 2.0921922E+002,-5.8506664E-001, 2.0921922E+002,-6.4809416E-001
 2.1022022E+002,-5.8270684E-001, 2.1022022E+002,-6.3704836E-001
 2.1122122E+002,-5.8270684E-001, 2.1122122E+002,-6.3704836E-001
 2.1222222E+002,-5.8270684E-001, 2.1222222E+002,-6.3704836E-001
 2.1322322E+002,-5.8270684E-001, 2.1322322E+002,-6.3704836E-001
 2.1422422E+002,-5.7416067E-001, 2.1422422E+002,-6.3435345E-001
 2.1522523E+002,-5.7416067E-001, 2.1522523E+002,-6.3435345E-001
 2.1622623E+002,-5.7416067E-001, 2.1622623E+002,-6.3435345E-001
 2.1722723E+002,-5.7416067E-001, 2.1722723E+002,-6.3435345E-001
 2.1822823E+002,-5.6702311E-001, 2.1822823E+002,-6.2849526E-001
 2.1922923E+002,-5.6702311E-001, 2.1922923E+002,-6.2849526E-001
 2.2023023E+002,-5.6702311E-001, 2.2023023E+002,-6.2849526E-001
 2.2123123E+002,-5.6702311E-001, 2.2123123E+002,-6.2849526E-001
 2.2223223E+002,-5.5327528E-001, 2.2223223E+002,-6.4729426E-001
 2.2323323E+002,-5.5327528E-001, 2.2323323E+002,-6.4729426E-001
 2.2423423E+002,-5.5327528E-001, 2.2423423E+002,-6.4729426E-001
 2.2523524E+002,-5.5327528E-001, 2.2523524E+002,-6.4729426E-001
 2.2623624E+002,-5.8920937E-001, 2.2623624E+002,-6.5771464E-001
 2.2723724E+002,-5.8920937E-001, 2.2723724E+002,-6.5771464E-001
 2.2823824E+002,-5.8920937E-001, 2.2823824E+002,-6.5771464E-001
 2.2923924E+002,-5.8920937E-001, 2.2923924E+002,-6.5771464E-001
 2.3024024E+002,-5.6340408E-001, 2.3024024E+002,-6.2073742E-001
 2.3124124E+002,-5.6340408E-001, 2.3124124E+002,-6.2073742E-001
 2.3224224E+002,-5.6340408E-001, 2.3224224E+002,-6.2073742E-001
 2.3324324E+002,-5.6340408E-001, 2.3324324E+002,-6.2073742E-001
 2.3424424E+002,-5.7967121E-001, 2.3424424E+002,-6.4434379E-001
 2.3524525E+002,-5.7967121E-001, 2.3524525E+002,-6.4434379E-001
 2.3624625E+002,-5.7967121E-001, 2.3624625E+002,-6.4434379E-001
 2.3724725E+002,-5.7967121E-001, 2.3724725E+002,-6.4434379E-001
 2.3824825E+002,-5.6536383E-001, 2.3824825E+002,-6.6484413E-001
 2.3924925E+002,-5.6536383E-001, 2.3924925E+002,-6.6484413E-001
 2.4025025E+002,-5.6536383E-001, 2.4025025E+002,-6.6484413E-001
 2.4125125E+002,-5.6536383E-001, 2.4125125E+002,-6.6484413E-001
 2.4225225E+002,-5.7727594E-001, 2.4225225E+002,-6.2800666E-001
 2.4325325E+002,-5.7727594E-001, 2.4325325E+002,-6.2800666E-001
 2.4425425E+002,-5.7727594E-001, 2.4425425E+002,-6.2800666E-001
 2.4525526E+002,-5.7727594E-001, 2.4525526E+002,-6.2800666E-001
 2.4625626E+002,-5.5921820E-001, 2.4625626E+002,-6.5941727E-001
 2.4725726E+002,-5.5921820E-001, 2.4725726E+002,-6.5941727E-001
 2.4825826E+002,-5.5921820E-001, 2.4825826E+002,-6.5941727E-001
 2.4925926E+002,-5.5921820E-001, 2.4925926E+002,-6.5941727E-001
 2.5026026E+002,-5.7605948E-001, 2.5026026E+002,-6.3264096E-001
 2.5126126E+002,-5.7605948E-001, 2.5126126E+002,-6.3264096E-001
 2.5226226E+002,-5.7605948E-001, 2.5226226E+002,-6.3264096E-001
 2.5326326E+002,-5.7605948E-001, 2.5326326E+002,-6.3264096E-001
 2.5426426E+002,-5.6940917E-001, 2.5426426E+002,-6.5643305E-001
 2.5526527E+002,-5.6940917E-001, 2.5526527E+002,-6.5643305E-001
 2.5626627E+002,-5.6940917E-001, 2.5626627E+002,-6.5643305E-001
 2.5726727E+002,-5.6940917E-001, 2.5726727E+002,-6.5643305E-001
 2.5826827E+002,-5.9054048E-001, 2.5826827E+002,-6.6174495E-001
 2.5926927E+002,-5.9054048E-001, 2.5926927E+002,-6.6174495E-001
 2.6027027E+002,-5.9054048E-001, 2.6027027E+002,-6.6174495E-001
 2.6127127E+002,-5.9054048E-001, 2.6127127E+002,-6.6174495E-001
 2.6227227E+002,-5.7052674E-001, 2.6227227E+002,-6.4489477E-001
 2.6327327E+002,-5.7052674E-001, 2.6327327E+002,-6.4489477E-001
 2.6427427E+002,-5.7052674E-001, 2.6427427E+002,-6.4489477E-001
 2.6527528E+002,-5.7052674E-001, 2.6527528E+002,-6.4489477E-001
 2.6627628E+002,-5.7290015E-001, 2.6627628E+002,-6.5754506E-001
 2.6727728E+002,-5.7290015E-001, 2.6727728E+002,-6.5754506E-001
 2.6827828E+002,-5.7290015E-001, 2.6827828E+002,-6.5754506E-001
 2.6927928E+002,-5.7290015E-001, 2.6927928E+002,-6.5754506E-001
 2.7028028E+002,-5.6790203E-001, 2.7028028E+002,-6.5127359E-001
 2.7128128E+002,-5.6790203E-001, 2.7128128E+002,-6.5127359E-001
 2.7228228E+002,-5.6790203E-001, 2.7228228E+002,-6.5127359E-001
 2.7328328E+002,-5.6790203E-001, 2.7328328E+002,-6.5127359E-001
 2.7428428E+002,-5.6592412E-001, 2.7428428E+002,-6.3627630E-001
 2.7528529E+002,-5.6592412E-001, 2.7528529E+002,-6.3627630E-001
 2.7628629E+002,-5.6592412E-001, 2.7628629E+002,-6.3627630E-001
 2.7728729E+002,-5.6592412E-001, 2.7728729E+002,-6.3627630E-001
 2.7828829E+002,-5.8366325E-001, 2.7828829E+002,-6.5268665E-001
 2.7928929E+002,-5.8366325E-001, 2.7928929E+002,-6.5268665E-001
 2.8029029E+002,-5.8366325E-001, 2.8029029E+002,-6.5268665E-001
 2.8129129E+002,-5.8366325E-001, 2.8129129E+002,-6.5268665E-001
 2.8229229E+002,-5.6410686E-001, 2.8229229E+002,-6.6118466E-001
 2.8329329E+002,-5.6410686E-001, 2.8329329E+002,-6.6118466E-001
 2.8429429E+002,-5.6410686E-001, 2.8429429E+002,-6.6118466E-001
 2.8529530E+002,-5.6410686E-001, 2.8529530E+002,-6.6118466E-001
 2.8629630E+002,-5.8601658E-001, 2.8629630E+002,-6.4547889E-001
 2.8729730E+002,-5.8601658E-001, 2.8729730E+002,-6.4547889E-001
 2.8829830E+002,-5.8601658E-001, 2.8829830E+002,-6.4547889E-001
 2.8929930E+002,-5.8601658E-001, 2.8929930E+002,-6.4547889E-001
 2.9030030E+002,-5.7109800E-001, 2.9030030E+002,-6.2703210E-001
 2.9130130E+002,-5.7109800E-001, 2.9130130E+002,-6.2703210E-001
 2.9230230E+002,-5.7109800E-001, 2.9230230E+002,-6.2703210E-001
 2.9330330E+002,-5.7109800E-001, 2.9330330E+002,-6.2703210E-001
 2.9430430E+002,-5.5584369E-001, 2.9430430E+002,-6.5258470E-001
 2.9530531E+002,-5.5584369E-001, 2.9530531E+002,-6.5258470E-001
 2.9630631E+002,-5.5584369E-001, 2.9630631E+002,-6.5258470E-001
 2.9730731E+002,-5.5584369E-001, 2.9730731E+002,-6.5258470E-001
 2.9830831E+002,-5.9072700E-001, 2.9830831E+002,-6.2740551E-001
 2.9930931E+002,-5.9072700E-001, 2.9930931E+002,-6.2740551E-001
 3.0031031E+002,-5.9072700E-001, 3.0031031E+002,-6.2740551E-001
 3.0131131E+002,-5.9072700E-001, 3.0131131E+002,-6.2740551E-001
 3.0231231E+002,-5.6030899E-001, 3.0231231E+002,-6.3482629E-001
 3.0331331E+002,-5.6030899E-001, 3.0331331E+002,-6.3482629E-001
 3.0431431E+002,-5.6030899E-001, 3.0431431E+002,-6.3482629E-001
 3.0531532E+002,-5.6030899E-001, 3.0531532E+002,-6.3482629E-001
 3.0631632E+002,-5.7830510E-001, 3.0631632E+002,-6.4497427E-001
 3.0731732E+002,-5.7830510E-001, 3.0731732E+002,-6.4497427E-001
 3.0831832E+002,-5.7830510E-001, 3.0831832E+002,-6.4497427E-001
 3.0931932E+002,-5.7830510E-001, 3.0931932E+002,-6.4497427E-001
 3.1032032E+002,-5.5331165E-001, 3.1032032E+002,-6.5613763E-001
 3.1132132E+002,-5.5331165E-001, 3.1132132E+002,-6.5613763E-001
 3.1232232E+002,-5.5331165E-001, 3.1232232E+002,-6.5613763E-001
 3.1332332E+002,-5.5331165E-001, 3.1332332E+002,-6.5613763E-001
 3.1432432E+002,-5.8404610E-001, 3.1432432E+002,-6.1931736E-001
 3.1532533E+002,-5.8404610E-001, 3.1532533E+002,-6.1931736E-001
 3.1632633E+002,-5.8404610E-001, 3.1632633E+002,-6.1931736E-001
 3.1732733E+002,-5.8404610E-001, 3.1732733E+002,-6.1931736E-001
 3.1832833E+002,-5.7018889E-001, 3.1832833E+002,-6.5345087E-001
 3.1932933E+002,-5.7018889E-001, 3.1932933E+002,-6.5345087E-001
 3.2033033E+002,-5.7018889E-001, 3.2033033E+002,-6.5345087E-001
 3.2133133E+002,-5.7018889E-001, 3.2133133E+002,-6.5345087E-001
 3.2233233E+002,-5.7686827E-001, 3.2233233E+002,-6.2690359E-001
 3.2333333E+002,-5.7686827E-001, 3.2333333E+002,-6.2690359E-001
 3.2433433E+002,-5.7686827E-001, 3.2433433E+002,-6.2690359E-001
 3.2533534E+002,-5.7686827E-001, 3.2533534E+002,-6.2690359E-001
 3.2633634E+002,-5.6974988E-001, 3.2633634E+002,-6.2678314E-001
 3.2733734E+002,-5.6974988E-001, 3.2733734E+002,-6.2678314E-001
 3.2833834E+002,-5.6974988E-001, 3.2833834E+002,-6.2678314E-001
 3.2933934E+002,-5.6974988E-001, 3.2933934E+002,-6.2678314E-001
 3.3034034E+002,-5.6403266E-001, 3.3034034E+002,-6.6515873E-001
 3.3134134E+002,-5.6403266E-001, 3.3134134E+002,-6.6515873E-001
 3.3234234E+002,-5.6403266E-001, 3.3234234E+002,-6.6515873E-001
 3.3334334E+002,-5.6403266E-001, 3.3334334E+002,-6.6515873E-001
 3.3434434E+002,-5.6977952E-001, 3.3434434E+002,-6.3333465E-001
 3.3534535E+002,-5.6977952E-001, 3.3534535E+002,-6.3333465E-001
 3.3634635E+002,-5.6977952E-001, 3.3634635E+002,-6.3333465E-001
 3.3734735E+002,-5.6977952E-001, 3.3734735E+002,-6.3333465E-001
