s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 9.0017303E+001, 8.7360940E+001, 8.7360940E+001, 8.7360940E+001, 2.8917145E+002, 2.8617021E+002, 2.8419862E+002, 2.8944830E+002, 2.7406530E+002, 2.5779392E+002, 2.0330231E+002, 3.1545316E+002, 3.0251138E+002, 2.9041358E+002, 2.7190325E+002, 2.4684134E+002, 1.9035775E+002, 1.4218650E+002, 2.3835126E+002, 2.4379825E+002, 2.5281468E+002, 2.1677937E+002, 1.7664906E+002, 1.7407844E+002, 1.6950616E+002
 9.5032318E+001, 9.2287396E+001, 9.2287396E+001, 9.2287396E+001, 2.7841436E+002, 2.7595844E+002, 2.7462963E+002, 2.6903464E+002, 2.5099536E+002, 2.1336588E+002, 1.7781868E+002, 2.2367469E+002, 2.2582416E+002, 2.0606681E+002, 1.8766516E+002, 1.7803825E+002, 1.7614835E+002, 1.5980371E+002, 2.0005216E+002, 1.9524929E+002, 1.8662545E+002, 1.8126035E+002, 1.7791859E+002, 1.7576393E+002, 1.6269004E+002
 1.0002418E+002, 9.7533675E+001, 9.7533675E+001, 9.7533675E+001, 2.6156645E+002, 2.6089803E+002, 2.5922306E+002, 2.4421757E+002, 2.0296864E+002, 1.7120722E+002, 1.4671728E+002, 1.8935957E+002, 1.9156172E+002, 1.8103282E+002, 1.7373838E+002, 1.7027919E+002, 1.6608549E+002, 1.5365118E+002, 1.6521763E+002, 1.7396849E+002, 1.7629364E+002, 1.7716952E+002, 1.7691263E+002, 1.7089247E+002, 1.6343216E+002
 1.0504230E+002, 1.0261522E+002, 1.0261522E+002, 1.0261522E+002, 2.4823895E+002, 2.4718686E+002, 2.4209664E+002, 2.2298863E+002, 1.8412579E+002, 1.6142836E+002, 1.3693447E+002, 1.6880983E+002, 1.6412014E+002, 1.5916148E+002, 1.5478710E+002, 1.4931215E+002, 1.3974962E+002, 1.2867191E+002, 1.5243130E+002, 1.6072118E+002, 1.6137879E+002, 1.6076811E+002, 1.5876341E+002, 1.5389137E+002, 1.3934548E+002
 1.1000353E+002, 1.0751001E+002, 1.0751001E+002, 1.0751001E+002, 2.3667422E+002, 2.3583223E+002, 2.3101161E+002, 2.0598671E+002, 1.6837597E+002, 1.4465007E+002, 1.2031699E+002, 1.6002963E+002, 1.4644426E+002, 1.4625519E+002, 1.4077078E+002, 1.3024709E+002, 1.2503780E+002, 1.1830417E+002, 1.5051330E+002, 1.5549959E+002, 1.5593363E+002, 1.5454615E+002, 1.4960567E+002, 1.4337713E+002, 1.3333733E+002
 1.1500467E+002, 1.1283029E+002, 1.1283029E+002, 1.1283029E+002, 2.2948120E+002, 2.2588183E+002, 2.2011255E+002, 1.8852276E+002, 1.5180547E+002, 1.3110154E+002, 1.1008755E+002, 1.4742814E+002, 1.3784117E+002, 1.3725047E+002, 1.3308695E+002, 1.2983848E+002, 1.1778027E+002, 1.1436938E+002, 1.3614894E+002, 1.4503569E+002, 1.4376705E+002, 1.4377276E+002, 1.3963146E+002, 1.3349239E+002, 1.1985987E+002
 1.2001987E+002, 1.1762836E+002, 1.1762836E+002, 1.1762836E+002, 2.2120464E+002, 2.1670907E+002, 2.1178642E+002, 1.7591261E+002, 1.3934935E+002, 1.2458132E+002, 1.0347810E+002, 1.4025730E+002, 1.2967708E+002, 1.2508081E+002, 1.2114980E+002, 1.1603936E+002, 1.1418335E+002, 1.0679046E+002, 1.5744303E+002, 1.4397330E+002, 1.4075930E+002, 1.3886973E+002, 1.3507415E+002, 1.1800251E+002, 1.0460653E+002
 1.2500578E+002, 1.2248397E+002, 1.2248397E+002, 1.2248397E+002, 2.1323543E+002, 2.0894770E+002, 2.0420553E+002, 1.6543553E+002, 1.3381725E+002, 1.1669385E+002, 9.9489788E+001, 1.2896335E+002, 1.3177186E+002, 1.3743009E+002, 1.3457780E+002, 1.2296212E+002, 1.1203546E+002, 1.0570285E+002, 1.6270789E+002, 1.4530894E+002, 1.4070309E+002, 1.3231691E+002, 1.2339160E+002, 1.1125979E+002, 1.0008245E+002
 1.3001866E+002, 1.2760869E+002, 1.2760869E+002, 1.2760869E+002, 2.0628610E+002, 2.0208146E+002, 1.9715417E+002, 1.5673641E+002, 1.3589624E+002, 1.2171207E+002, 9.9226097E+001, 1.2712569E+002, 1.2808223E+002, 1.2645858E+002, 1.1888283E+002, 1.1310393E+002, 1.0602801E+002, 1.0337654E+002, 1.5751461E+002, 1.4627747E+002, 1.3581107E+002, 1.3011550E+002, 1.2220549E+002, 1.0499387E+002, 9.6095189E+001
 1.3500430E+002, 1.3267705E+002, 1.3267705E+002, 1.3267705E+002, 1.9972650E+002, 1.9567034E+002, 1.9073125E+002, 1.5187149E+002, 1.3156083E+002, 1.1903417E+002, 1.0035510E+002, 1.2128956E+002, 1.2642347E+002, 1.2153824E+002, 1.1442312E+002, 1.0647403E+002, 1.0281612E+002, 1.0017895E+002, 1.6523768E+002, 1.4200894E+002, 1.3360536E+002, 1.2024194E+002, 1.0365342E+002, 9.2657212E+001, 8.6006347E+001
 1.4001683E+002, 1.3773691E+002, 1.3773691E+002, 1.3773691E+002, 1.9373362E+002, 1.9018421E+002, 1.8470401E+002, 1.4835499E+002, 1.2619202E+002, 1.1477514E+002, 9.5201519E+001, 1.3366331E+002, 1.3296387E+002, 1.2364745E+002, 1.1009753E+002, 1.0177655E+002, 9.7722977E+001, 8.8578482E+001, 1.6610150E+002, 1.4630366E+002, 1.4004253E+002, 1.2982198E+002, 1.0672925E+002, 9.2138807E+001, 8.7685927E+001
 1.4501480E+002, 1.4259051E+002, 1.4259051E+002, 1.4259051E+002, 1.8906951E+002, 1.8512288E+002, 1.7967715E+002, 1.4514497E+002, 1.3111799E+002, 1.1635606E+002, 9.5906582E+001, 1.2222167E+002, 1.2231714E+002, 1.2434092E+002, 1.1179608E+002, 1.0229330E+002, 9.6143546E+001, 8.9748457E+001, 1.7046035E+002, 1.4568893E+002, 1.4129576E+002, 1.2848033E+002, 1.1104394E+002, 9.6207865E+001, 8.7412032E+001
 1.5000098E+002, 1.4778027E+002, 1.4778027E+002, 1.4778027E+002, 1.8470083E+002, 1.8049162E+002, 1.7601566E+002, 1.4711993E+002, 1.3230032E+002, 1.1905777E+002, 9.8963704E+001, 1.2439617E+002, 1.2663773E+002, 1.2537671E+002, 1.1511727E+002, 1.0311057E+002, 9.5650280E+001, 9.3471461E+001, 1.6900089E+002, 1.5490663E+002, 1.4124252E+002, 1.2497654E+002, 1.0381536E+002, 9.3239017E+001, 8.4427616E+001
 1.5500650E+002, 1.5256563E+002, 1.5256563E+002, 1.5256563E+002, 1.7925422E+002, 1.7532665E+002, 1.6899298E+002, 1.4884478E+002, 1.2777200E+002, 1.1518003E+002, 9.9124081E+001, 1.2478906E+002, 1.2474430E+002, 1.2054787E+002, 1.0754237E+002, 9.7955249E+001, 9.1473125E+001, 8.2775180E+001, 1.8293333E+002, 1.5000379E+002, 1.4245029E+002, 1.2595364E+002, 1.0589285E+002, 8.9963253E+001, 8.4612913E+001
 1.6000154E+002, 1.5755221E+002, 1.5755221E+002, 1.5755221E+002, 1.7559120E+002, 1.7290096E+002, 1.6804278E+002, 1.3938547E+002, 1.3256700E+002, 1.1724417E+002, 9.6708780E+001, 1.3518993E+002, 1.3107667E+002, 1.2329650E+002, 1.0642072E+002, 9.8594419E+001, 9.2346385E+001, 7.8983892E+001, 1.7760314E+002, 1.5323665E+002, 1.4897892E+002, 1.2030143E+002, 1.0409907E+002, 9.0238104E+001, 8.5283461E+001
 1.6501227E+002, 1.6267701E+002, 1.6267701E+002, 1.6267701E+002, 1.7259146E+002, 1.6858803E+002, 1.6315769E+002, 1.3863673E+002, 1.3295486E+002, 1.1965820E+002, 9.8573980E+001, 1.2154285E+002, 1.2682354E+002, 1.2169159E+002, 1.0984871E+002, 9.9901728E+001, 9.2849218E+001, 8.1289472E+001, 1.7805067E+002, 1.5422202E+002, 1.4131327E+002, 1.2307665E+002, 1.0250584E+002, 9.1609303E+001, 8.2156136E+001
 1.7000652E+002, 1.6760248E+002, 1.6760248E+002, 1.6760248E+002, 1.6863087E+002, 1.6545908E+002, 1.6128653E+002, 1.4464968E+002, 1.3268748E+002, 1.1982353E+002, 1.0153527E+002, 1.2699348E+002, 1.2082706E+002, 1.2708056E+002, 1.1704103E+002, 1.0289299E+002, 9.7246672E+001, 8.5961587E+001, 1.7511215E+002, 1.4953310E+002, 1.4257680E+002, 1.2667756E+002, 9.9744970E+001, 8.7300220E+001, 8.1970827E+001
 1.7500729E+002, 1.7257401E+002, 1.7257401E+002, 1.7257401E+002, 1.6439496E+002, 1.6181348E+002, 1.5707482E+002, 1.3964912E+002, 1.3316978E+002, 1.2117948E+002, 1.0034398E+002, 1.2560778E+002, 1.2290657E+002, 1.2840101E+002, 1.1796624E+002, 1.0053604E+002, 8.9578080E+001, 7.6673037E+001, 1.7117510E+002, 1.5962108E+002, 1.4667242E+002, 1.3234975E+002, 1.0267132E+002, 8.8687506E+001, 8.2888525E+001
 1.8000974E+002, 1.7757046E+002, 1.7757046E+002, 1.7757046E+002, 1.6189378E+002, 1.5847265E+002, 1.5276766E+002, 1.4097604E+002, 1.3322707E+002, 1.2375525E+002, 1.0389664E+002, 1.2227905E+002, 1.2637538E+002, 1.2698365E+002, 1.1927611E+002, 1.0177824E+002, 9.3277340E+001, 7.9693646E+001, 1.6839412E+002, 1.5504883E+002, 1.5038341E+002, 1.3160739E+002, 1.0591095E+002, 9.0878765E+001, 8.1432917E+001
 1.8500781E+002, 1.8249385E+002, 1.8249385E+002, 1.8249385E+002, 1.5931303E+002, 1.5557977E+002, 1.4709185E+002, 1.4108391E+002, 1.3547196E+002, 1.2288224E+002, 1.0596255E+002, 1.2357798E+002, 1.2477903E+002, 1.2143638E+002, 1.0989727E+002, 9.9685185E+001, 9.0314225E+001, 7.7061285E+001, 1.7812314E+002, 1.6305554E+002, 1.5246953E+002, 1.2697654E+002, 1.1063668E+002, 9.2228895E+001, 8.5318578E+001
 1.9001277E+002, 1.8753221E+002, 1.8753221E+002, 1.8753221E+002, 1.5621223E+002, 1.5409417E+002, 1.5193999E+002, 1.4019657E+002, 1.3389495E+002, 1.2250289E+002, 1.0075239E+002, 1.2885546E+002, 1.2592547E+002, 1.2515962E+002, 1.1875804E+002, 1.0271989E+002, 9.4174308E+001, 8.0981951E+001, 1.8085930E+002, 1.5715455E+002, 1.4888709E+002, 1.2680440E+002, 1.0526051E+002, 9.0131320E+001, 8.2323294E+001
 1.9500273E+002, 1.9250889E+002, 1.9250889E+002, 1.9250889E+002, 1.5218232E+002, 1.5007007E+002, 1.4669222E+002, 1.3436132E+002, 1.2994436E+002, 1.2428019E+002, 1.0245582E+002, 1.2642618E+002, 1.2482092E+002, 1.2318342E+002, 1.1096104E+002, 1.0076154E+002, 9.0149256E+001, 7.9806551E+001, 1.8204771E+002, 1.6071966E+002, 1.4899956E+002, 1.2307644E+002, 1.0235588E+002, 8.8567666E+001, 8.2838996E+001
 2.0000180E+002, 1.9757356E+002, 1.9757356E+002, 1.9757356E+002, 1.4867528E+002, 1.4816260E+002, 1.4574197E+002, 1.3647550E+002, 1.2751910E+002, 1.2251100E+002, 9.8109503E+001, 1.2925150E+002, 1.2893065E+002, 1.2059156E+002, 1.0960302E+002, 1.0203760E+002, 9.0966778E+001, 7.7174119E+001, 1.8632098E+002, 1.5688147E+002, 1.5119783E+002, 1.2937349E+002, 1.0190907E+002, 9.2694274E+001, 8.3411829E+001
 2.0501370E+002, 2.0262046E+002, 2.0262046E+002, 2.0262046E+002, 1.4698598E+002, 1.4490258E+002, 1.4198457E+002, 1.3580520E+002, 1.3107367E+002, 1.2684377E+002, 1.0354682E+002, 1.3662660E+002, 1.3044074E+002, 1.2352534E+002, 1.1450952E+002, 1.0484971E+002, 9.3791029E+001, 8.2239442E+001, 1.8990261E+002, 1.5819928E+002, 1.5060370E+002, 1.2158017E+002, 1.0238892E+002, 8.9310853E+001, 8.1289779E+001
 2.1001434E+002, 2.0763963E+002, 2.0763963E+002, 2.0763963E+002, 1.4561424E+002, 1.4349149E+002, 1.4097588E+002, 1.3264767E+002, 1.3011364E+002, 1.2210551E+002, 1.0038031E+002, 1.3207927E+002, 1.3023670E+002, 1.2280438E+002, 1.1260027E+002, 1.0014931E+002, 9.3150893E+001, 8.5671900E+001, 1.8334559E+002, 1.6519199E+002, 1.5725083E+002, 1.2481713E+002, 1.0116357E+002, 8.5701853E+001, 8.1698846E+001
 2.1500520E+002, 2.1252637E+002, 2.1252637E+002, 2.1252637E+002, 1.4270347E+002, 1.4131725E+002, 1.3840293E+002, 1.3426554E+002, 1.3192449E+002, 1.2573387E+002, 1.0885072E+002, 1.3783850E+002, 1.2933860E+002, 1.2203294E+002, 1.1306624E+002, 1.0248563E+002, 9.1499080E+001, 7.7223252E+001, 1.7810526E+002, 1.6072410E+002, 1.5862918E+002, 1.3183889E+002, 1.0528283E+002, 8.9472142E+001, 8.3246805E+001
 2.2000967E+002, 2.1748858E+002, 2.1748858E+002, 2.1748858E+002, 1.4061248E+002, 1.3809529E+002, 1.3554634E+002, 1.3498591E+002, 1.3212502E+002, 1.2706192E+002, 1.0837552E+002, 1.3026550E+002, 1.3426018E+002, 1.2828605E+002, 1.1510387E+002, 1.0172384E+002, 9.5168439E+001, 8.2909196E+001, 1.7803015E+002, 1.6006578E+002, 1.5624672E+002, 1.2828611E+002, 1.0648707E+002, 9.1777604E+001, 8.3293354E+001
 2.2500410E+002, 2.2246913E+002, 2.2246913E+002, 2.2246913E+002, 1.3892090E+002, 1.3800726E+002, 1.3650356E+002, 1.3150234E+002, 1.3053962E+002, 1.2267325E+002, 1.0456274E+002, 1.4084601E+002, 1.4355575E+002, 1.1988796E+002, 1.1292658E+002, 1.0538373E+002, 9.4459541E+001, 8.0298758E+001, 1.9037688E+002, 1.6461454E+002, 1.5512084E+002, 1.2806527E+002, 1.0814574E+002, 9.5253506E+001, 8.2418605E+001
 2.3001357E+002, 2.2750874E+002, 2.2750874E+002, 2.2750874E+002, 1.3681097E+002, 1.3585336E+002, 1.3486280E+002, 1.3273639E+002, 1.2984121E+002, 1.2225226E+002, 1.0599008E+002, 1.4273283E+002, 1.3973824E+002, 1.2388070E+002, 1.1587350E+002, 1.0632445E+002, 9.8119107E+001, 8.8771192E+001, 1.9139246E+002, 1.5857377E+002, 1.5569707E+002, 1.3180409E+002, 1.1137648E+002, 9.8647815E+001, 8.4129122E+001
 2.3501169E+002, 2.3262709E+002, 2.3262709E+002, 2.3262709E+002, 1.3517602E+002, 1.3503740E+002, 1.3586015E+002, 1.3967584E+002, 1.3118460E+002, 1.2398458E+002, 1.1111984E+002, 1.3929609E+002, 1.3406688E+002, 1.2539855E+002, 1.1740785E+002, 1.1173097E+002, 1.0098379E+002, 9.0345094E+001, 1.8822576E+002, 1.7024473E+002, 1.5987586E+002, 1.4147467E+002, 1.0892476E+002, 9.2845658E+001, 8.4142961E+001
 2.4000429E+002, 2.3744425E+002, 2.3744425E+002, 2.3744425E+002, 1.3371510E+002, 1.3525875E+002, 1.3547234E+002, 1.3511534E+002, 1.2940510E+002, 1.2215859E+002, 1.0611623E+002, 1.4773733E+002, 1.4439499E+002, 1.2616829E+002, 1.1868229E+002, 1.0786898E+002, 9.9786236E+001, 8.8601448E+001, 1.9311102E+002, 1.6981206E+002, 1.6794755E+002, 1.4879304E+002, 1.1863565E+002, 9.6289130E+001, 8.5502303E+001
 2.4500975E+002, 2.4244145E+002, 2.4244145E+002, 2.4244145E+002, 1.3320156E+002, 1.3417018E+002, 1.3361244E+002, 1.3991730E+002, 1.3658733E+002, 1.2386440E+002, 1.0707143E+002, 1.4312785E+002, 1.3874138E+002, 1.2352096E+002, 1.1493370E+002, 1.0921215E+002, 1.0099632E+002, 8.8106757E+001, 1.8721899E+002, 1.6385539E+002, 1.6269302E+002, 1.4134786E+002, 1.1285886E+002, 9.5393318E+001, 8.5074782E+001
 2.5001303E+002, 2.4750086E+002, 2.4750086E+002, 2.4750086E+002, 1.3495713E+002, 1.3443922E+002, 1.3574530E+002, 1.3565510E+002, 1.3007790E+002, 1.2419043E+002, 1.1000249E+002, 1.4325783E+002, 1.4134118E+002, 1.2710281E+002, 1.1481468E+002, 1.0904307E+002, 9.6510904E+001, 8.3411252E+001, 1.8664233E+002, 1.5876143E+002, 1.5563924E+002, 1.4528443E+002, 1.1303052E+002, 9.6071018E+001, 8.6082076E+001
 2.5501233E+002, 2.5264878E+002, 2.5264878E+002, 2.5264878E+002, 1.3296293E+002, 1.3374636E+002, 1.3409648E+002, 1.3523230E+002, 1.3020289E+002, 1.2403654E+002, 1.0679700E+002, 1.4401523E+002, 1.3870359E+002, 1.3031516E+002, 1.2166625E+002, 1.1268755E+002, 1.0411399E+002, 8.8929829E+001, 1.9072551E+002, 1.6499867E+002, 1.5688684E+002, 1.3768577E+002, 1.1470146E+002, 1.0102579E+002, 8.8875448E+001
 2.6001053E+002, 2.5749163E+002, 2.5749163E+002, 2.5749163E+002, 1.3228512E+002, 1.3280843E+002, 1.3318875E+002, 1.3503625E+002, 1.3003532E+002, 1.2510996E+002, 1.0513351E+002, 1.4323091E+002, 1.3367560E+002, 1.2509678E+002, 1.1536261E+002, 1.0893752E+002, 1.0379209E+002, 8.5525065E+001, 1.8877861E+002, 1.6938366E+002, 1.6526575E+002, 1.3985679E+002, 1.1754220E+002, 1.0109740E+002, 8.8266251E+001
 2.6501569E+002, 2.6246878E+002, 2.6246878E+002, 2.6246878E+002, 1.2948087E+002, 1.2937562E+002, 1.2947718E+002, 1.3507603E+002, 1.3284085E+002, 1.2548965E+002, 1.0642189E+002, 1.4756653E+002, 1.4714510E+002, 1.2607873E+002, 1.1831475E+002, 1.1457055E+002, 1.0427915E+002, 9.9738969E+001, 1.8184796E+002, 1.6733541E+002, 1.6393414E+002, 1.5023782E+002, 1.1947028E+002, 1.0196219E+002, 8.6944195E+001
 2.7000977E+002, 2.6745991E+002, 2.6745991E+002, 2.6745991E+002, 1.3113327E+002, 1.2987651E+002, 1.3116766E+002, 1.3509002E+002, 1.3174906E+002, 1.2512347E+002, 1.0768485E+002, 1.4621013E+002, 1.4087727E+002, 1.2463923E+002, 1.2070431E+002, 1.1360526E+002, 1.0228263E+002, 9.4562313E+001, 1.8779614E+002, 1.6676900E+002, 1.6072388E+002, 1.4953287E+002, 1.1023462E+002, 9.6888311E+001, 8.6426439E+001
