s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 9.0009773E+001, 8.7513205E+001, 8.7513205E+001, 8.7513205E+001, 4.9583707E+002, 4.3803431E+002, 4.3205231E+002, 4.2763242E+002, 4.2649205E+002, 2.4718597E+002, 8.1007013E+001, 3.1375664E+002, 3.2483273E+002, 2.8788168E+002, 6.8100995E+001, 3.4461456E+001, 3.0137269E+001, 2.8145917E+001, 2.2734763E+002, 1.7332170E+002, 1.3130687E+002, 5.4263184E+001, 3.0057585E+001, 2.8234701E+001, 2.6835270E+001
 9.5002907E+001, 9.2514636E+001, 9.2514636E+001, 9.2514636E+001, 4.7470475E+002, 4.2843595E+002, 4.2325037E+002, 4.1382672E+002, 4.3032498E+002, 2.9409628E+002, 8.2599376E+001, 3.1328370E+002, 3.3913980E+002, 3.0012520E+002, 7.4543693E+001, 3.6618983E+001, 3.2931530E+001, 2.9549350E+001, 2.1789922E+002, 1.6846497E+002, 1.2987751E+002, 5.8973247E+001, 2.9215865E+001, 2.7431356E+001, 2.6084904E+001
 1.0000040E+002, 9.7569678E+001, 9.7569678E+001, 9.7569678E+001, 4.7348885E+002, 4.2738492E+002, 4.2402290E+002, 4.1837333E+002, 4.2569186E+002, 3.1376323E+002, 8.3816415E+001, 3.2403817E+002, 3.3289344E+002, 3.8623496E+002, 7.6465514E+001, 3.9166705E+001, 3.5119393E+001, 3.1371288E+001, 2.4813282E+002, 1.7451346E+002, 1.3400137E+002, 7.7228059E+001, 3.0099628E+001, 2.7581359E+001, 2.6534852E+001
 1.0500982E+002, 1.0248946E+002, 1.0248946E+002, 1.0248946E+002, 5.0751241E+002, 4.7186338E+002, 4.6607908E+002, 4.6141830E+002, 4.6414169E+002, 3.9118159E+002, 1.0057768E+002, 3.4796444E+002, 3.4900685E+002, 3.4925979E+002, 1.0093629E+002, 4.3585045E+001, 3.7354572E+001, 3.2986906E+001, 2.8410569E+002, 2.1217627E+002, 1.4968411E+002, 1.0018519E+002, 3.2240878E+001, 2.9265800E+001, 2.8090766E+001
 1.1000816E+002, 1.0747440E+002, 1.0747440E+002, 1.0747440E+002, 5.5308053E+002, 5.0597426E+002, 4.9886898E+002, 4.8711891E+002, 4.9952693E+002, 2.6209447E+002, 1.0692590E+002, 3.6060216E+002, 3.2940622E+002, 3.2873879E+002, 9.7824627E+001, 3.8986242E+001, 3.3155031E+001, 3.0370694E+001, 2.4908581E+002, 2.0161388E+002, 1.5198484E+002, 1.0894327E+002, 2.9679779E+001, 2.8305799E+001, 2.7001840E+001
 1.1500340E+002, 1.1249268E+002, 1.1249268E+002, 1.1249268E+002, 5.7175959E+002, 5.1370861E+002, 5.0182352E+002, 4.8808324E+002, 4.8390982E+002, 2.2344808E+002, 1.0524282E+002, 3.3664696E+002, 3.1930603E+002, 3.4140221E+002, 8.4461951E+001, 3.9000809E+001, 3.2626941E+001, 2.9580998E+001, 2.4576438E+002, 2.0376130E+002, 1.5632038E+002, 8.1666809E+001, 3.1317775E+001, 2.7683725E+001, 2.6456275E+001
 1.2000025E+002, 1.1751075E+002, 1.1751075E+002, 1.1751075E+002, 5.6276818E+002, 4.9769928E+002, 4.9030446E+002, 4.7102131E+002, 4.3638736E+002, 2.4560473E+002, 9.2278241E+001, 3.3469268E+002, 3.1296015E+002, 3.2493267E+002, 7.5407602E+001, 3.7098433E+001, 3.1145730E+001, 2.9567694E+001, 2.3499964E+002, 1.8822019E+002, 1.4735540E+002, 7.5706605E+001, 3.1990632E+001, 2.8471488E+001, 2.5672472E+001
 1.2500044E+002, 1.2251630E+002, 1.2251630E+002, 1.2251630E+002, 5.4369754E+002, 4.7804801E+002, 4.6651360E+002, 4.4695732E+002, 4.0535764E+002, 2.4626530E+002, 9.1705625E+001, 3.2496013E+002, 3.0939417E+002, 3.0984998E+002, 7.0571052E+001, 3.5395222E+001, 3.1679422E+001, 2.8504943E+001, 2.2896125E+002, 1.8499200E+002, 1.3995718E+002, 6.5536922E+001, 3.3206523E+001, 2.8708722E+001, 2.6104287E+001
 1.3000220E+002, 1.2750934E+002, 1.2750934E+002, 1.2750934E+002, 5.0732691E+002, 4.6882689E+002, 4.5741487E+002, 4.3674471E+002, 3.9322093E+002, 2.5369021E+002, 8.7333726E+001, 3.3033298E+002, 3.1939134E+002, 2.7111700E+002, 6.2510342E+001, 3.3129090E+001, 3.3324793E+001, 2.8582813E+001, 2.2104446E+002, 1.8554410E+002, 1.3615189E+002, 5.9026031E+001, 3.2061171E+001, 2.8228466E+001, 2.6606009E+001
 1.3500397E+002, 1.3251110E+002, 1.3251110E+002, 1.3251110E+002, 5.1224358E+002, 4.5743116E+002, 4.5026842E+002, 4.4487703E+002, 4.4582208E+002, 2.5439930E+002, 8.5436751E+001, 3.2345147E+002, 3.3188745E+002, 3.0409055E+002, 6.9202867E+001, 3.5233509E+001, 3.4641721E+001, 2.8917163E+001, 2.3350982E+002, 1.8518844E+002, 1.3086952E+002, 6.0043723E+001, 3.2689428E+001, 2.8561788E+001, 2.8568018E+001
 1.4000252E+002, 1.3745544E+002, 1.3745544E+002, 1.3745544E+002, 4.9453507E+002, 4.4580480E+002, 4.4276886E+002, 4.3437698E+002, 4.3964468E+002, 2.8979304E+002, 8.5758951E+001, 3.2687578E+002, 3.5154318E+002, 3.1056262E+002, 7.7146964E+001, 3.7387723E+001, 3.5337286E+001, 3.0207287E+001, 2.2630805E+002, 1.7801091E+002, 1.3409371E+002, 7.1661531E+001, 3.1703532E+001, 2.8823415E+001, 2.7943772E+001
 1.4501436E+002, 1.4252080E+002, 1.4252080E+002, 1.4252080E+002, 4.9102451E+002, 4.4645899E+002, 4.4278477E+002, 4.3486081E+002, 4.4387254E+002, 3.1220401E+002, 8.5867023E+001, 3.3849413E+002, 3.4491582E+002, 3.6039205E+002, 7.5552829E+001, 3.7494671E+001, 3.6464930E+001, 3.1702499E+001, 2.3684802E+002, 1.8038626E+002, 1.3802610E+002, 7.7394362E+001, 3.2384081E+001, 2.9041709E+001, 2.8077141E+001
 1.5000134E+002, 1.4751577E+002, 1.4751577E+002, 1.4751577E+002, 4.9809676E+002, 4.7832577E+002, 4.7622068E+002, 4.7061075E+002, 4.8316442E+002, 3.0735002E+002, 9.6800131E+001, 3.5399233E+002, 3.4990355E+002, 3.6165487E+002, 8.5642371E+001, 4.0202091E+001, 3.6764620E+001, 3.4281456E+001, 2.8179301E+002, 1.9474910E+002, 1.4482860E+002, 8.2089670E+001, 3.6007619E+001, 3.1939610E+001, 2.8908559E+001
 1.5501064E+002, 1.5254942E+002, 1.5254942E+002, 1.5254942E+002, 5.7062756E+002, 5.0765428E+002, 4.9794919E+002, 4.9308554E+002, 4.8333406E+002, 3.1930302E+002, 1.0103181E+002, 3.8173081E+002, 3.5851268E+002, 3.4649734E+002, 8.7965742E+001, 4.1499846E+001, 3.7108510E+001, 3.3091240E+001, 2.8222567E+002, 2.1490666E+002, 1.5573344E+002, 1.0454723E+002, 3.5133123E+001, 3.0490669E+001, 2.9218744E+001
 1.6000368E+002, 1.5746311E+002, 1.5746311E+002, 1.5746311E+002, 5.7080766E+002, 5.1875258E+002, 5.1243878E+002, 4.9527136E+002, 4.8634926E+002, 2.6935143E+002, 1.0818597E+002, 3.5655444E+002, 3.3505992E+002, 3.4908123E+002, 8.7540963E+001, 3.7813073E+001, 3.3984418E+001, 3.1581363E+001, 2.4518840E+002, 1.9964406E+002, 1.6302309E+002, 9.8726579E+001, 3.4099744E+001, 3.1025369E+001, 2.7288310E+001
 1.6501656E+002, 1.6257087E+002, 1.6257087E+002, 1.6257087E+002, 5.6881697E+002, 5.0859227E+002, 5.0131997E+002, 4.7709964E+002, 4.4202866E+002, 2.7170158E+002, 9.6451621E+001, 3.5905267E+002, 3.2742284E+002, 3.2121121E+002, 6.9894509E+001, 3.6494224E+001, 3.3424704E+001, 2.9611178E+001, 2.4396900E+002, 2.0241426E+002, 1.5947049E+002, 7.0044209E+001, 3.3628078E+001, 3.1394288E+001, 2.9436775E+001
 1.7000623E+002, 1.6751991E+002, 1.6751991E+002, 1.6751991E+002, 5.7161346E+002, 5.0287744E+002, 4.9185204E+002, 4.7343301E+002, 4.4585773E+002, 2.5558214E+002, 9.2300277E+001, 3.3093403E+002, 3.3180911E+002, 3.0846208E+002, 6.9091004E+001, 3.9309665E+001, 3.5926670E+001, 3.2407741E+001, 2.4442020E+002, 1.7751293E+002, 1.4693269E+002, 7.3773489E+001, 3.4916107E+001, 2.9733839E+001, 2.7762907E+001
 1.7501292E+002, 1.7251809E+002, 1.7251809E+002, 1.7251809E+002, 5.6027428E+002, 4.9322466E+002, 4.8228342E+002, 4.5789862E+002, 4.2065554E+002, 2.5239646E+002, 9.3176625E+001, 3.4474153E+002, 3.3426256E+002, 3.0438679E+002, 7.0439687E+001, 3.8068918E+001, 3.4165567E+001, 2.9894591E+001, 2.4203197E+002, 1.9011947E+002, 1.3439709E+002, 6.5536874E+001, 3.2323803E+001, 2.9284764E+001, 2.9109344E+001
 1.8000258E+002, 1.7751627E+002, 1.7751627E+002, 1.7751627E+002, 5.5910333E+002, 4.8429040E+002, 4.7335684E+002, 4.5769453E+002, 4.2997003E+002, 2.5767453E+002, 8.5737362E+001, 3.3490953E+002, 3.2851387E+002, 3.1085713E+002, 6.9364743E+001, 3.8489277E+001, 3.3260030E+001, 3.0318094E+001, 2.3093689E+002, 1.7895023E+002, 1.3501299E+002, 6.2245464E+001, 3.3198049E+001, 2.9996262E+001, 2.8964255E+001
 1.8501031E+002, 1.8257482E+002, 1.8257482E+002, 1.8257482E+002, 5.4254027E+002, 4.7717311E+002, 4.6846456E+002, 4.4999468E+002, 4.2003506E+002, 2.7066141E+002, 8.6081446E+001, 3.3842669E+002, 3.3910637E+002, 3.0075178E+002, 7.0026294E+001, 3.8883202E+001, 3.4613292E+001, 3.0084970E+001, 2.3527249E+002, 1.7303271E+002, 1.3038873E+002, 6.4810811E+001, 3.3992403E+001, 3.0107325E+001, 2.8040129E+001
 1.9000420E+002, 1.8745853E+002, 1.8745853E+002, 1.8745853E+002, 5.3496049E+002, 4.7621009E+002, 4.6546579E+002, 4.4762403E+002, 4.3858690E+002, 2.6747542E+002, 8.4181525E+001, 3.3205981E+002, 3.4616874E+002, 3.2097463E+002, 6.6945426E+001, 3.9445159E+001, 3.4412734E+001, 3.0163644E+001, 2.4416622E+002, 1.7922858E+002, 1.3552357E+002, 6.6358600E+001, 3.4646927E+001, 3.0175437E+001, 2.8877354E+001
 1.9500423E+002, 1.9251263E+002, 1.9251263E+002, 1.9251263E+002, 5.2788379E+002, 4.7071335E+002, 4.6145725E+002, 4.4144481E+002, 4.3639934E+002, 2.8689142E+002, 8.5387579E+001, 3.4065928E+002, 3.5080337E+002, 3.9283662E+002, 7.0834538E+001, 4.1516367E+001, 3.6320696E+001, 3.0843772E+001, 2.5073070E+002, 1.8558919E+002, 1.3773964E+002, 7.1300984E+001, 3.5022156E+001, 3.3210374E+001, 3.0255669E+001
 2.0000424E+002, 1.9751265E+002, 1.9751265E+002, 1.9751265E+002, 5.3149937E+002, 4.6827692E+002, 4.5786766E+002, 4.4718360E+002, 4.4569520E+002, 3.1193511E+002, 8.5350178E+001, 3.4347367E+002, 3.5262955E+002, 3.4492887E+002, 7.0539112E+001, 4.2315640E+001, 3.6334803E+001, 3.1976067E+001, 2.4739458E+002, 1.7970855E+002, 1.3615746E+002, 7.4614503E+001, 3.3598301E+001, 3.1400746E+001, 3.0085787E+001
 2.0501062E+002, 2.0255019E+002, 2.0255019E+002, 2.0255019E+002, 5.3198749E+002, 4.7323475E+002, 4.6483196E+002, 4.5963137E+002, 4.6279509E+002, 2.9247750E+002, 9.3386194E+001, 3.4749448E+002, 3.6292548E+002, 3.6502019E+002, 7.0676636E+001, 4.2857693E+001, 3.7437527E+001, 3.1820714E+001, 2.6785607E+002, 1.9106802E+002, 1.4361881E+002, 8.2379216E+001, 3.6272279E+001, 3.1823593E+001, 3.0260898E+001
 2.1001021E+002, 2.0751799E+002, 2.0751799E+002, 2.0751799E+002, 5.6274609E+002, 4.8632454E+002, 4.8257837E+002, 4.8022783E+002, 4.9960262E+002, 2.6946601E+002, 9.3891528E+001, 3.5453216E+002, 3.5617987E+002, 3.6186543E+002, 8.1100867E+001, 4.2088329E+001, 3.6175316E+001, 3.3636347E+001, 2.6317124E+002, 2.0906427E+002, 1.4965828E+002, 8.2318830E+001, 3.7276116E+001, 3.2423007E+001, 2.9657495E+001
 2.1501131E+002, 2.1245998E+002, 2.1245998E+002, 2.1245998E+002, 5.6887364E+002, 4.9588643E+002, 4.9481143E+002, 4.9561427E+002, 5.1114003E+002, 2.8734307E+002, 9.8099561E+001, 3.5052717E+002, 3.4863207E+002, 3.4377407E+002, 8.5509416E+001, 4.0969777E+001, 3.7277788E+001, 3.2770537E+001, 2.5854998E+002, 1.9322996E+002, 1.5060120E+002, 9.5381632E+001, 3.6623157E+001, 3.3198589E+001, 3.0259089E+001
 2.2001089E+002, 2.1751943E+002, 2.1751943E+002, 2.1751943E+002, 6.0026763E+002, 5.0647576E+002, 5.0104458E+002, 4.8890641E+002, 4.8057021E+002, 2.6871994E+002, 1.0247689E+002, 3.5039345E+002, 3.4837144E+002, 3.5024169E+002, 8.3723220E+001, 4.0323630E+001, 3.6841662E+001, 3.2677486E+001, 2.7518311E+002, 1.9820940E+002, 1.5773273E+002, 9.0830500E+001, 3.5812911E+001, 3.1463263E+001, 3.1595883E+001
 2.2501048E+002, 2.2251902E+002, 2.2251902E+002, 2.2251902E+002, 5.9415293E+002, 5.1017134E+002, 5.0316072E+002, 4.9141938E+002, 4.5654281E+002, 2.5727093E+002, 9.8573703E+001, 3.5160729E+002, 3.3469043E+002, 3.5243589E+002, 7.7759921E+001, 3.9382791E+001, 3.5577868E+001, 3.1947395E+001, 2.4645898E+002, 1.9189487E+002, 1.5559825E+002, 7.5953638E+001, 3.3943602E+001, 3.0048702E+001, 3.0058911E+001
 2.3001006E+002, 2.2751860E+002, 2.2751860E+002, 2.2751860E+002, 5.9639499E+002, 5.1616079E+002, 5.0378281E+002, 4.8391125E+002, 4.6936626E+002, 2.4933681E+002, 9.9626855E+001, 3.5928065E+002, 3.3768870E+002, 3.2651675E+002, 6.8839125E+001, 3.9060089E+001, 3.5278667E+001, 3.2235003E+001, 2.4731589E+002, 2.0204063E+002, 1.5172915E+002, 7.1865750E+001, 3.3760843E+001, 3.0702324E+001, 2.9384217E+001
 2.3500964E+002, 2.3251819E+002, 2.3251819E+002, 2.3251819E+002, 5.9097497E+002, 5.1505823E+002, 5.0583271E+002, 4.8577040E+002, 4.4254882E+002, 2.5136141E+002, 9.5907714E+001, 3.4885683E+002, 3.3720081E+002, 3.2108870E+002, 7.1396601E+001, 3.9326182E+001, 3.6943830E+001, 3.5514520E+001, 2.3908710E+002, 1.9140344E+002, 1.4564492E+002, 6.6576489E+001, 3.3253123E+001, 3.0736595E+001, 2.9217230E+001
 2.4000923E+002, 2.3751777E+002, 2.3751777E+002, 2.3751777E+002, 5.7933640E+002, 5.1014411E+002, 4.9916774E+002, 4.6925254E+002, 4.3813740E+002, 2.5631292E+002, 9.3795791E+001, 3.4276464E+002, 3.2940961E+002, 2.9349164E+002, 6.3915755E+001, 3.7861848E+001, 3.5868600E+001, 3.3122038E+001, 2.3681688E+002, 1.8388617E+002, 1.3697162E+002, 6.7250163E+001, 3.6313926E+001, 3.2218593E+001, 2.8886711E+001
 2.4500882E+002, 2.4251736E+002, 2.4251736E+002, 2.4251736E+002, 5.8245463E+002, 5.0639764E+002, 4.9618022E+002, 4.7262590E+002, 4.3545413E+002, 2.4965395E+002, 9.1468795E+001, 3.4431764E+002, 3.4038572E+002, 3.0764616E+002, 6.0934890E+001, 3.8265870E+001, 3.6871216E+001, 3.2643993E+001, 2.4020763E+002, 1.7996329E+002, 1.3881101E+002, 6.0106983E+001, 3.6072802E+001, 3.2979918E+001, 2.9940971E+001
 2.5000839E+002, 2.4751694E+002, 2.4751694E+002, 2.4751694E+002, 5.7677912E+002, 5.0705341E+002, 4.9524481E+002, 4.7121506E+002, 4.4161731E+002, 2.6165586E+002, 9.1771106E+001, 3.4534349E+002, 3.4767311E+002, 3.0046291E+002, 6.5844067E+001, 4.0171451E+001, 3.7516969E+001, 3.1395571E+001, 2.3844410E+002, 1.7459918E+002, 1.4107646E+002, 5.9860278E+001, 3.5723038E+001, 3.3199125E+001, 2.9684892E+001
 2.5500757E+002, 2.5254533E+002, 2.5254533E+002, 2.5254533E+002, 5.6586366E+002, 4.9606107E+002, 4.8489283E+002, 4.6204001E+002, 4.3619716E+002, 2.7308333E+002, 8.9183922E+001, 3.5393416E+002, 3.4283199E+002, 3.4270322E+002, 6.7825205E+001, 4.0749096E+001, 3.8262894E+001, 3.1440813E+001, 2.3791451E+002, 1.8047225E+002, 1.3876544E+002, 6.9987814E+001, 3.5824847E+001, 3.3425804E+001, 2.7388019E+001
 2.6000012E+002, 2.5745366E+002, 2.5745366E+002, 2.5745366E+002, 5.6274720E+002, 4.9361433E+002, 4.8177261E+002, 4.5999551E+002, 4.4279143E+002, 2.7445691E+002, 9.0540362E+001, 3.5148547E+002, 3.6824308E+002, 3.0694995E+002, 6.3665475E+001, 4.1768833E+001, 3.8927847E+001, 3.3145343E+001, 2.4430182E+002, 1.7914011E+002, 1.3825159E+002, 6.7264233E+001, 3.5257538E+001, 3.2882262E+001, 2.8519742E+001
 2.6501477E+002, 2.6253692E+002, 2.6253692E+002, 2.6253692E+002, 5.5407426E+002, 4.8843380E+002, 4.7813791E+002, 4.5309945E+002, 4.4438288E+002, 2.8152750E+002, 9.0765916E+001, 3.4746375E+002, 3.4794935E+002, 3.6149611E+002, 6.8411108E+001, 4.2204109E+001, 4.1119651E+001, 3.5744666E+001, 2.4483059E+002, 1.7894805E+002, 1.4252270E+002, 7.2416436E+001, 3.3975550E+001, 3.3734255E+001, 2.8780639E+001
 2.7000687E+002, 2.6751822E+002, 2.6751822E+002, 2.6751822E+002, 5.6370814E+002, 4.8684301E+002, 4.7732872E+002, 4.5676492E+002, 4.4479234E+002, 2.9536061E+002, 9.1653209E+001, 3.4482126E+002, 3.5228363E+002, 3.4962037E+002, 6.9819246E+001, 4.0280795E+001, 4.0011409E+001, 3.2023033E+001, 2.5075307E+002, 1.8287090E+002, 1.3984445E+002, 6.9574269E+001, 3.5492347E+001, 3.3724290E+001, 2.9480209E+001
