m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
-2.0937500E-001, 6.2119083E-001,NaN,NaN,-2.0937500E-001, 6.7514248E-005,-2.0937500E-001, 3.1175697E-001,NaN,NaN, 2.9062500E-001, 1.5378515E+000, 2.9062500E-001, 2.3010546E-001, 2.9062500E-001, 7.3589305E-005
-2.0312500E-001, 6.1413399E-001,NaN,NaN,-2.0312500E-001, 6.8220831E-005,-2.0312500E-001, 3.0861015E-001,NaN,NaN, 2.9687500E-001, 1.3792240E+000, 2.9687500E-001, 2.1925660E-001, 2.9687500E-001, 4.8944078E-005
-1.9687500E-001, 6.0521084E-001,NaN,NaN,-1.9687500E-001, 6.8126973E-005,-1.9687500E-001, 3.0670752E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.9062500E-001, 5.8942486E-001,NaN,NaN,-1.9062500E-001, 6.8921906E-005,-1.9062500E-001, 3.1204865E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.8437500E-001, 5.7270555E-001,NaN,NaN,-1.8437500E-001, 6.8894204E-005,-1.8437500E-001, 3.1642117E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.7812500E-001, 5.5179571E-001,NaN,NaN,-1.7812500E-001, 6.9316100E-005,-1.7812500E-001, 3.2215117E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.7187500E-001, 5.2751241E-001,NaN,NaN,-1.7187500E-001, 7.0052414E-005,-1.7187500E-001, 3.3072516E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.6562500E-001, 5.0071233E-001,NaN,NaN,-1.6562500E-001, 7.1391122E-005,-1.6562500E-001, 3.4216862E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.5937500E-001, 4.7392195E-001,NaN,NaN,-1.5937500E-001, 7.3308991E-005,-1.5937500E-001, 3.4667975E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.5312500E-001, 4.4386747E-001,NaN,NaN,-1.5312500E-001, 7.5076035E-005,-1.5312500E-001, 3.5067759E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.4687500E-001, 4.0902643E-001,NaN,NaN,-1.4687500E-001, 7.5443753E-005,-1.4687500E-001, 3.5214558E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.4062500E-001, 3.6157781E-001,NaN,NaN,-1.4062500E-001, 7.6849272E-005,-1.4062500E-001, 3.5993832E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.3437500E-001, 3.1281254E-001,NaN,NaN,-1.3437500E-001, 8.0453541E-005,-1.3437500E-001, 3.6924992E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.2812500E-001, 2.5593052E-001,NaN,NaN,-1.2812500E-001, 8.2959399E-005,-1.2812500E-001, 3.7748875E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.2187500E-001, 1.8525821E-001,NaN,NaN,-1.2187500E-001, 8.5002783E-005,-1.2187500E-001, 3.8456142E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.1562500E-001, 1.1789013E-001,NaN,NaN,-1.1562500E-001, 8.7999071E-005,-1.1562500E-001, 3.8400726E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.0937500E-001, 5.6481530E-002,NaN,NaN,-1.0937500E-001, 9.0003581E-005,-1.0937500E-001, 3.8162217E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.0312500E-001,-1.1024757E-002,NaN,NaN,-1.0312500E-001, 8.9282144E-005,-1.0312500E-001, 3.7268137E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-9.6875000E-002,-7.0699908E-002,NaN,NaN,-9.6875000E-002, 8.6453992E-005,-9.6875000E-002, 3.5452083E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-9.0625000E-002,-1.2288262E-001,NaN,NaN,-9.0625000E-002, 8.4394790E-005,-9.0625000E-002, 3.2927260E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-8.4375000E-002,-1.5783226E-001,NaN,NaN,-8.4375000E-002, 8.0707453E-005,-8.4375000E-002, 3.0277609E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-7.8125000E-002,-1.7438313E-001,NaN,NaN,-7.8125000E-002, 7.6162761E-005,-7.8125000E-002, 2.7138797E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-7.1875000E-002,-1.6239427E-001,NaN,NaN,-7.1875000E-002, 7.0968482E-005,-7.1875000E-002, 2.3013928E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-6.5625000E-002,-1.2525573E-001,NaN,NaN,-6.5625000E-002, 6.8623950E-005,-6.5625000E-002, 1.9078504E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-5.9375000E-002,-6.3008560E-002,NaN,NaN,-5.9375000E-002, 6.9255236E-005,-5.9375000E-002, 1.4899964E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-5.3125000E-002, 0.0000000E+000,NaN,NaN,-5.3125000E-002, 6.6022214E-005,-5.3125000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4.6875000E-002, 0.0000000E+000,NaN,NaN,-4.6875000E-002, 1.2000000E-005,-4.6875000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4.0625000E-002, 0.0000000E+000,NaN,NaN,-4.0625000E-002, 1.2000000E-005,-4.0625000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3.4375000E-002, 0.0000000E+000,NaN,NaN,-3.4375000E-002, 1.2000000E-005,-3.4375000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-2.8125000E-002, 0.0000000E+000,NaN,NaN,-2.8125000E-002, 1.2000000E-005,-2.8125000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-2.1875000E-002, 0.0000000E+000,NaN,NaN,-2.1875000E-002, 1.2000000E-005,-2.1875000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.5625000E-002, 0.0000000E+000,NaN,NaN,-1.5625000E-002, 1.2000000E-005,-1.5625000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-9.3750000E-003, 0.0000000E+000,NaN,NaN,-9.3750000E-003, 1.2000000E-005,-9.3750000E-003, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3.1250000E-003, 0.0000000E+000,NaN,NaN,-3.1250000E-003, 1.2000000E-005,-3.1250000E-003, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.1250000E-003, 0.0000000E+000,NaN,NaN, 3.1250000E-003, 1.2000000E-005, 3.1250000E-003, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.3750000E-003, 0.0000000E+000,NaN,NaN, 9.3750000E-003, 1.2000000E-005, 9.3750000E-003, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5625000E-002, 0.0000000E+000,NaN,NaN, 1.5625000E-002, 1.2000000E-005, 1.5625000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.1875000E-002, 0.0000000E+000,NaN,NaN, 2.1875000E-002, 1.2000000E-005, 2.1875000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.8125000E-002, 0.0000000E+000,NaN,NaN, 2.8125000E-002, 1.2000000E-005, 2.8125000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.4375000E-002, 0.0000000E+000,NaN,NaN, 3.4375000E-002, 1.2000000E-005, 3.4375000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.0625000E-002, 0.0000000E+000,NaN,NaN, 4.0625000E-002, 1.2000000E-005, 4.0625000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.6875000E-002, 0.0000000E+000,NaN,NaN, 4.6875000E-002, 1.2000000E-005, 4.6875000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.3125000E-002,-4.1584057E-002,NaN,NaN, 5.3125000E-002, 4.9408178E-005, 5.3125000E-002, 1.1987963E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.9375000E-002,-7.6726315E-002,NaN,NaN, 5.9375000E-002, 5.7530669E-005, 5.9375000E-002, 1.5788898E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.5625000E-002,-1.1019212E-001,NaN,NaN, 6.5625000E-002, 5.8701406E-005, 6.5625000E-002, 1.9106424E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.1875000E-002,-1.3935360E-001,NaN,NaN, 7.1875000E-002, 5.9605415E-005, 7.1875000E-002, 2.1244131E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.8125000E-002,-1.7332186E-001,NaN,NaN, 7.8125000E-002, 5.9929017E-005, 7.8125000E-002, 2.2378002E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.4375000E-002,-2.0131009E-001,NaN,NaN, 8.4375000E-002, 6.1633136E-005, 8.4375000E-002, 2.3228357E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.0625000E-002,-2.3280482E-001,NaN,NaN, 9.0625000E-002, 6.3109273E-005, 9.0625000E-002, 2.3403773E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.6875000E-002,-2.5818240E-001,NaN,NaN, 9.6875000E-002, 6.3254460E-005, 9.6875000E-002, 2.3570844E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0312500E-001,-2.8491301E-001,NaN,NaN, 1.0312500E-001, 6.3912049E-005, 1.0312500E-001, 2.4477507E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0937500E-001,-3.0840452E-001,NaN,NaN, 1.0937500E-001, 6.4949064E-005, 1.0937500E-001, 2.5158227E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1562500E-001,-3.3017139E-001,NaN,NaN, 1.1562500E-001, 6.7021679E-005, 1.1562500E-001, 2.5910274E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2187500E-001,-3.5203363E-001,NaN,NaN, 1.2187500E-001, 6.8142334E-005, 1.2187500E-001, 2.6388355E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2812500E-001,-3.7287814E-001,NaN,NaN, 1.2812500E-001, 6.9014619E-005, 1.2812500E-001, 2.7050108E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3437500E-001,-3.9434770E-001,NaN,NaN, 1.3437500E-001, 7.0311393E-005, 1.3437500E-001, 2.7520444E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4062500E-001,-4.1617169E-001,NaN,NaN, 1.4062500E-001, 7.1004245E-005, 1.4062500E-001, 2.7801464E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4687500E-001,-4.3442494E-001,NaN,NaN, 1.4687500E-001, 7.2133246E-005, 1.4687500E-001, 2.8091268E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5312500E-001,-4.4849361E-001,NaN,NaN, 1.5312500E-001, 7.2694644E-005, 1.5312500E-001, 2.8482665E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5937500E-001,-4.6359761E-001,NaN,NaN, 1.5937500E-001, 7.3446976E-005, 1.5937500E-001, 2.9010872E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.6562500E-001,-4.7778958E-001,NaN,NaN, 1.6562500E-001, 7.5131013E-005, 1.6562500E-001, 2.9353347E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7187500E-001,-4.8811606E-001,NaN,NaN, 1.7187500E-001, 7.4915201E-005, 1.7187500E-001, 2.9495441E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7812500E-001,-4.9866279E-001,NaN,NaN, 1.7812500E-001, 7.5320596E-005, 1.7812500E-001, 2.9604051E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8437500E-001,-5.0509664E-001,NaN,NaN, 1.8437500E-001, 7.6945337E-005, 1.8437500E-001, 3.0285007E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9062500E-001,-5.1144146E-001,NaN,NaN, 1.9062500E-001, 7.7377200E-005, 1.9062500E-001, 3.0528016E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9687500E-001,-5.1673306E-001,NaN,NaN, 1.9687500E-001, 7.8208438E-005, 1.9687500E-001, 3.0581655E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0312500E-001,-5.1808187E-001,NaN,NaN, 2.0312500E-001, 7.8855907E-005, 2.0312500E-001, 3.0634553E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0937500E-001,-5.1813443E-001,NaN,NaN, 2.0937500E-001, 7.9266548E-005, 2.0937500E-001, 3.0572244E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.1562500E-001,-5.1447619E-001,NaN,NaN, 2.1562500E-001, 7.9474567E-005, 2.1562500E-001, 3.0443066E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.2187500E-001,-5.0760722E-001,NaN,NaN, 2.2187500E-001, 7.9972645E-005, 2.2187500E-001, 3.0398286E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.2812500E-001,-5.0365152E-001,NaN,NaN, 2.2812500E-001, 8.0041803E-005, 2.2812500E-001, 3.0155766E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.3437500E-001,-5.0156479E-001,NaN,NaN, 2.3437500E-001, 8.0997487E-005, 2.3437500E-001, 2.9716144E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.4062500E-001,-4.9423237E-001,NaN,NaN, 2.4062500E-001, 8.0710917E-005, 2.4062500E-001, 2.9570978E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.4687500E-001,-4.8165098E-001,NaN,NaN, 2.4687500E-001, 8.1406436E-005, 2.4687500E-001, 3.0068021E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.5312500E-001,-4.6534484E-001,NaN,NaN, 2.5312500E-001, 8.2318142E-005, 2.5312500E-001, 3.0839936E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.5937500E-001,-4.4888962E-001,NaN,NaN, 2.5937500E-001, 8.2907127E-005, 2.5937500E-001, 3.1088740E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.6562500E-001,-4.3554413E-001,NaN,NaN, 2.6562500E-001, 8.2901971E-005, 2.6562500E-001, 3.1224515E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.7187500E-001,-4.2137195E-001,NaN,NaN, 2.7187500E-001, 8.3162148E-005, 2.7187500E-001, 3.0864634E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.7812500E-001,-4.0408704E-001,NaN,NaN, 2.7812500E-001, 8.3318199E-005, 2.7812500E-001, 3.0979956E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.8437500E-001,-3.8308487E-001,NaN,NaN, 2.8437500E-001, 8.2732572E-005, 2.8437500E-001, 3.1305743E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.9062500E-001,-3.6143914E-001,NaN,NaN, 2.9062500E-001, 8.1947745E-005, 2.9062500E-001, 3.1982803E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.9687500E-001,-3.4031614E-001,NaN,NaN, 2.9687500E-001, 8.3238647E-005, 2.9687500E-001, 3.2866526E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.0312500E-001,-3.1820998E-001,NaN,NaN, 3.0312500E-001, 8.3529574E-005, 3.0312500E-001, 3.3747229E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.0937500E-001,-3.0348130E-001,NaN,NaN, 3.0937500E-001, 8.3637852E-005, 3.0937500E-001, 3.3719265E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.1562500E-001,-2.9115530E-001,NaN,NaN, 3.1562500E-001, 8.3456926E-005, 3.1562500E-001, 3.3244862E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.2187500E-001,-2.7623340E-001,NaN,NaN, 3.2187500E-001, 8.2738325E-005, 3.2187500E-001, 3.3129118E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.2812500E-001,-2.6393446E-001,NaN,NaN, 3.2812500E-001, 8.3617324E-005, 3.2812500E-001, 3.3206141E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.3437500E-001,-2.4146771E-001,NaN,NaN, 3.3437500E-001, 8.3179560E-005, 3.3437500E-001, 3.3412033E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.4062500E-001,-2.1884543E-001,NaN,NaN, 3.4062500E-001, 8.3317702E-005, 3.4062500E-001, 3.3417514E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.4687500E-001,-1.9800292E-001,NaN,NaN, 3.4687500E-001, 8.1476942E-005, 3.4687500E-001, 3.3568592E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.5312500E-001,-1.7092514E-001,NaN,NaN, 3.5312500E-001, 8.1342777E-005, 3.5312500E-001, 3.3483018E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.5937500E-001,-1.4614295E-001,NaN,NaN, 3.5937500E-001, 8.0736435E-005, 3.5937500E-001, 3.3393230E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
