s,m/s
Time,"Ub"
 2.4701336E+001, 1.0349849E+000
 2.4800154E+001, 1.0422323E+000
 2.4900183E+001, 1.0372161E+000
 2.5000134E+001, 1.0223192E+000
 2.5100824E+001, 1.0206602E+000
 2.5200050E+001, 1.0182982E+000
 2.5300493E+001, 1.0115601E+000
 2.5400339E+001, 1.0099247E+000
 2.5501588E+001, 1.0217629E+000
 2.5600502E+001, 1.0319665E+000
 2.5700303E+001, 1.0320547E+000
 2.5800305E+001, 1.0289224E+000
 2.5901327E+001, 1.0264394E+000
 2.6001347E+001, 1.0258075E+000
 2.6100693E+001, 1.0249748E+000
 2.6200214E+001, 1.0314236E+000
 2.6301393E+001, 1.0328926E+000
 2.6401069E+001, 1.0291082E+000
 2.6501745E+001, 1.0303422E+000
 2.6601216E+001, 1.0301019E+000
 2.6701202E+001, 1.0267545E+000
 2.6800341E+001, 1.0188922E+000
 2.6900443E+001, 1.0119078E+000
 2.7000702E+001, 1.0126013E+000
 2.7100447E+001, 1.0168393E+000
 2.7200528E+001, 1.0178544E+000
 2.7301116E+001, 1.0159610E+000
 2.7400960E+001, 1.0191877E+000
 2.7500770E+001, 1.0185721E+000
 2.7600099E+001, 1.0130779E+000
 2.7700964E+001, 1.0122315E+000
 2.7800541E+001, 1.0158734E+000
 2.7900253E+001, 1.0197307E+000
 2.8001557E+001, 1.0212858E+000
 2.8100686E+001, 1.0287998E+000
 2.8201344E+001, 1.0373302E+000
 2.8300918E+001, 1.0401269E+000
 2.8400492E+001, 1.0379227E+000
 2.8501220E+001, 1.0253835E+000
 2.8601581E+001, 1.0162474E+000
 2.8700778E+001, 1.0106614E+000
 2.8801575E+001, 1.0009395E+000
 2.8900772E+001, 9.9411028E-001
 2.9001570E+001, 9.8979442E-001
 2.9100388E+001, 9.8116770E-001
 2.9200286E+001, 9.7215219E-001
 2.9301503E+001, 9.6920217E-001
 2.9401365E+001, 9.7190028E-001
 2.9501354E+001, 9.7049211E-001
 2.9600484E+001, 9.7264520E-001
 2.9701491E+001, 9.7240463E-001
 2.9801748E+001, 9.6804285E-001
 2.9901020E+001, 9.6525390E-001
 3.0000292E+001, 9.7306664E-001
 3.0101370E+001, 9.9131459E-001
 3.0200642E+001, 1.0054093E+000
 3.0301719E+001, 1.0152584E+000
 3.0400991E+001, 1.0258937E+000
 3.0500952E+001, 1.0347006E+000
 3.0600832E+001, 1.0377966E+000
 3.0700766E+001, 1.0383583E+000
 3.0800700E+001, 1.0418990E+000
 3.0901190E+001, 1.0411388E+000
 3.1000342E+001, 1.0349961E+000
 3.1101068E+001, 1.0288235E+000
 3.1201002E+001, 1.0204489E+000
