s,kg/m3,kg/m3,kg/m3,%/m
 8.3052025E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 8.4170059E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 8.5064491E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 8.6182526E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 8.7076950E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 8.8194984E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 8.9089409E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 9.0207443E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 9.1101875E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 9.2219902E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 9.3114334E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 9.4008759E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 9.5126793E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 9.6021225E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 9.7139252E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 9.8033684E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 9.9151718E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 1.0004614E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 1.0116418E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 1.0205860E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3883934E+001
 1.0317664E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.4665762E+001
 1.0407107E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.7721153E+001
 1.0518910E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 7.1227157E+001
 1.0608353E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 7.2472687E+001
 1.0720156E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 7.3597632E+001
 1.0809599E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 7.4786028E+001
 1.0921402E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 7.5431745E+001
 1.1010845E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 7.6060100E+001
 1.1100288E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 7.6719061E+001
 1.1212091E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 7.7164380E+001
 1.1301534E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 7.7598497E+001
 1.1413337E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 7.8516428E+001
 1.1502780E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 7.9539036E+001
 1.1614584E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.0559487E+001
 1.1704026E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.1358280E+001
 1.1815829E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.2422422E+001
 1.1905272E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.3793386E+001
 1.2017075E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.4249061E+001
 1.2106519E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.4571372E+001
 1.2218322E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.5149375E+001
 1.2307764E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.5979926E+001
 1.2419568E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6685841E+001
 1.2509010E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6792544E+001
 1.2620814E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.2710257E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.2822060E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.2911502E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.3000946E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.3112749E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.3202191E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.3313995E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.3403438E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.3515240E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.3604684E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.3716487E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.3805930E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.3917734E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.4007176E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.4118979E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.4208423E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.4320226E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.4409668E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.4521472E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.4610915E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.4700357E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.4812161E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.4901604E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.5013406E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.5102849E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6812975E+001
 1.5214653E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.6884527E+001
 1.5304095E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.7136029E+001
 1.5415898E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.8237586E+001
 1.5505342E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.9562624E+001
 1.5617145E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 8.9995498E+001
 1.5706587E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.0401636E+001
 1.5818391E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.0829357E+001
 1.5907834E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.1073573E+001
 1.6019637E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.1301363E+001
 1.6109081E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.1565700E+001
 1.6220883E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.1717026E+001
 1.6310326E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.1890379E+001
 1.6422130E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.2229128E+001
 1.6511572E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.2604080E+001
 1.6601015E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.2934872E+001
 1.6712819E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.3223787E+001
 1.6802261E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.3603909E+001
 1.6914064E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.4096172E+001
 1.7003506E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.4278388E+001
 1.7115311E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.4395474E+001
 1.7204753E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.4598675E+001
 1.7316557E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.4900312E+001
 1.7406000E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5170076E+001
 1.7517802E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5203233E+001
 1.7607245E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.7719049E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.7808492E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.7920296E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.8009738E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.8121541E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.8210983E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.8300427E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.8412230E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.8501672E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.8613477E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.8702919E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.8814722E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.8904166E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.9015968E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.9105411E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.9217215E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.9306657E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.9418460E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.9507903E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.9619707E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.9709149E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.9820953E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 1.9910396E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
 2.0022198E+002, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 9.5211271E+001
