s,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 1.3504029E+002, 4.3069565E+001, 4.0744850E+001, 1.1955699E+002, 1.0017668E+002, 3.7219672E+001, 3.6097360E+001, 2.4257119E+000, 1.7443251E+000, 4.9162502E+001, 2.6371646E+001, 6.9775186E-001, 2.0755645E-001
 1.5005630E+002, 4.4209003E+001, 4.1487189E+001, 1.3464308E+002, 1.0588118E+002, 3.7472002E+001, 3.6154726E+001, 2.9274705E+000, 2.1642343E+000, 5.0338791E+001, 2.7179108E+001, 6.5298072E-001, 1.5896490E-001
 1.6501812E+002, 4.5412324E+001, 4.2334095E+001, 1.4429012E+002, 1.1253482E+002, 3.7763609E+001, 3.6209047E+001, 2.8437048E+000, 2.1629969E+000, 3.4502083E+001, 2.9967194E+001, 8.0710968E-001, 1.9107420E-001
 1.8004490E+002, 4.6503742E+001, 4.3123243E+001, 1.5777383E+002, 1.1934333E+002, 3.8075280E+001, 3.6301059E+001, 2.8807567E+000, 1.9926400E+000, 6.1874060E+001, 3.0222041E+001, 7.9587301E-001, 2.6497670E-001
 1.9504387E+002, 4.7611857E+001, 4.3960308E+001, 1.7630574E+002, 1.2483504E+002, 3.8380620E+001, 3.6391637E+001, 2.9181536E+000, 2.2245978E+000, 6.5466459E+001, 2.5381244E+001, 7.9668582E-001, 2.6069975E-001
 2.1000290E+002, 4.8770686E+001, 4.4760469E+001, 1.8901969E+002, 1.3007065E+002, 3.8708099E+001, 3.6463524E+001, 2.9554413E+000, 2.0811709E+000, 5.0236282E+001, 2.4821530E+001, 8.6595165E-001, 2.2953591E-001
 2.2506300E+002, 4.9980520E+001, 4.5562905E+001, 2.0171685E+002, 1.3488259E+002, 3.9043381E+001, 3.6554149E+001, 3.1888379E+000, 2.2278013E+000, 4.8686326E+001, 2.3152385E+001, 8.6226030E-001, 3.2017471E-001
 2.4001860E+002, 5.1231330E+001, 4.6454245E+001, 2.1285122E+002, 1.4043239E+002, 3.9381153E+001, 3.6662483E+001, 3.1513613E+000, 2.2422507E+000, 4.5249939E+001, 2.7151502E+001, 9.1711278E-001, 2.9586570E-001
 2.5503005E+002, 5.2357781E+001, 4.7263410E+001, 2.2673386E+002, 1.4592333E+002, 3.9717668E+001, 3.6746971E+001, 3.0377223E+000, 2.1969728E+000, 5.7503031E+001, 2.4906948E+001, 8.8071965E-001, 2.4253905E-001
 2.7007545E+002, 5.3552893E+001, 4.8091331E+001, 2.4017591E+002, 1.5095308E+002, 4.0055017E+001, 3.6830456E+001, 3.0795168E+000, 2.2963787E+000, 4.9162042E+001, 2.4874413E+001, 8.6380908E-001, 2.7802451E-001
 2.8505149E+002, 5.4803566E+001, 4.8983472E+001, 2.5150010E+002, 1.5624422E+002, 4.0410244E+001, 3.6940508E+001, 3.2689337E+000, 2.4042607E+000, 4.7916184E+001, 2.6153666E+001, 9.5149603E-001, 3.4182138E-001
 3.0007541E+002, 5.5974343E+001, 4.9860660E+001, 2.6217220E+002, 1.6132727E+002, 4.0766483E+001, 3.7075284E+001, 3.1151576E+000, 2.4297578E+000, 4.8961916E+001, 2.4335235E+001, 9.8012088E-001, 4.1481201E-001
 3.1508267E+002, 5.7205360E+001, 5.0727592E+001, 2.7519977E+002, 1.6573084E+002, 4.1118957E+001, 3.7190096E+001, 3.3359737E+000, 2.3753579E+000, 5.6230054E+001, 2.2817770E+001, 9.2667369E-001, 3.1853032E-001
 3.3000802E+002, 5.8522770E+001, 5.1650335E+001, 2.8744732E+002, 1.7033592E+002, 4.1471463E+001, 3.7312042E+001, 3.4494604E+000, 2.5574695E+000, 5.0360991E+001, 2.4737176E+001, 1.0038865E+000, 3.5101977E-001
 3.4501858E+002, 5.9786382E+001, 5.2589095E+001, 2.9786080E+002, 1.7593226E+002, 4.1859016E+001, 3.7426938E+001, 3.3741134E+000, 2.5743906E+000, 4.7665747E+001, 2.6608799E+001, 1.0949067E+000, 3.3040590E-001
 3.6002637E+002, 6.1102808E+001, 5.3568131E+001, 3.1214631E+002, 1.8087072E+002, 4.2257996E+001, 3.7535044E+001, 3.6049372E+000, 2.7284338E+000, 6.6171170E+001, 2.6143634E+001, 1.0353421E+000, 3.1358983E-001
 3.7507378E+002, 6.2425737E+001, 5.4562439E+001, 3.2493265E+002, 1.8568200E+002, 4.2640593E+001, 3.7638324E+001, 3.5858439E+000, 2.6613124E+000, 5.8670131E+001, 2.3742604E+001, 1.0771536E+000, 3.1027152E-001
 3.9001304E+002, 6.3735286E+001, 5.5490323E+001, 3.3861720E+002, 1.8967276E+002, 4.3022303E+001, 3.7760212E+001, 3.4905252E+000, 2.5985624E+000, 6.3098469E+001, 2.2188378E+001, 1.0313311E+000, 3.3782018E-001
 4.0508350E+002, 6.4981875E+001, 5.6392596E+001, 3.5203970E+002, 1.9394832E+002, 4.3391018E+001, 3.7877432E+001, 3.4616318E+000, 2.4430379E+000, 6.1097021E+001, 2.3007845E+001, 9.9951973E-001, 3.2979902E-001
 4.2007062E+002, 6.6279404E+001, 5.7309158E+001, 3.6544317E+002, 1.9770849E+002, 4.3761410E+001, 3.7987974E+001, 3.7545022E+000, 2.6156159E+000, 6.2615482E+001, 2.2261863E+001, 1.0037343E+000, 3.1268990E-001
 4.3504463E+002, 6.7544070E+001, 5.8168133E+001, 3.7865220E+002, 2.0181814E+002, 4.4130309E+001, 3.8110868E+001, 3.4322556E+000, 2.4413931E+000, 6.6332797E+001, 2.2507699E+001, 1.0488882E+000, 3.7358043E-001
 4.5006013E+002, 6.8784341E+001, 5.9099989E+001, 3.9438088E+002, 2.0558148E+002, 4.4518544E+001, 3.8244268E+001, 3.6322094E+000, 2.7544248E+000, 7.2721724E+001, 2.2825426E+001, 1.0574857E+000, 3.7117615E-001
 4.6505046E+002, 7.0064099E+001, 6.0030145E+001, 4.0914909E+002, 2.0986594E+002, 4.4889247E+001, 3.8376698E+001, 3.6280834E+000, 2.7576253E+000, 6.9180895E+001, 2.4353131E+001, 1.0711302E+000, 3.7630498E-001
 4.8001284E+002, 7.1327174E+001, 6.0981786E+001, 4.1902111E+002, 2.1369398E+002, 4.5279607E+001, 3.8520691E+001, 3.6888874E+000, 2.7020597E+000, 5.4750448E+001, 2.2405383E+001, 1.1210656E+000, 4.1423431E-001
 4.9501535E+002, 7.2641130E+001, 6.1903255E+001, 4.3064457E+002, 2.1747626E+002, 4.5654898E+001, 3.8664235E+001, 3.8059021E+000, 2.8066083E+000, 6.8628151E+001, 2.2768269E+001, 1.0358119E+000, 3.9508955E-001
 5.1005519E+002, 7.3875511E+001, 6.2831650E+001, 4.4179310E+002, 2.2184051E+002, 4.6004895E+001, 3.8802079E+001, 3.5438834E+000, 2.7040197E+000, 5.8140572E+001, 2.4454037E+001, 1.0474279E+000, 3.9198725E-001
 5.2504515E+002, 7.5150477E+001, 6.3761995E+001, 4.4967501E+002, 2.2587913E+002, 4.6414047E+001, 3.8952255E+001, 3.9739505E+000, 2.8025388E+000, 5.5595405E+001, 2.3920509E+001, 1.2067096E+000, 4.0313005E-001
 5.4004687E+002, 7.6505471E+001, 6.4667706E+001, 4.5623937E+002, 2.3002088E+002, 4.6806570E+001, 3.9087824E+001, 3.8147322E+000, 2.6578336E+000, 4.8525020E+001, 2.3842268E+001, 1.0798162E+000, 3.9743127E-001
 5.5508478E+002, 7.7793336E+001, 6.5541765E+001, 4.6602527E+002, 2.3349001E+002, 4.7203657E+001, 3.9236812E+001, 4.0374775E+000, 2.6964426E+000, 6.9125609E+001, 2.2393257E+001, 1.1379292E+000, 4.3460801E-001
 5.7008609E+002, 7.9170174E+001, 6.6471170E+001, 4.7757319E+002, 2.3689701E+002, 4.7563401E+001, 3.9382317E+001, 4.1789229E+000, 2.7084005E+000, 6.8557092E+001, 2.2056530E+001, 1.0106502E+000, 3.8682585E-001
 5.8506881E+002, 8.0437294E+001, 6.7383231E+001, 4.8833397E+002, 2.4023202E+002, 4.7949700E+001, 3.9524938E+001, 4.0678184E+000, 2.9222621E+000, 6.8058964E+001, 2.2406213E+001, 1.1673345E+000, 3.8470334E-001
 6.0008061E+002, 8.1778420E+001, 6.8327698E+001, 5.0081300E+002, 2.4383209E+002, 4.8334052E+001, 3.9658899E+001, 4.2643103E+000, 2.8187740E+000, 8.0136107E+001, 2.3618624E+001, 1.0855452E+000, 3.7560657E-001
 6.1500411E+002, 8.2993321E+001, 6.9171190E+001, 5.1246667E+002, 2.4766763E+002, 4.8731431E+001, 3.9796863E+001, 3.8714279E+000, 2.6192604E+000, 7.6169671E+001, 2.4168083E+001, 1.2189165E+000, 4.0368481E-001
 6.3000909E+002, 8.4248657E+001, 7.0018952E+001, 5.2440649E+002, 2.5082643E+002, 4.9126904E+001, 3.9947010E+001, 4.0297027E+000, 2.7384040E+000, 7.8922532E+001, 2.2204887E+001, 1.1546018E+000, 4.5698641E-001
 6.4509003E+002, 8.5561307E+001, 7.0922248E+001, 5.3474383E+002, 2.5383101E+002, 4.9517821E+001, 4.0116993E+001, 4.1865495E+000, 2.8522264E+000, 7.0494844E+001, 2.1744133E+001, 1.1689387E+000, 4.6077194E-001
 6.6007796E+002, 8.6963411E+001, 7.1826119E+001, 5.4571106E+002, 2.5669455E+002, 4.9909422E+001, 4.0288014E+001, 4.4378075E+000, 2.8803397E+000, 8.1914103E+001, 2.1956181E+001, 1.1607116E+000, 4.6740116E-001
 6.7501651E+002, 8.8258311E+001, 7.2739309E+001, 5.5663084E+002, 2.5974464E+002, 5.0292242E+001, 4.0448591E+001, 4.0935347E+000, 2.9353653E+000, 7.8245047E+001, 2.1694042E+001, 1.1580696E+000, 4.3990128E-001
 6.9008322E+002, 8.9536567E+001, 7.3661567E+001, 5.6598328E+002, 2.6251871E+002, 5.0681766E+001, 4.0601582E+001, 4.3422121E+000, 2.8953033E+000, 8.1958972E+001, 2.0815794E+001, 1.1939315E+000, 4.2761092E-001
 7.0506903E+002, 9.0886809E+001, 7.4480633E+001, 5.7342468E+002, 2.6503790E+002, 5.1066936E+001, 4.0743327E+001, 4.3978553E+000, 2.5975855E+000, 7.0738408E+001, 2.1268876E+001, 1.1139451E+000, 4.3972829E-001
 7.2001527E+002, 9.2174968E+001, 7.5227246E+001, 5.8019120E+002, 2.6783574E+002, 5.1457484E+001, 4.0905867E+001, 4.3804204E+000, 2.5621440E+000, 7.3106732E+001, 2.2243509E+001, 1.2534409E+000, 5.0354635E-001
 7.3507307E+002, 9.3425151E+001, 7.5988732E+001, 5.9204210E+002, 2.7099442E+002, 5.1845714E+001, 4.1078769E+001, 4.3766124E+000, 2.7368372E+000, 9.3750203E+001, 2.3846357E+001, 1.1544907E+000, 4.8920417E-001
 7.5002419E+002, 9.4735461E+001, 7.6904748E+001, 5.9978582E+002, 2.7409967E+002, 5.2244154E+001, 4.1236853E+001, 4.3603794E+000, 3.0094752E+000, 7.2576058E+001, 2.2551668E+001, 1.2286698E+000, 4.6246495E-001
 7.6509427E+002, 9.6013376E+001, 7.7781272E+001, 6.0207464E+002, 2.7668028E+002, 5.2638868E+001, 4.1385376E+001, 4.5063524E+000, 2.9371131E+000, 6.2255963E+001, 2.2058626E+001, 1.1575202E+000, 4.3222536E-001
 7.8006255E+002, 9.7283307E+001, 7.8627801E+001, 6.0594868E+002, 2.7923914E+002, 5.3005496E+001, 4.1542821E+001, 4.3667885E+000, 2.8353436E+000, 6.6532879E+001, 2.1210517E+001, 1.1283908E+000, 4.8949252E-001
 7.9506279E+002, 9.8423326E+001, 7.9419035E+001, 6.1161997E+002, 2.8137979E+002, 5.3377434E+001, 4.1717817E+001, 4.2322121E+000, 2.7538508E+000, 7.9254071E+001, 1.9913615E+001, 1.1646358E+000, 4.9777608E-001
 8.1002196E+002, 9.9596017E+001, 8.0194608E+001, 6.1700314E+002, 2.8370134E+002, 5.3745209E+001, 4.1881983E+001, 4.2723596E+000, 2.6337417E+000, 7.3375384E+001, 2.0634038E+001, 1.2192447E+000, 4.6164948E-001
 8.2503167E+002, 1.0086243E+002, 8.0945511E+001, 6.2083778E+002, 2.8588958E+002, 5.4132653E+001, 4.2035839E+001, 4.3729543E+000, 2.6983733E+000, 6.7891108E+001, 2.0874706E+001, 1.2194846E+000, 4.5411073E-001
 8.4000499E+002, 1.0207065E+002, 8.1761844E+001, 6.2367642E+002, 2.8842617E+002, 5.4505721E+001, 4.2188003E+001, 4.3757430E+000, 3.0255434E+000, 6.9473863E+001, 2.2149089E+001, 1.2282991E+000, 5.1692779E-001
 8.5500996E+002, 1.0338709E+002, 8.2601740E+001, 6.2804489E+002, 2.9086633E+002, 5.4886249E+001, 4.2341186E+001, 4.6848434E+000, 3.0300927E+000, 7.5395653E+001, 2.2658307E+001, 1.2155044E+000, 4.4868508E-001
 8.7000936E+002, 1.0465137E+002, 8.3487606E+001, 6.3257009E+002, 2.9327531E+002, 5.5254968E+001, 4.2498811E+001, 4.5002310E+000, 3.1503066E+000, 6.9878500E+001, 2.2017820E+001, 1.2618782E+000, 4.9710298E-001
 8.8504649E+002, 1.0582026E+002, 8.4334312E+001, 6.3363837E+002, 2.9601165E+002, 5.5649073E+001, 4.2679071E+001, 4.3215078E+000, 2.9101430E+000, 6.6788119E+001, 2.2745174E+001, 1.2644996E+000, 5.6724146E-001
 9.0003837E+002, 1.0699889E+002, 8.5151360E+001, 6.3792099E+002, 2.9827767E+002, 5.6008634E+001, 4.2854475E+001, 4.5179172E+000, 3.0347169E+000, 7.7142559E+001, 2.2102469E+001, 1.1423526E+000, 5.1215577E-001
 9.1503910E+002, 1.0820611E+002, 8.5998043E+001, 6.4368060E+002, 3.0057157E+002, 5.6366592E+001, 4.3027610E+001, 4.5373200E+000, 2.9414208E+000, 8.7408376E+001, 2.1732375E+001, 1.1993234E+000, 5.1956105E-001
 9.3001633E+002, 1.0935749E+002, 8.6747617E+001, 6.5216628E+002, 3.0278092E+002, 5.6757107E+001, 4.3205359E+001, 4.2981597E+000, 2.8404269E+000, 9.1037296E+001, 2.2067669E+001, 1.2793409E+000, 5.3501576E-001
 9.4500675E+002, 1.1053462E+002, 8.7558867E+001, 6.5564704E+002, 3.0508953E+002, 5.7152061E+001, 4.3400121E+001, 4.4777563E+000, 2.9345524E+000, 7.9084252E+001, 2.1725958E+001, 1.2488479E+000, 6.1421920E-001
 9.6005509E+002, 1.1170012E+002, 8.8313927E+001, 6.5952152E+002, 3.0735183E+002, 5.7548696E+001, 4.3603850E+001, 4.5986342E+000, 2.9479962E+000, 7.6388824E+001, 2.2319476E+001, 1.3259078E+000, 5.8623895E-001
 9.7500997E+002, 1.1286694E+002, 8.9074584E+001, 6.6268903E+002, 3.0936994E+002, 5.7942199E+001, 4.3790149E+001, 4.5647742E+000, 2.8387136E+000, 8.1764289E+001, 2.2254736E+001, 1.2653028E+000, 5.4587131E-001
 9.9004252E+002, 1.1400368E+002, 8.9852460E+001, 6.6401671E+002, 3.1114617E+002, 5.8314962E+001, 4.3966054E+001, 4.5248252E+000, 2.9537522E+000, 7.1394759E+001, 2.0803595E+001, 1.2301181E+000, 5.3492148E-001
 1.0050773E+003, 1.1516488E+002, 9.0620619E+001, 6.6617020E+002, 3.1283721E+002, 5.8662426E+001, 4.4152779E+001, 4.5792824E+000, 2.9258376E+000, 7.6037715E+001, 2.1081105E+001, 1.1549394E+000, 5.7796895E-001
 1.0200756E+003, 1.1625198E+002, 9.1346839E+001, 6.6906065E+002, 3.1416882E+002, 5.9022161E+001, 4.4334610E+001, 4.4907540E+000, 2.8147234E+000, 8.5048815E+001, 1.9859502E+001, 1.3094907E+000, 5.5791074E-001
 1.0350505E+003, 1.1733663E+002, 9.2029935E+001, 6.7287637E+002, 3.1574656E+002, 5.9391800E+001, 4.4508209E+001, 4.4733120E+000, 2.8221080E+000, 7.6570792E+001, 2.0838300E+001, 1.2427451E+000, 5.2810385E-001
 1.0500134E+003, 1.1846386E+002, 9.2823870E+001, 6.7367630E+002, 3.1745657E+002, 5.9768275E+001, 4.4682765E+001, 4.7345237E+000, 3.0873993E+000, 8.0115521E+001, 2.1767885E+001, 1.3250362E+000, 5.6346955E-001
 1.0650768E+003, 1.1967854E+002, 9.3609618E+001, 6.7779770E+002, 3.1931150E+002, 6.0132185E+001, 4.4859249E+001, 4.7550739E+000, 3.2017067E+000, 8.1689978E+001, 2.1630433E+001, 1.2593927E+000, 5.6368603E-001
 1.0800495E+003, 1.2089923E+002, 9.4422065E+001, 6.7985123E+002, 3.2113577E+002, 6.0512758E+001, 4.5036526E+001, 5.0095285E+000, 3.0881980E+000, 7.6840064E+001, 2.2096663E+001, 1.3187862E+000, 5.4389583E-001
 1.0950356E+003, 1.2200458E+002, 9.5192095E+001, 6.7979971E+002, 3.2292730E+002, 6.0872693E+001, 4.5224697E+001, 4.4778996E+000, 3.0264828E+000, 8.1740150E+001, 2.1344887E+001, 1.2612456E+000, 6.2130928E-001
 1.1100398E+003, 1.2311904E+002, 9.5945237E+001, 6.8587720E+002, 3.2475998E+002, 6.1228570E+001, 4.5404930E+001, 4.6214156E+000, 2.9773075E+000, 9.8981822E+001, 2.2418731E+001, 1.2287780E+000, 5.5156480E-001
 1.1250626E+003, 1.2418450E+002, 9.6676266E+001, 6.9230344E+002, 3.2623633E+002, 6.1598491E+001, 4.5568177E+001, 4.8007502E+000, 3.0314104E+000, 9.4932377E+001, 2.1817516E+001, 1.3423460E+000, 5.3796694E-001
 1.1400820E+003, 1.2525262E+002, 9.7408267E+001, 6.9343807E+002, 3.2831800E+002, 6.1972713E+001, 4.5751258E+001, 4.5321897E+000, 2.9424708E+000, 8.6883950E+001, 2.3700886E+001, 1.2282478E+000, 5.9332529E-001
 1.1550756E+003, 1.2630152E+002, 9.8135018E+001, 6.9747419E+002, 3.3008732E+002, 6.2341559E+001, 4.5936492E+001, 4.7949736E+000, 2.9301969E+000, 8.9415726E+001, 2.2867023E+001, 1.3275984E+000, 5.9632700E-001
 1.1700858E+003, 1.2746655E+002, 9.8862038E+001, 7.0034196E+002, 3.3182489E+002, 6.2720939E+001, 4.6118387E+001, 5.0388365E+000, 3.0403183E+000, 9.6246352E+001, 2.2291077E+001, 1.3675207E+000, 6.0646625E-001
 1.1850132E+003, 1.2855265E+002, 9.9552360E+001, 7.0538762E+002, 3.3323838E+002, 6.3097339E+001, 4.6299929E+001, 4.8937299E+000, 2.9176984E+000, 9.7565591E+001, 2.1887213E+001, 1.3051619E+000, 5.6312343E-001
 1.2000587E+003, 1.2955621E+002, 1.0024492E+002, 7.0712723E+002, 3.3429032E+002, 6.3462135E+001, 4.6474581E+001, 4.5371946E+000, 2.9249117E+000, 8.7325484E+001, 2.1819475E+001, 1.3213035E+000, 5.6536887E-001
 1.2150620E+003, 1.3051722E+002, 1.0091268E+002, 7.0800513E+002, 3.3600873E+002, 6.3813466E+001, 4.6664996E+001, 4.6169820E+000, 2.8845603E+000, 8.9949570E+001, 2.2180153E+001, 1.2758857E+000, 6.2711387E-001
 1.2300768E+003, 1.3159551E+002, 1.0156733E+002, 7.1108707E+002, 3.3693811E+002, 6.4173322E+001, 4.6844135E+001, 4.9207664E+000, 3.0023271E+000, 9.1011143E+001, 2.0597516E+001, 1.3323888E+000, 5.8781425E-001
 1.2450768E+003, 1.3261462E+002, 1.0225188E+002, 7.1060727E+002, 3.3819247E+002, 6.4510374E+001, 4.7022032E+001, 4.6853150E+000, 2.9723970E+000, 8.0838482E+001, 2.1068090E+001, 1.2578401E+000, 5.6831223E-001
 1.2600680E+003, 1.3363879E+002, 1.0291015E+002, 7.1133289E+002, 3.3954521E+002, 6.4853556E+001, 4.7205716E+001, 4.7907336E+000, 3.0127678E+000, 9.3198168E+001, 2.2036020E+001, 1.2872480E+000, 6.1241942E-001
 1.2750645E+003, 1.3469623E+002, 1.0356812E+002, 7.1712656E+002, 3.4069894E+002, 6.5215117E+001, 4.7395443E+001, 4.9008495E+000, 2.9749781E+000, 1.0667578E+002, 2.2182222E+001, 1.3942561E+000, 6.1017493E-001
 1.2900288E+003, 1.3571722E+002, 1.0424738E+002, 7.1959594E+002, 3.4212927E+002, 6.5581438E+001, 4.7572037E+001, 4.8476839E+000, 3.0688134E+000, 8.4784442E+001, 2.2639684E+001, 1.3688200E+000, 5.8949211E-001
 1.3050407E+003, 1.3673688E+002, 1.0494885E+002, 7.1981808E+002, 3.4337869E+002, 6.5941171E+001, 4.7737906E+001, 4.6931615E+000, 3.1583312E+000, 9.0876549E+001, 2.1764959E+001, 1.3208156E+000, 5.7635963E-001
 1.3200790E+003, 1.3776996E+002, 1.0564206E+002, 7.2162566E+002, 3.4446599E+002, 6.6287418E+001, 4.7912013E+001, 5.0266190E+000, 3.0607518E+000, 9.3593906E+001, 2.0818062E+001, 1.3414616E+000, 5.7950767E-001
 1.3350880E+003, 1.3879072E+002, 1.0635312E+002, 7.2260725E+002, 3.4549456E+002, 6.6639171E+001, 4.8077197E+001, 4.8224203E+000, 3.0684253E+000, 9.4301664E+001, 2.1478771E+001, 1.3555184E+000, 5.7354773E-001
 1.3500430E+003, 1.3974348E+002, 1.0700646E+002, 7.2674715E+002, 3.4645029E+002, 6.6988955E+001, 4.8249878E+001, 4.8673799E+000, 2.9809771E+000, 1.0137981E+002, 2.1048155E+001, 1.3182961E+000, 5.9447725E-001
 1.3650022E+003, 1.4068874E+002, 1.0762597E+002, 7.2829437E+002, 3.4725348E+002, 6.7352853E+001, 4.8428878E+001, 4.8827680E+000, 2.9184708E+000, 8.9472119E+001, 2.1455590E+001, 1.3552832E+000, 5.9257926E-001
 1.3800457E+003, 1.4162642E+002, 1.0825312E+002, 7.2899941E+002, 3.4835720E+002, 6.7700787E+001, 4.8631733E+001, 4.8863499E+000, 3.0206297E+000, 9.7499420E+001, 2.2402998E+001, 1.2990642E+000, 6.8449320E-001
 1.3950550E+003, 1.4258468E+002, 1.0896384E+002, 7.3062076E+002, 3.4947979E+002, 6.8045418E+001, 4.8840511E+001, 4.9678676E+000, 3.2605985E+000, 8.6665174E+001, 2.1429618E+001, 1.3610846E+000, 6.7798174E-001
 1.4100176E+003, 1.4353495E+002, 1.0967273E+002, 7.2972960E+002, 3.5033478E+002, 6.8384395E+001, 4.9027033E+001, 5.0138225E+000, 3.2299635E+000, 8.5686225E+001, 2.2099165E+001, 1.3596291E+000, 6.4330940E-001
 1.4250756E+003, 1.4453110E+002, 1.1034991E+002, 7.2912713E+002, 3.5120485E+002, 6.8726498E+001, 4.9216890E+001, 4.8667735E+000, 3.0885764E+000, 8.4226430E+001, 2.0521015E+001, 1.3843371E+000, 6.3424595E-001
 1.4400462E+003, 1.4538632E+002, 1.1096081E+002, 7.2679921E+002, 3.5177024E+002, 6.9078496E+001, 4.9383557E+001, 4.8522687E+000, 3.0134732E+000, 7.8749980E+001, 2.0430472E+001, 1.4234899E+000, 5.7032609E-001
 1.4550584E+003, 1.4637259E+002, 1.1162845E+002, 7.2438288E+002, 3.5245100E+002, 6.9421548E+001, 4.9557942E+001, 4.9566948E+000, 3.2525055E+000, 7.8529291E+001, 2.1431330E+001, 1.3226598E+000, 6.4502985E-001
 1.4700037E+003, 1.4735497E+002, 1.1232774E+002, 7.2412988E+002, 3.5356372E+002, 6.9744439E+001, 4.9766692E+001, 5.0362696E+000, 3.3142072E+000, 8.8243334E+001, 2.2522216E+001, 1.3310706E+000, 6.9996500E-001
 1.4850429E+003, 1.4832109E+002, 1.1302936E+002, 7.2457291E+002, 3.5455605E+002, 7.0082242E+001, 4.9951049E+001, 5.0080824E+000, 3.2378229E+000, 9.0874894E+001, 2.1354593E+001, 1.3898619E+000, 6.3295778E-001
 1.5000425E+003, 1.4924889E+002, 1.1370081E+002, 7.2735192E+002, 3.5520436E+002, 7.0424641E+001, 5.0133469E+001, 4.8447926E+000, 3.1877669E+000, 9.8468762E+001, 2.1042545E+001, 1.4134567E+000, 6.0752183E-001
 1.5150113E+003, 1.5012438E+002, 1.1435387E+002, 7.2735971E+002, 3.5589582E+002, 7.0751114E+001, 5.0302238E+001, 4.8824643E+000, 3.1291406E+000, 8.2426759E+001, 2.0881663E+001, 1.2806517E+000, 6.2415319E-001
 1.5300396E+003, 1.5094408E+002, 1.1497109E+002, 7.2614336E+002, 3.5645831E+002, 7.1073402E+001, 5.0487401E+001, 4.9020988E+000, 3.1080288E+000, 8.8410727E+001, 2.0755275E+001, 1.3727375E+000, 6.4493635E-001
 1.5450433E+003, 1.5185751E+002, 1.1560733E+002, 7.2877195E+002, 3.5720032E+002, 7.1411419E+001, 5.0679192E+001, 5.0688638E+000, 3.1989054E+000, 9.7158163E+001, 2.0496512E+001, 1.4004652E+000, 6.5505256E-001
 1.5600082E+003, 1.5272569E+002, 1.1621056E+002, 7.3164090E+002, 3.5817502E+002, 7.1748020E+001, 5.0848845E+001, 4.8790407E+000, 3.0024947E+000, 9.7153688E+001, 2.2992064E+001, 1.3643318E+000, 6.1942073E-001
