s,C,null,m,null,C,C,null,kW/m2,kW/m2,null,C,kW/m2
 9.3001970E+002, 1.0376102E+002, 5.1757340E+001, 1.9464086E+000, 8.5759764E-001, 6.4674299E+002, 1.6976226E+002, 4.3524577E+001, 7.3330031E+001, 9.7569143E+000, 2.1219908E+000, 1.9932168E+002, 7.8221711E+000
 9.4501646E+002, 1.1137653E+002, 5.2480308E+001, 2.0678354E+000, 8.4509225E-001, 6.5013028E+002, 1.7150110E+002, 4.4255159E+001, 7.7081091E+001, 8.6108042E+000, 2.2031612E+000, 1.9844762E+002, 6.8696818E+000
 9.6000614E+002, 1.0320483E+002, 5.2854106E+001, 1.9483108E+000, 8.7504927E-001, 6.5449758E+002, 1.7307365E+002, 4.5022317E+001, 7.5737867E+001, 8.8582647E+000, 2.1882717E+000, 1.9687396E+002, 7.5903243E+000
 9.7500451E+002, 1.0179476E+002, 5.2819081E+001, 1.8974578E+000, 8.5117255E-001, 6.5843207E+002, 1.7484817E+002, 4.5795801E+001, 7.6835077E+001, 9.3597974E+000, 2.3422794E+000, 1.9805091E+002, 8.0526242E+000
 9.9001317E+002, 1.0640893E+002, 5.3506346E+001, 1.9901439E+000, 8.7077952E-001, 6.6174687E+002, 1.7696804E+002, 4.6590003E+001, 7.3914969E+001, 9.6422800E+000, 2.2067074E+000, 1.9764823E+002, 6.9000431E+000
 1.0050126E+003, 1.0263265E+002, 5.3851352E+001, 1.8807038E+000, 8.6866970E-001, 6.6444891E+002, 1.7893235E+002, 4.7279476E+001, 7.6799179E+001, 8.4849365E+000, 2.2477002E+000, 1.9478590E+002, 6.4109812E+000
 1.0200089E+003, 1.0336355E+002, 5.4118679E+001, 1.8753570E+000, 8.7931812E-001, 6.6796237E+002, 1.8021305E+002, 4.7944064E+001, 7.4843016E+001, 9.4435302E+000, 2.2453072E+000, 1.9256632E+002, 6.6318261E+000
 1.0350201E+003, 1.0177925E+002, 5.4845082E+001, 1.8770105E+000, 8.5783408E-001, 6.7017416E+002, 1.8166761E+002, 4.8597882E+001, 7.5138224E+001, 1.1551232E+001, 2.2060213E+000, 1.9155457E+002, 7.0516292E+000
 1.0500170E+003, 9.9405856E+001, 5.4867614E+001, 1.8714045E+000, 8.3566995E-001, 6.7195317E+002, 1.8368783E+002, 4.9224490E+001, 7.5962045E+001, 1.1802386E+001, 2.2138932E+000, 1.9323681E+002, 9.1353828E+000
 1.0650053E+003, 1.0200293E+002, 5.5581668E+001, 1.8709116E+000, 8.5613490E-001, 6.7470170E+002, 1.8621285E+002, 4.9813150E+001, 7.5384280E+001, 1.0918356E+001, 2.3719456E+000, 1.9703771E+002, 8.7156430E+000
 1.0800056E+003, 1.1711635E+002, 5.5423563E+001, 2.1214993E+000, 8.5546096E-001, 6.7734536E+002, 1.8897843E+002, 5.0475089E+001, 7.4765231E+001, 1.1046953E+001, 2.4727484E+000, 1.9862461E+002, 7.9079435E+000
 1.0950072E+003, 1.0157298E+002, 5.6122552E+001, 1.8795821E+000, 8.9367940E-001, 6.7892049E+002, 1.9305567E+002, 5.1166156E+001, 7.5227094E+001, 1.2554155E+001, 2.3870755E+000, 1.9920416E+002, 8.0585489E+000
 1.1100083E+003, 1.0543142E+002, 5.6238048E+001, 1.8708547E+000, 8.9705847E-001, 6.8073421E+002, 1.9808318E+002, 5.1817817E+001, 7.7285901E+001, 1.0637192E+001, 2.4405779E+000, 2.0031378E+002, 7.9027221E+000
 1.1250158E+003, 1.0750811E+002, 5.6239178E+001, 1.9796838E+000, 8.3076766E-001, 6.8234964E+002, 2.0202154E+002, 5.2436953E+001, 7.5063632E+001, 1.4122881E+001, 2.3236647E+000, 1.9953765E+002, 7.5362900E+000
 1.1400020E+003, 1.0890536E+002, 5.6770206E+001, 2.0033583E+000, 8.2854196E-001, 6.8347659E+002, 2.0588530E+002, 5.2990706E+001, 7.7484274E+001, 1.1798944E+001, 2.4073369E+000, 1.9828764E+002, 7.5444423E+000
 1.1550204E+003, 1.2020142E+002, 5.6487773E+001, 2.1861834E+000, 8.2502658E-001, 6.8432255E+002, 2.0992013E+002, 5.3515699E+001, 7.4273560E+001, 1.1568692E+001, 2.3323785E+000, 1.9723513E+002, 6.6224432E+000
 1.1700034E+003, 1.1978546E+002, 5.7371594E+001, 2.1113082E+000, 8.7162559E-001, 6.8484963E+002, 2.1359476E+002, 5.4001110E+001, 7.4300185E+001, 1.1807529E+001, 2.3726194E+000, 1.9530114E+002, 7.0829961E+000
 1.1850059E+003, 1.2110770E+002, 5.7774076E+001, 2.1579272E+000, 8.1947649E-001, 6.8588546E+002, 2.1766540E+002, 5.4511289E+001, 7.2441982E+001, 1.1650518E+001, 2.3966891E+000, 1.9501517E+002, 7.6000891E+000
 1.2000007E+003, 1.1182304E+002, 5.7950532E+001, 1.9996057E+000, 8.7969651E-001, 6.8628389E+002, 2.2144507E+002, 5.5039985E+001, 7.3540537E+001, 1.5313246E+001, 2.4864559E+000, 1.9577256E+002, 7.3922333E+000
 1.2150064E+003, 1.2603467E+002, 5.8070077E+001, 2.2045700E+000, 8.4843409E-001, 6.8608410E+002, 2.2599501E+002, 5.5582622E+001, 7.2539875E+001, 1.2055085E+001, 2.4192671E+000, 1.9443675E+002, 6.9509162E+000
 1.2300072E+003, 1.2000654E+002, 5.8607038E+001, 2.1264428E+000, 8.8071836E-001, 6.8665806E+002, 2.3031735E+002, 5.6124341E+001, 7.3857334E+001, 1.3646096E+001, 2.4745953E+000, 1.9434082E+002, 7.4394242E+000
 1.2450151E+003, 1.2153994E+002, 5.8405000E+001, 2.1650510E+000, 8.5559779E-001, 6.8777990E+002, 2.3466370E+002, 5.6653584E+001, 7.4200272E+001, 1.2872165E+001, 2.5691991E+000, 1.9367289E+002, 7.1353461E+000
 1.2600052E+003, 1.2786421E+002, 5.8192939E+001, 2.2183947E+000, 7.9335053E-001, 6.8968616E+002, 2.3869293E+002, 5.7209732E+001, 7.4041276E+001, 1.3739966E+001, 2.5455729E+000, 1.9313227E+002, 6.7983547E+000
 1.2750113E+003, 1.1645483E+002, 5.8577659E+001, 2.1098575E+000, 8.9731480E-001, 6.9007657E+002, 2.4279087E+002, 5.7755266E+001, 7.6714041E+001, 1.2005603E+001, 2.6596098E+000, 1.9276588E+002, 7.9886119E+000
 1.2900050E+003, 1.2023994E+002, 5.8479395E+001, 2.1393723E+000, 8.4032924E-001, 6.9092284E+002, 2.4542380E+002, 5.8295423E+001, 7.6261077E+001, 1.0728419E+001, 2.4966140E+000, 1.9429146E+002, 7.0655445E+000
 1.3050157E+003, 1.2738051E+002, 5.8955591E+001, 2.2264782E+000, 8.6160536E-001, 6.9264588E+002, 2.4660591E+002, 5.8797401E+001, 7.7999660E+001, 1.1905597E+001, 2.5466469E+000, 1.9161053E+002, 6.5601611E+000
 1.3200071E+003, 1.2150930E+002, 5.8958438E+001, 2.1967736E+000, 8.5676456E-001, 6.9432241E+002, 2.4809234E+002, 5.9258650E+001, 7.9036639E+001, 1.0943406E+001, 2.4817782E+000, 1.9050657E+002, 6.7429151E+000
 1.3350100E+003, 1.2006392E+002, 5.9029742E+001, 2.1858872E+000, 8.9578763E-001, 6.9768351E+002, 2.4958965E+002, 5.9674433E+001, 8.1231574E+001, 1.1427861E+001, 2.4806532E+000, 1.8934964E+002, 6.4042076E+000
 1.3500014E+003, 1.2598956E+002, 5.8967738E+001, 2.2218631E+000, 8.5512516E-001, 7.0040413E+002, 2.5101833E+002, 6.0092400E+001, 7.8025818E+001, 1.0217167E+001, 2.5487214E+000, 1.8763108E+002, 6.1084716E+000
 1.3650033E+003, 1.2257398E+002, 5.8707446E+001, 2.2072623E+000, 8.8105742E-001, 7.0126908E+002, 2.5170245E+002, 6.0501543E+001, 7.8619609E+001, 9.7893652E+000, 2.5743940E+000, 1.8586958E+002, 6.1503383E+000
 1.3800051E+003, 1.2546495E+002, 5.8533563E+001, 2.2230402E+000, 8.3374801E-001, 7.0288947E+002, 2.5192780E+002, 6.0874472E+001, 8.1087327E+001, 9.4337766E+000, 2.5971629E+000, 1.8459474E+002, 6.1020032E+000
 1.3950002E+003, 1.2031375E+002, 5.9003702E+001, 2.2136409E+000, 8.9257042E-001, 7.0565641E+002, 2.5204746E+002, 6.1243832E+001, 7.9757259E+001, 1.0850839E+001, 2.4655013E+000, 1.8308527E+002, 6.2830232E+000
 1.4100186E+003, 1.2306969E+002, 5.8639945E+001, 2.2175546E+000, 8.7748966E-001, 7.0740813E+002, 2.5326498E+002, 6.1581017E+001, 7.9008577E+001, 1.0589129E+001, 2.4617386E+000, 1.8114760E+002, 5.6597100E+000
 1.4250187E+003, 1.2288960E+002, 5.8668925E+001, 2.2240655E+000, 8.5580348E-001, 7.0774938E+002, 2.5501773E+002, 6.1882180E+001, 8.1412448E+001, 9.8894829E+000, 2.5113576E+000, 1.7856366E+002, 5.2025520E+000
 1.4400172E+003, 1.2023163E+002, 5.8695051E+001, 2.2173448E+000, 8.4310717E-001, 7.0820920E+002, 2.5572030E+002, 6.2179558E+001, 8.0956944E+001, 8.7833065E+000, 2.4504201E+000, 1.7623170E+002, 5.3731780E+000
 1.4550173E+003, 1.2077761E+002, 5.8315563E+001, 2.2176046E+000, 8.7386840E-001, 7.1087911E+002, 2.5557126E+002, 6.2440415E+001, 8.1040175E+001, 9.5416904E+000, 2.4785168E+000, 1.7514473E+002, 6.1840299E+000
 1.4700152E+003, 1.1428068E+002, 5.8508304E+001, 2.1838804E+000, 9.0793455E-001, 7.1219128E+002, 2.5554410E+002, 6.2679436E+001, 7.8434114E+001, 9.8893537E+000, 2.5349525E+000, 1.7532708E+002, 6.1461307E+000
 1.4850060E+003, 1.1655805E+002, 5.8221921E+001, 2.2077775E+000, 9.2208156E-001, 7.1208885E+002, 2.5626035E+002, 6.2934064E+001, 8.0285309E+001, 8.8851297E+000, 2.4766720E+000, 1.7420712E+002, 5.2328474E+000
 1.5000101E+003, 1.1428270E+002, 5.7984909E+001, 2.1828778E+000, 9.2402329E-001, 7.1324347E+002, 2.5633826E+002, 6.3168968E+001, 8.1294818E+001, 9.4153893E+000, 2.3087092E+000, 1.7268074E+002, 5.3359862E+000
 1.5150120E+003, 1.0667326E+002, 5.7717240E+001, 2.1080856E+000, 8.7226088E-001, 7.1454188E+002, 2.5667700E+002, 6.3340585E+001, 8.4230622E+001, 9.1123234E+000, 2.3538407E+000, 1.7098998E+002, 5.3071569E+000
 1.5300191E+003, 1.1673957E+002, 5.7870980E+001, 2.2007630E+000, 9.0627622E-001, 7.1675515E+002, 2.5702110E+002, 6.3511353E+001, 8.4560584E+001, 8.4060773E+000, 2.2844881E+000, 1.6981321E+002, 5.3185095E+000
 1.5450034E+003, 1.1354568E+002, 5.7714234E+001, 2.2033471E+000, 8.9751504E-001, 7.1899127E+002, 2.5679790E+002, 6.3654769E+001, 8.3749639E+001, 8.7940059E+000, 2.2802922E+000, 1.6844581E+002, 5.6898992E+000
 1.5600126E+003, 1.1377432E+002, 5.7564285E+001, 2.2189406E+000, 9.0056853E-001, 7.2108598E+002, 2.5643971E+002, 6.3778549E+001, 8.4223656E+001, 8.9947626E+000, 2.3312919E+000, 1.6853868E+002, 5.6145683E+000
