s,C,C,C,C,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,kW/m2,kW/m2,kW/m2
 1.3501223E+002, 2.0589139E+001, 2.0338246E+001, 2.0309488E+001, 2.0338882E+001, 2.0602484E+001, 2.1006761E+001, 0.0000000E+000, 2.9548166E-001, 6.2595419E+000, 1.0123362E+001, 1.1326411E+001, 0.0000000E+000, 0.0000000E+000, 2.4184070E-001, 8.3694545E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1961422E-015, 2.0006627E+001, 4.0000000E+000, 3.6656583E-002, 2.0309370E-002, 8.6151435E-002
 1.5000781E+002, 2.0762979E+001, 2.0453389E+001, 2.0393371E+001, 2.0489554E+001, 2.0811199E+001, 2.1442478E+001, 0.0000000E+000, 4.1515534E+000, 7.9672885E+000, 1.2012798E+001, 1.3314557E+001, 0.0000000E+000, 0.0000000E+000, 9.2785302E-001, 1.3409422E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1250791E-002, 2.0009068E+001, 4.0000000E+000, 4.3956301E-002, 2.2792195E-002, 1.0261309E-001
 1.6501019E+002, 2.0959967E+001, 2.0672251E+001, 2.0483933E+001, 2.0647738E+001, 2.1053546E+001, 2.1859042E+001, 1.1275804E-001, 6.6800466E+000, 9.9272296E+000, 1.4591664E+001, 1.4924894E+001, 0.0000000E+000, 0.0000000E+000, 1.7649739E+000, 3.2698787E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5844985E-013, 5.8040187E-001, 2.0011666E+001, 4.0000000E+000, 4.8411503E-002, 3.0219175E-002, 1.2433988E-001
 1.8000826E+002, 2.1176994E+001, 2.0902316E+001, 2.0585349E+001, 2.0796133E+001, 2.1326106E+001, 2.2324381E+001, 3.9268897E+000, 8.6225032E+000, 1.2381677E+001, 1.7232192E+001, 1.6885851E+001, 0.0000000E+000, 0.0000000E+000, 2.7204528E+000, 5.0686712E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1012547E-006, 1.8693438E+000, 2.0016927E+001, 4.0000000E+000, 5.8577400E-002, 3.1792025E-002, 1.2699890E-001
 1.9500600E+002, 2.1412662E+001, 2.1098477E+001, 2.0708878E+001, 2.0952913E+001, 2.1585669E+001, 2.2864288E+001, 6.8154491E+000, 1.1015384E+001, 1.4459535E+001, 1.8964391E+001, 1.9206848E+001, 0.0000000E+000, 7.0211903E-006, 3.9128932E+000, 6.7762652E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1012567E-003, 3.4417098E+000, 2.0022227E+001, 4.0000000E+000, 6.3071149E-002, 4.1640801E-002, 1.5434974E-001
 2.1000565E+002, 2.1645047E+001, 2.1248787E+001, 2.0862892E+001, 2.1144055E+001, 2.1894128E+001, 2.3445221E+001, 9.1548916E+000, 1.3022956E+001, 1.6413433E+001, 2.0946867E+001, 2.2713015E+001, 1.1459479E-005, 1.6369347E-003, 5.6974140E+000, 8.0754015E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5851277E+000, 4.5742556E+000, 2.0031001E+001, 4.0000000E+000, 6.8024851E-002, 4.9474315E-002, 1.7544599E-001
 2.2501378E+002, 2.1880025E+001, 2.1382128E+001, 2.1035235E+001, 2.1341156E+001, 2.2271888E+001, 2.4110387E+001, 1.1110209E+001, 1.5036052E+001, 1.7842556E+001, 2.2355558E+001, 2.4183614E+001, 9.2559944E-004, 8.2959557E-002, 7.0920816E+000, 1.0041823E+001, 0.0000000E+000, 0.0000000E+000, 3.5934603E-011, 4.5247692E+000, 6.2729286E+000, 2.0039241E+001, 4.0000000E+000, 7.6874244E-002, 5.7248421E-002, 2.2843785E-001
 2.4000069E+002, 2.2150661E+001, 2.1552874E+001, 2.1232025E+001, 2.1537806E+001, 2.2683834E+001, 2.4970664E+001, 1.3099919E+001, 1.6408357E+001, 1.9908719E+001, 2.5626077E+001, 2.6104491E+001, 2.0626690E-002, 6.2185839E-001, 8.2991667E+000, 1.1711795E+001, 0.0000000E+000, 0.0000000E+000, 1.1054276E+000, 6.3227347E+000, 9.3013806E+000, 2.0048569E+001, 4.0000000E+000, 1.0265965E-001, 7.0624917E-002, 2.3841172E-001
 2.5500327E+002, 2.2501631E+001, 2.1777705E+001, 2.1473287E+001, 2.1764586E+001, 2.3097558E+001, 2.5850977E+001, 1.4531769E+001, 1.8456259E+001, 2.2105820E+001, 2.7806168E+001, 2.8729000E+001, 5.2751689E-001, 1.4057074E+000, 1.0252664E+001, 1.3321462E+001, 1.4001484E-002, 0.0000000E+000, 4.4593818E+000, 8.8119677E+000, 1.2424753E+001, 2.0054066E+001, 4.0000000E+000, 1.3812428E-001, 7.2702063E-002, 2.4748087E-001
 2.7001524E+002, 2.2977272E+001, 2.2058841E+001, 2.1731432E+001, 2.2053647E+001, 2.3521448E+001, 2.6652287E+001, 1.6489000E+001, 2.0400546E+001, 2.4752793E+001, 3.0245570E+001, 3.1336774E+001, 2.8412630E+000, 2.5183975E+000, 1.2467592E+001, 1.5574960E+001, 6.9154455E-001, 5.2753486E-001, 7.2358782E+000, 1.1145607E+001, 1.4316177E+001, 2.0058222E+001, 4.0000000E+000, 1.2534780E-001, 7.4884194E-002, 2.6051160E-001
 2.8501315E+002, 2.3400368E+001, 2.2384512E+001, 2.1961367E+001, 2.2374686E+001, 2.3967918E+001, 2.7421325E+001, 1.8363299E+001, 2.3531060E+001, 2.6961338E+001, 3.2526809E+001, 3.4551219E+001, 4.4867072E+000, 3.5979809E+000, 1.4031468E+001, 1.8397793E+001, 1.4283791E+000, 5.4839917E+000, 9.7598065E+000, 1.2212487E+001, 1.6199875E+001, 2.0075610E+001, 4.0000000E+000, 1.3640040E-001, 9.7360678E-002, 2.7267735E-001
 3.0001068E+002, 2.3792973E+001, 2.2742885E+001, 2.2238641E+001, 2.2650231E+001, 2.4449521E+001, 2.8155479E+001, 2.1258272E+001, 2.5278505E+001, 2.8912313E+001, 3.4274017E+001, 3.7166388E+001, 7.3246020E+000, 5.0684196E+000, 1.6119039E+001, 2.0346454E+001, 3.6112360E+000, 8.5669966E+000, 1.0945403E+001, 1.3417886E+001, 1.8677077E+001, 2.4124412E+001, 2.8987614E+000, 1.6047580E-001, 1.0465992E-001, 3.0511564E-001
 3.1500252E+002, 2.4225841E+001, 2.3109110E+001, 2.2530641E+001, 2.2951637E+001, 2.4945536E+001, 2.8917706E+001, 2.2962046E+001, 2.7500533E+001, 3.1823315E+001, 3.6945613E+001, 4.0208532E+001, 8.5311429E+000, 7.2893269E+000, 1.8756056E+001, 2.1663795E+001, 5.8791243E+000, 1.0096402E+001, 1.2304486E+001, 1.5276226E+001, 2.0817188E+001, 2.5986563E+001, 2.5727966E+000, 1.8308989E-001, 9.2268903E-002, 2.8535517E-001
 3.3001329E+002, 2.4763452E+001, 2.3609877E+001, 2.2780846E+001, 2.3293747E+001, 2.5491467E+001, 2.9633209E+001, 2.5468031E+001, 3.0159645E+001, 3.3850802E+001, 3.9585814E+001, 4.2499489E+001, 1.0187217E+001, 9.3390495E+000, 2.0793153E+001, 2.3268072E+001, 6.8224736E+000, 1.1274879E+001, 1.4113267E+001, 1.7411057E+001, 2.2150373E+001, 2.6367507E+001, 2.5399698E+000, 2.0643505E-001, 1.2329960E-001, 3.5837288E-001
 3.4501498E+002, 2.5332543E+001, 2.4339436E+001, 2.3079654E+001, 2.3662636E+001, 2.6141221E+001, 3.0531397E+001, 2.7986217E+001, 3.2387499E+001, 3.6108100E+001, 4.2338475E+001, 4.6777943E+001, 1.1668444E+001, 1.0616736E+001, 2.2405277E+001, 2.4529039E+001, 8.3701171E+000, 1.3024310E+001, 1.6533429E+001, 1.9326534E+001, 2.4724296E+001, 2.6942484E+001, 2.5160010E+000, 1.6420472E-001, 1.2068070E-001, 3.6456894E-001
 3.6001603E+002, 2.5760877E+001, 2.5097789E+001, 2.3349726E+001, 2.3986756E+001, 2.6808389E+001, 3.1519974E+001, 3.0162769E+001, 3.4377685E+001, 3.8313527E+001, 4.3079680E+001, 4.7829939E+001, 1.3381226E+001, 1.2476034E+001, 2.4147490E+001, 2.6781692E+001, 1.0323503E+001, 1.5312899E+001, 1.8575570E+001, 2.1552738E+001, 2.6540656E+001, 2.7325099E+001, 2.4738001E+000, 1.9222466E-001, 1.0965977E-001, 3.8398133E-001
 3.7500566E+002, 2.6206548E+001, 2.5868142E+001, 2.3580981E+001, 2.4357478E+001, 2.7422227E+001, 3.2467992E+001, 3.2195910E+001, 3.6529941E+001, 3.9661199E+001, 4.4972508E+001, 5.0014722E+001, 1.6733620E+001, 1.4542022E+001, 2.6250467E+001, 2.9020316E+001, 1.2129407E+001, 1.7403276E+001, 2.0443978E+001, 2.3880697E+001, 2.8236590E+001, 2.7819778E+001, 2.4070531E+000, 2.2374714E-001, 1.2835125E-001, 4.2962023E-001
 3.9000794E+002, 2.6784442E+001, 2.6726465E+001, 2.3877034E+001, 2.4809623E+001, 2.8123444E+001, 3.3566720E+001, 3.4040350E+001, 3.7961301E+001, 4.2637357E+001, 4.9780105E+001, 5.4072391E+001, 1.9861571E+001, 1.6287733E+001, 2.8730959E+001, 3.1093574E+001, 1.3786149E+001, 1.9243068E+001, 2.2366764E+001, 2.5921726E+001, 3.0733938E+001, 2.8719466E+001, 2.4264921E+000, 3.3226653E-001, 1.7486160E-001, 4.9528936E-001
 4.0500681E+002, 2.7600178E+001, 2.7571143E+001, 2.4321091E+001, 2.5338415E+001, 2.9014116E+001, 3.4815623E+001, 3.6008146E+001, 4.1945388E+001, 4.7331940E+001, 5.3002823E+001, 5.7943057E+001, 2.1505936E+001, 1.8071634E+001, 3.1107739E+001, 3.3547710E+001, 1.5577590E+001, 2.1402883E+001, 2.4282571E+001, 2.8511332E+001, 3.2930839E+001, 2.9504275E+001, 2.3743491E+000, 3.6330619E-001, 2.0051829E-001, 5.4856992E-001
 4.2000694E+002, 2.8456200E+001, 2.8083397E+001, 2.4926762E+001, 2.5845648E+001, 3.0034274E+001, 3.6113299E+001, 4.0318370E+001, 4.6013031E+001, 5.0287171E+001, 5.3899268E+001, 5.7012023E+001, 2.3328034E+001, 1.9463661E+001, 3.3806364E+001, 3.6782393E+001, 1.7502206E+001, 2.3481372E+001, 2.7106169E+001, 3.0885004E+001, 3.6115977E+001, 3.0321062E+001, 2.3574743E+000, 3.6472908E-001, 2.0536187E-001, 5.4730842E-001
 4.3501200E+002, 2.9298577E+001, 2.8593214E+001, 2.5514278E+001, 2.6307115E+001, 3.0948874E+001, 3.7357808E+001, 4.3908331E+001, 4.7813582E+001, 4.9571676E+001, 5.2290043E+001, 5.7389514E+001, 2.5891560E+001, 2.1822478E+001, 3.6210569E+001, 4.0127141E+001, 1.9344069E+001, 2.6183329E+001, 2.9908353E+001, 3.3876766E+001, 3.9074032E+001, 3.0973232E+001, 2.3272949E+000, 3.6046384E-001, 1.8210014E-001, 5.9643047E-001
 4.5000430E+002, 2.9999163E+001, 2.9189025E+001, 2.5945326E+001, 2.6726721E+001, 3.1751958E+001, 3.8756902E+001, 4.4596342E+001, 4.6971495E+001, 5.0018638E+001, 5.4429105E+001, 5.4354969E+001, 2.8907544E+001, 2.3925162E+001, 3.8218989E+001, 4.0290649E+001, 2.1979587E+001, 2.9108623E+001, 3.3134244E+001, 3.6586057E+001, 4.1383730E+001, 3.1411832E+001, 2.2983318E+000, 3.7121132E-001, 2.0053915E-001, 6.7092105E-001
 4.6501475E+002, 3.0610262E+001, 2.9940180E+001, 2.6280058E+001, 2.7122523E+001, 3.2413820E+001, 4.0328642E+001, 4.4564805E+001, 4.8753723E+001, 5.2741844E+001, 5.6999249E+001, 5.4093123E+001, 3.1939384E+001, 2.6622005E+001, 3.9564900E+001, 4.0663521E+001, 2.5134199E+001, 3.2293391E+001, 3.5602237E+001, 3.8601337E+001, 4.2947079E+001, 3.2197902E+001, 2.3272183E+000, 4.3224985E-001, 2.1556727E-001, 6.7817860E-001
 4.8001191E+002, 3.1406428E+001, 3.0779172E+001, 2.6659739E+001, 2.7582899E+001, 3.3146892E+001, 4.1856528E+001, 4.7146203E+001, 5.0938587E+001, 5.4617172E+001, 5.8946269E+001, 5.8307110E+001, 3.5011235E+001, 2.8360998E+001, 4.0320895E+001, 4.1482158E+001, 2.8230699E+001, 3.4751477E+001, 3.7593343E+001, 3.9934014E+001, 4.3674582E+001, 3.2566530E+001, 2.3141205E+000, 4.9728488E-001, 2.7335158E-001, 7.4543427E-001
 4.9500391E+002, 3.2376944E+001, 3.1484462E+001, 2.7255200E+001, 2.8140570E+001, 3.4055929E+001, 4.3326327E+001, 4.9262765E+001, 5.2316877E+001, 5.5282812E+001, 5.9607949E+001, 6.3645756E+001, 3.7209998E+001, 3.0144029E+001, 4.0633407E+001, 4.3122948E+001, 3.1318978E+001, 3.6647513E+001, 3.8997427E+001, 4.0754631E+001, 4.5595143E+001, 3.2722090E+001, 2.2563507E+000, 5.0719343E-001, 2.9213558E-001, 7.3437643E-001
 5.1000104E+002, 3.3186271E+001, 3.2063165E+001, 2.7949775E+001, 2.8770576E+001, 3.5116728E+001, 4.4621882E+001, 5.0375971E+001, 5.3993308E+001, 5.6574947E+001, 5.9630417E+001, 6.0569515E+001, 3.8523426E+001, 3.2107947E+001, 4.2022464E+001, 4.5317971E+001, 3.3552897E+001, 3.8120861E+001, 4.0197228E+001, 4.3489391E+001, 4.6325321E+001, 3.3439328E+001, 2.2445752E+000, 5.0975424E-001, 2.7949439E-001, 7.7945915E-001
 5.2500450E+002, 3.3909241E+001, 3.2717813E+001, 2.8541563E+001, 2.9480217E+001, 3.6128009E+001, 4.6055440E+001, 5.2208108E+001, 5.5000561E+001, 5.8184832E+001, 6.1841909E+001, 6.1490117E+001, 4.0627325E+001, 3.4393518E+001, 4.3318401E+001, 4.6599977E+001, 3.5514178E+001, 3.9261609E+001, 4.2862904E+001, 4.4911826E+001, 4.7287199E+001, 3.3851052E+001, 2.2248823E+000, 5.4334835E-001, 2.6813180E-001, 8.1391333E-001
 5.4000346E+002, 3.4645944E+001, 3.3495055E+001, 2.9018277E+001, 3.0091119E+001, 3.7114652E+001, 4.7514415E+001, 5.3706131E+001, 5.6790564E+001, 5.9176049E+001, 6.2029968E+001, 6.3105914E+001, 4.3822583E+001, 3.6715151E+001, 4.4880600E+001, 4.6608615E+001, 3.6710516E+001, 4.1767962E+001, 4.4398662E+001, 4.5499829E+001, 4.8143207E+001, 3.3973530E+001, 2.1926625E+000, 5.4371222E-001, 2.4641699E-001, 8.8026392E-001
 5.5501179E+002, 3.5335972E+001, 3.4530904E+001, 2.9383639E+001, 3.0656281E+001, 3.8061261E+001, 4.9223668E+001, 5.5028740E+001, 5.7458965E+001, 5.9453110E+001, 6.2682361E+001, 6.1954262E+001, 4.5408822E+001, 3.8236569E+001, 4.6076676E+001, 4.7075456E+001, 3.8818149E+001, 4.2941630E+001, 4.5062509E+001, 4.5965035E+001, 4.8168807E+001, 3.4052433E+001, 2.1447083E+000, 5.6780675E-001, 2.6116927E-001, 9.3532322E-001
 5.7000942E+002, 3.6003350E+001, 3.5624387E+001, 2.9717694E+001, 3.1215772E+001, 3.8884317E+001, 5.1026592E+001, 5.5882736E+001, 5.8070020E+001, 6.0341330E+001, 6.3565623E+001, 6.1616301E+001, 4.7105489E+001, 3.9832404E+001, 4.7003009E+001, 4.7940459E+001, 4.0536996E+001, 4.3830338E+001, 4.5717086E+001, 4.5867459E+001, 4.9965998E+001, 3.3966050E+001, 2.1113323E+000, 6.3528374E-001, 2.7948428E-001, 9.4948589E-001
 5.8500607E+002, 3.6839796E+001, 3.6282989E+001, 3.0087705E+001, 3.1772172E+001, 3.9580392E+001, 5.2895165E+001, 5.6727151E+001, 5.9065503E+001, 6.1746020E+001, 6.3939373E+001, 5.9788486E+001, 4.8447468E+001, 4.1853108E+001, 4.7992878E+001, 4.8747864E+001, 4.1546716E+001, 4.4539682E+001, 4.5713550E+001, 4.7041622E+001, 5.0309721E+001, 3.4161349E+001, 2.0508036E+000, 6.3861543E-001, 2.4968122E-001, 8.9495568E-001
 6.0001230E+002, 3.7690540E+001, 3.6758862E+001, 3.0437352E+001, 3.2204884E+001, 4.0172139E+001, 5.4503512E+001, 5.8146919E+001, 6.0048945E+001, 6.1759087E+001, 6.4764426E+001, 5.8994258E+001, 4.9328276E+001, 4.3403956E+001, 4.8773620E+001, 4.9507070E+001, 4.2626041E+001, 4.5071716E+001, 4.6708893E+001, 4.8101382E+001, 5.0539922E+001, 3.3983510E+001, 2.0044606E+000, 6.6069079E-001, 2.5165719E-001, 8.1483967E-001
 6.1501068E+002, 3.8489993E+001, 3.7182701E+001, 3.0744704E+001, 3.2700520E+001, 4.0693720E+001, 5.5624902E+001, 5.9001611E+001, 6.0970060E+001, 6.3608431E+001, 6.7034937E+001, 5.8352304E+001, 5.1674122E+001, 4.4519051E+001, 4.9511853E+001, 5.0451739E+001, 4.3417052E+001, 4.6058041E+001, 4.7657363E+001, 4.8404643E+001, 5.0730873E+001, 3.3791978E+001, 1.9596833E+000, 6.7993819E-001, 2.8978238E-001, 8.1928422E-001
 6.3000180E+002, 3.9236199E+001, 3.7550145E+001, 3.1122862E+001, 3.3222001E+001, 4.1208102E+001, 5.6587812E+001, 6.0136080E+001, 6.3060541E+001, 6.5690472E+001, 6.7793975E+001, 5.9058516E+001, 5.2755589E+001, 4.5698855E+001, 5.0129792E+001, 5.0820317E+001, 4.4087415E+001, 4.7019135E+001, 4.8183744E+001, 4.8604199E+001, 5.0702356E+001, 3.3774672E+001, 1.9290160E+000, 7.0739358E-001, 2.7366706E-001, 8.4427628E-001
 6.4500058E+002, 4.0027974E+001, 3.7931019E+001, 3.1550243E+001, 3.3756957E+001, 4.1801922E+001, 5.7744611E+001, 6.2451347E+001, 6.4865885E+001, 6.6467787E+001, 6.8742690E+001, 6.0176674E+001, 5.4259907E+001, 4.7955095E+001, 5.1324297E+001, 5.2147427E+001, 4.5148680E+001, 4.7433805E+001, 4.8606535E+001, 4.8881276E+001, 5.0795231E+001, 3.3830476E+001, 1.9156814E+000, 7.4768091E-001, 3.3251248E-001, 9.1595496E-001
 6.6000780E+002, 4.0894438E+001, 3.8308051E+001, 3.2158909E+001, 3.4354754E+001, 4.2492690E+001, 5.8944780E+001, 6.3594061E+001, 6.5208933E+001, 6.7074699E+001, 6.9705354E+001, 6.0722263E+001, 5.5203317E+001, 4.9941641E+001, 5.2364764E+001, 5.2363906E+001, 4.6012058E+001, 4.7974647E+001, 4.8706801E+001, 4.9097842E+001, 5.2380157E+001, 3.3580575E+001, 1.8262772E+000, 7.5554025E-001, 3.4988167E-001, 8.7481998E-001
 6.7500572E+002, 4.1733674E+001, 3.8738183E+001, 3.2814263E+001, 3.4927055E+001, 4.3181836E+001, 5.9963991E+001, 6.4159314E+001, 6.6096956E+001, 6.8205244E+001, 7.0146039E+001, 6.2900207E+001, 5.6713241E+001, 5.1336129E+001, 5.3211450E+001, 5.2608895E+001, 4.6639406E+001, 4.8309523E+001, 4.9218573E+001, 5.0332403E+001, 5.2429157E+001, 3.3801951E+001, 1.8350303E+000, 7.3109352E-001, 2.8076956E-001, 8.4341034E-001
 6.9001292E+002, 4.2436922E+001, 3.9594459E+001, 3.3216576E+001, 3.5438064E+001, 4.3804092E+001, 6.1022131E+001, 6.5101435E+001, 6.6922903E+001, 6.8713662E+001, 7.0585529E+001, 6.3035857E+001, 5.8127729E+001, 5.2913302E+001, 5.4450897E+001, 5.4198972E+001, 4.7389244E+001, 4.8741051E+001, 5.0718499E+001, 5.1418585E+001, 5.2314154E+001, 3.3657432E+001, 1.8311209E+000, 7.7139115E-001, 2.9132964E-001, 9.3997580E-001
 7.0501190E+002, 4.3100800E+001, 4.0848691E+001, 3.3510028E+001, 3.5876661E+001, 4.4408671E+001, 6.2270004E+001, 6.5837884E+001, 6.7623094E+001, 6.9282405E+001, 7.1034771E+001, 6.5204020E+001, 5.8455934E+001, 5.4468458E+001, 5.5323290E+001, 5.5647448E+001, 4.7894660E+001, 5.0044967E+001, 5.1446684E+001, 5.1257634E+001, 5.2647354E+001, 3.3724282E+001, 1.7896371E+000, 7.6694006E-001, 2.8382816E-001, 9.4895091E-001
 7.2000655E+002, 4.3725677E+001, 4.2071823E+001, 3.3778680E+001, 3.6248366E+001, 4.5054297E+001, 6.3583723E+001, 6.6392903E+001, 6.7742717E+001, 6.8959983E+001, 7.1338392E+001, 6.7043153E+001, 5.9800854E+001, 5.5557430E+001, 5.6268098E+001, 5.6446752E+001, 4.8516314E+001, 5.0974437E+001, 5.1665215E+001, 5.1262473E+001, 5.3603987E+001, 3.3954167E+001, 1.7892179E+000, 7.9326477E-001, 3.1648403E-001, 9.8192391E-001
 7.3501516E+002, 4.4305093E+001, 4.3296708E+001, 3.4080018E+001, 3.6742186E+001, 4.5783757E+001, 6.4889699E+001, 6.6576476E+001, 6.7622309E+001, 6.9667254E+001, 7.1215874E+001, 6.6635589E+001, 6.0684492E+001, 5.7193235E+001, 5.6813122E+001, 5.6918623E+001, 4.9587762E+001, 5.1289188E+001, 5.2138384E+001, 5.2032658E+001, 5.5204961E+001, 3.4177105E+001, 1.8116512E+000, 7.7825424E-001, 2.9554560E-001, 9.5144802E-001
 7.5001335E+002, 4.4860868E+001, 4.4378616E+001, 3.4343894E+001, 3.7201180E+001, 4.6513324E+001, 6.6023516E+001, 6.6939193E+001, 6.8660375E+001, 6.9627187E+001, 7.1090768E+001, 6.7296827E+001, 6.1531598E+001, 5.8147523E+001, 5.7564882E+001, 5.7429168E+001, 5.0541523E+001, 5.1861072E+001, 5.2959167E+001, 5.3476824E+001, 5.6536210E+001, 3.4327156E+001, 1.8143307E+000, 8.1625587E-001, 3.0358210E-001, 1.0028256E+000
 7.6500177E+002, 4.5489443E+001, 4.5272465E+001, 3.4614991E+001, 3.7563411E+001, 4.7301858E+001, 6.7160237E+001, 6.7598505E+001, 6.8090374E+001, 6.9727610E+001, 7.1753528E+001, 6.7566765E+001, 6.2537593E+001, 5.8859548E+001, 5.8040065E+001, 5.7062391E+001, 5.1091712E+001, 5.2609800E+001, 5.3820703E+001, 5.4706566E+001, 5.7590939E+001, 3.4005058E+001, 1.7529665E+000, 8.7650358E-001, 3.3370134E-001, 1.0055586E+000
