s,C,m,kW/m2,1/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m
 1.3500697E+002, 2.0047999E+001, 5.1999998E+000, 1.1031534E-003, 7.3223889E-004, 7.0165815E+000, 5.0433476E-001, 7.8064863E-003, 6.9196934E+000, 2.9330578E-001, 6.7078375E-002, 7.3196095E+001, 8.3496800E-002, 1.4863765E-002, 1.8827438E+001, 5.2808395E-001, 9.0482833E-003
 1.5000354E+002, 2.0049329E+001, 5.1999998E+000, 1.7792329E-003, 6.4041227E-004, 5.5604444E+000, 6.4418782E-001, 2.0531873E-002, 1.0895110E+001, 1.1342473E+000, 4.1592092E-001, 7.7057460E+001, 3.3138448E-001, 3.6709046E-002, 3.3989984E+001, 2.1572098E+001, 3.2808509E-002
 1.6500010E+002, 2.0055610E+001, 5.1999998E+000, 2.3101062E-003, 1.0164863E-003, 9.0376083E+000, 9.9597882E-001, 3.5207996E-002, 9.4827239E+000, 2.7267085E+000, 1.6614962E+000, 8.7422501E+001, 7.3843573E-001, 5.6521446E-002, 4.7773474E+001, 5.1568651E+001, 1.5578527E-001
 1.8000677E+002, 2.0065502E+001, 5.1999998E+000, 3.0980706E-003, 2.1080821E-003, 8.3580317E+000, 2.2857494E+000, 5.9509669E-002, 1.0308661E+001, 4.7048801E+000, 6.6959898E+000, 8.8932233E+001, 4.2083891E+000, 1.4545718E-001, 5.6712103E+001, 5.3275607E+001, 4.4385087E-001
 1.9500334E+002, 2.0106988E+001, 5.1999998E+000, 3.9993502E-003, 3.7096712E-003, 1.0544435E+001, 7.7309306E+000, 9.5464148E-002, 1.4614068E+001, 9.1423751E+000, 7.1413560E+000, 9.3145364E+001, 9.0032130E+000, 1.5669008E-001, 6.0139163E+001, 7.3045816E+001, 1.7780715E+000
 2.1001001E+002, 2.0081880E+001, 5.1999998E+000, 5.1874172E-003, 8.7264264E-003, 1.2602588E+001, 1.0604942E+001, 1.5612010E-001, 1.3955057E+001, 8.9308469E+000, 4.7948388E+000, 9.4558446E+001, 1.8031808E+001, 3.2419158E-001, 6.9020398E+001, 7.4904452E+001, 1.8946216E+001
 2.2500658E+002, 2.0103051E+001, 5.1999998E+000, 6.7106025E-003, 1.2418227E-002, 1.4470822E+001, 1.1881414E+001, 2.4362253E-001, 2.5082708E+001, 9.7065722E+000, 6.5713935E+000, 9.7029041E+001, 4.4437985E+001, 2.5383386E-001, 7.9124885E+001, 8.3563985E+001, 2.2737156E+001
 2.4000314E+002, 2.0115923E+001, 5.1999998E+000, 8.0773362E-003, 1.5741682E-002, 1.4254883E+001, 1.2015035E+001, 2.4452104E-001, 2.2300647E+001, 9.1954896E+000, 1.0092324E+001, 9.8028326E+001, 5.7575991E+001, 2.4507103E-001, 8.4553325E+001, 8.9055556E+001, 6.0274013E+001
 2.5500981E+002, 2.0131477E+001, 5.1999998E+000, 9.4142370E-003, 1.8076474E-002, 1.4964237E+001, 1.7178435E+001, 2.7842766E-001, 1.6162392E+001, 1.1171792E+001, 1.6182389E+001, 9.9055480E+001, 4.5535507E+001, 4.1712694E-001, 8.5706512E+001, 8.9358546E+001, 7.0548603E+001
 2.7000638E+002, 2.0248567E+001, 5.1881309E+000, 1.1445057E-002, 1.7861021E-002, 1.6414603E+001, 1.6204536E+001, 4.9734908E-001, 2.1304675E+001, 1.5850743E+001, 2.9654485E+001, 9.9160197E+001, 6.9317548E+001, 2.0522178E+000, 9.1009758E+001, 8.9832379E+001, 7.5297247E+001
 2.8500295E+002, 2.0134350E+001, 5.1999998E+000, 1.3150260E-002, 1.7277039E-002, 1.5109265E+001, 1.9721659E+001, 9.5444128E-001, 2.2130576E+001, 1.6472357E+001, 3.3040985E+001, 9.9691447E+001, 7.7245754E+001, 1.3076557E+000, 9.3304748E+001, 9.3996936E+001, 7.7589532E+001
 3.0000961E+002, 2.0144982E+001, 5.1999998E+000, 1.5657933E-002, 2.7609084E-002, 2.0901843E+001, 1.7732763E+001, 2.5556529E+000, 2.3629936E+001, 2.5461155E+001, 2.9174835E+001, 9.9744178E+001, 8.1029283E+001, 1.9924392E+000, 9.3702844E+001, 9.5215906E+001, 7.7940515E+001
 3.1500618E+002, 2.0195875E+001, 5.1999998E+000, 1.7596151E-002, 2.6756903E-002, 1.9962550E+001, 1.7505914E+001, 7.2064531E+000, 3.2258960E+001, 3.5646163E+001, 3.2064802E+001, 9.9931955E+001, 8.9063362E+001, 6.9161099E+000, 9.4414686E+001, 9.5312879E+001, 7.8985672E+001
 3.3000275E+002, 2.1093415E+001, 5.0552558E+000, 2.0354481E-002, 3.5464490E-002, 2.7791268E+001, 2.1311087E+001, 1.3174974E+001, 2.6217469E+001, 3.1748673E+001, 4.2182212E+001, 9.9939488E+001, 9.2085393E+001, 4.2136396E+001, 9.5666833E+001, 9.5776666E+001, 8.4666351E+001
 3.4500942E+002, 2.2987004E+001, 4.7215999E+000, 2.2178520E-002, 4.8801547E-002, 1.8061461E+001, 2.2388955E+001, 1.3850425E+001, 2.7938101E+001, 3.0529364E+001, 4.2123619E+001, 9.9919736E+001, 9.3288190E+001, 2.8302049E+001, 9.6599231E+001, 9.7448824E+001, 8.9679148E+001
 3.6000599E+002, 2.1033633E+001, 5.1147086E+000, 2.3362098E-002, 6.0153792E-002, 2.4225676E+001, 1.7027034E+001, 1.2139959E+001, 2.5305502E+001, 3.1157837E+001, 4.5405424E+001, 9.9978163E+001, 9.4501196E+001, 1.9649169E+001, 9.8011385E+001, 9.7838816E+001, 9.1627806E+001
 3.7500255E+002, 2.3190133E+001, 4.8143104E+000, 2.7546572E-002, 8.8851136E-002, 2.3076611E+001, 1.8619038E+001, 1.0746661E+001, 3.0018864E+001, 3.4413971E+001, 4.0216821E+001, 9.9907315E+001, 9.5529341E+001, 4.4253816E+001, 9.7819495E+001, 9.8703476E+001, 9.3466317E+001
 3.9000922E+002, 2.3349222E+001, 4.7027210E+000, 3.1601154E-002, 8.0010008E-002, 2.4103317E+001, 1.5035666E+001, 2.6585806E+001, 2.9177628E+001, 4.0071986E+001, 5.6213336E+001, 9.9988167E+001, 9.7188679E+001, 3.0364925E+001, 9.8775826E+001, 9.8908047E+001, 9.4485409E+001
 4.0500579E+002, 2.5444216E+001, 4.4359316E+000, 3.5024768E-002, 8.6508040E-002, 2.3639394E+001, 1.9591940E+001, 2.6501974E+001, 3.0238244E+001, 3.8614101E+001, 6.0782344E+001, 9.9991656E+001, 9.8504214E+001, 7.8666380E+001, 9.8406299E+001, 9.9385235E+001, 9.6580444E+001
 4.2000236E+002, 2.7076694E+001, 4.1550168E+000, 3.8277249E-002, 1.0636772E-001, 2.1994638E+001, 2.9535496E+001, 3.5113371E+001, 3.5564527E+001, 3.7958030E+001, 5.9091806E+001, 9.9992517E+001, 9.9221919E+001, 5.9941976E+001, 9.8814407E+001, 9.9616326E+001, 9.7508927E+001
 4.3500902E+002, 2.6863861E+001, 4.1839837E+000, 4.2329389E-002, 1.0942295E-001, 2.3221348E+001, 3.3240019E+001, 3.9247731E+001, 3.4525782E+001, 4.1691162E+001, 6.4859092E+001, 9.9996988E+001, 9.8397311E+001, 6.3522513E+001, 9.9230731E+001, 9.9586204E+001, 9.8217501E+001
 4.5000559E+002, 2.8355264E+001, 4.1379757E+000, 4.7983205E-002, 1.2162029E-001, 2.8091549E+001, 3.0861473E+001, 4.1506688E+001, 4.3286270E+001, 4.1459203E+001, 6.7946097E+001, 9.9998368E+001, 9.9570839E+001, 7.8382469E+001, 9.9561508E+001, 9.9728984E+001, 9.8718217E+001
 4.6500216E+002, 2.9413144E+001, 4.0965786E+000, 5.2929031E-002, 1.2275057E-001, 2.6588084E+001, 3.7039013E+001, 4.0316319E+001, 4.5749658E+001, 5.0396101E+001, 6.7844604E+001, 9.9998564E+001, 9.9320726E+001, 9.5101982E+001, 9.9598771E+001, 9.9832068E+001, 9.9031788E+001
 4.8000883E+002, 3.0499010E+001, 4.1619021E+000, 5.9403556E-002, 1.3924018E-001, 2.5525625E+001, 4.1548162E+001, 5.0380516E+001, 4.1170039E+001, 5.3603554E+001, 6.7214565E+001, 9.9999123E+001, 9.9807355E+001, 9.0869066E+001, 9.9559588E+001, 9.9881715E+001, 9.9307082E+001
 4.9500540E+002, 3.0788999E+001, 4.2172534E+000, 6.4293909E-002, 1.8348903E-001, 3.1203276E+001, 4.8521509E+001, 5.7888834E+001, 5.2265962E+001, 4.9776868E+001, 7.1523915E+001, 9.9999647E+001, 9.9842389E+001, 9.9279138E+001, 9.9630640E+001, 9.9892052E+001, 9.9579035E+001
 5.1000196E+002, 3.1888684E+001, 4.2079161E+000, 7.1830725E-002, 1.6358857E-001, 3.6396411E+001, 4.9767390E+001, 6.5924649E+001, 4.9195870E+001, 5.9089960E+001, 7.8404682E+001, 9.9999722E+001, 9.9949710E+001, 9.8953064E+001, 9.9677321E+001, 9.9937198E+001, 9.9639482E+001
 5.2500863E+002, 3.3528481E+001, 4.2177948E+000, 7.6610664E-002, 1.7662197E-001, 3.5505275E+001, 4.6990403E+001, 6.1434135E+001, 4.9984413E+001, 5.9546050E+001, 7.9791506E+001, 9.9999866E+001, 9.9976971E+001, 9.9445578E+001, 9.9816492E+001, 9.9959586E+001, 9.9726628E+001
 5.4000520E+002, 3.3463220E+001, 4.0735047E+000, 8.7853905E-002, 1.9068826E-001, 3.5166715E+001, 4.4871452E+001, 6.5411162E+001, 5.3758474E+001, 7.0435724E+001, 8.2543573E+001, 9.9998654E+001, 9.9971391E+001, 9.9635730E+001, 9.9860732E+001, 9.9959678E+001, 9.9815546E+001
 5.5500177E+002, 3.3609965E+001, 4.1146416E+000, 9.1319471E-002, 2.0139557E-001, 3.2054201E+001, 5.2853308E+001, 7.8185383E+001, 5.5806905E+001, 5.9445527E+001, 7.9167889E+001, 9.9998438E+001, 9.9968178E+001, 9.9854873E+001, 9.9922634E+001, 9.9982350E+001, 9.9885855E+001
 5.7000843E+002, 3.4622597E+001, 4.0792852E+000, 9.8796947E-002, 2.1313162E-001, 4.1102007E+001, 5.5108155E+001, 6.8006721E+001, 6.1228868E+001, 6.8218901E+001, 7.8629985E+001, 9.9999983E+001, 9.9985413E+001, 9.9901141E+001, 9.9891980E+001, 9.9980891E+001, 9.9911885E+001
 5.8500500E+002, 3.6805810E+001, 4.1177327E+000, 1.0457262E-001, 2.0582171E-001, 3.5858513E+001, 5.9531874E+001, 7.5588328E+001, 5.8636933E+001, 6.1657421E+001, 8.0761820E+001, 9.9999704E+001, 9.9991049E+001, 9.9937925E+001, 9.9940749E+001, 9.9990043E+001, 9.9937439E+001
 6.0000157E+002, 3.7206469E+001, 4.1578673E+000, 1.1471817E-001, 2.2462376E-001, 3.8286867E+001, 6.7062981E+001, 6.0169824E+001, 5.7836067E+001, 5.9370473E+001, 8.1521509E+001, 9.9999984E+001, 9.9993834E+001, 9.9969370E+001, 9.9953962E+001, 9.9994575E+001, 9.9945533E+001
 6.1500824E+002, 3.8034375E+001, 4.0587130E+000, 1.2092754E-001, 2.1988920E-001, 4.4777876E+001, 6.6400592E+001, 6.7620254E+001, 6.3192410E+001, 6.9270677E+001, 8.6643493E+001, 9.9999990E+001, 9.9996151E+001, 9.9984631E+001, 9.9955608E+001, 9.9996070E+001, 9.9967998E+001
 6.3000481E+002, 3.8504846E+001, 4.1536673E+000, 1.2627076E-001, 2.4970273E-001, 4.6876998E+001, 7.3800233E+001, 7.5378595E+001, 6.7307817E+001, 7.1290570E+001, 8.6865047E+001, 9.9999964E+001, 9.9995814E+001, 9.9984262E+001, 9.9971451E+001, 9.9996810E+001, 9.9984528E+001
 6.4500137E+002, 3.9000242E+001, 4.0623770E+000, 1.3647024E-001, 2.5857277E-001, 4.2148345E+001, 6.8131077E+001, 7.7643648E+001, 6.7734534E+001, 7.9676672E+001, 8.1825105E+001, 9.9999998E+001, 9.9998146E+001, 9.9985461E+001, 9.9989370E+001, 9.9997510E+001, 9.9982134E+001
 6.6000804E+002, 4.0363962E+001, 4.0555228E+000, 1.4090152E-001, 2.7708453E-001, 4.8135798E+001, 7.3284769E+001, 7.6738877E+001, 7.5828821E+001, 7.6089042E+001, 8.4543583E+001, 9.9999996E+001, 9.9999110E+001, 9.9994233E+001, 9.9990188E+001, 9.9998435E+001, 9.9990205E+001
 6.7500461E+002, 4.0407847E+001, 3.9160647E+000, 1.4469649E-001, 2.8712760E-001, 4.8560515E+001, 7.9657954E+001, 7.5667486E+001, 7.2598026E+001, 8.3102247E+001, 9.1912076E+001, 9.9999969E+001, 9.9998794E+001, 9.9996121E+001, 9.9992223E+001, 9.9998387E+001, 9.9993700E+001
 6.9000118E+002, 4.2398331E+001, 3.9829736E+000, 1.4983034E-001, 2.9438715E-001, 5.1081824E+001, 7.2215392E+001, 7.9788905E+001, 7.4166999E+001, 8.1724744E+001, 9.0265931E+001, 9.9999913E+001, 9.9998555E+001, 9.9997138E+001, 9.9996409E+001, 9.9998711E+001, 9.9995504E+001
 7.0500784E+002, 4.4573611E+001, 4.0922185E+000, 1.6389763E-001, 2.8993985E-001, 4.7871338E+001, 7.4406073E+001, 8.1221532E+001, 7.4764650E+001, 8.1222179E+001, 9.2564670E+001, 9.9999999E+001, 9.9999407E+001, 9.9997817E+001, 9.9997654E+001, 9.9999446E+001, 9.9996010E+001
 7.2000441E+002, 4.8050800E+001, 4.1178978E+000, 1.7899271E-001, 2.9032539E-001, 4.9350373E+001, 8.3500608E+001, 8.6124916E+001, 7.5269988E+001, 8.6160886E+001, 9.1171159E+001, 1.0000000E+002, 9.9999753E+001, 9.9999168E+001, 9.9996650E+001, 9.9999409E+001, 9.9997357E+001
 7.3500098E+002, 4.7435515E+001, 3.9783186E+000, 1.7928186E-001, 3.0848315E-001, 5.1121538E+001, 8.6088507E+001, 8.4658603E+001, 7.6736626E+001, 8.4177172E+001, 8.9649362E+001, 1.0000000E+002, 9.9999920E+001, 9.9999471E+001, 9.9995752E+001, 9.9999795E+001, 9.9999180E+001
 7.5000765E+002, 4.6620373E+001, 3.9133331E+000, 1.7385842E-001, 3.1232332E-001, 5.6529249E+001, 8.5798970E+001, 8.7598110E+001, 7.5469759E+001, 8.5768696E+001, 9.0990646E+001, 1.0000000E+002, 9.9999915E+001, 9.9999534E+001, 9.9997555E+001, 9.9999803E+001, 9.9999501E+001
 7.6500422E+002, 4.6755116E+001, 3.9468363E+000, 1.8218001E-001, 3.4237747E-001, 5.9613038E+001, 8.7277553E+001, 8.4807271E+001, 7.8595049E+001, 9.1950827E+001, 9.0336471E+001, 9.9999999E+001, 9.9999952E+001, 9.9999765E+001, 9.9998515E+001, 9.9999811E+001, 9.9999245E+001
 7.8000078E+002, 4.5072102E+001, 3.8063827E+000, 1.7699121E-001, 3.5588132E-001, 5.7966705E+001, 9.0291818E+001, 8.8077908E+001, 8.2667328E+001, 8.5245274E+001, 9.0752946E+001, 1.0000000E+002, 9.9999888E+001, 9.9999774E+001, 9.9998819E+001, 9.9999878E+001, 9.9999426E+001
 7.9500745E+002, 4.6448468E+001, 3.7821852E+000, 1.8130755E-001, 3.7442853E-001, 5.9008053E+001, 8.6661338E+001, 8.4054746E+001, 8.4755835E+001, 8.8643892E+001, 9.2032453E+001, 1.0000000E+002, 9.9999920E+001, 9.9999735E+001, 9.9995876E+001, 9.9999906E+001, 9.9999506E+001
 8.1000402E+002, 4.6877629E+001, 3.8551203E+000, 1.8036127E-001, 3.4576947E-001, 6.1412878E+001, 8.6529935E+001, 8.1988464E+001, 8.5877192E+001, 8.9206753E+001, 9.2350786E+001, 1.0000000E+002, 9.9999852E+001, 9.9999797E+001, 9.9995624E+001, 9.9999953E+001, 9.9999725E+001
 8.2500059E+002, 4.9499952E+001, 3.9659474E+000, 1.8568497E-001, 3.1919144E-001, 6.0136950E+001, 8.5551550E+001, 9.0469463E+001, 8.4313893E+001, 8.9187119E+001, 8.9580610E+001, 9.9999999E+001, 9.9999951E+001, 9.9999727E+001, 9.9997909E+001, 9.9999853E+001, 9.9999645E+001
 8.4000725E+002, 4.8381302E+001, 3.9470987E+000, 1.8993172E-001, 3.3088680E-001, 6.0000855E+001, 9.1940251E+001, 8.2780688E+001, 8.3183713E+001, 8.9081160E+001, 9.1244609E+001, 1.0000000E+002, 9.9999974E+001, 9.9999837E+001, 9.9995681E+001, 9.9999927E+001, 9.9999570E+001
 8.5500382E+002, 4.7037623E+001, 3.8623820E+000, 1.8681852E-001, 3.5665292E-001, 5.8138571E+001, 8.9790592E+001, 8.9856766E+001, 8.3655416E+001, 8.6534391E+001, 9.2971789E+001, 1.0000000E+002, 9.9999816E+001, 9.9999725E+001, 9.9997330E+001, 9.9999935E+001, 9.9999800E+001
 8.7000039E+002, 4.7402900E+001, 3.7978499E+000, 1.8341172E-001, 3.6250845E-001, 6.1951231E+001, 8.6735799E+001, 7.9929813E+001, 8.5254717E+001, 8.9522269E+001, 9.3684987E+001, 9.9999988E+001, 9.9999686E+001, 9.9999586E+001, 9.9997432E+001, 9.9999943E+001, 9.9999668E+001
 8.8500706E+002, 4.7316198E+001, 3.8482463E+000, 1.8444794E-001, 3.6837691E-001, 6.1736367E+001, 8.7841795E+001, 7.5907160E+001, 8.3674240E+001, 9.2075650E+001, 9.3165155E+001, 1.0000000E+002, 9.9999855E+001, 9.9999495E+001, 9.9998398E+001, 9.9999917E+001, 9.9999421E+001
 9.0000363E+002, 4.6715665E+001, 3.8006442E+000, 1.7896925E-001, 3.4868287E-001, 6.0539410E+001, 8.9430658E+001, 8.1058045E+001, 8.5114354E+001, 8.9612426E+001, 9.0383072E+001, 9.9999998E+001, 9.9999833E+001, 9.9999673E+001, 9.9997563E+001, 9.9999863E+001, 9.9999456E+001
 9.1500019E+002, 4.7247642E+001, 3.7527821E+000, 1.8515676E-001, 3.6814693E-001, 6.2678632E+001, 8.7200812E+001, 8.1049157E+001, 8.4029521E+001, 9.2076697E+001, 8.8393539E+001, 1.0000000E+002, 9.9999717E+001, 9.9999636E+001, 9.9998030E+001, 9.9999926E+001, 9.9999371E+001
 9.3000686E+002, 4.8040298E+001, 3.8735890E+000, 1.8275847E-001, 3.7225166E-001, 5.9875607E+001, 8.7749185E+001, 7.9418733E+001, 8.3640401E+001, 9.3757613E+001, 9.2970092E+001, 1.0000000E+002, 9.9999872E+001, 9.9999782E+001, 9.9996861E+001, 9.9999896E+001, 9.9999296E+001
 9.4500343E+002, 4.8288156E+001, 3.9380309E+000, 1.8272218E-001, 3.8615843E-001, 5.8641067E+001, 8.9098776E+001, 8.8197282E+001, 8.4773467E+001, 9.3508397E+001, 9.1665491E+001, 1.0000000E+002, 9.9999950E+001, 9.9999825E+001, 9.9998003E+001, 9.9999888E+001, 9.9999617E+001
 9.6001010E+002, 4.7185724E+001, 3.7412103E+000, 1.8550942E-001, 3.8773279E-001, 6.0925437E+001, 9.2755844E+001, 9.1213011E+001, 8.5770424E+001, 9.2742514E+001, 9.1776407E+001, 1.0000000E+002, 9.9999881E+001, 9.9999740E+001, 9.9997958E+001, 9.9999873E+001, 9.9999650E+001
 9.7500666E+002, 4.7906817E+001, 3.8691629E+000, 1.8133263E-001, 3.9220241E-001, 6.4031031E+001, 9.0934750E+001, 9.2021895E+001, 8.6285362E+001, 9.2469632E+001, 9.3719439E+001, 9.9999999E+001, 9.9999817E+001, 9.9999692E+001, 9.9997902E+001, 9.9999943E+001, 9.9999748E+001
 9.9000323E+002, 4.8305760E+001, 3.9141364E+000, 1.8542851E-001, 3.6971903E-001, 6.8834097E+001, 8.9243407E+001, 9.1734664E+001, 8.9160599E+001, 9.2317647E+001, 9.1955970E+001, 1.0000000E+002, 9.9999900E+001, 9.9999667E+001, 9.9996093E+001, 9.9999957E+001, 9.9999688E+001
 1.0050099E+003, 4.7953781E+001, 3.9074461E+000, 1.8285999E-001, 3.7152439E-001, 6.7737016E+001, 8.4975754E+001, 8.9881794E+001, 8.5062268E+001, 9.1493919E+001, 9.5161126E+001, 1.0000000E+002, 9.9999847E+001, 9.9999728E+001, 9.9998266E+001, 9.9999921E+001, 9.9999716E+001
 1.0200065E+003, 4.8782032E+001, 3.9271681E+000, 1.7890463E-001, 3.4060299E-001, 6.7236417E+001, 8.7443489E+001, 8.2647920E+001, 8.5780924E+001, 9.0389687E+001, 9.3693764E+001, 1.0000000E+002, 9.9999819E+001, 9.9999417E+001, 9.9998576E+001, 9.9999911E+001, 9.9999676E+001
 1.0350030E+003, 4.8769103E+001, 3.9543426E+000, 1.8815370E-001, 3.4237657E-001, 6.7731465E+001, 9.1854990E+001, 8.7121541E+001, 8.8503016E+001, 8.8683962E+001, 9.2515793E+001, 1.0000000E+002, 9.9999867E+001, 9.9999776E+001, 9.9996624E+001, 9.9999942E+001, 9.9999489E+001
 1.0500097E+003, 4.9244436E+001, 3.9100460E+000, 1.7775874E-001, 3.4779941E-001, 6.2670357E+001, 9.2114276E+001, 8.5184991E+001, 8.8834433E+001, 9.0220099E+001, 9.3072775E+001, 1.0000000E+002, 9.9999508E+001, 9.9999677E+001, 9.9997663E+001, 9.9999921E+001, 9.9999703E+001
 1.0650063E+003, 4.9250141E+001, 3.9755569E+000, 1.8480052E-001, 3.6842218E-001, 5.8185311E+001, 8.7044993E+001, 8.8032551E+001, 8.7678421E+001, 9.0270454E+001, 9.2690863E+001, 1.0000000E+002, 9.9999896E+001, 9.9999442E+001, 9.9998423E+001, 9.9999943E+001, 9.9999561E+001
 1.0800028E+003, 4.9708247E+001, 3.9390272E+000, 1.9153596E-001, 3.6196845E-001, 5.7241399E+001, 8.6486573E+001, 8.4580071E+001, 8.5045066E+001, 8.8644855E+001, 9.4358947E+001, 1.0000000E+002, 9.9999926E+001, 9.9999785E+001, 9.9996933E+001, 9.9999918E+001, 9.9999540E+001
 1.0950095E+003, 4.8483961E+001, 3.8362594E+000, 1.8529543E-001, 3.7900210E-001, 6.3461367E+001, 8.7103385E+001, 7.9177330E+001, 8.3114920E+001, 9.1870520E+001, 9.7054492E+001, 1.0000000E+002, 9.9999900E+001, 9.9999814E+001, 9.9998416E+001, 9.9999925E+001, 9.9999450E+001
 1.1100061E+003, 4.8311903E+001, 3.9278861E+000, 1.9291492E-001, 3.9797699E-001, 5.8439066E+001, 9.1286521E+001, 8.7992555E+001, 8.4245949E+001, 8.9775220E+001, 9.5542365E+001, 1.0000000E+002, 9.9999866E+001, 9.9999803E+001, 9.9997768E+001, 9.9999952E+001, 9.9999469E+001
 1.1250026E+003, 4.7937909E+001, 3.8609425E+000, 1.8884498E-001, 3.7947330E-001, 6.1131475E+001, 9.1945829E+001, 8.8151559E+001, 8.4658301E+001, 8.9664734E+001, 9.4559285E+001, 1.0000000E+002, 9.9999890E+001, 9.9999763E+001, 9.9997034E+001, 9.9999942E+001, 9.9999753E+001
 1.1400093E+003, 4.9658927E+001, 3.8348337E+000, 1.9155497E-001, 3.5801517E-001, 6.4345921E+001, 8.7843687E+001, 7.5517266E+001, 8.6594246E+001, 9.1051310E+001, 9.2978011E+001, 1.0000000E+002, 9.9999922E+001, 9.9999455E+001, 9.9996961E+001, 9.9999943E+001, 9.9999584E+001
 1.1550059E+003, 4.7438527E+001, 3.7876651E+000, 1.8288340E-001, 3.3843366E-001, 6.4103887E+001, 8.5786116E+001, 7.8033592E+001, 8.7234517E+001, 9.2639646E+001, 9.2134044E+001, 9.9999999E+001, 9.9999868E+001, 9.9999537E+001, 9.9998580E+001, 9.9999916E+001, 9.9999446E+001
 1.1700024E+003, 4.8672522E+001, 3.8856520E+000, 1.9549102E-001, 3.3818353E-001, 6.4809399E+001, 8.7195778E+001, 7.8677775E+001, 8.9350000E+001, 9.2678787E+001, 9.4395137E+001, 1.0000000E+002, 9.9999922E+001, 9.9999575E+001, 9.9997701E+001, 9.9999920E+001, 9.9998873E+001
 1.1850091E+003, 4.8435365E+001, 3.8754652E+000, 1.9564738E-001, 3.5123355E-001, 6.0165477E+001, 8.7062154E+001, 8.3831742E+001, 8.5925492E+001, 9.1968197E+001, 9.2599916E+001, 1.0000000E+002, 9.9999954E+001, 9.9999826E+001, 9.9996795E+001, 9.9999935E+001, 9.9999284E+001
