s,C,kW/m2,C
 1.3500119E+003, 1.2134768E+002, 1.9622590E+000, 8.2239223E+001
 1.3650134E+003, 1.2157667E+002, 1.9772333E+000, 8.2024607E+001
 1.3800135E+003, 1.2185104E+002, 1.9550633E+000, 8.1336965E+001
 1.3950085E+003, 1.2204074E+002, 2.1031815E+000, 8.2286069E+001
 1.4100017E+003, 1.2232389E+002, 1.9596293E+000, 8.2337072E+001
 1.4250053E+003, 1.2267491E+002, 1.9688824E+000, 8.2068831E+001
 1.4400014E+003, 1.2272244E+002, 1.9464328E+000, 8.1227040E+001
 1.4550170E+003, 1.2266381E+002, 1.9555009E+000, 8.0788007E+001
 1.4700146E+003, 1.2273984E+002, 1.9858131E+000, 8.2384136E+001
 1.4850042E+003, 1.2297501E+002, 1.9165837E+000, 8.1721287E+001
 1.5000110E+003, 1.2301798E+002, 2.0358962E+000, 8.1816548E+001
 1.5150115E+003, 1.2325693E+002, 2.0605308E+000, 8.2357355E+001
 1.5300030E+003, 1.2359831E+002, 1.9548988E+000, 8.1730544E+001
 1.5450018E+003, 1.2408193E+002, 2.0642224E+000, 8.1168088E+001
 1.5600070E+003, 1.2428819E+002, 2.0999995E+000, 8.0327615E+001
 1.5750123E+003, 1.2449439E+002, 2.0313040E+000, 7.9987864E+001
 1.5900048E+003, 1.2475448E+002, 2.0613324E+000, 7.9544043E+001
 1.6050156E+003, 1.2493245E+002, 2.0717342E+000, 8.0999475E+001
 1.6200037E+003, 1.2536794E+002, 2.0494030E+000, 8.0291477E+001
 1.6350000E+003, 1.2570771E+002, 2.0899683E+000, 7.9836327E+001
 1.6500155E+003, 1.2613305E+002, 2.1176162E+000, 7.8143514E+001
 1.6650129E+003, 1.2648557E+002, 2.2074528E+000, 7.7686664E+001
 1.6800119E+003, 1.2674871E+002, 2.0566976E+000, 7.6573444E+001
 1.6950000E+003, 1.2686849E+002, 2.0408563E+000, 7.6351238E+001
 1.7100117E+003, 1.2676348E+002, 2.1126280E+000, 7.6552209E+001
 1.7250097E+003, 1.2709077E+002, 2.1118535E+000, 7.5772463E+001
 1.7400035E+003, 1.2744927E+002, 2.1006553E+000, 7.7029103E+001
 1.7550009E+003, 1.2754030E+002, 2.1495100E+000, 7.7310079E+001
 1.7700005E+003, 1.2751625E+002, 2.2062845E+000, 7.6304259E+001
 1.7850131E+003, 1.2753619E+002, 2.1696531E+000, 7.6318334E+001
 1.8000062E+003, 1.2741956E+002, 2.0993408E+000, 7.6790255E+001
 1.8150067E+003, 1.2738650E+002, 2.0636969E+000, 7.6435057E+001
 1.8300130E+003, 1.2762325E+002, 2.0773446E+000, 7.5978234E+001
 1.8450146E+003, 1.2732229E+002, 2.1211417E+000, 7.5251099E+001
 1.8600102E+003, 1.2735751E+002, 2.1342304E+000, 7.6058751E+001
 1.8750051E+003, 1.2755872E+002, 2.1068711E+000, 7.7352542E+001
 1.8900052E+003, 1.2773238E+002, 2.1386354E+000, 7.7295748E+001
 1.9050059E+003, 1.2820987E+002, 2.1902721E+000, 7.7264601E+001
 1.9200074E+003, 1.2829813E+002, 2.1819328E+000, 7.6638737E+001
 1.9350078E+003, 1.2853530E+002, 2.2492053E+000, 7.6305109E+001
 1.9500045E+003, 1.2869510E+002, 2.2160518E+000, 7.5951413E+001
 1.9650036E+003, 1.2845499E+002, 2.1749453E+000, 7.5924079E+001
 1.9800051E+003, 1.2869008E+002, 2.2374716E+000, 7.5340836E+001
 1.9950155E+003, 1.2923579E+002, 2.2860041E+000, 7.5169498E+001
 2.0100047E+003, 1.2964259E+002, 2.2720682E+000, 7.5188555E+001
 2.0250095E+003, 1.2965024E+002, 2.2565390E+000, 7.4637712E+001
 2.0400089E+003, 1.2959757E+002, 2.1562501E+000, 7.3813525E+001
 2.0550029E+003, 1.2992969E+002, 2.1135030E+000, 7.3845937E+001
 2.0700155E+003, 1.3047413E+002, 2.2581128E+000, 7.2803849E+001
 2.0850145E+003, 1.3080794E+002, 2.2397445E+000, 7.2156417E+001
 2.1000132E+003, 1.3087502E+002, 2.1779262E+000, 7.2322964E+001
 2.1150127E+003, 1.3057351E+002, 2.2111517E+000, 7.3049747E+001
 2.1300094E+003, 1.3068033E+002, 2.2550723E+000, 7.3113531E+001
 2.1450160E+003, 1.3094403E+002, 2.1758486E+000, 7.2467306E+001
 2.1600089E+003, 1.3029267E+002, 2.1963917E+000, 7.2199908E+001
 2.1750084E+003, 1.3046208E+002, 2.2222450E+000, 7.1631868E+001
 2.1900125E+003, 1.3114817E+002, 2.2629848E+000, 7.1273879E+001
 2.2050026E+003, 1.3124335E+002, 2.2182822E+000, 7.1395693E+001
 2.2200090E+003, 1.3144536E+002, 2.2049948E+000, 7.2196669E+001
 2.2350116E+003, 1.3117912E+002, 2.1132751E+000, 7.2270340E+001
 2.2500033E+003, 1.3067489E+002, 2.1045975E+000, 7.1363226E+001
 2.2650128E+003, 1.3051306E+002, 2.1158982E+000, 7.0802900E+001
 2.2800044E+003, 1.3060754E+002, 2.0381036E+000, 7.1189738E+001
 2.2950048E+003, 1.3061344E+002, 2.0445543E+000, 7.0890584E+001
 2.3100154E+003, 1.3026997E+002, 1.8848624E+000, 7.0807178E+001
 2.3250033E+003, 1.2976418E+002, 1.8725608E+000, 7.0414380E+001
 2.3400176E+003, 1.2893303E+002, 1.7139102E+000, 6.9982460E+001
 2.3550004E+003, 1.2803338E+002, 1.6400301E+000, 6.9149723E+001
 2.3700108E+003, 1.2730182E+002, 1.7361226E+000, 6.8883198E+001
 2.3850146E+003, 1.2667372E+002, 1.6972858E+000, 6.8667871E+001
 2.4000074E+003, 1.2629131E+002, 1.5715278E+000, 6.8745261E+001
 2.4150140E+003, 1.2515624E+002, 1.4356745E+000, 6.8032245E+001
 2.4300029E+003, 1.2385384E+002, 1.4441695E+000, 6.7199878E+001
 2.4450024E+003, 1.2303219E+002, 1.4166188E+000, 6.6324158E+001
 2.4600150E+003, 1.2211489E+002, 1.3846383E+000, 6.5573427E+001
 2.4750049E+003, 1.2100324E+002, 1.3290759E+000, 6.4902403E+001
 2.4900064E+003, 1.1950516E+002, 1.2908570E+000, 6.5012004E+001
 2.5050015E+003, 1.1788615E+002, 1.2490666E+000, 6.4502676E+001
 2.5200200E+003, 1.1622438E+002, 1.2537210E+000, 6.4154749E+001
 2.5350192E+003, 1.1418030E+002, 1.2083364E+000, 6.3982518E+001
 2.5500093E+003, 1.1265306E+002, 1.2052853E+000, 6.3170653E+001
 2.5650114E+003, 1.1056337E+002, 1.1984237E+000, 6.3000433E+001
 2.5800095E+003, 1.0892897E+002, 1.1929796E+000, 6.2438420E+001
 2.5950244E+003, 1.0756240E+002, 1.1428976E+000, 6.1892386E+001
 2.6100084E+003, 1.0581223E+002, 1.1379761E+000, 6.1120006E+001
 2.6250002E+003, 1.0422780E+002, 1.1330622E+000, 6.0336338E+001
 2.6400299E+003, 1.0243242E+002, 1.1216153E+000, 5.8948223E+001
 2.6550061E+003, 1.0061950E+002, 1.0753756E+000, 5.7625851E+001
 2.6700200E+003, 9.9029301E+001, 1.0763975E+000, 5.6545114E+001
 2.6850129E+003, 9.7535843E+001, 1.0453882E+000, 5.5356563E+001
 2.7000284E+003, 9.6158426E+001, 1.0489778E+000, 5.4370568E+001
 2.7150282E+003, 9.4669502E+001, 1.0428590E+000, 5.3259129E+001
 2.7300283E+003, 9.3226891E+001, 1.0454620E+000, 5.2268907E+001
 2.7450062E+003, 9.1925791E+001, 1.0266669E+000, 5.1587158E+001
 2.7600268E+003, 9.0666057E+001, 1.0237049E+000, 5.0857438E+001
 2.7750300E+003, 8.9469621E+001, 1.0230952E+000, 5.0208097E+001
 2.7900203E+003, 8.8208364E+001, 1.0090126E+000, 4.9645470E+001
 2.8050249E+003, 8.7072607E+001, 9.6255857E-001, 4.9192302E+001
 2.8200277E+003, 8.6131730E+001, 1.0292054E+000, 4.8769288E+001
 2.8350013E+003, 8.4998108E+001, 1.0017317E+000, 4.8334589E+001
 2.8500341E+003, 8.3890500E+001, 9.5869520E-001, 4.7849072E+001
 2.8650156E+003, 8.2696324E+001, 9.5696439E-001, 4.7423250E+001
 2.8800112E+003, 8.2163772E+001, 9.8869848E-001, 4.7081159E+001
 2.8950272E+003, 8.1802502E+001, 9.7261775E-001, 4.6784454E+001
 2.9100050E+003, 8.1333695E+001, 9.5443266E-001, 4.6344172E+001
 2.9250227E+003, 8.0954556E+001, 9.3944518E-001, 4.5889625E+001
 2.9400073E+003, 8.0591804E+001, 9.5028810E-001, 4.5562982E+001
 2.9550283E+003, 8.0209497E+001, 9.3727634E-001, 4.5228545E+001
 2.9700063E+003, 7.9791821E+001, 9.2717979E-001, 4.4906976E+001
 2.9850064E+003, 7.9431625E+001, 9.0486568E-001, 4.4529722E+001
 3.0000187E+003, 7.9106300E+001, 9.1197144E-001, 4.4106705E+001
 3.0150367E+003, 7.8609216E+001, 8.7605195E-001, 4.3854754E+001
 3.0300148E+003, 7.8212642E+001, 8.6833046E-001, 4.3655324E+001
 3.0450151E+003, 7.7847076E+001, 8.7649752E-001, 4.3444111E+001
 3.0600150E+003, 7.7511588E+001, 8.6798475E-001, 4.3154570E+001
 3.0750176E+003, 7.7176971E+001, 8.4586719E-001, 4.2914213E+001
 3.0900133E+003, 7.6823793E+001, 8.4413687E-001, 4.2703403E+001
 3.1050201E+003, 7.6406620E+001, 8.1859908E-001, 4.2462565E+001
 3.1200144E+003, 7.5987518E+001, 8.2772348E-001, 4.2230232E+001
 3.1350237E+003, 7.5645238E+001, 8.2308713E-001, 4.2045520E+001
 3.1500173E+003, 7.5254735E+001, 7.9318285E-001, 4.1883183E+001
 3.1650099E+003, 7.4960974E+001, 7.9350198E-001, 4.1805489E+001
 3.1800283E+003, 7.4780314E+001, 7.7433704E-001, 4.1749632E+001
 3.1950283E+003, 7.4471138E+001, 7.7353777E-001, 4.1626051E+001
 3.2100116E+003, 7.4138484E+001, 7.7324273E-001, 4.1524214E+001
 3.2250085E+003, 7.3807900E+001, 7.6757906E-001, 4.1483500E+001
 3.2400059E+003, 7.3479705E+001, 7.5756380E-001, 4.1409011E+001
 3.2550209E+003, 7.3031133E+001, 7.3013470E-001, 4.1323582E+001
 3.2700278E+003, 7.2609550E+001, 7.3007827E-001, 4.1160710E+001
 3.2850165E+003, 7.2232433E+001, 7.3514115E-001, 4.1064578E+001
 3.3000269E+003, 7.2023289E+001, 7.2679728E-001, 4.1088030E+001
 3.3150010E+003, 7.1760177E+001, 7.2353028E-001, 4.0945121E+001
 3.3300049E+003, 7.1440474E+001, 7.0977590E-001, 4.0854749E+001
 3.3450184E+003, 7.1186388E+001, 7.0185697E-001, 4.0805411E+001
 3.3600006E+003, 7.0913900E+001, 6.7617716E-001, 4.0775855E+001
 3.3750301E+003, 7.0702363E+001, 6.7786750E-001, 4.0745387E+001
 3.3900152E+003, 7.0482967E+001, 6.7758472E-001, 4.0677433E+001
 3.4050287E+003, 7.0254334E+001, 6.6435799E-001, 4.0555721E+001
 3.4200251E+003, 7.0020347E+001, 6.4840354E-001, 4.0434095E+001
 3.4350345E+003, 6.9733804E+001, 6.5626058E-001, 4.0309671E+001
 3.4500096E+003, 6.9454613E+001, 6.5018555E-001, 4.0197980E+001
 3.4650068E+003, 6.9219931E+001, 6.5146958E-001, 4.0125129E+001
 3.4800051E+003, 6.9037378E+001, 6.3744750E-001, 4.0085309E+001
 3.4950123E+003, 6.8928596E+001, 6.3215910E-001, 4.0011628E+001
 3.5100242E+003, 6.8769638E+001, 6.3574850E-001, 4.0001391E+001
 3.5250066E+003, 6.8514813E+001, 6.1144682E-001, 4.0028904E+001
 3.5400120E+003, 6.8242215E+001, 6.1408029E-001, 3.9952093E+001
 3.5550208E+003, 6.7973314E+001, 6.1239570E-001, 3.9946441E+001
 3.5700269E+003, 6.7760371E+001, 6.0659570E-001, 3.9943402E+001
 3.5850110E+003, 6.7590112E+001, 5.9765537E-001, 3.9871784E+001
 3.6000091E+003, 6.7325448E+001, 5.8691327E-001, 3.9790390E+001
