T (K),T (C),Normalized Mass (1-M/M0),Normalized Mass (M/M0)
4.76418E2,2.03269E+02,2.400490E-1,0.7599509
4.84750E2,2.11600E+02,2.400679E-1,0.7599320
4.88180E2,2.15031E+02,2.606791E-1,0.7393208
4.58286E2,1.85136E+02,2.516532E-1,0.7483467
4.81319E2,2.08170E+02,2.821627E-1,0.7178373
4.81319E2,2.08170E+02,2.982871E-1,0.7017129
4.73478E2,2.00329E+02,3.296222E-1,0.6703777
4.57306E2,1.84156E+02,3.295855E-1,0.6704145
4.61716E2,1.88567E+02,3.493031E-1,0.6506969
4.82299E2,2.09150E+02,3.287464E-1,0.6712535
4.80339E2,2.07190E+02,3.421790E-1,0.6578210
4.80829E2,2.07680E+02,3.717414E-1,0.6282585
4.85730E2,2.12580E+02,3.708568E-1,0.6291432
4.85730E2,2.12580E+02,3.977307E-1,0.6022692
4.80339E2,2.07190E+02,4.102597E-1,0.5897403
4.84260E2,2.11110E+02,4.192266E-1,0.5807734
5.04353E2,2.31203E+02,4.291260E-1,0.5708740
5.04843E2,2.31693E+02,4.488347E-1,0.5511653
5.05823E2,2.32673E+02,4.685445E-1,0.5314555
5.04353E2,2.31203E+02,4.783949E-1,0.5216050
5.26896E2,2.53747E+02,4.811335E-1,0.5188665
5.49930E2,2.76780E+02,4.910396E-1,0.5089604
5.33757E2,2.60608E+02,5.026482E-1,0.4973517
5.28366E2,2.55217E+02,4.999486E-1,0.5000514
5.26896E2,2.53747E+02,5.097990E-1,0.4902009
5.06313E2,2.33164E+02,4.981069E-1,0.5018930
5.06803E2,2.33654E+02,5.106492E-1,0.4893507
5.05333E2,2.32183E+02,5.204997E-1,0.4795003
5.26896E2,2.53747E+02,5.295066E-1,0.4704933
5.10724E2,2.37574E+02,5.384279E-1,0.4615721
5.51890E2,2.78740E+02,5.304592E-1,0.4695408
5.51890E2,2.78740E+02,5.403130E-1,0.4596870
5.30327E2,2.57177E+02,5.519094E-1,0.4480906
5.25916E2,2.52766E+02,5.510036E-1,0.4489964
5.25426E2,2.52276E+02,5.698142E-1,0.4301857
5.32287E2,2.59137E+02,5.608718E-1,0.4391281
5.62672E2,2.89522E+02,5.492954E-1,0.4507045
5.56301E2,2.83151E+02,5.582389E-1,0.4417610
5.79334E2,3.06185E+02,5.609786E-1,0.4390213
5.73453E2,3.00304E+02,5.618611E-1,0.4381389
5.73943E2,3.00794E+02,5.699244E-1,0.4300756
6.03838E2,3.30688E+02,5.717839E-1,0.4282161
5.78354E2,3.05204E+02,5.735176E-1,0.4264824
5.55320E2,2.82171E+02,5.707779E-1,0.4292221
5.47969E2,2.74820E+02,5.698654E-1,0.4301345
5.48459E2,2.75310E+02,5.815119E-1,0.4184880
5.57771E2,2.84621E+02,5.833246E-1,0.4166753
5.50910E2,2.77760E+02,5.922671E-1,0.4077329
5.52870E2,2.79721E+02,6.012295E-1,0.3987705
5.49440E2,2.76290E+02,6.137629E-1,0.3862371
5.66592E2,2.93443E+02,6.003648E-1,0.3996351
5.74923E2,3.01774E+02,6.003838E-1,0.3996162
5.73943E2,3.00794E+02,6.129227E-1,0.3870772
5.99917E2,3.26768E+02,6.129817E-1,0.3870183
6.05798E2,3.32649E+02,6.237446E-1,0.3762553
5.74433E2,3.01284E+02,6.299440E-1,0.3700559
6.02368E2,3.29218E+02,6.407570E-1,0.3592429
5.96977E2,3.23827E+02,6.398490E-1,0.3601510
5.94526E2,3.21377E+02,6.514888E-1,0.3485111
6.02858E2,3.29708E+02,6.524035E-1,0.3475964
5.98447E2,3.25297E+02,6.712053E-1,0.3287947
6.03348E2,3.30198E+02,6.747996E-1,0.3252004
5.96487E2,3.23337E+02,6.819504E-1,0.3180495
6.02858E2,3.29708E+02,6.891313E-1,0.3108687
6.21971E2,3.48821E+02,6.712587E-1,0.3287413
6.20500E2,3.47351E+02,6.909629E-1,0.3090370
6.25891E2,3.52742E+02,6.927668E-1,0.3072332
6.24911E2,3.51761E+02,7.124721E-1,0.2875278
6.24911E2,3.51761E+02,7.223259E-1,0.2776741
6.20990E2,3.47841E+02,7.303792E-1,0.2696208
6.23931E2,3.50781E+02,7.393438E-1,0.2606561
6.44514E2,3.71364E+02,7.107250E-1,0.2892749
6.45984E2,3.72835E+02,7.205821E-1,0.2794178
6.43534E2,3.70384E+02,7.304304E-1,0.2695696
6.51375E2,3.78225E+02,7.394062E-1,0.2605938
6.57256E2,3.84106E+02,7.501691E-1,0.2498309
6.49905E2,3.76755E+02,7.609020E-1,0.2390980
6.43534E2,3.70384E+02,7.519295E-1,0.2480704
6.45494E2,3.72345E+02,7.689542E-1,0.2310458
6.48925E2,3.75775E+02,7.832947E-1,0.2167052
6.45984E2,3.72835E+02,8.020998E-1,0.1979001
6.52355E2,3.79206E+02,8.209261E-1,0.1790739
6.45004E2,3.71855E+02,8.218052E-1,0.1781948
6.45004E2,3.71855E+02,8.325548E-1,0.1674452
6.68528E2,3.95378E+02,7.690065E-1,0.2309935
6.69508E2,3.96358E+02,7.806541E-1,0.2193459
6.81760E2,4.08610E+02,7.815777E-1,0.2184223
6.70488E2,3.97338E+02,7.931975E-1,0.2068025
6.90581E2,4.17431E+02,8.013053E-1,0.1986947
6.73428E2,4.00279E+02,8.120159E-1,0.1879840
6.67057E2,3.93908E+02,8.102099E-1,0.1897901
6.72448E2,3.99299E+02,8.209717E-1,0.1790283
6.74408E2,4.01259E+02,8.299341E-1,0.1700658
6.95482E2,4.22332E+02,8.398358E-1,0.1601642
6.98422E2,4.25273E+02,8.613416E-1,0.1386583
6.92541E2,4.19392E+02,8.613283E-1,0.1386717
7.17535E2,4.44385E+02,8.604892E-1,0.1395107
7.40078E2,4.66929E+02,8.497908E-1,0.1502091
7.56741E2,4.83591E+02,8.793900E-1,0.1206099
7.40568E2,4.67419E+02,8.811449E-1,0.1188551
7.17535E2,4.44385E+02,8.909464E-1,0.1090536
6.94501E2,4.21352E+02,8.837277E-1,0.1162723
7.38118E2,4.64969E+02,8.945763E-1,0.1054237
7.40568E2,4.67419E+02,8.999566E-1,0.1000433
7.39588E2,4.66439E+02,9.115998E-1,0.0884001
7.42039E2,4.68889E+02,9.169802E-1,0.0830198
7.47920E2,4.74770E+02,9.178893E-1,0.0821106
7.15085E2,4.41935E+02,9.205022E-1,0.0794978
7.55271E2,4.82121E+02,9.107396E-1,0.0892603
7.40078E2,4.66929E+02,9.313085E-1,0.0686915
7.41549E2,4.68399E+02,9.420614E-1,0.0579385
7.62622E2,4.89472E+02,9.304639E-1,0.0695361
7.96927E2,5.23778E+02,9.099384E-1,0.0900615
7.98887E2,5.25738E+02,9.314420E-1,0.0685579
7.90066E2,5.16916E+02,9.305262E-1,0.0694738
7.93006E2,5.19857E+02,9.385951E-1,0.0614049
7.87126E2,5.13976E+02,9.627683E-1,0.0372317
7.93987E2,5.20837E+02,9.627839E-1,0.0372161
7.72913E2,4.99764E+02,9.618402E-1,0.0381597
7.63602E2,4.90452E+02,9.609233E-1,0.0390767
7.64092E2,4.90943E+02,9.824235E-1,0.0175764
7.44489E2,4.71340E+02,9.608799E-1,0.0391201
7.40078E2,4.66929E+02,9.716194E-1,0.0283805
7.40078E2,4.66929E+02,9.823690E-1,0.0176309
8.38583E2,5.65434E+02,9.198868E-1,0.0801132
8.43484E2,5.70335E+02,9.306475E-1,0.0693525
8.44464E2,5.71315E+02,9.602111E-1,0.0397889
8.36133E2,5.62983E+02,9.610880E-1,0.0389120
8.30252E2,5.57103E+02,9.610746E-1,0.0389253
8.30252E2,5.57103E+02,9.727200E-1,0.0272800
8.30252E2,5.57103E+02,9.825738E-1,0.0174262
8.39073E2,5.65924E+02,9.772190E-1,0.0227809
8.45934E2,5.72785E+02,9.817136E-1,0.0182864
8.82690E2,6.09540E+02,9.405903E-1,0.0594097
8.90041E2,6.16892E+02,9.415028E-1,0.0584972
8.83180E2,6.10031E+02,9.602990E-1,0.0397010
8.82200E2,6.09050E+02,9.826917E-1,0.0173082
8.83670E2,6.10521E+02,9.710497E-1,0.0289503
8.90531E2,6.17382E+02,9.710653E-1,0.0289347
