T (C),normalized Savitsky-Golay derivative
419.39170182329997,5.9077005288749883e-05
421.3519986619,5.972986317168063e-05
422.3321470812,6.0077976918108936e-05
425.2725923391,5.9988834061005444e-05
441.93511546720003,5.9445524944638984e-05
444.3854865155,5.843024991819268e-05
444.3854865155,5.7115732855619605e-05
464.96860332080007,5.5441017563963914e-05
466.4388259497,5.3236232555773876e-05
466.9289001594,5.0601736016855155e-05
466.9289001594,4.745479393981754e-05
466.9289001594,4.4239452045900205e-05
466.9289001594,4.1046092819515095e-05
467.418974369,3.783345384828155e-05
467.418974369,3.453290526527173e-05
468.3991227883,3.137620440049619e-05
468.889196998,2.8225812116271507e-05
471.33956804620004,2.5213443051191536e-05
474.77008751380004,2.238568596426264e-05
482.1212006585,1.9943026045062715e-05
483.5914232875,1.7768644979579077e-05
489.47231380330004,1.5950318014762207e-05
490.45246222260005,1.4631627536348194e-05
490.9425364322,1.3502954685837397e-05
499.76387220590004,1.2455018631986985e-05
513.9760242857001,1.163727745256075e-05
516.9164695436,1.1010017088218938e-05
519.8569148015,1.0674383313440486e-05
520.8370632208,1.0428387035797023e-05
523.7775084787,1.0362589411132999e-05
525.7378053173001,1.0373046951049213e-05
557.1025547349,1.0214905670162954e-05
557.1025547349,1.0194186073925857e-05
557.1025547349,1.0069938431169583e-05
562.9834452507,1.0015981328292345e-05
565.433816299,9.951421416800263e-06
565.9238905086,9.71459659521093e-06
570.3345583955,9.387626213122306e-06
571.3147068148,8.841982454245904e-06
572.7849294437,8.106180404874041e-06
609.0504209578,7.453963735489653e-06
609.5404951675,6.946912038524094e-06
610.0305693771,6.328004428501553e-06
610.5206435868,5.580425432164412e-06
616.8916083122,4.906037444223892e-06
617.3816825219001,4.2131880031437165e-06
