s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 4.9002583E+001, 2.0614220E-001, 2.0755368E-001, 3.4466474E-006, 1.2109613E-003, 3.2232900E+001, 1.2679540E+001,-9.9969645E-003, 3.1743489E+002, 2.1542090E-004, 2.1542090E-004, 2.1542090E-004, 2.1542090E-004, 2.1542090E-004, 2.5319000E-003, 1.4229728E-005
 5.0016093E+001, 2.0598862E-001, 2.0755368E-001, 3.8216646E-006, 1.3006787E-003, 3.3402120E+001, 1.1703001E+001,-1.0572557E-001, 3.2206796E+002, 2.0297458E-004, 2.0297458E-004, 2.0297458E-004, 2.0297458E-004, 2.0297458E-004, 2.6363662E-003, 1.5037058E-005
 5.1014647E+001, 2.0577426E-001, 2.0755368E-001, 4.3451486E-006, 1.4259149E-003, 3.4782788E+001, 1.1952993E+001, 2.3315640E-002, 3.2943042E+002, 2.7792960E-004, 2.7792960E-004, 2.7792960E-004, 2.7792960E-004, 2.7792960E-004, 2.7432312E-003, 1.5911660E-005
 5.2001504E+001, 2.0580086E-001, 2.0755368E-001, 4.2801821E-006, 1.4103725E-003, 3.4313473E+001, 1.2258800E+001,-2.1892892E-002, 3.3785173E+002, 3.0031781E-004, 3.0031781E-004, 3.0031781E-004, 3.0031781E-004, 3.0031781E-004, 2.8514086E-003, 1.6783090E-005
 5.3015095E+001, 2.0573297E-001, 2.0755368E-001, 4.4459643E-006, 1.4500334E-003, 3.5453092E+001, 1.4473416E+001,-1.6764606E-001, 3.4271082E+002, 3.3397364E-004, 3.3397364E-004, 3.3397364E-004, 3.3397364E-004, 3.3397364E-004, 2.9629514E-003, 1.7748412E-005
 5.4014637E+001, 2.0577638E-001, 2.0755367E-001, 4.3399570E-006, 1.4246727E-003, 3.4684829E+001, 1.5049009E+001, 2.4308696E-002, 3.5019071E+002, 3.4742768E-004, 3.4742768E-004, 3.4742768E-004, 3.4742768E-004, 3.4742768E-004, 3.0771243E-003, 1.8705199E-005
 5.5006973E+001, 2.0584066E-001, 2.0755364E-001, 4.1830052E-006, 1.3871242E-003, 3.3639371E+001, 1.5778187E+001,-1.4967630E-001, 3.5549708E+002, 4.4051805E-004, 4.4051805E-004, 4.4051805E-004, 4.4051805E-004, 4.4051805E-004, 3.1930072E-003, 1.9684618E-005
 5.6007309E+001, 2.0575826E-001, 2.0755362E-001, 4.3842433E-006, 1.4352677E-003, 3.3875601E+001, 1.6221598E+001,-2.0651137E-001, 3.6302836E+002, 5.0083863E-004, 5.0083863E-004, 5.0083863E-004, 5.0083863E-004, 5.0083863E-004, 3.3115340E-003, 2.0664803E-005
 5.7002512E+001, 2.0552454E-001, 2.0755361E-001, 4.9549660E-006, 1.5718054E-003, 3.5970266E+001, 1.6223660E+001,-4.5574899E-002, 3.7128960E+002, 5.4205667E-004, 5.4205667E-004, 5.4205667E-004, 5.4205667E-004, 5.4205667E-004, 3.4312763E-003, 2.1622995E-005
 5.8006671E+001, 2.0543670E-001, 2.0755365E-001, 5.1694573E-006, 1.6231195E-003, 3.6784480E+001, 1.5468806E+001,-2.6088025E-001, 3.7594625E+002, 5.0341223E-004, 5.0341223E-004, 5.0341223E-004, 5.0341223E-004, 5.0341223E-004, 3.5543107E-003, 2.2599447E-005
