s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg,kg
 1.9013207E+001, 2.0755366E-001, 2.0755368E-001, 2.7918173E-011, 3.8640905E-004, 2.6022286E+001, 5.2191417E-038, 1.1375276E+001, 1.2198145E+002, 7.5014665E-008, 7.5014665E-008, 7.5014665E-008, 7.5014665E-008, 7.5014665E-008, 7.5014665E-008, 7.5014665E-008, 7.5014665E-008, 7.5014665E-008, 7.5014665E-008, 3.7350577E-004, 6.2328736E-007
 2.0019076E+001, 2.0755366E-001, 2.0755368E-001, 3.1844256E-011, 3.8640999E-004, 2.6024962E+001, 1.3768162E-028, 1.2600098E+001, 1.2804088E+002, 3.5019502E-008, 3.5019502E-008, 3.5019502E-008, 3.5019502E-008, 3.5019502E-008, 3.5019502E-008, 3.5019502E-008, 3.5019502E-008, 3.5019502E-008, 3.5019502E-008, 4.1468267E-004, 7.5754713E-007
 2.1010358E+001, 2.0755365E-001, 2.0755368E-001, 7.1394062E-011, 3.8641945E-004, 2.6027678E+001, 1.2825753E-020, 1.3492273E+001, 1.3425155E+002, 4.2074755E-008, 4.2074755E-008, 4.2074755E-008, 4.2074755E-008, 4.2074755E-008, 4.2074755E-008, 4.2074755E-008, 4.2074755E-008, 4.2074755E-008, 4.2074755E-008, 4.5770054E-004, 9.1474111E-007
 2.2001327E+001, 2.0755359E-001, 2.0755368E-001, 2.0515192E-010, 3.8645145E-004, 2.6030739E+001, 1.9295939E-014, 1.4452521E+001, 1.4147980E+002, 1.5278751E-007, 1.5278751E-007, 1.5278751E-007, 1.5278751E-007, 1.5278751E-007, 1.5278751E-007, 1.5278751E-007, 1.5278751E-007, 1.5278751E-007, 1.5278751E-007, 5.0244622E-004, 1.0975441E-006
 2.3010696E+001, 2.0755352E-001, 2.0755368E-001, 3.7584016E-010, 3.8649228E-004, 2.6034836E+001, 1.0246660E-007, 1.5936135E+001, 1.4831529E+002, 1.9935242E-007, 1.9935242E-007, 1.9935242E-007, 1.9935242E-007, 1.9935242E-007, 1.9935242E-007, 1.9935242E-007, 1.9935242E-007, 1.9935242E-007, 1.9935242E-007, 5.4967339E-004, 1.2930442E-006
 2.4003438E+001, 2.0755343E-001, 2.0755368E-001, 5.9756462E-010, 3.8654533E-004, 2.6038941E+001, 1.0957830E+000, 1.7285355E+001, 1.5379761E+002, 2.1163261E-007, 2.1163261E-007, 2.1163261E-007, 2.1163261E-007, 2.1163261E-007, 2.1163261E-007, 2.1163261E-007, 2.1163261E-007, 2.1163261E-007, 2.1163261E-007, 5.9914285E-004, 1.4985466E-006
 2.5002792E+001, 2.0755342E-001, 2.0755368E-001, 6.3262437E-010, 3.8655372E-004, 2.6042964E+001, 3.3501087E+000, 1.8556915E+001, 1.6225746E+002, 6.2494162E-007, 6.2494162E-007, 6.2494162E-007, 6.2494162E-007, 6.2494162E-007, 6.2494162E-007, 6.2494162E-007, 6.2494162E-007, 6.2494162E-007, 6.2494162E-007, 6.5026895E-004, 1.7072098E-006
 2.6017806E+001, 2.0755328E-001, 2.0755368E-001, 9.7178742E-010, 3.8663486E-004, 2.6048328E+001, 3.7040491E+000, 1.9951372E+001, 1.6675373E+002, 7.7687981E-007, 7.7687981E-007, 7.7687981E-007, 7.7687981E-007, 7.7687981E-007, 7.7687981E-007, 7.7687981E-007, 7.7687981E-007, 7.7687981E-007, 7.7687981E-007, 7.0423635E-004, 1.9438002E-006
 2.7006582E+001, 2.0755303E-001, 2.0755368E-001, 1.5857508E-009, 3.8678174E-004, 2.6053172E+001, 4.4052931E+000, 2.0713098E+001, 1.7450025E+002, 1.8537343E-006, 1.8537343E-006, 1.8537343E-006, 1.8537343E-006, 1.8537343E-006, 1.8537343E-006, 1.8537343E-006, 1.8537343E-006, 1.8537343E-006, 1.8537343E-006, 7.5983672E-004, 2.1998347E-006
 2.8010017E+001, 2.0755223E-001, 2.0755368E-001, 3.5353622E-009, 3.8724815E-004, 2.6065103E+001, 5.4754897E+000, 2.2390231E+001, 1.8072015E+002, 2.0305558E-006, 2.0305558E-006, 2.0305558E-006, 2.0305558E-006, 2.0305558E-006, 2.0305558E-006, 2.0305558E-006, 2.0305558E-006, 2.0305558E-006, 2.0305558E-006, 8.1737956E-004, 2.4586178E-006
 2.9019690E+001, 2.0741920E-001, 2.0755368E-001, 3.2833871E-007, 4.6495247E-004, 2.7426508E+001, 5.6405612E+000, 2.3879911E+001, 1.8785427E+002, 3.6701577E-006, 3.6701577E-006, 3.6701577E-006, 3.6701577E-006, 3.6701577E-006, 3.6701577E-006, 3.6701577E-006, 3.6701577E-006, 3.6701577E-006, 3.6701577E-006, 8.7743461E-004, 2.7416280E-006
 3.0018569E+001, 2.0661708E-001, 2.0755368E-001, 2.2870189E-006, 9.3353740E-004, 3.5643777E+001, 6.2945648E+000, 2.4902499E+001, 1.9425745E+002, 4.2701223E-006, 4.2701223E-006, 4.2701223E-006, 4.2701223E-006, 4.2701223E-006, 4.2701223E-006, 4.2701223E-006, 4.2701223E-006, 4.2701223E-006, 4.2701223E-006, 9.3943403E-004, 3.0648015E-006
 3.1001576E+001, 2.0641312E-001, 2.0755368E-001, 2.7850607E-006, 1.0526864E-003, 3.7794773E+001, 5.3952752E+000, 2.5899821E+001, 2.0132955E+002, 9.5524471E-006, 9.5524471E-006, 9.5524471E-006, 9.5524471E-006, 9.5524471E-006, 9.5524471E-006, 9.5524471E-006, 9.5524471E-006, 9.5524471E-006, 9.5524471E-006, 1.0024661E-003, 3.4103687E-006
 3.2014858E+001, 2.0662305E-001, 2.0755368E-001, 2.2724331E-006, 9.3004795E-004, 3.5511537E+001, 5.0376668E+000, 2.7132348E+001, 2.0842306E+002, 2.3829656E-005, 2.3829656E-005, 2.3829656E-005, 2.3829656E-005, 2.3829656E-005, 2.3829656E-005, 2.3829656E-005, 2.3829656E-005, 2.3829656E-005, 2.3829656E-005, 1.0681190E-003, 3.7662965E-006
 3.3008487E+001, 2.0664928E-001, 2.0755368E-001, 2.2083802E-006, 9.1472425E-004, 3.5165822E+001, 4.0835361E+000, 2.8450705E+001, 2.1365018E+002, 1.0705691E-005, 1.0705691E-005, 1.0705691E-005, 1.0705691E-005, 1.0705691E-005, 1.0705691E-005, 1.0705691E-005, 1.0705691E-005, 1.0705691E-005, 1.0705691E-005, 1.1361424E-003, 4.1455389E-006
 3.4015443E+001, 2.0663309E-001, 2.0755368E-001, 2.2479182E-006, 9.2418314E-004, 3.5347208E+001, 4.3663914E+000, 2.9762773E+001, 2.2130854E+002, 1.6634287E-005, 1.6634287E-005, 1.6634287E-005, 1.6634287E-005, 1.6634287E-005, 1.6634287E-005, 1.6634287E-005, 1.6634287E-005, 1.6634287E-005, 1.6634287E-005, 1.2060284E-003, 4.5548191E-006
 3.5007778E+001, 2.0670261E-001, 2.0755368E-001, 2.0781648E-006, 8.8357216E-004, 3.4642401E+001, 5.6178943E+000, 3.1396807E+001, 2.2618405E+002, 1.5741020E-005, 1.5741020E-005, 1.5741020E-005, 1.5741020E-005, 1.5741020E-005, 1.5741020E-005, 1.5741020E-005, 1.5741020E-005, 1.5741020E-005, 1.5741020E-005, 1.2779007E-003, 4.9907463E-006
 3.6014572E+001, 2.0678528E-001, 2.0755368E-001, 1.8762903E-006, 8.3527671E-004, 3.3826722E+001, 8.3676394E+000, 3.2667298E+001, 2.3369887E+002, 2.2400100E-005, 2.2400100E-005, 2.2400100E-005, 2.2400100E-005, 2.2400100E-005, 2.2400100E-005, 2.2400100E-005, 2.2400100E-005, 2.2400100E-005, 2.2400100E-005, 1.3517821E-003, 5.4542359E-006
 3.7018598E+001, 2.0685258E-001, 2.0755368E-001, 1.7119458E-006, 7.9595975E-004, 3.3174561E+001, 1.0000692E+001, 3.4446594E+001, 2.4168669E+002, 3.3674413E-005, 3.3674413E-005, 3.3674413E-005, 3.3674413E-005, 3.3674413E-005, 3.3674413E-005, 3.3674413E-005, 3.3674413E-005, 3.3674413E-005, 3.3674413E-005, 1.4277967E-003, 5.9222627E-006
 3.8012393E+001, 2.0688928E-001, 2.0755368E-001, 1.6223233E-006, 7.7451890E-004, 3.2830022E+001, 9.6960401E+000, 3.6974832E+001, 2.4657100E+002, 3.0830046E-005, 3.0830046E-005, 3.0830046E-005, 3.0830046E-005, 3.0830046E-005, 3.0830046E-005, 3.0830046E-005, 3.0830046E-005, 3.0830046E-005, 3.0830046E-005, 1.5055925E-003, 6.3975961E-006
 3.9003336E+001, 2.0696971E-001, 2.0755368E-001, 1.4259162E-006, 7.2753144E-004, 3.2016611E+001, 1.0318456E+001, 3.8130279E+001, 2.5403530E+002, 7.9011551E-005, 7.9011551E-005, 7.9011551E-005, 7.9011551E-005, 7.9011551E-005, 7.9011551E-005, 7.9011551E-005, 7.9011551E-005, 7.9011551E-005, 7.9011551E-005, 1.5848545E-003, 6.8596754E-006
 4.0005449E+001, 2.0697921E-001, 2.0755368E-001, 1.4027156E-006, 7.2198105E-004, 3.1924776E+001, 1.0495130E+001, 3.9811396E+001, 2.5983524E+002, 4.7283801E-005, 4.7283801E-005, 4.7283801E-005, 4.7283801E-005, 4.7283801E-005, 4.7283801E-005, 4.7283801E-005, 4.7283801E-005, 4.7283801E-005, 4.7283801E-005, 1.6665841E-003, 7.3240999E-006
 4.1007561E+001, 2.0684991E-001, 2.0755368E-001, 1.7184555E-006, 7.9751709E-004, 3.3216118E+001, 1.0230109E+001, 4.0914566E+001, 2.6682348E+002, 8.2461567E-005, 8.2461567E-005, 8.2461567E-005, 8.2461567E-005, 8.2461567E-005, 8.2461567E-005, 8.2461567E-005, 8.2461567E-005, 8.2461567E-005, 8.2461567E-005, 1.7508163E-003, 7.8657648E-006
 4.2001952E+001, 2.0665306E-001, 2.0755368E-001, 2.1991296E-006, 9.1251118E-004, 3.5187231E+001, 1.0343039E+001, 4.1890014E+001, 2.7454211E+002, 1.4120373E-004, 1.4120373E-004, 1.4120373E-004, 1.4120373E-004, 1.4120373E-004, 1.4120373E-004, 1.4120373E-004, 1.4120373E-004, 1.4120373E-004, 1.4120373E-004, 1.8366806E-003, 8.4077082E-006
 4.3009533E+001, 2.0656394E-001, 2.0755368E-001, 2.4167551E-006, 9.6457484E-004, 3.6042987E+001, 1.1014420E+001, 4.2983114E+001, 2.8056668E+002, 1.4859919E-004, 1.4859919E-004, 1.4859919E-004, 1.4859919E-004, 1.4859919E-004, 1.4859919E-004, 1.4859919E-004, 1.4859919E-004, 1.4859919E-004, 1.4859919E-004, 1.9248161E-003, 8.9524401E-006
 4.4016342E+001, 2.0627889E-001, 2.0755368E-001, 3.1128125E-006, 1.1310962E-003, 3.8607197E+001, 1.2419725E+001, 4.4714799E+001, 2.8717859E+002, 1.1766062E-004, 1.1766062E-004, 1.1766062E-004, 1.1766062E-004, 1.1766062E-004, 1.1766062E-004, 1.1766062E-004, 1.1766062E-004, 1.1766062E-004, 1.1766062E-004, 2.0155374E-003, 9.5923063E-006
 4.5004071E+001, 2.0624344E-001, 2.0755368E-001, 3.1993744E-006, 1.1518050E-003, 3.8843477E+001, 1.2515520E+001, 4.7113701E+001, 2.9359081E+002, 1.5604445E-004, 1.5604445E-004, 1.5604445E-004, 1.5604445E-004, 1.5604445E-004, 1.5604445E-004, 1.5604445E-004, 1.5604445E-004, 1.5604445E-004, 1.5604445E-004, 2.1071955E-003, 1.0259361E-005
 4.6006771E+001, 2.0621415E-001, 2.0755368E-001, 3.2708881E-006, 1.1689137E-003, 3.8994104E+001, 1.2992062E+001, 4.8970826E+001, 2.9944342E+002, 1.7746006E-004, 1.7746006E-004, 1.7746006E-004, 1.7746006E-004, 1.7746006E-004, 1.7746006E-004, 1.7746006E-004, 1.7746006E-004, 1.7746006E-004, 1.7746006E-004, 2.2002011E-003, 1.0958499E-005
 4.7009662E+001, 2.0619834E-001, 2.0755368E-001, 3.3095166E-006, 1.1781552E-003, 3.8977840E+001, 1.3803221E+001, 4.9233025E+001, 3.0595790E+002, 1.7222176E-004, 1.7222176E-004, 1.7222176E-004, 1.7222176E-004, 1.7222176E-004, 1.7222176E-004, 1.7222176E-004, 1.7222176E-004, 1.7222176E-004, 1.7222176E-004, 2.2959842E-003, 1.1694036E-005
 4.8015265E+001, 2.0619120E-001, 2.0755368E-001, 3.3269599E-006, 1.1823282E-003, 3.8891081E+001, 1.2903392E+001, 5.1044791E+001, 3.1323819E+002, 1.9074091E-004, 1.9074091E-004, 1.9074091E-004, 1.9074091E-004, 1.9074091E-004, 1.9074091E-004, 1.9074091E-004, 1.9074091E-004, 1.9074091E-004, 1.9074091E-004, 2.3941972E-003, 1.2462404E-005
 4.9011956E+001, 2.0610963E-001, 2.0755368E-001, 3.5261302E-006, 1.2299767E-003, 3.9589069E+001, 1.2890329E+001, 5.3549924E+001, 3.2107721E+002, 2.6329523E-004, 2.6329523E-004, 2.6329523E-004, 2.6329523E-004, 2.6329523E-004, 2.6329523E-004, 2.6329523E-004, 2.6329523E-004, 2.6329523E-004, 2.6329523E-004, 2.4940757E-003, 1.3187881E-005
 5.0012949E+001, 2.0611488E-001, 2.0755368E-001, 3.5133307E-006, 1.2269147E-003, 3.9416895E+001, 1.3721353E+001, 5.4648071E+001, 3.2671182E+002, 3.3901524E-004, 3.3901524E-004, 3.3901524E-004, 3.3901524E-004, 3.3901524E-004, 3.3901524E-004, 3.3901524E-004, 3.3901524E-004, 3.3901524E-004, 3.3901524E-004, 2.5955911E-003, 1.3950427E-005
 5.1016153E+001, 2.0609581E-001, 2.0755368E-001, 3.5598926E-006, 1.2380542E-003, 3.9550958E+001, 1.3910010E+001, 5.5022908E+001, 3.3148525E+002, 3.7213195E-004, 3.7213195E-004, 3.7213195E-004, 3.7213195E-004, 3.7213195E-004, 3.7213195E-004, 3.7213195E-004, 3.7213195E-004, 3.7213195E-004, 3.7213195E-004, 2.6994485E-003, 1.4801399E-005
 5.2001061E+001, 2.0599598E-001, 2.0755368E-001, 3.8036702E-006, 1.2963747E-003, 4.0477931E+001, 1.2693170E+001, 5.7738625E+001, 3.4143083E+002, 4.2568940E-004, 4.2568940E-004, 4.2568940E-004, 4.2568940E-004, 4.2568940E-004, 4.2568940E-004, 4.2568940E-004, 4.2568940E-004, 4.2568940E-004, 4.2568940E-004, 2.8048850E-003, 1.5661692E-005
 5.3001197E+001, 2.0586623E-001, 2.0755367E-001, 4.1204940E-006, 1.3721705E-003, 4.1542909E+001, 1.3292039E+001, 5.9677241E+001, 3.4641281E+002, 4.1099390E-004, 4.1099390E-004, 4.1099390E-004, 4.1099390E-004, 4.1099390E-004, 4.1099390E-004, 4.1099390E-004, 4.1099390E-004, 4.1099390E-004, 4.1099390E-004, 2.9111688E-003, 1.6519846E-005
 5.4005723E+001, 2.0578059E-001, 2.0755366E-001, 4.3296194E-006, 1.4222011E-003, 4.2210929E+001, 1.3621245E+001, 6.1917477E+001, 3.5207062E+002, 4.4372700E-004, 4.4372700E-004, 4.4372700E-004, 4.4372700E-004, 4.4372700E-004, 4.4372700E-004, 4.4372700E-004, 4.4372700E-004, 4.4372700E-004, 4.4372700E-004, 3.0208461E-003, 1.7394918E-005
 5.5002855E+001, 2.0561439E-001, 2.0755367E-001, 4.7354740E-006, 1.5192969E-003, 4.3393767E+001, 1.5317657E+001, 6.3068377E+001, 3.6066039E+002, 4.7762772E-004, 4.7762772E-004, 4.7762772E-004, 4.7762772E-004, 4.7762772E-004, 4.7762772E-004, 4.7762772E-004, 4.7762772E-004, 4.7762772E-004, 4.7762772E-004, 3.1323697E-003, 1.8289129E-005
 5.6000779E+001, 2.0558778E-001, 2.0755368E-001, 4.8004649E-006, 1.5348455E-003, 4.3509189E+001, 1.7143420E+001, 6.3878303E+001, 3.6770742E+002, 6.3167831E-004, 6.3167831E-004, 6.3167831E-004, 6.3167831E-004, 6.3167831E-004, 6.3167831E-004, 6.3167831E-004, 6.3167831E-004, 6.3167831E-004, 6.3167831E-004, 3.2452193E-003, 1.9239382E-005
 5.7005894E+001, 2.0554578E-001, 2.0755368E-001, 4.9030295E-006, 1.5593828E-003, 4.3735309E+001, 1.6932117E+001, 6.4145705E+001, 3.7020064E+002, 5.9445649E-004, 5.9445649E-004, 5.9445649E-004, 5.9445649E-004, 5.9445649E-004, 5.9445649E-004, 5.9445649E-004, 5.9445649E-004, 5.9445649E-004, 5.9445649E-004, 3.3600157E-003, 2.0252659E-005
 5.8008710E+001, 2.0550312E-001, 2.0755368E-001, 5.0072223E-006, 1.5843100E-003, 4.3458833E+001, 1.5705945E+001, 6.6973064E+001, 3.7796466E+002, 6.4680900E-004, 6.4680900E-004, 6.4680900E-004, 6.4680900E-004, 6.4680900E-004, 6.4680900E-004, 6.4680900E-004, 6.4680900E-004, 6.4680900E-004, 6.4680900E-004, 3.4777271E-003, 2.1280410E-005
 5.9015173E+001, 2.0552768E-001, 2.0755368E-001, 4.9472661E-006, 1.5699659E-003, 4.2961098E+001, 1.5731813E+001, 7.0473991E+001, 3.8585707E+002, 6.9509797E-004, 6.9509797E-004, 6.9509797E-004, 6.9509797E-004, 6.9509797E-004, 6.9509797E-004, 6.9509797E-004, 6.9509797E-004, 6.9509797E-004, 6.9509797E-004, 3.5977527E-003, 2.2243642E-005
 6.0011521E+001, 2.0553470E-001, 2.0755368E-001, 4.9301002E-006, 1.5658587E-003, 4.3396171E+001, 1.5077345E+001, 7.2145589E+001, 3.9288416E+002, 6.7195166E-004, 6.7195166E-004, 6.7195166E-004, 6.7195166E-004, 6.7195166E-004, 6.7195166E-004, 6.7195166E-004, 6.7195166E-004, 6.7195166E-004, 6.7195166E-004, 3.7187604E-003, 2.3218153E-005
 6.1008831E+001, 2.0541650E-001, 2.0755367E-001, 5.2187731E-006, 1.6349207E-003, 4.4028453E+001, 1.7180577E+001, 7.2580685E+001, 4.0054021E+002, 7.8634396E-004, 7.8634396E-004, 7.8634396E-004, 7.8634396E-004, 7.8634396E-004, 7.8634396E-004, 7.8634396E-004, 7.8634396E-004, 7.8634396E-004, 7.8634396E-004, 3.8411103E-003, 2.4282676E-005
 6.2007942E+001, 2.0531584E-001, 2.0755367E-001, 5.4645610E-006, 1.6937233E-003, 4.4799308E+001, 1.8858420E+001, 7.3002239E+001, 4.0486752E+002, 8.8758281E-004, 8.8758281E-004, 8.8758281E-004, 8.8758281E-004, 8.8758281E-004, 8.8758281E-004, 8.8758281E-004, 8.8758281E-004, 8.8758281E-004, 8.8758281E-004, 3.9656034E-003, 2.5487474E-005
 6.3004235E+001, 2.0514299E-001, 2.0755367E-001, 5.8866100E-006, 1.7946952E-003, 4.6415289E+001, 1.8233843E+001, 7.4108838E+001, 4.0963274E+002, 9.9218715E-004, 9.9218715E-004, 9.9218715E-004, 9.9218715E-004, 9.9218715E-004, 9.9218715E-004, 9.9218715E-004, 9.9218715E-004, 9.9218715E-004, 9.9218715E-004, 4.0914830E-003, 2.6717680E-005
 6.4007309E+001, 2.0472425E-001, 2.0755367E-001, 6.9090957E-006, 2.0393188E-003, 4.9760917E+001, 1.7990331E+001, 7.4568754E+001, 4.1815507E+002, 9.2023196E-004, 9.2023196E-004, 9.2023196E-004, 9.2023196E-004, 9.2023196E-004, 9.2023196E-004, 9.2023196E-004, 9.2023196E-004, 9.2023196E-004, 9.2023196E-004, 4.2193743E-003, 2.8023815E-005
