s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2","GAS SOOT"
 2.4010922E+001, 2.0755355E-001, 2.0755368E-001, 3.1127288E-010, 3.8647684E-004, 2.6040108E+001, 1.3145955E+000, 1.7153438E+001, 5.5565240E-005, 5.5565240E-005, 6.0093986E-004
 2.5006623E+001, 2.0755345E-001, 2.0755368E-001, 5.3900599E-010, 3.8653132E-004, 2.6045594E+001, 2.8744950E+000, 1.8544815E+001, 5.8180970E-005, 5.8180970E-005, 6.5269111E-004
 2.6019982E+001, 2.0755329E-001, 2.0755368E-001, 9.3297455E-010, 3.8662557E-004, 2.6052810E+001, 3.1229320E+000, 1.9816294E+001, 6.0501242E-005, 6.0501242E-005, 7.0668778E-004
 2.7019569E+001, 2.0755261E-001, 2.0755368E-001, 2.6120605E-009, 3.8702727E-004, 2.6071322E+001, 3.8848849E+000, 2.1216808E+001, 6.3107837E-005, 6.3107837E-005, 7.6275766E-004
 2.8006450E+001, 2.0741253E-001, 2.0755368E-001, 3.4464987E-007, 4.6885469E-004, 2.7530026E+001, 4.9710940E+000, 2.2544078E+001, 6.5162565E-005, 6.5162565E-005, 8.2032479E-004
 2.9011444E+001, 2.0691901E-001, 2.0755368E-001, 1.5497507E-006, 7.5715702E-004, 3.2496042E+001, 5.4877555E+000, 2.3234216E+001, 6.7713147E-005, 6.7713147E-005, 8.8004975E-004
 3.0014575E+001, 2.0690862E-001, 2.0755368E-001, 1.5751320E-006, 7.6322912E-004, 3.2549136E+001, 5.3928938E+000, 2.4444363E+001, 7.0063743E-005, 7.0063743E-005, 9.4214908E-004
 3.1009443E+001, 2.0683584E-001, 2.0755368E-001, 1.7528373E-006, 8.0574244E-004, 3.3301193E+001, 4.1748590E+000, 2.5732124E+001, 7.2587126E-005, 7.2587126E-005, 1.0062441E-003
 3.2010063E+001, 2.0699128E-001, 2.0755368E-001, 1.3732928E-006, 7.1494212E-004, 3.1688376E+001, 4.5798560E+000, 2.7450829E+001, 7.4778744E-005, 7.4778744E-005, 1.0721393E-003
 3.3008567E+001, 2.0698330E-001, 2.0755368E-001, 1.3927596E-006, 7.1959924E-004, 3.1764313E+001, 5.6962205E+000, 2.9174595E+001, 7.7505812E-005, 7.7505812E-005, 1.1401261E-003
 3.4001386E+001, 2.0703273E-001, 2.0755368E-001, 1.2720602E-006, 6.9072371E-004, 3.1199576E+001, 6.2214998E+000, 3.0048209E+001, 7.9504987E-005, 7.9504987E-005, 1.2097780E-003
 3.5005536E+001, 2.0698879E-001, 2.0755368E-001, 1.3793574E-006, 7.1639296E-004, 3.1632030E+001, 6.2064824E+000, 3.0926415E+001, 8.2004749E-005, 8.2004749E-005, 1.2819765E-003
 3.6015994E+001, 2.0698822E-001, 2.0755368E-001, 1.3807539E-006, 7.1672706E-004, 3.1687103E+001, 7.0313504E+000, 3.2931746E+001, 8.4287728E-005, 8.4287728E-005, 1.3567891E-003
 3.7005941E+001, 2.0692903E-001, 2.0755368E-001, 1.5252856E-006, 7.5130410E-004, 3.2298591E+001, 8.6698093E+000, 3.4496277E+001, 8.6748190E-005, 8.6748190E-005, 1.4330087E-003
 3.8013067E+001, 2.0678160E-001, 2.0755368E-001, 1.8852955E-006, 8.3743109E-004, 3.3808391E+001, 9.7245959E+000, 3.6370662E+001, 8.9226036E-005, 8.9226036E-005, 1.5112500E-003
 3.9014088E+001, 2.0669659E-001, 2.0755368E-001, 2.0928740E-006, 8.8709112E-004, 3.4681617E+001, 9.3285290E+000, 3.6883298E+001, 9.1451637E-005, 9.1451637E-005, 1.5919386E-003
 4.0000207E+001, 2.0668477E-001, 2.0755368E-001, 2.1217366E-006, 8.9399608E-004, 3.4800735E+001, 9.3985529E+000, 3.8342910E+001, 9.3954727E-005, 9.3954727E-005, 1.6738442E-003
 4.1005186E+001, 2.0662113E-001, 2.0755368E-001, 2.2771209E-006, 9.3116944E-004, 3.5437823E+001, 1.0031423E+001, 3.9420572E+001, 9.6488620E-005, 9.6488620E-005, 1.7579761E-003
 4.2006825E+001, 2.0652694E-001, 2.0755368E-001, 2.5071253E-006, 9.8619453E-004, 3.6388459E+001, 1.0759299E+001, 4.0416599E+001, 9.8853226E-005, 9.8853226E-005, 1.8446237E-003
 4.3004686E+001, 2.0652245E-001, 2.0755368E-001, 2.5180872E-006, 9.8881701E-004, 3.6473462E+001, 1.1485810E+001, 4.2245832E+001, 1.0093257E-004, 1.0093257E-004, 1.9330928E-003
 4.4001518E+001, 2.0634186E-001, 2.0755368E-001, 2.9590644E-006, 1.0943142E-003, 3.8138565E+001, 1.1410891E+001, 4.4729868E+001, 1.0367118E-004, 1.0367118E-004, 2.0233569E-003
 4.5014146E+001, 2.0631720E-001, 2.0755368E-001, 3.0192720E-006, 1.1087180E-003, 3.8218276E+001, 1.1462794E+001, 4.7226489E+001, 1.0585242E-004, 1.0585242E-004, 2.1163375E-003
 4.6000109E+001, 2.0631059E-001, 2.0755368E-001, 3.0354264E-006, 1.1125827E-003, 3.8205739E+001, 1.1779780E+001, 4.9112695E+001, 1.0846185E-004, 1.0846185E-004, 2.2107272E-003
 4.7009461E+001, 2.0619319E-001, 2.0755368E-001, 3.3220948E-006, 1.1811638E-003, 3.9276461E+001, 1.2774787E+001, 5.0561022E+001, 1.1026885E-004, 1.1026885E-004, 2.3069613E-003
 4.8012183E+001, 2.0619005E-001, 2.0755368E-001, 3.3297670E-006, 1.1829993E-003, 3.9185838E+001, 1.3210591E+001, 5.1602764E+001, 1.1272939E-004, 1.1272939E-004, 2.4058602E-003
 4.9005757E+001, 2.0617767E-001, 2.0755368E-001, 3.3600028E-006, 1.1902327E-003, 3.9271726E+001, 1.3232636E+001, 5.2844947E+001, 1.1528958E-004, 1.1528958E-004, 2.5062676E-003
 5.0006611E+001, 2.0606989E-001, 2.0755368E-001, 3.6231784E-006, 1.2531936E-003, 4.0059807E+001, 1.4587782E+001, 5.3669197E+001, 1.1759568E-004, 1.1759568E-004, 2.6083564E-003
 5.1012138E+001, 2.0605493E-001, 2.0755368E-001, 3.6597240E-006, 1.2619365E-003, 3.9880608E+001, 1.4155381E+001, 5.5005760E+001, 1.2059696E-004, 1.2059696E-004, 2.7132425E-003
 5.2011827E+001, 2.0582087E-001, 2.0755368E-001, 4.2312700E-006, 1.3986704E-003, 4.1544100E+001, 1.4436505E+001, 5.6338770E+001, 1.2167051E-004, 1.2167051E-004, 2.8197118E-003
