s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,,,,,,,,
 1.2019271E+001, 2.0755368E-001, 2.0755368E-001, 8.0276991E-013, 3.8640256E-004, 2.6008797E+001, 4.6436095E-154, 4.7803100E+000, 7.5104259E+001, 9.7065128E-010, 9.7065128E-010, 9.7065128E-010, 9.7065128E-010, 9.7065128E-010, 1.4674230E-004, 1.1376851E-007
 1.3004432E+001, 2.0755367E-001, 2.0755368E-001, 2.0823072E-012, 3.8640287E-004, 2.6009986E+001, 3.9050770E-130, 5.4687503E+000, 8.1684203E+001, 9.2221433E-010, 9.2221433E-010, 9.2221433E-010, 9.2221433E-010, 9.2221433E-010, 1.7272874E-004, 1.6671984E-007
 1.4005941E+001, 2.0755367E-001, 2.0755368E-001, 1.4726615E-012, 3.8640272E-004, 2.6011138E+001, 1.3985952E-110, 6.0691949E+000, 8.8211512E+001, 2.9772960E-009, 2.9772960E-009, 2.9772960E-009, 2.9772960E-009, 2.9772960E-009, 2.0076116E-004, 2.3152326E-007
 1.5009274E+001, 2.0755367E-001, 2.0755368E-001, 1.2513326E-012, 3.8640267E-004, 2.6012800E+001, 2.1371726E-093, 6.7948419E+000, 9.4949532E+001, 1.7820268E-008, 1.7820268E-008, 1.7820268E-008, 1.7820268E-008, 1.7820268E-008, 2.3115324E-004, 3.1370979E-007
 1.6017549E+001, 2.0755367E-001, 2.0755368E-001, 1.2442297E-012, 3.8640267E-004, 2.6014707E+001, 2.8775738E-078, 7.6415434E+000, 1.0157223E+002, 2.3237865E-008, 2.3237865E-008, 2.3237865E-008, 2.3237865E-008, 2.3237865E-008, 2.6377317E-004, 4.1054781E-007
 1.7016395E+001, 2.0755367E-001, 2.0755368E-001, 1.2327196E-012, 3.8640266E-004, 2.6016866E+001, 1.5620558E-064, 8.7805625E+000, 1.0822026E+002, 6.2357086E-008, 6.2357086E-008, 6.2357086E-008, 6.2357086E-008, 6.2357086E-008, 2.9851218E-004, 5.0913318E-007
 1.8000952E+001, 2.0755367E-001, 2.0755368E-001, 1.6616385E-012, 3.8640277E-004, 2.6019089E+001, 1.9705254E-052, 9.7004007E+000, 1.1454983E+002, 8.1084272E-008, 8.1084272E-008, 8.1084272E-008, 8.1084272E-008, 8.1084272E-008, 3.3498212E-004, 6.0955979E-007
 1.9007663E+001, 2.0755367E-001, 2.0755368E-001, 3.1012082E-012, 3.8640311E-004, 2.6021508E+001, 2.2700574E-040, 1.0518830E+001, 1.2132449E+002, 2.0113068E-007, 2.0113068E-007, 2.0113068E-007, 2.0113068E-007, 2.0113068E-007, 3.7358116E-004, 7.2512997E-007
 2.0012892E+001, 2.0755367E-001, 2.0755368E-001, 8.9192432E-012, 3.8640450E-004, 2.6024288E+001, 1.3367009E-029, 1.1482487E+001, 1.2843398E+002, 2.2350665E-007, 2.2350665E-007, 2.2350665E-007, 2.2350665E-007, 2.2350665E-007, 4.1488583E-004, 8.6908069E-007
 2.1006303E+001, 2.0755367E-001, 2.0755368E-001, 1.8648162E-011, 3.8640683E-004, 2.6027235E+001, 3.3099075E-021, 1.2519928E+001, 1.3430194E+002, 6.2206898E-007, 6.2206898E-007, 6.2206898E-007, 6.2206898E-007, 6.2206898E-007, 4.5792391E-004, 1.0323948E-006
 2.2011374E+001, 2.0755366E-001, 2.0755368E-001, 3.8626720E-011, 3.8641161E-004, 2.6030540E+001, 5.5060976E-015, 1.3426158E+001, 1.4119071E+002, 1.0019456E-006, 1.0019456E-006, 1.0019456E-006, 1.0019456E-006, 1.0019456E-006, 5.0297521E-004, 1.2036747E-006
 2.3011482E+001, 2.0755365E-001, 2.0755368E-001, 7.0550725E-011, 3.8641925E-004, 2.6033944E+001, 2.2452293E-010, 1.4393411E+001, 1.4805988E+002, 2.0272174E-006, 2.0272174E-006, 2.0272174E-006, 2.0272174E-006, 2.0272174E-006, 5.5048974E-004, 1.4021194E-006
 2.4003683E+001, 2.0755364E-001, 2.0755368E-001, 9.7777326E-011, 3.8642576E-004, 2.6037516E+001, 9.7280962E-001, 1.5209261E+001, 1.5464919E+002, 2.7733751E-006, 2.7733751E-006, 2.7733751E-006, 2.7733751E-006, 2.7733751E-006, 5.9973215E-004, 1.6262375E-006
 2.5006923E+001, 2.0755359E-001, 2.0755368E-001, 2.1385173E-010, 3.8645353E-004, 2.6041669E+001, 2.8586740E+000, 1.6166627E+001, 1.6130039E+002, 3.9922091E-006, 3.9922091E-006, 3.9922091E-006, 3.9922091E-006, 3.9922091E-006, 6.5096750E-004, 1.8918559E-006
 2.6012530E+001, 2.0755339E-001, 2.0755368E-001, 7.0870333E-010, 3.8657192E-004, 2.6048134E+001, 4.3980933E+000, 1.7333566E+001, 1.6763288E+002, 5.0425674E-006, 5.0425674E-006, 5.0425674E-006, 5.0425674E-006, 5.0425674E-006, 7.0463156E-004, 2.1727987E-006
 2.7014127E+001, 2.0754926E-001, 2.0755368E-001, 1.0780199E-008, 3.8898137E-004, 2.6096854E+001, 4.4327600E+000, 1.8275618E+001, 1.7428398E+002, 4.5782316E-006, 4.5782316E-006, 4.5782316E-006, 4.5782316E-006, 4.5782316E-006, 7.6038375E-004, 2.5008138E-006
 2.8012154E+001, 2.0722976E-001, 2.0755368E-001, 7.9095380E-007, 5.7562622E-004, 2.9253950E+001, 4.4138253E+000, 1.9305888E+001, 1.8077464E+002, 1.2983566E-005, 1.2983566E-005, 1.2983566E-005, 1.2983566E-005, 1.2983566E-005, 8.1783889E-004, 2.8197337E-006
 2.9005786E+001, 2.0666597E-001, 2.0755368E-001, 2.1676566E-006, 9.0498179E-004, 3.4777158E+001, 5.8895936E+000, 2.0519794E+001, 1.8749540E+002, 1.5131697E-005, 1.5131697E-005, 1.5131697E-005, 1.5131697E-005, 1.5131697E-005, 8.7730549E-004, 3.1342298E-006
 3.0011087E+001, 2.0655192E-001, 2.0755368E-001, 2.4461473E-006, 9.7160650E-004, 3.5924802E+001, 5.5372859E+000, 2.1727777E+001, 1.9396993E+002, 2.0072737E-005, 2.0072737E-005, 2.0072737E-005, 2.0072737E-005, 2.0072737E-005, 9.3894351E-004, 3.4668796E-006
 3.1008737E+001, 2.0664377E-001, 2.0755368E-001, 2.2218676E-006, 9.1795093E-004, 3.4944067E+001, 3.2483919E+000, 2.2945917E+001, 2.0160851E+002, 2.8458938E-005, 2.8458938E-005, 2.8458938E-005, 2.8458938E-005, 2.8458938E-005, 1.0025753E-003, 3.8192765E-006
 3.2007657E+001, 2.0667734E-001, 2.0755368E-001, 2.1398875E-006, 8.9833843E-004, 3.4513682E+001, 6.4271555E+000, 2.4035084E+001, 2.0720915E+002, 3.2576829E-005, 3.2576829E-005, 3.2576829E-005, 3.2576829E-005, 3.2576829E-005, 1.0683062E-003, 4.2039191E-006
 3.3008932E+001, 2.0666777E-001, 2.0755368E-001, 2.1632586E-006, 9.0392961E-004, 3.4602594E+001, 8.1345511E+000, 2.4795214E+001, 2.1420043E+002, 4.7912459E-005, 4.7912459E-005, 4.7912459E-005, 4.7912459E-005, 4.7912459E-005, 1.1360689E-003, 4.6247520E-006
 3.4008499E+001, 2.0670976E-001, 2.0755368E-001, 2.0607384E-006, 8.7940320E-004, 3.4196451E+001, 6.8642845E+000, 2.6916764E+001, 2.1988938E+002, 4.0134199E-005, 4.0134199E-005, 4.0134199E-005, 4.0134199E-005, 4.0134199E-005, 1.2058789E-003, 5.0601893E-006
 3.5005881E+001, 2.0678392E-001, 2.0755368E-001, 1.8796312E-006, 8.3607600E-004, 3.3456788E+001, 5.2901711E+000, 2.7306310E+001, 2.2714307E+002, 6.4482602E-005, 6.4482602E-005, 6.4482602E-005, 6.4482602E-005, 6.4482602E-005, 1.2774839E-003, 5.5163618E-006
 3.6008314E+001, 2.0674974E-001, 2.0755368E-001, 1.9630900E-006, 8.5604228E-004, 3.3810392E+001, 7.5721657E+000, 2.8814709E+001, 2.3370781E+002, 7.7751442E-005, 7.7751442E-005, 7.7751442E-005, 7.7751442E-005, 7.7751442E-005, 1.3512570E-003, 5.9881304E-006
 3.7000548E+001, 2.0674285E-001, 2.0755368E-001, 1.9799273E-006, 8.6007035E-004, 3.3925557E+001, 9.6664975E+000, 3.0016216E+001, 2.4028233E+002, 8.3638209E-005, 8.3638209E-005, 8.3638209E-005, 8.3638209E-005, 8.3638209E-005, 1.4268569E-003, 6.4953631E-006
 3.8000090E+001, 2.0682687E-001, 2.0755368E-001, 1.7747572E-006, 8.1098647E-004, 3.3128479E+001, 1.0842793E+001, 3.0710635E+001, 2.4779110E+002, 1.1049199E-004, 1.1049199E-004, 1.1049199E-004, 1.1049199E-004, 1.1049199E-004, 1.5043977E-003, 7.0529742E-006
 3.9006213E+001, 2.0690542E-001, 2.0755368E-001, 1.5829332E-006, 7.6509544E-004, 3.2371387E+001, 1.0932464E+001, 3.2600273E+001, 2.5274057E+002, 1.2577141E-004, 1.2577141E-004, 1.2577141E-004, 1.2577141E-004, 1.2577141E-004, 1.5843613E-003, 7.6246592E-006
 4.0002695E+001, 2.0693779E-001, 2.0755368E-001, 1.5039082E-006, 7.4618988E-004, 3.2054738E+001, 1.1241186E+001, 3.2993590E+001, 2.5998019E+002, 1.5085295E-004, 1.5085295E-004, 1.5085295E-004, 1.5085295E-004, 1.5085295E-004, 1.6662906E-003, 8.2313912E-006
 4.1004598E+001, 2.0694700E-001, 2.0755368E-001, 1.4814099E-006, 7.4080751E-004, 3.1952906E+001, 1.0880697E+001, 3.4503747E+001, 2.6661896E+002, 1.7845729E-004, 1.7845729E-004, 1.7845729E-004, 1.7845729E-004, 1.7845729E-004, 1.7500731E-003, 8.8382931E-006
 4.2001544E+001, 2.0694524E-001, 2.0755368E-001, 1.4857065E-006, 7.4183541E-004, 3.1952001E+001, 1.0695312E+001, 3.5301524E+001, 2.7276107E+002, 2.2141726E-004, 2.2141726E-004, 2.2141726E-004, 2.2141726E-004, 2.2141726E-004, 1.8357565E-003, 9.4581648E-006
 4.3007834E+001, 2.0680088E-001, 2.0755368E-001, 1.8382192E-006, 8.2616884E-004, 3.3280506E+001, 1.0706703E+001, 3.6381296E+001, 2.8145651E+002, 2.5575068E-004, 2.5575068E-004, 2.5575068E-004, 2.5575068E-004, 2.5575068E-004, 1.9234453E-003, 1.0069023E-005
 4.4012122E+001, 2.0658753E-001, 2.0755368E-001, 2.3591651E-006, 9.5079747E-004, 3.5225872E+001, 1.0817080E+001, 3.8583348E+001, 2.8628408E+002, 2.7848540E-004, 2.7848540E-004, 2.7848540E-004, 2.7848540E-004, 2.7848540E-004, 2.0138924E-003, 1.0726871E-005
 4.5008959E+001, 2.0607593E-001, 2.0755368E-001, 3.6084417E-006, 1.2496687E-003, 3.9785419E+001, 9.1246668E+000, 3.9993982E+001, 2.9303429E+002, 2.9929248E-004, 2.9929248E-004, 2.9929248E-004, 2.9929248E-004, 2.9929248E-004, 2.1056402E-003, 1.1432517E-005
 4.6006997E+001, 2.0577804E-001, 2.0755368E-001, 4.3358725E-006, 1.4236962E-003, 4.2231819E+001, 1.1488236E+001, 4.0448202E+001, 3.0011351E+002, 3.3526903E-004, 3.3526903E-004, 3.3526903E-004, 3.3526903E-004, 3.3526903E-004, 2.1989537E-003, 1.2149601E-005
 4.7008080E+001, 2.0576467E-001, 2.0755368E-001, 4.3685124E-006, 1.4315050E-003, 4.2008782E+001, 1.4261202E+001, 4.2419260E+001, 3.0603041E+002, 3.4320263E-004, 3.4320263E-004, 3.4320263E-004, 3.4320263E-004, 3.4320263E-004, 2.2947951E-003, 1.2929607E-005
 4.8006329E+001, 2.0575825E-001, 2.0755368E-001, 4.3841963E-006, 1.4352572E-003, 4.1779890E+001, 1.3518718E+001, 4.4447012E+001, 3.1155738E+002, 3.6485022E-004, 3.6485022E-004, 3.6485022E-004, 3.6485022E-004, 3.6485022E-004, 2.3922637E-003, 1.3694651E-005
 4.9011308E+001, 2.0579405E-001, 2.0755368E-001, 4.2967905E-006, 1.4143464E-003, 4.1578629E+001, 1.3380889E+001, 4.5684589E+001, 3.2077496E+002, 3.9875488E-004, 3.9875488E-004, 3.9875488E-004, 3.9875488E-004, 3.9875488E-004, 2.4920327E-003, 1.4459849E-005
 5.0004337E+001, 2.0584748E-001, 2.0755368E-001, 4.1663214E-006, 1.3831336E-003, 4.1073917E+001, 1.2592854E+001, 4.7084150E+001, 3.2576652E+002, 5.1805849E-004, 5.1805849E-004, 5.1805849E-004, 5.1805849E-004, 5.1805849E-004, 2.5936961E-003, 1.5301314E-005
 5.1006475E+001, 2.0591713E-001, 2.0755368E-001, 3.9962362E-006, 1.3424431E-003, 4.0449721E+001, 1.1791637E+001, 4.8305333E+001, 3.3062624E+002, 4.8780944E-004, 4.8780944E-004, 4.8780944E-004, 4.8780944E-004, 4.8780944E-004, 2.6967921E-003, 1.6170306E-005
 5.2007635E+001, 2.0577593E-001, 2.0755368E-001, 4.3410274E-006, 1.4249302E-003, 4.1144326E+001, 1.1477373E+001, 4.8450261E+001, 3.4024028E+002, 5.5317977E-004, 5.5317977E-004, 5.5317977E-004, 5.5317977E-004, 5.5317977E-004, 2.8017673E-003, 1.7083885E-005
 5.3012381E+001, 2.0573288E-001, 2.0755368E-001, 4.4461722E-006, 1.4500847E-003, 4.1390080E+001, 1.4345692E+001, 5.1706106E+001, 3.4451159E+002, 5.7708856E-004, 5.7708856E-004, 5.7708856E-004, 5.7708856E-004, 5.7708856E-004, 2.9099085E-003, 1.8043516E-005
 5.4009837E+001, 2.0573798E-001, 2.0755368E-001, 4.4337207E-006, 1.4471058E-003, 4.1124515E+001, 1.5376715E+001, 5.1905609E+001, 3.5309540E+002, 6.8277249E-004, 6.8277249E-004, 6.8277249E-004, 6.8277249E-004, 6.8277249E-004, 3.0185469E-003, 1.9006110E-005
 5.5007208E+001, 2.0545955E-001, 2.0755232E-001, 5.1136170E-006, 1.6097624E-003, 4.3345642E+001, 1.6477632E+001, 5.4707648E+001, 3.6058653E+002, 7.2594559E-004, 7.2594559E-004, 7.2594559E-004, 7.2594559E-004, 7.2594559E-004, 3.1304004E-003, 2.0008407E-005
 5.6006028E+001, 2.0505912E-001, 2.0754791E-001, 6.0914097E-006, 1.8436878E-003, 4.6236735E+001, 1.5783485E+001, 5.6203760E+001, 3.6776491E+002, 6.8283843E-004, 6.8283843E-004, 6.8283843E-004, 6.8283843E-004, 6.8283843E-004, 3.2429158E-003, 2.0986411E-005
 5.7003879E+001, 2.0500867E-001, 2.0754917E-001, 6.2146324E-006, 1.8731675E-003, 4.6447996E+001, 1.5562762E+001, 5.8680060E+001, 3.6889588E+002, 6.9099913E-004, 6.9099913E-004, 6.9099913E-004, 6.9099913E-004, 6.9099913E-004, 3.3578915E-003, 2.1993218E-005
 5.8005913E+001, 2.0507024E-001, 2.0755089E-001, 6.0642698E-006, 1.8371952E-003, 4.6135016E+001, 1.5824821E+001, 5.9461758E+001, 3.7374962E+002, 7.0126120E-004, 7.0126120E-004, 7.0126120E-004, 7.0126120E-004, 7.0126120E-004, 3.4741502E-003, 2.3066178E-005
 5.9002764E+001, 2.0509788E-001, 2.0755159E-001, 5.9967939E-006, 1.8210530E-003, 4.5481016E+001, 1.5893228E+001, 6.1505572E+001, 3.8683337E+002, 8.5564691E-004, 8.5564691E-004, 8.5564691E-004, 8.5564691E-004, 8.5564691E-004, 3.5929199E-003, 2.4192960E-005
 6.0010109E+001, 2.0512679E-001, 2.0755153E-001, 5.9262101E-006, 1.8041656E-003, 4.5329908E+001, 1.6935136E+001, 6.3196786E+001, 3.9076721E+002, 1.0808869E-003, 1.0808869E-003, 1.0808869E-003, 1.0808869E-003, 1.0808869E-003, 3.7137462E-003, 2.5367788E-005
 6.1010375E+001, 2.0501782E-001, 2.0755118E-001, 6.1922856E-006, 1.8678203E-003, 4.6187110E+001, 1.9840053E+001, 6.3802832E+001, 3.9873527E+002, 9.3030971E-004, 9.3030971E-004, 9.3030971E-004, 9.3030971E-004, 9.3030971E-004, 3.8363796E-003, 2.6548405E-005
 6.2001905E+001, 2.0492497E-001, 2.0755103E-001, 6.4190109E-006, 1.9220617E-003, 4.6794329E+001, 2.0180201E+001, 6.6618879E+001, 4.0632441E+002, 9.4729782E-004, 9.4729782E-004, 9.4729782E-004, 9.4729782E-004, 9.4729782E-004, 3.9606847E-003, 2.7714650E-005
 6.3000773E+001, 2.0474775E-001, 2.0755102E-001, 6.8517716E-006, 2.0255952E-003, 4.8009265E+001, 1.8449830E+001, 6.7906334E+001, 4.1119680E+002, 1.1443052E-003, 1.1443052E-003, 1.1443052E-003, 1.1443052E-003, 1.1443052E-003, 4.0857667E-003, 2.8906561E-005
 6.4006428E+001, 2.0455683E-001, 2.0755122E-001, 7.3179725E-006, 2.1371291E-003, 4.9451279E+001, 1.9638842E+001, 6.8867577E+001, 4.1085100E+002, 1.1218389E-003, 1.1218389E-003, 1.1218389E-003, 1.1218389E-003, 1.1218389E-003, 4.2137774E-003, 3.0192444E-005
 6.5010061E+001, 2.0421750E-001, 2.0755138E-001, 8.1465556E-006, 2.3353598E-003, 5.2096504E+001, 1.9866287E+001, 6.8992892E+001, 4.2975491E+002, 1.4273960E-003, 1.4273960E-003, 1.4273960E-003, 1.4273960E-003, 1.4273960E-003, 4.3437554E-003, 3.1525354E-005
 6.6010489E+001, 2.0399640E-001, 2.0755142E-001, 8.6864589E-006, 2.4645273E-003, 5.3842974E+001, 2.0655774E+001, 7.3013802E+001, 4.3645906E+002, 2.3061032E-003, 2.3061032E-003, 2.3061032E-003, 2.3061032E-003, 2.3061032E-003, 4.4772757E-003, 3.2953368E-005
 6.7005681E+001, 2.0396885E-001, 2.0755156E-001, 8.7537521E-006, 2.4806272E-003, 5.3830739E+001, 2.0769917E+001, 7.4331772E+001, 4.3319272E+002, 2.2636404E-003, 2.2636404E-003, 2.2636404E-003, 2.2636404E-003, 2.2636404E-003, 4.6099532E-003, 3.4386705E-005
 6.8003516E+001, 2.0396384E-001, 2.0755183E-001, 8.7659740E-006, 2.4835516E-003, 5.3773624E+001, 2.3086453E+001, 7.4691922E+001, 4.4564021E+002, 1.8204127E-003, 1.8204127E-003, 1.8204127E-003, 1.8204127E-003, 1.8204127E-003, 4.7443121E-003, 3.5929657E-005
 6.9000942E+001, 2.0379857E-001, 2.0755255E-001, 9.1695380E-006, 2.5801016E-003, 5.5246636E+001, 2.2596620E+001, 7.5126065E+001, 4.5361815E+002, 1.9749968E-003, 1.9749968E-003, 1.9749968E-003, 1.9749968E-003, 1.9749968E-003, 4.8816577E-003, 3.7557057E-005
 7.0005188E+001, 2.0393415E-001, 2.0755335E-001, 8.8384495E-006, 2.5008927E-003, 5.4279245E+001, 2.2080663E+001, 7.8083691E+001, 4.6147398E+002, 2.4318760E-003, 2.4318760E-003, 2.4318760E-003, 2.4318760E-003, 2.4318760E-003, 5.0210938E-003, 3.9227546E-005
 7.1005396E+001, 2.0415267E-001, 2.0755342E-001, 8.3048635E-006, 2.3732377E-003, 5.2591578E+001, 2.1927530E+001, 7.9135436E+001, 4.6139996E+002, 2.8176674E-003, 2.8176674E-003, 2.8176674E-003, 2.8176674E-003, 2.8176674E-003, 5.1618116E-003, 4.0962588E-005
 7.2008276E+001, 2.0417098E-001, 2.0755328E-001, 8.2601533E-006, 2.3625410E-003, 5.2503419E+001, 2.0002285E+001, 8.3004081E+001, 4.6561260E+002, 2.2366283E-003, 2.2366283E-003, 2.2366283E-003, 2.2366283E-003, 2.2366283E-003, 5.3053260E-003, 4.2759799E-005
 7.3000243E+001, 2.0410518E-001, 2.0755321E-001, 8.4208172E-006, 2.4009784E-003, 5.3003426E+001, 2.0152950E+001, 8.3368857E+001, 4.8207799E+002, 1.8905084E-003, 1.8905084E-003, 1.8905084E-003, 1.8905084E-003, 1.8905084E-003, 5.4475113E-003, 4.4606691E-005
 7.4001644E+001, 2.0380723E-001, 2.0755307E-001, 9.1483666E-006, 2.5750392E-003, 5.5444094E+001, 2.3209095E+001, 8.4247284E+001, 4.7915949E+002, 1.9908601E-003, 1.9908601E-003, 1.9908601E-003, 1.9908601E-003, 1.9908601E-003, 5.5912964E-003, 4.6562165E-005
 7.5006540E+001, 2.0349414E-001, 2.0755309E-001, 9.9128919E-006, 2.7579500E-003, 5.7524645E+001, 2.4775307E+001, 8.9434167E+001, 4.9373732E+002, 2.0114459E-003, 2.0114459E-003, 2.0114459E-003, 2.0114459E-003, 2.0114459E-003, 5.7402091E-003, 4.8543520E-005
 7.6008588E+001, 2.0335869E-001, 2.0755326E-001, 1.0243632E-005, 2.8370816E-003, 5.8096316E+001, 2.5462018E+001, 9.2311933E+001, 4.9608596E+002, 2.0252216E-003, 2.0252216E-003, 2.0252216E-003, 2.0252216E-003, 2.0252216E-003, 5.8897597E-003, 5.0518086E-005
 7.7003266E+001, 2.0337384E-001, 2.0755310E-001, 1.0206650E-005, 2.8282401E-003, 5.7535446E+001, 2.4506974E+001, 9.3194017E+001, 4.9895238E+002, 2.0012175E-003, 2.0012175E-003, 2.0012175E-003, 2.0012175E-003, 2.0012175E-003, 6.0406705E-003, 5.2585974E-005
 7.8004201E+001, 2.0347861E-001, 2.0755256E-001, 9.9508212E-006, 2.7670352E-003, 5.6780981E+001, 2.3579160E+001, 9.5272363E+001, 5.2066212E+002, 2.2783917E-003, 2.2783917E-003, 2.2783917E-003, 2.2783917E-003, 2.2783917E-003, 6.1925118E-003, 5.4677947E-005
 7.9000699E+001, 2.0347816E-001, 2.0754913E-001, 9.9519223E-006, 2.7672989E-003, 5.6819785E+001, 2.3810679E+001, 9.8893578E+001, 5.1645112E+002, 2.6088282E-003, 2.6088282E-003, 2.6088282E-003, 2.6088282E-003, 2.6088282E-003, 6.3485577E-003, 5.6789192E-005
 8.0006341E+001, 2.0352406E-001, 2.0754450E-001, 9.8398412E-006, 2.7404820E-003, 5.6499266E+001, 2.6162720E+001, 1.0024985E+002, 5.2481956E+002, 2.2271117E-003, 2.2271117E-003, 2.2271117E-003, 2.2271117E-003, 2.2271117E-003, 6.5045781E-003, 5.9014896E-005
 8.1000435E+001, 2.0368510E-001, 2.0754176E-001, 9.4466214E-006, 2.6464020E-003, 5.5181709E+001, 2.6306366E+001, 1.0214126E+002, 5.2528964E+002, 3.1568491E-003, 3.1568491E-003, 3.1568491E-003, 3.1568491E-003, 3.1568491E-003, 6.6633578E-003, 6.1334550E-005
 8.2008503E+001, 2.0369864E-001, 2.0753831E-001, 9.4135683E-006, 2.6384925E-003, 5.4994380E+001, 2.6949325E+001, 1.0245620E+002, 5.3697938E+002, 2.7554780E-003, 2.7554780E-003, 2.7554780E-003, 2.7554780E-003, 2.7554780E-003, 6.8210015E-003, 6.3712385E-005
 8.3003025E+001, 2.0364745E-001, 2.0753083E-001, 9.5385654E-006, 2.6683976E-003, 5.5327629E+001, 2.5357341E+001, 1.0407670E+002, 5.4326507E+002, 3.6087486E-003, 3.6087486E-003, 3.6087486E-003, 3.6087486E-003, 3.6087486E-003, 6.9813738E-003, 6.6078925E-005
 8.4005864E+001, 2.0349833E-001, 2.0751841E-001, 9.9026707E-006, 2.7555109E-003, 5.6471824E+001, 2.6231716E+001, 1.0735558E+002, 5.5014919E+002, 3.2621964E-003, 3.2621964E-003, 3.2621964E-003, 3.2621964E-003, 3.2621964E-003, 7.1460768E-003, 6.8696497E-005
 8.5010473E+001, 2.0344559E-001, 2.0750739E-001, 1.0031446E-005, 2.7863204E-003, 5.6786942E+001, 2.7336683E+001, 1.0808954E+002, 5.4445974E+002, 3.0950582E-003, 3.0950582E-003, 3.0950582E-003, 3.0950582E-003, 3.0950582E-003, 7.3099325E-003, 7.1300486E-005
