d (mu-m),CNF,CVF
 0.107851921E+03, 0.395912601E-01, 0.715094760E-03
 0.109011202E+03, 0.415228267E-01, 0.772000948E-03
 0.110170482E+03, 0.435084850E-01, 0.832387006E-03
 0.111329763E+03, 0.455481808E-01, 0.896395219E-03
 0.112489044E+03, 0.476418183E-01, 0.964170071E-03
 0.113648325E+03, 0.497892603E-01, 0.103585816E-02
 0.114807606E+03, 0.519903296E-01, 0.111160807E-02
 0.115966887E+03, 0.542448102E-01, 0.119157030E-02
 0.117126167E+03, 0.565524477E-01, 0.127589714E-02
 0.118285448E+03, 0.589129510E-01, 0.136474255E-02
 0.119444729E+03, 0.613259929E-01, 0.145826207E-02
 0.120604010E+03, 0.637912116E-01, 0.155661269E-02
 0.121763291E+03, 0.663082118E-01, 0.165995278E-02
 0.122922572E+03, 0.688765654E-01, 0.176844189E-02
 0.124081853E+03, 0.714958134E-01, 0.188224073E-02
 0.125241133E+03, 0.741654663E-01, 0.200151100E-02
 0.126400414E+03, 0.768850060E-01, 0.212641528E-02
 0.127559695E+03, 0.796538864E-01, 0.225711692E-02
 0.128718976E+03, 0.824715349E-01, 0.239377993E-02
 0.129878257E+03, 0.853373536E-01, 0.253656884E-02
 0.131037538E+03, 0.882507202E-01, 0.268564862E-02
 0.132196819E+03, 0.912109896E-01, 0.284118453E-02
 0.133356099E+03, 0.942174946E-01, 0.300334201E-02
 0.134515380E+03, 0.972695474E-01, 0.317228661E-02
 0.135674661E+03, 0.100366441E+00, 0.334818379E-02
 0.136833942E+03, 0.103507448E+00, 0.353119889E-02
 0.137993223E+03, 0.106691827E+00, 0.372149699E-02
 0.139152504E+03, 0.109918818E+00, 0.391924277E-02
 0.140311784E+03, 0.113187646E+00, 0.412460045E-02
 0.141471065E+03, 0.116497522E+00, 0.433773364E-02
 0.142630346E+03, 0.119847646E+00, 0.455880526E-02
 0.143789627E+03, 0.123237202E+00, 0.478797745E-02
 0.144948908E+03, 0.126665366E+00, 0.502541142E-02
 0.146108189E+03, 0.130131303E+00, 0.527126739E-02
 0.147267470E+03, 0.133634168E+00, 0.552570447E-02
 0.148426750E+03, 0.137173111E+00, 0.578888058E-02
 0.149586031E+03, 0.140747270E+00, 0.606095236E-02
 0.150745312E+03, 0.144355781E+00, 0.634207503E-02
 0.151904593E+03, 0.147997772E+00, 0.663240238E-02
 0.153063874E+03, 0.151672366E+00, 0.693208661E-02
 0.154223155E+03, 0.155378683E+00, 0.724127829E-02
 0.155382435E+03, 0.159115841E+00, 0.756012624E-02
 0.156541716E+03, 0.162882954E+00, 0.788877750E-02
 0.157700997E+03, 0.166679134E+00, 0.822737721E-02
 0.158860278E+03, 0.170503494E+00, 0.857606854E-02
 0.160019559E+03, 0.174355146E+00, 0.893499264E-02
 0.161178840E+03, 0.178233201E+00, 0.930428854E-02
 0.162338121E+03, 0.182136773E+00, 0.968409311E-02
 0.163497401E+03, 0.186064977E+00, 0.100745410E-01
 0.164656682E+03, 0.190016931E+00, 0.104757645E-01
 0.165815963E+03, 0.193991755E+00, 0.108878936E-01
 0.166975244E+03, 0.197988571E+00, 0.113110558E-01
 0.168134525E+03, 0.202006509E+00, 0.117453763E-01
 0.169293806E+03, 0.206044699E+00, 0.121909775E-01
 0.170453087E+03, 0.210102279E+00, 0.126479795E-01
 0.171612367E+03, 0.214178390E+00, 0.131164997E-01
 0.172771648E+03, 0.218272182E+00, 0.135966526E-01
 0.173930929E+03, 0.222382807E+00, 0.140885503E-01
 0.175090210E+03, 0.226509428E+00, 0.145923020E-01
 0.176249491E+03, 0.230651211E+00, 0.151080142E-01
 0.177408772E+03, 0.234807332E+00, 0.156357905E-01
 0.178568052E+03, 0.238976974E+00, 0.161757317E-01
 0.179727333E+03, 0.243159327E+00, 0.167279356E-01
 0.180886614E+03, 0.247353590E+00, 0.172924973E-01
 0.182045895E+03, 0.251558971E+00, 0.178695087E-01
 0.183205176E+03, 0.255774686E+00, 0.184590590E-01
 0.184364457E+03, 0.259999960E+00, 0.190612343E-01
 0.185523738E+03, 0.264234029E+00, 0.196761177E-01
 0.186683018E+03, 0.268476135E+00, 0.203037893E-01
 0.187842299E+03, 0.272725534E+00, 0.209443261E-01
 0.189001580E+03, 0.276981488E+00, 0.215978022E-01
 0.190160861E+03, 0.281243272E+00, 0.222642885E-01
 0.191320142E+03, 0.285510169E+00, 0.229438529E-01
 0.192479423E+03, 0.289781473E+00, 0.236365603E-01
 0.193638703E+03, 0.294056489E+00, 0.243424725E-01
 0.194797984E+03, 0.298334532E+00, 0.250616481E-01
 0.195957265E+03, 0.302614927E+00, 0.257941427E-01
 0.197116546E+03, 0.306897012E+00, 0.265400090E-01
 0.198275827E+03, 0.311180134E+00, 0.272992963E-01
 0.199435108E+03, 0.315463651E+00, 0.280720511E-01
 0.200594389E+03, 0.319746931E+00, 0.288583168E-01
 0.201753669E+03, 0.324029356E+00, 0.296581336E-01
 0.202912950E+03, 0.328310317E+00, 0.304715388E-01
 0.204072231E+03, 0.332589215E+00, 0.312985666E-01
 0.205231512E+03, 0.336865464E+00, 0.321392482E-01
 0.206390793E+03, 0.341138489E+00, 0.329936119E-01
 0.207550074E+03, 0.345407724E+00, 0.338616827E-01
 0.208709355E+03, 0.349672616E+00, 0.347434830E-01
 0.209868635E+03, 0.353932623E+00, 0.356390320E-01
 0.211027916E+03, 0.358187214E+00, 0.365483461E-01
 0.212187197E+03, 0.362435867E+00, 0.374714387E-01
 0.213346478E+03, 0.366678074E+00, 0.384083202E-01
 0.214505759E+03, 0.370913335E+00, 0.393589984E-01
 0.215665040E+03, 0.375141164E+00, 0.403234780E-01
 0.216824320E+03, 0.379361083E+00, 0.413017610E-01
 0.217983601E+03, 0.383572626E+00, 0.422938466E-01
 0.219142882E+03, 0.387775337E+00, 0.432997310E-01
 0.220302163E+03, 0.391968772E+00, 0.443194081E-01
 0.221461444E+03, 0.396152497E+00, 0.453528687E-01
 0.222620725E+03, 0.400326088E+00, 0.464001010E-01
 0.223780006E+03, 0.404489130E+00, 0.474610906E-01
 0.224939286E+03, 0.408641222E+00, 0.485358204E-01
 0.226098567E+03, 0.412781970E+00, 0.496242708E-01
 0.227257848E+03, 0.416910991E+00, 0.507264195E-01
 0.228417129E+03, 0.421027912E+00, 0.518422418E-01
 0.229576410E+03, 0.425132372E+00, 0.529717103E-01
 0.230735691E+03, 0.429224015E+00, 0.541147954E-01
 0.231894972E+03, 0.433302500E+00, 0.552714649E-01
 0.233054252E+03, 0.437367492E+00, 0.564416841E-01
 0.234213533E+03, 0.441418668E+00, 0.576254162E-01
 0.235372814E+03, 0.445455711E+00, 0.588226218E-01
 0.236532095E+03, 0.449478317E+00, 0.600332594E-01
 0.237691376E+03, 0.453486189E+00, 0.612572852E-01
 0.238850657E+03, 0.457479040E+00, 0.624946530E-01
 0.240009937E+03, 0.461456591E+00, 0.637453147E-01
 0.241169218E+03, 0.465418572E+00, 0.650092198E-01
 0.242328499E+03, 0.469364723E+00, 0.662863159E-01
 0.243487780E+03, 0.473294791E+00, 0.675765484E-01
 0.244647061E+03, 0.477208531E+00, 0.688798606E-01
 0.245806342E+03, 0.481105709E+00, 0.701961940E-01
 0.246965623E+03, 0.484986096E+00, 0.715254879E-01
 0.248124903E+03, 0.488849474E+00, 0.728676799E-01
 0.249284184E+03, 0.492695630E+00, 0.742227056E-01
 0.250443465E+03, 0.496524361E+00, 0.755904987E-01
 0.251602746E+03, 0.500335472E+00, 0.769709913E-01
 0.252762027E+03, 0.504128773E+00, 0.783641135E-01
 0.253921308E+03, 0.507904083E+00, 0.797697937E-01
 0.255080588E+03, 0.511661230E+00, 0.811879588E-01
 0.256239869E+03, 0.515400046E+00, 0.826185338E-01
 0.257399150E+03, 0.519120372E+00, 0.840614423E-01
 0.258558431E+03, 0.522822056E+00, 0.855166061E-01
 0.259717712E+03, 0.526504952E+00, 0.869839456E-01
 0.260876993E+03, 0.530168922E+00, 0.884633798E-01
 0.262036274E+03, 0.533813833E+00, 0.899548259E-01
 0.263195554E+03, 0.537439559E+00, 0.914582000E-01
 0.264354835E+03, 0.541045981E+00, 0.929734167E-01
 0.265514116E+03, 0.544632985E+00, 0.945003891E-01
 0.266673397E+03, 0.548200466E+00, 0.960390293E-01
 0.267832678E+03, 0.551748320E+00, 0.975892478E-01
 0.268991959E+03, 0.555276454E+00, 0.991509540E-01
 0.270151240E+03, 0.558784777E+00, 0.100724056E+00
 0.271310520E+03, 0.562273206E+00, 0.102308461E+00
 0.272469801E+03, 0.565741663E+00, 0.103904075E+00
 0.273629082E+03, 0.569190074E+00, 0.105510803E+00
 0.274788363E+03, 0.572618372E+00, 0.107128548E+00
 0.275947644E+03, 0.576026495E+00, 0.108757212E+00
 0.277106925E+03, 0.579414385E+00, 0.110396699E+00
 0.278266205E+03, 0.582781990E+00, 0.112046908E+00
 0.279425486E+03, 0.586129262E+00, 0.113707739E+00
 0.280584767E+03, 0.589456159E+00, 0.115379092E+00
 0.281744048E+03, 0.592762643E+00, 0.117060864E+00
 0.282903329E+03, 0.596048680E+00, 0.118752952E+00
 0.284062610E+03, 0.599314241E+00, 0.120455253E+00
 0.285221891E+03, 0.602559301E+00, 0.122167663E+00
 0.286381171E+03, 0.605783841E+00, 0.123890077E+00
 0.287540452E+03, 0.608987842E+00, 0.125622389E+00
 0.288699733E+03, 0.612171295E+00, 0.127364492E+00
 0.289859014E+03, 0.615334189E+00, 0.129116280E+00
 0.291018295E+03, 0.618476520E+00, 0.130877645E+00
 0.292177576E+03, 0.621598288E+00, 0.132648478E+00
 0.293336856E+03, 0.624699496E+00, 0.134428672E+00
 0.294496137E+03, 0.627780151E+00, 0.136218116E+00
 0.295655418E+03, 0.630840261E+00, 0.138016702E+00
 0.296814699E+03, 0.633879842E+00, 0.139824318E+00
 0.297973980E+03, 0.636898909E+00, 0.141640855E+00
 0.299133261E+03, 0.639897482E+00, 0.143466201E+00
 0.300292542E+03, 0.642875586E+00, 0.145300245E+00
 0.301451822E+03, 0.645833245E+00, 0.147142876E+00
 0.302611103E+03, 0.648770489E+00, 0.148993981E+00
 0.303770384E+03, 0.651687350E+00, 0.150853448E+00
 0.304929665E+03, 0.654583863E+00, 0.152721164E+00
 0.306088946E+03, 0.657460066E+00, 0.154597018E+00
 0.307248227E+03, 0.660315999E+00, 0.156480895E+00
 0.308407508E+03, 0.663151704E+00, 0.158372682E+00
 0.309566788E+03, 0.665967228E+00, 0.160272267E+00
 0.310726069E+03, 0.668762617E+00, 0.162179536E+00
 0.311885350E+03, 0.671537923E+00, 0.164094374E+00
 0.313044631E+03, 0.674293198E+00, 0.166016670E+00
 0.314203912E+03, 0.677028496E+00, 0.167946308E+00
 0.315363193E+03, 0.679743875E+00, 0.169883175E+00
 0.316522473E+03, 0.682439393E+00, 0.171827157E+00
 0.317681754E+03, 0.685115111E+00, 0.173778141E+00
 0.318841035E+03, 0.687771093E+00, 0.175736012E+00
 0.320000316E+03, 0.690407403E+00, 0.177700657E+00
 0.321159597E+03, 0.693024108E+00, 0.179671963E+00
 0.322318878E+03, 0.695621277E+00, 0.181649815E+00
 0.323478159E+03, 0.698198979E+00, 0.183634100E+00
 0.324637439E+03, 0.700757288E+00, 0.185624705E+00
 0.325796720E+03, 0.703296275E+00, 0.187621517E+00
 0.326956001E+03, 0.705816017E+00, 0.189624422E+00
 0.328115282E+03, 0.708316590E+00, 0.191633308E+00
 0.329274563E+03, 0.710798071E+00, 0.193648062E+00
 0.330433844E+03, 0.713260541E+00, 0.195668572E+00
 0.331593124E+03, 0.715704079E+00, 0.197694724E+00
 0.332752405E+03, 0.718128768E+00, 0.199726408E+00
 0.333911686E+03, 0.720534692E+00, 0.201763512E+00
 0.335070967E+03, 0.722921934E+00, 0.203805923E+00
 0.336230248E+03, 0.725290580E+00, 0.205853532E+00
 0.337389529E+03, 0.727640717E+00, 0.207906227E+00
 0.338548810E+03, 0.729972432E+00, 0.209963897E+00
 0.339708090E+03, 0.732285815E+00, 0.212026433E+00
 0.340867371E+03, 0.734580954E+00, 0.214093725E+00
 0.342026652E+03, 0.736857940E+00, 0.216165662E+00
 0.343185933E+03, 0.739116865E+00, 0.218242137E+00
 0.344345214E+03, 0.741357822E+00, 0.220323041E+00
 0.345504495E+03, 0.743580902E+00, 0.222408265E+00
 0.346663776E+03, 0.745786200E+00, 0.224497701E+00
 0.347823056E+03, 0.747973810E+00, 0.226591242E+00
 0.348982337E+03, 0.750143828E+00, 0.228688781E+00
 0.350141618E+03, 0.752296349E+00, 0.230790212E+00
 0.351300899E+03, 0.754431471E+00, 0.232895428E+00
 0.352460180E+03, 0.756549289E+00, 0.235004325E+00
 0.353619461E+03, 0.758649901E+00, 0.237116796E+00
 0.354778741E+03, 0.760733406E+00, 0.239232738E+00
 0.355938022E+03, 0.762799902E+00, 0.241352046E+00
 0.357097303E+03, 0.764849487E+00, 0.243474617E+00
 0.358256584E+03, 0.766882262E+00, 0.245600347E+00
 0.359415865E+03, 0.768898326E+00, 0.247729135E+00
 0.360575146E+03, 0.770897779E+00, 0.249860879E+00
 0.361734427E+03, 0.772880721E+00, 0.251995476E+00
 0.362893707E+03, 0.774847253E+00, 0.254132827E+00
 0.364052988E+03, 0.776797476E+00, 0.256272831E+00
 0.365212269E+03, 0.778731492E+00, 0.258415389E+00
 0.366371550E+03, 0.780649401E+00, 0.260560401E+00
 0.367530831E+03, 0.782551306E+00, 0.262707768E+00
 0.368690112E+03, 0.784437307E+00, 0.264857394E+00
 0.369849392E+03, 0.786307507E+00, 0.267009181E+00
 0.371008673E+03, 0.788162008E+00, 0.269163032E+00
 0.372167954E+03, 0.790000912E+00, 0.271318852E+00
 0.373327235E+03, 0.791824321E+00, 0.273476544E+00
 0.374486516E+03, 0.793632337E+00, 0.275636014E+00
 0.375645797E+03, 0.795425062E+00, 0.277797169E+00
 0.376805078E+03, 0.797202599E+00, 0.279959913E+00
 0.377964358E+03, 0.798965050E+00, 0.282124156E+00
 0.379123639E+03, 0.800712517E+00, 0.284289804E+00
 0.380282920E+03, 0.802445101E+00, 0.286456767E+00
 0.381442201E+03, 0.804162906E+00, 0.288624953E+00
 0.382601482E+03, 0.805866033E+00, 0.290794271E+00
 0.383760763E+03, 0.807554584E+00, 0.292964634E+00
 0.384920044E+03, 0.809228660E+00, 0.295135951E+00
 0.386079324E+03, 0.810888364E+00, 0.297308135E+00
 0.387238605E+03, 0.812533796E+00, 0.299481098E+00
 0.388397886E+03, 0.814165058E+00, 0.301654753E+00
 0.389557167E+03, 0.815782251E+00, 0.303829015E+00
 0.390716448E+03, 0.817385475E+00, 0.306003798E+00
 0.391875729E+03, 0.818974833E+00, 0.308179017E+00
 0.393035009E+03, 0.820550422E+00, 0.310354588E+00
 0.394194290E+03, 0.822112345E+00, 0.312530429E+00
 0.395353571E+03, 0.823660701E+00, 0.314706455E+00
 0.396512852E+03, 0.825195589E+00, 0.316882586E+00
 0.397672133E+03, 0.826717110E+00, 0.319058740E+00
 0.398831414E+03, 0.828225361E+00, 0.321234837E+00
 0.399990695E+03, 0.829720442E+00, 0.323410797E+00
 0.401149975E+03, 0.831202452E+00, 0.325586541E+00
 0.402309256E+03, 0.832671488E+00, 0.327761990E+00
 0.403468537E+03, 0.834127648E+00, 0.329937067E+00
 0.404627818E+03, 0.835571030E+00, 0.332111695E+00
 0.405787099E+03, 0.837001731E+00, 0.334285797E+00
 0.406946380E+03, 0.838419848E+00, 0.336459299E+00
 0.408105660E+03, 0.839825477E+00, 0.338632125E+00
 0.409264941E+03, 0.841218714E+00, 0.340804201E+00
 0.410424222E+03, 0.842599654E+00, 0.342975454E+00
 0.411583503E+03, 0.843968394E+00, 0.345145811E+00
 0.412742784E+03, 0.845325028E+00, 0.347315200E+00
 0.413902065E+03, 0.846669650E+00, 0.349483550E+00
 0.415061346E+03, 0.848002354E+00, 0.351650790E+00
 0.416220626E+03, 0.849323234E+00, 0.353816851E+00
 0.417379907E+03, 0.850632383E+00, 0.355981663E+00
 0.418539188E+03, 0.851929895E+00, 0.358145158E+00
 0.419698469E+03, 0.853215860E+00, 0.360307269E+00
 0.420857750E+03, 0.854490372E+00, 0.362467927E+00
 0.422017031E+03, 0.855753521E+00, 0.364627068E+00
 0.423176312E+03, 0.857005398E+00, 0.366784625E+00
 0.424335592E+03, 0.858246095E+00, 0.368940534E+00
 0.425494873E+03, 0.859475700E+00, 0.371094730E+00
 0.426654154E+03, 0.860694304E+00, 0.373247149E+00
 0.427813435E+03, 0.861901996E+00, 0.375397730E+00
 0.428972716E+03, 0.863098864E+00, 0.377546410E+00
 0.430131997E+03, 0.864284996E+00, 0.379693127E+00
 0.431291277E+03, 0.865460481E+00, 0.381837822E+00
 0.432450558E+03, 0.866625405E+00, 0.383980433E+00
 0.433609839E+03, 0.867779854E+00, 0.386120901E+00
 0.434769120E+03, 0.868923916E+00, 0.388259169E+00
 0.435928401E+03, 0.870057676E+00, 0.390395178E+00
 0.437087682E+03, 0.871181219E+00, 0.392528870E+00
 0.438246963E+03, 0.872294630E+00, 0.394660190E+00
 0.439406243E+03, 0.873397993E+00, 0.396789080E+00
 0.440565524E+03, 0.874491391E+00, 0.398915487E+00
 0.441724805E+03, 0.875574908E+00, 0.401039356E+00
 0.442884086E+03, 0.876648627E+00, 0.403160632E+00
 0.444043367E+03, 0.877712629E+00, 0.405279262E+00
 0.445202648E+03, 0.878766997E+00, 0.407395194E+00
 0.446361929E+03, 0.879811811E+00, 0.409508376E+00
 0.447521209E+03, 0.880847153E+00, 0.411618757E+00
 0.448680490E+03, 0.881873101E+00, 0.413726286E+00
 0.449839771E+03, 0.882889737E+00, 0.415830914E+00
 0.450999052E+03, 0.883897138E+00, 0.417932590E+00
 0.452158333E+03, 0.884895384E+00, 0.420031266E+00
 0.453317614E+03, 0.885884552E+00, 0.422126895E+00
 0.454476894E+03, 0.886864720E+00, 0.424219429E+00
 0.455636175E+03, 0.887835966E+00, 0.426308822E+00
 0.456795456E+03, 0.888798365E+00, 0.428395026E+00
 0.457954737E+03, 0.889751993E+00, 0.430477998E+00
 0.459114018E+03, 0.890696927E+00, 0.432557692E+00
 0.460273299E+03, 0.891633240E+00, 0.434634063E+00
 0.461432580E+03, 0.892561008E+00, 0.436707069E+00
 0.462591860E+03, 0.893480304E+00, 0.438776666E+00
 0.463751141E+03, 0.894391202E+00, 0.440842812E+00
 0.464910422E+03, 0.895293774E+00, 0.442905465E+00
 0.466069703E+03, 0.896188093E+00, 0.444964585E+00
 0.467228984E+03, 0.897074231E+00, 0.447020130E+00
 0.468388265E+03, 0.897952259E+00, 0.449072061E+00
 0.469547545E+03, 0.898822248E+00, 0.451120339E+00
 0.470706826E+03, 0.899684268E+00, 0.453164924E+00
 0.471866107E+03, 0.900538389E+00, 0.455205779E+00
 0.473025388E+03, 0.901384680E+00, 0.457242865E+00
 0.474184669E+03, 0.902223210E+00, 0.459276147E+00
 0.475343950E+03, 0.903054047E+00, 0.461305588E+00
 0.476503231E+03, 0.903877259E+00, 0.463331151E+00
 0.477662511E+03, 0.904692914E+00, 0.465352802E+00
 0.478821792E+03, 0.905501078E+00, 0.467370506E+00
 0.479981073E+03, 0.906301817E+00, 0.469384229E+00
 0.481140354E+03, 0.907095196E+00, 0.471393937E+00
 0.482299635E+03, 0.907881282E+00, 0.473399597E+00
 0.483458916E+03, 0.908660140E+00, 0.475401177E+00
 0.484618197E+03, 0.909431832E+00, 0.477398644E+00
 0.485777477E+03, 0.910196423E+00, 0.479391969E+00
 0.486936758E+03, 0.910953977E+00, 0.481381118E+00
 0.488096039E+03, 0.911704555E+00, 0.483366063E+00
 0.489255320E+03, 0.912448221E+00, 0.485346774E+00
 0.490414601E+03, 0.913185036E+00, 0.487323220E+00
 0.491573882E+03, 0.913915062E+00, 0.489295375E+00
 0.492733162E+03, 0.914638359E+00, 0.491263208E+00
 0.493892443E+03, 0.915354987E+00, 0.493226693E+00
 0.495051724E+03, 0.916065007E+00, 0.495185803E+00
 0.496211005E+03, 0.916768478E+00, 0.497140510E+00
 0.497370286E+03, 0.917465459E+00, 0.499090789E+00
 0.498529567E+03, 0.918156008E+00, 0.501036614E+00
 0.499688848E+03, 0.918840184E+00, 0.502977960E+00
 0.500848128E+03, 0.919518239E+00, 0.503946281E+00
 0.502007409E+03, 0.920191179E+00, 0.505883070E+00
 0.503166690E+03, 0.920859041E+00, 0.507818609E+00
 0.504325971E+03, 0.921521860E+00, 0.509752860E+00
 0.505485252E+03, 0.922179671E+00, 0.511685785E+00
 0.506644533E+03, 0.922832510E+00, 0.513617346E+00
 0.507803813E+03, 0.923480411E+00, 0.515547506E+00
 0.508963094E+03, 0.924123409E+00, 0.517476228E+00
 0.510122375E+03, 0.924761538E+00, 0.519403474E+00
 0.511281656E+03, 0.925394832E+00, 0.521329208E+00
 0.512440937E+03, 0.926023326E+00, 0.523253392E+00
 0.513600218E+03, 0.926647053E+00, 0.525175989E+00
 0.514759499E+03, 0.927266046E+00, 0.527096963E+00
 0.515918779E+03, 0.927880338E+00, 0.529016277E+00
 0.517078060E+03, 0.928489962E+00, 0.530933894E+00
 0.518237341E+03, 0.929094952E+00, 0.532849779E+00
 0.519396622E+03, 0.929695338E+00, 0.534763895E+00
 0.520555903E+03, 0.930291155E+00, 0.536676207E+00
 0.521715184E+03, 0.930882432E+00, 0.538586677E+00
 0.522874465E+03, 0.931469203E+00, 0.540495271E+00
 0.524033745E+03, 0.932051499E+00, 0.542401953E+00
 0.525193026E+03, 0.932629350E+00, 0.544306687E+00
 0.526352307E+03, 0.933202789E+00, 0.546209439E+00
 0.527511588E+03, 0.933771846E+00, 0.548110172E+00
 0.528670869E+03, 0.934336551E+00, 0.550008853E+00
 0.529830150E+03, 0.934896935E+00, 0.551905445E+00
 0.530989430E+03, 0.935453028E+00, 0.553799915E+00
 0.532148711E+03, 0.936004861E+00, 0.555692228E+00
 0.533307992E+03, 0.936552462E+00, 0.557582350E+00
 0.534467273E+03, 0.937095862E+00, 0.559470245E+00
 0.535626554E+03, 0.937635090E+00, 0.561355881E+00
 0.536785835E+03, 0.938170175E+00, 0.563239224E+00
 0.537945116E+03, 0.938701145E+00, 0.565120238E+00
 0.539104396E+03, 0.939228031E+00, 0.566998892E+00
 0.540263677E+03, 0.939750859E+00, 0.568875152E+00
 0.541422958E+03, 0.940269660E+00, 0.570748984E+00
 0.542582239E+03, 0.940784460E+00, 0.572620355E+00
 0.543741520E+03, 0.941295288E+00, 0.574489233E+00
 0.544900801E+03, 0.941802171E+00, 0.576355584E+00
