d (mu-m),CNF,CVF
 0.231894972E+03, 0.436440180E+00, 0.571941540E-01
 0.233054252E+03, 0.440534608E+00, 0.584050808E-01
 0.234213533E+03, 0.444615119E+00, 0.596299905E-01
 0.235372814E+03, 0.448681396E+00, 0.608688425E-01
 0.236532095E+03, 0.452733131E+00, 0.621215937E-01
 0.237691376E+03, 0.456770025E+00, 0.633881988E-01
 0.238850657E+03, 0.460791789E+00, 0.646686100E-01
 0.240009937E+03, 0.464798143E+00, 0.659627776E-01
 0.241169218E+03, 0.468788814E+00, 0.672706493E-01
 0.242328499E+03, 0.472763540E+00, 0.685921708E-01
 0.243487780E+03, 0.476722067E+00, 0.699272857E-01
 0.244647061E+03, 0.480664148E+00, 0.712759353E-01
 0.245806342E+03, 0.484589547E+00, 0.726380590E-01
 0.246965623E+03, 0.488498033E+00, 0.740135941E-01
 0.248124903E+03, 0.492389387E+00, 0.754024760E-01
 0.249284184E+03, 0.496263394E+00, 0.768046380E-01
 0.250443465E+03, 0.500119850E+00, 0.782200116E-01
 0.251602746E+03, 0.503958558E+00, 0.796485264E-01
 0.252762027E+03, 0.507779328E+00, 0.810901101E-01
 0.253921308E+03, 0.511581976E+00, 0.825446888E-01
 0.255080588E+03, 0.515366329E+00, 0.840121865E-01
 0.256239869E+03, 0.519132219E+00, 0.854925260E-01
 0.257399150E+03, 0.522879486E+00, 0.869856279E-01
 0.258558431E+03, 0.526607975E+00, 0.884914114E-01
 0.259717712E+03, 0.530317540E+00, 0.900097942E-01
 0.260876993E+03, 0.534008042E+00, 0.915406924E-01
 0.262036274E+03, 0.537679347E+00, 0.930840204E-01
 0.263195554E+03, 0.541331328E+00, 0.946396913E-01
 0.264354835E+03, 0.544963865E+00, 0.962076167E-01
 0.265514116E+03, 0.548576844E+00, 0.977877069E-01
 0.266673397E+03, 0.552170157E+00, 0.993798706E-01
 0.267832678E+03, 0.555743703E+00, 0.100984015E+00
 0.268991959E+03, 0.559297385E+00, 0.102600048E+00
 0.270151240E+03, 0.562831113E+00, 0.104227872E+00
 0.271310520E+03, 0.566344803E+00, 0.105867393E+00
 0.272469801E+03, 0.569838376E+00, 0.107518512E+00
 0.273629082E+03, 0.573311758E+00, 0.109181132E+00
 0.274788363E+03, 0.576764882E+00, 0.110855152E+00
 0.275947644E+03, 0.580197684E+00, 0.112540472E+00
 0.277106925E+03, 0.583610107E+00, 0.114236990E+00
 0.278266205E+03, 0.587002097E+00, 0.115944604E+00
 0.279425486E+03, 0.590373608E+00, 0.117663210E+00
 0.280584767E+03, 0.593724597E+00, 0.119392702E+00
 0.281744048E+03, 0.597055024E+00, 0.121132977E+00
 0.282903329E+03, 0.600364856E+00, 0.122883927E+00
 0.284062610E+03, 0.603654064E+00, 0.124645445E+00
 0.285221891E+03, 0.606922623E+00, 0.126417423E+00
 0.286381171E+03, 0.610170512E+00, 0.128199753E+00
 0.287540452E+03, 0.613397715E+00, 0.129992326E+00
 0.288699733E+03, 0.616604219E+00, 0.131795030E+00
 0.289859014E+03, 0.619790017E+00, 0.133607756E+00
 0.291018295E+03, 0.622955103E+00, 0.135430392E+00
 0.292177576E+03, 0.626099477E+00, 0.137262826E+00
 0.293336856E+03, 0.629223142E+00, 0.139104946E+00
 0.294496137E+03, 0.632326104E+00, 0.140956639E+00
 0.295655418E+03, 0.635408374E+00, 0.142817790E+00
 0.296814699E+03, 0.638469965E+00, 0.144688287E+00
 0.297973980E+03, 0.641510894E+00, 0.146568014E+00
 0.299133261E+03, 0.644531181E+00, 0.148456858E+00
 0.300292542E+03, 0.647530850E+00, 0.150354702E+00
 0.301451822E+03, 0.650509926E+00, 0.152261430E+00
 0.302611103E+03, 0.653468440E+00, 0.154176928E+00
 0.303770384E+03, 0.656406423E+00, 0.156101079E+00
 0.304929665E+03, 0.659323911E+00, 0.158033767E+00
 0.306088946E+03, 0.662220941E+00, 0.159974874E+00
 0.307248227E+03, 0.665097554E+00, 0.161924284E+00
 0.308407508E+03, 0.667953794E+00, 0.163881880E+00
 0.309566788E+03, 0.670789706E+00, 0.165847544E+00
 0.310726069E+03, 0.673605338E+00, 0.167821160E+00
 0.311885350E+03, 0.676400740E+00, 0.169802609E+00
 0.313044631E+03, 0.679175967E+00, 0.171791773E+00
 0.314203912E+03, 0.681931072E+00, 0.173788536E+00
 0.315363193E+03, 0.684666114E+00, 0.175792780E+00
 0.316522473E+03, 0.687381151E+00, 0.177804386E+00
 0.317681754E+03, 0.690076245E+00, 0.179823237E+00
 0.318841035E+03, 0.692751459E+00, 0.181849216E+00
 0.320000316E+03, 0.695406860E+00, 0.183882204E+00
 0.321159597E+03, 0.698042514E+00, 0.185922084E+00
 0.322318878E+03, 0.700658489E+00, 0.187968738E+00
 0.323478159E+03, 0.703254858E+00, 0.190022049E+00
 0.324637439E+03, 0.705831691E+00, 0.192081900E+00
 0.325796720E+03, 0.708389065E+00, 0.194148173E+00
 0.326956001E+03, 0.710927053E+00, 0.196220752E+00
 0.328115282E+03, 0.713445733E+00, 0.198299520E+00
 0.329274563E+03, 0.715945183E+00, 0.200384359E+00
 0.330433844E+03, 0.718425484E+00, 0.202475155E+00
 0.331593124E+03, 0.720886717E+00, 0.204571790E+00
 0.332752405E+03, 0.723328965E+00, 0.206674149E+00
 0.333911686E+03, 0.725752310E+00, 0.208782115E+00
 0.335070967E+03, 0.728156839E+00, 0.210895575E+00
 0.336230248E+03, 0.730542637E+00, 0.213014412E+00
 0.337389529E+03, 0.732909792E+00, 0.215138513E+00
 0.338548810E+03, 0.735258392E+00, 0.217267762E+00
 0.339708090E+03, 0.737588526E+00, 0.219402046E+00
 0.340867371E+03, 0.739900285E+00, 0.221541251E+00
 0.342026652E+03, 0.742193760E+00, 0.223685263E+00
 0.343185933E+03, 0.744469043E+00, 0.225833971E+00
 0.344345214E+03, 0.746726227E+00, 0.227987262E+00
 0.345504495E+03, 0.748965405E+00, 0.230145023E+00
 0.346663776E+03, 0.751186672E+00, 0.232307142E+00
 0.347823056E+03, 0.753390124E+00, 0.234473510E+00
 0.348982337E+03, 0.755575855E+00, 0.236644015E+00
 0.350141618E+03, 0.757743964E+00, 0.238818547E+00
 0.351300899E+03, 0.759894546E+00, 0.240996996E+00
 0.352460180E+03, 0.762027700E+00, 0.243179253E+00
 0.353619461E+03, 0.764143523E+00, 0.245365209E+00
 0.354778741E+03, 0.766242116E+00, 0.247554757E+00
 0.355938022E+03, 0.768323575E+00, 0.249747788E+00
 0.357097303E+03, 0.770388003E+00, 0.251944195E+00
 0.358256584E+03, 0.772435498E+00, 0.254143872E+00
 0.359415865E+03, 0.774466160E+00, 0.256346712E+00
 0.360575146E+03, 0.776480092E+00, 0.258552611E+00
 0.361734427E+03, 0.778477393E+00, 0.260761464E+00
 0.362893707E+03, 0.780458166E+00, 0.262973165E+00
 0.364052988E+03, 0.782422511E+00, 0.265187612E+00
 0.365212269E+03, 0.784370532E+00, 0.267404701E+00
 0.366371550E+03, 0.786302329E+00, 0.269624330E+00
 0.367530831E+03, 0.788218006E+00, 0.271846397E+00
 0.368690112E+03, 0.790117664E+00, 0.274070800E+00
 0.369849392E+03, 0.792001407E+00, 0.276297440E+00
 0.371008673E+03, 0.793869337E+00, 0.278526215E+00
 0.372167954E+03, 0.795721557E+00, 0.280757027E+00
 0.373327235E+03, 0.797558170E+00, 0.282989778E+00
 0.374486516E+03, 0.799379278E+00, 0.285224368E+00
 0.375645797E+03, 0.801184985E+00, 0.287460701E+00
 0.376805078E+03, 0.802975394E+00, 0.289698680E+00
 0.377964358E+03, 0.804750607E+00, 0.291938208E+00
 0.379123639E+03, 0.806510728E+00, 0.294179192E+00
 0.380282920E+03, 0.808255859E+00, 0.296421535E+00
 0.381442201E+03, 0.809986103E+00, 0.298665143E+00
 0.382601482E+03, 0.811701562E+00, 0.300909925E+00
 0.383760763E+03, 0.813402340E+00, 0.303155786E+00
 0.384920044E+03, 0.815088539E+00, 0.305402635E+00
 0.386079324E+03, 0.816760261E+00, 0.307650381E+00
 0.387238605E+03, 0.818417609E+00, 0.309898934E+00
 0.388397886E+03, 0.820060683E+00, 0.312148203E+00
 0.389557167E+03, 0.821689587E+00, 0.314398099E+00
 0.390716448E+03, 0.823304421E+00, 0.316648534E+00
 0.391875729E+03, 0.824905287E+00, 0.318899421E+00
 0.393035009E+03, 0.826492286E+00, 0.321150672E+00
 0.394194290E+03, 0.828065519E+00, 0.323402202E+00
 0.395353571E+03, 0.829625087E+00, 0.325653925E+00
 0.396512852E+03, 0.831171090E+00, 0.327905755E+00
 0.397672133E+03, 0.832703628E+00, 0.330157609E+00
 0.398831414E+03, 0.834222801E+00, 0.332409405E+00
 0.399990695E+03, 0.835728709E+00, 0.334661058E+00
 0.401149975E+03, 0.837221450E+00, 0.336912488E+00
 0.402309256E+03, 0.838701124E+00, 0.339163613E+00
 0.403468537E+03, 0.840167829E+00, 0.341414353E+00
 0.404627818E+03, 0.841621663E+00, 0.343664628E+00
 0.405787099E+03, 0.843062724E+00, 0.345914359E+00
 0.406946380E+03, 0.844491110E+00, 0.348163469E+00
 0.408105660E+03, 0.845906917E+00, 0.350411879E+00
 0.409264941E+03, 0.847310243E+00, 0.352659514E+00
 0.410424222E+03, 0.848701183E+00, 0.354906297E+00
 0.411583503E+03, 0.850079835E+00, 0.357152152E+00
 0.412742784E+03, 0.851446292E+00, 0.359397006E+00
 0.413902065E+03, 0.852800651E+00, 0.361640785E+00
 0.415061346E+03, 0.854143006E+00, 0.363883416E+00
 0.416220626E+03, 0.855473451E+00, 0.366124826E+00
 0.417379907E+03, 0.856792080E+00, 0.368364944E+00
 0.418539188E+03, 0.858098987E+00, 0.370603699E+00
 0.419698469E+03, 0.859394264E+00, 0.372841021E+00
 0.420857750E+03, 0.860678005E+00, 0.375076841E+00
 0.422017031E+03, 0.861950301E+00, 0.377311090E+00
 0.423176312E+03, 0.863211244E+00, 0.379543701E+00
 0.424335592E+03, 0.864460924E+00, 0.381774606E+00
 0.425494873E+03, 0.865699434E+00, 0.384003738E+00
 0.426654154E+03, 0.866926862E+00, 0.386231032E+00
 0.427813435E+03, 0.868143299E+00, 0.388456424E+00
 0.428972716E+03, 0.869348834E+00, 0.390679848E+00
 0.430131997E+03, 0.870543556E+00, 0.392901242E+00
 0.431291277E+03, 0.871727552E+00, 0.395120542E+00
 0.432450558E+03, 0.872900912E+00, 0.397337687E+00
 0.433609839E+03, 0.874063721E+00, 0.399552614E+00
 0.434769120E+03, 0.875216068E+00, 0.401765264E+00
 0.435928401E+03, 0.876358038E+00, 0.403975577E+00
 0.437087682E+03, 0.877489716E+00, 0.406183493E+00
 0.438246963E+03, 0.878611190E+00, 0.408388953E+00
 0.439406243E+03, 0.879722542E+00, 0.410591900E+00
 0.440565524E+03, 0.880823858E+00, 0.412792276E+00
 0.441724805E+03, 0.881915221E+00, 0.414990026E+00
 0.442884086E+03, 0.882996715E+00, 0.417185094E+00
 0.444043367E+03, 0.884068422E+00, 0.419377423E+00
 0.445202648E+03, 0.885130425E+00, 0.421566961E+00
 0.446361929E+03, 0.886182805E+00, 0.423753653E+00
 0.447521209E+03, 0.887225644E+00, 0.425937446E+00
 0.448680490E+03, 0.888259021E+00, 0.428118288E+00
 0.449839771E+03, 0.889283019E+00, 0.430296128E+00
 0.450999052E+03, 0.890297715E+00, 0.432470913E+00
 0.452158333E+03, 0.891303189E+00, 0.434642595E+00
 0.453317614E+03, 0.892299520E+00, 0.436811123E+00
 0.454476894E+03, 0.893286787E+00, 0.438976449E+00
 0.455636175E+03, 0.894265065E+00, 0.441138523E+00
 0.456795456E+03, 0.895234433E+00, 0.443297299E+00
 0.457954737E+03, 0.896194967E+00, 0.445452730E+00
 0.459114018E+03, 0.897146743E+00, 0.447604768E+00
 0.460273299E+03, 0.898089837E+00, 0.449753369E+00
 0.461432580E+03, 0.899024323E+00, 0.451898487E+00
 0.462591860E+03, 0.899950276E+00, 0.454040077E+00
 0.463751141E+03, 0.900867770E+00, 0.456178097E+00
 0.464910422E+03, 0.901776878E+00, 0.458312502E+00
 0.466069703E+03, 0.902677673E+00, 0.460443251E+00
 0.467228984E+03, 0.903570228E+00, 0.462570301E+00
 0.468388265E+03, 0.904454614E+00, 0.464693611E+00
 0.469547545E+03, 0.905330902E+00, 0.466813141E+00
 0.470706826E+03, 0.906199164E+00, 0.468928849E+00
 0.471866107E+03, 0.907059470E+00, 0.471040698E+00
 0.473025388E+03, 0.907911890E+00, 0.473148648E+00
 0.474184669E+03, 0.908756492E+00, 0.475252660E+00
 0.475343950E+03, 0.909593345E+00, 0.477352697E+00
 0.476503231E+03, 0.910422519E+00, 0.479448722E+00
 0.477662511E+03, 0.911244080E+00, 0.481540699E+00
 0.478821792E+03, 0.912058096E+00, 0.483628591E+00
 0.479981073E+03, 0.912864633E+00, 0.485712364E+00
 0.481140354E+03, 0.913663758E+00, 0.487791982E+00
 0.482299635E+03, 0.914455536E+00, 0.489867412E+00
 0.483458916E+03, 0.915240033E+00, 0.491938619E+00
 0.484618197E+03, 0.916017314E+00, 0.494005571E+00
 0.485777477E+03, 0.916787442E+00, 0.496068236E+00
 0.486936758E+03, 0.917550481E+00, 0.498126581E+00
 0.488096039E+03, 0.918306495E+00, 0.500180574E+00
 0.489255320E+03, 0.919055546E+00, 0.502230186E+00
 0.490414601E+03, 0.919797696E+00, 0.504275386E+00
 0.491573882E+03, 0.920533008E+00, 0.506316145E+00
 0.492733162E+03, 0.921261543E+00, 0.508352432E+00
 0.493892443E+03, 0.921983361E+00, 0.510384219E+00
 0.495051724E+03, 0.922698522E+00, 0.512411479E+00
 0.496211005E+03, 0.923407087E+00, 0.514434184E+00
 0.497370286E+03, 0.924109115E+00, 0.516452305E+00
 0.498529567E+03, 0.924804664E+00, 0.518465818E+00
 0.499688848E+03, 0.925493794E+00, 0.520474696E+00
 0.500848128E+03, 0.926176562E+00, 0.522478913E+00
 0.502007409E+03, 0.926853025E+00, 0.524478445E+00
 0.503166690E+03, 0.927523241E+00, 0.526473266E+00
 0.504325971E+03, 0.928187266E+00, 0.528463353E+00
 0.505485252E+03, 0.928845157E+00, 0.530448681E+00
 0.506644533E+03, 0.929496968E+00, 0.532429229E+00
 0.507803813E+03, 0.930142755E+00, 0.534404974E+00
 0.508963094E+03, 0.930782572E+00, 0.536375892E+00
 0.510122375E+03, 0.931416475E+00, 0.538341963E+00
 0.511281656E+03, 0.932044516E+00, 0.540303166E+00
 0.512440937E+03, 0.932666750E+00, 0.542259480E+00
 0.513600218E+03, 0.933283229E+00, 0.544210883E+00
 0.514759499E+03, 0.933894005E+00, 0.546157358E+00
 0.515918779E+03, 0.934499130E+00, 0.548098884E+00
 0.517078060E+03, 0.935098657E+00, 0.550035443E+00
 0.518237341E+03, 0.935692637E+00, 0.551967015E+00
 0.519396622E+03, 0.936281119E+00, 0.553893583E+00
 0.520555903E+03, 0.936864155E+00, 0.555815130E+00
 0.521715184E+03, 0.937441794E+00, 0.557731639E+00
 0.522874465E+03, 0.938014086E+00, 0.559643091E+00
 0.524033745E+03, 0.938581080E+00, 0.561549472E+00
 0.525193026E+03, 0.939142825E+00, 0.563450766E+00
 0.526352307E+03, 0.939699368E+00, 0.565346956E+00
 0.527511588E+03, 0.940250757E+00, 0.567238029E+00
 0.528670869E+03, 0.940797041E+00, 0.569123969E+00
 0.529830150E+03, 0.941338266E+00, 0.571004762E+00
 0.530989430E+03, 0.941874477E+00, 0.572880394E+00
 0.532148711E+03, 0.942405723E+00, 0.574750852E+00
 0.533307992E+03, 0.942932048E+00, 0.576616123E+00
 0.534467273E+03, 0.943453498E+00, 0.578476194E+00
 0.535626554E+03, 0.943970118E+00, 0.580331054E+00
 0.536785835E+03, 0.944481952E+00, 0.582180689E+00
 0.537945116E+03, 0.944989045E+00, 0.584025089E+00
 0.539104396E+03, 0.945491441E+00, 0.585864242E+00
 0.540263677E+03, 0.945989183E+00, 0.587698138E+00
 0.541422958E+03, 0.946482313E+00, 0.589526767E+00
 0.542582239E+03, 0.946970875E+00, 0.591350118E+00
 0.543741520E+03, 0.947454912E+00, 0.593168181E+00
 0.544900801E+03, 0.947934464E+00, 0.594980948E+00
