s,C,kg/m3,Pa,kg/kg,%,kJ,kJ
 4.9000001E-001, 2.5230951E+001, 1.2199083E+000, 4.4787797E+003, 1.3045694E-002, 5.4972657E+001, 5.9750905E+002, 2.2139148E+001
 5.0000000E-001, 2.5261601E+001, 1.2194421E+000, 4.4756521E+003, 1.3464285E-002, 5.6639758E+001, 5.9753428E+002, 2.2118714E+001
 5.0999999E-001, 2.5290797E+001, 1.2189788E+000, 4.4722396E+003, 1.3883382E-002, 5.8307866E+001, 5.9756064E+002, 2.2098091E+001
 5.1999998E-001, 2.5318622E+001, 1.2185224E+000, 4.4689117E+003, 1.4302226E-002, 5.9973956E+001, 5.9758656E+002, 2.2076995E+001
 5.2999997E-001, 2.5344756E+001, 1.2180736E+000, 4.4655306E+003, 1.4719240E-002, 6.1632894E+001, 5.9761755E+002, 2.2055707E+001
 5.4000002E-001, 2.5369872E+001, 1.2176353E+000, 4.4625718E+003, 1.5135010E-002, 6.3285279E+001, 5.9764682E+002, 2.2034316E+001
 5.5000001E-001, 2.5393229E+001, 1.2172076E+000, 4.4597269E+003, 1.5547797E-002, 6.4926851E+001, 5.9767637E+002, 2.2012605E+001
 5.6000000E-001, 2.5414858E+001, 1.2167938E+000, 4.4572431E+003, 1.5957622E-002, 6.6558096E+001, 5.9770282E+002, 2.1990754E+001
 5.6999999E-001, 2.5434609E+001, 1.2163899E+000, 4.4547171E+003, 1.6363443E-002, 6.8175788E+001, 5.9772960E+002, 2.1968638E+001
 5.7999998E-001, 2.5452168E+001, 1.2159987E+000, 4.4522240E+003, 1.6765251E-002, 6.9781664E+001, 5.9775768E+002, 2.1946228E+001
 5.8999997E-001, 2.5467565E+001, 1.2156194E+000, 4.4496493E+003, 1.7162025E-002, 7.1371986E+001, 5.9778583E+002, 2.1923567E+001
 6.0000002E-001, 2.5481026E+001, 1.2152500E+000, 4.4469670E+003, 1.7553659E-002, 7.2946051E+001, 5.9781600E+002, 2.1900604E+001
 6.1000001E-001, 2.5491738E+001, 1.2148971E+000, 4.4442903E+003, 1.7938871E-002, 7.4502446E+001, 5.9784752E+002, 2.1877373E+001
 6.2000000E-001, 2.5499956E+001, 1.2145593E+000, 4.4415551E+003, 1.8316685E-002, 7.6036802E+001, 5.9787807E+002, 2.1853858E+001
 6.3000000E-001, 2.5505910E+001, 1.2142403E+000, 4.4392357E+003, 1.8687688E-002, 7.7551250E+001, 5.9790699E+002, 2.1830079E+001
 6.3999999E-001, 2.5509002E+001, 1.2139366E+000, 4.4367111E+003, 1.9050764E-002, 7.9044379E+001, 5.9793836E+002, 2.1806093E+001
 6.4999998E-001, 2.5509872E+001, 1.2136513E+000, 4.4344678E+003, 1.9405411E-002, 8.0511977E+001, 5.9796753E+002, 2.1781903E+001
 6.6000003E-001, 2.5508138E+001, 1.2133848E+000, 4.4323715E+003, 1.9751178E-002, 8.1954466E+001, 5.9799635E+002, 2.1757446E+001
 6.7000002E-001, 2.5503839E+001, 1.2131360E+000, 4.4303169E+003, 2.0087619E-002, 8.3370419E+001, 5.9802458E+002, 2.1732809E+001
 6.8000001E-001, 2.5496897E+001, 1.2129066E+000, 4.4284000E+003, 2.0414478E-002, 8.4759732E+001, 5.9805406E+002, 2.1707961E+001
 6.9000000E-001, 2.5487208E+001, 1.2126945E+000, 4.4263981E+003, 2.0731466E-002, 8.6122263E+001, 5.9808613E+002, 2.1682827E+001
 6.9999999E-001, 2.5474879E+001, 1.2125025E+000, 4.4245520E+003, 2.1038065E-002, 8.7455906E+001, 5.9811833E+002, 2.1657534E+001
 7.0999998E-001, 2.5459827E+001, 1.2123320E+000, 4.4229468E+003, 2.1334171E-002, 8.8761141E+001, 5.9814909E+002, 2.1632047E+001
 7.2000003E-001, 2.5441962E+001, 1.2121809E+000, 4.4213613E+003, 2.1619431E-002, 9.0037430E+001, 5.9818049E+002, 2.1606340E+001
 7.3000002E-001, 2.5421183E+001, 1.2120476E+000, 4.4195710E+003, 2.1893423E-002, 9.1284013E+001, 5.9821281E+002, 2.1580415E+001
 7.4000001E-001, 2.5397640E+001, 1.2119354E+000, 4.4179213E+003, 2.2155803E-002, 9.2499127E+001, 5.9824195E+002, 2.1554266E+001
 7.5000000E-001, 2.5371297E+001, 1.2118431E+000, 4.4162936E+003, 2.2406788E-002, 9.3684258E+001, 5.9827601E+002, 2.1527943E+001
 7.5999999E-001, 2.5343083E+001, 1.2117717E+000, 4.4148004E+003, 2.2641485E-002, 9.4814347E+001, 5.9830690E+002, 2.1501418E+001
 7.6999998E-001, 2.5312669E+001, 1.2117173E+000, 4.4129778E+003, 2.2859880E-002, 9.5891167E+001, 5.9833862E+002, 2.1474641E+001
 7.7999997E-001, 2.5279681E+001, 1.2116810E+000, 4.4110924E+003, 2.3066655E-002, 9.6936467E+001, 5.9837121E+002, 2.1447591E+001
 7.9000002E-001, 2.5243734E+001, 1.2116658E+000, 4.4092475E+003, 2.3261161E-002, 9.7949816E+001, 5.9840063E+002, 2.1420384E+001
 8.0000001E-001, 2.5204982E+001, 1.2116717E+000, 4.4075136E+003, 2.3444319E-002, 9.8934450E+001, 5.9843586E+002, 2.1393102E+001
 8.1000000E-001, 2.5164027E+001, 1.2116990E+000, 4.4061324E+003, 2.3615788E-002, 9.9885769E+001, 5.9847382E+002, 2.1365676E+001
 8.1999999E-001, 2.5120225E+001, 1.2117427E+000, 4.4044299E+003, 2.3775367E-002, 1.0080656E+002, 5.9850629E+002, 2.1338030E+001
 8.2999998E-001, 2.5074034E+001, 1.2118048E+000, 4.4027406E+003, 2.3923243E-002, 1.0169513E+002, 5.9853861E+002, 2.1310234E+001
 8.3999997E-001, 2.5025431E+001, 1.2118826E+000, 4.4008509E+003, 2.4059541E-002, 1.0255214E+002, 5.9857782E+002, 2.1282261E+001
 8.5000002E-001, 2.4974444E+001, 1.2119789E+000, 4.3989775E+003, 2.4184119E-002, 1.0337679E+002, 5.9861500E+002, 2.1254196E+001
 8.6000001E-001, 2.4921560E+001, 1.2120948E+000, 4.3974511E+003, 2.4297700E-002, 1.0416929E+002, 5.9864939E+002, 2.1226030E+001
 8.7000000E-001, 2.4866622E+001, 1.2122261E+000, 4.3958271E+003, 2.4400009E-002, 1.0492923E+002, 5.9868203E+002, 2.1197718E+001
 8.8000000E-001, 2.4809743E+001, 1.2123752E+000, 4.3943339E+003, 2.4490997E-002, 1.0565558E+002, 5.9871460E+002, 2.1169037E+001
 8.8999999E-001, 2.4751262E+001, 1.2125377E+000, 4.3927951E+003, 2.4570936E-002, 1.0634730E+002, 5.9875079E+002, 2.1140297E+001
 8.9999998E-001, 2.4690668E+001, 1.2127165E+000, 4.3911889E+003, 2.4639884E-002, 1.0700745E+002, 5.9878706E+002, 2.1111435E+001
 9.1000003E-001, 2.4628200E+001, 1.2129082E+000, 4.3893823E+003, 2.4698309E-002, 1.0763640E+002, 5.9882450E+002, 2.1082677E+001
 9.2000002E-001, 2.4564530E+001, 1.2131177E+000, 4.3880301E+003, 2.4746173E-002, 1.0822968E+002, 5.9885718E+002, 2.1053886E+001
 9.3000001E-001, 2.4499495E+001, 1.2133400E+000, 4.3866789E+003, 2.4783972E-002, 1.0879010E+002, 5.9889290E+002, 2.1024993E+001
 9.4000000E-001, 2.4432958E+001, 1.2135722E+000, 4.3850290E+003, 2.4812030E-002, 1.0931960E+002, 5.9892904E+002, 2.0996012E+001
 9.4999999E-001, 2.4365621E+001, 1.2138196E+000, 4.3838100E+003, 2.4830446E-002, 1.0981397E+002, 5.9896190E+002, 2.0967080E+001
 9.5999998E-001, 2.4297156E+001, 1.2140772E+000, 4.3824751E+003, 2.4839526E-002, 1.1027622E+002, 5.9899853E+002, 2.0938071E+001
 9.7000003E-001, 2.4227816E+001, 1.2143450E+000, 4.3811488E+003, 2.4839522E-002, 1.1070551E+002, 5.9903427E+002, 2.0909075E+001
 9.8000002E-001, 2.4157835E+001, 1.2146232E+000, 4.3799321E+003, 2.4830780E-002, 1.1110155E+002, 5.9906787E+002, 2.0880058E+001
 9.9000001E-001, 2.4087218E+001, 1.2149101E+000, 4.3787141E+003, 2.4813666E-002, 1.1146555E+002, 5.9909904E+002, 2.0851014E+001
 1.0000000E+000, 2.4016094E+001, 1.2152049E+000, 4.3774940E+003, 2.4788521E-002, 1.1179783E+002, 5.9913216E+002, 2.0821949E+001
 1.0150000E+000, 2.3926657E+001, 1.2155839E+000, 4.3759658E+003, 2.4745929E-002, 1.1216748E+002, 5.9917302E+002, 2.0785598E+001
 1.0250000E+000, 2.3836894E+001, 1.2159720E+000, 4.3744341E+003, 2.4692731E-002, 1.1249200E+002, 5.9921586E+002, 2.0749239E+001
 1.0350000E+000, 2.3764959E+001, 1.2162879E+000, 4.3731115E+003, 2.4642160E-002, 1.1271631E+002, 5.9924867E+002, 2.0719968E+001
 1.0450000E+000, 2.3693091E+001, 1.2166072E+000, 4.3717001E+003, 2.4585125E-002, 1.1291067E+002, 5.9928353E+002, 2.0690648E+001
 1.0549999E+000, 2.3620971E+001, 1.2169302E+000, 4.3701697E+003, 2.4522909E-002, 1.1308267E+002, 5.9932169E+002, 2.0661424E+001
 1.0650001E+000, 2.3548896E+001, 1.2172587E+000, 4.3689483E+003, 2.4457966E-002, 1.1324149E+002, 5.9935798E+002, 2.0632228E+001
 1.0750000E+000, 2.3477224E+001, 1.2175863E+000, 4.3674435E+003, 2.4387193E-002, 1.1337025E+002, 5.9939210E+002, 2.0603011E+001
 1.0850000E+000, 2.3406194E+001, 1.2179179E+000, 4.3661049E+003, 2.4310732E-002, 1.1346775E+002, 5.9942991E+002, 2.0573909E+001
 1.0950000E+000, 2.3335931E+001, 1.2182501E+000, 4.3647685E+003, 2.4229075E-002, 1.1353514E+002, 5.9946352E+002, 2.0544828E+001
 1.1050000E+000, 2.3266510E+001, 1.2185825E+000, 4.3634324E+003, 2.4142564E-002, 1.1357326E+002, 5.9949908E+002, 2.0515803E+001
 1.1150000E+000, 2.3198096E+001, 1.2189154E+000, 4.3622055E+003, 2.4051637E-002, 1.1358281E+002, 5.9953559E+002, 2.0486833E+001
 1.1250000E+000, 2.3130576E+001, 1.2192470E+000, 4.3609710E+003, 2.3957522E-002, 1.1357007E+002, 5.9956987E+002, 2.0457921E+001
 1.1350000E+000, 2.3063898E+001, 1.2195765E+000, 4.3597295E+003, 2.3861511E-002, 1.1354134E+002, 5.9960260E+002, 2.0429071E+001
 1.1450000E+000, 2.2998082E+001, 1.2199024E+000, 4.3583682E+003, 2.3764003E-002, 1.1349829E+002, 5.9963818E+002, 2.0400253E+001
 1.1550000E+000, 2.2933299E+001, 1.2202251E+000, 4.3570080E+003, 2.3665232E-002, 1.1344083E+002, 5.9967148E+002, 2.0371516E+001
 1.1650000E+000, 2.2869707E+001, 1.2205450E+000, 4.3557558E+003, 2.3565452E-002, 1.1336910E+002, 5.9970726E+002, 2.0342846E+001
 1.1750000E+000, 2.2807334E+001, 1.2208605E+000, 4.3544940E+003, 2.3464960E-002, 1.1328430E+002, 5.9974518E+002, 2.0314217E+001
 1.1849999E+000, 2.2745996E+001, 1.2211697E+000, 4.3530252E+003, 2.3363971E-002, 1.1318861E+002, 5.9978082E+002, 2.0285629E+001
 1.1950001E+000, 2.2686409E+001, 1.2214748E+000, 4.3517665E+003, 2.3262332E-002, 1.1307667E+002, 5.9981613E+002, 2.0257151E+001
 1.2050000E+000, 2.2628530E+001, 1.2217740E+000, 4.3505028E+003, 2.3159163E-002, 1.1294444E+002, 5.9984985E+002, 2.0228769E+001
 1.2150000E+000, 2.2572394E+001, 1.2220661E+000, 4.3491577E+003, 2.3054689E-002, 1.1279274E+002, 5.9988086E+002, 2.0200157E+001
 1.2250000E+000, 2.2518086E+001, 1.2223516E+000, 4.3478188E+003, 2.2949170E-002, 1.1262227E+002, 5.9991510E+002, 2.0171891E+001
 1.2350000E+000, 2.2465690E+001, 1.2226307E+000, 4.3465477E+003, 2.2842868E-002, 1.1243376E+002, 5.9995064E+002, 2.0143737E+001
 1.2450000E+000, 2.2415129E+001, 1.2229012E+000, 4.3451519E+003, 2.2736125E-002, 1.1222940E+002, 5.9998759E+002, 2.0115654E+001
 1.2550000E+000, 2.2366521E+001, 1.2231638E+000, 4.3437583E+003, 2.2629187E-002, 1.1200966E+002, 6.0002166E+002, 2.0087699E+001
 1.2650000E+000, 2.2319956E+001, 1.2234192E+000, 4.3424673E+003, 2.2522310E-002, 1.1177532E+002, 6.0005164E+002, 2.0059820E+001
 1.2750000E+000, 2.2275252E+001, 1.2236643E+000, 4.3409642E+003, 2.2415819E-002, 1.1152918E+002, 6.0008879E+002, 2.0032032E+001
 1.2850000E+000, 2.2232682E+001, 1.2239026E+000, 4.3396639E+003, 2.2309874E-002, 1.1127039E+002, 6.0012209E+002, 2.0004410E+001
 1.2950000E+000, 2.2192136E+001, 1.2241318E+000, 4.3383542E+003, 2.2204734E-002, 1.1100106E+002, 6.0015646E+002, 1.9976914E+001
 1.3049999E+000, 2.2153616E+001, 1.2243519E+000, 4.3370364E+003, 2.2100611E-002, 1.1072232E+002, 6.0018814E+002, 1.9949538E+001
 1.3150001E+000, 2.2117125E+001, 1.2245627E+000, 4.3356999E+003, 2.1997715E-002, 1.1043532E+002, 6.0021641E+002, 1.9922264E+001
 1.3250000E+000, 2.2082190E+001, 1.2247623E+000, 4.3340495E+003, 2.1895998E-002, 1.1014292E+002, 6.0024788E+002, 1.9895036E+001
 1.3350000E+000, 2.2049469E+001, 1.2249517E+000, 4.3324131E+003, 2.1796096E-002, 1.0984429E+002, 6.0028302E+002, 1.9867952E+001
 1.3450000E+000, 2.2019092E+001, 1.2251338E+000, 4.3310869E+003, 2.1698068E-002, 1.0953909E+002, 6.0031702E+002, 1.9841054E+001
 1.3550000E+000, 2.1990713E+001, 1.2253061E+000, 4.3297590E+003, 2.1601985E-002, 1.0922998E+002, 6.0035210E+002, 1.9814301E+001
 1.3650000E+000, 2.1964309E+001, 1.2254686E+000, 4.3284235E+003, 2.1508007E-002, 1.0891806E+002, 6.0038513E+002, 1.9787691E+001
 1.3750000E+000, 2.1939852E+001, 1.2256213E+000, 4.3270880E+003, 2.1416378E-002, 1.0860487E+002, 6.0041745E+002, 1.9761194E+001
 1.3850000E+000, 2.1916970E+001, 1.2257605E+000, 4.3252839E+003, 2.1327221E-002, 1.0829349E+002, 6.0045071E+002, 1.9734759E+001
 1.3950000E+000, 2.1896441E+001, 1.2258935E+000, 4.3239574E+003, 2.1240645E-002, 1.0797981E+002, 6.0048222E+002, 1.9708502E+001
 1.4050000E+000, 2.1877601E+001, 1.2260149E+000, 4.3224234E+003, 2.1156601E-002, 1.0766781E+002, 6.0051705E+002, 1.9682387E+001
 1.4150000E+000, 2.1860946E+001, 1.2261278E+000, 4.3210765E+003, 2.1075379E-002, 1.0735608E+002, 6.0054863E+002, 1.9656460E+001
 1.4250000E+000, 2.1846161E+001, 1.2262307E+000, 4.3197282E+003, 2.0996915E-002, 1.0704635E+002, 6.0058180E+002, 1.9630703E+001
 1.4349999E+000, 2.1833122E+001, 1.2263231E+000, 4.3182618E+003, 2.0921254E-002, 1.0673973E+002, 6.0061302E+002, 1.9605058E+001
 1.4450001E+000, 2.1821895E+001, 1.2264058E+000, 4.3167951E+003, 2.0848440E-002, 1.0643617E+002, 6.0064439E+002, 1.9579601E+001
 1.4550000E+000, 2.1812455E+001, 1.2264788E+000, 4.3153194E+003, 2.0778544E-002, 1.0613630E+002, 6.0067498E+002, 1.9554263E+001
 1.4650000E+000, 2.1804715E+001, 1.2265427E+000, 4.3138429E+003, 2.0711548E-002, 1.0584067E+002, 6.0070558E+002, 1.9529086E+001
 1.4750000E+000, 2.1798546E+001, 1.2265965E+000, 4.3122485E+003, 2.0647465E-002, 1.0555022E+002, 6.0073948E+002, 1.9504056E+001
 1.4850000E+000, 2.1794128E+001, 1.2266435E+000, 4.3108765E+003, 2.0586301E-002, 1.0526399E+002, 6.0077033E+002, 1.9479208E+001
 1.4950000E+000, 2.1791251E+001, 1.2266819E+000, 4.3094951E+003, 2.0528073E-002, 1.0498344E+002, 6.0079719E+002, 1.9454520E+001
 1.5050000E+000, 2.1789784E+001, 1.2267109E+000, 4.3079963E+003, 2.0472779E-002, 1.0470939E+002, 6.0082700E+002, 1.9429952E+001
 1.5150000E+000, 2.1789754E+001, 1.2267318E+000, 4.3064953E+003, 2.0420350E-002, 1.0444142E+002, 6.0085859E+002, 1.9405573E+001
 1.5250000E+000, 2.1791195E+001, 1.2267458E+000, 4.3051022E+003, 2.0370740E-002, 1.0417915E+002, 6.0089088E+002, 1.9381138E+001
 1.5350000E+000, 2.1793873E+001, 1.2267511E+000, 4.3035788E+003, 2.0323930E-002, 1.0392393E+002, 6.0092180E+002, 1.9356967E+001
 1.5450000E+000, 2.1797806E+001, 1.2267492E+000, 4.3020498E+003, 2.0279813E-002, 1.0367515E+002, 6.0095110E+002, 1.9333050E+001
 1.5549999E+000, 2.1802973E+001, 1.2267404E+000, 4.3005474E+003, 2.0238389E-002, 1.0343298E+002, 6.0097899E+002, 1.9309287E+001
 1.5650001E+000, 2.1809410E+001, 1.2267257E+000, 4.2991529E+003, 2.0199637E-002, 1.0319714E+002, 6.0100506E+002, 1.9285686E+001
 1.5750000E+000, 2.1816939E+001, 1.2267045E+000, 4.2977544E+003, 2.0163476E-002, 1.0296830E+002, 6.0103395E+002, 1.9262243E+001
 1.5850000E+000, 2.1825496E+001, 1.2266772E+000, 4.2963520E+003, 2.0129862E-002, 1.0274663E+002, 6.0106313E+002, 1.9238961E+001
 1.5950000E+000, 2.1835015E+001, 1.2266440E+000, 4.2949458E+003, 2.0098741E-002, 1.0253227E+002, 6.0109080E+002, 1.9215842E+001
 1.6050000E+000, 2.1845429E+001, 1.2266052E+000, 4.2935363E+003, 2.0070057E-002, 1.0232532E+002, 6.0111888E+002, 1.9192883E+001
 1.6150000E+000, 2.1856674E+001, 1.2265612E+000, 4.2921258E+003, 2.0043751E-002, 1.0212588E+002, 6.0114890E+002, 1.9170049E+001
 1.6250000E+000, 2.1868295E+001, 1.2265090E+000, 4.2902766E+003, 2.0019695E-002, 1.0193595E+002, 6.0117918E+002, 1.9147302E+001
 1.6350000E+000, 2.1881039E+001, 1.2264557E+000, 4.2888890E+003, 1.9997964E-002, 1.0175155E+002, 6.0120666E+002, 1.9124775E+001
 1.6450000E+000, 2.1894358E+001, 1.2263972E+000, 4.2873891E+003, 1.9978389E-002, 1.0157501E+002, 6.0123390E+002, 1.9102278E+001
 1.6550000E+000, 2.1908087E+001, 1.2263333E+000, 4.2856911E+003, 1.9960822E-002, 1.0140653E+002, 6.0126230E+002, 1.9080010E+001
 1.6650000E+000, 2.1922580E+001, 1.2262683E+000, 4.2843063E+003, 1.9945279E-002, 1.0124413E+002, 6.0129161E+002, 1.9057975E+001
 1.6750000E+000, 2.1937510E+001, 1.2262000E+000, 4.2829146E+003, 1.9931689E-002, 1.0108934E+002, 6.0132095E+002, 1.9036126E+001
 1.6849999E+000, 2.1952818E+001, 1.2261287E+000, 4.2815190E+003, 1.9920015E-002, 1.0094228E+002, 6.0134722E+002, 1.9014453E+001
 1.6950001E+000, 2.1963850E+001, 1.2260546E+000, 4.2801212E+003, 1.9936476E-002, 1.0096237E+002, 6.0137475E+002, 1.8992951E+001
 1.7050000E+000, 2.1973494E+001, 1.2259780E+000, 4.2787232E+003, 1.9964342E-002, 1.0104811E+002, 6.0140070E+002, 1.8971576E+001
 1.7150000E+000, 2.1983697E+001, 1.2258973E+000, 4.2771123E+003, 1.9991305E-002, 1.0112595E+002, 6.0142835E+002, 1.8950328E+001
 1.7250000E+000, 2.1994460E+001, 1.2258148E+000, 4.2755079E+003, 2.0017525E-002, 1.0119668E+002, 6.0145426E+002, 1.8929263E+001
