D_USER,USER,D_LOGNORMAL,LOGNORMAL,D_ROSIN-RAMMLER-LOGNORMAL,ROSIN-RAMMLER-LOGNORMAL,D_ROSIN-RAMMLER,ROSIN-RAMMLER,D_USER_D30,USER_D30,D_LOGNORMAL_D30,LOGNORMAL_D30,D_ROSIN-RAMMLER-LOGNORMAL_D30,ROSIN-RAMMLER-LOGNORMAL_D30,D_ROSIN-RAMMLER_D30,ROSIN-RAMMLER_D30
 1.3100000E+003, 1.0000000E+000, 1.3100000E+003, 1.0000000E+000, 1.3100000E+003, 1.0000000E+000, 1.3100000E+003, 1.0000000E+000, 1.3100000E+003, 1.0000000E+000, 1.3100000E+003, 1.0000000E+000, 1.3100000E+003, 1.0000000E+000, 1.3100000E+003, 1.0000000E+000
 1.3300000E+003, 1.0000000E+000, 1.3300000E+003, 1.0000000E+000, 1.3300000E+003, 1.0000000E+000, 1.3300000E+003, 1.0000000E+000, 1.3300000E+003, 1.0000000E+000, 1.3300000E+003, 1.0000000E+000, 1.3300000E+003, 1.0000000E+000, 1.3300000E+003, 1.0000000E+000
 1.3500000E+003, 1.0000000E+000, 1.3500000E+003, 1.0000000E+000, 1.3500000E+003, 1.0000000E+000, 1.3500000E+003, 1.0000000E+000, 1.3500000E+003, 1.0000000E+000, 1.3500000E+003, 1.0000000E+000, 1.3500000E+003, 1.0000000E+000, 1.3500000E+003, 1.0000000E+000
 1.3700000E+003, 1.0000000E+000, 1.3700000E+003, 1.0000000E+000, 1.3700000E+003, 1.0000000E+000, 1.3700000E+003, 1.0000000E+000, 1.3700000E+003, 1.0000000E+000, 1.3700000E+003, 1.0000000E+000, 1.3700000E+003, 1.0000000E+000, 1.3700000E+003, 1.0000000E+000
 1.3900000E+003, 1.0000000E+000, 1.3900000E+003, 1.0000000E+000, 1.3900000E+003, 1.0000000E+000, 1.3900000E+003, 1.0000000E+000, 1.3900000E+003, 1.0000000E+000, 1.3900000E+003, 1.0000000E+000, 1.3900000E+003, 1.0000000E+000, 1.3900000E+003, 1.0000000E+000
 1.4100000E+003, 1.0000000E+000, 1.4100000E+003, 1.0000000E+000, 1.4100000E+003, 1.0000000E+000, 1.4100000E+003, 1.0000000E+000, 1.4100000E+003, 1.0000000E+000, 1.4100000E+003, 1.0000000E+000, 1.4100000E+003, 1.0000000E+000, 1.4100000E+003, 1.0000000E+000
 1.4300000E+003, 1.0000000E+000, 1.4300000E+003, 1.0000000E+000, 1.4300000E+003, 1.0000000E+000, 1.4300000E+003, 1.0000000E+000, 1.4300000E+003, 1.0000000E+000, 1.4300000E+003, 1.0000000E+000, 1.4300000E+003, 1.0000000E+000, 1.4300000E+003, 1.0000000E+000
 1.4500000E+003, 1.0000000E+000, 1.4500000E+003, 1.0000000E+000, 1.4500000E+003, 1.0000000E+000, 1.4500000E+003, 1.0000000E+000, 1.4500000E+003, 1.0000000E+000, 1.4500000E+003, 1.0000000E+000, 1.4500000E+003, 1.0000000E+000, 1.4500000E+003, 1.0000000E+000
 1.4700000E+003, 1.0000000E+000, 1.4700000E+003, 1.0000000E+000, 1.4700000E+003, 1.0000000E+000, 1.4700000E+003, 1.0000000E+000, 1.4700000E+003, 1.0000000E+000, 1.4700000E+003, 1.0000000E+000, 1.4700000E+003, 1.0000000E+000, 1.4700000E+003, 1.0000000E+000
 1.4900000E+003, 1.0000000E+000, 1.4900000E+003, 1.0000000E+000, 1.4900000E+003, 1.0000000E+000, 1.4900000E+003, 1.0000000E+000, 1.4900000E+003, 1.0000000E+000, 1.4900000E+003, 1.0000000E+000, 1.4900000E+003, 1.0000000E+000, 1.4900000E+003, 1.0000000E+000
 1.5100000E+003, 1.0000000E+000, 1.5100000E+003, 1.0000000E+000, 1.5100000E+003, 1.0000000E+000, 1.5100000E+003, 1.0000000E+000, 1.5100000E+003, 1.0000000E+000, 1.5100000E+003, 1.0000000E+000, 1.5100000E+003, 1.0000000E+000, 1.5100000E+003, 1.0000000E+000
 1.5300000E+003, 1.0000000E+000, 1.5300000E+003, 1.0000000E+000, 1.5300000E+003, 1.0000000E+000, 1.5300000E+003, 1.0000000E+000, 1.5300000E+003, 1.0000000E+000, 1.5300000E+003, 1.0000000E+000, 1.5300000E+003, 1.0000000E+000, 1.5300000E+003, 1.0000000E+000
 1.5500000E+003, 1.0000000E+000, 1.5500000E+003, 1.0000000E+000, 1.5500000E+003, 1.0000000E+000, 1.5500000E+003, 1.0000000E+000, 1.5500000E+003, 1.0000000E+000, 1.5500000E+003, 1.0000000E+000, 1.5500000E+003, 1.0000000E+000, 1.5500000E+003, 1.0000000E+000
 1.5700000E+003, 1.0000000E+000, 1.5700000E+003, 1.0000000E+000, 1.5700000E+003, 1.0000000E+000, 1.5700000E+003, 1.0000000E+000, 1.5700000E+003, 1.0000000E+000, 1.5700000E+003, 1.0000000E+000, 1.5700000E+003, 1.0000000E+000, 1.5700000E+003, 1.0000000E+000
 1.5900000E+003, 1.0000000E+000, 1.5900000E+003, 1.0000000E+000, 1.5900000E+003, 1.0000000E+000, 1.5900000E+003, 1.0000000E+000, 1.5900000E+003, 1.0000000E+000, 1.5900000E+003, 1.0000000E+000, 1.5900000E+003, 1.0000000E+000, 1.5900000E+003, 1.0000000E+000
 1.6100000E+003, 1.0000000E+000, 1.6100000E+003, 1.0000000E+000, 1.6100000E+003, 1.0000000E+000, 1.6100000E+003, 1.0000000E+000, 1.6100000E+003, 1.0000000E+000, 1.6100000E+003, 1.0000000E+000, 1.6100000E+003, 1.0000000E+000, 1.6100000E+003, 1.0000000E+000
 1.6300000E+003, 1.0000000E+000, 1.6300000E+003, 1.0000000E+000, 1.6300000E+003, 1.0000000E+000, 1.6300000E+003, 1.0000000E+000, 1.6300000E+003, 1.0000000E+000, 1.6300000E+003, 1.0000000E+000, 1.6300000E+003, 1.0000000E+000, 1.6300000E+003, 1.0000000E+000
 1.6500000E+003, 1.0000000E+000, 1.6500000E+003, 1.0000000E+000, 1.6500000E+003, 1.0000000E+000, 1.6500000E+003, 1.0000000E+000, 1.6500000E+003, 1.0000000E+000, 1.6500000E+003, 1.0000000E+000, 1.6500000E+003, 1.0000000E+000, 1.6500000E+003, 1.0000000E+000
 1.6700000E+003, 1.0000000E+000, 1.6700000E+003, 1.0000000E+000, 1.6700000E+003, 1.0000000E+000, 1.6700000E+003, 1.0000000E+000, 1.6700000E+003, 1.0000000E+000, 1.6700000E+003, 1.0000000E+000, 1.6700000E+003, 1.0000000E+000, 1.6700000E+003, 1.0000000E+000
