s,kW,kW,kW,kW,kW,kW,,kJ
 2.2059624E+001,-6.4797939E-003,-6.4796239E-003,-6.4800052E-003,-6.4785799E-003,-6.4797685E-003,-6.4794624E-003, 8.5764064E-001, 1.1270512E+000
 2.3028587E+001,-6.4795230E-003,-6.4790650E-003,-6.4801542E-003,-6.4784092E-003,-6.4795397E-003,-6.4795305E-003, 8.9531010E-001, 1.1807998E+000
 2.4072086E+001,-6.4797003E-003,-6.4797668E-003,-6.4801922E-003,-6.4791326E-003,-6.4796281E-003,-6.4795228E-003, 9.3587918E-001, 1.2344707E+000
 2.5041048E+001,-6.4797436E-003,-6.4800367E-003,-6.4799390E-003,-6.4785745E-003,-6.4795492E-003,-6.4796482E-003, 9.7355009E-001, 1.2880685E+000
 2.6010011E+001,-6.4798655E-003,-6.4793156E-003,-6.4806951E-003,-6.4783797E-003,-6.4797425E-003,-6.4796687E-003, 1.0112211E+000, 1.3396020E+000
 2.7053509E+001,-6.4795356E-003,-6.4796582E-003,-6.4801677E-003,-6.4784836E-003,-6.4791813E-003,-6.4796134E-003, 1.0517887E+000, 1.3930219E+000
 2.8022472E+001,-6.4792718E-003,-6.4795592E-003,-6.4800391E-003,-6.4787658E-003,-6.4796361E-003,-6.4796986E-003, 1.0894591E+000, 1.4463417E+000
 2.9065971E+001,-6.4795988E-003,-6.4792434E-003,-6.4802968E-003,-6.4787409E-003,-6.4798428E-003,-6.4793886E-003, 1.1300273E+000, 1.4995700E+000
 3.0034933E+001,-6.4797270E-003,-6.4795040E-003,-6.4798839E-003,-6.4784648E-003,-6.4793056E-003,-6.4792333E-003, 1.1676969E+000, 1.5527053E+000
 3.1003896E+001,-6.4794751E-003,-6.4793065E-003,-6.4804751E-003,-6.4788789E-003,-6.4794878E-003,-6.4794233E-003, 1.2053673E+000, 1.6037809E+000
 3.2047395E+001,-6.4789176E-003,-6.4797001E-003,-6.4805013E-003,-6.4785719E-003,-6.4795741E-003,-6.4795990E-003, 1.2459352E+000, 1.6567223E+000
 3.3016357E+001,-6.4794771E-003,-6.4794991E-003,-6.4800662E-003,-6.4781663E-003,-6.4794222E-003,-6.4792369E-003, 1.2836045E+000, 1.7095571E+000
 3.4059856E+001,-6.4795647E-003,-6.4795354E-003,-6.4798516E-003,-6.4788209E-003,-6.4799817E-003,-6.4797008E-003, 1.3241730E+000, 1.7622621E+000
 3.5028819E+001,-6.4792045E-003,-6.4793921E-003,-6.4803127E-003,-6.4787653E-003,-6.4793086E-003,-6.4796528E-003, 1.3618430E+000, 1.8148392E+000
 3.6072317E+001,-6.4799167E-003,-6.4795634E-003,-6.4799549E-003,-6.4790154E-003,-6.4793184E-003,-6.4795197E-003, 1.4024114E+000, 1.8673060E+000
 3.7041280E+001,-6.4799771E-003,-6.4796441E-003,-6.4800987E-003,-6.4786545E-003,-6.4795531E-003,-6.4795997E-003, 1.4400822E+000, 1.9196595E+000
 3.8010243E+001,-6.4795649E-003,-6.4793652E-003,-6.4804898E-003,-6.4785213E-003,-6.4798013E-003,-6.4798247E-003, 1.4777532E+000, 1.9699651E+000
 3.9053741E+001,-6.4795621E-003,-6.4797681E-003,-6.4798741E-003,-6.4787008E-003,-6.4795357E-003,-6.4797838E-003, 1.5183216E+000, 2.0220863E+000
 4.0022704E+001,-6.4799478E-003,-6.4799274E-003,-6.4798457E-003,-6.4789261E-003,-6.4793527E-003,-6.4795807E-003, 1.5559924E+000, 2.0740819E+000
 4.1066202E+001,-6.4797239E-003,-6.4793432E-003,-6.4792161E-003,-6.4787743E-003,-6.4797404E-003,-6.4797609E-003, 1.5965601E+000, 2.1259388E+000
 4.2035165E+001,-6.4798314E-003,-6.4796147E-003,-6.4805721E-003,-6.4786217E-003,-6.4796280E-003,-6.4797392E-003, 1.6342315E+000, 2.1776618E+000
 4.3004128E+001,-6.4795742E-003,-6.4797535E-003,-6.4804099E-003,-6.4787766E-003,-6.4795892E-003,-6.4797255E-003, 1.6719025E+000, 2.2273431E+000
 4.4047626E+001,-6.4797804E-003,-6.4798370E-003,-6.4802274E-003,-6.4790745E-003,-6.4799588E-003,-6.4796113E-003, 1.7124722E+000, 2.2788088E+000
 4.5016589E+001,-6.4798325E-003,-6.4792304E-003,-6.4796423E-003,-6.4787103E-003,-6.4800425E-003,-6.4797475E-003, 1.7501428E+000, 2.3301432E+000
 4.6060087E+001,-6.4793888E-003,-6.4797414E-003,-6.4807225E-003,-6.4788337E-003,-6.4795548E-003,-6.4797834E-003, 1.7907119E+000, 2.3813416E+000
 4.7029050E+001,-6.4800340E-003,-6.4797047E-003,-6.4801509E-003,-6.4787272E-003,-6.4799890E-003,-6.4795404E-003, 1.8283834E+000, 2.4324142E+000
 4.8072548E+001,-6.4791754E-003,-6.4794974E-003,-6.4800105E-003,-6.4787115E-003,-6.4795325E-003,-6.4797865E-003, 1.8689513E+000, 2.4833689E+000
 4.9041511E+001,-6.4796388E-003,-6.4791513E-003,-6.4798091E-003,-6.4787563E-003,-6.4795507E-003,-6.4798124E-003, 1.9066213E+000, 2.5342038E+000
 5.0010474E+001,-6.4795707E-003,-6.4795486E-003,-6.4798230E-003,-6.4791464E-003,-6.4788971E-003,-6.4790964E-003, 1.9442909E+000, 2.5830216E+000
 5.1053972E+001,-6.4792563E-003,-6.4793473E-003,-6.4800109E-003,-6.4788315E-003,-6.4799341E-003,-6.4798281E-003, 1.9848592E+000, 2.6335811E+000
 5.2022935E+001,-6.4795510E-003,-6.4794110E-003,-6.4795980E-003,-6.4789320E-003,-6.4793116E-003,-6.4796110E-003, 2.0225289E+000, 2.6840071E+000
 5.3066434E+001,-6.4795502E-003,-6.4791526E-003,-6.4798880E-003,-6.4792777E-003,-6.4796183E-003,-6.4790823E-003, 2.0630966E+000, 2.7342885E+000
 5.4035396E+001,-6.4793644E-003,-6.4798616E-003,-6.4800001E-003,-6.4792839E-003,-6.4792696E-003,-6.4799919E-003, 2.1007677E+000, 2.7844424E+000
 5.5004359E+001,-6.4792193E-003,-6.4794960E-003,-6.4795240E-003,-6.4794183E-003,-6.4793890E-003,-6.4791844E-003, 2.1384374E+000, 2.8326349E+000
 5.6047858E+001,-6.4798904E-003,-6.4792285E-003,-6.4796140E-003,-6.4797942E-003,-6.4799477E-003,-6.4793680E-003, 2.1790062E+000, 2.8825885E+000
 5.7016820E+001,-6.4789635E-003,-6.4795775E-003,-6.4797433E-003,-6.4802621E-003,-6.4792239E-003,-6.4798022E-003, 2.2166772E+000, 2.9324390E+000
 5.8060319E+001,-6.4797362E-003,-6.4797952E-003,-6.4799586E-003,-6.4810790E-003,-6.4793606E-003,-6.4795295E-003, 2.2572477E+000, 2.9821579E+000
 5.9029282E+001,-6.4795839E-003,-6.4788547E-003,-6.4795244E-003,-6.4814315E-003,-6.4797788E-003,-6.4789756E-003, 2.2949192E+000, 3.0317392E+000
 6.0072780E+001,-6.4791071E-003,-6.4794800E-003,-6.4800175E-003,-6.4818250E-003,-6.4792334E-003,-6.4798888E-003, 2.3354900E+000, 3.0811645E+000
 6.1041743E+001,-6.4796063E-003,-6.4795314E-003,-6.4798779E-003,-6.4824292E-003,-6.4793173E-003,-6.4792724E-003, 2.3731632E+000, 3.1304433E+000
 6.2010706E+001,-6.4795590E-003,-6.4790748E-003,-6.4797004E-003,-6.4814448E-003,-6.4794693E-003,-6.4789159E-003, 2.4108348E+000, 3.1777767E+000
 6.3054204E+001,-6.4790939E-003,-6.4791464E-003,-6.4799691E-003,-6.4796078E-003,-6.4791533E-003,-6.4800195E-003, 2.4514030E+000, 3.2268313E+000
 6.4023167E+001,-6.4795464E-003,-6.4799044E-003,-6.4801097E-003,-6.4796911E-003,-6.4793876E-003,-6.4792380E-003, 2.4890741E+000, 3.2757905E+000
 6.5066665E+001,-6.4794089E-003,-6.4790620E-003,-6.4796005E-003,-6.4796775E-003,-6.4795370E-003,-6.4788125E-003, 2.5296412E+000, 3.3246399E+000
 6.6035628E+001,-6.4790642E-003,-6.4794423E-003,-6.4801850E-003,-6.4795192E-003,-6.4790198E-003,-6.4800069E-003, 2.5673119E+000, 3.3733560E+000
 6.7004591E+001,-6.4793474E-003,-6.4796100E-003,-6.4801178E-003,-6.4797213E-003,-6.4793990E-003,-6.4792167E-003, 2.6049826E+000, 3.4201281E+000
 6.8048089E+001,-6.4795562E-003,-6.4791596E-003,-6.4796917E-003,-6.4796439E-003,-6.4796798E-003,-6.4789159E-003, 2.6455503E+000, 3.4685364E+000
 6.9017052E+001,-6.4789466E-003,-6.4791244E-003,-6.4800928E-003,-6.4795842E-003,-6.4788185E-003,-6.4799244E-003, 2.6832203E+000, 3.5167940E+000
 7.0060550E+001,-6.4791733E-003,-6.4795650E-003,-6.4801277E-003,-6.4796405E-003,-6.4793512E-003,-6.4790296E-003, 2.7237882E+000, 3.5649209E+000
 7.1029513E+001,-6.4794984E-003,-6.4788547E-003,-6.4795936E-003,-6.4796724E-003,-6.4793958E-003,-6.4788243E-003, 2.7614574E+000, 3.6129447E+000
 7.2073011E+001,-6.4789349E-003,-6.4790530E-003,-6.4799779E-003,-6.4795294E-003,-6.4788079E-003,-6.4796425E-003, 2.8020245E+000, 3.6608730E+000
 7.3041974E+001,-6.4793128E-003,-6.4795933E-003,-6.4801471E-003,-6.4796142E-003,-6.4794127E-003,-6.4790821E-003, 2.8396950E+000, 3.7086962E+000
 7.4010937E+001,-6.4792374E-003,-6.4787942E-003,-6.4797212E-003,-6.4796466E-003,-6.4794209E-003,-6.4786718E-003, 2.8773639E+000, 3.7546194E+000
 7.5054435E+001,-6.4788435E-003,-6.4791118E-003,-6.4800016E-003,-6.4794198E-003,-6.4786188E-003,-6.4796323E-003, 2.9179306E+000, 3.8021620E+000
 7.6023398E+001,-6.4793475E-003,-6.4792145E-003,-6.4801863E-003,-6.4795603E-003,-6.4792245E-003,-6.4789667E-003, 2.9556005E+000, 3.8495331E+000
 7.7066897E+001,-6.4791476E-003,-6.4789111E-003,-6.4798874E-003,-6.4796777E-003,-6.4793475E-003,-6.4789872E-003, 2.9961674E+000, 3.8967411E+000
 7.8035859E+001,-6.4787988E-003,-6.4788290E-003,-6.4801137E-003,-6.4795111E-003,-6.4785428E-003,-6.4794156E-003, 3.0338361E+000, 3.9438149E+000
 7.9004822E+001,-6.4793560E-003,-6.4791706E-003,-6.4802369E-003,-6.4795628E-003,-6.4792410E-003,-6.4787671E-003, 3.0715059E+000, 3.9890391E+000
 8.0048321E+001,-6.4787040E-003,-6.4789918E-003,-6.4800115E-003,-6.4795772E-003,-6.4793725E-003,-6.4789138E-003, 3.1120724E+000, 4.0359115E+000
 8.1017283E+001,-6.4790017E-003,-6.4789861E-003,-6.4800837E-003,-6.4795667E-003,-6.4785148E-003,-6.4795181E-003, 3.1497415E+000, 4.0826939E+000
 8.2060782E+001,-6.4792689E-003,-6.4791217E-003,-6.4801918E-003,-6.4795393E-003,-6.4793645E-003,-6.4787308E-003, 3.1903088E+000, 4.1293514E+000
 8.3029745E+001,-6.4787331E-003,-6.4789405E-003,-6.4799549E-003,-6.4797525E-003,-6.4792592E-003,-6.4789849E-003, 3.2279778E+000, 4.1758634E+000
 8.4073243E+001,-6.4791604E-003,-6.4789175E-003,-6.4800632E-003,-6.4795814E-003,-6.4784772E-003,-6.4793386E-003, 3.2685443E+000, 4.2222007E+000
 8.5042206E+001,-6.4793555E-003,-6.4791094E-003,-6.4802218E-003,-6.4796071E-003,-6.4791964E-003,-6.4789586E-003, 3.3062142E+000, 4.2683618E+000
 8.6011169E+001,-6.4787962E-003,-6.4790948E-003,-6.4799621E-003,-6.4797779E-003,-6.4794810E-003,-6.4788922E-003, 3.3438836E+000, 4.3126717E+000
 8.7054667E+001,-6.4792810E-003,-6.4790121E-003,-6.4800953E-003,-6.4796690E-003,-6.4785649E-003,-6.4793308E-003, 3.3844506E+000, 4.3585660E+000
 8.8023630E+001,-6.4791913E-003,-6.4790587E-003,-6.4801285E-003,-6.4796446E-003,-6.4792512E-003,-6.4788009E-003, 3.4221201E+000, 4.4043515E+000
 8.9067128E+001,-6.4789147E-003,-6.4792225E-003,-6.4801904E-003,-6.4798711E-003,-6.4794192E-003,-6.4791152E-003, 3.4626878E+000, 4.4500631E+000
 9.0036091E+001,-6.4791704E-003,-6.4789374E-003,-6.4800787E-003,-6.4798656E-003,-6.4785067E-003,-6.4792980E-003, 3.5003571E+000, 4.4956857E+000
 9.1005054E+001,-6.4791852E-003,-6.4790177E-003,-6.4801261E-003,-6.4797843E-003,-6.4791332E-003,-6.4789090E-003, 3.5380268E+000, 4.5394819E+000
 9.2048552E+001,-6.4789080E-003,-6.4791228E-003,-6.4800343E-003,-6.4799792E-003,-6.4794834E-003,-6.4789942E-003, 3.5785943E+000, 4.5848108E+000
 9.3017515E+001,-6.4792135E-003,-6.4790838E-003,-6.4800094E-003,-6.4798568E-003,-6.4786912E-003,-6.4792652E-003, 3.6162637E+000, 4.6299545E+000
 9.4061013E+001,-6.4792219E-003,-6.4788906E-003,-6.4800219E-003,-6.4798364E-003,-6.4791446E-003,-6.4788505E-003, 3.6568308E+000, 4.6749235E+000
 9.5029976E+001,-6.4789275E-003,-6.4792223E-003,-6.4799388E-003,-6.4800113E-003,-6.4794907E-003,-6.4790967E-003, 3.6945009E+000, 4.7197414E+000
 9.6073474E+001,-6.4791479E-003,-6.4790808E-003,-6.4799383E-003,-6.4799487E-003,-6.4786757E-003,-6.4792397E-003, 3.7350679E+000, 4.7644533E+000
 9.7042437E+001,-6.4792142E-003,-6.4788438E-003,-6.4799563E-003,-6.4798016E-003,-6.4791387E-003,-6.4787279E-003, 3.7727371E+000, 4.8090543E+000
 9.8011400E+001,-6.4788151E-003,-6.4790322E-003,-6.4799291E-003,-6.4800356E-003,-6.4792909E-003,-6.4791593E-003, 3.8104067E+000, 4.8519417E+000
 9.9054898E+001,-6.4791583E-003,-6.4791695E-003,-6.4799528E-003,-6.4798735E-003,-6.4787727E-003,-6.4792577E-003, 3.8509739E+000, 4.8964060E+000
 1.0000000E+002,-6.4793168E-003,-6.4788669E-003,-6.4799218E-003,-6.4798563E-003,-6.4792042E-003,-6.4788004E-003, 3.8877155E+000, 4.9401678E+000
