s,Pa,Pa,Pa,s,s,s
FDS Time,"pres_1","pres_2","pres_3","door 1","door 2","door 3"
 1.3676318E+001, 3.2971264E+003, 3.0844999E+003, 8.8163880E-002, 1.3676318E+001, 1.3676318E+001, 1.3676318E+001
 1.3880442E+001, 3.2685793E+003, 3.0985772E+003, 8.4571664E-002, 1.3880442E+001, 1.3880442E+001, 1.3880442E+001
 1.4084566E+001, 3.2456741E+003, 3.1097166E+003, 8.0276534E-002, 1.4084566E+001, 1.4084566E+001, 1.4084566E+001
 1.4288691E+001, 3.2272777E+003, 3.1185034E+003, 7.5103521E-002, 1.4288690E+001, 1.4288690E+001, 1.4288690E+001
 1.4492814E+001, 3.2124853E+003, 3.1254073E+003, 6.8930080E-002, 1.4492814E+001, 1.4492814E+001, 1.4492814E+001
 1.4696939E+001, 3.2005740E+003, 3.1308052E+003, 6.1712406E-002, 1.4696938E+001, 1.4696938E+001, 1.4696938E+001
 1.4901063E+001, 3.1909657E+003, 3.1350002E+003, 5.3495465E-002, 1.4901063E+001, 1.4901063E+001, 1.4901063E+001
 1.5105186E+001, 3.1831979E+003, 3.1382362E+003, 4.4411695E-002, 1.5105187E+001, 1.5105187E+001, 1.5105187E+001
 1.5309311E+001, 3.1772514E+003, 3.1420385E+003,-2.3519539E-001, 1.5309311E+001, 1.5309311E+001, 1.5309311E+001
 1.5513435E+001, 3.0115914E+003, 2.9822790E+003, 4.7046751E+002, 1.5513435E+001, 1.5513435E+001, 1.5513435E+001
 1.5717559E+001, 2.8799482E+003, 2.8562207E+003, 8.4734806E+002, 1.5717559E+001, 1.5717559E+001, 1.5717559E+001
 1.5921683E+001, 2.7749733E+003, 2.7556551E+003, 1.1491518E+003, 1.5921683E+001, 1.5921683E+001, 1.5921683E+001
 1.6125807E+001, 2.6911956E+003, 2.6753691E+003, 1.3907602E+003, 1.6125807E+001, 1.6125807E+001, 1.6125807E+001
 1.6329931E+001, 2.6242841E+003, 2.6112286E+003, 1.5841253E+003, 1.6329932E+001, 1.6329932E+001, 1.6329932E+001
 1.6534056E+001, 2.5708053E+003, 2.5599572E+003, 1.7388411E+003, 1.6534056E+001, 1.6534056E+001, 1.6534056E+001
 1.6738180E+001, 2.5280335E+003, 2.5189516E+003, 1.8626056E+003, 1.6738180E+001, 1.6738180E+001, 1.6738180E+001
 1.6942305E+001, 2.4938016E+003, 2.4861410E+003, 1.9615882E+003, 1.6942304E+001, 1.6942304E+001, 1.6942304E+001
 1.7146429E+001, 2.4663844E+003, 2.4598770E+003, 2.0407283E+003, 1.7146428E+001, 1.7146428E+001, 1.7146428E+001
 1.7350552E+001, 2.4444075E+003, 2.4388451E+003, 2.1039786E+003, 1.7350552E+001, 1.7350552E+001, 1.7350552E+001
 1.7554676E+001, 2.4267751E+003, 2.4219954E+003, 2.1545041E+003, 1.7554676E+001, 1.7554676E+001, 1.7554676E+001
 1.7758801E+001, 2.4126130E+003, 2.4084883E+003, 2.1948401E+003, 1.7758801E+001, 1.7758801E+001, 1.7758801E+001
 1.7962925E+001, 2.4012237E+003, 2.3976514E+003, 2.2270185E+003, 1.7962925E+001, 1.7962925E+001, 1.7962925E+001
 1.8167049E+001, 2.3920498E+003, 2.3889461E+003, 2.2526681E+003, 1.8167049E+001, 1.8167049E+001, 1.8167049E+001
 1.8371174E+001, 2.3846463E+003, 2.3819410E+003, 2.2730950E+003, 1.8371173E+001, 1.8371173E+001, 1.8371173E+001
 1.8575296E+001, 2.3786576E+003, 2.3762912E+003, 2.2893463E+003, 1.8575297E+001, 1.8575297E+001, 1.8575297E+001
 1.8779421E+001, 2.3737996E+003, 2.3717214E+003, 2.3022604E+003, 1.8779421E+001, 1.8779421E+001, 1.8779421E+001
 1.8983545E+001, 2.3698455E+003, 2.3680125E+003, 2.3125081E+003, 1.8983546E+001, 1.8983546E+001, 1.8983546E+001
 1.9187670E+001, 2.3666138E+003, 2.3649907E+003, 2.3206257E+003, 1.9187670E+001, 1.9187670E+001, 1.9187670E+001
 1.9391794E+001, 2.3639597E+003, 2.3625177E+003, 2.3270419E+003, 1.9391794E+001, 1.9391794E+001, 1.9391794E+001
 1.9595919E+001, 2.3617674E+003, 2.3604836E+003, 2.3320996E+003, 1.9595918E+001, 1.9595918E+001, 1.9595918E+001
 1.9800041E+001, 2.3599445E+003, 2.3588009E+003, 2.3360733E+003, 1.9800042E+001, 1.9800042E+001, 1.9800042E+001
 2.0004166E+001, 2.3584173E+003, 2.3573997E+003, 2.3391825E+003, 2.0004166E+001, 2.0004166E+001, 2.0004166E+001
 2.0208290E+001, 2.3590117E+003, 2.3647534E+003, 2.3455644E+003, 2.0208290E+001, 2.0208290E+001, 2.0208290E+001
 2.0412415E+001, 1.8856961E+003, 1.8840228E+003, 1.8726716E+003, 2.0412415E+001, 2.0412415E+001, 2.0412415E+001
 2.0616539E+001, 1.5088639E+003, 1.5076747E+003, 1.4983398E+003, 2.0616539E+001, 2.0616539E+001, 2.0616539E+001
 2.0820663E+001, 1.2074217E+003, 1.2064378E+003, 1.1988570E+003, 2.0820663E+001, 2.0820663E+001, 2.0820663E+001
 2.1024788E+001, 9.6630055E+002, 9.6541141E+002, 9.5930985E+002, 2.1024787E+001, 2.1024787E+001, 2.1024787E+001
 2.1228910E+001, 7.7342377E+002, 7.7254786E+002, 7.6769908E+002, 2.1228911E+001, 2.1228911E+001, 2.1228911E+001
 2.1433035E+001, 6.1913444E+002, 6.1822307E+002, 6.1442786E+002, 2.1433035E+001, 2.1433035E+001, 2.1433035E+001
 2.1637159E+001, 4.9570938E+002, 4.9474480E+002, 4.9181735E+002, 2.1637159E+001, 2.1637159E+001, 2.1637159E+001
 2.1841284E+001, 3.9697159E+002, 3.9596138E+002, 3.9372588E+002, 2.1841284E+001, 2.1841284E+001, 2.1841284E+001
 2.2045408E+001, 3.1798049E+002, 3.1694926E+002, 3.1524419E+002, 2.2045408E+001, 2.2045408E+001, 2.2045408E+001
 2.2249533E+001, 2.5478442E+002, 2.5376557E+002, 2.5244866E+002, 2.2249532E+001, 2.2249532E+001, 2.2249532E+001
 2.2453655E+001, 2.0422293E+002, 2.0325126E+002, 2.0220291E+002, 2.2453656E+001, 2.2453656E+001, 2.2453656E+001
 2.2657780E+001, 1.6376834E+002, 1.6287466E+002, 1.6199909E+002, 2.2657780E+001, 2.2657780E+001, 2.2657780E+001
 2.2861904E+001, 1.3139882E+002, 1.3060675E+002, 1.2983117E+002, 2.2861904E+001, 2.2861904E+001, 2.2861904E+001
 2.3066029E+001, 1.0549716E+002, 1.0482078E+002, 1.0409394E+002, 2.3066028E+001, 2.3066028E+001, 2.3066028E+001
 2.3270153E+001, 8.4769683E+001, 8.4212749E+001, 8.3503166E+001, 2.3270153E+001, 2.3270153E+001, 2.3270153E+001
 2.3474277E+001, 6.8181484E+001, 6.7738433E+001, 6.7031635E+001, 2.3474277E+001, 2.3474277E+001, 2.3474277E+001
 2.3678400E+001, 5.4904361E+001, 5.4562347E+001, 5.3857173E+001, 2.3678401E+001, 2.3678401E+001, 2.3678401E+001
 2.3882524E+001, 4.4275459E+001, 4.4016718E+001, 4.3321301E+001, 2.3882525E+001, 2.3882525E+001, 2.3882525E+001
 2.4086649E+001, 3.5764382E+001, 3.5569008E+001, 3.4896941E+001, 2.4086649E+001, 2.4086649E+001, 2.4086649E+001
 2.4290773E+001, 2.8946922E+001, 2.8795429E+001, 2.8162343E+001, 2.4290773E+001, 2.4290773E+001, 2.4290773E+001
 2.4494898E+001, 2.3483873E+001, 2.3358758E+001, 2.2779451E+001, 2.4494897E+001, 2.4494897E+001, 2.4494897E+001
 2.4699022E+001, 1.9104325E+001, 1.8991717E+001, 1.8478508E+001, 2.4699022E+001, 2.4699022E+001, 2.4699022E+001
 2.4903145E+001, 1.5591716E+001, 1.5481855E+001, 1.5043154E+001, 2.4903146E+001, 2.4903146E+001, 2.4903146E+001
 2.5107269E+001, 1.2772952E+001, 1.2660485E+001, 1.2299216E+001, 2.5107270E+001, 2.5107270E+001, 2.5107270E+001
 2.5311394E+001, 1.0509645E+001, 1.0393437E+001, 1.0107739E+001, 2.5311394E+001, 2.5311394E+001, 2.5311394E+001
 2.5515518E+001, 8.6909531E+000, 8.5729862E+000, 8.3562124E+000, 2.5515518E+001, 2.5515518E+001, 2.5515518E+001
