s,Pa,Pa,Pa,C,C,C,kg/m3,kg/m3,kg/m3
 9.0124912E+000, 6.5116737E+003, 6.5116761E+003, 6.5116763E+003, 2.5301107E+001, 2.5301396E+001, 2.5301396E+001, 1.2515582E+000, 1.2515570E+000, 1.2515570E+000
 9.6449471E+000, 6.9863557E+003, 6.9863590E+003, 6.9863594E+003, 2.5678297E+001, 2.5678832E+001, 2.5678832E+001, 1.2554806E+000, 1.2554783E+000, 1.2554783E+000
 1.0277402E+001, 7.4932936E+003, 7.4932968E+003, 7.4932965E+003, 2.6079652E+001, 2.6080631E+001, 2.6080631E+001, 1.2596648E+000, 1.2596607E+000, 1.2596607E+000
 1.0830801E+001, 7.9691120E+003, 7.9691165E+003, 7.9691167E+003, 2.6455081E+001, 2.6456569E+001, 2.6456569E+001, 1.2635876E+000, 1.2635813E+000, 1.2635813E+000
 1.1463257E+001, 8.4454896E+003, 8.4454952E+003, 8.4454954E+003, 2.6829928E+001, 2.6831758E+001, 2.6831758E+001, 1.2675093E+000, 1.2675015E+000, 1.2675015E+000
 1.2016655E+001, 8.9223910E+003, 8.9223970E+003, 8.9223968E+003, 2.7203975E+001, 2.7206225E+001, 2.7206225E+001, 1.2714308E+000, 1.2714213E+000, 1.2714213E+000
 1.2649111E+001, 9.3998417E+003, 9.3998489E+003, 9.3998490E+003, 2.7575726E+001, 2.7579945E+001, 2.7579945E+001, 1.2753584E+000, 1.2753405E+000, 1.2753405E+000
 1.3202509E+001, 9.8778280E+003, 9.8778363E+003, 9.8778365E+003, 2.7943791E+001, 2.7952963E+001, 2.7952963E+001, 1.2792983E+000, 1.2792594E+000, 1.2792594E+000
 1.3834965E+001, 1.0356377E+004, 1.0356385E+004, 1.0356386E+004, 2.8308435E+001, 2.8325253E+001, 2.8325253E+001, 1.2832495E+000, 1.2831779E+000, 1.2831779E+000
 1.4467421E+001, 1.0867434E+004, 1.0867444E+004, 1.0867444E+004, 2.8697020E+001, 2.8721595E+001, 2.8721595E+001, 1.2874621E+000, 1.2873573E+000, 1.2873573E+000
 1.5020819E+001, 1.1347123E+004, 1.1347133E+004, 1.1347133E+004, 2.9064791E+001, 2.9092455E+001, 2.9092455E+001, 1.2913935E+000, 1.2912753E+000, 1.2912753E+000
 1.5653275E+001, 1.1827378E+004, 1.1827388E+004, 1.1827388E+004, 2.9437872E+001, 2.9462603E+001, 2.9462603E+001, 1.2952988E+000, 1.2951929E+000, 1.2951929E+000
 1.6206673E+001, 1.2308174E+004, 1.2308184E+004, 1.2308185E+004, 2.9814379E+001, 2.9832075E+001, 2.9832075E+001, 1.2991862E+000, 1.2991103E+000, 1.2991103E+000
 1.6839128E+001, 1.2789546E+004, 1.2789556E+004, 1.2789556E+004, 3.0190771E+001, 3.0200850E+001, 3.0200850E+001, 1.3030708E+000, 1.3030275E+000, 1.3030275E+000
 1.7471584E+001, 1.3303617E+004, 1.3303626E+004, 1.3303627E+004, 3.0589019E+001, 3.0593470E+001, 3.0593470E+001, 1.3072247E+000, 1.3072056E+000, 1.3072056E+000
 1.8024982E+001, 1.3786114E+004, 1.3786123E+004, 1.3786123E+004, 3.0958686E+001, 3.0960848E+001, 3.0960848E+001, 1.3111315E+000, 1.3111222E+000, 1.3111222E+000
 1.8657438E+001, 1.4269160E+004, 1.4269168E+004, 1.4269169E+004, 3.1325521E+001, 3.1327524E+001, 3.1327524E+001, 1.3150471E+000, 1.3150385E+000, 1.3150385E+000
 1.9210836E+001, 1.4752727E+004, 1.4752735E+004, 1.4752736E+004, 3.1690809E+001, 3.1693529E+001, 3.1693529E+001, 1.3189661E+000, 1.3189543E+000, 1.3189543E+000
 1.9843292E+001, 1.5236672E+004, 1.5236679E+004, 1.5236680E+004, 3.2054917E+001, 3.2058260E+001, 3.2058260E+001, 1.3228848E+000, 1.3228704E+000, 1.3228704E+000
 2.0475748E+001, 1.5753262E+004, 1.5753268E+004, 1.5753270E+004, 3.2442755E+001, 3.2446000E+001, 3.2446000E+001, 1.3270614E+000, 1.3270473E+000, 1.3270473E+000
 2.1029146E+001, 1.6238067E+004, 1.6238072E+004, 1.6238074E+004, 3.2806488E+001, 3.2808786E+001, 3.2808788E+001, 1.3309725E+000, 1.3309625E+000, 1.3309625E+000
 2.1661602E+001, 1.6723399E+004, 1.6723403E+004, 1.6723406E+004, 3.3170105E+001, 3.3170873E+001, 3.3170880E+001, 1.3348805E+000, 1.3348772E+000, 1.3348772E+000
 2.2215000E+001, 1.7209244E+004, 1.7209248E+004, 1.7209251E+004, 3.3533166E+001, 3.3532289E+001, 3.3532318E+001, 1.3387878E+000, 1.3387916E+000, 1.3387915E+000
 2.2847456E+001, 1.7695641E+004, 1.7695643E+004, 1.7695648E+004, 3.3895217E+001, 3.3892970E+001, 3.3893087E+001, 1.3426962E+000, 1.3427060E+000, 1.3427055E+000
 2.3400854E+001, 1.8182568E+004, 1.8182569E+004, 1.8182574E+004, 3.4256050E+001, 3.4252801E+001, 3.4253223E+001, 1.3466069E+000, 1.3466211E+000, 1.3466193E+000
 2.4033310E+001, 1.8670055E+004, 1.8670055E+004, 1.8670060E+004, 3.4615563E+001, 3.4611311E+001, 3.4612703E+001, 1.3505204E+000, 1.3505390E+000, 1.3505329E+000
 2.4665766E+001, 1.9190647E+004, 1.9190646E+004, 1.9190652E+004, 3.4997757E+001, 3.4991317E+001, 3.4995462E+001, 1.3546972E+000, 1.3547255E+000, 1.3547073E+000
 2.5219164E+001, 1.9679269E+004, 1.9679267E+004, 1.9679274E+004, 3.5355036E+001, 3.5343954E+001, 3.5353656E+001, 1.3586146E+000, 1.3586634E+000, 1.3586207E+000
 2.5851620E+001, 2.0168459E+004, 2.0168456E+004, 2.0168464E+004, 3.5711475E+001, 3.5691709E+001, 3.5711213E+001, 1.3625328E+000, 1.3626200E+000, 1.3625340E+000
 2.6405018E+001, 2.0658196E+004, 2.0658192E+004, 2.0658201E+004, 3.6067252E+001, 3.6034748E+001, 3.6068167E+001, 1.3664513E+000, 1.3665949E+000, 1.3664472E+000
 2.7037474E+001, 2.1148507E+004, 2.1148502E+004, 2.1148512E+004, 3.6422433E+001, 3.6374452E+001, 3.6424495E+001, 1.3703695E+000, 1.3705820E+000, 1.3703604E+000
 2.7669930E+001, 2.1672115E+004, 2.1672109E+004, 2.1672119E+004, 3.6800709E+001, 3.6735497E+001, 3.6803911E+001, 1.3745487E+000, 1.3748379E+000, 1.3745345E+000
 2.8223328E+001, 2.2163564E+004, 2.2163557E+004, 2.2163568E+004, 3.7154811E+001, 3.7073279E+001, 3.7158988E+001, 1.3784661E+000, 1.3788284E+000, 1.3784475E+000
 2.8855783E+001, 2.2655576E+004, 2.2655568E+004, 2.2655580E+004, 3.7508384E+001, 3.7409068E+001, 3.7513436E+001, 1.3823831E+000, 1.3828252E+000, 1.3823606E+000
 2.9409182E+001, 2.3148125E+004, 2.3148117E+004, 2.3148129E+004, 3.7861444E+001, 3.7742456E+001, 3.7867276E+001, 1.3862996E+000, 1.3868302E+000, 1.3862736E+000
 3.0041637E+001, 2.3641234E+004, 2.3641226E+004, 2.3641238E+004, 3.8213963E+001, 3.8076201E+001, 3.8220454E+001, 1.3902157E+000, 1.3908310E+000, 1.3901867E+000
 3.0674093E+001, 2.4167813E+004, 2.4167804E+004, 2.4167816E+004, 3.8589402E+001, 3.8438785E+001, 3.8596381E+001, 1.3943924E+000, 1.3950664E+000, 1.3943611E+000
 3.1227491E+001, 2.4662041E+004, 2.4662032E+004, 2.4662044E+004, 3.8940830E+001, 3.8789854E+001, 3.8947819E+001, 1.3983077E+000, 1.3989844E+000, 1.3982764E+000
 3.1859947E+001, 2.5156833E+004, 2.5156824E+004, 2.5156836E+004, 3.9291707E+001, 3.9152804E+001, 3.9297466E+001, 1.4022227E+000, 1.4028463E+000, 1.4021969E+000
 3.2413345E+001, 2.5652162E+004, 2.5652154E+004, 2.5652164E+004, 3.9642053E+001, 3.9522931E+001, 3.9643281E+001, 1.4061375E+000, 1.4066732E+000, 1.4061320E+000
 3.3045803E+001, 2.6148054E+004, 2.6148046E+004, 2.6148056E+004, 3.9991838E+001, 3.9894254E+001, 3.9979488E+001, 1.4100520E+000, 1.4104916E+000, 1.4101077E+000
 3.3678257E+001, 2.6677605E+004, 2.6677597E+004, 2.6677606E+004, 4.0364336E+001, 4.0287785E+001, 4.0315583E+001, 1.4142274E+000, 1.4145728E+000, 1.4144474E+000
 3.4231655E+001, 2.7174619E+004, 2.7174612E+004, 2.7174618E+004, 4.0712980E+001, 4.0655001E+001, 4.0594604E+001, 1.4181417E+000, 1.4184037E+000, 1.4186768E+000
 3.4864113E+001, 2.7672193E+004, 2.7672186E+004, 2.7672191E+004, 4.1061046E+001, 4.1022270E+001, 4.0827353E+001, 1.4220559E+000, 1.4222314E+000, 1.4231144E+000
 3.5417511E+001, 2.8170304E+004, 2.8170298E+004, 2.8170301E+004, 4.1408558E+001, 4.1388964E+001, 4.1017535E+001, 1.4259700E+000, 1.4260588E+000, 1.4277450E+000
 3.6049965E+001, 2.8668971E+004, 2.8668967E+004, 2.8668967E+004, 4.1755456E+001, 4.1752109E+001, 4.1169196E+001, 1.4298842E+000, 1.4298994E+000, 1.4325514E+000
 3.6603363E+001, 2.9168033E+004, 2.9168029E+004, 2.9168028E+004, 4.2101115E+001, 4.2108829E+001, 4.1288710E+001, 1.4338000E+000, 1.4337649E+000, 1.4375047E+000
 3.7235821E+001, 2.9667481E+004, 2.9667478E+004, 2.9667475E+004, 4.2445809E+001, 4.2458957E+001, 4.1392450E+001, 1.4377156E+000, 1.4376557E+000, 1.4425306E+000
 3.7868275E+001, 3.0200747E+004, 3.0200745E+004, 3.0200741E+004, 4.2812805E+001, 4.2827265E+001, 4.1524520E+001, 1.4418918E+000, 1.4418258E+000, 1.4477952E+000
 3.8421673E+001, 3.0701205E+004, 3.0701203E+004, 3.0701199E+004, 4.3156250E+001, 4.3169040E+001, 4.1699709E+001, 1.4458068E+000, 1.4457483E+000, 1.4524954E+000
 3.9054131E+001, 3.1202185E+004, 3.1202183E+004, 3.1202178E+004, 4.3499078E+001, 4.3507711E+001, 4.1938627E+001, 1.4497216E+000, 1.4496821E+000, 1.4569013E+000
 3.9607529E+001, 3.1703668E+004, 3.1703667E+004, 3.1703662E+004, 4.3841312E+001, 4.3843124E+001, 4.2231453E+001, 1.4536364E+000, 1.4536281E+000, 1.4610564E+000
 4.0239983E+001, 3.2205681E+004, 3.2205680E+004, 3.2205675E+004, 4.4182905E+001, 4.4175003E+001, 4.2563305E+001, 1.4575512E+000, 1.4575875E+000, 1.4650284E+000
 4.0872440E+001, 3.2741734E+004, 3.2741734E+004, 3.2741728E+004, 4.4546540E+001, 4.4526365E+001, 4.2940958E+001, 1.4617275E+000, 1.4618204E+000, 1.4691523E+000
 4.1425838E+001, 3.3244826E+004, 3.3244825E+004, 3.3244819E+004, 4.4886668E+001, 4.4855442E+001, 4.3306635E+001, 1.4656437E+000, 1.4657876E+000, 1.4729615E+000
 4.2058292E+001, 3.3748461E+004, 3.3748460E+004, 3.3748454E+004, 4.5225828E+001, 4.5186225E+001, 4.3675635E+001, 1.4695617E+000, 1.4697445E+000, 1.4767521E+000
 4.2611691E+001, 3.4252616E+004, 3.4252616E+004, 3.4252610E+004, 4.5563767E+001, 4.5518950E+001, 4.4041939E+001, 1.4734828E+000, 1.4736901E+000, 1.4805523E+000
 4.3244148E+001, 3.4757315E+004, 3.4757314E+004, 3.4757309E+004, 4.5899964E+001, 4.5853287E+001, 4.4401474E+001, 1.4774095E+000, 1.4776256E+000, 1.4843812E+000
 4.3876602E+001, 3.5296237E+004, 3.5296237E+004, 3.5296231E+004, 4.6256036E+001, 4.6213303E+001, 4.4775912E+001, 1.4816069E+000, 1.4818051E+000, 1.4885046E+000
 4.4430000E+001, 3.5802014E+004, 3.5802013E+004, 3.5802008E+004, 4.6586817E+001, 4.6556838E+001, 4.5119198E+001, 1.4855535E+000, 1.4856928E+000, 1.4924037E+000
 4.5062458E+001, 3.6308326E+004, 3.6308325E+004, 3.6308320E+004, 4.6914093E+001, 4.6906515E+001, 4.5457520E+001, 1.4895138E+000, 1.4895491E+000, 1.4963234E+000
 4.5615856E+001, 3.6815149E+004, 3.6815148E+004, 3.6815143E+004, 4.7238120E+001, 4.7258147E+001, 4.5794514E+001, 1.4934870E+000, 1.4933936E+000, 1.5002468E+000
 4.6248310E+001, 3.7322504E+004, 3.7322503E+004, 3.7322499E+004, 4.7559720E+001, 4.7607195E+001, 4.6133745E+001, 1.4974690E+000, 1.4972473E+000, 1.5041569E+000
 4.6801708E+001, 3.7830368E+004, 3.7830367E+004, 3.7830363E+004, 4.7880666E+001, 4.7951029E+001, 4.6478055E+001, 1.5014517E+000, 1.5011227E+000, 1.5080405E+000
 4.7434166E+001, 3.8338762E+004, 3.8338762E+004, 3.8338758E+004, 4.8202821E+001, 4.8287622E+001, 4.6829657E+001, 1.5054264E+000, 1.5050292E+000, 1.5118868E+000
 4.8066620E+001, 3.8881615E+004, 3.8881615E+004, 3.8881612E+004, 4.8549132E+001, 4.8637366E+001, 4.7213146E+001, 1.5096509E+000, 1.5092369E+000, 1.5159464E+000
 4.8620018E+001, 3.9391070E+004, 3.9391070E+004, 3.9391067E+004, 4.8876649E+001, 4.8955489E+001, 4.7579620E+001, 1.5135955E+000, 1.5132250E+000, 1.5197164E+000
 4.9252476E+001, 3.9901054E+004, 3.9901053E+004, 3.9901051E+004, 4.9206759E+001, 4.9263538E+001, 4.7950014E+001, 1.5175253E+000, 1.5172581E+000, 1.5234647E+000
 4.9805874E+001, 4.0411542E+004, 4.0411541E+004, 4.0411540E+004, 4.9539038E+001, 4.9562956E+001, 4.8319011E+001, 1.5214425E+000, 1.5213298E+000, 1.5272166E+000
 5.0438328E+001, 4.0922555E+004, 4.0922554E+004, 4.0922553E+004, 4.9873435E+001, 4.9856347E+001, 4.8679724E+001, 1.5253471E+000, 1.5254278E+000, 1.5310048E+000
 5.1070786E+001, 4.1468191E+004, 4.1468191E+004, 4.1468190E+004, 5.0232116E+001, 5.0168444E+001, 4.9050993E+001, 1.5294997E+000, 1.5298010E+000, 1.5351066E+000
 5.1624184E+001, 4.1980242E+004, 4.1980242E+004, 4.1980241E+004, 5.0569239E+001, 5.0465657E+001, 4.9389856E+001, 1.5333860E+000, 1.5338769E+000, 1.5389929E+000
 5.2256638E+001, 4.2492807E+004, 4.2492807E+004, 4.2492806E+004, 5.0904749E+001, 5.0771498E+001, 4.9734522E+001, 1.5372772E+000, 1.5379096E+000, 1.5428487E+000
 5.2810036E+001, 4.3005860E+004, 4.3005859E+004, 4.3005858E+004, 5.1235608E+001, 5.1086388E+001, 5.0106936E+001, 1.5411878E+000, 1.5418971E+000, 1.5465689E+000
 5.3442493E+001, 4.3519420E+004, 4.3519420E+004, 4.3519418E+004, 5.1558657E+001, 5.1409649E+001, 5.0525926E+001, 1.5451328E+000, 1.5458422E+000, 1.5500627E+000
 5.4074947E+001, 4.4067713E+004, 4.4067712E+004, 4.4067710E+004, 5.1893183E+001, 5.1762014E+001, 5.1013643E+001, 1.5493855E+000, 1.5500110E+000, 1.5535893E+000
 5.4628345E+001, 4.4582090E+004, 4.4582089E+004, 4.4582086E+004, 5.2198299E+001, 5.2097937E+001, 5.1473991E+001, 1.5534089E+000, 1.5538883E+000, 1.5568749E+000
 5.5260803E+001, 4.5096887E+004, 4.5096886E+004, 4.5096883E+004, 5.2499874E+001, 5.2438549E+001, 5.1903342E+001, 1.5574460E+000, 1.5577394E+000, 1.5603042E+000
 5.5814201E+001, 4.5612102E+004, 4.5612101E+004, 4.5612098E+004, 5.2803502E+001, 5.2782143E+001, 5.2295779E+001, 1.5614704E+000, 1.5615728E+000, 1.5639064E+000
 5.6446655E+001, 4.6127763E+004, 4.6127763E+004, 4.6127760E+004, 5.3114686E+001, 5.3126759E+001, 5.2657856E+001, 1.5654557E+000, 1.5653977E+000, 1.5676506E+000
 5.7000053E+001, 4.6643882E+004, 4.6643882E+004, 4.6643878E+004, 5.3436639E+001, 5.3470394E+001, 5.2996825E+001, 1.5693866E+000, 1.5692244E+000, 1.5715029E+000
 5.7632511E+001, 4.7160506E+004, 4.7160506E+004, 4.7160502E+004, 5.3770288E+001, 5.3811057E+001, 5.3316550E+001, 1.5732586E+000, 1.5730624E+000, 1.5754452E+000
 5.8264965E+001, 4.7712125E+004, 4.7712124E+004, 4.7712121E+004, 5.4136228E+001, 5.4169175E+001, 5.3639158E+001, 1.5773376E+000, 1.5771788E+000, 1.5797369E+000
 5.8818363E+001, 4.8229805E+004, 4.8229805E+004, 4.8229801E+004, 5.4484967E+001, 5.4498157E+001, 5.3925680E+001, 1.5811318E+000, 1.5810682E+000, 1.5838355E+000
 5.9450821E+001, 4.8748024E+004, 4.8748023E+004, 4.8748019E+004, 5.4834503E+001, 5.4818768E+001, 5.4205220E+001, 1.5849196E+000, 1.5849957E+000, 1.5879664E+000
 6.0004219E+001, 4.9266750E+004, 4.9266749E+004, 4.9266745E+004, 5.5180915E+001, 5.5130506E+001, 5.4486292E+001, 1.5887200E+000, 1.5889640E+000, 1.5920883E+000
 6.0636673E+001, 4.9737157E+004, 4.9737164E+004, 4.9737163E+004, 5.5491180E+001, 5.5402892E+001, 5.4739798E+001, 1.5921783E+000, 1.5926062E+000, 1.5958269E+000
 6.1269131E+001, 4.9962630E+004, 4.9962639E+004, 4.9962642E+004, 5.5643181E+001, 5.5513839E+001, 5.4841043E+001, 1.5938178E+000, 1.5944450E+000, 1.5977157E+000
 6.1822529E+001, 4.9976924E+004, 4.9976921E+004, 4.9976917E+004, 5.5658752E+001, 5.5490992E+001, 5.4819168E+001, 1.5938928E+000, 1.5947064E+000, 1.5979731E+000
 6.2454983E+001, 4.9976033E+004, 4.9976029E+004, 4.9976024E+004, 5.5662367E+001, 5.5459447E+001, 5.4794615E+001, 1.5938659E+000, 1.5948501E+000, 1.5980833E+000
 6.3008381E+001, 4.9975286E+004, 4.9975287E+004, 4.9975288E+004, 5.5664693E+001, 5.5430807E+001, 5.4776378E+001, 1.5938468E+000, 1.5949813E+000, 1.5981643E+000
 6.3640839E+001, 4.9974670E+004, 4.9974667E+004, 4.9974666E+004, 5.5666468E+001, 5.5401975E+001, 5.4769849E+001, 1.5938317E+000, 1.5951147E+000, 1.5981896E+000
 6.4273293E+001, 4.9974113E+004, 4.9974109E+004, 4.9974108E+004, 5.5667903E+001, 5.5365010E+001, 5.4784517E+001, 1.5938188E+000, 1.5952883E+000, 1.5981122E+000
 6.4826691E+001, 4.9973665E+004, 4.9973664E+004, 4.9973667E+004, 5.5668223E+001, 5.5319036E+001, 5.4819643E+001, 1.5938126E+000, 1.5955069E+000, 1.5979364E+000
 6.5459145E+001, 4.9973283E+004, 4.9973278E+004, 4.9973280E+004, 5.5666535E+001, 5.5253520E+001, 5.4855997E+001, 1.5938167E+000, 1.5958212E+000, 1.5977552E+000
 6.6012543E+001, 4.9972943E+004, 4.9972937E+004, 4.9972939E+004, 5.5662053E+001, 5.5154387E+001, 5.4851616E+001, 1.5938348E+000, 1.5962994E+000, 1.5977729E+000
 6.6645004E+001, 4.9972638E+004, 4.9972633E+004, 4.9972638E+004, 5.5654276E+001, 5.5002620E+001, 5.4750938E+001, 1.5938693E+000, 1.5970345E+000, 1.5982604E+000
 6.7277458E+001, 4.9972348E+004, 4.9972341E+004, 4.9972345E+004, 5.5643402E+001, 5.4793716E+001, 5.4503788E+001, 1.5939190E+000, 1.5980488E+000, 1.5994629E+000
 6.7830856E+001, 4.9972099E+004, 4.9972091E+004, 4.9972095E+004, 5.5632317E+001, 5.4613362E+001, 5.4163932E+001, 1.5939701E+000, 1.5989255E+000, 1.6011211E+000
 6.8463310E+001, 4.9971869E+004, 4.9971862E+004, 4.9971865E+004, 5.5621923E+001, 5.4532556E+001, 5.3820320E+001, 1.5940181E+000, 1.5993173E+000, 1.6028012E+000
 6.9016708E+001, 4.9971656E+004, 4.9971647E+004, 4.9971650E+004, 5.5613189E+001, 5.4560495E+001, 5.3614476E+001, 1.5940582E+000, 1.5991787E+000, 1.6038085E+000
 6.9649162E+001, 4.9971456E+004, 4.9971447E+004, 4.9971450E+004, 5.5606691E+001, 5.4599534E+001, 5.3649601E+001, 1.5940876E+000, 1.5989861E+000, 1.6036340E+000
 7.0202560E+001, 4.9971268E+004, 4.9971259E+004, 4.9971262E+004, 5.5602597E+001, 5.4582330E+001, 5.3880290E+001, 1.5941054E+000, 1.5990681E+000, 1.6025009E+000
 7.0835022E+001, 4.9971092E+004, 4.9971082E+004, 4.9971086E+004, 5.5601309E+001, 5.4545408E+001, 5.4161125E+001, 1.5941098E+000, 1.5992464E+000, 1.6011241E+000
 7.1467476E+001, 4.9970915E+004, 4.9970905E+004, 4.9970908E+004, 5.5603209E+001, 5.4541614E+001, 5.4337691E+001, 1.5940988E+000, 1.5992630E+000, 1.6002589E+000
 7.2020874E+001, 4.9970759E+004, 4.9970749E+004, 4.9970753E+004, 5.5608001E+001, 5.4587374E+001, 5.4343671E+001, 1.5940739E+000, 1.5990381E+000, 1.6002280E+000
 7.2653328E+001, 4.9970613E+004, 4.9970603E+004, 4.9970605E+004, 5.5615178E+001, 5.4667145E+001, 5.4283123E+001, 1.5940375E+000, 1.5986474E+000, 1.6005224E+000
 7.3206726E+001, 4.9970475E+004, 4.9970465E+004, 4.9970467E+004, 5.5623577E+001, 5.4758613E+001, 5.4251645E+001, 1.5939954E+000, 1.5982000E+000, 1.6006748E+000
 7.3839180E+001, 4.9970344E+004, 4.9970335E+004, 4.9970336E+004, 5.5631911E+001, 5.4845986E+001, 5.4252161E+001, 1.5939536E+000, 1.5977729E+000, 1.6006709E+000
 7.4471642E+001, 4.9970213E+004, 4.9970203E+004, 4.9970205E+004, 5.5639101E+001, 5.4915823E+001, 5.4259091E+001, 1.5939173E+000, 1.5974314E+000, 1.6006356E+000
 7.5025040E+001, 4.9970096E+004, 4.9970086E+004, 4.9970088E+004, 5.5642447E+001, 5.4945786E+001, 5.4283533E+001, 1.5938999E+000, 1.5972843E+000, 1.6005149E+000
 7.5657494E+001, 4.9969985E+004, 4.9969975E+004, 4.9969977E+004, 5.5640084E+001, 5.4937999E+001, 5.4338341E+001, 1.5939102E+000, 1.5973210E+000, 1.6002459E+000
 7.6210892E+001, 4.9969878E+004, 4.9969869E+004, 4.9969871E+004, 5.5630197E+001, 5.4904938E+001, 5.4401652E+001, 1.5939570E+000, 1.5974809E+000, 1.5999354E+000
 7.6843346E+001, 4.9969777E+004, 4.9969768E+004, 4.9969770E+004, 5.5611531E+001, 5.4867533E+001, 5.4460103E+001, 1.5940464E+000, 1.5976620E+000, 1.5996489E+000
 7.7475800E+001, 4.9969674E+004, 4.9969665E+004, 4.9969667E+004, 5.5583632E+001, 5.4843086E+001, 5.4534137E+001, 1.5941806E+000, 1.5977800E+000, 1.5992864E+000
 7.8029198E+001, 4.9969582E+004, 4.9969574E+004, 4.9969576E+004, 5.5552815E+001, 5.4838642E+001, 5.4610833E+001, 1.5943291E+000, 1.5978006E+000, 1.5989112E+000
 7.8661659E+001, 4.9969494E+004, 4.9969486E+004, 4.9969488E+004, 5.5520282E+001, 5.4849188E+001, 5.4661727E+001, 1.5944860E+000, 1.5977483E+000, 1.5986620E+000
 7.9215057E+001, 4.9969410E+004, 4.9969403E+004, 4.9969405E+004, 5.5487897E+001, 5.4871904E+001, 5.4670656E+001, 1.5946422E+000, 1.5976368E+000, 1.5986176E+000
 7.9847511E+001, 4.9969331E+004, 4.9969324E+004, 4.9969326E+004, 5.5456604E+001, 5.4902804E+001, 5.4651354E+001, 1.5947933E+000, 1.5974855E+000, 1.5987109E+000
 8.0400909E+001, 4.9969257E+004, 4.9969249E+004, 4.9969252E+004, 5.5426753E+001, 5.4930918E+001, 5.4634937E+001, 1.5949374E+000, 1.5973478E+000, 1.5987902E+000
 8.1033363E+001, 4.9969186E+004, 4.9969178E+004, 4.9969181E+004, 5.5398470E+001, 5.4947487E+001, 5.4643740E+001, 1.5950739E+000, 1.5972664E+000, 1.5987465E+000
 8.1665817E+001, 4.9969114E+004, 4.9969106E+004, 4.9969111E+004, 5.5369695E+001, 5.4955819E+001, 5.4682061E+001, 1.5952129E+000, 1.5972251E+000, 1.5985589E+000
 8.2219215E+001, 4.9969052E+004, 4.9969044E+004, 4.9969049E+004, 5.5343518E+001, 5.4962457E+001, 5.4731606E+001, 1.5953393E+000, 1.5971921E+000, 1.5983167E+000
