s,Pa
FDS Time,"Pressure"
 1.1581133E+002, 6.8392802E+003
 1.1611002E+002, 6.7965902E+003
 1.1641090E+002, 6.7186325E+003
 1.1670721E+002, 6.6807573E+003
 1.1700097E+002, 6.6093479E+003
 1.1731387E+002, 6.5346837E+003
 1.1761269E+002, 6.4554800E+003
 1.1791066E+002, 6.3576122E+003
 1.1820863E+002, 6.2716693E+003
 1.1850660E+002, 6.2073942E+003
 1.1880457E+002, 6.1389812E+003
 1.1910254E+002, 6.0939136E+003
 1.1940864E+002, 6.0450327E+003
 1.1970660E+002, 5.9587751E+003
 1.2000458E+002, 5.8681690E+003
 1.2030632E+002, 5.8164653E+003
 1.2060179E+002, 5.7789764E+003
 1.2090923E+002, 5.7210924E+003
 1.2120610E+002, 5.6519798E+003
 1.2150808E+002, 5.5759227E+003
 1.2180218E+002, 5.5258975E+003
 1.2210546E+002, 5.4761587E+003
 1.2240874E+002, 5.4615476E+003
 1.2271204E+002, 5.3658466E+003
 1.2300088E+002, 5.2894532E+003
 1.2330417E+002, 5.2333890E+003
 1.2360457E+002, 5.1825392E+003
 1.2390641E+002, 5.1124869E+003
 1.2420825E+002, 5.0614378E+003
 1.2451009E+002, 5.0170041E+003
 1.2481194E+002, 4.9671445E+003
 1.2511378E+002, 4.9091474E+003
 1.2541563E+002, 4.8595061E+003
 1.2570158E+002, 4.8001930E+003
 1.2600343E+002, 4.7636224E+003
 1.2630527E+002, 4.7143820E+003
 1.2660711E+002, 4.6407543E+003
 1.2690896E+002, 4.5772474E+003
 1.2720705E+002, 4.5384671E+003
 1.2751247E+002, 4.4819728E+003
 1.2780991E+002, 4.4438595E+003
 1.2810435E+002, 4.3846511E+003
 1.2840654E+002, 4.2776341E+003
 1.2870871E+002, 4.1319569E+003
 1.2901239E+002, 3.9840697E+003
 1.2931155E+002, 3.8487910E+003
 1.2961070E+002, 3.7402584E+003
 1.2990504E+002, 3.6592066E+003
 1.3020668E+002, 3.5474355E+003
 1.3050833E+002, 3.3881458E+003
 1.3081764E+002, 3.2053250E+003
 1.3111998E+002, 2.9833989E+003
 1.3140054E+002, 2.7905927E+003
 1.3170251E+002, 2.5932764E+003
 1.3200447E+002, 2.3678899E+003
 1.3231023E+002, 2.1651265E+003
 1.3261250E+002, 1.9943216E+003
 1.3291461E+002, 1.8403802E+003
