s,kW,kW,kW,kW,kg/s,atm
 1.4403174E+001, 1.5632825E+002, 5.6287351E+001, 4.1333898E+001, 7.8899563E+001, 3.3840503E-003, 1.1668701E+000
 1.4714577E+001, 1.5964214E+002, 5.7522449E+001, 4.1850892E+001, 7.9490609E+001, 3.3840503E-003, 1.1693855E+000
 1.5010408E+001, 1.5972294E+002, 5.7616619E+001, 4.2260261E+001, 8.0101806E+001, 3.3840503E-003, 1.1717667E+000
 1.5306241E+001, 1.6179648E+002, 5.8470679E+001, 4.2516588E+001, 8.1242018E+001, 3.3840503E-003, 1.1741401E+000
 1.5602073E+001, 1.5905465E+002, 5.7640941E+001, 4.2902391E+001, 8.2247309E+001, 3.3840503E-003, 1.1763644E+000
 1.5913475E+001, 1.6293384E+002, 5.9161702E+001, 4.3290046E+001, 8.2789611E+001, 3.3840503E-003, 1.1787820E+000
 1.6209307E+001, 1.6016015E+002, 5.8232445E+001, 4.3579373E+001, 8.3808400E+001, 3.3840503E-003, 1.1809925E+000
 1.6505138E+001, 1.5916028E+002, 5.8157855E+001, 4.3775405E+001, 8.2958008E+001, 3.3840503E-003, 1.1830805E+000
 1.6800972E+001, 1.6020135E+002, 5.8606462E+001, 4.3975877E+001, 8.3910592E+001, 3.3840503E-003, 1.1851659E+000
 1.7112373E+001, 1.5996760E+002, 5.8732691E+001, 4.4313832E+001, 8.5039773E+001, 3.3840503E-003, 1.1872693E+000
 1.7408205E+001, 1.5840029E+002, 5.8340360E+001, 4.4663495E+001, 8.5452504E+001, 3.3840503E-003, 1.1891603E+000
 1.7704037E+001, 1.5969436E+002, 5.8922178E+001, 4.5040646E+001, 8.5890186E+001, 3.3840503E-003, 1.1910442E+000
 1.8015440E+001, 1.6111300E+002, 5.9457605E+001, 4.5411733E+001, 8.6765208E+001, 3.3840503E-003, 1.1930515E+000
 1.8311272E+001, 1.6028579E+002, 5.9188387E+001, 4.5595622E+001, 8.7085433E+001, 3.3840503E-003, 1.1949061E+000
 1.8607103E+001, 1.5993178E+002, 5.9236180E+001, 4.5778133E+001, 8.7050699E+001, 3.3840503E-003, 1.1967174E+000
 1.8902935E+001, 1.6056468E+002, 5.9525284E+001, 4.5913568E+001, 8.7843235E+001, 3.3840503E-003, 1.1985783E+000
 1.9214338E+001, 1.5836674E+002, 5.9002657E+001, 4.6238046E+001, 8.6848626E+001, 3.3840503E-003, 1.2003805E+000
 1.9505499E+001, 1.6137695E+002, 6.0074131E+001, 4.6310546E+001, 8.7735483E+001, 3.3840503E-003, 1.2021722E+000
 1.9813787E+001, 1.5852046E+002, 5.9242188E+001, 4.6424556E+001, 8.6793377E+001, 3.3840503E-003, 1.2039132E+000
 2.0104948E+001, 1.6225818E+002, 6.0558702E+001, 4.6719637E+001, 8.8151789E+001, 3.3840503E-003, 1.2056947E+000
 2.0414385E+001, 1.6139524E+002, 6.0526286E+001, 4.7006239E+001, 8.9055924E+001, 3.3840503E-003, 1.2074681E+000
 2.0706068E+001, 1.6102209E+002, 6.0604792E+001, 4.7244307E+001, 9.0520850E+001, 3.3840503E-003, 1.2090377E+000
 2.1013102E+001, 1.5632579E+002, 5.9125097E+001, 4.7408152E+001, 9.0725217E+001, 3.3840503E-003, 1.2104726E+000
 2.1315531E+001, 1.6008277E+002, 6.0585954E+001, 4.7554908E+001, 9.0788984E+001, 3.3840503E-003, 1.2119421E+000
 2.1602608E+001, 1.6278377E+002, 6.1526001E+001, 4.7767499E+001, 9.2736441E+001, 3.3840503E-003, 1.2134219E+000
 2.1906570E+001, 1.5931252E+002, 6.0610754E+001, 4.7801820E+001, 9.2554703E+001, 3.3840503E-003, 1.2148450E+000
 2.2215601E+001, 1.6072426E+002, 6.1252194E+001, 4.8136422E+001, 9.2115867E+001, 3.3840503E-003, 1.2162969E+000
 2.2512810E+001, 1.5982868E+002, 6.0901219E+001, 4.8297839E+001, 9.3186340E+001, 3.3840503E-003, 1.2176901E+000
 2.2810019E+001, 1.5741077E+002, 6.0472221E+001, 4.8213240E+001, 9.2207761E+001, 3.3840503E-003, 1.2189273E+000
 2.3107227E+001, 1.6143662E+002, 6.1858756E+001, 4.8487592E+001, 9.2171833E+001, 3.3840503E-003, 1.2202501E+000
 2.3404438E+001, 1.6925076E+002, 6.4484368E+001, 4.9010414E+001, 9.5253233E+001, 3.3840503E-003, 1.2218992E+000
 2.3708780E+001, 1.4964346E+002, 5.8047290E+001, 4.8915750E+001, 9.3808671E+001, 3.3840503E-003, 1.2228433E+000
 2.4009373E+001, 1.5771316E+002, 6.1310958E+001, 4.9244255E+001, 9.2676231E+001, 3.3840503E-003, 1.2239118E+000
 2.4309963E+001, 1.6219575E+002, 6.2490635E+001, 4.9194179E+001, 9.5608369E+001, 3.3840503E-003, 1.2251560E+000
 2.4610556E+001, 1.6063549E+002, 6.2160997E+001, 4.9184099E+001, 9.5860548E+001, 3.3840503E-003, 1.2263088E+000
 2.4911146E+001, 1.6245178E+002, 6.2977641E+001, 4.9645270E+001, 9.6290859E+001, 3.3840503E-003, 1.2274514E+000
 2.5211737E+001, 1.5903950E+002, 6.1698460E+001, 4.9582107E+001, 9.7933020E+001, 3.3840503E-003, 1.2285327E+000
 2.5512329E+001, 1.5489085E+002, 6.0844118E+001, 4.9671318E+001, 9.5272088E+001, 3.3840503E-003, 1.2293085E+000
 2.5812920E+001, 1.6261744E+002, 6.3324300E+001, 4.9585803E+001, 9.8027516E+001, 3.3840503E-003, 1.2303744E+000
 2.6113512E+001, 1.6073434E+002, 6.2938787E+001, 4.9728721E+001, 9.8631981E+001, 3.3840503E-003, 1.2313333E+000
 2.6414103E+001, 1.6110192E+002, 6.3343815E+001, 5.0039527E+001, 9.9226579E+001, 3.3840503E-003, 1.2322623E+000
 2.6714695E+001, 1.6123773E+002, 6.3417951E+001, 5.0230126E+001, 9.9497898E+001, 3.3840503E-003, 1.2331896E+000
 2.7015285E+001, 1.6123668E+002, 6.3527321E+001, 5.0262109E+001, 9.9877553E+001, 3.3840503E-003, 1.2341020E+000
 2.7315876E+001, 1.5877129E+002, 6.2976082E+001, 5.0278012E+001, 9.9670259E+001, 3.3840503E-003, 1.2348752E+000
 2.7616468E+001, 1.6063804E+002, 6.3747605E+001, 5.0178760E+001, 1.0056584E+002, 3.3840503E-003, 1.2357057E+000
 2.7900360E+001, 1.6067623E+002, 6.3894017E+001, 5.0378341E+001, 1.0044767E+002, 3.3840503E-003, 1.2364512E+000
 2.8200951E+001, 1.5856641E+002, 6.3170866E+001, 5.0517768E+001, 1.0089975E+002, 3.3840503E-003, 1.2371933E+000
 2.8501543E+001, 1.5788681E+002, 6.3208357E+001, 5.0470866E+001, 9.9785366E+001, 3.3840503E-003, 1.2378546E+000
 2.8802134E+001, 1.6078722E+002, 6.4191077E+001, 5.0282785E+001, 1.0106961E+002, 3.3840503E-003, 1.2386034E+000
 2.9102726E+001, 1.6052725E+002, 6.4257822E+001, 5.0639881E+001, 1.0233959E+002, 3.3840503E-003, 1.2392751E+000
 2.9403316E+001, 1.6248558E+002, 6.5103304E+001, 5.0944074E+001, 1.0348569E+002, 3.3840503E-003, 1.2399654E+000
 2.9703909E+001, 1.6020852E+002, 6.4586307E+001, 5.1147973E+001, 1.0407859E+002, 3.3840503E-003, 1.2405396E+000
 3.0004499E+001, 1.5989694E+002, 6.4785280E+001, 5.1119953E+001, 1.0455056E+002, 3.3840503E-003, 1.2410735E+000
 3.0305090E+001, 1.6053498E+002, 6.5118103E+001, 5.1215869E+001, 1.0457336E+002, 3.3840503E-003, 1.2415783E+000
 3.0605682E+001, 1.6016802E+002, 6.5091768E+001, 5.1130729E+001, 1.0539474E+002, 3.3840503E-003, 1.2420714E+000
 3.0906273E+001, 1.6014782E+002, 6.5304265E+001, 5.1145867E+001, 1.0531380E+002, 3.3840503E-003, 1.2425377E+000
 3.1206865E+001, 1.6021271E+002, 6.5469452E+001, 5.1197502E+001, 1.0566614E+002, 3.3840503E-003, 1.2429901E+000
 3.1507456E+001, 1.6151165E+002, 6.6044999E+001, 5.1286218E+001, 1.0631298E+002, 3.3840503E-003, 1.2434613E+000
 3.1808048E+001, 1.6196370E+002, 6.6303663E+001, 5.1314626E+001, 1.0689702E+002, 3.3840503E-003, 1.2439347E+000
 3.2108639E+001, 1.6093505E+002, 6.6045148E+001, 5.1363336E+001, 1.0719572E+002, 3.3840503E-003, 1.2443620E+000
 3.2409229E+001, 1.5937085E+002, 6.5666279E+001, 5.1338654E+001, 1.0707471E+002, 3.3840503E-003, 1.2447021E+000
 3.2709820E+001, 1.6000717E+002, 6.6079006E+001, 5.1426673E+001, 1.0737783E+002, 3.3840503E-003, 1.2450378E+000
 3.3010414E+001, 1.5729956E+002, 6.5336429E+001, 5.1408930E+001, 1.0730580E+002, 3.3840503E-003, 1.2452555E+000
 3.3311005E+001, 1.5620070E+002, 6.5150740E+001, 5.1327838E+001, 1.0711034E+002, 3.3840503E-003, 1.2453997E+000
 3.3611595E+001, 1.5795770E+002, 6.5831229E+001, 5.1250427E+001, 1.0726065E+002, 3.3840503E-003, 1.2455730E+000
 3.3912186E+001, 1.6455380E+002, 6.7890112E+001, 5.1389409E+001, 1.0887995E+002, 3.3840503E-003, 1.2459945E+000
 3.4212780E+001, 1.6290984E+002, 6.7270264E+001, 5.1685908E+001, 1.0952063E+002, 3.3840503E-003, 1.2463667E+000
 3.4513371E+001, 1.6415693E+002, 6.8075563E+001, 5.1930747E+001, 1.0995014E+002, 3.3840503E-003, 1.2467730E+000
 3.4813961E+001, 1.5441921E+002, 6.4993304E+001, 5.1982682E+001, 1.0892241E+002, 3.3840503E-003, 1.2468268E+000
 3.5114552E+001, 1.6014067E+002, 6.7224883E+001, 5.1909853E+001, 1.0864969E+002, 3.3840503E-003, 1.2470173E+000
 3.5415142E+001, 1.5879601E+002, 6.6916428E+001, 5.1882007E+001, 1.0965930E+002, 3.3840503E-003, 1.2471168E+000
 3.5715736E+001, 1.5837678E+002, 6.6927311E+001, 5.1707052E+001, 1.1061985E+002, 3.3840503E-003, 1.2471851E+000
 3.6016327E+001, 1.6312661E+002, 6.8724183E+001, 5.1700363E+001, 1.1104717E+002, 3.3840503E-003, 1.2473588E+000
 3.6300217E+001, 1.5969232E+002, 6.7329688E+001, 5.1516872E+001, 1.1283144E+002, 3.3840503E-003, 1.2474583E+000
 3.6600811E+001, 1.5819396E+002, 6.7429091E+001, 5.1572593E+001, 1.1142126E+002, 3.3840503E-003, 1.2474053E+000
 3.6901402E+001, 1.6434366E+002, 6.9282764E+001, 5.1608370E+001, 1.1311264E+002, 3.3840503E-003, 1.2475964E+000
 3.7201992E+001, 1.6045351E+002, 6.8211678E+001, 5.1341455E+001, 1.1349347E+002, 3.3840503E-003, 1.2476487E+000
 3.7502583E+001, 1.5995432E+002, 6.8365541E+001, 5.1408454E+001, 1.1278048E+002, 3.3840503E-003, 1.2476278E+000
 3.7803177E+001, 1.6371430E+002, 6.9544789E+001, 5.1532252E+001, 1.1410043E+002, 3.3840503E-003, 1.2477655E+000
 3.8103767E+001, 1.5898154E+002, 6.8114647E+001, 5.1707326E+001, 1.1350831E+002, 3.3840503E-003, 1.2477129E+000
 3.8404358E+001, 1.5963875E+002, 6.8544956E+001, 5.1722036E+001, 1.1342218E+002, 3.3840503E-003, 1.2476506E+000
 3.8704948E+001, 1.6092885E+002, 6.8982120E+001, 5.1767741E+001, 1.1410871E+002, 3.3840503E-003, 1.2476272E+000
 3.9005539E+001, 1.5997296E+002, 6.8748686E+001, 5.1676205E+001, 1.1430430E+002, 3.3840503E-003, 1.2475762E+000
 3.9306133E+001, 1.5726689E+002, 6.7977553E+001, 5.1419528E+001, 1.1355462E+002, 3.3840503E-003, 1.2474023E+000
 3.9606724E+001, 1.6155119E+002, 6.9508917E+001, 5.1720116E+001, 1.1364244E+002, 3.3840503E-003, 1.2473643E+000
 3.9907314E+001, 1.6425415E+002, 7.0238107E+001, 5.1757979E+001, 1.1571923E+002, 3.3840503E-003, 1.2474922E+000
 4.0207905E+001, 1.5232520E+002, 6.6839108E+001, 5.1756607E+001, 1.1396049E+002, 3.3840503E-003, 1.2471095E+000
 4.0508495E+001, 1.6427075E+002, 7.0954253E+001, 5.1739809E+001, 1.1531882E+002, 3.3840503E-003, 1.2470843E+000
 4.0809090E+001, 1.6388266E+002, 7.0638108E+001, 5.1713356E+001, 1.1722497E+002, 3.3840503E-003, 1.2470742E+000
 4.1109680E+001, 1.5913810E+002, 6.9340287E+001, 5.1899252E+001, 1.1683483E+002, 3.3840503E-003, 1.2468697E+000
 4.1410271E+001, 1.6192223E+002, 7.0491245E+001, 5.1818385E+001, 1.1719220E+002, 3.3840503E-003, 1.2467137E+000
 4.1710861E+001, 1.6271078E+002, 7.0835309E+001, 5.1437941E+001, 1.1833215E+002, 3.3840503E-003, 1.2465850E+000
 4.2011456E+001, 1.5636602E+002, 6.8976231E+001, 5.1179328E+001, 1.1757544E+002, 3.3840503E-003, 1.2462236E+000
 4.2312046E+001, 1.5827083E+002, 6.9785549E+001, 5.1164869E+001, 1.1680362E+002, 3.3840503E-003, 1.2458715E+000
 4.2612637E+001, 1.5911738E+002, 6.9832702E+001, 5.1060608E+001, 1.1718487E+002, 3.3840503E-003, 1.2455754E+000
 4.2913227E+001, 1.5791382E+002, 6.9758736E+001, 5.1244836E+001, 1.1723367E+002, 3.3840503E-003, 1.2452184E+000
 4.3213818E+001, 1.6784033E+002, 7.2973383E+001, 5.1603156E+001, 1.1944329E+002, 3.3840503E-003, 1.2452449E+000
 4.3514412E+001, 1.5541261E+002, 6.8917849E+001, 5.1365586E+001, 1.1845709E+002, 3.3840503E-003, 1.2448474E+000
 4.3815002E+001, 1.5957636E+002, 7.0787428E+001, 5.1287697E+001, 1.1753657E+002, 3.3840503E-003, 1.2445123E+000
 4.4108913E+001, 1.6035398E+002, 7.0854946E+001, 5.1314520E+001, 1.1838454E+002, 3.3840503E-003, 1.2442375E+000
 4.4403915E+001, 1.6183135E+002, 7.1367253E+001, 5.1320707E+001, 1.1908159E+002, 3.3840503E-003, 1.2440240E+000
 4.4700005E+001, 1.5666704E+002, 6.9895514E+001, 5.1094446E+001, 1.1853603E+002, 3.3840503E-003, 1.2435998E+000
 4.5012543E+001, 1.6222672E+002, 7.1819120E+001, 5.1033066E+001, 1.1938373E+002, 3.3840503E-003, 1.2433250E+000
 4.5308632E+001, 1.5791277E+002, 7.0523324E+001, 5.0766911E+001, 1.1964788E+002, 3.3840503E-003, 1.2429001E+000
 4.5604721E+001, 1.6162094E+002, 7.2014225E+001, 5.0640358E+001, 1.2074419E+002, 3.3840503E-003, 1.2425571E+000
 4.5900810E+001, 1.6065305E+002, 7.1795578E+001, 5.0575607E+001, 1.2126475E+002, 3.3840503E-003, 1.2421609E+000
 4.6213352E+001, 1.6365101E+002, 7.2784063E+001, 5.0427208E+001, 1.2237944E+002, 3.3840503E-003, 1.2418560E+000
 4.6509441E+001, 1.5974652E+002, 7.1604037E+001, 5.0426798E+001, 1.2237600E+002, 3.3840503E-003, 1.2414269E+000
 4.6805531E+001, 1.5834244E+002, 7.1286954E+001, 5.0379766E+001, 1.2185424E+002, 3.3840503E-003, 1.2409236E+000
 4.7101620E+001, 1.5939350E+002, 7.1645461E+001, 5.0337450E+001, 1.2179773E+002, 3.3840503E-003, 1.2404323E+000
 4.7414158E+001, 1.6287548E+002, 7.2749080E+001, 5.0316709E+001, 1.2263836E+002, 3.3840503E-003, 1.2400432E+000
 4.7710247E+001, 1.6080796E+002, 7.2252056E+001, 5.0223212E+001, 1.2292024E+002, 3.3840503E-003, 1.2396023E+000
 4.8006336E+001, 1.5958039E+002, 7.1964540E+001, 5.0124926E+001, 1.2292152E+002, 3.3840503E-003, 1.2391001E+000
 4.8302425E+001, 1.6044692E+002, 7.2394115E+001, 5.0281077E+001, 1.2328361E+002, 3.3840503E-003, 1.2386179E+000
 4.8614967E+001, 1.6266680E+002, 7.3007845E+001, 5.0434739E+001, 1.2396540E+002, 3.3840503E-003, 1.2382002E+000
 4.8911057E+001, 1.5796756E+002, 7.1472456E+001, 5.0270841E+001, 1.2344663E+002, 3.3840503E-003, 1.2376454E+000
 4.9207146E+001, 1.6632231E+002, 7.4767526E+001, 5.0361477E+001, 1.2353154E+002, 3.3840503E-003, 1.2373353E+000
 4.9503235E+001, 1.5600170E+002, 7.0904334E+001, 4.9931861E+001, 1.2437961E+002, 3.3840503E-003, 1.2368129E+000
 4.9804260E+001, 1.4979448E+002, 6.9931877E+001, 4.9896797E+001, 1.2058002E+002, 3.3840503E-003, 1.2358868E+000
 5.0111454E+001, 1.6688217E+002, 7.4935627E+001, 5.0031137E+001, 1.2350499E+002, 3.3840503E-003, 1.2356079E+000
 5.0409626E+001, 1.6020881E+002, 7.2661231E+001, 4.9722902E+001, 1.2469100E+002, 3.3840503E-003, 1.2351317E+000
 5.0712002E+001, 1.6447887E+002, 7.4292645E+001, 4.9655610E+001, 1.2507929E+002, 3.3840503E-003, 1.2347523E+000
 5.1001423E+001, 1.5916701E+002, 7.2643507E+001, 4.9699610E+001, 1.2497026E+002, 3.3840503E-003, 1.2342018E+000
 5.1302361E+001, 1.6468433E+002, 7.4658771E+001, 4.9725729E+001, 1.2545672E+002, 3.3840503E-003, 1.2338232E+000
 5.1603298E+001, 1.5700347E+002, 7.2182913E+001, 4.9394308E+001, 1.2542459E+002, 3.3840503E-003, 1.2331765E+000
 5.1904240E+001, 1.5711594E+002, 7.2517289E+001, 4.9241920E+001, 1.2435640E+002, 3.3840503E-003, 1.2324627E+000
 5.2205177E+001, 1.5744522E+002, 7.2492330E+001, 4.9001114E+001, 1.2528412E+002, 3.3840503E-003, 1.2317715E+000
 5.2506115E+001, 1.6211359E+002, 7.4557423E+001, 4.9183954E+001, 1.2521256E+002, 3.3840503E-003, 1.2311749E+000
 5.2807056E+001, 1.6222664E+002, 7.3955439E+001, 4.9274684E+001, 1.2763248E+002, 3.3840503E-003, 1.2307193E+000
 5.3107994E+001, 1.6114612E+002, 7.4114064E+001, 4.9425806E+001, 1.2581124E+002, 3.3840503E-003, 1.2301277E+000
 5.3408932E+001, 1.6282191E+002, 7.4745593E+001, 4.9502958E+001, 1.2681550E+002, 3.3840503E-003, 1.2296321E+000
 5.3709869E+001, 1.5845171E+002, 7.3494563E+001, 4.9328905E+001, 1.2716302E+002, 3.3840503E-003, 1.2289558E+000
 5.4010811E+001, 1.5655090E+002, 7.3221734E+001, 4.9090911E+001, 1.2640716E+002, 3.3840503E-003, 1.2281636E+000
 5.4311749E+001, 1.5810434E+002, 7.3511122E+001, 4.8739513E+001, 1.2655706E+002, 3.3840503E-003, 1.2274447E+000
 5.4612686E+001, 1.6043681E+002, 7.4399331E+001, 4.8507596E+001, 1.2688809E+002, 3.3840503E-003, 1.2267833E+000
 5.4913624E+001, 1.6283582E+002, 7.5208173E+001, 4.8455349E+001, 1.2832825E+002, 3.3840503E-003, 1.2262142E+000
 5.5214565E+001, 1.6130784E+002, 7.4694707E+001, 4.8403731E+001, 1.2825363E+002, 3.3840503E-003, 1.2255926E+000
 5.5515503E+001, 1.6008882E+002, 7.4329704E+001, 4.8305822E+001, 1.2815504E+002, 3.3840503E-003, 1.2249230E+000
 5.5800602E+001, 1.6013541E+002, 7.4496331E+001, 4.8159793E+001, 1.2815784E+002, 3.3840503E-003, 1.2242610E+000
 5.6101540E+001, 1.6093356E+002, 7.4853565E+001, 4.8078269E+001, 1.2882215E+002, 3.3840503E-003, 1.2235831E+000
 5.6402481E+001, 1.5879330E+002, 7.4105609E+001, 4.7867001E+001, 1.2887507E+002, 3.3840503E-003, 1.2228220E+000
 5.6703419E+001, 1.5962234E+002, 7.4811945E+001, 4.7762981E+001, 1.2876056E+002, 3.3840503E-003, 1.2220442E+000
 5.7004356E+001, 1.6060633E+002, 7.5258538E+001, 4.7636617E+001, 1.2969809E+002, 3.3840503E-003, 1.2213008E+000
 5.7305294E+001, 1.6406882E+002, 7.6651859E+001, 4.7901286E+001, 1.3049286E+002, 3.3840503E-003, 1.2206638E+000
 5.7606236E+001, 1.6319770E+002, 7.6038699E+001, 4.7932889E+001, 1.3159124E+002, 3.3840503E-003, 1.2200755E+000
 5.7907173E+001, 1.5838765E+002, 7.5001432E+001, 4.7894588E+001, 1.3025957E+002, 3.3840503E-003, 1.2192682E+000
 5.8208111E+001, 1.5770910E+002, 7.4804818E+001, 4.7709322E+001, 1.2986905E+002, 3.3840503E-003, 1.2184439E+000
 5.8509048E+001, 1.5808978E+002, 7.5112203E+001, 4.7510235E+001, 1.2932005E+002, 3.3840503E-003, 1.2176259E+000
 5.8809990E+001, 1.5935015E+002, 7.5263696E+001, 4.7153258E+001, 1.2991356E+002, 3.3840503E-003, 1.2168715E+000
 5.9110928E+001, 1.6062733E+002, 7.5662558E+001, 4.7022125E+001, 1.3016339E+002, 3.3840503E-003, 1.2161407E+000
