Re_H, friction_factor
91541,0.032424
1.0212e+005,0.03233
1.1391e+005,0.032244
1.2707e+005,0.032167
1.4175e+005,0.032097
1.5812e+005,0.032035
1.7639e+005,0.031978
1.9676e+005,0.031927
2.1949e+005,0.031881
2.4484e+005,0.03184
2.7313e+005,0.031803
3.0468e+005,0.03177
3.3987e+005,0.03174
3.7913e+005,0.031713
4.2292e+005,0.031689
4.7178e+005,0.031667
5.2627e+005,0.031647
5.8707e+005,0.03163
6.5488e+005,0.031614
7.3053e+005,0.0316
8.1491e+005,0.031587
9.0905e+005,0.031576
1.0141e+006,0.031566
1.1312e+006,0.031557
1.2619e+006,0.031549
1.4076e+006,0.031541
1.5702e+006,0.031535
1.7516e+006,0.031529
1.9539e+006,0.031523
2.1796e+006,0.031519
2.4314e+006,0.031514
2.7123e+006,0.03151
3.0256e+006,0.031507
3.3751e+006,0.031504
3.7649e+006,0.031501
4.1998e+006,0.031499
4.685e+006,0.031496
5.2261e+006,0.031494
5.8298e+006,0.031493
6.5033e+006,0.031491
7.2545e+006,0.03149
8.0925e+006,0.031488
9.0273e+006,0.031487
1.007e+007,0.031486
1.1233e+007,0.031485
1.2531e+007,0.031484
1.3978e+007,0.031484
1.5593e+007,0.031483
1.7394e+007,0.031482
1.9403e+007,0.031482
2.1645e+007,0.031481
2.4145e+007,0.031481
2.6934e+007,0.031481
3.0045e+007,0.03148
3.3516e+007,0.03148
3.7388e+007,0.03148
4.1706e+007,0.031479
4.6524e+007,0.031479
5.1898e+007,0.031479
5.7893e+007,0.031479
6.458e+007,0.031479
7.204e+007,0.031478
8.0362e+007,0.031478
8.9645e+007,0.031478
1e+008,0.031478
1995.3,0.10949
2225.7,0.10871
2482.8,0.10801
2769.6,0.10737
3089.6,0.1068
3446.5,0.10628
3844.6,0.10581
4288.7,0.10539
4784.1,0.10501
5336.7,0.10467
5953.2,0.10437
6640.8,0.10409
7407.9,0.10384
8263.6,0.10362
9218.2,0.10342
10283,0.10324
11471,0.10307
12796,0.10293
14274,0.1028
15923,0.10268
17762,0.10257
19814,0.10248
22103,0.10239
24656,0.10232
27504,0.10225
30681,0.10219
34225,0.10213
38178,0.10209
42589,0.10204
47508,0.102
52996,0.10197
59118,0.10193
65947,0.1019
73564,0.10188
82062,0.10186
91541,0.10184
1.0212e+005,0.10182
1.1391e+005,0.1018
1.2707e+005,0.10179
1.4175e+005,0.10177
1.5812e+005,0.10176
1.7639e+005,0.10175
1.9676e+005,0.10174
2.1949e+005,0.10173
2.4484e+005,0.10172
2.7313e+005,0.10172
3.0468e+005,0.10171
3.3987e+005,0.1017
3.7913e+005,0.1017
4.2292e+005,0.1017
4.7178e+005,0.10169
5.2627e+005,0.10169
5.8707e+005,0.10168
6.5488e+005,0.10168
7.3053e+005,0.10168
8.1491e+005,0.10168
9.0905e+005,0.10167
1.0141e+006,0.10167
1.1312e+006,0.10167
1.2619e+006,0.10167
1.4076e+006,0.10167
1.5702e+006,0.10167
1.7516e+006,0.10167
1.9539e+006,0.10167
2.1796e+006,0.10166
2.4314e+006,0.10166
2.7123e+006,0.10166
3.0256e+006,0.10166
3.3751e+006,0.10166
3.7649e+006,0.10166
4.1998e+006,0.10166
4.685e+006,0.10166
5.2261e+006,0.10166
5.8298e+006,0.10166
6.5033e+006,0.10166
7.2545e+006,0.10166
8.0925e+006,0.10166
9.0273e+006,0.10166
1.007e+007,0.10166
1.1233e+007,0.10166
1.2531e+007,0.10166
1.3978e+007,0.10166
1.5593e+007,0.10166
1.7394e+007,0.10166
1.9403e+007,0.10166
2.1645e+007,0.10166
2.4145e+007,0.10166
2.6934e+007,0.10166
3.0045e+007,0.10166
3.3516e+007,0.10166
3.7388e+007,0.10166
4.1706e+007,0.10166
4.6524e+007,0.10166
5.1898e+007,0.10166
5.7893e+007,0.10166
6.458e+007,0.10166
7.204e+007,0.10166
8.0362e+007,0.10166
8.9645e+007,0.10166
1e+008,0.10166
100,0.24
106.3,0.22578
113,0.2124
120.11,0.19981
127.68,0.18797
135.72,0.17683
144.27,0.16635
153.36,0.15649
163.02,0.14722
173.29,0.1385
184.21,0.13029
195.81,0.12257
208.15,0.1153
221.26,0.10847
235.2,0.10204
250.01,0.095996
265.76,0.090307
282.5,0.084955
300.3,0.079921
319.21,0.075185
339.32,0.070729
360.7,0.066538
383.42,0.062595
407.57,0.058885
433.25,0.055396
460.54,0.052113
489.55,0.049025
520.39,0.04612
553.17,0.043386
588.01,0.040815
625.06,0.038397
664.43,0.036121
706.28,0.033981
750.78,0.031967
798.07,0.030073
848.34,0.02829
901.78,0.026614
958.59,0.025037
1019,0.023553
1083.2,0.022157
1151.4,0.020844
1223.9,0.019609
1301,0.018447
1383,0.017354
1470.1,0.016325
1562.7,0.015358
1661.1,0.014448
1765.8,0.013592
1877,0.012786
1995.3,0.012028
