s,kW,C,kg,mu-m
Time,"Absorption","ADT","null","null"
 6.4100000E-003, 7.4198003E+000, 4.7062273E+000, 9.9999998E-003, 8.7128503E+002
 6.5100000E-003, 7.4197793E+000, 4.7804370E+000, 9.9999998E-003, 8.7128503E+002
 6.6100000E-003, 7.4197583E+000, 4.8546462E+000, 9.9999998E-003, 8.7128503E+002
 6.7100000E-003, 7.4197373E+000, 4.9288549E+000, 9.9999998E-003, 8.7128503E+002
 6.8100000E-003, 7.4197164E+000, 5.0030637E+000, 9.9999998E-003, 8.7128503E+002
 6.9100000E-003, 7.4196954E+000, 5.0772719E+000, 9.9999998E-003, 8.7128503E+002
 7.0100000E-003, 7.4196744E+000, 5.1514802E+000, 9.9999998E-003, 8.7128503E+002
 7.1100000E-003, 7.4196534E+000, 5.2256880E+000, 9.9999998E-003, 8.7128503E+002
 7.2100000E-003, 7.4196324E+000, 5.2998953E+000, 9.9999998E-003, 8.7128503E+002
 7.3100000E-003, 7.4196115E+000, 5.3741026E+000, 9.9999998E-003, 8.7128503E+002
 7.4100000E-003, 7.4195905E+000, 5.4483094E+000, 9.9999998E-003, 8.7128503E+002
 7.5100000E-003, 7.4195690E+000, 5.5225163E+000, 9.9999998E-003, 8.7128503E+002
 7.6100000E-003, 7.4195480E+000, 5.5967221E+000, 9.9999998E-003, 8.7128503E+002
 7.7100000E-003, 7.4195271E+000, 5.6709285E+000, 9.9999998E-003, 8.7128503E+002
 7.8100000E-003, 7.4195056E+000, 5.7451339E+000, 9.9999998E-003, 8.7128503E+002
 7.9100000E-003, 7.4194846E+000, 5.8193393E+000, 9.9999998E-003, 8.7128503E+002
 8.0100000E-003, 7.4194636E+000, 5.8935447E+000, 9.9999998E-003, 8.7128503E+002
 8.1100000E-003, 7.4194422E+000, 5.9677491E+000, 9.9999998E-003, 8.7128503E+002
 8.2100000E-003, 7.4194212E+000, 6.0419536E+000, 9.9999998E-003, 8.7128503E+002
 8.3100000E-003, 7.4193997E+000, 6.1161580E+000, 9.9999998E-003, 8.7128503E+002
 8.4100000E-003, 7.4193788E+000, 6.1903620E+000, 9.9999998E-003, 8.7128503E+002
 8.5100000E-003, 7.4193573E+000, 6.2645655E+000, 9.9999998E-003, 8.7128503E+002
 8.6100000E-003, 7.4193363E+000, 6.3387685E+000, 9.9999998E-003, 8.7128503E+002
 8.7100000E-003, 7.4193149E+000, 6.4129715E+000, 9.9999998E-003, 8.7128503E+002
 8.8100000E-003, 7.4192934E+000, 6.4871740E+000, 9.9999998E-003, 8.7128503E+002
 8.9100000E-003, 7.4192724E+000, 6.5613766E+000, 9.9999998E-003, 8.7128503E+002
 9.0100000E-003, 7.4192510E+000, 6.6355786E+000, 9.9999998E-003, 8.7128503E+002
 9.1100000E-003, 7.4192295E+000, 6.7097802E+000, 9.9999998E-003, 8.7128503E+002
 9.2100000E-003, 7.4192080E+000, 6.7839818E+000, 9.9999998E-003, 8.7128503E+002
 9.3100000E-003, 7.4191871E+000, 6.8581829E+000, 9.9999998E-003, 8.7128503E+002
 9.4100000E-003, 7.4191656E+000, 6.9323840E+000, 9.9999998E-003, 8.7128503E+002
 9.5100000E-003, 7.4191442E+000, 7.0065846E+000, 9.9999998E-003, 8.7128503E+002
 9.6100000E-003, 7.4191227E+000, 7.0807848E+000, 9.9999998E-003, 8.7128503E+002
 9.7100000E-003, 7.4191012E+000, 7.1549845E+000, 9.9999998E-003, 8.7128503E+002
 9.8100000E-003, 7.4190798E+000, 7.2291842E+000, 9.9999998E-003, 8.7128503E+002
 9.9100000E-003, 7.4190583E+000, 7.3033834E+000, 9.9999998E-003, 8.7128503E+002
 1.0010000E-002, 7.4190369E+000, 7.3775826E+000, 9.9999998E-003, 8.7128503E+002
