s,m/s,m/s,kg/m/s,kg/m3
FDS Time,"Device_1","Device_2","Device_3","Device_4"
 5.0596443E+001, 4.0879312E-001, 4.2169159E-001, 1.8089887E-005, 1.1984476E+000
 5.1189369E+001, 4.1346478E-001, 4.2584239E-001, 1.8904944E-005, 1.1984476E+000
 5.1584656E+001, 4.1735541E-001, 4.2915720E-001, 3.3083322E-005, 1.1984476E+000
 5.2177582E+001, 4.2124391E-001, 4.3434406E-001, 3.9967243E-005, 1.1984476E+000
 5.2572865E+001, 4.2513032E-001, 4.3916754E-001, 3.5698974E-005, 1.1984476E+000
 5.3165794E+001, 4.2901379E-001, 4.4240374E-001, 2.5658111E-005, 1.1984476E+000
 5.3561077E+001, 4.3289465E-001, 4.4701731E-001, 1.8853988E-005, 1.1984476E+000
 5.4154003E+001, 4.3677249E-001, 4.5351350E-001, 1.8524979E-005, 1.1984476E+000
 5.4549290E+001, 4.4064813E-001, 4.5841788E-001, 2.2117931E-005, 1.1984476E+000
 5.5142216E+001, 4.4452152E-001, 4.6118247E-001, 2.6012704E-005, 1.1984476E+000
 5.5537502E+001, 4.4839366E-001, 4.6355228E-001, 1.9900477E-005, 1.1984476E+000
 5.6130428E+001, 4.5226356E-001, 4.6503270E-001, 1.9725602E-005, 1.1984476E+000
 5.6525715E+001, 4.5612953E-001, 4.6700211E-001, 2.5512050E-005, 1.1984476E+000
 5.7118641E+001, 4.5999199E-001, 4.7224002E-001, 3.0310855E-005, 1.1984476E+000
 5.7513924E+001, 4.6385359E-001, 4.7905093E-001, 2.7873341E-005, 1.1984476E+000
 5.8106853E+001, 4.6771394E-001, 4.8338491E-001, 2.1661516E-005, 1.1984476E+000
 5.8502136E+001, 4.7157044E-001, 4.8558228E-001, 1.8089887E-005, 1.1984476E+000
 5.9095062E+001, 4.7542250E-001, 4.8803535E-001, 1.8995875E-005, 1.1984476E+000
 5.9687992E+001, 4.8004204E-001, 4.9232907E-001, 2.2491368E-005, 1.1984476E+000
 6.0083275E+001, 4.8388898E-001, 4.9721706E-001, 1.9794606E-005, 1.1984476E+000
 6.0676201E+001, 4.8773289E-001, 5.0404017E-001, 1.9051623E-005, 1.1984476E+000
 6.1071487E+001, 4.9157426E-001, 5.1157593E-001, 2.2350351E-005, 1.1984476E+000
 6.1664413E+001, 4.9541365E-001, 5.1602734E-001, 1.9031041E-005, 1.1984476E+000
 6.2059700E+001, 4.9924938E-001, 5.1766720E-001, 1.8633147E-005, 1.1984476E+000
 6.2652626E+001, 5.0308112E-001, 5.2071264E-001, 2.1154573E-005, 1.1984476E+000
 6.3047913E+001, 5.0691048E-001, 5.2487164E-001, 1.8089887E-005, 1.1984476E+000
 6.3640839E+001, 5.1073774E-001, 5.2881529E-001, 2.0006710E-005, 1.1984476E+000
 6.4036125E+001, 5.1456221E-001, 5.3446725E-001, 3.1231549E-005, 1.1984476E+000
 6.4629051E+001, 5.1838351E-001, 5.4041109E-001, 2.8799421E-005, 1.1984476E+000
 6.5024338E+001, 5.2220292E-001, 5.4345016E-001, 2.0821228E-005, 1.1984476E+000
 6.5617264E+001, 5.2601802E-001, 5.4774714E-001, 2.2377351E-005, 1.1984476E+000
 6.6012543E+001, 5.2982978E-001, 5.5487728E-001, 2.2618061E-005, 1.1984476E+000
 6.6605476E+001, 5.3363809E-001, 5.5773104E-001, 2.0188030E-005, 1.1984476E+000
 6.7000755E+001, 5.3744345E-001, 5.5817777E-001, 1.8089887E-005, 1.1984476E+000
 6.7593681E+001, 5.4124620E-001, 5.6287976E-001, 1.8089887E-005, 1.1984476E+000
 6.8186615E+001, 5.4580592E-001, 5.6855914E-001, 2.0786957E-005, 1.1984476E+000
 6.8581894E+001, 5.4960229E-001, 5.7144703E-001, 2.3233878E-005, 1.1984476E+000
 6.9174828E+001, 5.5339548E-001, 5.7760347E-001, 2.3152912E-005, 1.1984476E+000
 6.9570107E+001, 5.5718431E-001, 5.8336090E-001, 1.9834183E-005, 1.1984476E+000
 7.0163033E+001, 5.6096897E-001, 5.8650258E-001, 1.9952346E-005, 1.1984476E+000
 7.0558319E+001, 5.6474985E-001, 5.8932729E-001, 1.8717197E-005, 1.1984476E+000
 7.1151245E+001, 5.6852812E-001, 5.9144591E-001, 2.0703686E-005, 1.1984476E+000
 7.1546532E+001, 5.7230636E-001, 5.9317335E-001, 1.9107357E-005, 1.1984476E+000
 7.2139458E+001, 5.7607676E-001, 5.9785302E-001, 2.8803600E-005, 1.1984476E+000
 7.2534744E+001, 5.7984069E-001, 6.0319641E-001, 2.4086289E-005, 1.1984476E+000
 7.3127670E+001, 5.8360439E-001, 6.0856301E-001, 2.1594866E-005, 1.1984476E+000
 7.3522957E+001, 5.8736453E-001, 6.1173809E-001, 1.8089887E-005, 1.1984476E+000
 7.4095749E+001, 5.9106501E-001, 6.1212628E-001, 1.9546522E-005, 1.1984476E+000
 7.4628273E+001, 5.9515501E-001, 6.1719795E-001, 2.1590740E-005, 1.1984476E+000
 7.5160797E+001, 5.9918847E-001, 6.2546464E-001, 1.8413516E-005, 1.1984476E+000
 7.5515808E+001, 6.0254642E-001, 6.3155570E-001, 1.8700578E-005, 1.1984476E+000
 7.6048332E+001, 6.0589952E-001, 6.3462267E-001, 2.0031086E-005, 1.1984476E+000
 7.6580856E+001, 6.0991918E-001, 6.3795625E-001, 1.9084217E-005, 1.1984476E+000
 7.7113380E+001, 6.1393209E-001, 6.4234912E-001, 1.8089887E-005, 1.1984476E+000
 7.7645905E+001, 6.1793779E-001, 6.4454488E-001, 2.0581536E-005, 1.1984476E+000
 7.8000916E+001, 6.2127456E-001, 6.4971069E-001, 3.4895324E-005, 1.1984476E+000
 7.8533440E+001, 6.2460587E-001, 6.5814536E-001, 2.5316657E-005, 1.1984476E+000
 7.9065964E+001, 6.2859805E-001, 6.6205162E-001, 1.9165652E-005, 1.1984476E+000
 7.9598488E+001, 6.3258025E-001, 6.6610885E-001, 2.1394239E-005, 1.1984476E+000
 8.0131012E+001, 6.3655665E-001, 6.7057973E-001, 1.9973918E-005, 1.1984476E+000
 8.0663536E+001, 6.4052547E-001, 6.7436530E-001, 1.8089887E-005, 1.1984476E+000
 8.1018547E+001, 6.4382785E-001, 6.7743260E-001, 1.8857821E-005, 1.1984476E+000
 8.1551071E+001, 6.4712663E-001, 6.7881546E-001, 1.9445043E-005, 1.1984476E+000
 8.2065804E+001, 6.5103174E-001, 6.8404272E-001, 1.9826300E-005, 1.1984476E+000
 8.2544952E+001, 6.5462295E-001, 6.9033268E-001, 2.1974410E-005, 1.1984476E+000
 8.3024094E+001, 6.5816134E-001, 6.9304270E-001, 2.1481470E-005, 1.1984476E+000
 8.3503242E+001, 6.6168948E-001, 6.9475063E-001, 2.3324407E-005, 1.1984476E+000
 8.4142097E+001, 6.6580298E-001, 6.9647416E-001, 2.0571591E-005, 1.1984476E+000
 8.4621246E+001, 6.6990574E-001, 7.0411127E-001, 2.8062214E-005, 1.1984476E+000
 8.5100388E+001, 6.7340321E-001, 7.1255135E-001, 2.1705451E-005, 1.1984476E+000
 8.5579536E+001, 6.7689496E-001, 7.1322213E-001, 1.9749783E-005, 1.1984476E+000
 8.6058678E+001, 6.8038257E-001, 7.1380770E-001, 1.9499809E-005, 1.1984476E+000
 8.6537827E+001, 6.8385462E-001, 7.1622735E-001, 1.9115048E-005, 1.1984476E+000
 8.7016968E+001, 6.8731385E-001, 7.2129415E-001, 1.9212837E-005, 1.1984476E+000
 8.7655830E+001, 6.9133400E-001, 7.2963714E-001, 2.4294542E-005, 1.1984476E+000
 8.8134972E+001, 6.9534032E-001, 7.3438089E-001, 2.0532296E-005, 1.1984476E+000
 8.8614120E+001, 6.9876271E-001, 7.4060949E-001, 2.0011149E-005, 1.1984476E+000
 8.9093262E+001, 7.0217009E-001, 7.4241643E-001, 1.8089887E-005, 1.1984476E+000
 8.9572411E+001, 7.0556323E-001, 7.4091043E-001, 2.3596836E-005, 1.1984476E+000
 9.0051552E+001, 7.0894925E-001, 7.5285752E-001, 3.4120854E-005, 1.1984476E+000
 9.0530701E+001, 7.1232181E-001, 7.6195095E-001, 2.0526665E-005, 1.1984476E+000
 9.1105179E+001, 7.1595289E-001, 7.6021735E-001, 1.8174922E-005, 1.1984476E+000
 9.1536041E+001, 7.1945909E-001, 7.6350104E-001, 2.2451788E-005, 1.1984476E+000
 9.2110527E+001, 7.2294636E-001, 7.7313781E-001, 2.1104633E-005, 1.1984476E+000
 9.2541389E+001, 7.2641697E-001, 7.7585076E-001, 1.8929632E-005, 1.1984476E+000
 9.3115875E+001, 7.2986502E-001, 7.7410612E-001, 1.8089887E-005, 1.1984476E+000
 9.3546738E+001, 7.3329928E-001, 7.7961587E-001, 2.2177010E-005, 1.1984476E+000
 9.4121223E+001, 7.3670201E-001, 7.8452479E-001, 2.2068101E-005, 1.1984476E+000
 9.4552086E+001, 7.4007486E-001, 7.8604178E-001, 3.2488914E-005, 1.1984476E+000
 9.5126564E+001, 7.4342816E-001, 7.8552252E-001, 2.4519970E-005, 1.1984476E+000
 9.5557426E+001, 7.4676427E-001, 7.9383559E-001, 2.7201395E-005, 1.1984476E+000
 9.6131912E+001, 7.5004502E-001, 8.0717646E-001, 2.3342205E-005, 1.1984476E+000
 9.6562775E+001, 7.5329541E-001, 8.0780852E-001, 1.8089887E-005, 1.1984476E+000
 9.7137260E+001, 7.5653039E-001, 8.0513627E-001, 1.8619512E-005, 1.1984476E+000
 9.7568123E+001, 7.5971408E-001, 8.1380844E-001, 1.8186726E-005, 1.1984476E+000
 9.8127831E+001, 7.6282438E-001, 8.1616571E-001, 2.2466497E-005, 1.1984476E+000
 9.8514359E+001, 7.6568218E-001, 8.1554391E-001, 2.2445554E-005, 1.1984476E+000
 9.9029732E+001, 7.6843311E-001, 8.2473236E-001, 2.4048541E-005, 1.1984476E+000
 9.9545105E+001, 7.7154413E-001, 8.3202705E-001, 2.2056274E-005, 1.1984476E+000
 1.0006048E+002, 7.7461092E-001, 8.2669529E-001, 2.1687085E-005, 1.1984476E+000
 1.0057585E+002, 7.7764394E-001, 8.4294130E-001, 3.2905978E-005, 1.1984476E+000
 1.0109122E+002, 7.8061214E-001, 8.5407104E-001, 1.9465031E-005, 1.1984476E+000
 1.0160660E+002, 7.8351879E-001, 8.4416663E-001, 1.8142748E-005, 1.1984476E+000
 1.0212197E+002, 7.8636231E-001, 8.5114563E-001, 2.6553845E-005, 1.1984476E+000
 1.0250850E+002, 7.8881458E-001, 8.6596022E-001, 2.2518557E-005, 1.1984476E+000
 1.0302387E+002, 7.9122275E-001, 8.6454261E-001, 1.8775307E-005, 1.1984476E+000
 1.0353925E+002, 7.9392360E-001, 8.5699291E-001, 1.8446791E-005, 1.1984476E+000
 1.0405462E+002, 7.9655025E-001, 8.5887437E-001, 2.2283508E-005, 1.1984476E+000
 1.0456999E+002, 7.9909667E-001, 8.6589542E-001, 3.2245066E-005, 1.1984476E+000
 1.0508537E+002, 8.0157964E-001, 8.7303692E-001, 2.8659433E-005, 1.1984476E+000
 1.0560074E+002, 8.0401820E-001, 8.8501539E-001, 2.8901353E-005, 1.1984476E+000
 1.0607595E+002, 8.0626863E-001, 8.9341551E-001, 4.5240783E-005, 1.1984476E+000
 1.0653777E+002, 8.0829476E-001, 8.9022831E-001, 2.2734802E-005, 1.1984476E+000
 1.0711504E+002, 8.1055370E-001, 8.8227951E-001, 1.8562264E-005, 1.1984476E+000
 1.0757687E+002, 8.1270039E-001, 8.9195471E-001, 2.5519442E-005, 1.1984476E+000
 1.0803868E+002, 8.1450829E-001, 9.0074165E-001, 2.0582290E-005, 1.1984476E+000
 1.0850050E+002, 8.1626343E-001, 8.9814015E-001, 2.8114293E-005, 1.1984476E+000
 1.0907778E+002, 8.1812792E-001, 9.1344674E-001, 3.7574478E-005, 1.1984476E+000
 1.0953960E+002, 8.1995014E-001, 9.0672161E-001, 2.3727208E-005, 1.1984476E+000
 1.1000142E+002, 8.2143745E-001, 9.1245897E-001, 3.7972117E-005, 1.1984476E+000
 1.1057870E+002, 8.2302788E-001, 9.3827820E-001, 3.2299318E-005, 1.1984476E+000
 1.1104051E+002, 8.2450404E-001, 9.3379519E-001, 1.8089887E-005, 1.1984476E+000
 1.1150233E+002, 8.2573591E-001, 9.1732712E-001, 2.7085829E-005, 1.1984476E+000
 1.1207961E+002, 8.2706984E-001, 9.4925202E-001, 5.5944620E-005, 1.1984476E+000
 1.1254143E+002, 8.2828674E-001, 9.5991044E-001, 1.8089887E-005, 1.1984476E+000
 1.1300325E+002, 8.2923295E-001, 9.2014594E-001, 1.9052622E-005, 1.1984476E+000
 1.1358053E+002, 8.3023660E-001, 9.2235672E-001, 3.3402818E-005, 1.1984476E+000
 1.1404234E+002, 8.3108548E-001, 9.3489837E-001, 7.5571972E-005, 1.1984476E+000
 1.1450417E+002, 8.3171568E-001, 9.6282619E-001, 4.3255115E-005, 1.1984476E+000
 1.1508144E+002, 8.3233604E-001, 9.6910333E-001, 3.1995281E-005, 1.1984476E+000
 1.1551874E+002, 8.3271602E-001, 9.7583292E-001, 5.3825928E-005, 1.1984476E+000
 1.1603470E+002, 8.3294117E-001, 9.5883327E-001, 4.4062888E-005, 1.1984476E+000
 1.1655066E+002, 8.3316530E-001, 9.5593574E-001, 5.8755028E-005, 1.1984476E+000
 1.1706662E+002, 8.3323078E-001, 9.7864370E-001, 2.7858875E-005, 1.1984476E+000
 1.1758258E+002, 8.3312975E-001, 9.7229414E-001, 1.8089887E-005, 1.1984476E+000
 1.1809854E+002, 8.3303315E-001, 9.7303031E-001, 6.5856042E-005, 1.1984476E+000
 1.1851131E+002, 8.3279401E-001, 9.8343166E-001, 1.9988417E-005, 1.1984476E+000
 1.1902728E+002, 8.3236427E-001, 9.7662393E-001, 6.3049365E-005, 1.1984476E+000
 1.1954324E+002, 8.3173653E-001, 1.0195248E+000, 9.1149135E-005, 1.1984476E+000
 1.2005920E+002, 8.3100025E-001, 1.0318986E+000, 4.4235741E-005, 1.1984476E+000
 1.2057516E+002, 8.3004680E-001, 9.8028421E-001, 7.6929318E-005, 1.1984476E+000
 1.2109113E+002, 8.2904212E-001, 1.0139352E+000, 1.9288416E-004, 1.1984476E+000
 1.2150389E+002, 8.2808633E-001, 1.0648801E+000, 4.1435086E-005, 1.1984476E+000
 1.2201985E+002, 8.2691665E-001, 1.0197405E+000, 1.8089887E-005, 1.1984476E+000
 1.2250472E+002, 8.2553872E-001, 9.5749825E-001, 8.6678155E-005, 1.1984476E+000
 1.2306169E+002, 8.2406667E-001, 9.9563151E-001, 2.0724212E-004, 1.1984476E+000
 1.2352583E+002, 8.2260243E-001, 1.0375825E+000, 1.0479107E-004, 1.1984476E+000
 1.2408279E+002, 8.2099131E-001, 1.0415092E+000, 9.7763549E-005, 1.1984476E+000
 1.2454694E+002, 8.1927456E-001, 1.0567581E+000, 2.3384158E-005, 1.1984476E+000
 1.2501108E+002, 8.1764396E-001, 1.0053788E+000, 9.8252904E-005, 1.1984476E+000
 1.2556804E+002, 8.1592988E-001, 1.0245525E+000, 4.6024590E-004, 1.1984476E+000
 1.2603218E+002, 8.1408737E-001, 1.0527684E+000, 2.7327904E-005, 1.1984476E+000
 1.2658915E+002, 8.1232210E-001, 1.0292818E+000, 7.4463205E-005, 1.1984476E+000
 1.2705329E+002, 8.1065769E-001, 1.0094285E+000, 2.1220465E-004, 1.1984476E+000
 1.2751743E+002, 8.0906179E-001, 1.0320958E+000, 1.5282388E-004, 1.1984476E+000
 1.2807440E+002, 8.0719079E-001, 1.0783484E+000, 1.0985926E-004, 1.1984476E+000
 1.2853853E+002, 8.0507523E-001, 1.0562924E+000, 8.5921929E-005, 1.1984476E+000
 1.2900267E+002, 8.0297588E-001, 1.0846724E+000, 1.4887279E-004, 1.1984476E+000
 1.2955965E+002, 8.0028161E-001, 1.0578775E+000, 4.3254582E-004, 1.1984476E+000
 1.3002379E+002, 7.9739836E-001, 1.0649215E+000, 1.0140644E-004, 1.1984476E+000
 1.3058075E+002, 7.9434492E-001, 1.0592910E+000, 6.0584032E-004, 1.1984476E+000
 1.3104489E+002, 7.9135789E-001, 1.0979855E+000, 2.2236886E-004, 1.1984476E+000
 1.3156148E+002, 7.8848293E-001, 1.0651588E+000, 2.9392880E-005, 1.1984476E+000
 1.3205788E+002, 7.8561851E-001, 1.0309244E+000, 1.3944961E-004, 1.1984476E+000
 1.3255428E+002, 7.8273523E-001, 1.0243515E+000, 6.2118427E-004, 1.1984476E+000
 1.3305067E+002, 7.7973521E-001, 1.0350251E+000, 2.6988997E-004, 1.1984476E+000
 1.3354706E+002, 7.7666984E-001, 9.8566808E-001, 6.9798446E-005, 1.1984476E+000
 1.3404346E+002, 7.7332012E-001, 1.0208814E+000, 7.3004378E-004, 1.1984476E+000
 1.3453986E+002, 7.6971838E-001, 1.0046440E+000, 5.2522124E-004, 1.1984476E+000
 1.3503625E+002, 7.6612776E-001, 1.0068965E+000, 4.6732118E-004, 1.1984476E+000
 1.3553265E+002, 7.6253013E-001, 9.5896606E-001, 4.6481794E-004, 1.1984476E+000
 1.3602905E+002, 7.5894202E-001, 1.0663034E+000, 4.0077132E-004, 1.1984476E+000
 1.3652545E+002, 7.5556076E-001, 9.9307623E-001, 2.4484972E-004, 1.1984476E+000
 1.3702185E+002, 7.5245394E-001, 9.4892479E-001, 1.8089887E-005, 1.1984476E+000
 1.3751825E+002, 7.4937083E-001, 1.0064813E+000, 1.5169517E-004, 1.1984476E+000
