s,kg,kg
 3.1525270E+001, 1.4775071E+002, 5.1682497E-001
 3.1838074E+001, 1.4775591E+002, 5.2201840E-001
 3.2150875E+001, 1.4776112E+002, 5.2723281E-001
 3.2411541E+001, 1.4776589E+002, 5.3201838E-001
 3.2724342E+001, 1.4777066E+002, 5.3680888E-001
 3.3037148E+001, 1.4777587E+002, 5.4203373E-001
 3.3349949E+001, 1.4778108E+002, 5.4725295E-001
 3.3610615E+001, 1.4778585E+002, 5.5203744E-001
 3.3923416E+001, 1.4779062E+002, 5.5681962E-001
 3.4236217E+001, 1.4779583E+002, 5.6203412E-001
 3.4549019E+001, 1.4780103E+002, 5.6725117E-001
 3.4809689E+001, 1.4780580E+002, 5.7203382E-001
 3.5122490E+001, 1.4781057E+002, 5.7681094E-001
 3.5435291E+001, 1.4781578E+002, 5.8201561E-001
 3.5748093E+001, 1.4782098E+002, 5.8721757E-001
 3.6008762E+001, 1.4782574E+002, 5.9198588E-001
 3.6321564E+001, 1.4783051E+002, 5.9675507E-001
 3.6634365E+001, 1.4783571E+002, 6.0196583E-001
 3.6947166E+001, 1.4784092E+002, 6.0718665E-001
 3.7207832E+001, 1.4784570E+002, 6.1197592E-001
 3.7520634E+001, 1.4785047E+002, 6.1676640E-001
 3.7833439E+001, 1.4785568E+002, 6.2198480E-001
 3.8146240E+001, 1.4786088E+002, 6.2719243E-001
 3.8406906E+001, 1.4786565E+002, 6.3195958E-001
 3.8719707E+001, 1.4787041E+002, 6.3672371E-001
 3.9032509E+001, 1.4787561E+002, 6.4192783E-001
 3.9350525E+001, 1.4788084E+002, 6.4716436E-001
 3.9637260E+001, 1.4788595E+002, 6.5229778E-001
 3.9923996E+001, 1.4789072E+002, 6.5709076E-001
 4.0210728E+001, 1.4789549E+002, 6.6186129E-001
 4.0554810E+001, 1.4790073E+002, 6.6708727E-001
 4.0841545E+001, 1.4790597E+002, 6.7233535E-001
 4.1128281E+001, 1.4791074E+002, 6.7713653E-001
 4.1403107E+001, 1.4791546E+002, 6.8187505E-001
 4.1711460E+001, 1.4792023E+002, 6.8665019E-001
 4.2019814E+001, 1.4792536E+002, 6.9178384E-001
 4.2328163E+001, 1.4793048E+002, 6.9691674E-001
 4.2636517E+001, 1.4793561E+002, 7.0205514E-001
 4.2944870E+001, 1.4794075E+002, 7.0719851E-001
 4.3201832E+001, 1.4794545E+002, 7.1191502E-001
 4.3510185E+001, 1.4795016E+002, 7.1663275E-001
 4.3818539E+001, 1.4795529E+002, 7.2178053E-001
 4.4126888E+001, 1.4796042E+002, 7.2692235E-001
 4.4435242E+001, 1.4796555E+002, 7.3205472E-001
 4.4743595E+001, 1.4797068E+002, 7.3718380E-001
 4.5000557E+001, 1.4797538E+002, 7.4188877E-001
 4.5308910E+001, 1.4798008E+002, 7.4660025E-001
 4.5617264E+001, 1.4798522E+002, 7.5174641E-001
 4.5925617E+001, 1.4799035E+002, 7.5689134E-001
 4.6233967E+001, 1.4799548E+002, 7.6202374E-001
 4.6542320E+001, 1.4800061E+002, 7.6715428E-001
 4.6850674E+001, 1.4800574E+002, 7.7229611E-001
 4.7107635E+001, 1.4801045E+002, 7.7701494E-001
 4.7415989E+001, 1.4801515E+002, 7.8173774E-001
 4.7724342E+001, 1.4802029E+002, 7.8688953E-001
 4.8032692E+001, 1.4802542E+002, 7.9202799E-001
 4.8341045E+001, 1.4803055E+002, 7.9714850E-001
 4.8649399E+001, 1.4803567E+002, 8.0228275E-001
 4.8906361E+001, 1.4804038E+002, 8.0699345E-001
 4.9214714E+001, 1.4804508E+002, 8.1170522E-001
 4.9523067E+001, 1.4805021E+002, 8.1684492E-001
 4.9831421E+001, 1.4805535E+002, 8.2198700E-001
 5.0139771E+001, 1.4806048E+002, 8.2713353E-001
 5.0448124E+001, 1.4806561E+002, 8.3227405E-001
 5.0705086E+001, 1.4807031E+002, 8.3696875E-001
 5.1013439E+001, 1.4807501E+002, 8.4166681E-001
 5.1321793E+001, 1.4808014E+002, 8.4681459E-001
 5.1630146E+001, 1.4808528E+002, 8.5196962E-001
 5.1938496E+001, 1.4809042E+002, 8.5711847E-001
 5.2246849E+001, 1.4809555E+002, 8.6226104E-001
 5.2503811E+001, 1.4810025E+002, 8.6697058E-001
 5.2812164E+001, 1.4810495E+002, 8.7167661E-001
 5.3120518E+001, 1.4811008E+002, 8.7680829E-001
 5.3428871E+001, 1.4811521E+002, 8.8194971E-001
 5.3737225E+001, 1.4812035E+002, 8.8709825E-001
 5.4045574E+001, 1.4812548E+002, 8.9224395E-001
 5.4302536E+001, 1.4813018E+002, 8.9695961E-001
 5.4610889E+001, 1.4813489E+002, 9.0167858E-001
 5.4919243E+001, 1.4814003E+002, 9.0682655E-001
 5.5227596E+001, 1.4814516E+002, 9.1196358E-001
 5.5535950E+001, 1.4815028E+002, 9.1709031E-001
 5.5844299E+001, 1.4815541E+002, 9.2221596E-001
 5.6101261E+001, 1.4816011E+002, 9.2692246E-001
 5.6409615E+001, 1.4816482E+002, 9.3163532E-001
 5.6717968E+001, 1.4816995E+002, 9.3677483E-001
 5.7026321E+001, 1.4817508E+002, 9.4190896E-001
 5.7334675E+001, 1.4818021E+002, 9.4704622E-001
 5.7643028E+001, 1.4818534E+002, 9.5219283E-001
 5.7951378E+001, 1.4819047E+002, 9.5734133E-001
 5.8208340E+001, 1.4819518E+002, 9.6205658E-001
 5.8516693E+001, 1.4819988E+002, 9.6676838E-001
 5.8825047E+001, 1.4820502E+002, 9.7191007E-001
 5.9133400E+001, 1.4821015E+002, 9.7705342E-001
 5.9441753E+001, 1.4821528E+002, 9.8218740E-001
 5.9750103E+001, 1.4822041E+002, 9.8731080E-001
 6.0007065E+001, 1.4822511E+002, 9.9201255E-001
 6.0315418E+001, 1.4822981E+002, 9.9672807E-001
 6.0623772E+001, 1.4823495E+002, 1.0018866E+000
 6.0932125E+001, 1.4824009E+002, 1.0070388E+000
 6.1240479E+001, 1.4824521E+002, 1.0121674E+000
 6.1548832E+001, 1.4825034E+002, 1.0172891E+000
 6.1805790E+001, 1.4825504E+002, 1.0219974E+000
 6.2114143E+001, 1.4825975E+002, 1.0267209E+000
 6.2422497E+001, 1.4826489E+002, 1.0318828E+000
 6.2730850E+001, 1.4827003E+002, 1.0370412E+000
 6.3039204E+001, 1.4827516E+002, 1.0421789E+000
 6.3347557E+001, 1.4828028E+002, 1.0472967E+000
 6.3604515E+001, 1.4828498E+002, 1.0519861E+000
 6.3912868E+001, 1.4828968E+002, 1.0566893E+000
 6.4221222E+001, 1.4829481E+002, 1.0618404E+000
 6.4529572E+001, 1.4829995E+002, 1.0669988E+000
 6.4837929E+001, 1.4830509E+002, 1.0721410E+000
 6.5146278E+001, 1.4831022E+002, 1.0772727E+000
 6.5403244E+001, 1.4831492E+002, 1.0819860E+000
 6.5711594E+001, 1.4831963E+002, 1.0867089E+000
 6.6019951E+001, 1.4832476E+002, 1.0918599E+000
 6.6328300E+001, 1.4832989E+002, 1.0969959E+000
 6.6636650E+001, 1.4833502E+002, 1.1021193E+000
 6.6945007E+001, 1.4834015E+002, 1.1072497E+000
 6.7201965E+001, 1.4834485E+002, 1.1119592E+000
 6.7510323E+001, 1.4834955E+002, 1.1166652E+000
 6.7818672E+001, 1.4835469E+002, 1.1218046E+000
 6.8127029E+001, 1.4835982E+002, 1.1269521E+000
 6.8435379E+001, 1.4836495E+002, 1.1320948E+000
 6.8743729E+001, 1.4837009E+002, 1.1372362E+000
 6.9000694E+001, 1.4837479E+002, 1.1419519E+000
 6.9309044E+001, 1.4837950E+002, 1.1466666E+000
 6.9617401E+001, 1.4838463E+002, 1.1518063E+000
 6.9925751E+001, 1.4838976E+002, 1.1569367E+000
 7.0234100E+001, 1.4839488E+002, 1.1620600E+000
 7.0542458E+001, 1.4840001E+002, 1.1671960E+000
 7.0850807E+001, 1.4840515E+002, 1.1723486E+000
 7.1107773E+001, 1.4840986E+002, 1.1770695E+000
 7.1416122E+001, 1.4841456E+002, 1.1817828E+000
 7.1724480E+001, 1.4841970E+002, 1.1869215E+000
 7.2032829E+001, 1.4842483E+002, 1.1920569E+000
 7.2341179E+001, 1.4842996E+002, 1.1971977E+000
 7.2649536E+001, 1.4843509E+002, 1.2023476E+000
 7.2906494E+001, 1.4843980E+002, 1.2070515E+000
 7.3214851E+001, 1.4844449E+002, 1.2117409E+000
 7.3528343E+001, 1.4844964E+002, 1.2168991E+000
 7.3810997E+001, 1.4845468E+002, 1.2219564E+000
 7.4150185E+001, 1.4845985E+002, 1.2271371E+000
 7.4432846E+001, 1.4846502E+002, 1.2323149E+000
 7.4715500E+001, 1.4846973E+002, 1.2370274E+000
 7.5054688E+001, 1.4847490E+002, 1.2422050E+000
 7.5337341E+001, 1.4848007E+002, 1.2473839E+000
 7.5620003E+001, 1.4848478E+002, 1.2521003E+000
 7.5902657E+001, 1.4848948E+002, 1.2568047E+000
 7.6241844E+001, 1.4849465E+002, 1.2619746E+000
 7.6524506E+001, 1.4849983E+002, 1.2671725E+000
 7.6807159E+001, 1.4850454E+002, 1.2719165E+000
 7.7146347E+001, 1.4850972E+002, 1.2771120E+000
 7.7429008E+001, 1.4851489E+002, 1.2822766E+000
 7.7711662E+001, 1.4851959E+002, 1.2869819E+000
 7.8050850E+001, 1.4852476E+002, 1.2921730E+000
 7.8333504E+001, 1.4852993E+002, 1.2973502E+000
 7.8616165E+001, 1.4853463E+002, 1.3020532E+000
 7.8955353E+001, 1.4853981E+002, 1.3072345E+000
 7.9238007E+001, 1.4854498E+002, 1.3124157E+000
 7.9520668E+001, 1.4854968E+002, 1.3171281E+000
 7.9803322E+001, 1.4855439E+002, 1.3218432E+000
 8.0142509E+001, 1.4855956E+002, 1.3270306E+000
 8.0425171E+001, 1.4856474E+002, 1.3322296E+000
 8.0707825E+001, 1.4856945E+002, 1.3369632E+000
 8.1047012E+001, 1.4857463E+002, 1.3421506E+000
 8.1329674E+001, 1.4857979E+002, 1.3473053E+000
 8.1612328E+001, 1.4858448E+002, 1.3519812E+000
 8.1923248E+001, 1.4858946E+002, 1.3569555E+000
 8.2234169E+001, 1.4859463E+002, 1.3621492E+000
 8.2545097E+001, 1.4859982E+002, 1.3673659E+000
 8.2856018E+001, 1.4860499E+002, 1.3725661E+000
 8.3104752E+001, 1.4860965E+002, 1.3772259E+000
 8.3415680E+001, 1.4861430E+002, 1.3818800E+000
 8.3726601E+001, 1.4861947E+002, 1.3870540E+000
 8.4006042E+001, 1.4862433E+002, 1.3919242E+000
 8.4341370E+001, 1.4862944E+002, 1.3970495E+000
 8.4620811E+001, 1.4863455E+002, 1.4021590E+000
 8.4900253E+001, 1.4863920E+002, 1.4068101E+000
 8.5235580E+001, 1.4864432E+002, 1.4119439E+000
 8.5515022E+001, 1.4864944E+002, 1.4170826E+000
 8.5850349E+001, 1.4865456E+002, 1.4222103E+000
 8.6129791E+001, 1.4865967E+002, 1.4273336E+000
 8.6409225E+001, 1.4866432E+002, 1.4319853E+000
 8.6744553E+001, 1.4866943E+002, 1.4370826E+000
 8.7023994E+001, 1.4867454E+002, 1.4421953E+000
 8.7303436E+001, 1.4867920E+002, 1.4468795E+000
 8.7638763E+001, 1.4868432E+002, 1.4520380E+000
 8.7918205E+001, 1.4868944E+002, 1.4571786E+000
 8.8253532E+001, 1.4869456E+002, 1.4622983E+000
 8.8532974E+001, 1.4869966E+002, 1.4673900E+000
 8.8812416E+001, 1.4870430E+002, 1.4720097E+000
 8.9147743E+001, 1.4870941E+002, 1.4771454E+000
 8.9427185E+001, 1.4871455E+002, 1.4823290E+000
 8.9706627E+001, 1.4871921E+002, 1.4870204E+000
 9.0041954E+001, 1.4872432E+002, 1.4921377E+000
 9.0321396E+001, 1.4872943E+002, 1.4972319E+000
 9.0600830E+001, 1.4873407E+002, 1.5018575E+000
 9.0936165E+001, 1.4873917E+002, 1.5069670E+000
 9.1215599E+001, 1.4874430E+002, 1.5121224E+000
 9.1550934E+001, 1.4874943E+002, 1.5172807E+000
 9.1830368E+001, 1.4875454E+002, 1.5224126E+000
 9.2109810E+001, 1.4875919E+002, 1.5270664E+000
 9.2445137E+001, 1.4876430E+002, 1.5321679E+000
 9.2724579E+001, 1.4876940E+002, 1.5372540E+000
 9.3004021E+001, 1.4877405E+002, 1.5419103E+000
 9.3339348E+001, 1.4877918E+002, 1.5470801E+000
 9.3618790E+001, 1.4878430E+002, 1.5522298E+000
 9.3954117E+001, 1.4878941E+002, 1.5573443E+000
 9.4233559E+001, 1.4879452E+002, 1.5624459E+000
 9.4513000E+001, 1.4879916E+002, 1.5670708E+000
 9.4848328E+001, 1.4880427E+002, 1.5721753E+000
 9.5127769E+001, 1.4880939E+002, 1.5773412E+000
 9.5407211E+001, 1.4881406E+002, 1.5820398E+000
 9.5742538E+001, 1.4881917E+002, 1.5871646E+000
 9.6021980E+001, 1.4882428E+002, 1.5922724E+000
 9.6301414E+001, 1.4882892E+002, 1.5969119E+000
 9.6636749E+001, 1.4883403E+002, 1.6020145E+000
 9.6916183E+001, 1.4883915E+002, 1.6071513E+000
 9.7251518E+001, 1.4884428E+002, 1.6123166E+000
 9.7530952E+001, 1.4884939E+002, 1.6174490E+000
 9.7810394E+001, 1.4885404E+002, 1.6221023E+000
 9.8145721E+001, 1.4885915E+002, 1.6272158E+000
 9.8425163E+001, 1.4886425E+002, 1.6323085E+000
 9.8704605E+001, 1.4886889E+002, 1.6369348E+000
 9.9039932E+001, 1.4887402E+002, 1.6420919E+000
 9.9319374E+001, 1.4887915E+002, 1.6472586E+000
 9.9654701E+001, 1.4888426E+002, 1.6523852E+000
 9.9934143E+001, 1.4888937E+002, 1.6575055E+000
 1.0021358E+002, 1.4889402E+002, 1.6621568E+000
 1.0050420E+002, 1.4889872E+002, 1.6668524E+000
 1.0081158E+002, 1.4890377E+002, 1.6719108E+000
 1.0111897E+002, 1.4890889E+002, 1.6770550E+000
 1.0142635E+002, 1.4891401E+002, 1.6821821E+000
 1.0173374E+002, 1.4891912E+002, 1.6873108E+000
 1.0204112E+002, 1.4892424E+002, 1.6924551E+000
 1.0234851E+002, 1.4892935E+002, 1.6975789E+000
 1.0265589E+002, 1.4893445E+002, 1.7026606E+000
 1.0290180E+002, 1.4893904E+002, 1.7072477E+000
 1.0320918E+002, 1.4894365E+002, 1.7118887E+000
 1.0351657E+002, 1.4894877E+002, 1.7170388E+000
 1.0382395E+002, 1.4895389E+002, 1.7221743E+000
 1.0413134E+002, 1.4895900E+002, 1.7273028E+000
 1.0443872E+002, 1.4896411E+002, 1.7324119E+000
 1.0474611E+002, 1.4896921E+002, 1.7375082E+000
 1.0505349E+002, 1.4897432E+002, 1.7426309E+000
 1.0536088E+002, 1.4897944E+002, 1.7477743E+000
 1.0560678E+002, 1.4898404E+002, 1.7523822E+000
 1.0591417E+002, 1.4898864E+002, 1.7569945E+000
 1.0622155E+002, 1.4899376E+002, 1.7621213E+000
 1.0652894E+002, 1.4899886E+002, 1.7672261E+000
 1.0683632E+002, 1.4900397E+002, 1.7723284E+000
 1.0714371E+002, 1.4900909E+002, 1.7774697E+000
 1.0745109E+002, 1.4901421E+002, 1.7826101E+000
 1.0775848E+002, 1.4901932E+002, 1.7877423E+000
 1.0800438E+002, 1.4902392E+002, 1.7923603E+000
 1.0831177E+002, 1.4902852E+002, 1.7969666E+000
 1.0861915E+002, 1.4903363E+002, 1.8020690E+000
 1.0892654E+002, 1.4903874E+002, 1.8071775E+000
 1.0923392E+002, 1.4904386E+002, 1.8123452E+000
 1.0954131E+002, 1.4904898E+002, 1.8174938E+000
 1.0984254E+002, 1.4905407E+002, 1.8225863E+000
 1.1011918E+002, 1.4905879E+002, 1.8273082E+000
 1.1045114E+002, 1.4906385E+002, 1.8323622E+000
 1.1072778E+002, 1.4906890E+002, 1.8373999E+000
 1.1100443E+002, 1.4907351E+002, 1.8420296E+000
 1.1133639E+002, 1.4907859E+002, 1.8471615E+000
 1.1161303E+002, 1.4908366E+002, 1.8522458E+000
 1.1194499E+002, 1.4908872E+002, 1.8573082E+000
 1.1222163E+002, 1.4909378E+002, 1.8623745E+000
 1.1255360E+002, 1.4909884E+002, 1.8674382E+000
 1.1283024E+002, 1.4910390E+002, 1.8724990E+000
 1.1310688E+002, 1.4910850E+002, 1.8771113E+000
 1.1343884E+002, 1.4911357E+002, 1.8821936E+000
 1.1371548E+002, 1.4911863E+002, 1.8872505E+000
 1.1404745E+002, 1.4912369E+002, 1.8923278E+000
 1.1432409E+002, 1.4912876E+002, 1.8974162E+000
 1.1460073E+002, 1.4913336E+002, 1.9020218E+000
 1.1493269E+002, 1.4913842E+002, 1.9070661E+000
 1.1521487E+002, 1.4914350E+002, 1.9121666E+000
 1.1551917E+002, 1.4914846E+002, 1.9171519E+000
 1.1582347E+002, 1.4915353E+002, 1.9222303E+000
 1.1612778E+002, 1.4915859E+002, 1.9273102E+000
 1.1643208E+002, 1.4916365E+002, 1.9323891E+000
 1.1673638E+002, 1.4916871E+002, 1.9374508E+000
 1.1704068E+002, 1.4917376E+002, 1.9424975E+000
 1.1734499E+002, 1.4917883E+002, 1.9475747E+000
 1.1764928E+002, 1.4918389E+002, 1.9526613E+000
 1.1795359E+002, 1.4918895E+002, 1.9577328E+000
 1.1825789E+002, 1.4919402E+002, 1.9628174E+000
 1.1850134E+002, 1.4919858E+002, 1.9673888E+000
 1.1880563E+002, 1.4920313E+002, 1.9719322E+000
 1.1910994E+002, 1.4920818E+002, 1.9769747E+000
 1.1941425E+002, 1.4921325E+002, 1.9820749E+000
 1.1971854E+002, 1.4921832E+002, 1.9871760E+000
 1.2002285E+002, 1.4922338E+002, 1.9922478E+000
 1.2032715E+002, 1.4922844E+002, 1.9973228E+000
 1.2063145E+002, 1.4923350E+002, 2.0023972E+000
 1.2093575E+002, 1.4923856E+002, 2.0074561E+000
 1.2124006E+002, 1.4924362E+002, 2.0125127E+000
 1.2154436E+002, 1.4924868E+002, 2.0176028E+000
 1.2184866E+002, 1.4925375E+002, 2.0226713E+000
 1.2215297E+002, 1.4925880E+002, 2.0277345E+000
 1.2245727E+002, 1.4926387E+002, 2.0328222E+000
 1.2270071E+002, 1.4926843E+002, 2.0373969E+000
 1.2300501E+002, 1.4927298E+002, 2.0419448E+000
 1.2330932E+002, 1.4927804E+002, 2.0469976E+000
 1.2361362E+002, 1.4928310E+002, 2.0520890E+000
 1.2391792E+002, 1.4928817E+002, 2.0571709E+000
 1.2422223E+002, 1.4929323E+002, 2.0622473E+000
 1.2452653E+002, 1.4929829E+002, 2.0673318E+000
 1.2483083E+002, 1.4930335E+002, 2.0724042E+000
 1.2513513E+002, 1.4930841E+002, 2.0774587E+000
 1.2543944E+002, 1.4931347E+002, 2.0825238E+000
 1.2574374E+002, 1.4931854E+002, 2.0876042E+000
 1.2604804E+002, 1.4932360E+002, 2.0926729E+000
 1.2635234E+002, 1.4932866E+002, 2.0977522E+000
 1.2665665E+002, 1.4933373E+002, 2.1028458E+000
 1.2690009E+002, 1.4933829E+002, 2.1074145E+000
 1.2720439E+002, 1.4934283E+002, 2.1119506E+000
 1.2750870E+002, 1.4934789E+002, 2.1170011E+000
 1.2781300E+002, 1.4935296E+002, 2.1221065E+000
 1.2811729E+002, 1.4935803E+002, 2.1271916E+000
 1.2842160E+002, 1.4936309E+002, 2.1322603E+000
 1.2872591E+002, 1.4936815E+002, 2.1373367E+000
 1.2903021E+002, 1.4937321E+002, 2.1424075E+000
 1.2933450E+002, 1.4937827E+002, 2.1474625E+000
 1.2963881E+002, 1.4938333E+002, 2.1525234E+000
 1.2994312E+002, 1.4938839E+002, 2.1576087E+000
 1.3024742E+002, 1.4939345E+002, 2.1626855E+000
 1.3055173E+002, 1.4939852E+002, 2.1677692E+000
 1.3085602E+002, 1.4940359E+002, 2.1728579E+000
 1.3116032E+002, 1.4940865E+002, 2.1779234E+000
 1.3140376E+002, 1.4941319E+002, 2.1824552E+000
 1.3170807E+002, 1.4941774E+002, 2.1870072E+000
 1.3201237E+002, 1.4942282E+002, 2.1921181E+000
 1.3231668E+002, 1.4942788E+002, 2.1971982E+000
 1.3262099E+002, 1.4943294E+002, 2.2022672E+000
 1.3292528E+002, 1.4943801E+002, 2.2073480E+000
 1.3322958E+002, 1.4944307E+002, 2.2124165E+000
 1.3353389E+002, 1.4944812E+002, 2.2174592E+000
 1.3383820E+002, 1.4945318E+002, 2.2225235E+000
 1.3414249E+002, 1.4945826E+002, 2.2276337E+000
 1.3444679E+002, 1.4946332E+002, 2.2327123E+000
 1.3475110E+002, 1.4946838E+002, 2.2377840E+000
 1.3505540E+002, 1.4947344E+002, 2.2428662E+000
 1.3535971E+002, 1.4947850E+002, 2.2479335E+000
 1.3560315E+002, 1.4948305E+002, 2.2524737E+000
 1.3590746E+002, 1.4948761E+002, 2.2570312E+000
 1.3621175E+002, 1.4949268E+002, 2.2621275E+000
 1.3651605E+002, 1.4949774E+002, 2.2672030E+000
 1.3682036E+002, 1.4950280E+002, 2.2722704E+000
 1.3712466E+002, 1.4950786E+002, 2.2773486E+000
 1.3742896E+002, 1.4951292E+002, 2.2824167E+000
 1.3773326E+002, 1.4951798E+002, 2.2874720E+000
 1.3803757E+002, 1.4952305E+002, 2.2925510E+000
 1.3834187E+002, 1.4952812E+002, 2.2976394E+000
 1.3864618E+002, 1.4953318E+002, 2.3027101E+000
 1.3895047E+002, 1.4953824E+002, 2.3077821E+000
 1.3925478E+002, 1.4954330E+002, 2.3128656E+000
